ST	atpA	dnaK	fumC	gyrB	murG	trpB	tuf	clonal_complex
173	3	22	11	52	6	4	3	
174	2	2	2	2	2	1	48	CC-ST10
175	3	2	3	43	22	4	3	
176	3	22	2	3	3	4	3	
177	20	16	5	29	2	4	49	
178	31	8	3	29	32	15	41	
179	31	8	3	29	32	11	53	
180	44	8	7	21	28	35	19	
181	2	22	3	3	3	4	3	
182	45	8	7	53	30	15	54	
183	3	22	3	3	32	4	3	
184	3	22	11	49	6	4	50	
185	3	15	11	49	6	4	3	
186	42	8	10	22	17	13	22	
187	1	15	14	13	1	9	7	
188	20	26	5	19	39	34	24	
190	46	8	2	37	16	2	47	
191	3	22	3	3	3	4	3	
192	3	22	3	3	20	4	3	
193	47	22	17	18	2	4	3	
194	47	22	17	49	2	4	3	
195	3	22	3	54	40	18	3	
196	18	15	3	55	16	1	6	
197	19	8	7	21	17	12	7	
198	42	8	10	28	17	2	19	
206	2	2	2	2	2	8	2	CC-ST10
207	3	2	3	19	3	4	3	
208	2	22	2	2	2	2	2	
209	2	27	2	20	2	2	2	
210	2	1	1	1	1	1	2	CC-ST01
211	1	28	10	58	33	27	48	
212	2	2	2	2	41	2	2	CC-ST10
213	49	9	10	14	6	15	47	
214	50	2	2	8	2	2	2	CC-ST10
215	2	22	3	3	3	21	3	
216	41	2	2	2	2	2	47	CC-ST10
218	14	30	5	60	16	11	56	
231	53	28	2	21	18	38	20	
232	54	15	2	62	25	28	1	
233	2	8	7	53	30	39	54	
234	3	22	3	8	3	8	2	
235	2	8	2	8	2	2	3	
236	3	22	3	50	3	8	2	
237	3	2	11	49	44	11	2	
238	2	8	2	8	2	2	49	CC-ST10
239	3	31	3	63	2	8	3	
240	2	8	2	8	2	2	7	CC-ST10
241	2	15	14	13	1	2	2	
250	57	4	5	66	16	40	47	
251	58	15	10	67	13	4	12	
252	59	4	2	28	16	1	25	
253	1	8	1	13	1	1	1	CC-ST01
254	11	15	3	47	13	4	3	
255	14	10	9	68	12	41	18	
256	59	4	2	28	25	1	25	
257	2	2	3	2	46	1	12	
258	14	26	5	18	47	42	8	
259	26	15	5	69	13	27	36	
260	8	28	1	23	48	11	1	
261	60	32	3	14	34	21	13	
262	7	7	3	9	49	6	5	
263	61	33	10	70	50	11	13	
264	7	7	3	71	49	6	60	
265	62	8	3	47	13	18	3	
266	11	9	3	72	13	18	5	
267	3	22	3	73	3	4	3	
275	2	2	2	8	2	2	62	CC-ST10
276	2	2	3	2	25	1	12	
277	54	15	2	75	25	28	1	
278	14	8	14	28	10	2	4	
279	3	7	2	9	49	6	5	
280	11	22	3	2	3	4	3	
281	3	7	2	9	49	6	63	
282	11	8	3	2	13	18	3	
283	54	15	2	62	25	8	1	
284	32	8	10	18	8	8	12	
285	14	16	10	14	51	2	64	
286	64	9	5	76	1	1	65	
287	11	15	3	2	3	4	3	
288	57	15	10	69	50	43	12	
289	57	15	10	69	50	44	12	
290	26	15	5	69	52	13	12	
291	10	15	2	13	1	11	17	
292	65	2	3	8	36	2	66	
293	66	8	10	77	23	11	39	
294	2	2	2	8	2	45	2	CC-ST10
295	67	8	7	78	36	8	67	
296	68	8	3	47	13	18	3	
297	69	33	3	28	17	8	61	
298	70	8	10	12	33	29	68	
299	68	8	3	79	13	18	3	
300	2	34	2	8	2	2	2	CC-ST10
301	3	22	3	3	3	46	3	
302	71	4	5	80	20	26	69	
303	2	2	2	81	2	2	2	CC-ST10
304	72	2	2	8	1	2	2	CC-ST10
305	2	2	2	13	2	2	2	CC-ST10
306	2	2	2	8	1	2	2	CC-ST10
307	73	35	3	28	25	18	39	
308	16	14	9	17	13	15	17	
309	21	36	9	82	10	2	6	
310	10	15	1	13	1	11	17	
311	10	15	1	13	1	2	17	
312	21	36	5	29	2	30	6	
313	7	7	3	8	49	18	5	
314	1	11	5	3	14	42	7	
315	12	2	7	83	53	43	36	
316	2	2	3	8	2	2	41	CC-ST10
317	2	2	1	8	2	2	41	CC-ST10
318	69	15	2	84	25	2	70	
319	2	2	2	8	54	2	46	CC-ST10
320	74	4	2	85	43	47	71	
328	69	12	3	87	17	8	59	
329	1	1	1	1	2	1	1	CC-ST01
331	75	7	2	9	49	6	63	
332	75	7	2	9	55	6	63	
333	1	16	3	3	13	8	7	
334	2	2	5	2	2	2	2	CC-ST10
336	6	2	3	19	2	2	3	
337	3	22	3	8	3	8	3	
338	3	2	11	49	44	11	3	
339	3	22	3	2	2	4	3	
340	3	16	3	43	3	30	3	CC-ST102
341	2	2	2	8	2	11	62	CC-ST10
342	2	2	2	8	2	2	73	CC-ST10
343	76	10	3	12	3	1	17	
344	2	10	3	12	3	1	17	
345	57	7	3	82	3	21	5	
346	11	36	3	72	13	18	6	
347	57	15	10	69	50	4	12	
348	2	2	2	89	2	2	46	CC-ST10
349	1	9	5	76	1	1	74	
350	7	8	3	9	12	6	5	
351	77	8	10	90	16	48	75	
352	14	9	6	49	35	48	50	
353	14	7	18	91	25	15	76	
354	11	15	3	2	13	4	3	
355	8	8	19	40	10	49	7	
356	23	26	5	4	18	4	47	
357	23	37	5	2	34	50	3	
