ST	Actin	Cox1	Cox3	Ef_1a	Its1	Nad4	Nad5	Tubulin	clonal_complex
76	1	4	1	2	1	46	18	6	
77	38	1	7	2	2	6	55	9	
78	2	4	1	5	1	47	32	1	
79	22	6	1	3	5	12	14	10	
80	39	1	1	5	16	13	56	11	
81	40	2	10	5	1	48	10	6	
82	41	4	1	18	3	49	57	6	
83	6	4	1	5	1	1	14	6	
84	8	1	1	1	16	34	14	4	
85	8	1	1	2	17	50	14	6	
86	27	8	11	9	1	51	58	6	
87	42	4	1	5	1	52	1	1	
88	27	4	1	5	1	53	59	6	
89	43	8	4	19	1	54	60	1	
90	27	4	1	3	1	15	59	6	
91	44	1	1	5	1	13	53	8	
92	5	1	1	6	2	55	61	4	
93	2	1	1	8	18	10	57	6	
94	34	8	4	20	1	54	62	5	
95	45	1	1	2	1	13	53	1	
96	6	8	4	8	1	54	60	1	
97	46	4	1	6	1	11	63	2	
98	47	1	1	6	3	10	64	1	
99	6	9	1	2	3	56	1	1	
100	41	1	12	5	1	10	14	1	
101	40	1	1	8	19	25	65	1	
102	23	1	1	11	2	43	1	1	
103	48	1	1	8	1	13	66	6	
104	49	1	1	9	1	4	14	1	
105	8	10	1	8	1	57	1	1	
106	50	1	1	5	1	14	67	6	
107	44	1	1	8	2	58	68	1	
108	51	6	1	5	1	12	1	8	
109	52	1	1	5	1	44	69	2	
110	6	1	1	13	1	59	70	1	
111	51	1	1	2	1	60	1	6	
112	53	1	1	13	1	4	1	1	
113	51	1	11	21	1	61	71	1	
114	55	6	1	21	1	62	25	2	
115	48	8	11	6	1	63	70	1	
116	5	1	11	8	1	61	58	1	
117	3	6	1	5	1	64	72	1	
118	31	4	1	5	20	65	1	1	
119	37	1	1	5	20	66	73	6	
120	2	1	2	6	20	17	20	8	
121	1	1	1	5	1	6	1	1	
122	10	6	1	6	1	67	74	12	
123	8	1	1	22	21	50	1	6	
124	2	1	1	5	5	33	75	6	
125	5	1	1	5	1	34	14	1	
126	40	3	1	2	22	10	57	6	
127	6	1	1	8	21	10	1	6	
128	18	4	1	5	21	25	28	13	
129	1	2	1	3	1	4	76	6	
130	2	1	1	5	22	6	77	4	
131	25	4	1	1	10	68	1	13	
132	25	4	13	16	5	25	78	1	
133	25	1	1	2	1	10	57	1	
134	56	4	14	5	1	15	79	6	
135	2	4	13	9	1	25	28	6	
136	1	2	1	6	3	69	10	1	
137	2	4	14	5	1	15	79	4	
138	23	1	1	1	2	34	78	6	
139	44	1	1	6	1	70	14	6	
140	57	8	4	5	1	54	60	1	
141	13	9	1	6	2	71	1	6	
142	58	4	1	5	1	72	1	6	
143	58	4	1	5	1	72	15	6	
144	13	4	1	5	1	73	80	4	
145	27	1	1	5	1	74	81	1	
146	15	1	1	2	1	75	1	6	
147	59	4	1	3	1	76	65	4	
148	8	11	1	5	3	1	82	6	
149	25	1	1	5	3	6	1	6	
150	3	1	1	2	1	43	1	1	
151	6	1	1	1	9	34	14	6	
152	26	10	1	2	1	4	1	6	
153	10	1	1	1	1	4	83	1	
154	31	4	1	2	1	15	28	6	
155	1	9	1	1	5	77	1	4	
156	8	1	1	5	1	6	1	6	
157	6	1	4	5	1	40	20	1	
158	3	1	11	9	2	78	58	1	
159	8	1	1	8	1	13	84	1	
160	60	1	1	5	1	6	85	1	
161	25	1	1	23	1	57	86	1	
162	19	1	1	3	3	26	87	4	
163	8	6	1	24	1	24	88	6	
164	27	1	1	2	1	6	72	1	
165	10	4	5	5	1	15	89	6	
166	6	1	1	1	1	4	90	6	
167	6	1	1	3	1	33	1	1	
168	8	1	1	8	1	33	57	1	
169	61	8	4	5	1	20	60	1	
170	25	1	1	10	1	34	81	6	
171	62	1	1	6	1	1	91	6	
172	31	4	1	6	1	79	92	6	
173	6	1	1	1	1	43	93	1	
174	25	4	1	5	1	80	28	1	
175	2	1	15	8	1	3	14	1	
176	15	2	1	5	1	81	10	14	
177	31	2	1	5	3	4	94	1	
178	27	1	11	1	1	34	95	1	
179	23	1	1	8	1	82	96	1	
180	10	1	1	3	6	1	14	1	
181	12	4	1	8	1	53	59	1	
182	52	4	1	14	2	80	18	2	
183	2	2	4	2	3	17	97	2	
184	12	4	1	2	1	15	98	6	
185	63	1	1	23	5	83	1	7	
186	23	1	1	3	23	18	99	1	
187	44	4	1	25	1	84	26	1	
188	64	1	1	8	24	85	100	4	
189	5	4	16	5	5	16	18	7	
190	5	10	12	5	5	4	101	6	
191	2	4	1	1	1	4	82	6	
192	65	1	1	5	1	1	39	4	
193	31	1	1	2	1	86	1	6	
194	14	1	1	1	5	4	102	1	
195	66	6	7	3	25	12	1	4	
196	44	4	1	3	2	87	103	1	
197	31	1	1	5	3	88	1	1	
198	42	1	1	26	1	6	27	1	
199	67	6	1	5	3	12	14	1	
200	68	12	8	5	26	28	104	1	
201	1	1	1	2	1	27	1	6	
202	23	4	1	5	1	89	105	15	
203	69	1	1	3	1	13	4	15	
204	31	1	1	5	1	6	77	1	
205	70	1	1	8	3	10	57	1	
206	66	4	1	5	23	15	28	6	
207	25	1	7	27	1	6	106	2	
208	71	1	4	5	1	17	29	2	
209	72	9	1	8	1	90	14	1	
210	73	2	1	10	27	33	10	11	
211	74	4	1	15	1	91	107	1	
212	65	13	11	28	3	63	71	1	
213	44	13	11	16	1	63	71	1	
214	58	4	16	5	3	15	19	6	
215	44	13	11	3	1	63	71	1	
216	26	4	1	15	1	92	107	2	
217	23	1	6	3	3	6	107	1	
218	27	1	1	6	3	4	107	1	
219	64	8	1	3	1	93	108	4	
220	6	1	1	3	1	10	107	6	
221	2	1	1	5	3	94	108	6	
222	44	1	1	1	1	69	107	16	
223	31	1	1	29	1	6	107	6	
224	22	1	1	2	1	13	109	4	
225	5	1	1	3	1	13	109	1	
226	2	1	1	12	1	91	107	6	
227	31	1	3	8	1	6	110	1	
228	23	1	1	5	3	95	46	17	
229	3	4	1	5	1	15	18	1	
230	75	4	1	3	28	15	28	1	
231	25	6	1	3	1	96	61	1	
232	2	1	1	6	3	4	111	1	
233	55	1	1	5	1	4	44	1	
234	32	1	1	3	1	4	112	1	
235	1	6	1	8	1	96	113	9	
236	31	1	1	8	1	4	111	1	
237	50	1	1	7	1	4	114	4	
238	2	1	1	29	1	4	114	18	
239	1	4	1	5	29	15	115	4	
240	27	1	1	29	3	4	116	2	
241	76	1	10	8	29	6	27	4	
242	25	1	1	3	1	4	111	19	
243	6	1	1	5	30	4	44	19	
244	8	4	1	9	31	97	95	1	
245	27	1	1	5	31	4	117	1	
246	47	1	1	3	31	10	57	6	
247	2	1	1	5	3	13	118	1	
248	6	1	1	5	2	98	23	1	
249	8	1	1	3	1	99	15	6	
250	15	1	1	5	2	100	119	1	
251	3	1	1	1	5	34	1	1	
252	25	1	1	5	6	33	14	1	
253	58	2	1	3	1	101	81	1	
254	1	1	1	5	3	100	53	6	
