ST	adk	atpA	dxr	glyA	recA	sodA	tpi	mlst_clade
144	1	1	2	2	1	5	3	1
145	4	1	6	1	1	10	12	1
146	1	1	2	6	1	5	4	1
147	10	8	5	11	9	11	8	5
148	5	8	5	11	9	11	20	5
149	1	1	2	6	1	7	1	1
150	1	1	6	1	3	5	1	1
151	1	1	6	1	1	3	3	1
152	1	1	13	1	1	1	3	1
153	1	1	13	5	3	1	1	1
154	1	1	9	1	1	3	2	2
155	12	1	16	1	5	5	1	1
156	1	1	9	22	14	3	2	2
157	1	1	9	23	1	3	2	2
158	3	7	10	8	7	2	15	4
159	3	7	10	8	6	2	10	4
160	2	5	2	6	1	3	1	1
161	5	8	5	11	9	11	21	5
162	1	6	4	7	2	30	7	3
163	5	8	5	24	15	28	23	5
164	5	15	5	27	15	29	20	5
165	1	16	2	1	1	5	1	1
166	5	15	5	25	15	29	8	5
167	5	8	5	27	15	29	22	5
168	10	8	19	11	15	29	22	5
169	5	8	5	26	15	29	8	5
170	9	7	3	8	6	2	15	4
171	1	7	13	1	3	12	1	1
172	1	1	20	3	1	5	3	1
173	5	8	5	11	15	29	24	5
174	5	8	5	28	15	29	23	5
175	1	1	21	1	1	3	2	2
176	1	1	9	9	1	1	25	2
177	13	18	22	33	18	31	28	
178	13	17	22	29	16	31	26	
179	13	17	23	30	17	31	27	
180	13	19	22	32	19	32	28	
181	13	18	22	31	18	31	26	
182	2	1	16	1	5	12	1	1
183	1	1	24	6	1	5	1	1
184	1	1	25	34	1	1	1	1
185	2	1	16	1	5	5	1	1
186	5	8	5	11	15	11	8	5
187	5	8	5	13	9	11	8	5
188	1	1	9	9	14	5	2	2
189	1	1	6	1	1	10	1	1
190	14	1	26	1	4	3	1	1
191	1	5	6	35	1	33	1	1
192	1	5	11	1	1	3	1	2
193	5	8	5	1	9	34	3	5
194	1	1	11	23	1	1	1	2
195	5	20	27	36	9	11	8	5
196	1	1	9	37	14	3	2	2
197	1	1	1	10	1	5	5	2
198	11	7	2	7	20	20	10	4
199	1	1	2	1	1	35	6	1
200	15	21	28	38	21	36	30	
201	1	6	4	7	2	8	31	3
202	13	18	22	31	18	31	32	
203	1	22	2	1	22	1	1	1
204	16	23	29	39	23	37	33	
205	1	3	13	1	5	23	1	1
206	13	18	22	40	18	38	32	
207	5	8	5	41	9	11	8	5
208	2	7	8	1	1	3	6	1
209	1	6	4	7	2	8	11	3
210	1	1	2	1	1	1	11	
211	2	5	8	1	1	3	11	
212	1	4	7	1	1	3	6	1
213	1	11	6	6	1	12	6	1
214	1	1	2	1	5	3	12	1
215	3	7	3	8	6	9	29	4
216	3	7	3	8	6	9	6	4
217	3	7	3	8	6	9	1	4
218	2	5	8	1	1	3	1	1
219	3	7	3	1	6	9	11	4
220	1	4	7	8	1	3	3	1
221	1	6	4	7	2	8	29	3
222	1	1	1	1	1	3	2	2
223	1	1	11	17	1	3	5	2
224	1	1	9	10	1	3	2	2
225	1	1	6	5	1	33	5	1
226	1	1	9	23	14	1	2	2
227	1	1	1	1	1	3	1	2
228	1	1	11	5	1	33	1	2
229	1	1	9	5	1	33	2	2
230	1	1	9	9	14	3	1	2
231	1	1	9	9	14	3	2	2
232	1	5	9	9	1	3	5	2
233	1	1	2	16	1	12	1	1
234	1	3	6	1	1	5	1	1
235	1	3	6	1	1	5	6	1
236	1	1	6	16	1	17	6	1
237	1	1	2	1	1	12	1	1
238	3	12	10	8	6	18	15	4
239	1	3	6	1	1	1	6	1
240	1	1	7	8	2	5	1	1
241	11	7	10	14	6	20	15	4
242	1	1	2	1	1	18	1	1
243	11	7	14	14	6	20	10	4
244	1	1	2	15	1	1	1	1
245	1	5	6	1	22	1	1	1
246	1	5	2	6	1	3	1	1
247	2	5	2	1	1	3	6	1
248	1	1	2	1	1	5	12	1
249	1	1	2	1	5	5	16	1
250	1	1	2	5	3	1	1	1
251	2	1	6	3	1	5	1	1
252	1	5	9	37	1	1	2	2
253	1	1	18	9	1	3	2	2
254	11	7	14	14	6	20	15	4
255	2	1	6	3	8	1	1	1
256	1	1	6	1	5	5	1	1
257	1	3	6	1	1	35	1	1
258	5	24	5	11	9	11	36	5
259	11	25	10	42	6	20	15	4
260	17	7	14	43	6	39	15	4
261	3	7	3	8	7	20	37	4
262	11	7	10	44	6	20	10	4
263	1	1	2	6	1	40	3	1
264	1	1	9	9	1	41	2	2
265	1	1	2	1	5	42	1	1
266	3	26	10	8	6	18	15	4
267	1	1	2	1	1	43	35	1
268	1	1	6	1	1	44	1	1
269	18	1	11	9	1	3	5	2
270	1	5	7	1	1	13	34	1
271	1	1	2	45	1	1	1	1
272	1	1	6	1	24	5	1	1
273	11	7	14	46	6	20	9	4
274	1	1	2	1	1	1	15	
275	5	8	5	47	1	11	8	5
276	1	1	9	23	1	3	38	2
277	1	1	9	23	1	1	39	2
278	2	1	6	6	1	12	12	1
279	13	18	22	33	18	32	32	
280	5	8	5	27	15	28	8	5
281	1	1	2	1	1	22	2	
282	1	1	16	1	5	5	1	
283	11	25	14	42	6	20	15	
284	1	1	2	1	3	5	10	
285	1	6	4	7	25	8	7	3
286	1	1	2	3	1	5	3	1
287	2	1	2	1	1	1	11	1
288	1	1	2	3	1	5	6	1
289	1	1	7	1	5	3	1	1
290	13	17	22	33	26	38	40	
291	1	1	6	1	1	5	6	1
292	1	27	6	1	1	1	6	1
293	1	1	2	1	27	1	1	1
294	1	3	6	46	1	1	6	1
295	1	28	2	1	5	3	1	1
296	1	1	6	1	8	1	1	1
297	13	17	22	33	18	31	26	
298	11	7	10	14	6	20	10	4
299	1	5	6	1	4	3	4	1
300	19	7	14	43	6	45	15	4
301	1	1	6	9	1	33	41	1
302	1	1	16	1	1	1	1	1
303	13	18	22	33	18	31	32	
304	1	1	30	1	5	3	1	
305	20	1	2	6	1	5	1	1
306	2	5	2	1	1	3	43	1
307	21	1	32	1	1	1	1	1
308	1	1	33	1	1	5	44	1
309	1	1	2	49	1	5	1	1
310	11	32	14	14	6	20	10	4
311	15	33	31	48	21	46	42	
312	1	1	13	1	1	1	45	1
313	1	1	2	3	28	5	44	1
314	13	31	22	40	26	31	26	
315	5	8	5	27	15	29	8	5
316	5	8	5	27	15	29	23	5
317	22	8	5	11	9	11	8	5
318	1	1	6	1	4	3	6	1
319	1	11	2	5	1	5	1	1
320	11	7	10	43	6	20	15	4
321	1	1	2	15	8	5	6	1
322	1	1	2	6	1	12	3	1
323	1	5	2	1	1	5	1	1
324	1	7	2	6	1	5	1	1
325	2	1	2	3	1	3	1	1
326	1	2	2	1	1	5	4	1
327	1	7	14	14	6	20	47	4
328	1	1	2	4	28	5	44	1
329	4	1	34	1	4	26	1	1
330	1	1	10	1	4	3	4	1
331	23	34	35	50	29	37	48	
332	3	7	14	8	6	16	15	4
333	1	1	36	6	1	5	1	1
334	1	1	2	51	5	5	1	1
335	13	17	22	33	18	31	51	
336	24	36	37	54	31	49	50	
337	25	21	38	53	21	36	53	
338	25	21	38	53	21	48	53	
339	26	35	37	54	31	49	52	
340	26	35	37	54	31	49	49	
341	26	35	39	52	31	49	52	
342	26	35	39	54	31	47	50	
343	26	36	37	54	31	49	52	
344	26	36	39	52	31	49	52	
345	27	37	39	55	31	49	54	
346	27	38	40	56	31	49	55	
347	28	39	41	57	30	50	56	
348	1	1	7	1	6	5	1	1
349	1	1	6	1	1	3	6	1
350	3	1	3	8	32	9	11	4
351	1	5	11	23	1	51	1	2
352	1	1	24	4	1	1	1	1
353	1	1	1	10	1	3	1	2
354	1	1	2	1	1	1	3	1
355	1	1	2	1	5	7	1	1
356	5	5	7	1	1	13	1	1
357	2	5	7	1	1	3	1	1
358	1	1	6	16	1	1	1	1
359	29	40	42	58	33	52	57	
360	13	18	22	33	18	31	26	
361	30	41	43	59	34	53	58	
362	1	1	9	6	1	3	2	2
363	1	11	6	4	1	1	1	1
364	1	1	1	5	1	1	1	2
365	1	1	9	23	14	3	2	2
366	1	1	44	9	1	27	5	2
367	2	5	8	1	1	54	6	1
368	15	21	45	38	21	36	30	
369	27	38	40	55	31	49	49	
370	1	5	2	1	5	3	1	1
371	1	5	1	10	1	3	5	2
372	1	5	11	17	1	22	2	2
373	1	5	46	17	1	3	1	1
374	1	42	7	1	1	13	1	1
375	3	7	3	7	6	9	11	4
376	1	1	6	5	4	3	4	1
377	1	1	4	1	3	1	10	
378	1	1	24	4	1	17	1	1
379	1	2	24	5	6	6	4	1
380	10	1	2	4	1	5	2	1
381	1	1	2	15	2	1	1	1
382	3	1	3	1	6	9	11	4
383	1	11	6	1	1	12	12	1
384	2	5	3	1	1	3	6	1
385	1	1	3	1	1	1	1	1
386	5	8	5	28	15	28	59	5
387	31	8	5	26	15	29	8	5
388	5	8	5	1	9	55	3	5
389	1	7	4	60	2	8	7	3
390	1	6	4	1	2	30	7	3
391	5	8	5	24	15	29	23	5
392	5	8	5	11	15	29	8	5
393	5	8	5	1	9	11	3	5
394	1	5	9	23	1	1	5	2
395	1	1	9	9	1	5	2	2
396	1	1	11	23	1	51	1	2
397	1	3	2	1	1	1	1	1
398	1	3	6	1	8	5	1	1
399	1	4	8	1	1	3	3	1
400	1	29	2	1	1	5	3	1
401	3	7	10	8	6	18	15	4
402	16	23	47	61	23	37	61	
403	11	7	14	63	6	20	9	4
404	2	1	16	62	5	5	1	1
405	19	7	48	8	6	20	47	4
406	1	45	6	1	8	5	1	1
407	32	46	22	31	18	32	28	
408	1	4	2	1	5	3	3	1
409	1	1	13	1	3	12	6	1
410	3	1	3	8	6	9	1	4
411	1	6	4	7	2	8	10	3
412	1	1	2	1	6	7	1	1
413	34	6	4	7	2	8	7	3
414	1	1	2	66	1	7	10	1
415	5	8	5	11	9	11	63	5
416	33	47	29	65	36	37	62	
417	35	1	1	10	1	3	5	2
418	36	1	1	10	1	3	5	2
419	1	1	2	67	5	3	1	1
420	1	1	2	1	1	57	1	1
421	1	1	16	1	1	5	1	1
422	1	1	2	68	1	1	1	1
423	1	1	2	3	1	5	9	1
424	1	1	2	3	1	5	15	1
425	1	1	2	46	5	3	1	1
426	1	1	2	16	5	43	3	1
427	1	1	6	23	1	33	1	1
428	1	1	11	1	1	1	1	2
429	1	1	13	1	3	1	9	1
430	1	1	50	15	1	5	1	1
431	1	3	9	9	1	3	2	2
432	1	5	7	1	1	19	1	1
433	1	5	9	23	1	1	39	2
434	1	7	14	46	6	20	9	4
435	3	1	3	8	6	20	10	4
436	4	1	6	1	4	26	65	1
437	9	7	3	70	6	18	37	4
438	9	7	3	8	6	18	37	4
439	11	7	10	14	6	20	66	4
440	11	7	14	46	6	58	10	4
441	11	7	49	14	6	20	10	4
442	13	18	22	31	18	31	67	
443	14	1	26	1	39	3	1	1
444	37	1	11	1	1	3	1	2
445	39	3	2	16	3	1	6	1
446	40	5	9	71	1	1	2	2
447	38	48	42	69	37	52	64	
448	41	49	42	69	37	52	64	
449	41	49	42	72	38	59	64	
450	1	1	6	1	8	3	1	1
451	1	1	2	23	5	3	1	1
452	1	1	6	1	8	6	1	1
453	1	1	2	13	5	3	1	1
454	1	11	2	73	1	5	1	1
455	1	6	4	1	2	8	7	3
456	1	1	2	7	1	7	1	1
457	1	4	6	16	1	60	1	1
458	11	25	10	14	6	20	15	4
459	13	44	22	40	35	56	60	
460	1	1	2	20	1	1	1	1
461	1	5	9	23	1	1	2	2
462	1	1	9	23	1	1	2	2
463	1	43	9	23	1	1	38	2
464	1	43	9	37	1	1	2	2
465	11	7	14	14	41	20	9	4
466	1	50	2	1	1	1	1	1
467	1	4	7	5	1	3	3	1
468	1	1	8	1	1	3	3	1
469	1	11	51	1	40	3	3	1
470	1	1	2	6	1	17	3	1
471	3	7	10	14	6	20	9	4
472	1	4	21	1	1	3	3	1
473	13	18	22	31	18	31	68	
474	11	51	10	14	6	20	15	4
475	11	7	14	42	6	20	10	4
476	11	7	14	43	6	39	10	4
477	3	7	3	8	6	9	3	4
478	1	1	2	1	5	5	11	1
479	1	1	8	15	8	5	3	103
480	1	22	6	1	1	3	3	1
481	1	1	11	9	1	3	5	2
482	1	1	6	1	1	33	1	1
483	1	1	2	1	5	5	5	1
484	1	4	7	1	1	20	3	1
485	13	17	23	40	18	31	32	
486	1	1	1	10	1	3	69	2
487	3	7	3	8	6	9	69	4
488	1	5	7	1	1	3	70	1
489	1	1	2	1	6	3	3	1
490	1	5	6	5	1	3	1	1
491	28	39	52	57	43	50	71	
492	19	7	14	8	42	39	15	4
493	1	4	7	1	1	11	3	1
494	1	1	2	1	5	1	3	1
495	2	1	1	2	1	5	60	1
496	2	1	1	53	1	5	3	1
497	42	1	2	6	1	5	1	1
498	43	8	5	11	9	11	8	5
499	44	1	2	1	5	5	3	1
500	1	8	5	11	9	11	8	5
501	1	1	2	1	22	1	1	1
502	2	1	2	5	1	3	1	1
503	11	7	10	43	6	20	72	4
504	1	1	2	73	1	5	1	1
505	1	11	2	1	1	5	1	1
506	1	1	2	73	1	3	1	1
507	1	45	2	1	5	3	1	1
508	13	46	22	40	17	31	68	
509	3	7	20	64	6	16	10	4
510	13	18	22	11	18	38	26	
511	9	7	2	8	6	2	15	4
512	1	1	2	6	1	12	12	1
513	1	1	6	1	4	3	15	1
514	1	3	2	1	5	3	1	1
515	1	1	2	1	4	3	4	1
516	1	1	2	1	4	3	15	1
517	1	1	8	1	4	3	15	1
518	1	6	8	7	2	8	7	3
519	1	1	6	6	1	12	3	1
520	1	4	7	1	1	3	12	1
521	2	5	8	1	1	3	56	1
522	1	3	2	1	1	1	3	1
523	4	1	2	5	1	60	16	1
524	3	5	10	8	7	2	6	4
525	45	7	10	14	42	20	9	4
526	46	39	54	57	30	50	56	
527	28	39	8	57	5	5	56	
528	1	6	4	7	1	8	31	3
529	1	1	2	1	5	1	1	1
530	11	7	4	74	6	20	9	4
531	1	1	7	1	1	3	1	1
532	1	1	2	6	1	1	1	1
533	1	7	7	5	1	3	3	1
534	11	7	14	8	6	20	10	4
535	1	1	2	10	1	7	1	
536	28	52	41	76	30	50	56	
537	1	1	16	1	44	5	1	1
538	1	2	2	1	1	1	1	1
539	1	5	2	1	5	2	1	1
540	2	1	16	1	1	62	1	1
541	1	1	11	1	1	22	4	2
542	1	1	2	1	1	7	3	1
543	1	1	10	9	1	3	2	2
544	1	1	24	34	1	3	3	1
545	1	1	24	16	1	3	1	1
546	1	1	51	35	1	1	1	1
547	3	7	3	8	11	20	11	4
548	13	46	22	40	18	31	26	
549	1	1	9	6	1	3	5	2
550	1	5	9	23	1	1	18	2
551	11	32	49	14	6	20	6	4
552	2	1	2	1	1	5	1	1
553	2	1	6	1	5	3	1	1
554	40	5	9	77	1	3	38	2
555	1	1	2	6	5	7	1	1
556	3	7	14	8	11	16	15	4
557	11	7	10	43	6	20	9	4
558	1	1	2	15	1	5	1	1
559	3	7	56	8	7	2	15	4
560	11	25	10	42	6	63	15	4
561	48	1	2	1	1	5	1	1
562	1	1	9	9	1	3	74	2
563	1	1	2	1	40	3	1	1
564	1	1	6	6	1	12	1	1
565	1	53	11	17	1	3	2	2
566	1	1	55	6	1	6	1	1
567	47	5	11	23	1	3	1	2
568	1	6	4	7	2	3	7	3
569	11	7	14	78	6	20	10	4
570	14	54	26	1	4	3	1	1
571	2	1	7	5	1	5	1	1
572	23	34	35	39	29	37	61	
573	1	1	9	22	1	3	2	
574	1	1	9	9	1	41	5	
575	1	1	6	9	1	3	5	
576	1	5	9	9	1	41	5	
577	1	1	50	1	1	3	2	
578	1	1	6	1	1	5	1	
579	1	5	2	6	1	5	1	
580	1	5	2	6	1	1	1	
581	1	1	2	19	1	1	1	
582	2	2	2	1	1	3	3	
583	1	1	6	1	1	12	12	
584	1	1	9	9	1	27	2	
585	1	32	2	6	1	7	3	
586	48	1	8	2	1	1	3	
587	1	6	4	7	2	5	31	
588	1	6	4	7	2	5	7	
589	1	6	4	7	2	8	1	
590	1	6	2	7	2	8	7	
591	25	1	36	1	4	3	9	
592	3	7	10	8	6	2	15	
593	11	7	55	14	6	20	9	
594	11	7	55	43	6	20	10	
595	3	7	14	8	11	16	48	
596	1	1	7	1	1	1	3	1
597	52	1	6	4	3	5	1	1
598	11	55	10	14	6	20	9	4
599	1	1	2	86	1	7	1	1
600	53	21	58	87	48	36	30	
601	1	1	2	1	2	1	1	1
602	54	58	59	88	48	69	79	
603	3	7	14	8	6	25	80	4
604	1	1	2	1	3	3	1	1
605	1	1	6	80	5	3	1	1
606	1	5	11	81	1	3	78	1
607	5	8	5	11	9	68	8	5
608	1	1	57	1	5	3	1	1
609	11	7	10	83	42	20	10	4
610	11	7	10	46	6	20	10	4
611	1	1	2	6	47	5	1	1
612	1	1	9	84	1	3	2	1
613	15	21	58	38	21	66	30	
614	11	7	10	14	6	67	76	4
615	1	56	2	1	5	3	1	1
616	51	1	6	1	1	5	1	1
617	1	1	2	85	5	3	1	1
618	1	1	6	1	46	6	1	1
619	11	55	14	82	6	20	77	4
620	15	57	38	38	21	46	49	
621	1	1	6	5	1	3	1	1
622	56	1	2	1	5	3	1	1
623	1	1	9	1	1	3	5	2
624	1	1	2	16	1	60	6	1
625	1	59	2	1	1	3	81	1
626	1	1	13	1	1	5	82	1
627	16	60	47	89	23	65	75	
628	3	7	60	8	7	2	10	4
629	1	1	2	6	1	70	1	1
630	1	4	6	1	4	3	4	1
631	1	1	6	1	4	3	1	1
632	57	61	61	90	50	71	83	
633	1	1	1	1	1	3	5	1
634	11	7	14	42	6	20	15	4
635	11	7	10	42	6	20	10	4
636	1	11	25	34	1	1	1	1
637	15	30	28	38	21	36	30	
638	1	5	9	37	1	1	78	2
639	4	1	2	1	3	1	1	1
640	1	1	2	3	4	3	1	1
641	13	46	22	33	18	31	26	
642	37	5	11	23	1	3	1	2
643	13	46	22	31	18	32	26	
644	13	46	22	31	18	32	28	
645	1	1	2	1	1	3	46	1
646	1	1	2	9	1	22	2	2
647	2	1	6	85	8	5	3	1
648	20	2	2	1	1	23	1	1
649	13	46	22	40	17	32	60	
650	3	7	14	8	6	25	10	4
651	1	1	11	5	1	33	2	2
652	1	1	11	9	1	3	2	2
653	1	1	6	3	1	1	6	1
654	21	1	7	6	1	1	1	1
655	1	1	53	1	5	3	1	1
656	1	1	2	1	5	60	3	1
657	1	1	6	1	4	1	4	1
658	3	7	14	8	6	2	37	4
659	1	1	7	1	4	3	4	1
660	1	43	9	23	1	64	18	2
661	11	32	49	14	6	20	10	4
662	1	5	9	9	1	1	1	2
663	36	1	2	1	1	7	1	1
664	1	6	4	7	2	72	7	3
665	13	17	22	33	17	31	68	
666	13	46	22	91	18	73	32	
667	1	1	7	1	1	3	2	
668	1	1	9	23	1	3	25	
669	58	49	62	69	37	52	64	
670	1	1	2	1	51	1	1	1
671	1	1	2	15	8	3	1	1
672	11	7	10	43	6	20	47	4
673	1	1	2	1	1	19	6	1
674	37	1	2	1	1	22	1	2
675	1	1	2	1	5	54	1	1
676	1	3	6	1	52	1	3	1
677	59	7	14	46	6	20	15	4
678	60	7	10	8	6	20	10	4
679	1	6	4	92	2	8	7	3
680	61	7	14	14	11	16	15	4
681	3	7	3	93	6	2	15	4
682	2	5	8	1	1	74	6	1
683	3	7	10	8	7	75	10	4
684	2	5	8	1	1	3	84	1
685	5	8	5	27	15	76	23	5
686	1	1	6	94	1	12	12	1
687	1	3	6	1	1	1	85	1
688	28	39	54	95	53	77	56	
689	1	3	7	96	3	1	6	1
690	1	2	9	1	1	3	5	2
691	1	5	6	5	1	33	1	1
692	1	1	2	5	1	33	5	1
693	1	1	6	16	8	3	1	1
694	5	8	5	47	9	11	8	5
695	1	6	6	1	1	3	3	
696	1	1	2	3	5	3	1	1
697	3	7	14	8	6	2	80	4
698	2	2	2	1	1	1	1	1
699	11	7	10	43	54	20	15	4
700	1	11	2	1	1	1	1	1
701	1	1	2	1	1	12	6	1
702	1	1	6	15	1	1	1	1
703	1	5	9	23	1	64	38	2
704	1	1	2	5	1	33	2	1
705	37	1	1	1	1	3	2	2
706	1	1	13	1	1	17	6	1
707	1	1	1	10	4	3	5	2
708	1	1	2	9	1	22	5	2
709	1	43	9	23	1	1	18	2
710	3	7	10	8	7	18	10	4
711	55	1	2	1	5	3	1	1
712	11	7	14	43	6	67	47	4
713	55	1	2	73	1	3	72	1
714	55	50	2	35	6	3	8	1
715	1	1	2	35	1	5	15	1
716	1	1	2	35	1	5	4	1
717	55	1	14	35	1	1	1	1
718	55	1	14	35	1	4	1	1
719	55	7	2	35	1	12	12	1
720	52	1	6	35	1	12	1	1
721	55	8	6	35	1	63	82	1
722	55	3	2	81	1	1	1	1
723	1	50	2	35	1	12	12	1
724	11	50	2	35	1	1	1	1
725	55	1	2	73	1	5	1	1
726	1	1	6	81	46	3	15	1
727	48	1	10	81	1	3	82	
728	48	1	2	81	6	5	1	
729	49	1	2	73	1	12	12	
730	55	1	10	35	46	1	12	
731	55	1	2	35	1	5	6	
732	52	7	6	35	1	4	1	
733	55	50	10	35	6	72	72	
734	40	1	14	73	6	3	1	
735	1	1	10	35	1	1	1	
736	1	1	1	10	1	3	89	
737	1	1	1	99	1	3	5	
738	1	1	2	101	5	3	1	
739	1	1	2	103	13	3	1	
740	1	1	2	107	13	3	1	
741	1	1	2	109	3	5	1	
742	1	1	2	1	1	89	1	
743	1	1	2	1	5	3	91	
744	1	1	2	1	5	5	87	
745	1	1	2	3	56	3	1	
746	1	1	6	1	1	90	1	
747	11	62	10	42	6	20	10	
748	1	1	70	10	1	3	5	
749	1	1	7	102	1	3	3	
750	1	1	7	102	59	3	3	
751	11	7	10	42	6	80	10	
752	11	7	14	42	6	78	15	
753	1	1	72	99	1	3	5	
754	11	75	14	46	6	78	9	
755	1	1	9	106	1	22	93	
756	1	1	9	9	62	27	2	
757	1	2	2	100	1	5	1	
758	1	2	2	1	1	88	1	
759	13	18	22	105	63	32	28	
760	13	18	22	111	18	31	26	
761	13	18	22	112	18	38	96	
762	1	3	2	1	1	85	1	
763	13	46	22	108	18	32	28	
764	13	46	64	31	18	32	26	
765	1	3	6	3	1	5	94	
766	13	65	22	40	35	81	26	
767	1	5	2	1	1	84	3	
768	15	30	28	38	21	83	30	
769	1	5	9	23	1	1	92	
770	1	64	1	10	1	3	5	
771	1	6	4	7	2	86	7	
772	1	66	6	100	60	5	6	
773	1	69	4	7	2	8	7	
774	1	71	1	10	1	3	5	
775	1	72	6	6	1	12	12	
776	1	73	1	10	1	3	5	
777	1	74	2	6	1	3	1	
778	1	7	6	1	1	5	90	
779	1	76	7	1	3	3	1	
780	1	79	4	1	1	1	10	
781	2	1	6	1	1	87	1	
782	2	67	6	1	1	5	1	
