ST	adk	atpG	frdB	fucK	mdh	pgi	recA	clonal_complex
107	33	8	16	16	49	2	3	
108	1	14	4	5	4	7	8	
109	33	14	1	14	4	1	21	
110	10	14	23	5	22	7	8	
111	38	36	36	11	56	46	18	
112	3	9	8	31	14	8	4	
113	40	3	38	1	15	40	21	
114	3	20	21	5	4	7	8	
115	6	20	23	30	33	29	7	
116	6	20	23	34	33	29	7	
117	10	14	4	3	4	7	8	
118	10	14	4	5	4	7	22	
119	10	14	4	5	4	47	8	
120	10	14	5	7	57	7	8	
121	18	6	3	10	10	28	14	
122	18	6	3	18	10	28	12	
123	22	6	11	12	58	18	15	
124	22	19	11	11	22	19	15	
125	22	19	11	11	22	28	15	
126	22	19	11	11	22	19	35	
127	40	6	3	18	10	28	12	
128	23	14	39	5	4	7	20	
129	18	6	3	33	10	28	12	
130	31	14	4	11	4	7	8	
131	1	1	38	1	60	42	5	
132	1	1	40	14	61	1	5	
133	29	7	13	1	62	13	1	
134	1	1	1	14	53	14	13	
135	1	1	1	1	1	1	40	
136	1	1	1	1	67	42	5	
137	1	1	1	1	73	1	5	
138	1	1	1	10	76	1	5	
139	1	1	1	14	45	14	21	
140	1	1	1	14	70	1	37	
141	1	1	1	14	74	61	37	
142	1	1	1	35	15	53	38	
143	1	1	1	38	15	1	5	
144	1	1	44	14	61	1	5	
145	1	8	1	14	22	14	13	
146	11	8	47	7	17	57	41	
147	1	24	18	14	55	1	5	
148	1	40	18	14	55	1	5	
149	3	9	8	13	14	8	4	
150	5	20	7	15	47	58	29	
151	5	20	7	32	26	41	29	
152	6	42	43	36	68	52	35	
153	10	2	15	8	26	62	3	
154	37	35	57	14	1	14	5	
155	16	8	16	16	30	1	3	
156	26	2	15	7	22	56	3	
157	28	14	4	3	4	3	8	
158	28	14	45	1	16	55	1	
159	33	8	16	16	17	2	29	
160	40	1	1	14	1	59	3	
161	41	8	29	9	68	57	8	
162	42	2	49	2	71	8	4	
163	42	9	8	2	62	8	4	
164	43	1	46	7	72	1	23	
165	44	2	16	37	17	2	3	
166	46	4	17	11	54	3	34	
167	47	11	16	21	11	54	42	
168	48	41	41	8	69	60	29	
169	48	41	41	8	69	51	39	
170	14	7	1	30	15	21	1	
171	34	4	17	1	51	3	34	
172	5	5	34	5	77	38	3	
173	42	33	32	5	4	7	8	
174	1	1	46	1	79	64	23	
175	1	1	1	1	1	13	5	
176	5	33	7	15	47	58	29	
177	6	11	51	15	80	65	44	
178	49	14	32	39	45	66	21	
179	33	43	52	7	78	28	18	
180	1	1	1	1	81	21	5	
181	14	44	15	1	22	1	5	
182	40	3	38	1	35	67	21	
183	14	44	1	1	22	1	5	
184	45	45	48	9	26	58	18	
185	7	20	42	8	66	1	29	
186	14	7	16	8	46	21	1	
187	5	33	7	32	26	41	29	
188	22	19	11	11	83	19	15	
189	10	14	4	5	84	7	8	
190	10	14	4	5	85	7	8	
191	46	18	53	15	86	14	23	
192	26	4	17	1	79	3	23	
193	17	1	1	14	61	1	5	
194	30	20	41	18	48	63	43	
195	2	1	1	1	1	21	5	
196	14	8	18	11	17	2	3	
197	52	1	1	14	15	62	37	
198	5	33	7	15	87	68	29	
199	6	20	41	40	88	63	43	
200	42	8	7	41	17	14	10	
201	33	8	8	16	1	2	3	
202	26	17	8	1	4	57	8	
203	52	1	1	14	89	62	37	
204	42	2	22	2	71	8	4	
205	40	1	1	14	61	69	5	
206	10	14	4	1	4	7	8	
207	1	24	18	18	62	1	5	
208	5	33	7	15	16	4	29	
209	32	20	21	5	4	7	8	
210	5	33	7	15	87	58	29	
211	47	2	19	11	94	54	37	
212	48	46	31	11	95	70	45	
213	43	1	46	1	30	38	18	
214	6	43	1	7	77	71	43	
215	1	1	54	14	98	1	5	
216	32	20	21	5	99	7	8	
217	10	14	4	4	4	7	8	
218	32	20	1	5	4	7	8	
219	53	20	21	5	4	7	8	
220	10	14	4	42	4	7	8	
221	10	20	21	5	22	7	8	
222	6	20	23	1	33	29	7	
223	10	14	4	5	100	7	8	
224	10	14	62	5	85	7	8	
225	10	47	4	5	4	7	8	
226	10	14	53	5	4	7	8	
227	10	14	4	5	7	7	8	
228	10	14	4	5	4	74	8	
229	10	48	4	5	4	7	8	
230	10	14	4	5	4	75	8	
231	42	14	4	5	4	7	8	
232	6	30	23	43	33	29	7	
233	14	7	13	7	17	13	1	
234	5	33	23	15	87	58	29	
235	56	24	64	15	93	21	47	
236	7	33	7	15	66	1	29	
237	33	33	7	15	7	58	29	
238	5	33	7	15	26	77	29	
239	42	2	57	14	62	70	4	
240	42	2	57	14	7	70	4	
241	5	33	34	5	77	45	3	
242	7	33	7	13	66	1	29	
243	1	1	1	14	59	14	5	
244	55	11	16	14	102	2	3	
245	1	24	18	18	27	1	5	
246	28	14	4	3	22	3	8	
247	16	5	22	15	30	40	3	
248	14	8	16	11	17	2	49	
249	26	17	8	1	78	57	50	
250	47	5	16	21	11	54	42	
251	18	6	3	11	24	28	12	
252	3	2	65	1	64	78	48	
253	60	51	16	46	15	2	31	
254	6	20	41	40	30	63	43	
255	63	54	7	1	91	31	21	
256	40	83	63	48	169	145	97	
257	11	2	15	8	71	61	3	
258	1	10	1	1	4	6	5	
259	1	1	1	14	89	62	37	
260	11	8	29	7	90	57	35	
261	35	34	66	1	85	44	1	
262	63	50	22	15	30	40	3	
263	28	14	1	1	16	55	1	
264	5	8	58	14	91	13	29	
265	60	51	16	48	15	2	31	
266	3	18	53	15	86	14	23	
267	1	6	1	1	1	83	5	
268	10	14	4	49	4	3	8	
269	68	43	55	43	46	58	18	
270	69	54	8	47	80	1	61	
271	11	33	29	7	90	57	35	
272	69	55	10	36	79	82	56	
273	1	6	1	1	1	55	5	
274	5	14	7	8	62	45	29	
275	47	60	19	1	94	7	62	
276	5	8	58	14	71	13	29	
277	44	35	16	37	17	7	3	
278	70	25	9	7	10	7	8	
279	14	51	16	48	15	7	31	
280	3	9	8	2	86	8	4	
281	55	11	16	14	102	7	3	
282	10	14	5	44	4	7	8	
283	57	14	5	7	4	7	8	
284	10	14	5	7	4	7	51	
285	37	3	23	1	7	65	52	
286	26	50	22	15	30	40	3	
287	10	14	10	41	79	7	10	
288	59	20	23	1	33	29	7	
289	10	14	5	44	4	29	8	
290	10	14	5	44	4	79	8	
291	10	14	69	44	4	7	8	
292	10	14	5	7	4	7	7	
293	58	20	23	1	33	29	7	
294	6	20	23	45	33	29	7	
295	6	20	5	1	33	29	23	
296	10	14	5	12	4	89	8	
297	6	20	23	7	33	29	7	
298	45	34	66	1	105	44	1	
299	6	20	23	45	33	88	7	
300	10	14	5	44	4	7	51	
301	10	14	4	5	106	7	8	
302	3	18	53	1	62	64	34	
303	10	59	4	3	4	3	8	
304	6	20	21	1	33	29	7	
305	6	3	23	1	33	29	7	
306	4	60	70	41	7	7	63	
307	48	41	41	8	69	7	29	
308	1	1	1	13	110	7	16	
309	50	9	32	50	14	7	4	
310	55	11	16	14	111	2	3	
311	11	43	35	11	51	31	19	
312	3	4	17	8	112	13	34	
313	1	10	1	1	1	90	5	
314	50	8	36	51	113	91	64	
315	45	4	17	1	114	3	34	
316	26	14	71	43	116	92	23	
317	48	46	72	11	95	13	45	
318	45	22	19	19	44	38	48	
319	1	1	1	14	115	1	10	
320	14	51	16	48	15	2	3	
321	28	14	1	1	62	13	1	
322	10	14	4	15	4	7	8	
323	10	14	4	5	78	7	8	
324	10	14	41	5	4	7	8	
325	10	14	58	5	4	7	8	
326	10	14	7	5	4	7	8	
327	32	20	8	5	4	7	8	
328	32	14	4	5	4	7	8	
329	1	1	1	1	31	1	5	
330	10	14	4	5	4	7	16	
331	32	20	21	13	99	7	8	
332	10	14	4	43	4	7	65	
333	72	14	4	5	4	7	8	
334	71	17	58	18	35	58	56	
335	10	14	4	5	117	7	8	
336	10	14	74	5	4	7	8	
337	10	14	4	3	120	3	8	
338	10	14	4	5	4	94	8	
339	10	14	4	27	4	7	67	
340	5	33	7	47	118	93	29	
341	47	60	19	1	119	90	62	
342	10	14	75	5	4	7	8	
343	10	20	73	5	4	7	8	
344	42	14	76	5	4	7	8	
345	10	14	4	5	4	7	66	
346	30	20	7	1	10	41	29	
347	73	14	4	5	4	7	8	
348	47	54	19	1	94	90	62	
349	28	14	13	1	62	13	1	
350	48	46	72	11	95	70	45	
351	6	20	41	40	77	63	43	
352	48	41	41	8	69	60	18	
353	121	83	109	48	101	145	97	
354	40	83	67	48	169	145	97	
355	63	8	58	8	92	58	29	
356	40	83	68	48	169	145	97	
357	11	2	15	8	28	76	3	
358	66	61	60	1	93	86	59	
359	42	57	57	14	62	72	4	
360	68	18	77	7	7	95	34	
361	5	33	7	32	26	21	29	
362	54	16	5	2	3	11	7	
363	16	8	16	48	30	1	3	
364	121	81	109	1	167	145	97	
365	53	74	134	1	214	80	99	
366	6	11	41	7	77	3	43	
367	1	1	1	1	67	1	5	
368	3	4	17	11	54	3	34	
369	1	22	19	19	10	17	2	
370	14	14	4	5	4	7	8	
371	33	11	7	8	7	1	3	
372	20	12	9	14	21	23	19	
373	5	2	15	8	26	61	3	
374	75	62	78	1	121	96	69	
375	76	63	79	1	122	97	70	
376	77	64	80	1	123	98	71	
377	78	65	81	1	124	99	72	
378	79	62	82	1	125	100	73	
379	80	66	83	1	126	101	74	
380	14	7	13	1	136	83	83	
381	14	44	15	1	22	1	84	
382	93	46	72	11	47	45	45	
383	94	18	53	14	137	110	34	
384	18	16	3	52	10	28	12	
385	95	54	12	7	30	13	48	
386	18	6	3	14	10	28	12	
387	1	1	1	14	9	111	5	
388	60	51	16	48	15	1	31	
389	1	1	44	14	61	112	5	
390	55	11	16	14	102	113	3	
391	96	73	16	53	7	45	10	
392	5	9	7	15	47	58	29	
393	42	2	38	41	104	55	10	
394	5	33	7	15	26	13	29	
395	14	51	16	48	15	2	31	
396	10	2	15	8	26	61	3	
397	13	16	5	2	3	11	85	
398	1	1	1	14	89	114	37	
399	7	33	7	48	66	1	29	
400	6	20	41	7	77	71	43	
401	11	2	15	8	28	26	21	
402	17	4	6	1	7	66	11	
403	13	11	5	18	3	11	36	
404	1	1	1	14	49	111	5	
405	13	7	5	2	3	11	7	
406	1	1	23	14	9	14	13	
407	42	2	23	41	7	55	10	
408	1	1	1	1	1	21	5	
409	1	1	1	14	15	111	5	
410	42	57	57	14	7	72	4	
411	14	7	13	30	1	21	1	
412	26	14	4	7	4	7	8	
413	3	9	8	19	14	8	4	
414	16	8	16	16	29	1	3	
415	22	19	11	11	22	42	15	
416	1	1	1	1	67	19	5	
417	5	8	58	14	140	13	29	
418	18	6	7	7	10	27	12	
419	26	2	57	7	31	2	3	
420	11	8	29	7	90	57	8	
421	39	8	35	28	63	28	33	
422	14	7	1	30	1	21	1	
423	1	1	1	14	74	62	37	
424	3	4	17	1	62	3	34	
425	39	8	35	11	65	48	19	
426	7	33	7	1	66	1	29	
427	47	60	19	1	26	90	62	
428	11	1	29	7	90	57	8	
429	1	8	1	14	89	114	37	
430	98	33	7	15	7	58	29	
431	5	33	7	15	142	117	29	
432	1	1	97	1	67	42	5	
433	1	1	1	14	49	116	5	
434	97	36	41	29	141	118	18	
435	5	33	7	15	15	14	29	
436	40	1	1	10	15	1	5	
437	5	17	7	1	47	41	29	
438	17	4	17	1	7	1	11	
439	3	4	1	8	112	13	34	
440	1	1	7	1	1	21	5	
441	1	1	7	1	1	1	5	
442	1	8	7	14	9	14	13	
443	45	34	1	1	85	44	1	
444	45	34	18	1	85	44	1	
445	26	17	35	1	78	57	50	
446	29	7	53	1	45	13	1	
447	14	7	17	7	17	13	17	
448	14	7	1	7	17	13	17	
449	1	1	7	14	9	14	13	
450	1	1	7	14	61	112	5	
451	1	1	1	14	61	112	5	
452	98	33	11	15	7	58	29	
453	98	33	35	15	7	58	29	
454	22	19	19	11	22	19	15	
455	22	19	1	11	22	19	15	
456	22	19	13	11	22	19	15	
457	1	1	17	1	1	19	5	
458	22	19	17	11	22	19	15	
459	3	18	53	15	86	30	23	
460	3	18	53	15	86	71	23	
461	100	74	42	2	144	11	86	
462	100	74	42	2	144	121	86	
463	100	74	42	8	144	121	86	
464	21	19	35	7	145	20	18	
465	1	8	1	14	9	14	10	
466	10	14	99	5	4	7	8	
467	10	75	4	5	4	7	8	
468	101	14	4	5	4	123	8	
469	31	14	4	14	4	7	8	
470	40	3	38	1	35	122	87	
471	30	18	53	2	7	3	34	
472	26	2	15	7	22	38	3	
473	5	33	7	1	71	41	29	
474	3	54	65	1	64	78	48	
475	10	14	98	5	4	7	22	
476	28	14	4	3	4	3	88	
477	3	4	17	1	46	124	34	
478	28	33	7	18	11	125	89	
479	14	8	6	30	1	21	1	
480	14	7	7	30	146	21	1	
481	5	1	1	1	1	2	91	
482	1	24	36	14	45	1	5	
483	50	18	32	1	147	120	48	
484	16	8	16	16	78	13	3	
485	33	8	16	16	78	2	3	
486	26	2	100	7	1	38	3	
487	40	1	1	14	1	59	5	
488	1	1	101	1	149	1	5	
489	45	7	48	9	153	2	92	
490	93	1	35	10	25	126	90	
491	3	1	17	1	112	58	34	
492	1	8	1	14	89	127	37	
493	35	60	7	29	152	71	29	
494	1	1	1	1	148	1	5	
495	103	1	1	12	151	21	5	
496	14	7	1	30	150	21	1	
497	1	1	1	14	1	5	5	
498	14	7	16	30	1	21	1	
499	63	54	102	1	84	31	8	
500	1	1	1	1	146	21	5	
501	14	7	1	30	1	21	5	
502	104	8	16	16	17	2	29	
503	33	8	16	16	17	2	3	
504	1	14	53	1	26	129	41	
505	29	45	13	56	45	13	1	
506	102	12	1	11	154	130	10	
507	94	14	53	18	137	128	34	
508	1	1	1	14	115	1	5	
509	50	8	35	7	26	45	32	
510	4	76	7	19	62	39	41	
511	100	74	103	1	155	55	86	
512	6	20	7	18	1	39	43	
513	93	41	41	8	69	60	29	
514	30	2	15	7	22	11	3	
515	105	77	53	7	7	131	34	
516	31	14	4	19	4	7	8	
517	1	1	1	14	45	38	5	
518	5	35	57	14	28	14	9	
519	26	1	46	1	79	64	23	
520	3	18	53	15	47	14	23	
521	14	1	1	1	1	1	5	
522	6	20	7	12	141	39	43	
523	11	2	15	8	15	61	3	
524	42	9	8	2	7	8	4	
525	28	18	1	1	62	13	1	
526	1	4	1	1	67	42	5	
527	3	18	53	18	156	3	48	
528	18	6	3	7	24	28	93	
529	108	16	5	18	3	135	7	
530	42	8	58	4	157	133	29	
531	93	46	72	11	95	70	45	
532	26	11	104	7	62	5	42	
533	45	34	34	1	85	44	1	
534	42	4	17	2	7	1	11	
535	42	4	17	1	7	12	11	
536	30	1	22	36	51	31	29	
537	30	1	22	36	51	13	29	
538	10	2	16	57	26	61	3	
539	5	8	7	15	22	77	29	
540	63	78	105	7	20	134	94	
541	106	1	71	54	46	132	29	
542	107	20	7	10	158	92	29	
543	3	18	53	1	7	12	10	
544	5	33	7	15	22	1	29	
545	18	6	3	52	10	28	12	
546	5	33	7	32	26	136	29	
547	10	14	7	7	4	7	8	
548	42	9	8	1	26	137	4	
549	42	9	8	1	26	130	4	
550	42	9	8	2	159	8	4	
551	17	4	17	1	7	137	11	
552	42	8	58	4	160	133	29	
553	42	2	22	2	30	8	4	
554	95	3	22	15	161	138	11	
555	63	33	7	15	105	38	29	
556	14	51	16	48	29	2	31	
557	13	16	5	2	30	11	7	
558	38	36	41	7	72	46	18	
559	50	79	36	10	162	139	95	
560	21	15	106	7	163	1	41	
561	10	14	4	5	164	7	8	
562	10	14	19	5	4	7	28	
563	109	14	4	5	4	7	8	
564	10	14	56	5	4	7	28	
565	39	8	35	11	165	48	19	
566	93	41	41	8	69	48	29	
567	105	18	53	14	7	3	34	
568	3	9	8	4	26	8	4	
569	110	8	38	4	78	140	28	
570	10	60	4	5	7	7	22	
571	22	60	21	5	4	7	8	
572	10	20	21	5	4	7	22	
573	7	33	42	8	66	1	29	
574	6	43	7	7	77	13	43	
575	95	54	12	1	30	13	48	
576	13	16	5	18	3	11	36	
577	95	2	15	8	30	61	3	
578	3	9	8	2	86	8	8	
579	115	7	13	7	17	13	17	
580	52	1	1	14	62	62	37	
581	22	19	72	1	22	19	15	
582	1	80	1	1	1	13	5	
583	23	3	38	1	166	138	21	
584	5	33	7	1	26	41	29	
585	6	46	107	15	77	122	43	
586	116	1	1	13	17	25	16	
587	117	9	8	2	62	8	4	
588	35	33	7	15	141	71	29	
589	107	20	7	12	26	92	29	
590	37	35	57	14	26	14	5	
591	3	43	52	7	78	28	18	
592	28	33	7	18	11	141	89	
593	118	8	16	14	7	1	3	
594	3	43	52	7	78	28	96	
595	22	19	1	1	1	58	15	
596	1	1	16	14	89	2	1	
597	11	33	7	1	7	41	29	
598	22	4	11	11	22	19	15	
599	42	2	23	43	7	55	10	
600	1	1	1	10	15	1	5	
601	5	33	7	1	112	41	29	
602	5	2	7	1	26	41	29	
603	14	7	16	30	46	21	1	
604	1	8	8	16	1	2	3	
605	118	8	1	1	7	1	3	
606	1	1	1	1	86	14	23	
607	28	33	12	30	11	125	48	
608	93	41	41	8	69	51	98	
609	42	9	8	13	62	8	4	
610	14	8	13	7	17	13	17	
611	53	83	110	1	111	121	99	
612	23	84	111	1	161	7	100	
613	14	5	16	48	29	2	31	
614	1	1	1	8	9	14	13	
615	121	83	109	16	169	145	97	
616	10	14	4	5	1	7	22	
617	10	14	4	5	7	7	22	
618	123	18	1	2	62	49	34	
619	111	18	53	2	7	3	34	
620	113	18	16	47	62	8	34	
621	18	6	3	15	10	28	12	
622	122	86	5	1	62	146	19	
623	14	7	16	1	46	21	1	
624	1	1	1	59	13	25	16	
625	111	86	111	1	170	146	101	
626	111	86	111	1	62	146	101	
627	112	86	16	47	7	8	101	
628	23	18	5	1	62	49	101	
629	123	18	5	1	62	49	101	
630	42	33	7	1	26	41	29	
631	1	14	1	14	9	14	13	
632	1	1	1	14	74	13	37	
633	33	8	16	16	17	142	29	
634	4	15	7	14	78	90	41	
635	31	14	4	5	172	7	8	
636	5	8	58	60	91	13	29	
637	10	14	5	7	4	12	8	
638	124	8	16	16	69	2	3	
639	39	8	35	11	30	48	19	
640	93	46	72	11	95	13	45	
641	10	14	4	7	4	7	8	
642	94	87	41	18	173	74	34	
643	18	8	3	14	10	28	12	
644	1	8	1	14	174	14	13	
645	44	2	112	37	17	2	3	
646	42	2	16	37	17	2	3	
647	125	3	1	1	166	2	5	
648	1	1	35	14	115	1	5	
649	10	14	4	5	171	7	28	
650	10	14	4	61	4	7	28	
651	31	14	4	38	4	7	8	
652	6	43	7	7	77	71	43	
653	1	1	1	14	15	1	37	
654	1	1	1	13	35	25	16	
655	126	14	4	5	4	7	8	
656	10	14	4	66	4	7	8	
657	35	20	36	1	51	49	31	
658	10	14	4	65	4	7	8	
659	10	14	4	14	4	2	8	
660	10	14	4	64	4	7	102	
661	10	14	4	64	4	7	8	
662	10	14	4	67	4	7	8	
663	10	14	4	5	176	7	8	
664	10	14	4	5	177	7	8	
665	10	14	4	8	4	7	8	
666	10	14	4	13	4	7	8	
667	10	14	4	63	4	7	8	
668	42	2	22	18	71	40	4	
669	7	33	7	13	7	1	29	
670	42	2	7	41	17	14	10	
671	17	4	71	62	7	148	11	
672	7	33	7	13	17	1	29	
673	33	2	15	8	26	61	3	
674	5	33	7	32	26	38	29	
675	5	33	34	5	77	8	3	
676	93	46	72	2	175	147	45	
677	10	18	22	5	4	7	22	
678	10	31	4	5	4	7	8	
679	10	14	22	5	4	7	8	
680	33	8	108	16	17	142	29	
681	1	8	1	14	15	1	37	
682	1	1	1	15	15	1	37	
683	93	41	41	8	69	60	98	
684	7	33	42	7	66	1	29	
685	11	8	47	7	17	61	41	
686	7	3	42	1	66	1	29	
687	10	2	15	8	26	13	3	
688	8	1	14	4	17	4	14	
689	7	11	10	48	6	8	1	
690	5	8	58	14	26	13	29	
691	17	4	17	70	7	12	11	
692	3	4	17	11	112	3	48	
693	3	18	53	15	86	44	23	
694	1	24	1	18	15	1	5	
695	131	2	15	8	26	61	3	
696	6	20	41	40	26	63	43	
697	1	1	10	14	186	1	5	
698	22	19	11	74	22	19	15	
699	114	5	38	73	15	158	106	
700	114	1	38	73	15	158	106	
701	1	56	1	14	9	14	13	
702	4	3	34	7	185	60	43	
703	1	11	1	18	15	1	5	
704	18	6	3	7	10	159	12	
705	39	8	35	1	10	160	19	
706	95	54	58	72	161	55	48	
707	93	41	41	8	69	161	98	
708	35	14	22	5	4	7	22	
709	10	14	4	5	188	7	8	
710	41	14	22	5	4	7	22	
711	1	3	38	1	189	1	21	
712	63	54	102	1	17	31	10	
713	110	8	38	75	78	140	28	
714	17	4	32	41	7	12	11	
715	4	15	7	19	62	39	41	
716	105	18	53	2	76	152	34	
717	5	1	7	32	26	41	29	
718	39	8	35	11	47	48	19	
719	8	14	4	9	4	7	8	
720	127	54	16	1	178	55	21	
721	31	14	4	9	4	7	8	
722	10	14	4	54	4	7	11	
723	26	20	36	1	21	49	64	
724	10	20	21	5	4	7	8	
725	22	6	11	12	58	18	22	
726	22	6	11	12	58	18	11	
727	128	88	113	54	9	149	107	
728	6	20	114	1	33	29	7	
729	10	14	115	54	4	7	11	
730	10	14	4	43	4	7	8	
731	6	11	51	1	33	65	7	
732	10	14	5	7	187	7	8	
733	6	11	51	15	80	65	103	
734	26	89	32	14	179	150	21	
735	1	1	1	35	15	64	38	
736	10	14	58	5	4	7	22	
737	45	45	7	66	85	151	43	
738	6	20	38	1	33	29	7	
739	69	6	3	68	10	28	37	
740	3	9	8	7	14	8	4	
741	10	14	116	27	4	7	43	
742	40	2	57	69	180	152	104	
743	18	90	117	7	10	153	105	
744	10	19	21	5	4	7	8	
745	63	50	22	15	30	9	3	
746	105	18	53	2	7	3	34	
747	22	19	11	11	35	18	5	
748	22	19	11	11	35	18	15	
749	10	10	5	7	4	7	8	
750	10	14	5	11	35	7	8	
751	26	14	121	27	78	55	21	
752	18	6	3	7	10	28	8	
753	63	3	57	1	30	122	10	
754	10	14	121	5	7	7	8	
755	26	60	121	27	78	55	21	
756	18	6	3	15	24	28	19	
757	26	87	16	1	181	55	35	
758	10	1	118	5	4	69	35	
759	129	91	119	54	4	84	57	
760	23	3	5	1	11	66	21	
761	6	42	43	9	182	154	21	
762	63	54	102	1	175	31	4	
763	35	25	38	53	62	40	4	
764	1	1	1	70	15	21	5	
765	6	20	7	18	7	39	43	
766	53	74	109	70	111	155	86	
767	30	33	12	7	183	156	83	
768	37	11	32	18	22	156	48	
769	130	92	121	71	62	55	21	
770	63	54	57	72	17	157	10	
771	1	1	1	1	184	1	5	
772	7	11	120	14	6	16	9	
773	18	57	3	27	24	28	19	
774	18	6	3	27	24	28	19	
775	21	12	122	7	19	24	19	
776	5	33	7	15	87	130	29	
777	1	1	44	14	61	112	29	
778	5	33	7	15	47	58	15	
779	22	19	123	3	22	19	57	
780	93	46	72	11	95	70	5	
781	132	1	38	48	60	44	13	
782	1	1	1	14	9	14	4	
783	95	54	12	54	30	13	48	
784	45	4	17	1	114	3	24	
785	55	11	16	76	89	113	3	
786	1	1	1	13	13	25	5	
787	3	18	53	2	46	163	29	
788	3	18	53	2	86	163	23	
789	3	18	53	2	86	164	23	
790	4	15	124	8	191	63	41	
791	4	15	124	8	26	63	41	
792	42	9	12	2	46	8	23	
793	45	45	1	77	190	58	92	
794	45	93	48	78	25	83	2	
795	45	93	48	78	25	83	92	
796	45	45	1	15	190	58	92	
797	69	54	8	47	80	122	61	
798	134	33	7	7	11	162	48	
799	134	33	7	7	11	163	48	
800	134	33	7	7	11	125	48	
801	134	33	7	7	190	163	48	
802	63	32	7	79	46	74	29	
803	18	6	3	43	10	28	12	
804	35	20	36	1	192	40	31	
805	39	8	35	11	45	48	19	
806	39	8	35	41	65	48	19	
807	23	33	7	1	26	41	29	
808	1	14	1	5	15	7	8	
809	10	14	10	41	79	166	10	
810	45	34	34	1	51	44	1	
811	70	25	1	15	10	167	19	
812	3	18	53	15	179	44	23	
813	10	14	4	70	4	7	8	
814	135	43	52	7	78	28	39	
815	8	27	27	14	37	15	24	
816	10	74	125	5	12	87	60	
817	3	18	53	2	86	130	23	
818	1	1	1	14	89	123	37	
819	14	8	16	16	17	2	3	
