ST	adk	argA	aroA	glnA	thrA	tmk	trpE
153	12	26	25	22	31	26	28
154	24	27	34	33	35	30	29
155	25	28	35	34	36	31	30
156	26	29	36	35	37	32	31
157	24	30	37	36	38	33	32
158	27	25	33	37	39	29	27
159	28	31	38	21	40	14	33
160	16	13	24	38	24	18	34
161	29	32	39	32	21	34	19
162	9	17	28	39	29	35	35
163	30	33	40	40	18	36	36
164	31	11	22	23	22	16	17
165	32	34	41	41	41	37	37
166	33	2	1	2	5	6	1
167	34	35	42	42	43	39	39
168	12	21	21	22	25	40	19
169	24	36	34	36	38	30	40
170	26	29	36	35	37	32	41
171	16	13	24	38	44	41	42
172	12	21	25	22	31	26	19
173	35	37	43	43	45	42	43
174	36	15	26	44	27	20	44
175	37	38	44	45	46	43	45
177	34	40	46	47	48	45	47
179	12	10	25	22	31	26	28
180	40	42	47	49	50	47	49
181	41	43	34	36	51	48	32
182	16	13	48	38	24	49	34
183	42	44	43	50	45	51	51
184	43	37	43	51	52	42	52
185	13	45	22	23	22	16	17
186	24	27	49	36	53	48	32
187	11	9	20	21	54	52	53
188	15	8	23	52	55	53	14
189	44	13	24	38	24	18	42
190	14	46	22	23	22	16	17
191	19	18	50	29	56	23	26
192	45	47	51	53	57	54	54
193	46	48	52	54	58	55	37
194	28	49	38	21	40	14	33
195	42	37	43	50	45	51	55
196	47	13	53	55	59	56	56
197	48	50	54	56	60	57	57
198	49	51	55	39	18	58	22
199	17	15	26	26	61	59	58
200	50	52	21	32	62	60	59
201	51	2	1	2	5	2	10
202	23	25	56	37	63	61	50
203	52	24	57	29	30	23	23
204	11	53	38	57	20	62	61
205	12	10	21	22	25	63	16
206	11	9	58	21	20	14	53
207	37	38	59	58	46	43	62
208	12	54	25	31	21	64	16
209	14	11	22	23	22	16	63
210	12	21	25	22	25	26	28
211	49	55	60	28	18	65	64
212	53	56	61	59	64	66	65
213	54	57	62	24	65	67	14
214	14	11	22	23	66	16	17
215	55	58	63	60	67	68	66
216	43	37	43	51	68	42	55
217	56	59	64	61	69	69	67
218	35	37	43	62	45	42	55
219	34	60	46	63	70	70	68
220	29	10	25	22	25	71	16
221	21	20	30	30	71	72	69
222	57	61	54	64	72	73	57
223	20	10	21	22	25	24	19
224	58	62	65	65	73	74	70
226	59	48	67	66	74	76	71
228	39	19	21	22	31	15	16
229	21	20	68	30	75	78	72
230	12	10	39	22	21	19	16
231	39	19	21	22	25	15	16
232	12	22	21	22	31	15	16
233	12	21	25	22	25	15	16
234	12	10	21	22	25	15	19
235	18	16	33	37	63	38	60
236	22	64	29	29	56	79	73
238	60	65	69	67	76	81	74
240	1	2	1	10	3	6	2
241	18	25	33	27	42	38	38
242	12	10	25	22	25	15	16
243	18	63	33	27	34	50	50
244	35	37	43	43	45	42	55
245	14	14	70	23	22	16	17
246	12	54	21	31	21	27	16
247	61	52	31	31	77	83	75
248	20	23	21	32	33	28	25
249	62	10	31	31	31	84	19
252	12	19	21	22	25	24	19
256	66	21	25	22	31	87	19
258	12	10	21	22	25	63	79
259	13	11	22	23	22	16	80
261	20	69	25	22	83	90	81
262	68	65	69	71	76	81	82
263	68	70	69	72	84	81	74
264	69	2	1	2	8	2	1
265	70	71	74	73	85	91	83
266	71	72	75	74	86	92	84
267	72	73	76	75	87	93	85
269	1	74	1	6	8	7	2
270	5	4	11	76	15	9	9
271	4	2	10	2	2	5	87
272	1	5	1	2	5	3	1
273	73	37	43	43	68	42	43
274	74	75	77	77	89	94	88
275	35	37	43	43	45	95	55
276	64	67	72	78	90	96	89
277	64	76	72	79	91	86	89
278	75	67	72	78	90	86	89
279	64	76	72	79	90	86	89
280	64	67	78	79	90	86	77
281	76	77	79	80	53	97	90
282	11	31	20	21	54	52	91
283	77	8	23	81	92	17	92
284	78	78	80	82	93	98	93
285	22	24	29	29	94	99	26
286	24	27	34	36	35	100	29
287	79	13	53	25	24	101	42
288	1	79	1	2	5	2	10
289	12	10	81	83	49	83	16
290	80	32	39	32	21	34	19
291	9	80	82	84	95	102	94
292	12	32	25	22	25	103	16
293	12	21	25	22	96	19	19
294	81	81	83	85	97	32	95
295	12	10	21	22	25	24	16
296	29	21	39	22	25	104	19
297	39	19	25	22	25	15	16
298	12	10	21	22	25	26	16
299	29	10	25	22	21	28	96
300	29	21	21	22	25	28	96
301	12	21	84	22	25	28	16
302	62	41	85	48	21	28	16
303	27	82	33	37	34	21	27
304	29	10	31	22	25	28	19
305	12	10	85	22	25	105	19
306	78	83	86	84	98	106	97
307	12	21	25	22	99	26	19
308	68	65	87	86	100	81	74
309	12	84	88	87	25	15	16
310	12	41	25	32	101	90	16
311	29	10	89	22	21	15	16
312	20	85	21	22	21	28	81
313	82	41	90	83	21	107	98
314	12	10	31	22	21	83	75
315	83	41	91	22	102	19	16
316	58	86	92	88	73	108	99
317	84	51	93	89	103	109	100
318	41	30	34	36	104	30	101
319	12	87	21	22	21	110	16
320	9	17	94	40	18	111	22
321	80	32	39	32	105	34	19
322	12	88	21	22	25	19	16
323	85	89	93	40	29	112	102
324	12	23	21	22	25	28	81
325	1	2	1	2	5	2	103
326	49	17	95	40	18	58	104
327	28	90	38	21	40	14	33
328	29	21	84	22	25	28	96
329	12	21	25	22	21	26	105
330	12	10	39	31	25	103	19
331	12	21	88	22	83	28	79
332	18	91	33	90	34	38	106
333	12	84	25	22	96	84	16
334	22	24	32	91	30	23	107
335	86	41	31	83	31	104	16
