ST	colA	groEL	sodA	plc	gyrB	sigK	pgk	nadA	clonal_complex
70	6	3	42	5	4	3	3	10	
71	38	4	6	42	3	20	1	38	
72	4	29	19	43	1	5	4	1	
73	39	19	1	4	3	5	1	1	
74	62	15	57	66	10	21	9	57	
75	40	19	43	44	2	18	1	13	
76	6	5	1	33	24	4	7	39	
77	4	34	1	6	4	4	3	1	
78	4	19	3	4	3	5	20	1	
79	41	55	44	65	23	26	21	40	
80	41	54	44	65	23	26	21	40	
81	19	10	1	5	9	2	3	1	
82	3	5	1	5	5	2	3	1	
83	19	5	3	5	5	2	3	1	
84	4	30	19	3	1	3	3	1	
85	4	8	1	1	8	7	4	1	
86	4	5	3	5	5	2	6	1	
87	4	30	1	73	3	12	8	11	
88	1	5	1	6	4	4	3	3	
89	4	19	3	4	3	22	20	1	
90	19	5	1	5	5	24	3	1	
91	10	1	1	73	3	2	1	1	
92	4	3	5	3	1	3	3	3	
93	41	54	44	65	23	23	21	40	
94	4	9	5	3	1	3	3	3	
95	4	1	66	74	3	5	1	1	
96	19	3	19	5	4	5	3	1	
97	42	19	3	4	3	5	20	1	
98	6	6	1	3	1	5	4	1	
99	43	4	45	45	2	27	22	41	
100	43	4	46	45	2	27	22	41	
101	1	5	1	5	5	2	3	1	
102	44	17	12	17	12	13	10	15	
103	4	1	1	46	3	5	4	1	
104	4	4	3	4	3	2	1	1	
105	46	36	47	47	30	5	12	42	
106	39	19	1	48	3	5	1	1	
107	4	56	43	43	1	3	3	1	
108	3	1	3	1	3	5	1	1	
109	47	37	48	49	31	28	24	30	
110	14	16	9	54	9	8	8	8	
111	48	5	49	3	24	4	7	1	
112	58	51	10	11	5	5	3	11	
113	49	38	3	50	32	29	20	1	
114	50	39	1	50	1	5	4	1	
115	49	38	50	50	32	29	12	1	
116	3	53	5	72	25	35	12	8	
117	4	56	43	3	1	3	3	1	
118	65	19	1	4	3	5	1	1	
119	3	24	1	46	3	2	4	1	
120	4	56	1	5	5	2	3	1	
121	19	5	1	5	5	2	3	3	
122	52	1	3	51	3	4	1	1	
123	2	2	2	1	42	2	2	63	
124	7	40	46	52	3	2	1	13	
125	4	3	1	71	8	2	12	39	
126	4	8	5	4	2	7	1	11	
127	53	38	50	50	33	30	12	1	
128	45	57	4	70	40	2	24	6	
129	48	5	1	3	24	4	7	1	
130	66	58	1	50	1	41	4	1	
131	12	33	38	69	37	25	18	36	
132	23	21	29	20	16	31	14	43	
133	12	41	59	20	16	17	14	44	
134	37	19	1	34	1	19	1	37	
135	23	12	18	20	16	17	14	20	
136	54	42	1	54	1	7	1	11	
137	6	6	1	32	1	5	4	1	
138	23	12	24	55	18	17	14	18	
139	23	12	24	20	16	17	14	20	
140	55	43	41	56	35	32	15	45	
141	34	44	51	57	36	33	25	46	
142	60	45	52	58	37	25	26	47	
143	19	5	1	5	1	2	3	1	
144	19	5	3	5	1	2	3	1	
145	23	12	67	20	16	17	14	20	
146	63	46	60	67	38	40	8	59	
147	23	12	29	20	18	17	27	20	
148	23	12	21	23	18	17	14	45	
149	23	12	29	20	16	17	14	20	
150	23	26	27	76	16	17	14	20	
151	20	59	41	77	16	42	30	27	
152	55	51	10	11	5	5	3	11	
153	23	47	29	20	18	17	27	20	
154	6	6	1	7	11	5	4	1	
155	4	5	1	3	5	4	3	3	
156	67	16	1	78	43	4	4	51	
157	31	2	61	37	2	7	28	56	
158	7	48	1	8	32	6	5	60	
159	4	49	15	59	1	34	3	48	
160	56	7	62	60	1	35	1	49	
161	57	44	53	36	28	36	26	50	
162	23	12	18	20	16	17	13	20	
163	1	50	63	61	39	37	8	51	
164	10	51	1	62	11	4	8	61	
165	58	14	9	11	9	38	8	52	
166	4	3	14	10	3	2	1	13	
167	64	4	54	63	2	27	22	41	
168	3	1	1	4	3	2	1	1	
169	59	52	64	64	40	39	9	1	
170	3	4	1	3	5	3	3	3	
171	19	34	1	5	5	2	2	3	
172	54	19	65	22	2	18	1	53	
173	23	12	24	20	16	17	14	54	
174	3	4	43	3	5	2	3	3	
175	4	53	55	68	41	5	29	55	
176	4	5	1	3	5	4	3	1	
177	61	44	56	38	37	26	26	62	
178	4	3	1	6	8	2	1	1	
179	4	19	1	4	3	2	1	1	
180	3	5	1	3	1	5	11	1	
181	4	1	46	1	3	5	1	1	
182	19	60	1	3	5	2	2	64	
183	3	4	43	3	1	3	3	1	
184	20	1	14	19	5	2	2	14	
185	68	61	68	67	44	43	8	65	
186	19	56	1	79	1	2	3	1	
187	41	62	69	36	28	25	26	66	
188	32	5	1	31	5	44	4	45	
189	69	16	70	80	38	8	31	67	
190	4	3	1	10	8	2	32	1	
191	75	57	32	83	47	16	3	55	
192	44	17	12	1	3	13	10	15	
193	71	63	1	6	45	45	7	68	
194	72	17	12	17	12	13	10	15	
195	3	4	1	1	3	5	1	1	
196	4	8	5	9	2	7	1	11	
197	73	5	32	33	24	4	7	1	
198	4	1	3	4	3	2	1	69	
199	3	3	1	3	46	3	3	3	
200	4	1	20	1	3	2	1	13	
201	74	19	32	80	8	4	7	1	
202	22	19	71	81	3	5	1	33	
203	3	24	1	4	3	2	1	1	
204	4	5	72	13	1	46	34	9	
205	16	64	73	82	2	19	4	70	
206	23	12	21	23	16	17	14	76	
207	4	66	1	5	5	2	44	1	
208	23	59	41	56	16	50	41	83	
209	85	16	23	24	43	4	4	75	
210	6	101	93	5	5	2	2	3	
211	105	19	1	7	3	5	4	45	
212	80	12	78	56	35	32	15	27	
213	23	12	29	23	18	17	16	20	
214	3	19	1	5	3	5	20	1	
215	84	4	46	102	2	2	22	82	
216	6	3	19	3	1	5	4	1	
217	104	78	96	120	54	55	47	84	
218	23	12	27	20	16	17	14	20	
219	23	12	29	23	18	17	16	18	
220	6	5	1	33	24	4	7	9	
221	1	63	1	4	25	2	1	13	
222	3	1	14	19	5	2	2	1	
223	102	1	14	3	5	2	2	1	
224	3	87	46	10	3	5	20	1	
225	4	1	3	4	3	2	1	1	
226	20	12	98	20	16	17	13	26	
227	23	12	21	20	18	17	15	18	
228	81	12	24	20	18	17	14	18	
229	4	1	3	4	3	2	1	63	
230	3	58	5	3	1	7	4	28	
231	4	49	1	88	1	3	37	102	
232	82	89	86	72	3	35	12	8	
233	16	75	15	101	41	5	1	77	
234	1	63	5	4	25	2	1	13	
235	92	100	83	46	3	16	3	78	
236	100	68	94	123	50	53	45	87	
237	93	75	101	87	2	52	43	79	
238	25	14	1	119	43	4	8	105	
239	79	20	4	95	2	58	12	32	
240	71	63	1	94	45	45	48	61	
241	20	1	14	19	5	2	2	72	
242	10	19	1	62	11	4	8	61	
243	83	33	38	122	55	25	18	36	
244	19	86	1	5	5	2	3	1	
245	23	12	80	20	16	17	38	20	
246	23	12	24	91	16	17	14	20	
247	91	64	84	98	63	19	4	74	
248	25	14	22	24	11	4	8	23	
249	23	21	29	20	18	31	14	20	
250	88	95	89	103	25	12	4	105	
251	1	10	25	107	16	1	15	91	
252	97	95	89	103	25	12	4	105	
253	33	4	40	31	7	4	3	19	
254	19	85	3	5	5	2	3	1	
255	36	33	38	69	55	25	18	36	
256	19	65	1	5	1	2	3	1	
257	23	67	27	55	18	17	14	20	
258	1	81	1	61	43	4	8	105	
259	10	99	102	62	11	4	8	61	
260	94	80	85	93	48	56	42	85	
261	95	79	75	90	53	51	12	86	
262	37	1	3	10	3	2	1	1	
263	23	12	29	20	18	17	15	18	
264	76	4	40	21	6	4	3	19	
265	19	60	1	5	5	2	2	3	
266	3	1	1	1	3	5	1	1	
267	3	58	87	3	1	5	4	28	
268	3	5	1	33	24	4	7	1	
269	6	103	35	35	2	4	2	13	
270	89	29	82	96	57	19	12	104	
271	3	1	3	4	3	2	1	71	
272	1	70	63	118	60	4	8	89	
273	90	7	88	10	42	5	12	2	
274	61	6	1	7	1	5	4	1	
275	20	75	14	1	5	5	33	1	
276	103	42	4	96	3	48	1	103	
277	3	1	14	1	3	5	33	1	
278	3	71	1	46	3	2	1	1	
279	77	41	1	1	8	19	4	1	
280	19	5	43	5	5	2	3	1	
281	3	4	3	1	3	4	1	1	
282	6	5	1	33	24	4	7	19	
283	78	87	46	3	3	2	1	1	
284	19	60	1	3	62	5	2	3	
285	38	90	6	46	8	20	1	38	
286	4	19	1	46	3	2	4	1	
287	86	7	76	85	2	19	12	8	
288	87	102	97	121	61	49	11	90	
289	96	74	78	84	52	47	40	1	
290	3	4	1	1	3	5	1	15	
291	98	20	4	95	2	58	12	32	
292	4	5	1	89	5	4	3	1	
293	74	82	74	80	49	57	3	61	
294	4	87	1	4	3	2	3	1	
295	4	4	46	86	2	2	22	41	
296	13	12	6	11	2	8	2	10	
297	3	4	46	1	3	5	1	1	
298	4	1	77	1	3	54	1	1	
299	37	41	1	1	49	19	4	1	
300	101	69	79	96	3	60	1	102	
301	64	4	46	63	2	27	22	73	
302	43	4	46	3	2	27	36	82	
303	4	4	46	97	2	2	22	80	
304	25	4	46	46	2	27	22	41	
305	74	73	32	100	8	62	3	1	
306	107	19	3	4	3	5	20	1	
307	23	14	1	9	43	4	8	11	
308	3	5	1	6	4	2	3	1	
309	6	6	1	7	11	5	4	110	
310	66	84	1	50	1	41	4	1	
311	20	12	29	23	18	17	16	29	
312	20	16	1	128	38	12	4	105	
313	111	19	23	54	65	5	4	94	
314	3	85	3	10	3	5	20	1	
315	19	34	1	5	5	2	3	3	
316	19	10	1	5	5	2	3	1	
317	126	93	89	54	25	12	4	105	
318	23	12	24	23	16	17	14	20	
319	29	108	71	3	3	5	1	13	
320	14	58	92	92	25	62	48	106	
321	4	5	1	5	4	4	3	3	
322	3	5	1	5	4	2	3	1	
323	4	1	5	1	3	2	1	13	
324	3	29	3	10	3	5	20	1	
325	127	16	102	54	38	4	8	111	
326	4	19	1	4	3	5	1	1	
327	128	109	110	49	1	26	9	31	
328	26	41	109	116	25	2	50	1	
329	115	14	9	11	38	4	8	11	
330	85	19	100	104	38	3	8	105	
331	71	63	1	94	45	45	7	61	
332	20	1	1	19	5	2	2	72	
333	66	3	1	50	1	7	4	1	
334	19	5	111	5	1	2	4	1	
335	66	3	1	50	1	41	4	1	
336	116	93	89	117	25	4	4	97	
337	101	69	79	96	3	2	1	1	
338	4	5	104	5	4	4	3	1	
339	1	93	89	9	25	12	4	51	
340	3	29	19	43	1	5	4	1	
341	119	19	1	106	38	63	8	11	
342	120	99	4	54	38	4	51	89	
343	14	24	9	3	38	8	8	11	
344	19	3	79	5	66	2	3	1	
345	4	5	1	3	51	4	3	1	
346	77	56	6	11	25	4	11	13	
347	106	39	1	50	1	5	4	1	
348	3	5	1	3	56	2	39	72	
349	66	3	1	50	4	41	4	1	
350	66	58	1	3	1	41	3	1	
351	109	72	23	108	38	61	41	92	
352	3	5	1	3	5	3	3	1	
353	4	77	1	11	1	5	4	1	
354	3	29	1	43	5	5	4	1	
355	85	29	102	4	49	63	46	3	
356	3	29	3	7	3	5	20	1	
357	3	1	63	10	3	64	1	4	
358	3	5	3	110	3	2	49	52	
359	121	98	105	111	67	65	52	109	
360	122	7	1	112	25	66	53	13	
361	4	57	4	3	25	5	4	75	
362	123	12	106	20	16	17	14	29	
363	3	19	90	5	3	5	20	1	
364	4	3	5	5	1	3	4	1	
365	18	104	107	114	67	67	8	99	
366	124	93	89	117	3	12	4	100	
367	3	49	1	70	3	5	4	4	
368	125	105	108	113	3	2	8	101	
369	4	19	10	4	3	2	1	1	
370	4	19	1	4	3	71	20	1	
371	23	5	1	5	1	2	3	1	
372	66	58	1	3	1	41	4	1	
373	4	106	4	43	70	2	3	1	
374	14	58	92	92	25	68	48	106	
375	26	4	1	5	5	2	3	1	
376	71	3	1	109	25	7	4	1	
377	66	58	1	5	1	41	4	1	
378	12	14	1	9	3	5	4	52	
379	85	93	89	105	25	4	4	89	
380	3	19	1	5	3	5	3	1	
381	26	22	46	27	59	18	1	28	
382	4	34	1	6	4	4	3	93	
383	3	19	1	10	3	5	20	1	
384	110	3	3	124	56	2	1	72	
385	8	94	81	9	2	18	1	1	
386	4	58	1	46	1	2	8	1	
387	19	85	3	10	3	5	20	1	
388	71	63	1	109	25	45	48	61	
389	4	5	1	5	4	4	3	1	
390	3	3	5	4	3	3	4	1	
391	4	19	5	4	3	71	20	1	
392	109	72	23	34	38	61	41	105	
393	4	34	1	3	5	4	3	1	
394	117	96	103	127	29	69	8	98	
395	1	88	79	129	1	70	15	1	
396	112	34	1	130	4	4	3	1	
397	14	14	9	131	38	8	8	52	
398	118	16	112	132	38	4	8	52	
399	4	3	3	133	3	2	1	1	
400	110	3	114	124	56	2	1	72	
401	20	66	113	117	25	12	4	108	
402	74	73	89	135	8	62	3	1	
403	69	41	115	88	43	8	48	39	
404	3	1	5	136	72	7	1	11	
405	12	1	7	109	11	72	4	105	
406	5	5	1	1	3	1	20	3	
407	66	60	1	50	1	7	4	1	
408	3	1	1	5	3	5	20	1	
409	4	49	1	88	1	3	15	102	
410	130	13	7	134	4	9	2	1	
411	4	26	20	1	71	2	1	13	
412	131	19	89	117	25	4	4	91	
413	55	66	85	117	25	12	54	112	
414	9	96	91	44	67	55	8	16	
415	77	41	1	1	8	19	55	1	
416	44	1	12	17	3	13	10	15	
417	4	1	20	1	3	2	4	13	
418	37	17	12	17	12	13	10	15	
419	4	58	87	24	77	80	4	13	
420	120	119	119	141	73	83	9	128	
421	26	19	116	20	1	5	4	113	
422	118	127	74	157	25	84	8	13	
423	1	110	117	137	38	4	15	51	
424	143	41	131	158	43	12	15	132	
425	132	1	1	136	2	7	20	1	
426	60	45	56	58	37	25	26	47	
427	23	12	16	91	18	17	15	29	
428	139	10	6	25	16	17	14	20	
429	142	16	129	4	2	66	4	129	
430	4	1	22	4	3	2	1	13	
431	144	129	74	80	49	57	3	61	
432	10	114	6	145	2	8	6	1	
433	120	99	1	54	38	4	51	89	
434	37	41	81	34	8	19	1	8	
435	148	127	1	1	8	19	4	1	
436	4	7	1	155	2	19	61	127	
437	20	63	46	94	45	82	48	61	
438	19	58	1	50	1	41	4	1	
439	25	24	134	24	25	4	4	105	
440	23	12	133	20	18	17	14	133	
441	131	93	89	117	25	12	4	91	
442	12	29	7	151	1	5	4	105	
443	111	80	74	80	2	4	8	1	
444	3	5	79	7	3	4	49	116	
445	12	29	7	11	11	5	4	105	
446	145	18	127	156	29	81	8	59	
447	11	10	7	11	52	10	6	1	
448	4	60	1	5	5	2	2	3	
449	23	123	119	154	82	11	9	122	
450	6	101	93	5	8	2	2	1	
451	4	5	1	6	4	4	3	1	
452	19	130	1	5	5	2	2	3	
453	3	4	43	3	87	3	3	1	
454	22	126	71	81	3	5	1	128	
455	6	29	3	10	3	5	1	1	
456	84	3	1	7	3	2	49	1	
457	105	1	63	10	3	64	1	4	
458	3	29	1	1	1	5	4	1	
459	3	29	1	1	1	5	7	1	
460	136	104	123	147	44	77	11	95	
461	19	60	1	5	8	2	2	3	
462	134	113	121	142	29	75	56	117	
463	19	85	3	5	5	2	3	3	
464	135	105	108	143	74	76	8	118	
465	7	94	122	144	75	2	1	119	
466	62	15	130	146	85	11	57	131	
467	152	115	119	146	50	73	57	120	
468	4	99	135	9	43	5	8	134	
469	19	5	1	5	5	2	4	1	
470	20	1	5	150	3	2	2	1	
471	1	63	1	4	25	4	1	13	
472	26	19	5	159	25	85	8	75	
473	146	125	128	109	84	19	3	13	
474	71	63	1	117	45	45	48	61	
475	54	58	3	11	86	5	1	13	
476	26	49	23	24	25	12	4	124	
477	5	16	102	140	25	66	8	52	
479	1	127	1	1	8	19	4	1	
481	52	1	3	51	91	4	1	1	
482	52	1	3	51	92	4	1	1	
483	12	19	7	11	11	62	4	105	
484	62	122	136	149	50	11	9	136	
485	74	76	32	80	49	62	3	88	
486	120	15	119	141	73	74	2	115	
487	62	122	126	153	10	73	60	126	
488	133	1	120	46	3	7	1	13	
489	85	29	118	4	16	63	46	105	
490	3	1	43	136	2	3	3	3	
491	1	111	41	138	16	50	30	27	
492	66	58	1	3	94	41	4	1	
493	23	12	21	20	80	17	14	125	
494	3	4	3	1	3	2	1	1	
495	3	1	3	1	3	2	1	1	
496	158	1	3	51	91	4	1	1	
497	71	63	1	3	45	45	48	130	
498	66	58	1	50	3	41	4	3	
499	159	1	3	51	93	4	1	1	
500	132	1	89	136	2	7	1	11	
501	3	1	3	1	3	54	1	1	
502	132	1	5	136	2	7	1	11	
503	11	13	7	134	2	9	6	1	
504	23	12	29	152	18	17	15	18	
505	3	4	1	1	3	1	5	15	
506	3	4	43	3	5	3	3	1	
507	23	12	24	20	80	17	14	125	
508	90	58	79	11	56	24	1	13	
509	4	3	79	10	8	2	1	1	
510	137	116	124	11	76	78	8	15	
511	6	29	1	3	1	5	4	10	
512	4	1	3	34	3	2	1	13	
513	147	19	132	109	49	63	46	8	
514	9	128	6	12	2	9	6	1	
515	4	117	1	4	2	2	1	121	
516	25	4	46	148	2	27	22	82	
517	4	4	1	4	25	2	1	3	
518	138	4	1	3	5	3	3	1	
519	3	1	3	4	3	2	58	1	
520	4	4	1	4	3	2	1	3	
521	38	103	62	17	6	57	59	61	
522	4	4	1	4	1	2	1	3	
523	85	80	23	9	1	57	7	105	
524	74	73	32	135	8	62	3	1	
525	19	69	54	5	81	2	3	1	
526	11	11	7	12	2	9	6	44	
527	11	10	6	139	2	9	6	44	
528	77	41	23	1	8	19	55	1	
529	13	112	6	126	52	8	2	1	
530	62	122	126	153	10	73	62	126	
531	43	4	46	102	2	27	22	41	
532	74	73	32	80	8	62	3	1	
533	7	1	4	4	32	6	5	138	
534	3	29	111	43	1	30	4	4	
535	4	3	1	10	3	2	1	114	
536	4	58	92	92	25	62	48	106	
537	3	29	111	43	1	30	4	1	
538	26	29	140	10	25	24	8	8	
539	62	122	136	149	50	11	66	136	
540	62	136	130	1	50	11	67	131	
541	4	4	1	4	96	2	1	3	
542	44	109	5	4	3	90	7	1	
543	4	1	5	4	3	89	1	1	
544	105	24	1	6	3	29	1	1	
545	4	37	46	10	1	5	12	2	
546	4	4	1	4	3	2	1	1	
547	4	77	1	5	25	5	4	1	
548	6	101	93	11	5	2	2	3	
549	75	38	3	50	33	30	12	1	
550	19	5	3	149	5	2	4	1	
551	110	3	1	124	56	2	1	72	
552	4	1	1	1	1	5	4	1	
553	4	17	3	1	3	2	1	15	
554	16	28	19	159	2	2	1	13	
555	19	60	1	5	5	3	2	3	
556	101	69	79	96	3	2	1	145	
557	1	93	151	9	98	12	4	105	
558	4	142	152	4	3	2	1	1	
559	125	105	108	173	74	76	8	146	
560	4	65	1	174	1	2	3	3	
561	93	7	143	155	2	19	72	142	
562	3	58	144	3	95	5	4	121	
563	160	139	119	167	73	91	65	122	
564	161	1	5	136	25	7	1	11	
565	12	5	145	13	1	46	68	9	
566	3	137	1	4	1	5	69	1	
567	44	109	146	169	1	89	7	143	
568	118	7	79	170	2	5	70	144	
569	3	1	1	4	1	5	69	1	
570	4	37	147	10	1	5	12	2	
571	75	144	148	157	97	84	71	105	
572	94	80	150	93	48	56	42	85	
573	133	138	149	171	29	14	8	58	
574	149	49	154	11	1	12	61	129	
575	90	5	1	172	2	93	50	24	
576	1	143	153	4	3	92	1	13	
577	162	1	3	1	3	2	1	1	
578	14	14	9	11	9	38	8	52	
579	163	145	155	175	37	25	18	46	
580	1	10	156	177	16	94	13	147	
581	23	12	21	23	18	17	16	20	
582	23	12	29	23	18	17	14	22	
583	4	1	3	51	3	4	1	1	
584	166	148	119	180	99	95	74	149	
585	49	38	50	50	32	30	12	1	
586	4	99	102	181	11	4	48	23	
587	153	149	86	11	90	7	2	140	
588	167	34	1	6	4	4	3	1	
589	32	6	1	7	1	5	4	1	
590	20	59	41	56	16	50	41	83	
591	26	93	6	117	25	4	4	91	
592	168	5	32	21	6	4	7	19	
593	10	6	1	182	1	5	4	1	
594	71	63	1	3	45	45	48	81	
595	23	26	24	20	16	17	14	20	
596	11	41	6	12	4	9	6	44	
597	19	85	1	4	5	2	4	1	
598	110	3	114	117	56	2	1	72	
599	4	5	1	3	1	3	3	3	
600	11	128	7	12	2	9	6	1	
601	163	33	38	69	55	25	18	36	
602	11	10	6	12	2	9	6	1	
603	29	19	71	3	3	5	1	13	
604	6	5	1	33	35	4	7	19	
605	37	3	81	148	1	19	1	1	
606	75	88	79	5	5	2	49	1	
607	12	93	22	20	25	4	8	91	
608	3	5	1	110	3	2	49	1	
609	19	34	1	5	1	2	3	1	
610	3	19	1	46	3	2	4	1	
611	4	24	47	4	3	2	1	1	
612	12	16	10	16	25	4	8	91	
613	3	1	3	43	1	5	4	1	
614	3	3	1	3	1	3	3	14	
615	19	5	3	5	5	2	49	1	
616	4	8	5	136	2	7	1	11	
617	3	58	1	50	1	41	4	1	
618	4	15	119	70	73	73	57	42	
619	4	3	1	89	8	2	1	1	
620	1	93	89	9	98	12	4	105	
621	14	14	9	11	25	8	8	11	
622	12	93	10	16	25	4	8	91	
623	17	4	1	3	1	3	3	3	
624	3	5	1	3	3	2	3	1	
625	6	5	1	33	24	4	7	1	
626	3	3	5	7	1	3	4	1	
627	66	3	1	7	1	7	4	1	
628	26	22	26	27	17	18	1	11	
629	4	1	3	4	3	2	1	13	
630	61	80	10	19	2	44	4	121	
631	26	16	1	54	38	4	6	52	
632	3	5	3	110	3	2	49	1	
633	3	4	1	3	1	3	3	10	
634	25	24	134	24	25	4	8	11	
635	4	122	136	149	50	11	9	136	
636	3	4	43	3	5	3	3	3	
637	38	1	3	24	3	2	1	4	
638	3	86	1	5	5	2	3	1	
639	3	5	1	3	1	3	3	3	
640	20	58	92	92	25	62	48	106	
641	26	22	26	27	17	4	1	11	
642	4	1	46	1	3	3	1	1	
643	85	93	89	150	2	97	51	13	
644	66	58	1	3	1	100	4	1	
645	66	150	1	50	1	41	4	1	
646	3	103	62	34	6	57	59	150	
647	45	138	91	183	29	14	8	151	
648	20	66	158	112	25	12	4	152	
649	29	19	159	3	3	5	1	13	
650	23	12	139	184	16	96	14	153	
651	11	19	160	4	1	5	4	113	
652	125	105	108	113	74	76	8	154	
653	20	16	148	185	8	84	71	105	
654	170	14	23	3	25	5	8	13	
655	19	5	1	5	5	2	3	155	
656	4	1	161	4	3	5	1	156	
657	113	138	149	183	29	14	8	157	
658	171	86	1	5	5	2	3	1	
659	20	151	5	54	25	4	8	39	
660	172	61	162	67	44	98	11	158	
661	113	96	149	183	29	14	8	58	
662	151	152	163	186	100	99	8	99	
663	173	26	29	91	3	17	40	153	
664	3	19	1	187	1	5	4	113	
665	174	15	130	149	1	11	9	136	
666	71	63	1	189	45	45	48	61	
667	3	29	19	43	1	5	75	1	
668	6	101	164	5	5	2	2	3	
669	14	14	9	11	9	8	8	105	
670	19	153	1	5	5	2	3	1	
671	4	19	1	190	38	4	76	51	
672	175	1	63	10	3	64	1	1	
673	113	18	149	183	29	14	8	157	
674	3	19	1	10	3	5	20	160	
675	176	5	1	33	24	4	7	19	
676	172	155	165	192	64	101	8	154	
677	4	1	20	193	102	2	10	49	
678	62	87	166	194	73	73	65	28	
679	177	93	102	9	98	12	4	105	
680	19	5	1	5	5	2	3	161	
681	23	12	139	195	89	96	14	139	
682	178	19	89	78	43	4	4	162	
683	19	156	79	5	5	2	77	3	
684	13	157	167	12	2	9	6	1	
685	12	44	56	38	37	26	26	62	
686	3	158	1	3	1	3	3	14	
687	179	1	55	1	3	2	1	163	
688	113	92	149	183	103	14	8	164	
689	113	159	149	183	29	14	8	165	
690	173	26	29	91	3	17	14	153	
691	4	58	3	196	8	2	1	1	
692	19	86	1	5	5	2	3	166	
693	34	45	38	197	104	102	18	167	
694	6	101	93	198	5	2	2	3	
695	41	160	36	199	105	25	18	168	
696	180	152	168	200	106	103	8	169	
697	4	33	38	69	55	25	18	36	
698	181	14	1	132	43	4	8	105	
699	3	49	1	70	108	5	78	4	
700	44	17	12	17	3	13	10	15	
701	4	41	1	1	8	19	4	1	
702	25	63	1	4	25	2	1	13	
703	1	63	1	4	1	2	1	13	
704	24	113	6	151	1	80	1	8	
705	4	57	71	1	25	62	4	1	
706	129	5	1	1	8	19	4	1	
707	3	29	1	4	1	5	4	1	
708	4	1	63	10	109	64	1	3	
709	4	6	3	1	1	5	1	1	
710	39	19	1	4	3	124	1	1	
711	4	1	20	1	3	104	4	8	
712	64	19	1	4	2	5	4	11	
713	65	19	1	4	3	125	1	1	
714	49	38	50	202	110	30	5	170	
715	4	1	63	10	109	126	1	3	
716	105	19	1	7	3	5	4	1	
717	4	1	63	10	109	127	1	3	
718	41	54	44	65	23	105	21	40	
719	6	162	5	3	2	5	4	24	
720	25	4	46	148	111	27	22	41	
721	23	12	21	20	18	17	16	20	
722	19	5	3	5	1	2	3	105	
723	4	1	3	1	3	2	1	13	
724	183	16	169	11	38	4	8	52	
725	184	12	27	204	18	17	15	20	
726	6	164	1	7	1	5	4	1	
727	88	95	89	54	25	12	4	105	
728	1	10	170	205	16	1	41	91	
729	45	35	58	53	29	106	23	58	
730	33	4	40	17	6	107	3	19	
731	19	4	1	3	34	108	3	1	
732	1	70	1	1	11	109	8	23	
733	1	10	25	205	16	1	41	91	
734	23	26	29	20	16	129	14	20	
