ST	glp	gmk	ilv	pta	pur	pyc	tpi	clonal_complex
249	43	26	35	42	39	41	13	ST-111 complex
250	102	35	96	22	85	20	26	
251	46	9	14	11	2	36	7	
252	101	62	94	94	64	86	69	
253	14	8	48	45	58	87	7	
254	103	63	5	15	94	70	11	
255	7	8	9	96	9	88	8	
256	15	6	10	8	3	89	14	
257	15	7	7	2	5	10	13	ST-23 complex
258	104	26	35	40	81	41	30	ST-111 complex
259	98	13	84	84	84	73	74	
260	106	59	58	88	99	78	66	
261	106	13	58	88	99	78	66	
262	89	35	81	22	85	74	26	
263	47	8	88	26	86	36	7	
264	15	7	7	2	56	8	13	ST-23 complex
265	15	7	7	2	93	8	13	ST-23 complex
266	3	2	21	17	36	3	4	
267	79	52	32	70	55	37	24	
268	43	26	35	42	100	41	30	ST-111 complex
269	8	10	5	36	74	22	11	ST-196 complex
270	26	10	104	68	27	32	61	ST-336 complex
271	28	10	35	15	94	94	11	
272	8	10	5	36	74	70	11	
273	26	21	35	69	103	32	77	ST-336 complex
274	26	21	104	25	27	32	18	ST-336 complex
275	59	35	80	22	52	91	26	
276	8	10	16	36	73	22	59	
277	8	10	35	36	76	22	60	
278	83	26	35	42	39	71	30	ST-111 complex
279	64	10	35	66	75	22	11	ST-196 complex
280	8	10	35	36	76	22	11	ST-196 complex
281	43	26	78	67	39	41	30	ST-111 complex
282	26	21	35	68	27	32	18	ST-336 complex
283	18	10	35	66	77	70	62	
284	8	10	35	36	22	70	11	
285	26	21	78	25	78	32	18	
286	64	10	109	66	75	22	11	ST-196 complex
287	64	10	78	66	75	22	11	ST-196 complex
288	26	21	75	25	27	32	18	ST-336 complex
289	108	51	79	69	109	92	79	
290	43	56	111	102	22	96	30	
291	83	26	35	42	39	22	30	ST-111 complex
292	26	21	104	69	103	32	77	
293	43	26	35	42	39	96	30	ST-111 complex
294	71	41	66	48	42	61	49	
295	102	35	107	22	96	20	78	
296	64	10	109	66	104	22	18	
297	108	29	16	13	109	16	79	
298	8	10	5	99	56	97	11	
299	43	26	35	42	39	92	30	ST-111 complex
300	8	10	35	100	56	70	82	
301	43	26	35	42	39	23	30	ST-111 complex
302	64	10	22	105	108	23	11	
303	64	10	78	36	57	98	11	ST-196 complex
304	25	10	78	36	57	23	60	
305	25	10	22	36	106	23	11	
306	43	26	35	42	39	22	30	ST-111 complex
307	83	53	35	42	39	16	30	ST-111 complex
308	81	53	32	71	55	93	80	
309	59	35	106	101	102	95	26	
310	81	53	35	71	113	93	80	
311	64	10	22	105	107	23	11	
312	110	56	111	102	112	96	26	
313	8	10	79	36	76	22	60	ST-196 complex
314	26	21	104	104	27	32	61	ST-336 complex
315	43	53	35	42	39	93	30	ST-111 complex
316	8	10	5	106	73	22	60	
317	7	47	16	13	2	16	7	ST-8 complex
318	103	69	5	15	2	70	11	
319	43	26	35	42	39	12	30	ST-111 complex
320	26	21	16	25	2	32	18	
321	23	10	5	15	17	23	11	
322	64	2	109	66	75	22	11	
323	26	21	35	104	27	32	61	ST-336 complex
324	15	7	7	2	95	10	13	ST-23 complex
325	64	10	22	36	57	23	11	ST-196 complex
326	103	69	108	15	94	70	11	
327	64	10	22	36	26	23	49	
328	8	10	5	36	22	70	11	
329	64	10	18	36	26	23	11	ST-196 complex
330	81	26	35	42	39	93	30	ST-111 complex
331	26	21	104	69	78	32	18	
332	78	51	104	75	105	92	79	
333	26	21	35	103	103	32	77	ST-336 complex
334	8	10	5	36	73	22	59	
335	43	10	35	42	39	32	30	ST-111 complex
336	26	21	35	73	27	32	61	ST-336 complex
337	64	10	78	66	104	22	18	
338	43	26	35	42	39	32	30	ST-111 complex
339	26	67	104	104	27	100	18	
340	43	67	104	104	27	100	18	
341	64	10	22	36	106	23	11	ST-196 complex
342	7	26	35	42	39	41	30	ST-111 complex
343	7	68	81	48	42	101	26	
344	43	8	16	13	2	16	7	ST-8 complex
345	43	26	35	42	39	16	30	ST-111 complex
346	15	26	7	2	5	8	13	ST-23 complex
347	43	26	35	42	100	92	63	ST-111 complex
348	78	51	104	75	111	92	79	
349	78	51	104	75	105	92	11	
350	80	10	5	97	101	22	11	
351	81	53	35	71	113	93	12	
352	78	51	104	72	110	92	79	
353	82	51	110	74	109	92	79	
354	26	21	78	73	27	32	61	ST-336 complex
355	8	21	35	73	27	32	61	ST-336 complex
356	26	21	35	73	27	32	18	ST-336 complex
357	8	10	35	36	22	22	11	ST-196 complex
358	25	10	35	36	57	23	11	
359	7	26	16	13	2	16	7	ST-8 complex
360	20	8	40	30	2	35	57	
361	20	8	40	29	2	25	7	
362	24	22	112	98	71	31	58	
363	13	8	9	107	9	12	81	ST-142 complex
364	77	8	14	12	2	36	7	
365	34	1	32	1	18	33	24	ST-365 complex
366	62	1	113	109	55	102	83	
367	111	45	71	16	18	33	24	
368	19	2	21	5	114	3	84	ST-205 complex
369	48	30	33	37	44	103	5	
370	14	8	43	11	115	104	85	
371	21	2	19	5	32	18	2	
372	14	8	9	28	4	12	86	
373	22	9	18	18	46	19	7	
374	29	2	24	5	32	3	2	ST-205 complex
375	110	34	111	102	112	96	26	
376	8	8	14	12	2	50	7	
377	112	70	114	110	116	105	32	
378	113	31	115	43	117	53	37	
379	33	17	13	112	29	17	7	
380	3	2	116	5	36	3	4	
381	33	8	13	10	2	17	7	
382	34	45	71	16	18	106	24	
383	24	12	21	21	72	31	19	
384	19	2	3	17	19	3	2	ST-205 complex
385	46	71	14	29	24	14	7	
386	13	47	9	108	68	12	24	
387	81	53	117	111	113	93	80	
388	43	26	35	113	39	41	63	ST-111 complex
389	115	1	119	116	119	108	88	
390	15	6	10	8	118	107	14	
391	24	72	33	114	49	31	41	
392	14	8	8	30	120	13	10	
393	84	10	109	66	121	22	87	
394	114	22	118	115	66	66	52	
395	13	8	8	11	4	12	53	ST-142 complex
396	92	22	33	37	71	31	19	
397	41	6	12	9	4	39	15	
398	7	8	16	13	10	16	7	ST-8 complex
399	7	8	16	13	2	109	7	ST-8 complex
400	7	8	16	13	2	22	7	ST-8 complex
401	7	10	22	36	57	22	11	ST-196 complex
402	7	10	79	36	56	22	11	ST-196 complex
403	8	8	5	123	22	70	11	
404	8	10	5	123	57	70	11	
405	18	10	79	66	77	70	62	
406	25	10	127	36	57	23	11	
407	26	8	16	13	2	16	7	ST-8 complex
408	26	10	109	66	56	22	18	
409	26	21	104	73	27	32	61	ST-336 complex
410	64	10	22	36	83	23	11	ST-196 complex
411	64	10	79	66	56	22	18	ST-196 complex
412	64	10	79	36	125	16	11	ST-196 complex
413	64	10	109	66	56	22	18	ST-196 complex
414	64	10	127	36	57	23	11	ST-196 complex
415	64	10	127	119	57	23	11	
416	84	10	109	66	104	22	87	
417	118	51	125	121	123	92	79	
418	121	51	128	121	109	92	79	
419	26	21	126	104	27	110	61	ST-336 complex
420	7	8	16	66	2	16	7	ST-8 complex
421	64	10	127	36	26	23	11	ST-196 complex
422	119	8	40	30	2	109	93	
423	120	63	5	15	124	70	94	
424	64	10	79	36	53	22	11	ST-196 complex
425	25	10	22	122	26	23	11	
426	25	10	22	122	106	23	11	
427	122	8	8	11	9	12	10	ST-142 complex
428	108	51	130	121	109	92	79	
429	121	51	128	121	109	92	95	
430	26	21	126	25	78	32	18	
431	64	10	127	36	83	23	11	ST-196 complex
432	64	10	5	66	56	22	18	ST-196 complex
433	8	10	5	123	22	70	11	
434	26	21	126	104	78	32	18	
435	15	6	131	11	4	111	21	
436	8	10	79	124	56	22	11	ST-196 complex
437	15	6	10	42	3	7	7	
438	63	13	3	23	25	44	35	
439	15	25	47	8	126	3	21	
440	48	30	47	61	44	31	51	
441	48	30	129	61	44	31	51	
442	25	10	10	53	57	23	44	
443	3	2	40	17	36	3	4	
444	3	2	47	17	36	3	4	
445	98	9	22	84	84	73	74	
446	33	47	40	19	60	17	7	
447	3	10	79	36	56	22	11	ST-196 complex
448	64	10	79	66	75	22	18	ST-196 complex
449	64	10	47	66	104	22	87	
450	13	33	46	28	9	12	7	ST-142 complex
451	73	73	129	22	127	63	4	
452	3	2	22	5	16	3	4	
453	78	51	104	120	110	92	79	
454	64	10	8	36	106	23	11	ST-196 complex
455	64	10	109	36	56	22	18	ST-196 complex
456	64	10	22	36	106	22	11	ST-196 complex
457	64	10	104	22	106	23	11	
458	91	71	14	12	12	14	7	ST-18 complex
459	123	47	9	11	68	12	10	
460	65	1	56	1	1	53	24	
461	55	1	83	1	55	37	43	
462	19	2	21	5	19	3	91	ST-205 complex
463	24	22	33	37	48	31	19	
464	13	32	8	11	9	12	7	ST-142 complex
465	11	9	14	29	12	14	7	ST-18 complex
466	125	8	14	12	2	25	7	
467	43	75	35	42	39	41	63	ST-111 complex
468	126	6	133	46	130	114	37	
469	124	76	135	127	132	115	98	
470	43	74	35	42	39	112	96	ST-111 complex
471	43	50	35	125	128	41	30	ST-111 complex
472	14	8	136	30	29	17	13	
473	125	8	14	12	2	50	7	
474	3	23	132	116	38	37	99	
475	55	22	137	21	129	113	97	
476	127	27	134	126	131	42	100	
477	128	22	33	128	48	116	7	
478	43	50	35	125	133	117	30	
479	15	6	47	8	4	41	7	ST-97 complex
480	129	77	138	129	134	118	101	
481	130	77	139	129	134	118	102	
482	131	78	140	130	135	119	103	
483	132	77	138	129	134	118	101	
484	132	77	138	131	134	118	102	
485	133	79	29	8	4	8	21	
486	131	78	142	132	136	119	103	
487	83	26	143	133	91	41	30	
488	134	13	9	134	84	73	74	
489	135	77	138	129	134	118	102	
490	43	50	35	125	128	118	65	
491	132	77	141	131	134	118	101	
492	129	77	138	129	134	118	102	
493	12	8	13	10	2	17	7	
494	131	78	142	130	135	119	103	
495	43	50	35	125	128	41	65	
496	12	8	9	135	9	12	10	
497	98	13	9	84	84	73	74	
498	100	1	144	136	55	37	24	
499	129	77	138	129	137	118	101	
500	15	80	145	9	4	8	21	
501	7	8	14	26	138	50	7	
502	16	6	12	9	4	7	15	
503	33	8	146	19	8	120	104	
504	43	74	35	42	39	41	63	ST-111 complex
505	87	26	78	42	39	41	30	ST-111 complex
506	40	8	147	44	2	36	7	
507	16	6	12	9	4	121	15	
508	136	78	142	132	135	119	103	
509	126	6	133	46	4	114	37	
510	83	26	143	42	139	41	30	ST-111 complex
511	13	8	9	28	9	12	8	ST-142 complex
512	14	8	148	11	4	12	23	
513	59	81	149	137	140	122	32	
514	137	82	150	138	141	123	105	
515	132	77	138	131	134	125	102	
516	13	8	44	19	15	17	21	
517	13	8	8	29	4	12	21	ST-142 complex
518	24	7	33	37	11	10	19	
519	110	62	45	110	116	93	32	
520	13	8	9	5	30	12	81	
521	12	8	9	32	18	62	81	
522	24	2	9	5	5	3	22	
523	55	23	74	11	38	43	34	
524	33	9	14	19	9	14	22	
525	38	23	74	39	2	37	42	
526	55	23	122	5	38	43	34	
527	15	8	8	1	50	14	13	
528	13	8	38	30	2	12	7	ST-142 complex
529	24	2	74	2	30	3	22	
530	27	20	40	32	4	24	21	
531	96	8	8	8	10	12	10	
532	5	4	3	11	15	6	16	
533	13	8	23	11	9	12	31	ST-142 complex
534	12	1	14	30	9	13	5	
535	10	9	11	29	18	14	7	
536	13	8	83	14	18	12	10	
537	56	1	9	11	18	53	64	
538	56	1	83	86	48	53	64	
539	37	9	14	12	10	14	21	ST-18 complex
540	37	9	14	9	38	14	7	ST-18 complex
541	33	8	9	4	8	17	7	
542	6	23	38	39	14	4	3	
543	33	8	38	39	11	12	7	
544	117	9	18	18	24	14	7	
545	7	9	152	12	12	14	7	ST-18 complex
546	65	1	1	1	1	53	19	
547	91	9	18	2	20	19	7	
548	15	7	7	2	2	8	13	ST-23 complex
549	3	2	59	17	19	126	55	
550	143	71	153	26	2	127	7	
551	86	57	81	80	80	128	113	
552	113	31	1	43	1	53	7	
553	113	31	1	43	1	53	37	
554	43	50	35	125	133	41	30	ST-111 complex
555	89	68	81	48	42	101	26	
556	43	26	35	102	39	41	65	ST-111 complex
557	110	56	111	42	112	96	26	
558	43	26	35	1	39	41	30	ST-111 complex
559	55	1	83	42	55	37	43	
560	43	74	35	102	39	41	63	ST-111 complex
561	110	26	78	40	39	41	26	
562	43	26	35	40	39	41	65	ST-111 complex
563	81	35	107	22	96	20	26	
564	59	68	81	48	42	101	26	
565	102	56	75	22	42	20	26	
566	25	10	22	36	57	23	11	
567	59	68	81	48	42	101	63	
568	103	10	5	15	94	41	11	
569	84	10	79	36	74	22	11	ST-196 complex
570	87	26	22	21	91	117	49	
571	84	10	5	99	56	9	26	
572	59	35	80	101	52	20	72	
573	59	35	80	22	52	20	72	
574	103	10	127	36	57	23	26	
575	59	35	111	101	52	20	11	
576	64	10	107	36	17	22	11	ST-196 complex
577	25	10	22	36	106	23	26	
578	110	56	111	102	112	96	11	
579	68	54	98	2	37	84	26	
580	68	54	111	2	37	84	78	
581	102	35	107	22	96	20	18	
582	68	54	98	2	98	84	13	
583	102	35	94	22	96	20	78	
584	26	10	104	75	39	92	79	
585	8	10	79	36	22	99	11	ST-196 complex
586	82	35	111	101	52	20	79	
587	8	8	43	11	52	104	26	
588	64	10	79	36	56	99	11	ST-196 complex
589	25	10	79	36	56	22	11	ST-196 complex
590	38	10	22	36	26	23	11	
591	7	8	14	12	2	16	7	ST-8 complex
592	144	10	155	142	56	129	18	
593	68	54	98	2	37	84	30	
594	91	9	18	18	20	19	7	
595	145	1	83	1	1	37	88	
596	15	54	103	2	98	84	13	
597	59	43	70	60	64	63	32	
598	64	10	159	147	144	129	18	
599	64	10	160	147	144	129	18	
600	86	57	81	80	90	90	32	
601	144	10	155	142	144	129	18	
602	144	10	156	143	142	129	18	
603	144	10	156	146	56	129	18	
604	144	10	158	142	144	129	116	
605	144	10	158	142	144	129	18	
606	144	10	158	143	142	129	18	
607	144	10	158	145	144	129	18	
608	144	10	158	148	144	129	18	
609	144	10	161	142	144	129	18	
610	146	85	157	144	143	130	115	
611	19	2	21	153	19	3	2	ST-205 complex
612	11	28	166	12	2	36	7	
613	58	34	75	155	42	20	26	
614	59	35	111	101	52	131	26	
615	148	10	22	36	83	23	11	
616	81	53	117	71	113	93	80	
617	8	10	79	36	73	22	60	ST-196 complex
618	120	63	5	15	94	70	11	
619	25	10	22	36	145	23	11	
620	64	86	79	154	146	132	11	
621	83	26	35	82	91	41	30	ST-111 complex
622	83	26	78	15	91	41	30	
623	25	10	22	53	57	23	11	
624	25	10	22	15	57	23	11	
625	25	10	22	15	83	23	11	
626	25	10	22	15	57	23	117	
627	25	10	167	15	57	23	11	
628	59	13	111	23	25	44	35	
629	8	10	111	15	35	9	11	
630	102	35	168	22	96	20	78	
631	131	78	142	130	147	119	118	
632	86	57	81	80	80	128	32	
633	43	74	142	42	39	41	63	ST-111 complex
634	87	26	35	42	39	41	119	ST-111 complex
635	26	21	104	68	27	32	18	ST-336 complex
636	87	26	78	42	39	133	30	ST-111 complex
637	43	26	78	40	39	41	63	ST-111 complex
638	81	35	107	22	26	20	120	
639	144	10	22	15	35	9	11	
640	131	78	142	130	135	119	121	
641	149	10	169	36	17	22	11	ST-196 complex
642	43	35	35	42	39	41	63	ST-111 complex
643	93	58	170	8	148	134	122	
644	102	35	171	22	96	20	26	
645	26	51	104	74	149	92	79	
646	26	51	104	74	110	92	79	
647	150	10	22	156	57	23	11	
648	18	10	172	157	22	129	11	
649	25	10	22	36	150	23	11	
650	25	10	22	36	83	23	11	
651	84	10	109	66	109	22	87	
652	18	10	79	53	39	129	11	
653	86	57	81	80	39	90	32	
654	64	10	173	158	57	135	123	
655	64	10	22	159	83	23	11	
656	18	10	5	20	22	22	18	
657	18	10	5	66	22	22	18	
658	78	51	104	75	109	92	79	
659	108	51	104	75	105	92	79	
660	151	51	104	75	109	92	11	
661	152	10	5	15	151	136	11	
662	64	10	174	36	17	22	11	ST-196 complex
663	153	10	5	51	22	129	11	
664	108	51	79	121	109	92	79	
665	43	26	35	42	39	41	65	ST-111 complex
666	8	10	175	160	17	22	11	
667	8	10	79	53	22	129	11	
668	108	51	104	75	109	92	79	
669	78	51	104	75	152	92	79	
670	18	10	5	15	17	9	11	
671	18	10	176	15	17	9	11	
672	150	10	111	156	57	23	11	
673	8	10	5	161	35	9	11	
674	25	10	173	158	83	23	11	
675	151	51	104	75	153	92	79	
676	64	10	22	15	150	137	11	
677	144	10	5	157	154	129	18	
678	8	10	175	162	17	22	11	
679	8	10	5	157	22	129	11	
680	8	10	35	162	17	22	11	
681	82	87	36	69	155	138	18	
682	59	88	111	101	52	131	26	
683	103	63	177	15	94	70	11	
684	26	89	104	69	103	139	77	
685	64	18	120	24	31	30	124	
686	102	35	178	22	96	20	125	
687	136	90	179	163	135	119	103	
688	82	51	180	120	156	92	79	
689	102	91	107	22	96	20	26	
690	26	51	181	74	109	92	79	
691	26	51	182	74	157	92	79	
692	8	92	183	36	17	140	18	
693	18	93	35	160	158	129	11	
694	24	12	36	21	159	31	4	
695	8	10	79	36	160	99	11	ST-196 complex
696	26	94	184	164	161	141	126	
697	64	10	22	36	162	23	11	ST-196 complex
698	64	10	22	165	83	23	11	
699	154	51	104	74	109	92	79	
700	155	95	107	166	42	142	127	
701	156	26	35	42	39	41	63	ST-111 complex
702	157	51	110	74	163	92	79	
703	26	21	185	167	27	32	18	ST-336 complex
704	26	51	104	168	109	92	79	
705	158	78	186	169	164	143	103	
706	159	96	187	170	118	144	128	
707	15	7	188	2	7	8	13	ST-23 complex
708	18	97	189	171	165	145	11	
709	18	10	190	157	158	22	11	
710	23	98	191	172	166	129	129	
711	160	51	104	74	110	92	79	
712	25	10	22	15	167	23	11	
713	18	10	190	53	22	129	11	
714	26	21	185	68	27	32	18	ST-336 complex
715	8	10	79	36	160	99	18	
716	25	10	111	15	167	23	11	
717	8	10	79	53	160	99	11	
718	156	26	78	40	39	41	30	ST-111 complex
719	82	99	184	69	103	146	18	
720	121	21	184	69	103	32	130	
721	26	100	104	120	168	138	79	
722	161	68	192	101	42	101	26	
723	158	78	193	169	164	143	103	
724	154	101	104	72	104	92	79	
725	154	51	104	72	109	92	131	
726	162	10	22	165	57	23	11	
727	64	102	22	165	83	23	11	
728	82	100	104	173	168	138	132	
