ST	aspA	atpA	glnA	gltA	glyA	pgm	tkt	clonal_complex
84	20	25	7	2	102	32	2	
85	20	25	7	2	37	32	2	
86	20	27	36	48	109	81	55	
87	20	39	34	19	104	76	51	
88	20	39	4	11	110	63	56	
89	20	39	7	11	187	87	55	
90	20	39	19	15	133	87	58	
91	20	39	40	19	134	102	2	
92	20	57	42	30	140	107	14	
93	21	19	19	22	30	24	21	
94	21	22	21	24	48	27	25	
95	22	7	1	14	31	25	22	
96	23	5	24	2	124	35	20	
97	23	5	24	44	80	35	55	
98	23	5	24	2	81	63	20	
99	23	7	1	15	89	69	18	
100	23	7	11	44	5	90	62	
101	23	7	41	19	132	101	55	
102	23	7	40	15	175	26	58	
103	23	7	7	15	178	40	58	
104	23	7	40	15	181	102	58	
105	23	41	33	13	129	70	31	
106	23	44	24	2	170	62	20	
107	23	44	24	2	137	62	20	
108	23	44	24	15	124	55	20	
109	24	23	22	25	34	28	26	
110	25	3	1	7	35	29	27	
111	25	31	26	35	52	47	36	
112	26	11	19	12	153	114	75	
113	26	24	17	20	67	22	28	
114	27	25	7	2	102	31	29	
115	27	25	7	2	15	31	29	
116	28	5	7	7	167	7	6	
117	28	5	7	7	120	7	6	
118	29	28	26	29	42	38	34	
119	30	5	5	30	120	35	4	
120	30	5	5	30	120	83	58	
121	30	5	5	30	125	35	4	
122	30	5	5	30	36	35	4	
123	30	5	9	19	180	101	55	
124	30	5	5	30	44	35	4	
125	31	29	2	31	65	41	35	
126	31	43	35	15	107	79	53	
127	31	43	35	50	108	80	54	
128	32	30	11	32	161	42	20	
129	33	31	27	33	22	43	4	
130	34	12	2	34	58	46	38	
131	35	11	2	35	59	47	36	
132	35	33	28	36	120	48	38	
133	35	33	28	36	170	48	38	
134	35	33	28	36	47	48	38	
135	35	33	19	20	62	48	38	
136	35	33	28	37	76	48	38	
137	36	3	29	37	87	22	4	
138	37	5	11	30	144	16	72	
139	37	5	11	17	127	16	40	
140	37	7	1	23	103	75	33	
141	37	23	26	12	187	65	10	
142	37	37	32	40	71	57	32	
143	38	3	24	63	162	59	45	
144	38	35	26	7	51	51	4	
145	39	5	1	34	107	109	38	
146	39	5	2	39	164	109	38	
147	39	7	17	2	53	52	41	
148	39	33	2	39	57	56	38	
149	39	41	30	46	99	72	40	
150	39	42	27	47	100	73	20	
151	40	36	3	38	54	53	38	
152	41	11	30	12	55	54	42	
153	42	25	7	52	65	86	14	
154	42	25	7	26	64	26	2	
155	43	3	2	42	74	59	45	
156	44	38	1	43	144	37	33	
157	44	38	1	12	88	67	33	
158	45	25	7	26	96	26	2	
159	45	25	7	26	98	26	14	
160	45	25	7	26	96	26	14	
161	46	2	19	6	25	24	11	
162	46	19	19	6	25	24	11	
163	47	7	2	44	83	37	47	
164	48	25	1	19	84	8	6	
165	49	3	29	37	87	66	4	
166	50	40	19	45	165	68	48	
167	50	40	19	12	173	68	48	
168	51	16	1	15	94	26	49	
169	52	39	11	19	98	58	9	
170	53	15	15	48	101	74	50	
171	54	14	33	15	105	77	4	
172	55	45	26	48	113	85	59	
173	55	60	26	40	154	79	76	
174	55	65	48	55	158	38	81	
175	56	2	11	23	114	37	20	
176	57	46	37	22	115	16	31	
177	58	41	1	15	116	70	6	
178	59	47	26	53	117	88	60	
179	60	15	15	54	183	89	61	
180	60	15	15	54	122	89	61	
181	61	48	21	24	119	27	25	
182	62	12	39	56	124	94	23	
183	62	12	7	56	124	96	23	
184	63	51	21	24	126	27	25	
185	64	52	30	17	128	20	66	
186	65	53	26	57	137	97	67	
187	66	12	40	15	130	98	58	
188	67	13	2	58	87	99	68	
189	68	54	2	59	131	100	69	
190	69	2	11	23	135	103	70	
191	70	56	29	19	120	105	6	
192	71	25	7	2	138	106	2	
193	71	25	7	2	102	106	2	
194	72	30	43	20	141	108	30	
195	73	2	11	44	146	111	40	
196	73	12	1	65	188	10	9	
197	74	8	1	60	147	112	73	
198	75	25	30	26	65	26	74	
199	76	61	26	61	155	115	77	
200	77	10	24	17	19	117	20	
201	78	64	47	48	157	97	80	
202	79	66	11	22	163	119	83	
203	80	4	9	12	120	126	4	
204	80	67	49	25	171	7	26	
205	81	69	26	66	182	124	86	
206	82	78	59	67	223	133	130	
207	83	70	52	68	249	134	97	
208	84	71	60	69	225	135	92	
209	85	72	53	70	248	128	93	
210	86	79	61	71	265	136	98	
211	88	81	63	72	230	138	100	
212	89	79	61	73	231	138	101	
213	90	82	61	74	271	139	102	
214	91	81	64	75	233	140	103	
215	93	84	66	73	235	142	105	
216	95	87	69	78	238	145	107	
217	96	78	70	72	252	146	108	
218	97	88	71	73	239	147	109	
219	98	89	83	104	240	148	110	
220	99	73	54	79	250	129	94	
221	99	73	58	79	281	129	94	
222	100	74	90	80	241	149	111	
223	100	74	90	80	252	149	111	
224	102	71	73	82	244	151	113	
225	103	91	75	72	254	153	114	
226	104	92	76	84	266	154	115	
227	105	82	77	74	267	155	116	
228	106	93	61	71	268	166	117	
229	107	81	62	85	269	156	118	
230	108	94	78	71	273	157	119	
231	109	75	55	86	275	130	95	
232	112	76	57	89	279	132	96	
233	113	71	82	95	291	165	127	
234	113	77	79	90	280	159	121	
235	114	88	76	91	284	160	122	
236	115	93	80	92	282	161	123	
237	116	95	99	93	289	162	124	
238	117	92	81	94	287	164	126	
239	125	86	68	77	237	144	106	
240	119	96	84	97	247	167	131	
241	119	96	84	98	247	168	90	
242	119	96	84	99	294	168	91	
243	73	104	1	101	295	171	137	
244	122	99	87	101	226	169	132	
245	122	100	87	102	222	169	132	
246	126	102	92	105	259	171	134	
247	127	103	93	106	257	172	135	
248	128	104	94	101	258	169	139	
249	129	106	96	101	262	174	134	
250	130	107	97	108	263	178	132	
251	131	108	100	101	296	175	132	
252	132	109	101	109	297	176	138	
253	133	110	102	101	298	177	137	
254	134	105	95	107	260	173	136	
255	135	111	91	110	255	179	142	
256	135	111	91	111	255	179	142	
257	136	112	95	112	261	180	141	
258	10	20	11	19	378	123	11	
259	37	5	11	30	120	16	72	
260	122	100	87	101	226	169	132	
261	123	101	88	103	227	169	132	
262	137	113	98	113	264	180	141	
263	119	96	84	99	294	167	91	
264	87	80	62	72	229	137	99	
265	92	83	65	76	232	141	104	
266	101	90	72	81	270	150	112	
267	14	49	26	55	144	92	13	
268	138	79	74	83	253	152	128	
269	110	85	67	87	276	158	120	
270	111	76	56	88	278	131	94	
271	108	93	65	71	285	163	125	
272	23	21	11	23	32	26	143	
273	119	96	84	97	247	167	157	
274	139	114	64	114	288	138	144	
275	140	115	103	115	302	181	145	
276	141	116	61	116	315	182	98	
277	142	117	61	117	317	183	146	
278	143	78	104	72	265	154	147	
279	144	78	105	74	318	184	148	
280	102	118	60	69	320	185	149	
281	145	71	106	80	322	186	150	
282	110	85	67	87	324	158	120	
283	101	119	107	118	326	187	97	
284	146	120	108	85	328	188	151	
285	110	85	67	87	330	158	120	
286	147	121	109	81	332	189	152	
287	93	84	110	119	334	190	153	
288	148	78	111	74	336	191	154	
289	140	115	70	115	302	181	155	
290	149	122	112	120	338	192	156	
291	94	85	67	121	236	143	129	
292	3	124	113	7	348	199	62	
293	4	4	4	4	148	214	89	
294	4	4	4	4	216	4	89	
295	4	4	4	4	346	4	89	
296	4	4	4	4	347	214	89	
297	4	4	51	126	341	211	89	
298	4	12	1	19	354	213	160	
299	4	39	51	125	340	125	52	
300	35	33	28	36	207	48	38	
301	37	5	24	17	360	220	40	
302	38	3	2	63	364	59	45	
303	150	4	1	122	370	194	52	
304	150	39	40	19	355	214	52	
305	153	4	40	125	345	211	140	
306	153	4	40	125	350	102	9	
307	160	125	26	60	349	200	73	
308	169	4	4	4	350	209	89	
309	170	66	26	15	154	215	162	
310	171	8	8	8	356	216	164	
311	177	12	1	23	368	214	159	
312	39	33	2	129	164	109	4	
313	178	127	117	93	374	222	116	
314	14	15	26	131	375	223	34	
315	23	7	40	19	346	40	58	
316	4	12	51	125	376	11	87	
317	37	23	1	30	377	55	55	
318	5	5	5	5	5	50	4	
319	18	4	5	17	379	58	165	
320	20	2	26	12	380	17	2	
321	20	39	11	19	134	102	2	
322	15	128	118	132	381	225	166	
323	10	20	20	19	382	123	11	
324	10	20	20	19	378	123	11	
325	179	81	119	133	383	226	167	
326	4	12	1	19	387	213	159	
327	3	134	113	2	412	199	62	
328	4	4	1	19	418	11	169	
329	4	4	40	19	414	11	87	
330	4	4	40	19	418	11	169	
331	4	4	44	128	408	211	163	
332	4	4	44	138	415	11	158	
333	4	4	51	126	341	221	89	
334	4	12	1	19	343	213	159	
335	4	39	51	125	65	126	87	
336	6	7	1	19	365	37	20	
337	15	10	11	19	70	102	20	
338	20	2	1	17	419	20	66	
339	20	2	1	137	416	20	165	
340	20	2	114	19	359	101	165	
341	20	4	40	19	214	228	169	
342	20	12	44	23	366	219	168	
343	20	34	5	19	365	37	20	
344	23	7	114	137	90	20	165	
345	43	41	1	19	358	20	170	
346	43	41	11	17	372	16	161	
347	150	4	1	122	353	194	52	
348	153	4	40	19	411	211	9	
349	153	4	40	138	410	11	158	
350	153	4	44	123	345	211	158	
351	153	136	51	125	413	125	52	
352	175	2	11	17	389	211	158	
353	175	2	11	19	176	101	10	
354	177	4	40	19	340	211	14	
355	177	39	40	127	351	63	158	
356	182	4	40	125	413	125	52	
357	183	135	1	12	417	102	160	
358	203	140	26	140	385	38	86	
359	48	25	41	19	440	102	2	
360	20	39	34	19	441	26	51	
361	5	39	11	141	442	7	37	
362	204	14	1	15	448	17	36	
363	72	141	34	17	445	229	18	
364	55	142	120	20	443	28	173	
365	173	30	121	15	444	230	174	
366	28	5	7	7	167	231	2	
367	153	4	11	11	177	102	11	
368	5	12	122	15	36	86	2	
369	30	34	9	30	144	35	175	
370	206	143	2	37	166	53	162	
371	14	49	26	55	449	102	176	
372	23	44	24	14	450	101	20	
373	205	144	123	55	447	233	177	
374	5	5	5	19	120	11	65	
375	20	25	7	2	354	32	2	
376	175	25	41	19	88	101	14	
377	208	2	26	142	455	39	19	
378	209	146	26	143	453	237	182	
379	73	12	1	9	120	10	179	
380	210	65	125	144	457	240	180	
381	20	34	9	5	120	239	2	
382	23	7	26	15	459	102	158	
383	203	24	126	145	452	235	181	
384	30	5	9	30	456	35	4	
385	5	5	5	15	461	238	2	
386	20	39	34	19	460	87	51	
387	20	12	11	11	458	87	178	
388	20	39	34	19	460	234	51	
389	182	58	4	146	185	236	160	
390	10	145	124	19	454	102	11	
391	5	5	5	15	451	11	10	
392	215	152	59	149	473	133	115	
393	4	4	4	4	468	4	185	
394	5	5	5	19	472	11	65	
395	5	5	127	24	463	107	63	
396	14	151	26	55	466	241	56	
397	15	10	5	15	36	243	2	
398	20	12	45	15	5	102	58	
399	20	39	34	19	470	102	51	
400	44	150	11	23	471	245	187	
401	153	4	7	19	467	102	158	
402	211	147	129	147	34	242	184	
403	212	149	26	144	462	38	183	
404	212	149	26	144	469	38	183	
405	213	140	26	140	120	242	86	
406	214	62	128	148	465	244	186	
407	216	62	26	144	474	246	188	
408	220	148	64	153	464	247	192	
409	218	153	135	151	475	143	193	
410	222	154	134	152	476	251	194	
411	217	71	131	155	477	249	190	
412	102	71	133	155	478	250	195	
413	101	155	130	154	479	248	196	
414	219	71	132	155	480	135	191	
415	221	152	77	150	481	133	189	
416	221	152	77	150	481	135	189	
417	223	93	136	156	482	252	197	
418	224	156	61	157	483	253	198	
419	13	4	40	19	413	11	58	
420	5	5	5	15	66	11	10	
421	20	12	11	19	36	102	10	
422	17	27	15	144	485	36	32	
423	6	20	114	15	346	102	2	
424	66	12	5	19	120	211	58	
425	20	2	1	158	28	26	165	
426	5	12	24	15	362	8	24	
427	3	3	1	2	65	17	13	
428	23	4	1	19	486	26	165	
429	11	2	11	44	56	111	40	
430	3	3	1	32	65	21	13	
431	20	39	11	19	36	102	10	
432	225	2	2	15	11	113	40	
433	227	157	11	19	19	255	11	
434	48	25	41	37	487	101	55	
435	20	39	34	23	488	101	165	
436	23	7	11	15	66	102	2	
437	6	20	114	15	489	102	2	
438	6	20	114	15	490	102	2	
439	226	158	26	48	484	254	188	
