ST	aroA	cpn60	gki	mutS	recA	sdhA	thrA
68	24	1	7	27	6	16	7
69	10	1	17	28	6	18	11
70	31	19	18	25	6	22	12
71	19	19	4	7	6	13	7
72	10	1	19	7	6	29	9
73	24	21	12	25	6	18	11
74	24	22	7	7	6	18	10
75	33	1	8	29	6	16	10
76	34	21	20	30	6	18	11
77	35	1	8	25	6	23	11
78	19	23	7	7	6	19	13
79	10	22	21	20	14	16	11
80	30	21	12	7	6	29	11
81	30	22	7	25	6	18	11
82	10	1	22	7	15	26	11
83	20	1	23	20	6	18	11
84	24	21	12	26	6	27	11
85	32	1	7	20	6	18	13
86	19	24	24	31	6	19	13
87	31	1	24	24	6	30	11
88	10	1	8	32	6	16	11
89	10	1	12	25	6	13	7
90	31	19	21	7	6	18	11
91	19	23	23	33	6	18	7
92	10	1	8	7	6	16	10
93	31	22	7	7	6	31	11
94	31	18	7	24	14	32	7
95	36	1	24	7	6	33	11
96	32	21	20	30	6	18	11
97	20	1	24	5	6	34	11
98	32	21	7	30	6	18	11
99	31	21	20	30	6	18	11
100	10	19	23	33	6	18	7
101	10	21	20	30	6	18	11
102	37	1	7	7	6	18	11
103	20	22	8	5	6	34	11
104	32	23	24	31	6	19	10
105	38	21	7	30	6	18	11
106	32	23	7	31	6	19	11
107	20	21	20	30	6	18	11
108	30	12	7	7	6	13	12
109	34	21	3	30	6	26	11
110	34	21	8	30	6	18	11
111	20	22	24	5	6	34	10
112	39	21	20	30	6	23	11
113	32	22	24	20	6	34	11
114	40	25	7	27	14	13	7
115	40	25	7	20	14	13	7
116	37	22	24	20	6	34	10
117	41	26	25	34	16	35	14
118	42	26	26	34	16	35	14
119	43	26	26	35	17	36	15
120	44	26	27	38	18	37	16
121	45	27	28	36	19	38	17
122	46	26	6	37	20	37	18
123	47	26	29	38	18	39	14
124	48	28	30	39	20	40	18
125	44	29	31	40	20	39	14
126	49	30	27	41	20	41	19
127	50	5	26	42	19	41	17
128	50	31	32	41	18	39	17
129	51	27	26	43	21	42	20
130	52	32	33	44	19	43	21
131	53	31	6	61	22	42	22
132	54	33	25	40	30	42	21
133	46	34	34	45	20	37	14
134	42	34	35	46	20	44	22
135	55	34	36	47	20	45	14
136	56	27	37	41	23	46	23
137	54	33	25	48	20	42	24
138	57	34	36	49	30	47	14
139	46	35	29	40	20	37	14
140	58	36	33	40	24	39	14
141	54	27	37	41	25	46	25
142	46	37	6	49	20	48	14
143	60	38	29	49	20	49	14
144	65	35	30	50	20	37	14
145	46	28	38	51	20	37	14
146	59	35	25	52	20	54	14
147	60	35	39	53	26	50	14
148	46	35	29	41	20	37	14
149	61	35	36	54	25	49	14
150	49	35	33	50	20	51	25
151	62	35	40	55	25	49	16
152	63	35	40	61	27	39	26
153	65	35	41	56	27	52	27
154	64	39	42	57	20	53	28
155	65	40	37	55	18	55	29
156	66	35	40	58	25	52	30
157	67	35	29	49	28	49	31
158	68	35	36	59	27	37	29
159	68	35	40	60	25	39	29
160	45	30	37	49	28	40	32
161	65	35	27	61	29	51	33
162	1	2	1	2	1	3	2
163	29	12	7	7	6	20	9
164	29	1	43	7	6	56	7
165	69	41	1	3	31	4	35
166	14	42	6	16	6	16	7
167	10	1	1	62	32	57	36
168	1	43	1	3	15	58	37
169	70	44	1	63	2	59	2
170	65	35	30	64	33	60	31
171	71	45	1	65	1	3	38
172	72	1	44	66	34	61	1
173	23	18	8	7	6	16	39
174	31	1	8	20	6	18	9
