ST	atpD	infB	mdh	rpoB	6pgd	g3pd	frdB	clonal_complex
118	2	30	6	1	38	3	9	
119	7	5	19	17	40	3	6	
120	7	28	22	18	15	3	2	
121	7	1	29	6	4	3	22	
122	7	31	4	2	4	3	6	
123	23	32	5	1	38	3	9	
124	7	34	30	17	12	3	31	
125	7	28	22	18	38	15	2	
126	7	33	4	1	38	3	9	
127	2	28	4	6	41	3	33	
128	7	5	6	17	15	3	6	
129	24	11	1	1	3	1	32	
130	24	35	31	1	3	3	32	
131	22	11	29	1	39	3	34	
132	7	33	29	1	39	3	9	
133	4	5	19	1	26	3	2	
134	7	34	4	17	12	3	2	
135	4	5	17	6	26	3	5	
136	7	11	22	1	39	1	34	
137	7	9	19	6	26	3	2	
138	7	5	12	17	26	3	6	
139	7	4	12	1	29	3	9	
140	7	5	6	6	29	3	6	
141	2	9	4	9	21	3	2	
142	3	33	22	1	3	1	20	
144	22	4	31	1	29	3	9	
145	5	11	29	1	39	3	20	
146	3	11	29	1	39	1	9	
147	7	2	4	6	39	3	2	
148	7	12	19	16	21	3	23	
149	2	36	24	3	27	13	2	
150	1	37	1	1	1	16	35	
151	14	11	3	1	1	16	1	
152	7	1	31	16	21	3	2	
153	4	2	6	9	42	3	7	
154	1	38	1	1	3	1	3	
155	2	13	6	1	3	3	3	
156	1	11	1	1	1	1	3	
157	4	4	4	9	4	1	2	
158	10	10	7	1	19	1	20	
159	7	2	6	3	27	3	9	
160	4	18	17	4	15	3	6	
161	4	4	6	3	27	3	21	
162	10	17	7	1	19	1	17	
163	4	34	30	17	12	3	31	
164	27	9	4	1	3	1	3	
165	2	1	4	5	44	3	2	
166	2	9	1	6	17	3	38	
167	25	2	32	1	3	17	36	
168	26	40	33	1	43	1	2	
169	24	39	36	1	45	1	37	
170	5	1	6	19	46	1	1	
171	24	2	37	1	47	1	40	
172	7	9	4	6	48	3	2	
173	21	9	4	5	4	18	2	
174	24	11	35	1	45	1	37	
175	28	10	34	1	43	3	39	
176	26	39	34	1	43	1	2	
177	5	10	33	1	10	1	2	
178	2	2	22	6	12	3	23	
179	7	4	6	3	27	3	38	
180	25	4	4	1	3	1	9	
181	26	11	12	1	43	3	38	
182	26	10	34	1	43	3	39	
183	26	17	7	1	19	1	17	
184	24	11	36	1	45	1	37	
185	4	5	19	13	13	3	21	
186	26	11	12	1	43	1	3	
187	22	41	38	1	49	3	31	
188	4	15	6	4	35	3	41	
189	22	41	38	1	49	3	2	
190	22	42	32	1	29	3	42	
191	3	43	39	1	3	3	20	
192	22	41	38	1	40	3	2	
193	22	8	31	1	50	3	9	
194	7	4	29	6	48	3	22	
195	22	44	31	1	29	3	9	
196	4	15	19	17	15	3	6	
197	7	4	18	6	41	3	7	
198	4	5	6	4	6	3	5	
199	4	15	19	1	15	3	6	
200	4	15	6	17	23	3	6	
201	4	15	19	17	23	3	6	
202	4	15	14	4	13	3	5	
203	4	15	6	4	6	3	41	
204	4	5	6	17	23	3	6	
205	7	4	32	1	29	3	9	
206	4	5	19	1	15	3	6	
207	7	28	22	18	15	15	2	
208	5	11	38	18	39	3	20	
209	4	45	4	6	4	3	2	
210	22	46	29	1	29	3	9	
211	2	4	4	2	9	3	2	
212	4	15	6	4	23	3	41	
213	7	15	6	4	6	3	41	
214	7	47	33	1	38	3	43	
215	7	9	5	6	51	3	33	
216	26	39	34	1	52	1	20	
217	9	2	7	1	3	3	9	
218	25	4	4	1	3	19	9	
219	4	1	7	1	43	1	3	
220	29	9	31	1	43	1	2	
221	25	4	4	1	45	1	9	
222	10	1	4	1	43	3	3	
223	26	10	40	1	43	1	2	
224	30	11	33	1	43	1	3	
225	2	10	6	1	43	1	44	
226	28	48	4	1	43	3	45	
227	5	49	34	1	43	1	3	
228	7	11	24	1	43	3	39	
229	26	50	34	1	43	3	6	
230	5	4	41	1	3	1	36	
231	7	11	33	1	53	17	46	
232	25	1	1	1	3	1	47	
233	7	1	6	3	27	3	5	
234	7	2	7	4	12	3	9	
235	2	1	6	1	43	1	44	
236	9	48	36	3	45	1	37	
237	7	4	6	3	27	3	5	
238	29	10	31	1	3	1	9	
239	2	2	8	16	51	3	2	
240	2	4	6	3	27	4	9	
241	2	22	4	6	7	3	2	
242	7	2	34	1	43	3	39	
243	26	4	34	1	43	1	9	
244	25	12	4	1	3	3	9	
245	4	18	17	17	15	3	5	
246	4	5	17	17	15	3	5	
247	7	1	6	3	27	3	2	
248	2	39	6	1	43	1	44	
249	7	9	6	3	27	3	2	
250	4	5	17	5	15	3	21	
251	4	18	17	2	15	3	5	
252	2	9	7	3	27	3	23	
253	4	5	17	17	15	3	21	
254	2	16	4	6	7	3	2	
255	31	5	17	17	25	3	5	
256	32	2	4	5	57	3	2	
257	13	53	17	17	56	3	6	
258	4	5	42	13	15	3	21	
259	4	18	17	4	54	3	6	
260	7	1	6	3	27	3	48	
261	4	52	19	4	15	3	6	
262	4	15	17	17	58	3	5	
263	4	5	6	5	55	3	23	
264	26	54	6	3	43	1	2	
265	4	51	18	4	59	3	5	
266	4	5	14	4	59	3	5	
267	2	2	4	6	27	19	6	
268	26	39	34	1	60	1	2	
269	7	11	17	3	21	3	49	
270	7	4	6	5	27	3	23	
271	7	1	6	3	27	19	38	
272	5	11	4	1	3	1	2	
274	5	11	4	3	21	1	2	
275	5	2	7	1	10	1	3	
276	24	11	34	1	50	1	17	
277	21	1	1	1	3	1	3	
278	26	11	7	1	43	1	38	
279	2	2	4	2	9	1	2	
280	4	2	8	11	37	1	2	
281	10	10	31	1	43	1	3	
282	26	11	34	1	43	1	17	
283	26	39	34	1	43	1	9	
284	29	39	33	1	61	3	51	
285	26	55	6	1	43	1	44	
286	28	48	34	1	43	3	6	
287	4	4	8	11	37	20	23	
288	4	18	17	20	15	3	5	
289	28	48	34	1	43	1	9	
290	4	15	19	13	71	3	21	
291	2	4	6	3	27	3	9	
292	7	2	4	11	72	1	9	
293	4	5	19	13	13	3	4	
294	4	5	6	17	6	3	5	
295	2	2	4	11	9	3	15	
296	2	2	4	2	9	3	5	
297	7	16	4	21	12	3	38	
298	4	15	17	13	71	3	21	
299	4	15	17	17	15	3	5	
300	4	2	8	11	37	3	2	
301	2	4	4	9	9	3	2	
302	7	5	43	13	15	3	23	
303	4	5	14	2	70	3	6	
304	7	2	4	2	72	4	6	
305	7	2	8	11	37	1	74	
306	2	2	4	6	69	1	44	
307	7	2	4	21	12	3	38	
308	7	5	6	4	40	3	5	
309	4	5	19	13	15	3	21	
310	2	2	6	3	27	3	38	
311	4	18	17	17	15	3	6	
312	7	51	18	12	21	3	2	
313	7	2	1	23	27	3	38	
314	2	2	6	3	27	3	9	
315	4	11	19	4	76	3	6	
316	7	2	18	1	73	3	5	
317	4	2	24	5	4	1	2	
318	21	2	4	6	4	3	73	
319	7	1	6	3	27	3	72	
320	21	7	4	5	4	18	73	
321	2	40	6	1	43	1	9	
322	26	39	34	1	43	1	21	
323	26	17	34	1	43	1	2	
324	7	4	6	3	27	3	9	
325	7	4	6	3	27	1	3	
326	26	39	4	1	43	1	2	
327	7	9	6	3	27	3	9	
328	29	39	33	1	74	3	51	
329	10	11	33	1	43	1	3	
330	4	5	17	4	15	3	5	
331	7	4	4	11	72	1	9	
332	26	40	34	1	52	1	20	
333	7	16	24	6	27	1	23	
334	7	2	8	5	4	1	6	
335	9	11	4	4	3	3	2	
336	26	12	36	1	45	1	39	
337	26	11	34	1	43	3	17	
338	26	55	34	1	43	1	9	
339	9	11	4	1	3	3	3	
340	7	2	8	11	37	1	2	
341	3	11	34	1	45	1	9	
342	10	11	33	1	43	1	2	
343	5	10	33	1	3	1	20	
344	2	2	8	17	9	3	2	
345	2	4	4	5	9	14	30	
346	2	2	37	6	12	1	23	
347	28	39	34	1	43	1	39	
348	7	5	55	4	12	3	23	
349	7	16	7	4	12	3	80	
350	30	11	7	1	78	1	80	
351	4	5	17	17	79	3	5	
352	24	1	37	1	80	24	3	
353	44	11	7	1	45	3	81	
354	45	39	34	1	43	1	2	
355	1	10	1	1	1	1	82	
356	7	4	24	6	81	1	23	
357	7	4	6	3	27	3	82	
358	4	65	8	11	37	1	2	
359	7	4	6	3	27	23	82	
360	5	10	33	1	3	1	83	
361	21	2	4	5	4	18	2	
362	2	16	6	3	27	1	9	
363	4	4	57	11	37	3	2	
364	4	2	6	11	9	1	9	
365	46	1	53	1	43	1	39	
366	4	4	6	11	37	3	2	
367	4	5	5	4	7	3	5	
368	3	29	56	1	1	1	20	
369	5	54	33	1	82	3	2	
370	2	2	6	3	27	1	38	
371	24	11	34	1	43	1	3	
372	4	2	8	11	37	3	38	
373	4	2	8	11	37	3	84	
374	30	11	7	1	78	3	3	
375	28	15	34	1	43	3	2	
376	5	2	6	1	10	1	3	
377	24	1	3	1	3	1	74	
378	21	1	59	1	3	3	3	
379	7	2	24	3	27	1	9	
380	28	11	34	1	43	1	39	
381	2	2	6	3	27	1	9	
382	2	66	4	6	7	3	2	
383	2	2	58	6	27	19	6	
384	2	55	6	1	43	1	2	
385	4	2	60	11	9	1	9	
386	2	4	6	3	27	1	38	
387	7	16	6	3	27	1	9	
388	2	3	6	3	27	3	9	
389	24	12	36	1	45	1	37	
390	46	23	53	1	43	1	39	
391	7	4	6	3	12	3	23	
392	7	4	24	6	27	3	23	
393	29	39	34	1	43	1	3	
394	46	1	53	1	27	1	9	
395	2	2	4	6	43	19	6	
396	26	39	34	1	60	1	85	
397	7	4	6	3	12	3	86	
398	4	4	8	11	37	1	87	
399	29	67	34	1	43	3	85	
400	7	2	61	3	81	3	21	
401	4	4	4	6	4	3	15	
402	2	4	8	9	84	3	2	
403	4	2	4	17	12	1	2	
404	7	4	4	6	27	3	23	
405	2	2	4	27	12	3	2	
406	11	15	17	17	15	3	6	
407	4	5	19	2	15	3	6	
408	13	15	5	13	85	3	5	
409	7	13	4	7	11	3	12	
410	7	2	18	9	73	3	2	
411	4	2	4	6	4	3	15	
412	2	4	1	3	86	1	15	
413	2	2	15	6	87	3	21	
414	7	1	13	1	88	3	3	
415	47	50	2	5	2	1	15	
416	4	4	4	16	4	1	2	
417	7	13	4	7	11	3	2	
418	2	2	4	16	51	3	15	
419	4	69	4	1	9	3	22	
420	2	13	24	17	27	13	2	
421	7	2	4	6	4	3	4	
422	4	12	4	9	4	1	4	
423	2	2	8	3	9	3	2	
424	2	2	15	16	87	3	21	
425	4	2	24	24	37	3	3	
426	4	2	4	3	4	3	2	
427	50	1	1	1	3	1	89	
428	7	67	34	1	43	3	39	
429	2	2	4	6	27	3	2	
430	48	13	4	4	7	3	2	
431	24	1	34	1	45	1	3	
432	4	4	4	3	21	3	2	
433	7	2	18	1	73	3	2	
434	2	13	6	6	12	3	2	
435	4	1	6	28	27	3	2	
436	26	13	34	1	43	1	2	
437	2	4	18	2	89	3	2	
438	2	2	6	6	12	3	2	
439	4	5	19	13	13	3	5	
440	7	13	15	25	11	3	2	
441	49	4	1	26	4	1	2	
442	1	11	3	1	3	3	23	
443	4	2	4	6	87	3	21	
444	7	1	6	28	27	1	2	
445	2	4	31	5	91	3	2	
446	48	4	18	4	21	3	2	
447	1	11	62	1	3	3	23	
448	4	5	17	17	13	3	5	
449	2	1	18	5	84	1	2	
450	2	1	5	11	100	25	97	
451	2	2	4	9	87	1	15	
452	2	2	1	3	86	1	15	
453	2	2	4	5	44	3	2	
454	4	12	4	9	4	1	2	
455	1	68	1	1	3	1	13	
456	2	2	22	5	81	3	2	
457	2	4	64	29	87	1	2	
458	4	4	4	17	4	1	2	
459	4	2	4	6	4	1	2	
460	2	4	7	30	27	1	23	
461	2	13	7	3	27	3	9	
462	4	4	4	9	4	1	15	
463	2	24	12	3	91	3	95	
464	2	51	4	2	9	3	2	
465	4	2	4	6	96	1	2	
466	4	4	6	3	27	3	5	
467	4	4	22	7	99	3	96	
468	4	4	6	3	27	3	38	
469	1	50	63	1	3	1	6	
470	4	5	19	4	15	3	5	
471	2	10	4	3	12	1	21	
472	3	2	12	1	1	1	88	
473	2	2	4	3	12	1	7	
474	25	17	8	1	90	1	7	
475	4	10	67	1	98	1	3	
476	2	2	1	3	86	1	2	
477	4	16	6	3	27	3	38	
478	4	2	4	9	4	1	2	
479	4	18	17	4	15	3	5	
480	5	2	7	1	10	3	22	
481	5	2	1	1	10	3	3	
482	5	4	66	1	3	1	36	
483	5	11	34	1	43	1	2	
484	5	11	34	1	94	1	2	
485	5	11	7	1	10	3	3	
486	5	11	8	1	81	1	46	
487	5	11	7	1	10	3	22	
488	7	1	4	11	72	4	6	
489	7	2	6	3	27	3	23	
490	7	2	6	3	27	3	86	
491	7	2	6	3	27	3	2	
492	7	4	6	3	27	1	93	
493	7	4	24	5	27	1	2	
494	7	10	34	1	43	1	2	
495	7	73	6	3	27	1	9	
496	9	1	4	1	3	3	91	
497	9	4	1	1	3	3	9	
498	2	7	4	2	9	1	2	
499	9	48	34	1	43	3	77	
500	10	1	31	1	43	1	3	
501	10	1	7	1	43	1	3	
502	10	1	4	1	43	17	3	
503	10	50	65	1	43	1	9	
504	21	2	4	6	36	3	73	
505	24	11	34	1	93	1	17	
506	24	48	36	1	45	1	3	
507	25	1	4	1	3	1	9	
508	25	4	4	1	3	17	9	
509	25	11	36	1	3	3	92	
510	25	11	4	1	3	1	9	
511	25	12	4	1	95	1	9	
512	25	12	4	1	3	1	9	
513	26	2	34	1	43	1	2	
514	26	11	34	1	43	1	2	
515	26	55	34	1	3	1	3	
516	26	70	34	1	43	1	94	
517	26	71	34	1	43	1	23	
518	26	72	68	1	43	1	2	
519	27	9	33	1	43	1	3	
520	28	2	49	1	43	3	77	
521	28	11	34	1	97	3	39	
522	28	11	34	1	43	3	39	
523	28	48	65	1	43	17	77	
524	28	48	34	1	43	3	77	
525	32	2	4	5	57	3	9	
526	4	74	4	9	4	1	2	
527	32	4	4	5	57	3	2	
528	2	2	4	11	9	3	2	
529	28	48	34	1	43	17	77	
530	2	1	24	6	9	3	2	
531	21	1	1	1	3	3	3	
532	4	18	19	4	15	3	6	
533	7	5	6	3	27	3	30	
534	4	18	19	4	15	3	21	
535	2	2	6	3	27	3	2	
536	25	2	4	1	3	19	2	
537	2	2	37	6	12	3	2	
538	26	11	34	1	43	1	9	
539	5	11	7	1	10	1	91	
540	1	10	1	1	1	1	83	
541	2	2	6	3	27	1	3	
542	2	11	6	1	43	1	44	
543	24	1	31	1	43	1	3	
544	2	16	65	6	15	3	6	
545	21	2	4	5	4	1	2	
546	24	11	34	1	93	3	17	
547	24	11	7	1	92	1	90	
548	2	2	15	6	87	3	2	
549	2	18	12	6	101	1	4	
550	4	1	4	6	36	3	22	
551	52	17	1	31	3	1	2	
552	7	5	43	13	15	3	6	
553	4	2	1	6	102	3	2	
554	2	9	34	1	1	3	78	
555	2	11	34	1	64	1	19	
556	2	11	41	1	43	1	4	
557	2	23	34	1	43	1	60	
558	2	50	4	1	65	3	17	
559	2	71	1	1	36	1	3	
560	5	4	53	1	45	1	44	
561	5	15	34	1	67	1	60	
562	7	1	6	1	1	1	3	
563	7	4	69	1	1	26	62	
564	7	10	69	1	45	3	60	
565	7	11	54	1	1	3	60	
566	7	11	54	1	45	1	11	
567	7	12	34	1	1	1	3	
568	7	29	37	1	43	1	3	
569	7	50	37	1	1	1	3	
570	7	64	34	1	1	1	3	
571	7	64	34	1	103	1	6	
572	7	64	34	1	1	3	3	
573	7	64	34	1	103	3	6	
574	7	75	53	1	45	1	3	
575	7	76	48	1	52	1	3	
576	24	1	47	1	64	1	65	
577	26	1	6	1	1	1	2	
578	26	1	69	1	43	1	60	
579	26	1	37	1	45	1	70	
580	26	1	34	1	1	1	71	
581	26	1	53	1	9	1	3	
582	26	1	46	1	45	1	55	
583	26	2	4	1	3	3	19	
584	26	4	6	1	43	3	2	
585	26	9	6	1	45	1	57	
586	26	11	44	1	64	1	56	
587	26	11	12	1	45	1	58	
588	26	11	54	1	45	3	78	
589	26	11	54	1	45	3	60	
590	26	11	53	1	45	3	60	
591	26	11	51	1	45	1	60	
592	26	23	6	1	3	1	53	
593	26	29	53	1	45	3	52	
594	26	29	53	1	45	3	23	
595	26	48	12	1	66	3	17	
596	26	48	53	1	45	1	60	
597	26	50	34	1	45	1	98	
598	26	54	8	1	43	1	54	
599	26	63	37	1	1	1	3	
600	26	64	52	1	43	1	79	
601	26	64	53	1	43	1	79	
602	26	76	51	1	45	1	60	
603	26	77	34	1	1	1	100	
604	28	56	53	1	1	1	2	
605	30	11	70	1	45	1	77	
606	33	11	34	1	3	3	99	
607	33	48	34	1	1	1	3	
608	33	76	4	32	12	1	3	
609	37	1	37	1	1	1	68	
610	38	4	12	1	66	1	2	
611	39	61	45	1	43	1	61	
612	41	17	34	1	75	3	78	
613	53	1	12	1	104	1	3	
614	26	29	53	1	63	3	52	
615	7	4	34	1	45	1	101	
616	7	40	71	1	1	3	102	
617	2	4	15	6	87	3	21	
618	7	8	4	16	21	3	23	
619	26	78	34	1	68	1	55	
620	7	79	34	1	1	1	3	
621	26	11	12	1	45	1	55	
622	4	1	34	1	45	1	60	
623	5	76	37	1	1	1	45	
624	4	2	4	9	4	1	15	
625	30	11	4	1	3	1	9	
626	26	1	34	1	43	1	2	
627	30	11	7	1	27	1	3	
628	7	16	7	4	12	1	9	
629	52	11	14	1	3	1	103	
630	1	81	1	33	3	1	105	
631	54	80	72	34	105	27	104	
632	7	13	4	3	12	1	2	
