ST	S14Z	L35	S19	L19	S12	S8	L16	S7	species
148	84	83	80	87	87	93	100	103	
149	79	78	34	81	82	87	94	97	
150	66	65	62	65	68	71	76	78	
151	115	117	110	123	121	136	146	139	
152	32	30	34	33	34	35	38	38	
153	93	95	91	95	99	107	116	114	
154	133	139	131	144	136	152	170	163	
155	69	68	65	68	71	74	79	81	
156	33	31	35	34	35	36	39	39	
157	101	104	98	109	106	121	130	123	
158	77	75	73	77	79	84	90	94	
159	52	51	81	51	88	94	101	104	
160	15	13	18	16	18	16	20	16	
161	26	24	28	28	28	28	32	31	
162	130	136	126	140	136	152	166	156	
163	19	18	22	22	22	21	25	22	
164	93	93	91	99	98	107	116	110	
165	54	53	50	53	56	59	64	66	
166	91	95	88	95	99	107	117	114	
167	6	7	7	7	7	7	7	7	
168	86	84	82	88	89	96	103	105	
169	91	91	86	95	96	101	111	110	
170	36	33	37	35	37	39	41	47	
171	70	70	66	70	72	76	81	84	
172	23	21	26	26	25	24	29	26	
173	131	136	126	146	136	152	166	159	
174	131	136	130	142	136	152	165	159	
175	101	103	98	109	106	119	130	123	
176	52	49	46	51	54	55	60	64	
177	133	137	131	148	136	152	170	163	
178	3	3	3	3	3	3	3	3	
179	79	79	34	82	34	88	95	98	
180	113	115	108	121	119	134	144	137	
181	131	139	126	148	136	152	165	163	
182	76	33	72	76	78	82	87	92	
183	101	103	98	109	106	122	129	124	
184	83	19	79	86	86	92	99	102	
185	31	29	33	32	33	34	37	37	
186	35	33	37	35	37	38	40	44	
187	138	146	134	154	141	160	178	172	
188	91	90	86	95	95	101	112	110	
189	129	135	125	139	135	151	164	155	
190	92	92	89	98	94	105	114	113	
191	29	28	31	31	32	32	36	35	
192	101	103	98	111	106	123	128	124	
193	116	118	111	124	122	137	147	140	
194	109	112	105	118	116	131	140	133	
195	37	33	36	35	37	38	40	43	
196	101	103	98	110	106	119	127	123	
197	78	76	74	79	80	85	92	95	
198	22	19	24	25	24	23	28	25	
199	56	55	52	55	58	61	66	68	
200	90	87	85	92	92	100	109	109	
201	76	33	72	76	78	83	88	91	
202	101	104	98	111	106	122	129	123	
203	98	97	93	104	101	114	122	120	
204	85	51	81	51	88	95	101	104	
205	23	20	25	26	25	24	29	26	
206	88	86	83	89	90	97	107	107	
207	133	138	131	148	136	155	171	163	
208	95	97	93	101	101	111	119	117	
209	39	36	38	37	40	41	44	49	
210	91	88	86	95	96	101	111	110	
211	121	123	116	130	127	142	153	145	
212	25	24	28	28	28	26	32	29	
213	103	105	99	112	109	124	133	126	
214	68	67	64	67	70	73	78	80	
215	17	15	20	19	20	18	22	19	
216	125	130	121	136	132	147	160	150	
217	87	86	83	89	90	98	106	106	
218	101	103	98	110	106	119	130	123	
219	120	122	115	129	126	141	152	144	
220	75	74	71	75	77	81	86	89	
221	40	37	39	38	41	43	46	50	
222	7	7	8	8	7	8	8	7	
223	104	106	101	113	110	125	134	128	
224	136	144	132	152	139	157	176	170	
225	35	33	36	36	37	40	40	46	
226	128	134	124	138	134	150	163	154	
227	91	93	90	95	98	106	115	110	
228	73	72	69	73	75	79	84	87	
229	36	35	37	35	37	39	43	42	
230	78	76	74	78	80	85	91	95	
231	101	103	98	110	106	119	127	125	
232	82	82	78	85	85	91	98	101	
233	133	136	131	148	136	152	170	163	
234	43	39	41	42	45	46	51	54	
235	18	16	21	20	21	19	23	20	
236	12	11	14	13	12	14	15	12	
237	23	22	26	26	26	24	30	27	
238	49	46	43	48	51	52	57	61	
239	101	103	98	109	106	121	127	124	
240	69	69	65	68	71	75	79	82	
241	94	97	94	100	102	110	118	116	
242	132	137	129	143	136	154	167	161	
243	63	62	59	62	65	68	73	75	
244	108	110	105	117	114	129	138	132	
245	10	10	12	12	11	12	12	10	
246	52	50	47	51	54	56	60	64	
247	133	139	131	147	136	152	169	165	
248	92	96	92	99	100	105	113	113	
249	91	88	86	93	93	101	110	111	
250	101	103	98	111	106	119	127	123	
251	133	140	131	147	136	152	169	162	
252	95	97	93	105	101	115	124	120	
253	52	51	46	51	54	55	62	64	
254	110	113	105	118	116	131	141	134	
255	106	108	103	115	112	127	136	130	
256	96	99	95	102	103	112	120	118	
257	81	81	77	84	84	90	97	100	
258	1	1	1	1	1	1	1	1	
259	44	40	135	43	46	47	52	55	
260	45	41	136	44	46	48	53	56	
261	46	42	137	45	47	49	54	57	
262	47	43	138	46	48	50	55	58	
263	47	44	138	47	49	51	56	59	
264	48	44	138	46	50	50	56	60	
265	47	45	138	46	50	50	55	60	
266	89	179	84	91	91	99	108	108	
267	17	15	20	19	20	161	179	19	
268	17	15	20	19	142	18	22	19	
269	17	15	20	155	20	18	22	19	
270	139	15	20	19	20	162	179	173	
271	17	180	20	156	20	163	180	19	
272	139	181	20	157	20	164	179	174	
273	17	182	20	158	143	165	181	175	
274	17	15	20	19	142	166	22	19	
275	17	15	20	19	142	18	182	19	
276	17	15	20	19	144	18	22	19	
277	17	15	20	19	20	18	22	176	
278	17	15	20	19	20	18	22	177	
279	140	15	20	19	20	18	22	19	
280	17	15	20	19	20	167	22	19	
281	17	15	20	159	20	18	22	178	
282	17	15	20	19	20	18	22	179	
283	17	15	139	19	20	18	22	19	
284	17	15	20	19	145	18	22	19	
285	17	15	20	155	20	168	22	19	
286	17	15	20	19	20	169	22	19	
287	17	15	20	19	20	18	22	180	
288	17	15	20	19	144	170	22	19	
289	17	15	20	19	20	170	22	19	
290	139	181	20	160	20	162	179	173	
291	17	15	20	19	146	18	22	19	
292	17	183	20	19	144	18	22	19	
293	17	15	20	161	20	18	22	19	
294	17	15	20	19	147	18	22	19	
295	17	15	20	19	20	18	183	19	
296	17	15	20	19	20	18	184	19	
297	17	184	20	19	20	18	22	19	
298	17	15	20	19	20	18	22	181	
299	17	15	20	19	20	18	185	19	
300	17	15	20	162	20	18	22	19	
301	140	15	20	19	144	18	22	19	
302	17	15	20	19	20	18	22	182	
303	17	185	20	19	20	18	186	176	
304	17	186	20	19	20	18	22	19	
305	17	15	20	19	20	18	187	19	
306	17	15	20	19	20	171	22	176	
307	17	15	20	19	20	18	188	19	
308	141	15	20	19	20	18	22	19	
309	17	15	20	19	148	18	22	19	
310	17	15	20	19	145	18	22	181	
311	17	15	20	19	149	170	22	19	
312	17	185	20	19	20	18	22	176	
313	17	15	20	19	20	172	22	19	
314	17	15	20	19	144	173	22	19	
315	17	15	20	19	150	18	189	19	
316	17	15	20	19	20	18	190	19	
317	17	15	20	19	144	174	22	19	
318	17	180	20	163	20	163	180	183	
319	17	15	20	19	20	18	191	19	
320	17	15	20	19	144	18	22	181	
321	17	15	20	19	20	175	22	184	
322	17	15	20	19	20	18	192	19	
323	17	15	20	19	149	18	22	19	
324	17	15	20	19	144	18	22	176	
325	17	187	140	19	20	18	22	19	
326	17	15	20	19	20	18	193	19	
327	17	15	20	19	144	176	22	19	
328	140	15	20	19	20	170	22	19	
329	17	15	20	19	151	18	22	176	
330	17	15	20	19	20	177	22	19	
331	17	15	20	164	20	18	22	19	
332	17	15	141	19	20	18	22	19	
333	17	15	20	19	152	18	22	19	
334	17	15	142	19	20	178	22	19	
335	17	15	20	19	20	179	22	19	
336	17	15	20	19	20	18	22	184	
337	17	15	20	19	144	180	22	19	
338	17	15	20	159	20	18	22	19	
339	17	15	20	19	20	18	22	185	
340	17	15	20	19	145	18	194	19	
341	17	15	20	19	20	18	22	186	
342	17	15	20	19	153	18	22	19	
343	17	15	20	165	20	18	22	19	
344	17	15	20	19	20	18	22	187	
345	17	15	20	19	20	18	195	19	
346	140	15	20	19	20	18	196	19	
347	17	15	20	19	149	18	22	188	
348	17	15	20	19	20	181	22	19	
349	17	15	20	19	145	18	22	189	
350	17	15	140	19	20	18	22	19	
351	17	15	20	19	20	18	197	19	
352	17	15	20	19	154	18	22	19	
353	17	15	20	19	155	18	22	19	
354	17	15	20	19	20	176	22	19	
355	17	15	20	19	156	182	22	19	
356	17	15	20	19	145	170	22	19	
357	17	183	20	19	144	170	22	19	
358	17	15	20	166	20	18	22	19	
359	17	15	20	19	20	18	198	19	
360	17	15	20	167	20	18	22	19	
361	17	15	20	19	144	169	22	19	
362	17	15	20	168	20	18	22	19	
363	17	15	20	19	20	183	22	19	
364	17	15	20	19	20	18	193	176	
365	17	15	20	19	157	18	22	19	
366	17	188	20	19	20	18	22	19	
367	17	189	20	19	20	18	22	19	
368	17	15	20	19	20	184	199	176	
369	17	15	20	19	158	18	22	19	
370	17	15	20	19	20	18	22	190	
371	17	15	20	19	159	18	22	19	
372	17	15	20	169	20	18	200	19	
373	17	15	20	19	20	185	22	19	
374	17	15	20	170	155	18	22	19	
375	142	15	20	19	20	18	22	19	
376	17	15	20	19	20	186	22	19	
377	17	181	20	163	20	161	179	19	
378	17	15	20	19	20	187	22	19	
379	17	15	20	19	160	18	22	19	
380	143	15	20	19	20	18	22	19	
381	17	15	20	19	161	18	22	19	
382	17	15	143	19	20	18	22	19	
383	17	15	20	19	20	180	22	19	
384	17	15	20	19	20	18	201	19	
385	17	15	20	19	144	188	22	19	
386	17	15	144	19	20	18	22	19	
387	17	15	20	19	20	18	202	19	
388	17	185	20	19	20	18	22	19	
389	17	15	145	161	20	18	22	19	
390	17	15	20	19	20	18	22	191	
391	17	15	20	19	20	184	22	19	
392	17	189	20	19	144	18	22	19	
393	17	183	20	19	144	175	22	19	
394	17	15	20	19	162	18	22	19	
395	17	15	20	19	20	189	22	19	
396	17	15	20	19	20	190	22	19	
397	17	15	20	19	144	191	22	19	
398	17	15	20	19	20	192	22	19	
399	17	15	20	19	20	18	203	19	
400	17	190	20	19	20	18	22	19	
401	17	15	20	19	20	193	22	19	
402	140	15	20	19	20	194	22	19	
403	17	183	20	19	144	176	22	19	
404	17	15	20	19	20	18	204	19	
405	17	15	20	171	20	18	22	19	
406	144	15	20	19	20	18	22	19	
407	17	15	20	19	20	195	22	19	
408	17	15	20	19	144	196	22	19	
409	17	15	20	172	20	18	22	19	
410	17	15	20	19	163	18	205	19	
411	140	15	20	19	145	18	22	19	
412	17	15	20	19	144	18	206	19	
413	17	15	20	19	164	18	185	19	
414	17	15	20	19	20	197	22	19	
415	140	15	20	19	20	198	22	19	
416	145	15	20	19	144	18	22	19	
417	146	147	10	174	8	199	10	9	
418	168	169	157	196	176	221	220	210	
419	140	15	20	19	146	18	22	19	
420	179	192	168	207	187	232	231	221	
421	190	203	179	218	198	243	242	232	
422	201	138	126	141	136	152	165	158	
423	132	137	128	143	136	153	167	160	
424	131	136	126	146	136	152	253	159	
425	101	104	98	173	106	121	132	123	
426	136	136	126	141	136	152	165	159	
427	131	136	190	141	136	152	165	159	
428	101	103	98	110	106	119	264	124	
429	131	136	126	141	136	254	165	159	
430	212	214	201	239	209	265	275	243	
431	130	225	126	141	136	152	165	159	
432	223	236	212	250	220	276	286	254	
433	132	137	128	144	136	153	167	156	
434	234	247	223	261	231	287	297	265	
435	133	136	131	141	136	152	170	159	
436	147	148	228	175	242	200	208	276	
437	148	149	147	176	253	201	211	287	
438	136	150	132	150	137	202	176	169	
439	136	150	132	150	137	203	212	193	
440	136	142	132	151	137	204	176	168	
441	149	151	148	152	166	158	213	201	
442	136	150	132	150	137	203	176	193	
443	136	152	132	150	137	203	176	193	
444	136	151	132	150	137	157	214	170	
445	150	153	149	177	167	205	215	202	
446	151	154	150	178	168	206	216	203	
447	152	155	151	179	169	207	217	204	
448	153	156	152	180	170	208	218	205	
449	154	157	201	181	209	265	275	206	
450	155	159	153	182	171	209	219	207	
451	130	136	126	141	172	152	165	163	
452	130	136	126	147	136	152	165	163	
453	136	151	132	150	173	157	221	201	
454	132	137	128	183	136	153	168	160	
455	156	160	154	184	174	211	222	208	
456	94	161	155	100	102	108	118	209	
457	94	162	94	100	101	108	223	116	
458	154	214	201	181	175	265	224	211	
459	158	163	156	186	177	212	225	212	
460	94	164	93	100	101	108	226	120	
461	154	165	201	181	178	265	224	213	
462	159	166	158	187	179	213	227	214	
463	159	166	158	187	179	213	227	215	
464	160	167	159	188	180	214	228	216	
465	131	136	126	141	136	152	165	158	
466	136	142	132	151	137	157	176	217	
467	161	168	160	189	181	215	229	218	
468	130	136	126	141	136	152	165	163	
469	130	136	126	141	136	152	165	219	
470	131	136	126	190	136	152	165	157	
471	162	170	161	191	182	216	230	220	
472	132	137	128	144	183	153	167	222	
473	94	171	162	192	184	217	232	223	
474	163	172	163	193	185	218	233	224	
475	212	157	201	194	178	265	275	213	
476	131	136	127	141	136	152	165	159	
477	103	173	164	195	186	219	234	225	
478	164	174	165	197	188	220	235	226	
479	132	137	128	183	136	153	167	160	
480	165	175	166	198	189	222	236	227	
481	132	137	129	143	190	153	167	156	
482	166	176	167	199	191	223	237	228	
483	167	177	169	200	192	224	238	229	
484	169	45	138	201	193	225	239	230	
485	170	178	170	202	194	226	240	231	
486	171	191	171	203	195	227	241	233	
487	172	193	172	204	196	228	243	234	
488	103	174	173	205	197	220	235	235	
489	173	194	174	206	199	229	244	236	
490	103	173	164	195	186	219	234	237	
491	174	173	164	195	186	219	234	237	
492	175	45	175	208	200	230	245	238	
493	131	138	126	141	136	152	165	157	
494	131	138	176	141	136	152	165	158	
495	131	138	126	142	136	152	165	159	
496	131	136	126	141	136	152	165	239	
497	176	195	177	209	201	231	246	240	
498	131	138	126	146	136	152	165	159	
499	132	137	128	183	136	153	168	241	
500	177	196	178	210	202	233	247	242	
501	178	197	180	211	203	234	248	244	
502	132	137	128	183	136	154	167	222	
503	180	198	181	176	204	235	249	245	
504	181	199	182	212	205	236	250	246	
505	182	200	108	121	206	237	251	247	
506	183	201	183	213	207	238	252	248	
507	184	105	99	112	109	239	254	126	
508	185	202	184	214	208	240	255	249	
509	186	204	185	215	210	241	256	250	
510	187	205	186	216	211	242	257	251	
511	188	206	72	217	212	244	258	252	
512	189	207	187	219	213	245	259	253	
513	191	208	188	220	214	246	260	255	
514	192	209	189	221	215	247	261	256	
515	45	210	136	222	46	48	262	257	
516	193	211	191	223	216	248	263	258	
517	194	212	192	224	217	249	265	259	
518	195	103	98	111	106	122	129	125	
519	196	213	193	225	218	250	266	260	
520	101	103	98	109	106	119	127	124	
521	166	215	194	226	219	251	267	261	
522	197	216	195	227	221	252	268	262	
523	198	217	196	228	222	253	269	263	
524	199	218	197	229	223	255	270	264	
525	200	219	198	230	224	256	271	266	
526	202	218	197	231	225	257	270	267	
527	203	216	195	227	221	258	272	268	
528	204	220	199	232	226	259	273	269	
529	196	213	193	225	218	260	266	260	
530	205	221	200	233	227	261	274	270	
531	206	222	202	234	228	262	276	271	
532	207	223	196	228	222	263	269	263	
533	208	224	203	235	229	264	277	272	
534	209	226	204	236	230	266	278	273	
535	210	227	205	237	232	267	279	274	
536	234	228	223	238	231	287	297	265	
537	113	115	108	121	233	134	280	275	
538	211	229	206	240	232	268	281	277	
539	213	230	207	241	234	269	282	278	
540	214	216	195	227	221	271	284	268	
541	202	218	197	231	235	255	270	267	
542	215	115	108	242	236	134	280	280	
543	216	232	209	243	237	272	285	281	
544	202	233	197	231	223	257	270	264	
545	217	234	210	244	238	273	287	282	
546	208	224	203	235	229	264	277	283	
547	218	235	211	245	239	274	288	284	
548	50	47	44	246	240	53	289	285	
549	30	237	32	247	33	33	37	36	
550	116	118	213	248	241	275	290	286	
551	219	24	214	249	243	26	291	288	
552	220	239	215	251	244	278	292	289	
553	26	240	28	28	28	28	33	290	
554	1	1	1	252	1	1	293	1	
555	221	241	216	253	245	279	294	291	
556	224	243	218	254	247	281	296	293	
557	225	244	219	255	248	282	298	294	
558	226	245	220	256	249	283	299	295	
559	17	15	20	19	142	18	301	19	
560	10	10	13	257	250	284	13	296	
561	227	246	221	258	251	285	302	297	
562	85	248	81	259	252	95	60	194	
563	78	76	74	260	80	85	303	95	
564	68	249	222	67	70	73	78	195	
565	228	250	224	262	254	286	304	196	
566	229	251	225	263	255	288	305	197	
567	230	44	138	46	49	50	306	59	
568	231	252	226	264	256	289	307	198	
569	233	254	227	266	258	291	210	200	
570	157	158	146	185	165	210	207	192	
571	2	2	2	267	2	2	2	2	
572	236	256	230	269	260	293	309	298	
573	57	257	231	56	59	62	310	69	
574	71	258	67	71	73	77	311	85	
575	58	57	232	271	60	295	68	70	
576	231	252	233	272	262	296	313	198	
577	238	259	234	273	263	297	314	300	
578	231	260	235	274	264	298	315	301	
579	11	10	13	11	265	12	14	302	
580	10	10	13	11	267	12	13	304	
581	133	139	131	144	172	152	170	163	
582	132	136	128	143	136	153	167	156	
583	133	139	131	148	136	152	169	162	
584	101	103	98	111	106	121	129	125	
585	133	139	131	148	136	152	169	163	
586	131	136	126	190	136	152	165	159	
587	130	136	126	142	136	152	165	158	
588	131	136	176	148	136	152	165	158	
589	131	136	176	190	136	152	165	159	
590	130	136	126	141	136	152	165	156	
591	132	137	128	183	136	153	167	156	
592	239	261	237	276	268	300	317	305	
593	240	262	148	277	269	301	318	306	
594	241	263	238	278	270	302	319	307	
595	242	264	239	279	271	303	320	308	
596	243	265	240	280	272	304	321	309	
597	114	266	241	122	120	135	322	310	
598	244	267	242	281	273	305	323	311	
599	132	137	128	143	136	306	167	156	
600	245	268	243	282	274	307	324	312	
601	206	222	202	283	275	262	283	271	
602	133	139	126	284	136	308	173	163	
603	130	136	126	146	136	152	165	159	
604	132	137	128	143	136	154	325	313	
605	133	139	131	144	276	152	170	314	
606	133	139	131	148	136	155	169	163	
607	246	137	128	143	136	153	167	156	
608	132	137	128	143	277	153	168	315	
609	8	8	9	196	8	9	9	8	
610	132	137	128	145	136	154	167	222	
611	133	137	131	141	136	152	170	163	
612	131	138	176	141	136	152	165	159	
613	130	136	126	285	136	152	326	159	
614	131	138	126	141	136	152	165	158	
615	131	136	126	144	136	152	165	159	
616	133	139	131	148	136	152	170	163	
617	133	139	131	148	172	152	170	163	
618	132	137	128	144	136	309	168	160	
619	131	136	126	286	136	152	165	316	
620	134	139	131	287	136	152	169	164	
621	133	138	131	287	136	152	169	162	
622	133	136	131	148	136	152	169	159	
623	133	139	131	148	136	152	169	164	
624	133	139	126	288	136	152	169	162	
625	133	138	131	284	136	152	169	162	
626	132	137	128	143	136	311	327	318	
627	133	139	126	148	136	152	169	163	
628	131	136	126	289	136	312	165	159	
629	136	142	132	151	137	158	176	168	
630	131	136	126	141	136	313	165	159	
631	133	138	131	148	136	314	172	163	
632	91	95	91	95	99	107	116	114	
633	132	137	244	143	136	154	167	313	
634	52	51	126	290	88	315	101	319	
635	8	169	9	9	8	9	9	8	
636	102	103	98	110	106	120	128	123	
637	253	276	338	299	285	324	335	327	
638	133	138	131	284	278	152	169	162	
639	132	137	128	291	136	153	167	160	
640	131	136	126	141	136	316	165	159	
641	133	139	131	287	136	152	169	163	
642	286	255	288	346	167	367	381	375	
643	247	138	131	148	136	155	169	163	
644	248	269	245	292	279	317	328	320	
645	249	270	246	293	280	318	329	321	
646	250	271	247	294	281	319	330	322	
647	251	272	248	295	282	320	331	323	
648	252	273	249	296	283	321	332	324	
649	26	274	250	297	284	322	333	325	
650	254	277	251	300	286	325	336	328	
651	255	278	252	301	287	326	337	329	
652	70	70	66	70	288	76	80	84	
653	256	279	253	302	289	327	338	330	
654	116	280	254	303	290	328	339	331	
655	221	281	216	253	245	279	294	332	
656	257	282	255	304	291	329	340	333	
657	258	283	256	305	292	330	341	334	
658	259	284	257	306	293	331	342	335	
659	260	285	258	307	214	332	343	255	
660	261	24	259	309	294	26	344	336	
661	101	104	98	111	295	121	132	123	
662	101	103	98	110	107	121	130	125	
663	10	286	13	257	296	12	13	338	
664	262	287	241	311	297	334	346	339	
665	114	288	110	312	298	135	146	340	
666	263	289	261	313	299	335	347	341	
667	101	103	98	110	106	121	127	123	
668	264	290	262	314	202	233	247	242	
669	189	207	187	219	213	245	348	253	
670	265	291	263	315	300	336	349	342	
671	266	292	264	316	301	337	350	343	
672	267	293	265	317	302	338	351	344	
673	117	294	266	318	303	339	352	345	
674	248	269	245	292	279	317	353	320	
675	268	295	267	319	304	340	354	346	
676	269	296	268	320	305	341	355	347	
677	270	297	269	321	306	342	356	348	
678	271	298	270	125	307	343	357	349	
679	272	299	258	322	308	344	358	350	
680	82	300	271	323	85	345	359	101	
681	148	198	181	176	253	235	360	245	
682	273	301	272	324	309	346	361	351	
683	274	302	273	325	310	347	362	352	
684	126	303	117	136	311	148	363	353	
685	275	304	274	326	312	348	364	354	
686	276	305	275	327	313	349	365	355	
687	276	306	275	328	314	349	366	356	
688	276	307	275	327	315	349	365	356	
689	277	308	276	329	316	350	367	357	
690	278	309	277	330	317	351	368	358	
691	279	310	278	331	318	352	369	359	
692	280	311	279	332	319	353	370	360	
693	186	204	185	215	320	241	256	250	
694	281	312	280	333	321	354	273	361	
695	282	313	281	334	322	355	371	362	
696	283	314	282	335	323	356	372	363	
697	284	209	283	336	215	357	261	364	
698	35	33	284	35	37	38	40	44	
699	301	329	341	357	340	376	392	386	
700	37	315	285	337	324	358	373	365	
701	238	259	286	273	263	359	374	300	
702	91	94	91	94	94	360	115	110	
703	10	316	13	11	11	361	375	366	
704	136	143	132	338	138	157	176	169	
705	88	86	83	89	90	97	106	107	
706	136	142	132	151	137	157	176	367	
707	285	317	287	339	325	362	376	368	
708	286	318	288	340	326	205	215	369	
709	287	317	289	341	327	363	377	370	
710	285	317	287	342	325	362	376	368	
711	288	317	289	341	327	363	377	371	
712	289	319	290	343	328	364	378	372	
713	290	319	290	344	329	365	379	373	
714	291	320	291	345	330	366	380	374	
715	292	320	292	347	330	366	382	376	
716	17	15	20	19	20	18	22	377	
717	102	103	293	110	107	368	128	125	
718	102	103	98	110	331	120	128	125	
719	129	135	125	348	332	151	383	155	
720	293	321	223	349	333	369	384	378	
721	294	322	294	350	334	370	385	379	
722	295	323	295	351	335	37	386	380	
723	296	324	296	352	336	371	387	381	
724	297	325	297	353	337	372	388	382	
725	298	326	298	354	338	373	389	383	
726	299	327	299	355	201	374	390	384	
727	91	88	86	95	93	101	110	110	
728	300	328	300	356	339	375	391	385	
729	116	118	111	248	341	275	147	387	
730	193	211	191	358	342	248	263	388	
731	302	330	301	228	343	377	393	389	
732	155	159	302	182	344	378	219	207	
733	303	331	303	359	345	379	394	390	
