ST	carB	clpX	dnaA	murC	murE	pepN	pepX	pyrG	recA	rpoB
87	1	12	4	2	4	8	5	2	2	7
88	1	12	4	2	4	8	5	6	2	8
89	1	12	4	2	4	5	5	2	5	2
90	1	12	4	2	4	5	5	2	2	8
91	2	2	2	7	6	7	9	9	2	3
92	2	10	2	2	4	12	2	5	2	2
93	1	12	4	2	4	8	5	2	2	8
94	1	12	4	2	4	11	5	2	2	8
95	1	12	4	2	4	8	5	5	2	8
96	5	1	2	2	5	3	3	6	2	2
97	5	14	2	4	4	2	8	6	2	2
98	6	4	2	2	9	14	1	6	2	2
99	2	2	2	2	4	11	2	6	2	3
100	5	5	2	2	10	2	8	6	2	2
101	5	9	2	4	4	14	1	5	2	2
102	2	9	2	7	4	11	2	6	2	2
103	2	2	2	7	4	9	9	5	2	2
104	5	9	2	2	4	14	2	1	2	1
105	5	9	2	2	4	1	2	4	2	1
106	2	7	5	7	4	10	9	5	4	3
107	5	9	2	2	4	1	2	1	2	1
108	2	16	2	2	4	15	9	6	2	10
109	2	7	2	8	6	7	7	6	2	10
110	2	7	2	7	4	7	9	5	2	3
111	2	2	7	2	12	5	5	2	2	8
112	2	9	8	2	13	16	12	10	7	11
113	9	17	9	2	11	9	13	11	2	3
114	10	7	2	9	14	17	14	6	2	12
115	2	7	2	7	6	7	9	9	2	3
116	2	7	2	7	4	7	9	10	2	3
117	8	2	2	7	4	7	9	10	2	3
118	2	7	2	7	6	7	5	12	2	3
119	2	18	2	7	4	7	15	12	2	13
120	2	7	2	7	6	7	17	5	2	3
121	2	7	2	2	6	7	9	9	2	3
122	2	19	2	7	6	7	9	10	2	3
123	2	7	2	7	4	19	9	5	2	3
124	11	20	10	10	15	18	16	13	9	14
125	11	2	1	10	15	18	16	13	8	14
126	11	2	1	10	15	18	5	13	9	14
127	11	2	1	10	15	18	16	13	9	14
128	11	20	1	10	15	18	5	13	9	14
129	11	2	1	10	16	18	18	13	9	14
130	11	2	1	11	15	18	19	14	10	15
131	11	2	1	11	15	18	5	13	10	14
132	11	2	1	10	16	18	16	13	9	14
133	11	2	11	10	15	18	16	13	9	16
