ST	adk_3	icdA_3	lipL32_3	lipL41_3	rrs2_3	secY_3	clonal_complex
120	36	39	15	32	10	34	
121	37	30	15	25	10	38	
122	40	40	23	6	7	41	
123	49	36	27	28	10	42	
124	52	47	28	32	10	34	
125	56	50	30	36	20	48	
126	57	52	30	37	20	45	
127	57	53	30	38	20	46	
128	57	54	30	39	20	47	
129	58	55	10	39	20	48	
130	65	10	7	12	24	50	
131	65	51	10	24	7	49	
132	65	51	10	24	20	49	
133	65	60	10	24	20	49	
134	68	66	6	42	21	53	
135	68	68	6	44	7	4	
136	70	45	26	34	10	33	
137	62	72	7	43	24	52	
138	5	22	2	2	2	58	
139	58	51	10	24	20	48	
140	51	46	22	23	10	40	
141	36	39	15	32	10	40	
142	1	2	2	3	29	1	
143	5	2	2	2	1	17	
144	13	24	11	19	12	60	
145	57	54	35	39	20	47	
146	75	61	10	15	20	49	
147	65	59	30	38	20	46	
148	4	2	2	2	1	1	
149	5	1	2	3	1	5	
150	2	1	2	2	1	5	
151	5	2	2	2	1	3	
152	5	1	2	2	1	5	
153	2	2	2	2	2	5	
154	5	2	2	50	2	13	
155	2	2	2	1	2	7	
156	5	3	2	2	1	1	
157	2	3	1	1	2	6	
158	13	24	11	21	12	22	
159	5	2	2	2	1	1	
160	13	24	11	16	12	21	
161	5	22	12	2	2	58	
162	1	2	2	3	1	1	
163	2	2	2	3	1	7	
164	2	2	2	3	2	6	
165	4	3	2	2	2	4	
166	2	1	2	4	1	2	
167	5	22	2	2	2	5	
168	2	2	2	2	2	2	
169	4	2	2	2	2	4	
170	5	9	2	1	2	7	
171	5	2	2	3	2	6	
172	5	9	2	3	2	5	
173	2	2	2	4	2	4	
174	2	9	1	1	2	7	
175	19	25	11	16	12	28	
176	5	2	2	4	2	3	
177	5	3	1	1	1	12	
178	5	3	1	1	2	6	
179	5	11	2	3	1	3	
180	5	2	2	3	1	7	
181	2	1	2	1	2	12	
182	2	2	2	2	2	4	
183	5	2	2	3	2	1	
184	1	2	2	2	1	4	
185	5	9	1	1	2	12	
186	2	1	1	4	2	7	
187	2	22	2	2	2	6	
188	2	9	1	2	1	6	
189	75	61	10	51	20	49	
190	5	1	10	15	20	49	
191	5	51	10	15	20	49	
192	65	51	10	15	20	49	
193	65	51	10	15	30	49	
194	65	76	10	15	30	49	
