ST	abcZ	bglA	cat	dapE	dat	ldh	lhkA	CC	Lineage
158	5	8	5	7	6	84	1	CC7	II
159	7	6	32	18	12	6	1	CC18	II
160	7	6	15	6	5	85	1	CC14	II
161	24	19	29	31	6	66	1	ST161	II
162	154	136	157	191	118	327	120	ST162	L. marthii
163	162	137	86	196	56	219	124	ST163	L. seeligeri
164	163	138	165	197	64	335	125	ST164	L. seeligeri
165	1	2	166	3	2	5	3	CC4	I
166	1	1	12	17	2	11	3	CC54	I
167	7	14	10	19	9	91	1	CC31	II
168	164	82	155	199	128	244	126	ST168	L. welshimeri
169	7	52	8	6	1	41	1	CC412	II
170	1	2	12	3	2	5	127	CC4	I
171	1	1	11	201	2	1	5	CC2	I
172	1	1	11	11	2	336	5	CC2	I
173	7	49	19	6	1	24	129	CC19	II
174	166	4	4	3	2	1	5	CC3	I
175	3	9	9	3	130	1	5	CC6	I
176	7	6	8	8	131	37	1	CC121	II
177	5	10	17	20	1	26	1	CC177	II
178	3	9	9	3	3	1	131	CC6	I
179	3	9	9	3	3	1	132	CC6	I
180	168	10	17	20	1	26	1	CC177	II
181	3	1	1	1	3	1	133	CC1	I
182	11	1	4	3	3	1	4	CC379	I
183	1	51	11	202	2	5	5	CC183	I
184	167	10	8	4	5	4	1	ST184	II
185	7	139	10	19	9	8	1	CC31	II
186	7	14	10	19	9	337	1	CC31	II
187	7	14	10	19	9	153	1	CC31	II
188	169	140	169	203	132	338	134	CC188	L. innocua
189	15	10	66	18	1	3	135	CC29	II
190	3	9	9	3	3	1	136	CC6	I
191	11	1	36	2	3	1	7	CC191	I
192	11	9	11	15	85	1	2	CC77	I
193	7	14	37	6	1	27	1	CC193	II
194	3	18	27	3	4	1	5	CC315	I
195	11	12	4	15	3	1	2	CC195	I
196	7	14	10	6	1	27	1	CC193	II
197	5	7	3	40	1	8	6	CC37	II
198	17	26	3	6	5	7	1	CC20	II
199	9	10	15	6	8	26	1	CC199	II
200	5	10	8	20	1	7	1	CC200	II
201	19	17	22	25	15	79	12	CC69	III
202	19	17	22	25	15	73	12	CC69	III
203	32	11	38	27	25	34	20	CC203	III
204	5	7	6	4	5	4	1	CC204	II
205	1	2	12	3	2	86	3	CC4	I
206	8	6	15	6	5	2	1	CC14	II
207	7	27	10	41	5	2	1	CC207	II
208	1	1	11	11	2	4	5	CC2	I
209	6	28	6	4	1	4	1	CC9	II
210	6	5	39	4	1	32	1	CC9	II
211	7	6	3	6	5	2	1	CC14	II
212	3	1	14	12	2	1	3	CC212	I
213	1	1	9	13	2	5	5	ST213	I
214	10	1	4	14	3	39	4	CC87	I
215	3	9	9	3	3	11	5	CC6	I
216	3	1	11	1	3	1	3	CC1	I
217	1	9	1	3	7	5	3	CC217	I
218	3	1	1	16	7	1	4	CC218	I
219	1	2	9	1	2	5	3	CC4	I
220	1	3	7	2	4	1	2	CC220	I
221	11	3	4	15	3	1	2	CC195	I
222	21	6	15	8	6	2	14	CC90	II
223	33	5	6	4	1	4	1	CC9	II
224	11	3	12	38	3	94	2	CC224	I
225	4	4	4	3	2	95	5	CC3	I
226	7	10	17	6	1	96	1	CC226	II
227	5	8	5	7	26	2	1	CC7	II
228	4	4	4	3	2	97	5	CC3	I
229	5	29	8	21	1	87	1	CC229	II
230	5	10	15	6	8	26	1	CC199	II
231	5	8	5	7	6	88	1	CC7	II
232	5	6	2	29	5	89	1	CC8	II
233	34	12	11	43	3	1	2	CC288	I
234	5	7	3	5	1	91	6	CC37	II
235	4	4	4	3	2	1	22	CC3	I
236	7	6	8	8	19	37	1	CC121	II
237	7	10	16	7	5	92	1	CC155	II
238	7	7	3	10	5	93	1	CC21	II
239	7	10	16	7	5	16	1	CC155	II
240	2	1	1	17	2	1	3	CC240	I
241	11	1	12	16	3	1	21	CC59	I
242	1	2	12	3	2	98	3	CC4	I
243	3	1	1	42	3	1	3	CC1	I
244	1	1	11	11	2	99	5	CC2	I
245	1	1	11	11	2	29	5	CC2	I
246	1	1	11	11	2	100	5	CC2	I
247	35	1	11	11	2	11	5	CC2	I
248	3	1	1	1	3	90	3	CC1	I
249	3	18	27	3	4	1	23	CC315	I
250	3	18	27	3	4	48	23	CC315	I
251	1	2	12	3	2	5	5	CC4	I
252	3	1	1	1	3	101	3	CC1	I
253	3	18	27	3	4	30	23	CC315	I
254	3	9	9	3	3	102	5	CC6	I
255	3	1	1	44	3	103	3	ST255	I
256	3	1	1	1	3	104	3	CC1	I
257	1	1	11	11	2	30	5	CC2	I
258	3	1	1	1	3	105	3	CC1	I
259	1	1	11	11	2	59	5	CC2	I
260	5	15	10	8	11	14	9	ST260	II
261	37	30	41	46	27	107	24	ST261	III
262	38	31	42	47	28	108	25	CC262	III
263	39	32	35	48	29	109	26	ST263	III
264	40	30	42	49	30	110	27	ST264	III
265	41	33	43	50	31	111	28	ST265	III
266	42	34	44	51	16	112	29	ST266	III
267	40	30	42	52	32	113	25	CC267	III
268	43	35	45	53	33	114	30	CC268	III
269	41	36	46	54	34	115	28	CC269	III
270	5	6	19	6	1	24	1	CC19	II
271	7	10	17	20	1	26	1	CC177	II
272	1	1	11	11	2	116	5	CC2	I
273	4	4	49	3	2	1	5	CC3	I
274	11	12	4	15	3	9	2	CC195	I
275	7	6	8	8	6	117	1	CC121	II
276	1	1	11	11	2	118	5	CC2	I
277	1	38	11	11	2	1	5	CC2	I
278	3	1	1	1	3	30	3	CC1	I
279	1	9	12	56	2	1	3	ST279	I
280	4	4	4	57	2	9	5	CC3	I
281	4	4	4	57	2	1	5	CC3	I
282	11	1	12	16	3	9	7	CC59	I
283	9	10	15	6	8	119	1	CC199	II
284	1	9	12	17	2	28	5	CC284	I
285	11	1	12	16	3	120	32	CC59	I
286	11	1	12	16	3	1	32	CC59	I
287	4	4	4	3	2	90	5	CC3	I
288	34	39	11	15	3	1	2	CC288	I
289	5	6	2	9	5	121	1	CC8	II
290	1	1	11	11	2	11	5	CC2	I
291	1	1	11	11	2	10	5	CC2	I
292	57	6	2	29	5	3	1	CC8	II
295	4	39	11	60	3	1	2	CC288	I
296	12	12	12	61	3	1	4	CC88	I
297	5	42	5	7	6	2	1	CC7	II
298	45	1	1	1	3	1	3	CC1	I
299	22	33	21	24	17	31	13	CC131	III
300	7	5	8	4	6	37	1	CC475	II
301	6	10	6	7	1	4	1	ST301	II
302	6	10	16	7	5	2	1	CC155	II
303	6	8	5	7	6	41	1	CC7	II
304	7	5	6	4	1	62	1	CC9	II
305	6	1	4	14	3	39	4	CC87	I
306	5	5	6	4	1	62	1	CC9	II
307	7	29	8	4	1	2	1	CC307	II
308	3	1	1	1	18	1	3	CC1	I
309	22	33	21	24	17	31	3	CC131	III
310	12	1	4	14	3	124	4	CC87	I
311	7	10	16	8	5	2	1	CC155	II
312	12	5	6	4	1	62	1	CC9	II
313	17	13	3	6	5	125	1	CC20	II
314	7	6	19	6	1	126	1	CC19	II
315	3	18	27	3	4	127	5	CC315	I
316	7	6	19	6	1	127	1	CC19	II
317	1	2	12	3	2	5	33	CC4	I
318	46	1	11	3	3	1	7	CC5	I
319	4	4	4	3	2	128	5	CC3	I
320	7	10	16	7	35	2	1	CC155	II
321	5	6	8	62	6	7	34	CC321	II
322	7	6	8	8	6	37	35	CC121	II
323	34	12	11	15	3	1	2	CC288	I
324	34	12	11	16	3	1	2	CC288	I
325	7	14	10	19	1	8	1	CC31	II
326	3	1	1	1	3	129	3	CC1	I
327	3	1	1	1	3	130	3	CC1	I
328	3	1	1	1	3	131	3	CC1	I
329	1	2	51	3	2	5	3	CC4	I
330	34	39	11	60	3	1	2	CC288	I
331	49	11	52	24	17	145	37	CC331	III
332	5	43	5	7	6	2	1	CC7	II
333	1	2	12	3	2	144	3	CC4	I
334	7	10	16	7	5	25	1	CC155	II
335	51	33	53	24	22	147	13	CC335	III
336	7	7	3	10	5	140	1	CC21	II
337	7	15	15	8	6	138	9	CC101	II
338	7	15	15	8	6	137	9	CC101	II
339	7	7	6	4	5	4	1	CC204	II
340	7	15	15	8	6	136	9	CC101	II
341	5	8	5	7	6	132	1	CC7	II
342	51	33	53	24	22	146	13	CC335	III
343	6	5	6	4	1	135	1	CC9	II
344	2	9	12	14	3	143	36	CC344	I
345	3	31	14	3	3	60	5	CC345	I
346	4	4	4	3	2	127	5	CC3	I
347	3	1	1	1	3	142	3	CC1	I
348	1	1	11	11	2	141	5	CC2	I
349	7	15	15	8	6	139	9	CC101	II
350	3	1	1	1	3	10	3	CC1	I
351	50	30	54	64	24	148	26	ST351	III
352	3	1	1	1	18	90	3	CC1	I
353	6	5	6	4	1	134	1	CC9	II
354	3	1	1	1	3	28	3	CC1	I
355	11	1	12	58	3	1	7	CC59	I
356	6	5	6	4	1	133	1	CC9	II
357	48	45	29	65	37	150	38	ST357	III
358	47	44	55	63	36	149	39	ST358	III
359	3	1	1	16	7	28	4	CC218	I
360	7	6	17	6	5	2	1	CC14	II
361	5	5	18	21	39	2	6	CC415	II
362	7	6	3	66	5	7	1	CC14	II
363	34	1	57	14	2	1	2	CC5	I
364	7	10	8	7	1	26	1	CC364	II
365	7	6	3	6	5	7	1	CC14	II
366	53	13	3	67	1	3	41	CC366	II
367	3	1	1	1	3	152	3	CC1	I
368	7	48	59	68	38	2	1	ST368	II
369	53	47	8	67	13	3	41	CC369	II
370	53	13	3	67	13	3	41	CC366	II
371	7	6	56	6	1	2	1	CC11	II
372	7	10	58	7	5	2	1	CC155	II
373	52	1	4	14	2	1	3	CC373	I
374	53	46	8	67	13	3	41	CC369	II
375	7	6	13	8	1	96	6	CC375	II
376	5	5	3	6	1	2	1	ST376	II
377	5	7	6	4	5	4	40	CC204	II
378	7	49	19	6	1	24	1	CC19	II
379	2	1	4	3	3	1	5	CC379	I
380	5	5	2	21	6	151	1	CC380	II
381	7	50	16	7	5	2	1	CC155	II
382	1	51	11	13	2	5	5	CC183	I
383	5	7	3	5	1	153	6	CC37	II
384	7	6	15	6	5	53	1	CC14	II
385	3	1	60	1	3	1	3	CC1	I
386	11	3	12	38	3	94	42	CC224	I
387	5	6	2	29	5	154	1	CC8	II
388	3	1	12	70	2	1	5	CC388	I
389	52	1	12	71	2	1	5	CC389	I
390	5	5	3	18	12	3	1	ST390	II
391	7	6	62	28	5	2	1	CC89	II
392	2	4	12	3	3	94	2	CC392	I
393	30	6	3	6	5	7	1	CC14	II
394	5	5	17	21	39	2	6	CC415	II
395	7	14	63	6	1	26	1	CC395	II
397	1	2	12	1	2	5	3	CC4	I
398	7	13	19	6	1	7	1	CC19	II
399	8	6	15	6	6	2	1	CC14	II
400	7	6	10	6	6	2	1	CC11	II
401	8	6	15	6	6	25	1	CC14	II
402	17	13	3	6	5	158	1	CC20	II
403	7	7	10	4	5	24	1	CC403	II
404	3	1	1	1	3	1	4	CC1	I
405	5	7	5	5	1	8	6	CC37	II
406	56	53	61	72	41	155	43	CC406	III
407	59	32	21	75	17	159	44	CC407	III
408	60	2	12	3	2	5	3	CC4	I
409	2	55	11	3	3	1	7	CC5	I
410	1	1	11	11	2	160	5	CC2	I
411	1	1	11	11	2	161	5	CC2	I
412	7	52	8	6	1	2	1	CC412	II
413	3	56	1	1	3	1	3	CC1	I
414	3	1	1	1	42	1	3	CC1	I
415	5	5	65	21	39	2	6	CC415	II
416	3	1	1	1	3	162	3	CC1	I
417	3	9	9	76	3	1	5	CC6	I
418	1	1	11	11	1	1	5	CC2	I
419	3	9	9	3	3	1	1	CC6	I
420	7	6	8	8	6	37	3	CC121	II
421	6	5	6	4	1	4	5	CC9	II
422	3	9	9	3	3	1	3	CC6	I
423	4	4	4	3	2	1	3	CC3	I
424	17	13	3	6	5	7	45	CC20	II
425	7	6	15	8	6	2	14	CC90	II
426	11	1	48	3	2	1	31	CC426	I
427	15	10	66	18	1	3	1	CC29	II
428	30	10	17	20	1	26	1	CC177	II
429	11	1	11	38	2	39	5	CC429	I
430	15	10	18	18	1	165	1	CC29	II
431	7	15	15	78	6	14	9	CC101	II
432	7	15	15	8	6	166	9	CC101	II
433	51	58	52	24	22	123	46	CC433	III
434	59	11	21	24	17	164	47	CC434	III
435	5	6	2	7	5	6	48	ST435	II
436	23	10	17	30	6	2	1	ST436	II
437	63	59	67	79	44	167	49	ST437	L. innocua
438	63	63	70	82	46	171	54	ST438	L. innocua
439	7	6	15	18	12	172	1	CC18	II
440	22	33	21	83	25	123	55	ST440	III
441	6	64	6	4	1	4	1	CC9	II
442	3	7	3	10	5	6	1	CC21	II
443	3	9	9	7	3	1	5	CC6	I
444	44	40	50	59	24	122	26	ST444	III
445	7	10	17	20	6	26	1	CC177	II
446	44	60	68	80	41	168	51	ST446	III
447	64	61	69	81	16	169	52	ST447	III
448	65	62	40	33	45	170	53	CC448	L. innocua
449	3	1	1	1	18	28	3	CC1	I
450	58	41	53	73	16	156	50	CC450	III
451	7	5	10	21	1	4	1	CC11	II
452	61	5	17	30	6	6	1	CC452	II
453	62	57	2	77	43	163	1	ST453	III
454	1	1	11	11	2	90	5	CC2	I
455	3	1	12	3	2	94	5	ST455	I
456	3	1	1	1	3	127	3	CC1	I
457	3	1	1	1	3	120	3	CC1	I
458	1	1	11	11	2	120	5	CC2	I
459	69	10	16	7	5	2	1	CC155	II
460	1	1	12	17	2	12	3	CC54	I
461	5	8	5	7	6	85	1	CC7	II
462	1	1	71	11	2	173	5	ST462	I
463	66	33	72	84	32	159	56	ST463	III
464	3	1	1	1	3	1	57	CC1	I
465	3	18	27	3	4	174	5	CC315	I
466	5	10	15	85	5	7	1	ST466	II
467	67	65	29	63	36	178	39	ST467	III
468	3	1	1	1	3	175	3	CC1	I
469	19	17	22	25	15	176	12	CC69	III
470	68	1	1	1	3	1	3	CC1	I
471	17	13	3	6	5	177	1	CC20	II
473	32	11	38	27	47	34	20	CC203	III
474	36	21	33	86	20	180	58	CC474	L. innocua
475	7	66	8	87	6	181	1	CC475	II
476	4	4	4	3	2	182	5	CC3	I
477	6	5	6	4	1	183	1	CC9	II
478	6	5	6	4	1	184	1	CC9	II
479	5	8	5	7	6	185	1	CC7	II
480	7	15	15	6	1	2	1	ST480	II
481	7	6	15	18	12	186	1	CC18	II
482	3	31	14	3	3	5	5	CC345	I
483	30	8	5	7	6	2	1	CC7	II
484	3	1	1	1	3	187	3	CC1	I
485	70	67	73	88	23	188	60	ST485	L. innocua
486	15	10	66	18	1	189	1	CC29	II
487	17	13	3	6	5	190	1	CC20	II
488	71	68	74	48	27	191	50	ST488	III
489	11	9	12	3	3	1	4	CC489	I
490	3	18	27	3	4	28	5	CC315	I
491	1	9	12	17	2	1	5	CC284	I
492	36	21	40	45	48	179	61	CC492	L. innocua
493	72	21	75	35	49	192	16	CC493	L. innocua
494	1	1	11	11	2	193	5	CC2	I
495	3	1	1	1	3	194	3	CC1	I
496	4	4	4	3	2	131	5	CC3	I
497	73	5	6	4	1	4	1	CC9	II
498	7	6	15	18	12	195	1	CC18	II
499	4	4	4	3	50	1	5	CC3	I
500	4	4	4	3	2	30	5	CC3	I
501	5	10	8	21	6	196	1	CC26	II
502	3	1	1	1	3	141	3	CC1	I
503	1	1	11	11	2	197	5	CC2	I
504	7	66	8	87	6	37	1	CC475	II
505	18	11	21	89	17	35	13	CC131	III
506	1	3	48	90	3	1	4	CC506	I
507	7	6	15	6	5	41	1	CC14	II
508	7	13	19	6	1	198	1	CC19	II
509	74	69	76	91	51	199	24	ST509	III
510	6	5	6	4	1	200	1	CC9	II
511	5	8	5	7	6	2	62	CC7	II
512	75	70	77	92	27	201	63	ST512	III
513	7	13	19	6	1	202	1	CC19	II
514	7	5	3	18	1	7	1	ST514	II
515	3	1	1	39	3	1	3	CC1	I
516	7	15	15	8	6	203	9	CC101	II
517	11	3	4	26	3	1	4	CC517	I
518	7	6	17	18	6	6	1	ST518	II
519	5	8	5	7	6	16	1	CC7	II
520	3	18	27	3	4	106	23	CC315	I
521	8	6	15	6	6	16	1	CC14	II
522	17	13	3	6	5	204	1	CC20	II
523	58	32	78	73	16	205	64	ST523	III
524	76	71	79	93	52	206	50	ST524	III
525	77	4	4	3	2	1	5	CC3	I
527	78	23	80	94	45	69	65	ST527	L. innocua
529	25	73	82	96	45	211	67	CC529	L. innocua
530	28	62	40	97	45	214	53	ST530	L. innocua
531	1	2	12	98	2	5	3	CC4	I
532	79	21	83	33	45	213	17	CC532	L. innocua
533	80	74	85	99	53	208	69	CC542	L. innocua
534	9	6	15	6	8	26	1	CC199	II
536	26	21	30	33	55	69	17	CC133	L. innocua
537	28	21	84	97	20	218	68	CC537	L. innocua
538	80	74	85	99	53	209	69	CC542	L. innocua
539	80	74	85	99	53	212	69	CC542	L. innocua
540	79	21	83	33	45	215	17	CC532	L. innocua
541	80	74	85	99	53	216	69	CC542	L. innocua
542	80	74	85	99	53	207	69	CC542	L. innocua
544	1	2	12	3	2	220	3	CC4	I
545	7	6	15	6	5	84	1	CC14	II
546	82	4	87	3	2	1	5	ST546	I
547	3	18	27	3	4	221	5	CC315	I
548	5	8	5	7	6	222	1	CC7	II
549	7	13	19	6	1	223	1	CC19	II
550	11	3	12	38	3	224	2	CC224	I
551	5	6	88	29	5	3	1	CC8	II
552	2	1	89	3	3	1	7	CC5	I
553	1	1	11	11	2	225	5	CC2	I
554	2	1	9	1	3	5	5	CC554	I
555	3	9	9	3	2	1	5	CC6	I
556	7	27	2	6	1	24	1	ST556	II
557	27	54	64	74	22	157	55	CC396	III
558	11	1	12	38	2	1	5	CC388	I
560	4	9	4	3	3	1	5	ST560	I
561	5	8	5	7	6	2	71	CC7	II
562	83	19	91	100	58	178	72	CC562	IV
563	84	75	92	101	59	227	73	ST563	IV
564	67	76	91	102	60	228	38	ST564	IV
565	84	75	93	103	61	229	74	ST565	IV
566	83	77	91	102	62	150	39	ST566	IV
567	84	78	92	104	61	230	75	ST567	IV
568	85	75	94	102	61	231	76	ST568	IV
569	86	75	93	101	61	232	77	ST569	IV
570	5	5	8	18	1	7	1	CC570	II
571	7	6	15	18	12	6	59	CC18	II
572	52	1	4	14	4	1	3	CC373	I
573	7	6	8	105	6	7	1	CC573	II
574	8	6	15	6	6	2	78	CC14	II
575	6	5	6	55	1	4	1	CC9	II
576	31	4	4	3	2	1	5	CC3	I
577	31	4	4	3	2	1	18	CC3	I
578	2	1	11	3	3	1	19	CC5	I
579	5	6	47	7	5	2	1	CC8	II
580	6	37	6	4	1	4	1	CC9	II
581	11	3	12	3	3	1	2	ST581	I
582	54	5	6	4	1	4	1	CC9	II
583	55	5	6	4	1	4	1	CC9	II
584	7	6	8	69	6	37	1	CC121	II
585	30	6	10	20	40	26	1	ST585	II
586	15	10	18	18	1	233	1	CC29	II
587	15	10	18	18	1	89	1	CC29	II
588	5	6	2	9	5	165	1	CC8	II
589	87	1	11	11	2	1	5	CC2	I
590	6	5	6	4	1	234	1	CC9	II
591	7	6	15	6	63	2	1	CC14	II
592	7	15	15	8	11	237	9	CC101	II
593	7	6	8	8	6	235	1	CC121	II
594	12	12	12	61	3	236	4	CC88	I
595	3	1	1	106	3	1	3	CC1	I
596	1	2	12	3	2	5	79	CC4	I
599	70	80	30	33	45	240	68	CC599	L. innocua
600	36	21	40	108	65	241	81	CC600	L. innocua
602	26	21	40	110	45	242	16	ST602	L. innocua
603	36	21	40	108	65	243	81	CC600	L. innocua
605	36	21	30	35	45	69	17	CC605	L. innocua
609	5	6	2	29	5	3	5	CC8	II
610	7	6	62	1	5	2	1	CC89	II
611	1	2	12	3	2	5	1	CC4	I
612	12	1	4	14	3	39	3	CC87	I
613	3	1	1	1	3	1	82	CC1	I
614	91	1	1	1	3	1	5	CC1	I
615	3	9	9	3	3	12	5	CC6	I
616	3	9	9	3	72	1	5	CC6	I
617	2	9	12	14	3	247	36	CC344	I
618	98	4	4	3	2	1	5	CC3	I
619	12	86	11	3	73	1	2	CC619	I
620	7	87	8	6	1	2	1	CC412	II
621	99	6	10	6	1	2	1	CC11	II
622	100	5	6	4	1	4	1	CC9	II
623	18	11	21	24	17	248	13	CC131	III
624	5	8	105	7	6	2	1	CC7	II
625	6	5	6	119	1	4	1	CC9	II
626	7	88	106	120	1	249	1	CC33	II
627	4	4	4	3	2	250	5	CC3	I
628	4	4	4	121	2	1	5	CC3	I
629	101	1	11	3	3	1	7	CC5	I
630	1	1	11	11	2	1	3	CC2	I
631	1	2	9	3	2	1	3	CC4	I
632	1	89	1	3	7	5	3	CC217	I
633	1	9	1	3	3	5	3	CC217	I
634	1	2	9	123	2	5	3	CC4	I
635	23	29	3	30	6	6	1	CC635	II
636	27	54	104	74	22	157	55	CC396	III
637	28	23	33	35	23	192	16	CC140	L. innocua
638	3	1	1	117	3	1	3	CC1	I
639	3	1	12	3	69	1	5	CC639	I
640	41	33	100	54	70	246	28	CC640	III
