ST	gki	gtr	murI	mutS	recP	xpt	atoB	clonal_complex
98	2	2	5	2	3	7	1	
99	2	2	5	2	3	7	2	
100	4	2	4	2	9	22	16	
101	2	2	4	15	3	7	1	
102	6	3	5	1	9	30	2	
103	2	2	4	2	3	7	2	
104	5	3	5	1	6	2	1	
105	3	3	9	14	8	28	2	
106	3	3	9	1	8	7	2	
107	3	3	4	1	8	7	2	
108	4	3	1	8	25	26	2	
110	3	3	4	1	11	24	2	
111	3	3	4	2	9	25	2	
112	2	2	4	2	3	7	7	
113	3	3	4	1	16	15	2	
114	3	10	4	2	5	10	2	
115	3	2	1	2	5	10	2	
116	2	2	4	2	3	7	14	
117	15	2	4	2	3	7	1	
118	3	2	4	2	7	23	7	
119	4	3	4	1	21	3	2	
120	2	2	12	2	3	7	7	
121	2	3	4	2	9	22	2	
122	16	2	4	1	3	7	15	
123	16	2	4	2	3	7	1	
124	3	2	4	1	4	1	2	
125	3	10	4	1	14	15	10	
126	13	3	15	1	9	26	2	
127	3	2	1	5	7	33	3	
128	3	2	1	1	4	1	11	
129	2	2	4	1	5	7	2	
130	8	3	4	5	6	2	1	
131	3	4	1	2	17	6	2	
132	3	3	2	2	7	8	2	
133	4	4	1	2	17	1	11	
134	17	14	16	7	12	13	9	
135	2	3	4	2	16	3	18	
136	19	2	4	2	9	1	2	
137	4	2	1	2	17	6	2	
138	3	15	1	2	7	32	3	
139	18	2	4	1	5	7	2	
140	2	2	4	2	3	10	1	
141	3	2	2	8	1	8	19	
142	10	5	17	6	12	13	9	
143	10	13	16	7	12	13	8	
144	2	4	4	1	19	17	20	
145	2	2	4	1	5	7	22	
146	3	2	1	1	4	9	3	
147	3	2	1	5	7	34	3	
148	3	2	1	17	7	4	3	
149	3	2	4	2	7	1	2	
150	3	2	4	2	7	1	21	
151	3	3	2	2	28	8	2	
152	3	16	1	2	17	6	2	
153	3	15	1	2	27	32	3	
154	3	17	4	1	11	3	5	
155	3	18	1	5	7	4	3	
156	4	3	2	2	9	8	2	
157	4	4	1	1	17	6	2	
158	4	4	1	2	11	6	2	
159	3	3	2	5	9	8	2	
160	4	4	1	2	17	6	4	
161	20	4	1	2	17	6	2	
164	10	6	16	19	12	13	8	
165	3	19	4	1	1	1	2	
166	3	3	18	1	1	8	2	
167	1	1	1	1	1	3	4	
168	4	4	10	18	17	6	2	
169	3	3	2	2	29	7	1	
170	3	3	2	2	2	8	1	
171	2	2	5	2	2	31	2	
172	3	3	4	1	26	15	2	
174	10	6	6	6	7	13	3	
175	4	4	1	2	17	4	2	
176	4	4	1	2	17	6	11	
177	3	2	1	1	4	4	11	
178	2	2	4	2	1	7	11	
179	2	2	4	21	5	7	2	
180	3	2	1	2	7	4	3	
181	4	3	5	1	4	17	1	
182	4	3	1	8	25	27	2	
183	3	3	2	8	9	8	2	
184	3	3	1	2	4	6	3	
185	3	2	1	2	4	6	3	
186	9	2	4	1	2	3	5	
187	3	21	4	1	16	15	2	
188	2	2	4	2	29	3	18	
189	21	3	5	2	30	17	1	
190	3	3	4	1	31	8	18	
191	3	2	4	1	32	40	2	
192	3	22	4	1	11	10	5	
193	3	2	19	1	7	10	2	
194	22	23	20	23	33	41	24	
195	23	24	20	23	33	41	25	
196	23	25	20	24	33	42	24	
197	23	25	20	23	33	43	24	
198	23	26	20	23	33	42	8	
199	23	25	21	23	33	41	8	
200	23	26	20	23	33	43	24	
201	23	25	20	23	33	42	8	
202	23	23	20	23	34	41	24	
203	23	25	20	23	33	42	24	
204	23	23	22	23	34	41	24	
205	4	4	1	2	17	44	2	
206	4	4	4	2	17	6	2	
207	23	25	21	23	33	41	24	
208	23	25	20	24	33	42	8	
209	23	25	20	23	33	42	26	
210	23	25	20	23	33	41	24	
211	23	28	20	23	33	42	24	
212	23	24	21	23	36	42	8	
213	23	24	20	23	35	41	24	
214	23	29	20	23	33	49	8	
215	23	31	20	23	35	41	24	
216	26	24	20	23	33	41	25	
217	27	26	25	23	33	42	24	
218	28	30	24	24	33	47	8	
219	29	25	20	23	33	41	8	
220	22	25	20	23	37	41	8	
221	23	26	26	23	38	47	24	
222	23	26	20	23	33	42	28	
223	23	32	20	23	33	42	24	
224	24	25	20	23	35	45	8	
225	25	26	23	24	33	46	24	
226	23	25	20	24	33	42	26	
227	23	25	20	24	33	41	8	
228	23	25	20	23	33	49	8	
229	23	27	20	24	33	42	27	
230	23	26	24	25	33	42	24	
231	23	26	20	23	33	42	24	
232	31	34	28	6	40	48	8	
233	30	33	27	26	12	48	29	
234	32	33	27	27	39	48	29	
235	31	33	27	28	39	48	30	
236	22	26	20	23	33	41	24	
237	23	25	21	24	33	42	8	
238	3	3	2	2	9	50	2	
239	10	6	16	6	12	55	8	
240	10	6	16	7	12	13	8	
241	10	6	16	7	12	55	8	
242	10	6	32	19	12	13	34	
243	33	6	29	19	12	13	8	
244	33	14	6	6	12	55	8	
245	33	38	16	30	12	13	8	
246	34	36	30	7	41	55	35	
247	35	37	31	29	42	53	32	
248	35	37	31	29	42	54	32	
249	35	37	31	31	42	53	32	
250	36	37	31	29	42	54	32	
251	37	13	30	19	43	13	8	
252	30	13	6	6	12	56	33	
253	30	13	6	26	12	56	33	
254	30	13	6	30	12	13	30	
255	30	13	6	28	12	56	33	
256	30	13	16	29	42	13	32	
257	30	35	33	30	12	13	33	
258	30	33	27	26	12	57	29	
259	31	33	27	26	12	48	29	
260	31	33	27	26	12	48	30	
261	31	33	27	27	39	48	29	
262	32	33	27	27	39	48	8	
263	10	6	6	19	12	13	8	
264	3	2	1	32	44	1	3	
265	2	3	34	1	45	60	37	
266	2	3	4	2	3	7	3	
267	3	15	1	2	4	32	2	
268	3	15	1	2	7	37	3	
269	3	20	4	1	4	38	2	
270	3	2	1	5	7	4	31	
271	3	2	1	5	7	4	36	
272	3	2	1	5	7	58	3	
273	3	2	4	1	4	10	2	
274	3	3	2	2	9	51	2	
275	3	3	4	2	30	52	1	
276	3	3	4	2	9	10	2	
277	3	3	4	8	46	8	2	
278	3	39	1	1	4	1	11	
279	3	40	2	8	9	8	1	
280	3	41	4	2	7	1	3	
281	38	2	4	2	1	7	4	
282	4	4	1	2	17	59	2	
283	4	4	5	2	17	61	2	
284	10	13	16	6	12	13	8	
285	3	2	1	17	7	36	3	
286	1	1	12	1	1	1	4	
287	3	2	1	1	4	32	11	
288	3	2	4	2	7	39	3	
289	4	4	1	20	17	6	2	
290	4	4	1	2	17	6	23	
291	3	2	4	2	7	1	38	
292	1	42	1	1	1	1	4	
293	3	2	1	22	7	33	3	
294	10	6	7	19	12	13	8	
295	3	3	2	2	9	22	2	
296	1	1	1	1	1	63	4	
297	38	2	4	1	1	7	4	
298	39	43	35	33	47	64	39	
299	40	43	35	34	48	66	40	
300	40	43	35	35	49	67	8	
301	40	45	37	34	50	65	39	
302	41	43	35	33	50	64	39	
303	41	43	35	34	48	64	39	
304	41	43	35	34	50	68	39	
305	41	43	35	36	50	64	39	
306	41	43	35	37	49	67	8	
307	41	43	35	38	50	64	39	
308	41	43	35	39	50	64	39	
309	41	43	36	37	49	67	8	
310	42	43	35	39	50	64	39	
311	43	44	35	34	50	64	39	
312	43	45	35	38	50	69	39	
313	3	2	4	1	4	62	2	
314	2	2	4	10	8	70	2	
315	32	13	28	30	39	48	29	
316	3	3	2	2	9	11	2	
317	3	3	4	2	9	17	2	
318	3	3	1	2	4	8	2	
319	3	3	2	8	9	6	2	
320	3	3	2	2	9	6	6	
321	44	3	2	8	9	6	6	
322	3	2	4	18	7	1	3	
323	2	3	4	2	3	7	1	
324	3	9	2	2	9	8	2	
325	3	10	4	2	7	1	3	
326	3	2	5	2	7	1	2	
327	1	1	38	1	1	1	4	
328	45	2	4	2	4	7	41	
329	3	3	4	1	11	3	42	
330	3	3	2	40	9	8	2	
331	4	4	39	2	17	6	2	
332	46	2	4	2	7	1	3	
333	3	47	2	2	9	8	2	
334	3	3	4	1	51	3	5	
335	4	46	5	2	17	6	2	
336	32	13	28	28	39	48	29	
337	32	13	6	27	39	48	33	
338	30	13	6	30	12	13	33	
339	30	13	6	41	12	56	33	
340	30	13	6	27	39	71	33	
341	35	37	31	31	42	54	32	
342	2	3	1	2	3	7	1	
343	3	3	2	2	9	8	6	
344	3	48	2	2	9	8	2	
345	4	4	1	2	52	6	2	
346	2	2	4	2	3	1	1	
347	3	4	1	2	7	4	3	
348	1	1	1	42	1	1	4	
349	3	2	4	43	7	1	3	
350	3	2	40	2	7	1	3	
351	50	4	5	44	17	6	2	
352	3	2	1	5	7	35	3	
353	3	3	2	45	4	8	2	
354	4	49	1	2	17	6	2	
355	47	2	4	2	7	1	3	
356	4	4	5	46	17	6	2	
357	3	2	4	2	7	4	3	
358	3	2	1	5	53	33	3	
359	4	4	41	2	17	72	2	
360	3	3	2	1	9	8	2	
361	1	1	1	1	1	73	4	
362	1	1	1	1	1	74	4	
363	3	2	1	8	17	6	2	
364	3	2	4	2	7	75	3	
365	3	3	1	2	9	4	2	
366	48	3	4	1	8	7	2	
367	4	50	1	2	17	6	2	
368	49	2	42	2	5	10	2	
369	3	3	4	1	11	1	2	
370	4	3	2	2	54	8	2	
371	4	4	5	2	17	76	2	
372	3	2	4	1	4	38	2	
373	3	2	4	2	7	3	3	
374	3	2	4	2	20	1	2	
375	3	3	2	2	17	6	2	
376	3	3	4	1	55	1	2	
377	2	2	4	1	5	10	2	
378	27	21	6	28	12	48	29	
379	30	13	27	6	12	48	29	
380	30	33	27	6	12	48	29	
381	30	33	27	27	12	48	29	
382	30	33	27	27	40	48	29	
383	30	34	16	26	39	48	8	
384	31	33	6	6	12	48	29	
385	31	33	28	6	39	48	30	
386	31	34	6	30	12	48	8	
387	31	34	6	30	39	13	8	
388	31	34	16	26	39	13	8	
389	31	34	16	26	39	48	8	
390	31	34	16	26	40	48	29	
391	31	34	28	6	39	48	29	
392	32	33	6	27	40	48	29	
393	35	37	31	29	42	13	32	
394	35	37	31	31	42	54	29	
