ST	clpA	clpX	nifS	pepX	pyrG	recG	rplB	uvrA	clonal_complex
94	45	30	32	36	32	38	30	36	
95	49	35	35	45	38	43	34	40	
96	49	35	35	45	38	43	35	40	
97	50	36	36	45	38	44	35	40	
98	49	35	35	46	38	43	35	40	
99	49	37	37	45	39	45	36	40	
100	50	38	36	45	38	44	35	40	
101	61	164	148	170	178	187	156	174	
102	50	39	36	45	38	44	35	40	
103	49	36	36	45	38	44	35	40	
104	68	165	149	171	179	188	157	175	
105	51	24	39	85	22	29	24	29	
106	35	24	23	49	44	27	23	28	
107	35	24	23	49	46	27	23	28	
108	36	41	23	49	43	27	23	28	
109	35	40	23	48	41	27	37	28	
110	35	40	23	49	42	27	23	28	
111	35	40	23	48	41	27	23	28	
112	53	41	23	49	44	27	23	41	
113	54	24	23	49	45	27	23	28	
114	55	24	23	49	44	27	23	28	
115	64	49	48	58	27	53	45	48	
116	71	166	150	172	180	189	158	176	
117	85	63	43	76	71	70	64	67	
118	86	64	62	77	72	57	65	68	
119	87	65	52	69	73	57	66	69	
120	88	43	42	52	48	47	39	43	
121	36	24	23	34	85	29	23	28	
122	60	45	64	54	50	46	41	45	
123	87	65	52	79	75	57	66	69	
124	90	67	65	80	76	72	68	71	
125	72	68	66	64	60	59	52	55	
126	108	46	67	60	55	54	42	72	
127	58	43	42	52	48	47	39	43	
128	56	42	41	51	47	46	38	42	
129	59	44	43	53	49	48	40	44	
130	57	42	41	51	47	46	38	42	
131	60	45	44	54	50	49	41	45	
132	42	27	29	38	40	36	27	33	
133	63	48	47	57	53	52	44	28	
134	65	50	49	59	54	54	46	49	
135	66	46	50	69	55	54	42	50	
136	74	173	147	47	51	186	48	27	
137	69	53	43	62	58	57	49	53	
138	70	54	53	63	59	58	50	54	
139	72	55	54	64	60	59	52	55	
140	73	47	55	56	52	60	43	47	
141	109	24	24	34	21	29	99	28	
142	78	59	59	68	64	67	57	62	
143	76	57	57	68	63	63	55	57	
144	36	150	23	85	57	27	23	28	
145	78	59	59	68	64	64	57	59	
146	38	24	25	32	90	50	24	28	
147	80	58	56	71	66	66	59	61	
148	101	52	94	27	18	118	74	27	
149	82	61	60	73	68	68	61	64	
150	76	57	57	67	63	63	55	57	
151	75	57	57	66	62	62	54	57	
152	83	61	59	74	69	63	62	65	
153	101	56	94	12	18	25	74	27	
154	67	51	51	61	56	55	47	51	
155	52	41	40	32	43	27	23	28	
156	91	69	68	81	77	73	69	73	
157	62	47	46	56	52	51	43	47	
158	93	71	70	83	79	74	71	75	
159	94	72	71	84	80	75	72	76	
160	92	70	69	82	78	74	70	74	
161	15	9	12	8	1	17	8	16	
162	15	9	12	8	1	83	8	16	
163	31	80	78	99	81	39	79	87	
164	35	24	24	32	21	27	23	28	
165	36	24	23	86	22	27	23	28	
166	36	24	23	31	92	27	23	29	
167	36	24	23	30	92	27	23	29	
168	36	24	23	31	85	27	23	29	
169	36	24	23	31	92	89	23	29	
170	37	24	24	31	22	92	23	28	
171	39	24	24	31	22	92	23	28	
172	40	25	26	36	33	34	25	31	
173	42	27	29	38	29	36	27	82	
174	42	27	29	97	29	36	27	33	
175	42	27	29	38	29	80	27	33	
176	42	27	29	38	29	36	27	79	
177	42	27	29	92	29	36	27	33	
178	42	27	29	38	81	36	27	33	
179	43	28	30	90	82	36	28	34	
180	43	28	30	90	87	36	28	34	
181	43	28	30	39	30	78	28	34	
182	43	28	30	39	88	87	28	34	
183	44	29	76	40	31	37	80	35	
184	44	29	31	40	31	37	80	35	
185	44	29	31	40	31	87	80	77	
186	46	76	73	43	34	40	31	37	
187	47	73	33	42	91	76	32	36	
188	47	32	33	42	91	86	32	36	
189	47	32	33	42	35	88	32	36	
190	48	34	34	44	27	42	33	39	
191	48	79	34	44	27	42	33	39	
192	50	36	36	45	38	44	35	88	
193	48	76	29	43	34	42	31	37	
194	101	60	147	169	18	186	154	171	
195	49	37	37	45	39	77	36	40	
196	49	35	77	45	38	43	35	40	
197	49	35	72	45	38	43	35	40	
198	50	35	35	45	38	43	35	40	
199	50	35	37	45	38	44	35	40	
200	50	36	37	45	38	93	35	40	
201	50	37	37	45	39	45	36	40	
202	50	39	74	45	38	44	35	40	
203	50	36	37	45	38	44	35	40	
204	109	24	23	89	22	27	23	28	
205	110	39	36	45	38	44	35	40	
206	110	39	36	45	38	81	35	40	
207	95	74	34	96	83	78	77	85	
208	95	29	34	91	89	78	77	85	
209	101	60	20	47	115	186	154	46	
210	96	37	37	45	39	77	36	40	
211	96	37	37	45	39	79	36	86	
212	96	75	36	98	84	44	78	86	
213	96	75	36	98	38	82	78	86	
214	99	77	36	91	88	84	75	33	
215	51	24	23	86	85	27	23	29	
216	51	24	23	28	85	27	23	29	
217	51	24	23	86	85	91	23	29	
218	101	21	20	27	86	85	74	81	
219	102	24	24	31	22	92	23	28	
220	109	24	24	85	90	91	24	29	
221	3	3	2	2	3	4	4	4	
222	5	5	4	5	1	15	1	6	
223	7	6	12	1	2	5	5	83	
224	8	1	1	1	4	5	1	7	
225	8	2	5	93	2	8	1	84	
226	8	1	15	94	2	20	1	7	
227	12	2	1	2	1	16	76	2	
228	12	2	1	2	1	16	2	2	
229	20	4	3	3	3	18	3	3	
230	23	78	17	20	2	1	1	10	
231	24	14	4	18	11	90	1	12	
232	25	3	3	3	3	21	6	2	
233	25	4	3	3	3	21	6	2	
234	104	1	1	2	2	15	4	10	
235	105	2	2	2	1	8	1	2	
236	106	12	1	1	2	6	1	2	
237	107	2	1	95	2	18	4	3	
238	10	5	75	6	1	15	1	6	
239	94	72	79	100	80	94	72	76	
240	36	81	80	32	20	95	81	29	
241	111	81	80	32	20	95	81	29	
242	38	24	25	33	93	29	24	28	
243	46	76	29	43	34	42	31	37	
244	48	34	34	44	37	42	33	39	
245	99	77	81	91	88	84	82	33	
246	112	80	78	99	81	39	79	87	
247	50	36	82	45	38	44	35	40	
248	110	35	37	45	38	44	35	40	
249	109	24	24	49	25	27	23	29	
250	113	24	23	32	26	96	23	41	
251	95	74	34	96	89	78	77	85	
252	47	73	33	42	94	97	32	36	
253	42	27	37	38	29	36	27	33	
254	36	24	24	31	22	27	23	29	
255	36	82	24	31	95	27	23	29	
256	37	24	24	101	22	29	23	28	
257	37	24	24	85	22	98	23	29	
258	109	24	23	85	96	27	23	28	
259	109	24	23	89	97	30	23	29	
260	114	24	24	85	22	91	24	29	
261	115	24	24	85	98	91	24	28	
262	116	34	34	44	37	42	33	39	
263	37	24	24	31	22	29	23	28	
264	51	24	23	86	92	27	23	28	
265	39	24	23	32	21	29	23	78	
266	4	4	3	3	4	3	3	3	
267	18	12	1	1	2	15	1	2	
268	8	1	15	94	2	20	96	7	
269	4	1	1	117	1	6	1	7	
270	118	70	83	103	100	100	84	90	
271	118	70	83	103	100	100	84	94	
272	117	69	68	102	99	99	83	89	
273	121	84	83	103	102	102	84	92	
274	92	70	69	105	78	103	84	93	
275	122	70	84	106	103	104	84	94	
276	92	70	69	105	78	74	84	93	
277	123	70	85	103	100	100	84	95	
278	124	85	86	107	104	105	85	96	
279	125	86	87	108	105	106	86	97	
280	126	87	87	109	106	107	87	97	
281	127	88	87	107	105	108	88	98	
282	119	83	88	81	101	101	89	73	
283	120	69	68	104	99	74	83	91	
284	14	1	11	1	1	11	1	10	
285	15	9	12	8	1	11	11	16	
286	36	24	23	32	96	29	23	28	
287	36	24	24	31	22	29	90	28	
288	36	24	89	31	22	29	23	28	
289	37	24	23	31	22	29	23	28	
290	77	58	38	50	61	56	51	52	
291	37	24	24	31	22	29	90	28	
292	37	24	24	31	22	29	23	99	
293	37	24	24	31	22	29	91	28	
294	37	24	24	31	22	109	23	28	
295	38	24	25	32	24	29	24	28	
296	42	27	29	113	110	36	42	33	
297	42	77	33	44	29	36	27	33	
298	43	27	30	38	108	36	28	34	
299	43	28	30	39	30	36	92	34	
300	8	1	1	14	2	16	1	10	
301	12	1	1	7	112	6	1	10	
302	5	5	4	114	1	15	1	6	
303	43	28	92	90	30	36	28	34	
304	45	33	78	36	81	38	93	38	
305	5	5	4	5	5	5	94	6	
306	5	5	4	5	5	6	1	6	
307	9	1	1	7	1	1	1	10	
308	4	91	1	1	1	6	1	7	
309	7	6	12	115	1	114	5	5	
310	46	30	91	112	111	111	30	36	
311	8	1	1	7	1	1	1	10	
312	46	74	90	110	109	54	29	35	
313	10	5	4	116	1	15	1	6	
314	14	1	11	1	113	1	1	10	
315	8	1	1	17	1	6	95	10	
316	10	1	4	6	1	6	1	6	
317	128	3	2	4	3	4	4	4	
318	21	1	15	8	1	1	4	7	
319	47	27	33	42	29	112	32	33	
320	47	27	33	42	91	111	32	36	
321	47	89	33	42	91	36	32	36	
322	80	58	56	55	65	56	53	52	
323	95	74	34	111	89	78	77	85	
324	95	74	91	96	89	111	77	85	
325	99	77	81	91	88	113	82	33	
326	109	24	25	86	24	110	23	29	
327	109	24	25	86	107	29	23	29	
328	60	45	44	54	50	46	41	45	
329	56	92	41	51	47	115	38	42	
330	56	42	41	51	47	116	38	42	
331	129	93	93	118	114	117	97	50	
332	14	1	11	119	1	1	1	10	
333	8	1	15	120	1	18	1	7	
334	131	82	24	32	92	27	23	28	
335	109	94	24	34	21	29	99	28	
336	133	95	94	27	115	118	100	102	
337	134	96	23	85	23	30	23	30	
338	114	24	24	31	116	92	23	28	
339	36	24	23	121	117	96	23	28	
340	35	24	24	34	118	27	23	28	
341	114	24	95	31	22	92	23	28	
342	36	82	96	86	119	29	23	28	
343	36	24	24	122	20	29	23	28	
344	135	82	23	31	92	29	23	28	
345	101	97	94	26	18	118	100	103	
346	136	97	97	123	18	118	101	27	
347	114	24	24	31	22	92	23	28	
348	36	24	23	31	20	28	23	29	
349	51	24	23	86	85	27	23	28	
350	36	24	23	89	22	30	23	28	
351	36	24	23	32	25	27	23	29	
352	51	24	24	86	85	27	23	28	
353	36	24	23	29	23	28	23	29	
354	35	23	22	32	20	27	23	28	
355	130	93	93	118	114	54	98	100	
356	132	10	10	10	120	9	7	101	
357	79	62	45	65	67	61	56	56	
358	77	58	38	50	70	56	51	52	
359	4	4	4	3	3	21	6	104	
360	81	66	59	70	74	62	58	58	
361	84	57	59	67	62	65	54	57	
362	56	99	41	51	47	119	38	42	
363	138	100	98	91	121	120	102	105	
364	40	25	26	36	122	34	25	49	
365	139	101	99	124	123	121	103	49	
366	66	113	100	125	124	121	104	43	
367	65	50	49	59	54	54	46	106	
368	140	114	101	36	125	122	105	107	
369	140	115	102	126	126	123	106	108	
370	141	102	100	127	27	124	107	109	
371	60	45	64	54	50	46	108	45	
372	142	116	103	128	127	125	109	49	
373	143	49	104	129	27	126	45	110	
374	144	103	43	130	128	127	110	42	
375	145	68	66	64	60	59	52	55	
376	144	103	43	130	128	127	110	111	
377	144	103	43	130	128	127	110	112	
378	60	45	44	54	50	49	41	113	
379	59	104	43	53	129	128	40	44	
380	70	54	53	63	130	58	50	114	
381	146	105	105	131	131	129	111	115	
382	147	54	106	132	132	57	112	116	
383	148	106	107	77	133	130	113	117	
384	149	118	108	133	134	131	106	118	
385	150	107	109	134	135	132	114	119	
386	153	108	110	135	76	72	115	71	
387	154	109	110	80	76	72	68	71	
388	151	110	111	136	136	133	116	120	
389	152	111	112	137	137	134	117	121	
390	3	119	2	2	3	4	4	4	
391	155	5	4	1	5	8	1	84	
392	156	6	12	1	6	5	5	5	
393	12	120	1	2	1	16	2	2	
394	157	2	1	95	2	18	118	3	
395	8	1	15	94	2	20	76	7	
396	158	1	1	1	1	6	1	122	
397	15	121	12	138	1	135	1	123	
398	159	122	113	139	138	136	4	124	
399	160	122	113	139	138	136	4	124	
400	8	1	1	8	1	18	1	125	
401	8	1	5	8	139	18	1	6	
402	104	1	8	1	1	6	4	126	
403	1	1	1	1	1	1	1	11	
404	5	5	1	8	1	5	6	127	
405	8	1	9	8	1	18	4	125	
406	8	1	9	8	1	18	4	128	
407	6	1	114	140	1	7	4	127	
408	6	1	114	140	1	7	4	11	
409	137	3	6	4	3	4	4	4	
410	4	4	3	3	3	21	6	104	
411	80	58	56	71	66	66	60	61	
412	3	1	15	94	2	20	96	10	
413	23	1	17	20	2	1	1	7	
414	161	8	10	10	9	137	7	129	
415	162	40	115	141	44	138	23	28	
416	35	41	23	49	43	27	119	28	
417	60	45	44	54	50	49	41	130	
418	163	123	116	49	44	139	120	131	
419	164	124	117	142	140	140	121	132	
420	165	125	118	143	142	142	123	133	
421	53	24	119	144	44	27	124	134	
422	36	126	23	49	43	27	23	28	
423	166	127	52	53	143	143	125	135	
424	35	24	23	48	44	27	23	137	
425	168	128	121	146	146	146	128	139	
426	169	129	122	147	147	147	129	132	
427	40	130	49	36	141	141	122	49	
428	167	131	120	145	144	144	126	136	
429	140	132	101	36	145	145	127	138	
430	170	133	123	148	148	148	130	140	
431	171	134	78	149	149	120	131	141	
432	36	24	23	141	150	30	23	142	
433	56	42	41	51	47	149	38	42	
434	172	135	23	32	151	150	23	142	
435	172	24	39	32	44	151	120	143	
436	60	45	44	54	152	46	41	45	
437	35	24	23	49	153	27	132	28	
438	172	135	23	32	154	152	23	142	
439	36	135	23	150	44	153	23	144	
440	72	136	66	64	60	59	52	55	
441	168	137	121	146	155	146	128	146	
442	36	135	23	32	44	154	23	145	
443	36	24	23	32	44	155	23	142	
444	172	135	23	32	44	151	23	142	
445	173	138	124	151	156	156	133	147	
446	36	135	23	32	44	155	23	29	
447	174	139	125	152	157	157	134	148	
448	175	140	126	153	158	158	135	149	
449	176	141	127	154	159	159	136	150	
450	177	142	128	155	160	160	137	151	
451	177	142	129	155	160	161	137	151	
452	177	142	129	155	160	160	137	151	
453	178	124	117	142	140	140	121	132	
454	179	143	130	156	161	162	138	152	
455	180	144	131	157	162	163	139	153	
456	29	19	18	23	14	24	15	22	
457	120	69	156	179	190	74	83	73	
458	36	24	23	31	20	28	23	30	
459	36	24	23	31	85	28	23	29	
460	36	24	23	31	23	164	23	28	
461	37	24	24	32	22	29	23	28	
462	109	24	24	86	107	96	23	29	
463	38	24	25	32	90	29	24	28	
464	109	24	24	86	107	29	23	28	
465	109	24	23	89	96	27	23	29	
466	36	24	24	85	96	91	24	29	
467	109	24	23	89	96	27	23	28	
468	181	24	25	32	90	29	24	28	
469	36	24	23	35	26	96	23	29	
470	36	24	24	32	85	27	23	30	
471	36	24	132	32	118	30	23	28	
472	37	24	24	31	22	27	23	28	
473	109	145	23	31	107	30	23	29	
474	38	24	25	32	163	29	24	28	
475	114	24	24	31	22	166	23	28	
476	109	24	24	85	22	91	24	29	
477	35	23	22	32	20	165	23	28	
478	36	24	23	32	20	28	23	29	
479	39	24	24	31	22	29	23	29	
480	36	24	24	31	85	27	23	30	
481	109	24	23	85	22	29	23	29	
482	95	74	34	96	89	78	77	154	
483	36	24	96	31	119	29	23	28	
484	36	24	96	31	22	30	23	28	
485	46	30	33	42	29	88	79	36	
486	47	30	33	42	111	88	79	36	
487	46	30	33	38	32	76	32	36	
488	46	30	29	38	32	76	32	36	
489	37	24	23	35	96	30	99	142	
490	51	82	23	86	85	27	28	29	
491	51	82	23	86	85	27	29	29	
492	172	24	23	85	85	27	29	29	
493	89	90	58	72	181	69	63	60	
494	45	30	32	96	29	38	30	36	
495	14	8	14	10	10	137	9	129	
496	36	24	23	35	26	33	23	28	
497	36	24	23	32	22	33	23	28	
498	46	30	29	96	32	76	79	33	
499	95	74	34	96	32	88	79	85	
500	36	82	23	32	119	27	23	28	
501	36	82	23	87	22	27	23	28	
502	109	24	23	35	22	98	23	29	
503	109	24	23	85	22	98	23	29	
504	36	24	24	87	22	29	29	30	
505	36	24	23	31	22	29	29	30	
506	36	24	23	31	20	29	29	30	
507	36	24	23	32	20	29	29	28	
508	36	24	96	32	92	33	29	28	
509	37	135	24	87	22	29	23	28	
510	46	74	29	38	35	40	32	33	
511	95	74	34	96	34	76	79	85	
512	36	24	23	35	85	29	28	29	
513	51	24	23	86	85	30	99	142	
514	51	82	23	86	119	29	28	29	
515	95	74	34	96	32	76	79	85	
516	46	30	29	96	32	76	32	33	
517	96	76	36	98	84	44	78	86	
518	50	76	36	98	38	44	78	86	
519	1	1	4	6	1	6	1	1	
520	104	1	1	20	2	21	1	2	
521	6	1	15	11	2	20	1	7	
522	8	5	1	6	1	167	1	10	
523	8	1	1	20	1	6	1	10	
524	182	3	17	20	2	4	2	10	
525	12	1	1	13	1	15	1	10	
526	3	3	16	2	3	4	4	10	
527	3	3	2	2	5	4	4	4	
528	18	2	1	2	1	16	4	2	
529	3	1	16	4	1	4	4	4	
530	14	1	5	2	2	1	1	10	
531	4	4	16	14	2	4	6	10	
532	128	1	1	8	1	6	1	10	
533	3	3	1	3	5	4	4	4	
534	137	3	16	4	3	4	4	4	
535	9	1	1	6	1	4	1	7	
536	2	1	1	1	1	7	2	7	
537	6	5	4	6	1	6	1	6	
538	5	1	1	94	1	6	1	7	
539	114	24	23	89	96	27	23	28	
540	35	24	24	30	21	27	23	41	
541	109	94	23	34	24	29	99	28	
542	36	24	24	32	20	29	23	155	
543	36	24	25	31	116	27	23	156	
544	183	24	23	34	21	29	140	28	
545	14	1	11	1	164	1	1	10	
546	14	1	11	1	1	1	1	157	
547	109	94	24	34	21	29	141	28	
548	36	24	24	30	118	28	23	28	
549	114	24	24	30	22	92	23	28	
550	36	24	25	31	116	27	23	28	
551	184	146	133	158	165	168	142	158	
552	39	24	22	35	96	27	23	156	
553	36	24	23	87	92	27	23	29	
554	109	24	23	31	23	30	23	30	
555	36	24	23	86	166	29	24	29	
556	109	24	23	85	22	91	23	29	
557	109	94	23	34	21	29	99	28	
558	51	24	23	86	96	27	23	28	
559	36	24	23	86	20	27	22	28	
560	36	94	23	34	21	29	99	28	
561	36	24	23	89	96	27	23	28	
562	36	24	23	29	20	30	23	29	
563	109	24	24	85	90	91	24	30	
564	39	24	24	31	98	29	23	29	
565	114	24	24	31	22	169	143	28	
566	39	24	24	31	22	29	140	29	
567	36	24	24	31	20	92	23	159	
568	36	24	24	85	20	28	23	29	
569	39	24	24	31	22	110	23	29	
570	37	24	24	31	98	92	23	28	
571	131	82	24	88	92	27	23	28	
572	36	24	25	31	116	29	23	28	
573	40	25	26	159	27	34	25	31	
574	42	27	29	38	29	36	27	160	
575	185	147	134	160	34	170	144	161	
576	186	34	34	44	37	42	33	39	
577	187	27	29	38	29	36	27	33	
578	112	80	78	96	81	39	145	33	
579	109	24	24	86	117	96	23	29	
580	188	148	94	123	18	171	101	27	
581	36	24	23	32	21	92	140	28	
582	109	94	23	32	21	29	99	28	
583	36	24	23	49	25	32	23	29	
584	114	24	24	31	22	169	23	28	
585	35	23	22	32	20	52	23	28	
586	189	149	135	161	167	25	21	162	
587	36	150	24	35	117	172	23	28	
588	15	9	12	8	168	11	8	16	
589	14	1	11	162	1	1	1	10	
590	14	151	11	1	1	11	1	10	
591	14	1	11	1	169	1	1	157	
592	14	1	136	1	1	1	1	10	
593	190	24	23	141	151	29	23	29	
594	60	45	44	54	50	173	41	45	
595	51	42	23	86	44	30	23	28	
596	70	54	53	63	130	58	50	54	
597	58	152	42	52	48	174	39	43	
598	60	153	43	54	50	46	41	163	
599	36	24	23	32	96	175	23	30	
600	142	116	49	128	127	125	109	49	
601	142	116	137	128	127	125	109	49	
602	142	116	42	128	127	125	109	49	
603	172	154	39	32	44	151	23	143	
604	36	155	23	32	44	154	23	142	
605	142	116	138	128	127	125	109	49	
606	36	135	23	32	151	150	23	29	
607	36	135	39	85	44	155	23	143	
608	36	135	23	32	44	154	23	142	
609	36	24	23	141	150	30	23	28	
610	70	54	53	63	130	176	50	54	
611	191	156	139	163	170	177	146	170	
612	112	80	140	96	149	178	147	87	
613	192	80	78	164	171	179	148	33	
614	193	76	34	165	172	180	149	164	
615	194	157	140	163	173	54	150	165	
616	195	158	142	149	108	181	151	166	
617	112	159	143	166	108	182	42	167	
618	196	160	144	91	149	183	152	168	
619	197	161	145	167	174	184	43	169	
620	197	161	145	167	174	184	38	169	
621	197	161	145	167	174	184	153	169	
622	69	162	43	168	58	57	49	53	
623	196	80	144	91	149	120	152	87	
624	172	155	23	32	44	185	23	142	
625	198	40	23	48	175	138	23	28	
626	36	24	23	32	45	155	23	143	
627	36	41	146	49	43	27	23	142	
628	101	22	20	123	176	118	155	172	
629	101	163	147	169	18	186	154	171	
630	189	22	94	161	18	118	74	173	
631	101	21	20	27	177	25	100	27	
632	100	98	61	75	182	71	67	56	
633	199	112	63	78	183	190	159	63	
634	200	117	151	173	184	191	160	70	
635	201	167	152	174	185	192	161	66	
636	202	168	153	175	186	193	162	177	
637	76	57	57	67	62	62	54	57	
638	12	1	1	7	112	21	1	10	
639	8	1	1	1	4	1	1	7	
640	12	1	1	7	112	1	1	10	
641	155	5	4	1	5	197	1	12	
642	9	1	1	7	1	2	1	10	
643	3	3	2	4	3	4	1	4	
644	21	1	15	7	1	18	4	10	
645	1	1	1	1	1	6	1	7	
646	36	135	23	180	191	153	23	143	
647	205	135	23	181	44	155	23	142	
648	206	174	23	182	44	153	23	143	
649	35	24	23	49	44	32	23	28	
650	36	135	157	32	44	155	23	143	
651	51	24	23	86	96	29	23	28	
652	36	135	39	32	44	154	23	142	
653	36	135	23	32	44	155	165	29	
654	36	135	23	141	44	151	23	142	
655	36	24	23	183	44	198	23	41	
656	36	135	157	32	44	155	23	29	
657	53	24	23	144	44	27	23	28	
658	36	24	23	86	96	154	23	142	
659	51	24	23	86	96	29	23	142	
660	207	175	158	184	192	199	166	182	
661	208	64	159	77	72	130	167	183	
662	72	68	66	64	60	59	52	184	
663	209	176	108	185	193	200	168	185	
664	149	118	108	133	194	131	106	186	
665	210	177	160	160	34	201	169	187	
666	211	178	78	96	81	202	106	87	
667	117	69	68	102	195	203	83	73	
668	212	179	161	186	196	204	170	188	
669	213	164	162	187	197	205	156	189	
670	214	180	163	188	198	206	171	190	
671	215	181	164	189	199	207	172	191	
672	216	164	165	190	200	208	173	192	
673	217	1	11	1	1	1	1	10	
674	218	182	166	191	201	209	174	193	
675	218	182	166	191	202	209	174	193	
676	36	24	25	31	96	92	23	28	
677	23	24	25	31	96	28	23	92	
678	36	24	25	31	96	30	23	92	
679	51	24	96	31	22	172	23	28	
680	221	184	168	193	183	211	159	195	
681	219	183	167	192	203	210	175	194	
682	220	185	167	192	203	210	176	194	
683	222	187	170	195	205	213	178	197	
684	223	34	34	44	37	42	33	39	
685	224	188	171	196	206	214	179	199	
686	225	147	134	160	34	170	144	161	
687	226	28	34	198	207	215	180	200	
688	227	189	172	199	207	215	180	200	
689	226	189	172	199	207	215	180	200	
690	228	190	173	200	208	216	181	201	
691	48	147	34	44	37	42	33	39	
692	228	74	34	201	209	217	182	36	
693	226	28	34	198	207	215	180	201	
694	116	34	34	44	37	218	33	39	
695	109	24	23	85	23	30	23	30	
696	109	24	23	32	25	27	23	29	
697	39	24	23	32	117	29	23	156	
698	109	24	23	32	25	32	23	29	
699	36	24	24	30	21	27	23	41	
700	35	24	24	35	21	27	23	28	
701	109	24	23	89	166	27	23	29	
702	39	24	23	32	117	27	23	156	
703	109	24	24	85	119	91	24	29	
704	36	24	24	122	25	27	23	28	
705	109	24	23	32	96	27	23	28	
706	35	24	24	30	21	29	23	41	
707	36	24	24	31	22	92	23	28	
708	36	24	23	85	23	30	23	30	
709	172	24	23	86	85	27	23	28	
710	36	24	23	32	20	27	183	28	
711	37	24	24	31	22	219	23	28	
712	36	24	23	202	20	27	183	28	
713	37	24	24	31	85	29	23	203	
714	229	24	24	31	22	27	23	28	
715	109	24	25	86	107	96	184	29	
716	36	23	23	203	26	96	23	156	
717	36	24	24	32	21	31	140	202	
718	37	24	24	31	22	220	23	28	
719	230	191	174	204	210	221	185	204	
720	231	192	175	205	211	222	186	205	
721	231	192	175	205	211	223	186	205	
722	232	192	175	205	211	222	186	205	
723	231	193	175	205	211	222	186	206	
724	233	194	176	206	212	224	187	207	
725	234	195	177	207	213	225	188	208	
726	230	196	178	208	214	226	189	209	
727	235	197	179	207	215	227	190	210	
728	236	198	180	209	216	228	191	208	
729	237	199	181	210	217	229	192	211	
730	238	200	182	204	218	226	193	212	
731	51	24	24	31	90	27	23	30	
732	39	24	23	211	26	33	23	29	
