ST	atpA	dnaE	dnaK	fusA	leuA	odhA	rpoB	clonal_complex
419	1	2	9	57	3	3	2	
420	19	1	95	2	3	16	6	
421	2	26	4	4	62	3	2	
422	2	2	38	58	3	3	22	
423	2	1	61	4	5	5	2	
424	2	9	4	59	3	3	2	
425	25	1	6	19	3	16	6	
426	3	4	11	2	3	3	2	
427	3	2	73	4	4	22	4	
428	41	36	82	49	54	50	42	
429	2	8	32	19	11	17	18	
430	2	8	4	1	3	3	6	
431	2	1	60	4	3	3	18	
432	4	11	13	7	3	56	27	
433	13	4	8	44	3	3	13	
434	2	1	20	4	3	3	9	
435	2	8	54	13	3	3	4	
436	3	46	4	1	5	3	2	
437	3	5	6	5	3	25	6	
438	3	8	6	5	3	3	6	
439	3	46	3	6	30	3	2	
440	3	9	3	7	3	3	2	
441	3	1	4	19	13	3	48	
442	3	1	6	19	13	3	36	
443	3	1	20	19	37	3	35	
444	3	8	4	19	13	3	48	
445	3	2	60	30	3	3	2	
446	4	2	4	1	3	3	2	
447	4	46	4	1	3	3	2	
448	4	2	8	2	18	3	2	
449	6	7	10	8	9	13	11	
450	28	2	60	1	3	3	2	
451	3	1	45	1	12	3	9	
452	2	4	70	6	7	16	9	
453	22	3	94	2	3	3	3	
454	3	46	3	3	30	3	2	
455	3	2	4	19	3	16	9	
456	25	1	97	19	3	3	6	
457	8	3	8	2	7	3	3	
458	2	2	90	4	18	53	2	
459	3	4	9	1	3	5	13	
460	3	4	8	1	3	5	13	
461	49	4	8	1	3	5	13	
462	3	4	98	11	3	3	9	
463	4	1	33	28	11	2	3	
464	2	2	9	25	3	3	49	
465	3	4	98	11	3	3	3	
466	2	3	3	1	2	3	13	
467	4	12	87	1	44	3	2	
468	3	2	4	19	59	3	13	
469	4	10	3	1	7	3	13	
470	3	2	99	1	20	3	13	
471	8	2	94	1	3	3	2	
472	2	3	38	1	63	3	27	
473	4	46	4	1	5	3	2	
474	2	2	60	2	3	3	2	
475	3	31	4	1	3	3	2	
476	1	1	4	7	64	3	9	
477	1	48	4	7	3	57	9	
478	9	49	17	4	3	24	4	
479	2	2	96	1	3	3	32	
480	3	50	45	1	65	3	9	
481	2	1	6	1	3	40	14	
482	52	7	10	12	66	7	11	
483	6	52	21	12	9	12	10	
484	4	11	4	19	67	29	9	
485	51	4	4	2	3	3	2	
486	2	51	9	60	8	3	2	
487	2	4	101	7	3	3	32	
488	2	4	100	1	3	3	2	
489	6	7	10	8	9	58	10	
490	2	1	55	25	55	3	2	
491	6	7	21	12	9	13	11	
492	6	7	10	8	35	7	10	
493	28	2	54	30	3	3	3	
494	3	8	94	4	3	4	2	
495	19	11	4	19	3	29	9	
496	4	2	4	19	3	16	2	
497	8	8	3	1	7	3	2	
498	3	4	8	1	18	3	9	
499	19	1	9	1	3	3	13	
500	3	1	94	1	3	3	2	
501	6	7	21	61	9	7	10	
502	30	10	102	4	3	3	35	
503	4	1	102	4	5	5	35	
504	2	1	103	4	5	5	2	
505	22	4	60	62	3	1	4	
506	3	53	32	19	3	4	4	
507	3	1	12	1	68	3	31	
508	2	1	32	19	13	3	50	
509	2	1	20	19	69	3	14	
510	3	3	92	2	3	3	51	
511	4	2	104	30	3	51	2	
512	22	54	104	16	3	2	2	
513	4	4	105	1	3	3	2	
514	41	41	79	49	58	45	39	
515	2	2	90	4	3	53	2	
516	2	1	33	28	11	2	22	
517	13	16	35	44	29	3	28	
518	6	7	21	37	9	12	11	
519	2	2	3	2	3	3	5	
520	3	5	5	2	3	23	20	
521	4	55	5	19	5	59	2	
522	1	1	32	1	70	5	30	
523	6	7	10	63	9	60	10	
524	13	29	108	64	60	1	23	
525	6	7	10	63	9	12	10	
526	28	9	4	64	3	3	2	
527	4	2	109	65	3	51	2	
528	3	1	110	19	20	61	16	
529	25	56	33	19	13	3	6	
530	5	2	70	19	33	3	53	
531	2	12	54	13	3	62	4	
532	2	1	111	1	5	40	2	
533	33	57	112	44	3	1	13	
534	9	1	13	4	3	3	4	
535	3	4	70	1	3	5	13	
536	2	2	2	3	11	64	4	
537	37	25	91	54	61	21	17	
538	37	25	113	66	72	35	17	
539	8	43	69	4	13	3	22	
540	2	43	87	4	2	3	6	
541	2	3	3	1	59	3	13	
542	3	1	4	19	5	3	9	
