ST	ICL1	MDR1	SAPT2	SAPT4	XYR1	ZWF1a	clonal_complex
183	1	20	12	17	68	3	-
184	1	4	12	23	36	9	-
185	1	62	2	23	5	1	-
186	1	63	2	30	69	2	-
187	1	63	2	30	69	25	-
188	1	33	2	30	69	25	-
189	9	45	3	36	24	1	-
190	1	64	1	37	27	7	-
191	9	54	2	10	70	9	-
192	1	59	1	10	3	1	-
193	1	17	25	3	71	1	-
194	1	65	3	10	2	7	-
195	1	9	1	10	6	7	-
196	1	9	3	7	18	3	-
197	1	4	1	38	72	1	-
198	1	7	3	39	73	10	-
199	23	20	1	40	74	7	-
200	3	65	1	6	52	4	-
201	3	7	4	6	75	10	-
202	10	7	4	6	22	4	-
203	3	7	4	6	52	4	
204	5	7	3	23	3	4	
205	1	46	12	30	57	1	
206	24	71	3	10	24	3	
207	24	71	3	10	61	3	
208	25	72	3	7	81	26	
209	9	73	3	7	27	27	
210	1	74	26	7	82	1	
211	1	3	12	10	2	9	
212	1	75	12	10	2	9	
213	10	32	3	3	83	3	
214	26	76	3	42	4	27	
215	26	76	3	42	50	27	
216	26	77	3	42	4	27	
217	5	78	3	42	3	27	
218	3	76	3	43	1	9	
219	3	79	1	42	50	9	
220	3	7	4	44	52	4	
221	3	7	4	6	52	7	
222	10	7	3	6	84	4	
223	10	7	3	6	52	4	
224	10	7	3	45	52	4	
225	9	7	12	46	48	22	
226	1	80	27	10	44	9	
227	5	54	1	47	48	22	
228	1	32	3	10	85	3	
229	1	81	3	17	57	3	
230	1	4	12	10	3	9	
231	27	9	1	43	23	7	
232	1	24	3	7	24	6	
233	1	24	3	7	24	7	
234	1	7	4	11	4	3	
235	1	7	4	11	51	3	
236	1	7	4	11	50	3	
237	1	7	1	6	52	4	
238	1	7	4	6	52	4	
239	1	24	3	7	53	6	
240	1	24	3	7	47	6	
241	1	7	4	11	19	3	
242	1	17	3	7	1	3	
243	1	7	1	6	84	4	
244	1	7	4	6	67	6	
245	3	7	4	6	84	4	
246	10	58	4	8	31	3	
247	10	58	4	8	3	3	
248	1	7	4	6	84	4	
249	1	29	4	1	51	1	
250	1	82	3	7	24	6	
251	1	7	4	11	76	3	
252	1	66	3	7	9	7	
253	1	83	1	11	2	3	
254	3	4	4	7	77	7	
255	3	1	4	11	19	1	
256	1	1	18	1	31	1	
257	1	9	3	23	36	9	
258	28	84	28	7	86	28	
259	30	85	30	7	88	29	
260	3	86	12	11	73	3	
261	1	87	3	7	89	6	
262	1	24	3	7	90	6	
263	1	7	4	11	76	7	
264	3	4	4	17	77	4	
265	3	58	4	13	76	1	
266	1	49	18	1	31	1	
267	29	48	29	48	87	30	
268	3	39	3	7	90	7	
269	1	3	3	17	16	7	
270	1	7	22	7	31	9	
271	1	7	22	17	85	31	
272	3	7	3	33	2	7	
273	1	7	4	17	91	7	
274	1	7	3	17	63	7	
275	1	1	18	1	50	1	
276	1	4	22	23	85	9	
277	1	4	22	23	85	1	
278	1	7	4	17	85	7	
279	1	9	4	3	2	7	
280	1	22	22	17	2	7	
281	1	88	22	3	85	1	
282	1	61	4	11	4	7	
283	1	9	3	17	2	22	
284	1	7	12	41	2	7	
285	1	22	4	19	50	7	
286	10	7	3	33	2	7	
287	1	44	12	7	31	22	
288	1	61	3	14	2	7	
289	31	17	4	43	4	32	
290	9	89	4	23	92	2	
291	1	1	18	36	50	1	
292	10	7	3	38	85	22	
293	1	44	12	49	31	2	
294	1	44	12	7	48	7	
295	10	7	3	33	85	22	
296	1	7	4	17	89	7	
297	1	3	3	7	16	3	
298	3	27	3	7	77	7	
299	1	16	4	11	9	1	
300	1	22	3	7	2	7	
301	1	7	4	17	50	7	
302	10	7	4	6	2	10	
303	1	49	4	3	2	7	
304	26	44	4	23	16	1	
305	1	9	22	24	85	9	
306	1	7	3	40	16	3	
307	26	2	4	23	62	2	
308	1	9	4	3	50	7	
309	1	4	22	23	85	2	
310	10	4	4	41	77	4	
311	1	1	4	1	50	1	
312	3	7	3	33	2	22	
313	1	7	4	17	53	7	
314	32	88	22	3	85	9	
315	1	9	4	19	50	7	
316	1	9	12	17	2	2	
317	1	1	4	9	50	1	
318	3	4	4	41	77	4	
319	10	7	3	33	2	22	
320	1	1	3	19	2	7	
321	1	4	12	23	43	9	
322	1	7	12	50	9	3	
323	1	90	3	50	24	3	
324	9	90	3	50	12	3	
325	1	4	12	23	3	9	
326	31	1	1	34	5	21	
327	1	4	12	23	36	1	
328	33	91	29	51	93	33	
329	9	90	3	50	24	3	
330	1	44	12	7	48	22	
331	1	22	12	17	60	22	
332	1	1	1	10	9	3	
333	1	44	12	7	94	22	
334	9	7	3	3	1	9	
335	9	7	3	3	9	1	
336	1	9	12	17	2	22	
337	1	44	1	7	38	3	
338	1	9	12	17	2	3	
339	1	54	3	3	95	3	
340	1	57	31	10	8	7	
341	3	4	1	41	77	7	
342	1	92	1	11	9	3	
343	5	16	3	7	48	21	
344	1	17	2	14	1	3	
345	17	93	29	3	93	30	
346	3	4	1	41	77	4	
347	1	4	1	7	48	1	
348	1	89	1	7	48	9	
349	1	90	3	7	96	3	
350	1	3	1	7	48	1	
351	1	9	1	3	97	7	
352	1	61	1	11	4	3	
353	1	9	12	7	98	3	
354	3	1	4	34	1	21	
355	1	9	1	3	34	7	
356	1	90	1	10	1	7	
357	1	3	3	17	99	3	
358	1	3	12	7	2	9	
359	1	17	2	14	100	3	
360	1	18	12	17	68	3	
361	1	20	12	17	68	1	
362	1	22	4	3	4	3	
363	1	34	2	8	23	2	
364	1	94	3	7	101	3	
365	1	94	3	7	102	3	
366	1	94	3	21	101	3	
367	1	94	32	7	101	3	
368	1	95	4	4	50	1	
369	1	96	33	7	103	34	
370	1	97	3	7	1	3	
371	3	7	12	52	1	1	
372	5	3	3	7	48	4	
373	5	57	3	10	31	7	
374	5	61	3	11	68	3	
375	9	7	12	52	3	22	
376	9	7	12	52	48	22	
377	34	7	1	6	52	4	
378	35	96	34	7	103	34	
379	1	44	12	7	94	35	
380	1	22	1	53	24	7	
381	5	61	3	11	68	36	
382	1	32	3	14	57	1	
383	1	3	3	17	9	1	
384	3	7	1	6	52	10	
385	1	7	12	3	104	3	
386	1	4	22	54	36	9	
387	1	60	22	19	102	7	
388	1	3	3	17	9	23	
389	1	98	3	17	54	3	
