ST	als	atpA	tuf	gapC	gyrB	rpoC	galP
80	4	4	14	3	20	35	4
81	9	6	3	20	7	8	8
82	9	15	3	11	40	9	21
83	9	33	3	11	41	25	21
84	11	6	20	2	7	11	39
85	12	34	6	7	10	13	12
86	34	24	27	15	42	27	29
87	38	10	14	21	30	36	40
88	38	35	14	9	43	37	41
89	49	35	5	3	20	38	4
90	50	4	5	3	29	4	4
91	50	4	14	3	29	35	42
92	50	25	14	3	29	4	42
93	50	36	14	22	44	33	43
94	51	37	9	23	12	39	6
95	52	38	6	24	45	40	44
96	53	37	9	23	46	39	16
97	54	6	20	2	47	8	8
98	54	6	20	20	47	8	8
99	55	39	35	2	7	41	45
100	55	39	35	25	7	41	45
101	56	40	36	1	48	42	46
102	57	6	37	11	7	24	6
103	58	41	16	26	49	43	47
104	59	7	38	27	50	44	21
105	60	8	6	7	10	45	48
106	61	14	14	3	51	4	49
107	62	14	14	3	52	4	4
108	62	26	18	3	31	4	32
109	63	42	39	28	53	46	50
110	64	6	40	2	7	47	51
111	65	7	41	11	54	48	52
112	66	43	14	9	20	49	26
113	67	4	5	3	4	4	4
114	26	44	22	9	20	22	25
115	38	10	14	16	30	28	53
116	68	22	6	2	55	20	27
117	69	45	42	2	56	18	54
118	1	1	6	2	1	1	36
119	2	2	2	29	5	2	55
120	70	46	6	2	57	51	56
121	71	47	43	30	58	52	57
122	3	3	4	2	59	3	3
123	72	48	4	31	60	53	58
124	73	49	44	2	61	54	59
125	9	7	3	4	18	9	60
126	28	20	7	2	7	55	6
127	9	7	3	4	62	9	9
128	9	7	3	4	18	9	61
129	72	20	7	2	63	56	6
130	74	50	40	2	64	57	16
131	75	51	7	2	7	57	6
132	76	52	7	2	12	58	62
133	17	12	20	2	7	9	63
134	77	6	13	32	50	11	64
135	9	7	3	33	18	9	9
136	28	53	45	34	12	25	65
137	78	6	20	20	47	8	8
138	45	54	8	2	65	7	65
139	79	8	6	7	10	13	12
140	80	10	47	22	67	33	66
141	81	10	48	22	67	33	67
142	9	12	3	2	7	9	16
143	32	48	4	31	66	53	58
144	82	55	6	2	68	59	68
145	17	6	20	2	47	8	8
146	11	6	10	36	69	11	8
147	83	56	1	2	70	60	69
148	66	35	14	9	20	49	26
149	84	7	32	11	12	8	8
150	85	57	49	3	52	4	70
151	86	4	14	3	29	35	42
152	9	7	3	2	37	9	9
153	96	63	53	2	65	64	6
154	9	7	3	4	74	9	9
155	17	64	3	2	7	9	16
156	9	7	3	38	18	9	9
157	34	24	27	39	42	27	29
158	97	66	58	2	5	27	27
159	98	4	59	3	29	35	79
160	9	7	1	4	18	9	9
161	38	68	14	21	30	36	40
162	55	7	35	2	75	41	80
163	99	37	8	40	7	39	65
164	88	22	46	25	71	20	71
165	34	59	27	15	28	19	72
166	92	4	50	3	20	4	73
167	93	61	51	15	72	61	74
168	22	62	18	3	20	4	78
169	21	13	1	2	73	16	75
170	94	3	52	2	73	62	76
171	95	69	6	2	5	63	77
172	94	6	7	2	7	11	82
173	34	59	27	15	28	19	29
174	100	4	18	3	20	4	79
175	61	6	7	35	7	11	8
176	87	24	27	15	28	27	29
177	89	20	26	2	24	25	6
178	90	35	14	9	20	38	81
179	91	60	14	9	20	33	81
180	12	8	54	7	27	13	12
181	32	21	7	2	7	11	6
