ST	aspA	glnA	gltA	glyA	pgm	tkt	uncA	clonal_complex
58	19	24	23	20	26	16	15	
59	18	22	22	18	25	17	16	
60	1	4	2	16	6	3	17	ST-61 complex
61	1	4	2	2	6	3	17	ST-61 complex
62	20	26	24	21	27	19	18	
63	9	17	2	10	22	3	6	ST-52 complex
64	1	6	15	24	12	28	1	ST-508 complex
65	2	15	4	6	17	12	19	ST-433 complex
66	2	4	5	2	7	1	5	ST-48 complex
67	2	1	12	3	2	25	5	ST-21 complex
68	4	7	10	4	32	7	6	ST-45 complex
69	2	1	27	3	33	1	5	ST-21 complex
70	9	25	2	10	95	3	6	ST-52 complex
71	22	15	4	64	17	1	35	
72	1	4	2	2	29	3	20	ST-61 complex
73	21	2	9	5	30	23	21	
74	17	1	4	5	6	2	4	ST-177 complex
75	2	1	1	3	20	1	5	ST-21 complex
76	2	1	1	3	20	20	5	ST-21 complex
77	4	7	10	4	31	1	1	ST-45 complex
78	1	3	6	4	9	3	3	ST-22 complex
79	2	4	1	2	7	7	5	ST-48 complex
80	1	6	7	2	8	6	3	ST-179 complex
81	2	4	2	2	6	3	17	ST-61 complex
82	7	1	2	2	4	3	6	ST-353 complex
83	10	27	43	7	6	18	7	
84	24	2	2	15	23	75	12	ST-443 complex
85	57	71	53	62	1	67	6	
86	2	1	12	2	2	1	5	ST-21 complex
87	6	4	12	3	2	1	5	ST-21 complex
88	4	7	10	4	36	28	1	ST-45 complex
89	4	7	10	55	42	51	1	ST-45 complex
90	2	1	1	3	2	27	5	ST-21 complex
91	23	4	1	2	6	3	5	ST-61 complex
92	2	15	28	26	38	29	23	
93	1	4	2	2	6	3	6	ST-61 complex
94	4	7	10	1	1	1	1	ST-45 complex
95	2	4	1	2	7	1	6	ST-48 complex
96	2	4	5	2	2	30	5	ST-206 complex
97	4	7	10	4	1	1	1	ST-45 complex
98	2	32	1	2	7	1	5	ST-48 complex
99	1	6	7	2	7	32	3	ST-179 complex
100	2	7	9	4	1	30	1	ST-45 complex
101	10	31	7	2	39	31	3	
102	2	1	1	3	41	1	3	ST-21 complex
103	1	4	2	3	6	3	19	ST-61 complex
104	2	1	1	3	7	1	5	ST-21 complex
105	7	1	1	3	42	1	5	ST-21 complex
106	2	29	4	27	10	3	5	
107	4	1	1	3	4	1	5	ST-21 complex
108	23	20	1	3	2	1	5	ST-21 complex
109	2	7	10	4	1	7	5	ST-45 complex
110	2	1	1	3	10	1	5	ST-21 complex
111	2	22	21	3	2	34	5	ST-21 complex
112	2	1	6	3	2	1	24	ST-21 complex
113	24	30	2	2	11	3	6	ST-460 complex
114	2	1	1	27	2	1	5	ST-21 complex
115	27	33	22	31	43	9	1	ST-1275 complex
116	26	7	10	5	1	7	21	ST-45 complex
117	1	6	29	29	40	32	3	ST-179 complex
118	4	1	12	2	2	1	1	
119	8	1	21	3	2	1	5	ST-21 complex
120	2	4	2	2	2	1	25	ST-48 complex
121	1	4	2	4	3	1	6	ST-658 complex
122	6	4	5	2	2	1	5	ST-206 complex
123	2	6	8	5	8	25	1	
124	2	1	1	3	2	1	27	ST-21 complex
125	2	21	5	37	2	1	7	ST-206 complex
126	31	59	4	38	17	12	35	ST-433 complex
127	30	37	30	32	11	35	6	
128	4	73	10	4	1	7	1	ST-45 complex
129	7	17	27	86	11	3	6	ST-353 complex
130	28	34	27	34	45	36	26	
131	7	2	6	10	10	37	1	
132	1	6	22	24	12	28	1	ST-508 complex
133	7	2	5	6	11	3	6	ST-353 complex
134	2	4	1	42	20	3	5	ST-48 complex
135	2	21	5	37	2	39	5	ST-206 complex
136	17	2	1	5	2	1	5	ST-21 complex
137	4	7	10	4	42	7	1	ST-45 complex
138	33	39	30	2	48	35	17	ST-828 complex
139	32	38	30	41	49	35	28	
140	2	31	12	5	20	1	5	
141	2	1	10	3	2	1	5	ST-21 complex
142	36	4	1	2	7	1	5	ST-48 complex
143	2	2	8	47	8	2	5	ST-177 complex
144	17	2	8	5	8	2	21	ST-177 complex
145	4	4	36	5	57	45	31	
146	14	7	10	4	1	7	1	ST-45 complex
147	7	40	1	15	56	3	12	
148	2	1	6	3	2	1	5	ST-21 complex
149	1	3	33	4	54	3	3	ST-22 complex
150	4	38	30	15	12	44	1	
151	4	42	30	4	51	43	1	
152	1	6	7	2	40	42	29	ST-179 complex
153	1	41	7	2	40	32	3	ST-179 complex
154	31	1	12	3	2	32	21	
155	34	4	2	43	13	3	6	ST-658 complex
156	42	1	5	17	11	11	6	ST-49 complex
157	2	1	2	45	2	1	5	ST-21 complex
158	10	27	5	44	52	41	17	
159	1	4	8	2	6	3	5	ST-61 complex
160	2	21	35	46	53	1	5	ST-206 complex
161	14	21	2	10	86	3	6	ST-52 complex
162	28	34	27	33	45	36	26	
163	9	2	4	10	4	5	6	ST-257 complex
164	2	20	1	3	2	1	1	ST-21 complex
165	2	1	12	48	2	1	32	ST-21 complex
166	35	5	11	3	38	25	2	
167	38	1	1	3	2	1	5	ST-21 complex
168	4	7	10	4	42	7	5	ST-45 complex
169	2	1	1	3	6	1	5	ST-21 complex
170	8	2	5	62	2	5	1	ST-607 complex
171	10	7	10	2	1	7	1	ST-45 complex
172	8	25	2	10	22	3	6	ST-52 complex
173	4	44	10	4	1	7	1	ST-45 complex
174	23	4	5	30	7	1	5	ST-48 complex
175	39	5	9	4	8	46	21	ST-682 complex
176	37	2	9	2	8	46	23	ST-682 complex
177	17	2	8	5	8	2	4	ST-177 complex
178	2	45	2	4	19	3	1	ST-658 complex
179	1	6	7	2	40	32	3	ST-179 complex
180	1	7	10	2	1	7	1	ST-45 complex
181	4	46	4	5	4	5	1	
182	27	33	22	3	43	9	1	ST-1275 complex
183	27	31	34	5	57	45	31	
184	2	1	21	3	2	1	1	ST-21 complex
185	2	1	1	3	1	1	5	ST-21 complex
186	2	1	1	3	1	1	3	ST-21 complex
187	2	2	5	3	58	1	5	ST-21 complex
188	2	1	1	3	2	1	1	ST-21 complex
189	4	7	10	4	2	1	5	ST-45 complex
190	2	1	5	3	2	3	5	ST-21 complex
191	2	1	5	3	7	3	1	
192	7	35	5	50	2	1	6	
193	2	1	21	3	20	1	7	ST-21 complex
194	17	4	1	2	8	1	5	ST-48 complex
195	40	4	2	2	6	3	5	ST-61 complex
196	17	5	9	5	8	2	6	ST-177 complex
197	75	2	4	62	4	5	6	ST-257 complex
198	17	47	36	5	8	2	1	ST-177 complex
199	35	5	9	5	8	46	2	
200	41	43	9	5	8	46	3	
201	4	1	12	3	2	1	5	ST-21 complex
202	7	28	4	28	17	1	12	ST-573 complex
203	17	7	10	30	1	7	4	ST-45 complex
204	13	3	6	4	3	3	3	ST-22 complex
205	2	4	1	2	7	51	5	ST-48 complex
206	2	21	5	37	2	1	5	ST-206 complex
207	42	4	1	2	7	1	5	ST-48 complex
208	26	2	9	51	8	46	5	ST-682 complex
209	27	33	29	49	43	9	1	ST-1275 complex
210	4	21	5	3	7	1	5	ST-206 complex
211	2	20	1	37	2	1	5	ST-21 complex
212	4	20	1	37	2	1	5	ST-21 complex
213	3	4	1	2	7	1	5	ST-48 complex
214	17	1	12	49	2	1	4	
215	2	2	9	51	8	46	5	ST-682 complex
216	2	48	34	4	42	3	1	ST-283 complex
217	7	1	1	4	7	1	2	
218	4	20	21	37	2	1	5	ST-206 complex
219	1	4	2	2	6	3	1	ST-61 complex
220	1	6	29	2	40	32	3	ST-179 complex
221	2	21	5	2	2	1	5	ST-206 complex
222	2	21	5	2	59	1	5	ST-206 complex
223	7	17	1	15	23	1	12	ST-443 complex
224	2	10	10	2	42	49	6	
225	4	1	5	3	7	1	5	ST-21 complex
226	7	1	1	56	11	1	26	
227	2	4	5	2	2	1	5	ST-206 complex
228	2	7	40	4	42	7	1	ST-283 complex
229	2	21	5	54	59	1	5	ST-206 complex
230	4	7	41	4	42	7	1	ST-45 complex
231	4	20	5	37	2	1	5	ST-206 complex
232	1	21	5	37	2	1	5	ST-206 complex
233	2	7	10	4	1	7	1	ST-45 complex
234	8	2	5	53	17	3	1	ST-607 complex
235	2	7	40	52	42	51	1	ST-283 complex
236	3	4	1	4	19	1	5	ST-48 complex
237	4	7	5	4	42	7	1	ST-45 complex
238	2	22	21	3	2	7	5	ST-21 complex
239	2	1	5	3	2	1	6	ST-21 complex
240	2	21	22	4	1	7	5	
241	4	7	10	4	1	7	5	ST-45 complex
242	4	7	10	2	1	7	1	ST-45 complex
243	4	7	10	3	42	7	1	ST-45 complex
244	2	7	10	4	42	51	1	ST-283 complex
245	2	25	2	10	22	3	6	ST-52 complex
246	4	21	1	37	2	1	5	ST-206 complex
247	4	7	34	57	42	51	1	ST-283 complex
248	2	4	14	4	3	3	6	ST-658 complex
249	4	1	21	3	2	1	5	ST-21 complex
250	2	7	39	4	42	3	1	ST-283 complex
251	2	1	5	2	2	1	5	ST-21 complex
252	29	21	1	3	2	1	5	ST-21 complex
253	2	7	10	4	42	7	1	ST-45 complex
254	3	22	5	17	11	11	6	ST-49 complex
255	2	4	5	2	2	51	5	ST-206 complex
256	9	2	4	63	4	5	6	ST-257 complex
257	9	2	4	62	4	5	6	ST-257 complex
258	8	1	6	9	2	1	1	
259	2	1	21	9	2	1	5	ST-21 complex
260	2	1	5	3	61	1	5	ST-21 complex
261	9	1	1	10	22	3	6	ST-52 complex
262	2	1	1	3	2	1	3	ST-21 complex
263	23	51	2	2	6	3	5	ST-61 complex
264	2	1	21	3	2	2	5	ST-21 complex
265	19	24	42	20	62	52	33	
266	2	1	5	3	2	54	5	ST-21 complex
267	4	7	40	4	42	51	1	ST-283 complex
268	43	1	1	3	2	1	6	ST-21 complex
269	1	50	3	4	5	9	3	ST-42 complex
270	10	27	43	19	6	18	7	ST-403 complex
271	2	1	5	37	2	1	5	ST-206 complex
272	2	1	5	20	2	53	5	ST-21 complex
273	2	21	5	37	60	1	5	ST-206 complex
274	23	1	1	3	2	2	3	ST-21 complex
275	2	1	47	3	2	1	3	ST-21 complex
276	2	21	5	37	62	1	5	ST-206 complex
277	2	21	5	66	20	1	5	ST-206 complex
278	22	15	4	64	17	25	35	
279	1	2	3	67	5	9	3	ST-42 complex
280	2	1	5	3	2	10	5	ST-21 complex
281	2	4	1	2	64	1	5	ST-48 complex
282	2	1	5	3	63	15	5	ST-21 complex
283	2	7	40	4	42	51	1	ST-283 complex
284	54	39	48	3	2	44	5	
285	10	54	43	19	10	5	7	ST-403 complex
286	9	1	4	62	4	5	6	ST-257 complex
287	8	4	5	2	2	58	5	
288	6	25	2	10	11	3	6	ST-52 complex
289	6	17	5	2	10	59	6	ST-353 complex
290	2	21	5	3	23	1	5	ST-206 complex
291	8	7	10	4	42	51	1	ST-283 complex
292	8	21	5	3	2	1	5	ST-206 complex
293	2	1	12	3	59	1	5	ST-21 complex
294	47	2	4	62	4	5	6	ST-257 complex
295	47	7	10	4	1	1	1	ST-45 complex
296	47	21	5	3	23	1	5	ST-206 complex
297	24	11	5	10	11	3	8	ST-446 complex
298	9	1	12	3	2	1	5	ST-21 complex
299	1	4	5	2	2	1	5	ST-206 complex
300	7	1	1	3	2	1	3	ST-21 complex
301	9	17	5	10	2	1	3	
302	2	1	5	10	2	1	1	ST-21 complex
303	2	17	2	15	23	3	12	ST-443 complex
304	6	2	42	4	98	58	34	
305	9	53	2	10	11	3	3	ST-574 complex
306	47	21	2	2	11	3	6	ST-354 complex
307	2	55	5	10	4	59	8	ST-446 complex
308	4	55	5	10	4	3	8	ST-446 complex
309	9	11	5	3	4	3	8	
310	8	10	2	75	11	12	6	ST-354 complex
311	1	4	2	4	3	3	6	ST-658 complex
312	14	45	2	4	19	3	6	ST-658 complex
313	7	2	4	62	4	1	6	ST-257 complex
314	2	4	21	3	2	1	5	ST-21 complex
315	2	21	1	3	72	1	5	ST-21 complex
316	9	2	4	62	4	1	6	ST-257 complex
317	2	56	21	3	2	1	5	ST-21 complex
318	55	21	45	71	11	37	3	
319	2	2	5	62	4	5	1	ST-257 complex
320	9	7	10	4	1	7	1	ST-45 complex
321	1	2	12	4	5	1	3	ST-42 complex
322	56	4	5	2	74	1	5	ST-48 complex
323	2	64	5	2	59	1	5	ST-206 complex
324	57	17	2	2	11	12	6	ST-354 complex
325	7	28	4	28	84	34	35	ST-573 complex
326	8	10	2	2	82	12	6	ST-354 complex
327	51	37	5	65	2	56	5	
328	4	7	14	4	1	9	1	ST-45 complex
329	7	17	5	10	11	7	6	ST-353 complex
330	2	1	5	3	83	1	5	ST-21 complex
331	24	2	5	72	75	5	39	
332	62	4	5	2	74	1	5	ST-48 complex
333	2	1	21	2	2	1	5	ST-21 complex
334	4	7	40	4	42	7	1	ST-45 complex
335	8	2	5	53	23	3	1	ST-607 complex
336	2	1	1	10	2	1	5	ST-21 complex
337	43	7	10	61	2	7	1	ST-45 complex
338	23	4	1	2	7	1	5	ST-48 complex
339	8	4	2	2	11	12	6	ST-354 complex
340	22	1	1	3	2	1	5	ST-21 complex
341	46	1	5	3	2	1	1	ST-21 complex
342	46	1	1	5	2	1	5	ST-21 complex
343	4	1	5	3	2	1	5	ST-21 complex
344	7	4	5	2	70	1	5	ST-48 complex
345	2	1	5	69	2	1	1	ST-21 complex
346	9	4	5	2	69	1	5	ST-48 complex
347	9	1	21	3	2	1	5	ST-21 complex
348	33	1	21	3	2	1	5	ST-21 complex
349	62	2	5	68	11	55	1	ST-607 complex
350	7	4	6	68	93	3	46	
351	22	1	12	3	59	1	5	ST-21 complex
352	1	4	2	2	6	3	38	ST-61 complex
353	7	17	5	2	10	3	6	ST-353 complex
354	8	10	2	2	11	12	6	ST-354 complex
355	2	4	1	2	7	1	14	ST-48 complex
356	14	17	5	2	11	3	6	ST-353 complex
357	3	39	32	79	79	43	17	
358	1	4	2	2	76	3	17	ST-61 complex
359	8	10	2	2	11	12	43	ST-354 complex
360	1	10	2	2	6	3	17	ST-61 complex
361	9	2	2	62	4	5	6	ST-257 complex
362	1	2	49	4	11	66	8	ST-362 complex
363	2	17	5	2	11	3	6	ST-353 complex
364	9	21	2	2	83	3	1	ST-464 complex
365	1	2	14	4	5	9	3	ST-42 complex
366	4	2	4	62	4	5	6	ST-257 complex
367	2	2	4	62	4	5	6	ST-257 complex
368	9	1	10	3	2	1	5	ST-21 complex
369	9	1	1	3	2	1	3	ST-21 complex
370	9	59	4	38	17	12	35	ST-433 complex
371	14	59	4	38	17	12	35	ST-433 complex
372	7	2	4	62	4	5	6	ST-257 complex
373	2	21	1	3	7	1	5	ST-21 complex
374	7	61	4	38	77	60	40	
375	2	4	2	2	23	1	5	ST-48 complex
376	2	2	1	3	2	1	5	ST-21 complex
377	2	4	1	2	87	1	5	ST-48 complex
378	26	2	8	51	40	69	5	
379	14	21	2	10	11	3	6	ST-52 complex
380	7	2	6	10	78	37	1	
381	2	1	1	3	11	1	5	ST-21 complex
382	2	4	1	4	19	63	5	ST-48 complex
383	4	7	12	4	42	51	1	ST-283 complex
384	7	60	6	62	11	67	6	
385	9	2	4	62	80	5	6	ST-257 complex
386	2	21	5	70	23	1	5	ST-206 complex
387	2	58	12	3	2	1	5	ST-21 complex
388	43	1	1	3	2	1	5	ST-21 complex
389	1	4	2	61	3	3	6	ST-61 complex
390	24	2	2	15	66	3	12	ST-443 complex
391	44	17	5	2	11	3	6	ST-353 complex
392	43	17	2	10	23	68	5	
393	24	17	2	10	23	68	5	ST-443 complex
394	1	4	2	2	59	3	17	ST-61 complex
395	7	17	5	2	67	3	6	ST-353 complex
396	2	63	1	3	7	1	5	ST-21 complex
397	9	62	4	62	4	5	6	ST-257 complex
398	1	2	3	4	20	9	3	ST-42 complex
399	4	7	14	4	1	7	1	ST-45 complex
400	8	17	5	2	10	59	6	ST-353 complex
401	55	74	2	71	11	37	3	
402	1	57	3	4	5	9	3	ST-42 complex
403	10	27	16	19	10	5	7	ST-403 complex
404	7	17	5	2	2	3	6	ST-353 complex
405	7	17	5	2	10	3	5	ST-353 complex
406	2	7	1	3	20	5	1	
407	60	69	52	10	11	3	6	
408	1	7	10	4	1	7	1	ST-45 complex
409	2	17	21	3	2	1	1	ST-21 complex
410	10	27	16	19	80	5	7	ST-403 complex
411	2	15	4	38	17	12	35	ST-433 complex
412	8	10	2	2	11	70	6	ST-354 complex
413	4	25	2	10	22	3	6	ST-52 complex
414	8	4	1	2	7	1	5	ST-48 complex
415	10	62	43	19	6	5	7	ST-403 complex
416	2	4	1	2	73	1	5	ST-48 complex
417	1	4	2	80	6	3	17	ST-61 complex
418	4	7	2	4	1	7	1	ST-45 complex
419	8	4	1	2	85	51	5	ST-48 complex
420	9	1	1	3	2	1	5	ST-21 complex
421	9	2	4	62	22	5	6	ST-257 complex
422	2	1	5	3	2	5	5	ST-21 complex
423	9	1	1	3	42	7	5	ST-21 complex
424	3	4	5	2	74	1	5	ST-48 complex
425	2	2	2	2	2	3	17	ST-61 complex
426	9	7	10	4	4	14	1	ST-45 complex
427	9	24	42	20	62	52	33	
428	9	25	16	10	22	3	6	ST-52 complex
429	7	4	5	2	11	1	5	ST-48 complex
430	10	27	16	19	17	5	7	ST-403 complex
431	2	2	4	38	10	12	35	ST-433 complex
432	1	4	2	2	6	1	17	ST-61 complex
433	2	59	4	38	17	12	35	ST-433 complex
434	1	2	4	6	4	5	6	ST-257 complex
435	10	27	43	19	10	5	7	ST-403 complex
436	7	21	5	62	4	61	44	
437	33	39	30	79	39	43	17	ST-828 complex
438	33	39	2	2	81	35	17	
439	47	55	5	10	102	87	8	ST-446 complex
440	24	17	2	10	23	3	12	ST-443 complex
441	7	1	2	83	2	3	6	
442	7	4	5	4	2	9	5	
443	24	17	2	15	23	3	12	ST-443 complex
444	48	52	34	28	90	1	1	
445	53	38	30	81	65	71	36	
446	47	55	5	10	11	68	8	ST-446 complex
447	1	2	42	4	3	40	3	ST-42 complex
448	61	70	22	18	2	74	47	
449	7	71	5	62	11	67	6	ST-581 complex
450	47	55	5	10	11	48	8	ST-446 complex
451	2	1	2	3	2	3	5	ST-21 complex
452	7	17	12	2	10	3	6	ST-353 complex
453	2	17	1	2	7	1	5	ST-48 complex
454	2	1	1	5	22	1	8	ST-21 complex
455	2	1	12	3	2	12	5	ST-21 complex
456	59	1	12	3	92	1	5	ST-21 complex
457	7	4	5	2	13	3	26	ST-353 complex
458	8	1	12	4	3	3	3	ST-22 complex
459	1	2	3	3	5	9	3	ST-42 complex
460	24	30	2	2	89	59	6	ST-460 complex
461	24	65	2	2	89	59	6	ST-460 complex
462	7	17	5	2	11	3	6	ST-353 complex
463	24	17	2	15	23	12	12	ST-443 complex
464	24	2	2	2	10	3	1	ST-464 complex
465	2	1	1	3	2	54	5	ST-21 complex
466	2	1	5	2	11	1	26	
467	3	1	5	84	11	11	6	ST-49 complex
468	10	2	50	62	91	73	45	
469	1	2	3	4	5	9	6	ST-42 complex
470	17	43	8	5	8	2	21	ST-177 complex
471	7	21	5	37	2	1	5	ST-206 complex
472	2	4	2	72	11	12	6	ST-354 complex
473	2	15	1	2	7	1	5	ST-48 complex
474	2	4	1	2	2	1	5	ST-48 complex
475	2	4	1	4	19	62	5	ST-48 complex
476	2	3	2	2	6	1	5	ST-48 complex
477	8	4	2	2	6	1	25	ST-61 complex
478	1	32	2	2	6	1	17	ST-61 complex
479	1	4	2	6	6	3	17	ST-61 complex
480	1	4	2	43	6	3	17	ST-61 complex
481	14	1	6	2	2	1	1	
482	2	1	1	3	2	1	25	ST-21 complex
483	11	7	10	1	1	7	1	ST-45 complex
484	7	26	4	2	4	12	40	
485	10	24	10	2	42	7	1	
486	2	2	1	2	2	1	5	ST-21 complex
487	7	1	5	3	2	1	5	ST-21 complex
488	22	2	27	9	75	1	5	
489	2	2	21	3	2	1	5	ST-21 complex
490	2	1	1	83	7	1	5	ST-21 complex
491	8	17	2	83	2	12	6	ST-354 complex
492	2	1	1	2	7	1	5	ST-48 complex
493	10	1	59	19	10	7	5	
494	68	4	2	2	6	3	17	ST-61 complex
495	67	2	42	4	4	25	8	
496	9	1	4	6	4	5	6	ST-257 complex
497	1	4	58	4	3	3	3	ST-22 complex
498	2	21	4	38	17	25	35	ST-433 complex
499	1	1	42	4	3	58	3	ST-22 complex
500	3	4	2	2	6	3	17	ST-61 complex
501	1	2	3	4	29	9	3	ST-42 complex
502	43	1	1	3	2	1	25	ST-21 complex
503	9	17	2	2	2	1	5	
504	1	3	6	4	11	3	3	ST-22 complex
505	43	4	1	2	7	1	5	ST-48 complex
506	2	72	4	48	103	34	1	ST-661 complex
507	2	1	21	89	2	1	5	ST-21 complex
508	1	6	60	24	12	28	1	ST-508 complex
509	4	7	10	2	96	51	1	ST-45 complex
510	2	1	1	3	2	78	5	ST-21 complex
511	1	71	5	5	11	67	1	
512	2	3	6	4	3	3	3	ST-22 complex
513	4	2	4	6	4	5	6	ST-257 complex
514	4	7	10	6	1	7	1	ST-45 complex
515	2	7	10	4	5	7	1	ST-45 complex
516	1	4	1	2	7	1	5	ST-48 complex
517	2	2	3	4	5	9	3	ST-42 complex
518	1	1	1	3	2	1	5	ST-21 complex
519	1	1	1	3	2	1	3	ST-21 complex
520	2	1	12	88	2	1	5	ST-21 complex
521	17	2	8	5	99	2	4	ST-177 complex
522	2	1	21	9	2	57	5	ST-21 complex
523	2	4	1	93	11	3	6	ST-658 complex
524	8	17	5	2	10	3	1	ST-353 complex
525	7	2	5	10	11	37	1	ST-607 complex
526	2	15	4	27	13	80	23	
527	7	77	5	2	10	3	6	ST-353 complex
528	74	10	2	2	11	12	6	ST-354 complex
529	4	79	10	4	42	51	1	ST-45 complex
530	9	2	2	10	86	59	5	
531	2	71	5	62	11	67	6	
532	9	2	4	62	105	5	6	ST-257 complex
533	9	17	2	94	86	3	6	ST-52 complex
534	7	78	42	95	106	12	8	
535	9	30	2	2	89	59	6	ST-460 complex
536	2	17	12	3	2	1	5	ST-21 complex
537	2	17	5	2	11	81	6	ST-353 complex
538	4	7	10	4	42	25	1	ST-45 complex
539	8	32	2	71	22	3	6	ST-52 complex
540	7	1	5	3	2	1	6	ST-21 complex
541	2	3	1	2	7	1	5	ST-48 complex
542	57	17	2	66	11	12	6	ST-354 complex
543	2	2	5	71	2	1	5	ST-206 complex
544	7	1	21	3	2	1	1	ST-21 complex
545	1	3	5	4	3	3	3	ST-22 complex
546	4	7	40	4	1	13	5	ST-45 complex
547	6	17	1	15	23	3	12	ST-443 complex
548	7	3	1	4	10	1	5	
549	25	62	43	19	6	22	7	
550	10	27	43	19	4	22	7	ST-403 complex
551	10	27	25	4	10	22	7	ST-403 complex
552	10	27	59	4	10	5	7	ST-403 complex
553	10	27	16	4	6	22	7	ST-403 complex
554	1	27	2	2	6	3	28	ST-61 complex
555	33	39	65	79	111	7	17	
556	10	27	43	19	10	18	7	ST-403 complex
557	10	27	25	19	10	3	7	ST-403 complex
558	10	62	43	7	6	5	7	
559	2	1	5	9	2	54	5	ST-21 complex
560	9	2	4	62	4	5	3	ST-257 complex
561	2	1	21	4	2	1	5	ST-21 complex
562	2	21	5	37	2	1	1	ST-206 complex
563	17	5	8	5	8	2	4	ST-177 complex
564	4	7	40	92	42	51	1	ST-283 complex
565	9	2	4	38	4	5	6	ST-257 complex
566	2	59	4	62	17	12	35	ST-433 complex
567	1	3	6	4	3	3	1	ST-22 complex
568	1	4	64	2	6	3	17	ST-61 complex
569	2	80	5	3	2	3	5	ST-21 complex
570	3	1	5	17	2	11	6	ST-49 complex
571	7	53	2	3	11	3	3	ST-574 complex
572	62	4	5	2	2	1	5	ST-206 complex
573	7	28	4	28	17	34	12	ST-573 complex
574	7	53	2	10	11	3	3	ST-574 complex
575	1	2	1	4	5	9	3	ST-42 complex
576	18	70	68	97	115	86	47	
577	2	4	1	3	2	1	5	ST-21 complex
578	1	4	2	2	2	3	17	ST-61 complex
579	65	7	40	4	42	51	1	ST-283 complex
580	2	4	1	2	103	1	5	ST-48 complex
581	7	15	5	62	67	3	6	ST-581 complex
582	7	4	6	4	93	3	46	
583	4	7	10	4	42	51	1	ST-45 complex
584	8	2	5	62	4	5	1	ST-257 complex
585	69	74	61	6	97	89	48	
586	1	2	42	4	98	58	34	
587	1	2	42	4	90	25	8	ST-362 complex
588	1	82	5	90	2	88	1	
589	4	7	10	4	1	79	1	ST-45 complex
590	1	2	3	4	5	1	5	ST-42 complex
591	10	31	63	91	101	9	49	
592	71	1	5	3	2	1	5	ST-21 complex
593	2	55	1	2	7	1	5	ST-48 complex
594	4	7	10	4	42	1	1	ST-45 complex
595	7	2	1	2	10	3	6	ST-353 complex
596	2	1	5	3	2	90	5	ST-21 complex
597	2	76	2	3	2	1	5	ST-21 complex
598	10	27	16	19	5	7	5	ST-403 complex
599	1	4	27	25	11	3	5	
600	14	1	2	10	86	3	6	ST-52 complex
601	73	4	2	2	19	3	6	ST-658 complex
602	2	76	2	3	2	62	5	ST-21 complex
603	8	1	1	3	2	1	1	ST-21 complex
604	1	2	3	27	5	9	3	ST-42 complex
605	10	27	16	19	10	22	7	ST-403 complex
606	24	21	2	2	89	59	6	ST-460 complex
607	8	2	5	53	11	3	1	ST-607 complex
608	10	81	50	87	3	76	52	ST-677 complex
