ST	flaA	pilE	asd	mip	mompS	proA	neuA
112	2	10	15	10	9	11	9
113	3	13	1	3	14	9	6
114	3	6	1	6	14	11	9
115	12	29	2	5	3	17	15
116	2	3	9	10	3	1	6
117	5	1	22	26	6	10	10
118	12	8	11	20	5	12	6
119	15	19	5	12	18	5	6
120	2	3	5	11	2	1	6
121	2	10	3	10	9	4	6
122	6	10	15	13	17	14	11
123	2	3	10	11	2	1	6
124	6	16	14	3	21	14	3
125	6	10	15	28	4	4	11
126	8	3	3	15	2	1	6
127	3	13	1	10	14	9	11
128	7	6	17	3	14	11	11
129	6	6	15	28	4	14	11
130	3	6	1	3	5	11	11
131	6	10	21	13	17	14	11
132	2	1	6	15	2	1	6
133	6	10	15	6	30	14	9
134	1	4	3	10	1	1	1
135	7	6	17	21	8	11	9
136	6	10	17	6	9	4	9
137	6	10	21	6	9	4	9
138	10	12	7	3	16	18	6
139	6	10	15	13	4	14	11
140	2	3	18	11	2	10	12
141	2	12	3	6	8	14	9
142	2	10	3	13	9	4	18
143	4	17	11	23	5	12	19
144	1	4	3	1	1	24	1
145	6	10	3	28	9	4	11
146	2	10	18	10	2	1	6
147	6	10	15	3	19	4	3
148	1	4	15	1	1	1	1
149	17	10	17	3	2	14	11
150	11	14	16	1	15	13	1
151	7	10	17	28	5	4	13
152	1	4	3	1	1	1	3
153	2	10	3	28	9	14	3
154	11	14	16	16	15	13	2
155	17	10	17	28	2	14	11
156	17	10	17	28	2	14	3
157	6	10	3	3	21	7	11
158	7	6	21	28	13	9	3
159	11	14	16	1	15	13	2
160	11	14	16	16	15	13	9
161	11	4	3	1	1	1	1
162	10	22	7	3	16	9	6
163	18	4	3	1	1	1	1
164	6	6	15	28	4	4	11
165	6	7	15	3	4	14	9
166	1	3	9	10	2	1	6
167	1	3	18	15	2	4	6
168	1	4	1	3	35	9	11
169	6	10	3	10	9	4	6
170	2	10	3	10	9	4	11
171	6	10	15	3	21	4	9
172	1	4	3	1	1	1	2
173	6	10	14	15	21	4	6
174	4	8	11	5	10	12	15
175	6	10	15	10	9	14	6
176	12	8	11	5	45	12	2
177	1	4	3	1	1	12	1
178	7	10	3	10	9	4	2
179	3	4	1	1	1	9	11
180	6	10	15	12	13	14	9
181	3	10	1	12	14	9	9
182	3	4	1	3	35	9	11
183	8	10	9	15	18	1	6
184	2	6	17	15	1	8	6
185	2	4	3	2	21	4	1
186	7	10	1	3	14	9	1
187	3	10	1	28	14	9	3
188	2	6	17	6	13	3	11
189	3	10	1	14	14	9	11
190	5	1	22	26	6	10	6
191	6	10	19	28	19	4	6
192	2	10	5	5	35	5	6
193	3	10	1	28	14	9	6
194	12	8	11	2	11	12	2
195	3	10	3	1	14	9	1
196	3	10	1	28	14	9	11
197	3	4	1	1	29	9	1
198	11	14	3	1	15	13	9
199	6	10	17	28	4	14	11
200	12	15	11	10	11	12	2
201	6	10	15	28	44	14	11
202	3	13	1	28	1	9	3
203	5	8	22	10	6	10	2
204	1	10	3	3	9	4	9
205	5	10	22	15	6	1	6
206	8	10	3	15	6	1	6
207	5	2	22	5	6	25	22
208	12	8	11	5	8	12	22
209	5	1	22	10	6	10	19
210	6	10	15	10	9	14	10
211	3	10	1	1	14	9	11
212	2	10	5	5	35	5	9
213	2	19	5	10	18	1	2
214	2	10	9	10	10	1	6
215	2	10	14	10	21	14	3
216	1	6	1	13	9	4	6
217	1	6	17	6	13	14	11
218	12	9	2	21	3	17	15
219	5	10	22	10	6	5	6
220	3	6	1	3	9	11	9
221	11	14	16	1	15	13	9
222	2	19	5	10	18	1	10
223	5	1	22	10	6	10	2
224	4	8	11	16	42	12	2
225	2	10	3	25	9	4	13
226	12	8	11	26	20	12	2
227	2	19	3	10	18	1	2
228	4	8	22	16	29	12	2
229	5	4	1	1	14	9	1
230	5	1	22	30	6	10	10
231	8	10	3	15	21	12	20
232	5	1	22	23	6	10	19
233	2	10	9	13	2	1	20
234	3	4	1	1	14	9	9
235	7	6	17	3	13	14	3
236	3	25	1	1	1	9	1
237	12	8	11	5	47	12	2
238	7	6	31	8	48	15	11
239	6	10	15	3	21	14	3
240	12	7	11	21	11	12	15
241	7	6	17	6	13	11	15
242	3	10	1	28	1	9	3
243	3	30	1	28	14	9	3
244	7	10	17	3	9	11	11
245	2	10	3	13	9	4	1
246	2	10	3	28	9	4	11
247	1	4	3	5	1	1	11
248	3	13	1	1	14	9	11
249	1	4	3	5	1	1	1
250	2	10	17	28	9	4	11
251	21	14	29	35	15	29	10
252	22	4	3	1	1	30	1
253	2	10	5	10	38	5	10
254	1	6	17	6	13	11	11
255	7	10	3	28	9	14	9
256	6	10	14	5	39	14	9
257	12	8	11	5	40	12	22
258	4	8	11	16	43	12	2
259	21	27	28	2	15	29	6
260	12	8	11	23	29	26	2
261	7	28	17	3	13	11	3
262	7	6	30	2	12	11	11
263	7	10	31	3	13	11	11
264	22	6	3	1	1	30	2
265	8	10	3	15	18	1	21
266	8	10	3	10	18	1	6
267	3	4	1	1	8	9	1
268	6	10	14	3	21	4	2
269	7	10	17	3	13	11	11
270	5	1	22	16	6	10	2
271	6	10	19	5	19	4	9
272	8	10	3	15	18	1	20
273	6	10	19	3	19	4	2
274	4	7	11	15	11	12	9
275	2	10	3	5	19	4	9
276	2	19	11	10	18	12	2
277	5	1	22	15	6	10	2
278	6	10	15	28	4	14	11
279	6	10	1	28	4	14	11
280	2	10	19	28	21	14	6
281	7	6	17	28	4	14	11
282	6	23	17	28	21	4	11
283	6	23	19	28	19	4	11
284	1	6	3	10	1	1	11
285	2	10	14	10	19	4	3
286	1	4	3	1	14	1	1
287	1	12	1	1	1	9	2
288	12	8	11	16	29	12	2
289	2	19	11	10	18	1	2
290	4	8	11	10	29	12	10
291	6	10	14	10	13	3	9
292	6	10	19	28	19	4	3
293	17	10	15	28	17	3	6
294	8	3	3	15	21	1	6
295	7	6	17	28	14	11	13
296	1	4	3	1	1	1	11
297	7	10	17	28	13	4	13
298	6	10	15	20	21	14	6
299	2	10	9	10	2	1	6
300	4	8	11	23	34	12	6
301	2	10	3	12	9	4	9
302	3	6	17	25	14	9	7
303	1	4	17	1	1	12	1
304	1	4	1	1	1	1	1
305	6	10	19	6	19	4	6
306	6	10	15	13	9	14	11
307	6	10	19	14	4	4	3
308	2	10	18	10	2	9	6
309	2	3	18	12	2	1	6
310	6	10	3	28	9	1	11
311	7	10	15	28	9	4	13
312	6	10	15	28	17	14	3
313	7	6	17	6	13	11	11
314	12	9	26	21	26	17	15
315	1	4	3	4	2	1	15
316	4	7	11	3	11	12	23
317	2	10	3	1	9	14	1
318	1	10	3	1	1	9	1
319	6	6	3	28	9	4	3
320	1	4	3	1	1	5	1
321	2	6	17	3	12	8	3
322	6	10	19	3	19	4	3
323	6	6	17	3	9	11	9
324	6	10	15	10	9	14	3
325	7	6	3	8	9	4	6
326	2	10	15	3	9	4	6
327	6	6	17	3	17	11	6
328	6	10	19	28	19	4	9
329	6	6	19	28	19	4	3
330	7	10	3	3	9	4	3
331	3	13	1	1	14	9	13
332	7	10	17	6	14	11	3
333	12	31	2	5	3	17	15
334	2	6	17	6	13	11	11
335	1	10	3	15	2	1	3
336	11	14	16	25	7	13	24
337	10	22	7	28	16	18	6
338	2	10	15	28	9	4	13
339	6	6	17	8	13	11	3
340	3	6	1	7	14	9	11
341	7	6	17	28	13	11	13
342	2	10	3	28	21	4	6
343	2	10	3	6	8	14	9
344	6	10	17	28	9	4	13
345	6	10	19	3	19	4	11
346	3	4	1	28	14	9	1
347	3	4	1	3	14	9	11
348	6	10	19	14	19	4	6
349	3	5	1	28	14	9	2
350	6	10	15	12	17	14	11
351	2	4	3	1	21	4	1
352	12	8	11	13	10	12	2
353	8	10	6	15	51	1	6
354	3	5	1	7	14	32	8
355	1	10	1	10	14	9	6
356	6	10	15	12	9	14	11
357	11	14	32	3	7	33	9
358	12	3	9	13	52	1	6
359	3	6	1	10	14	9	11
360	6	10	2	28	9	4	13
361	7	10	17	28	13	11	13
362	6	10	19	28	19	4	13
363	7	6	3	3	13	11	11
364	2	6	17	21	13	11	15
365	2	10	15	28	9	9	11
366	2	10	3	3	9	4	6
367	6	10	15	28	21	14	9
368	6	10	15	28	4	14	1
369	2	10	3	3	9	14	9
370	17	10	3	28	9	4	13
371	2	10	17	28	9	4	13
372	2	10	3	28	9	4	1
374	6	10	17	3	4	14	9
375	7	6	17	3	13	11	15
376	2	10	3	28	9	4	15
377	6	10	15	28	9	14	1
378	3	13	1	17	14	9	7
379	2	10	3	3	9	4	13
380	2	10	3	3	15	4	13
381	7	6	17	14	12	8	3
382	6	10	1	28	9	4	13
383	6	10	14	12	21	14	9
384	2	3	9	10	2	1	10
385	3	4	1	1	14	9	6
386	10	10	3	28	9	4	11
387	2	6	17	14	13	11	11
388	7	6	17	12	13	11	6
389	2	10	24	7	4	4	7
390	1	4	3	28	1	1	6
391	3	13	1	14	14	9	11
392	3	13	1	6	14	9	11
393	3	6	1	25	14	9	7
394	6	10	3	25	16	4	7
395	7	6	17	20	13	11	3
396	2	10	24	28	4	4	1
397	2	10	1	28	4	4	11
398	2	10	24	28	4	34	11
399	6	10	3	28	9	14	11
400	5	4	3	1	1	1	1
401	5	31	22	10	6	25	1
402	7	6	17	3	9	14	11
403	2	10	15	28	17	3	1
404	22	4	3	36	1	30	1
405	2	10	17	6	13	11	11
406	6	10	3	30	9	4	3
407	6	10	15	3	21	14	9
408	8	10	34	9	53	8	1
409	2	32	20	12	34	35	1
410	2	32	20	38	34	35	11
411	5	4	3	16	2	1	13
412	2	10	24	28	4	4	3
413	2	6	17	14	12	8	8
414	2	3	3	10	2	1	6
415	11	21	33	37	31	1	11
416	6	10	19	30	2	4	6
417	2	10	3	28	4	4	13
418	2	10	24	28	14	4	1
419	3	13	1	28	14	9	7
420	7	7	11	3	11	12	9
421	2	10	3	3	9	4	3
422	7	6	3	3	14	4	3
423	10	22	7	28	16	18	1
424	7	10	17	3	13	14	9
425	2	10	3	15	9	4	11
426	2	6	17	14	12	11	11
427	3	4	1	1	14	1	1
428	7	6	17	25	13	11	15
429	7	14	16	28	7	13	15
430	2	6	17	6	12	8	11
431	10	22	7	6	14	18	11
432	3	13	1	28	9	9	3
433	2	10	18	10	2	1	1
434	6	10	19	15	4	4	6
435	2	10	18	15	2	1	6
436	12	17	11	15	5	12	20
437	6	10	14	3	21	14	9
438	3	10	1	1	14	9	15
439	3	4	1	28	14	11	11
440	3	10	1	28	14	9	1
441	8	10	3	14	18	1	6
442	2	10	3	1	1	4	1
443	2	6	17	1	13	11	24
444	2	10	22	10	2	1	6
445	2	3	18	13	2	1	6
446	3	4	3	1	1	9	1
447	3	6	3	14	14	9	11
448	2	3	18	10	2	1	6
449	2	10	3	10	15	1	6
450	2	23	13	5	18	22	6
451	21	14	29	16	15	29	1
452	6	6	17	3	13	11	11
453	5	10	3	15	6	2	6
454	6	10	20	12	21	4	3
455	2	3	9	10	5	1	6
456	1	4	3	16	2	1	6
457	8	3	9	10	2	1	6
458	24	6	3	3	13	11	11
459	1	4	3	1	13	5	9
460	23	12	31	6	48	31	3
461	6	10	14	28	21	14	9
462	12	9	2	5	50	17	15
463	6	10	5	10	9	1	3
464	2	10	3	28	21	4	13
465	2	29	2	5	50	20	15
466	6	10	15	28	4	14	15
467	7	6	17	8	13	11	9
468	3	10	1	6	14	9	3
469	3	10	1	28	14	9	9
470	7	6	17	3	13	11	1
471	11	14	16	31	15	13	3
472	6	10	19	30	19	14	9
473	6	23	15	28	9	14	3
474	1	4	3	1	1	1	13
475	17	23	13	20	32	22	8
476	1	4	3	13	1	1	1
477	12	9	26	5	3	17	15
478	6	10	21	12	21	14	11
479	5	1	22	10	6	10	12
480	2	10	15	1	9	4	1
481	4	7	11	13	11	12	9
482	6	10	14	5	6	14	9
483	3	13	1	1	14	9	3
484	6	10	15	28	9	14	9
485	3	10	1	3	14	11	11
486	1	4	3	1	21	1	1
487	3	6	1	28	14	11	11
488	2	3	9	10	2	10	6
489	5	10	18	10	2	1	6
490	17	23	13	10	32	22	10
491	12	8	11	16	5	12	4
492	6	10	15	28	2	14	11
493	3	13	1	28	14	9	11
494	7	6	17	14	12	11	11
495	6	10	15	28	21	4	3
496	7	6	31	3	48	15	11
497	6	10	14	5	21	1	9
498	2	7	3	3	9	4	9
499	2	10	15	3	21	4	3
500	2	10	15	3	9	4	9
501	6	10	2	10	13	14	6
502	6	10	19	3	19	4	6
503	8	10	14	15	18	1	6
504	7	6	17	3	13	14	11
505	7	6	17	3	11	11	9
506	2	3	6	13	2	1	6
507	2	3	5	10	2	1	6
508	10	10	7	28	16	18	11
509	6	10	15	10	9	14	11
510	7	6	17	28	13	11	15
511	2	6	17	3	9	4	11
512	3	8	19	28	19	4	9
513	7	6	17	6	48	11	11
514	6	6	17	3	17	11	9
515	2	10	15	10	9	14	3
516	7	6	3	3	9	11	3
517	7	6	3	8	13	14	6
518	17	6	15	28	9	14	3
519	7	10	3	3	4	11	3
520	2	10	24	28	4	4	13
521	4	7	11	3	17	12	9
522	5	1	22	30	6	10	13
523	4	8	11	10	5	26	6
524	26	33	37	10	55	10	25
525	12	7	11	39	11	12	26
526	2	19	5	12	18	5	9
527	7	6	17	3	13	11	3
528	5	2	22	15	6	10	11
529	2	3	9	10	1	1	1
530	6	10	20	6	9	4	9
531	6	10	15	28	9	4	9
532	2	10	9	13	2	5	9
533	3	10	1	3	14	4	11
534	2	10	3	1	9	4	1
535	2	10	18	40	29	1	2
536	7	6	1	6	14	11	6
537	3	13	1	28	12	9	3
538	2	6	3	3	9	14	3
539	4	8	11	2	10	12	2
540	1	13	3	1	1	1	1
541	6	1	22	30	6	14	6
542	1	10	15	1	21	14	2
543	2	10	11	21	18	5	15
544	4	7	18	3	11	12	9
545	2	10	3	3	9	4	11
546	21	10	3	15	18	1	6
547	2	10	3	28	9	4	26
548	7	10	17	17	30	11	3
549	6	23	15	3	9	14	6
550	2	3	6	10	51	1	6
551	6	10	15	3	21	7	11
552	7	6	17	3	13	9	11
553	3	6	1	3	14	11	9
554	10	7	17	28	13	8	3
555	6	10	15	10	9	14	9
556	16	4	3	1	1	1	1
557	2	10	3	1	9	4	9
558	2	10	3	10	9	14	9
559	2	10	3	41	9	14	9
560	1	4	3	1	1	30	1
561	3	6	1	6	14	11	1
562	7	10	3	1	9	4	6
563	1	4	3	12	1	1	27
564	6	10	14	10	39	3	6
565	2	3	9	10	2	5	11
566	6	10	20	13	21	14	11
567	7	6	17	3	40	11	11
568	24	6	39	3	13	11	11
569	6	10	15	3	13	14	11
570	1	10	22	15	6	2	6
571	6	10	15	28	13	14	9
572	2	3	5	11	2	1	9
573	16	21	33	37	41	1	1
574	11	14	16	16	15	13	11
575	2	3	18	13	25	1	6
576	6	10	3	3	19	4	11
577	6	10	15	13	9	14	16
578	6	10	15	13	9	14	6
579	3	13	1	3	14	9	11
580	2	10	9	15	2	1	20
581	1	10	1	1	14	9	1
582	6	10	14	10	33	1	11
583	7	6	17	28	13	11	3
584	2	10	15	16	21	14	6
585	3	4	1	1	40	9	1
586	2	6	17	3	48	8	6
587	2	10	3	28	9	14	9
588	2	6	17	3	12	8	13
589	2	1	15	28	9	4	13
590	3	32	20	6	34	35	6
591	5	2	22	15	6	10	6
592	6	10	15	24	9	14	16
593	2	3	40	13	2	1	6
594	8	10	3	44	9	4	13
595	2	14	16	16	15	13	2
596	27	3	9	43	56	5	6
597	7	2	3	8	13	11	3
598	11	14	16	10	15	13	11
599	6	10	17	28	19	4	6
600	6	10	19	28	19	14	11
601	6	6	15	28	9	14	11
602	6	10	11	28	4	14	9
603	7	8	17	3	14	11	11
604	6	10	15	3	19	4	11
605	7	10	17	3	13	9	11
606	6	10	15	3	21	4	3
607	11	14	16	16	15	13	1
608	2	14	16	1	15	13	1
609	3	13	1	1	14	9	1
610	8	10	3	10	2	1	6
611	6	35	38	42	1	14	1
612	2	6	17	14	8	8	9
613	2	3	6	15	2	1	6
614	2	10	3	6	9	4	11
615	12	9	2	5	27	20	6
616	2	10	3	10	9	4	28
617	6	10	14	10	39	3	9
618	4	8	11	16	29	12	2
619	6	10	15	1	21	14	1
620	17	10	3	8	21	4	3
621	3	10	1	6	14	9	8
622	3	13	1	3	9	9	9
623	7	10	17	11	13	14	6
624	12	8	11	10	5	12	6
625	12	8	11	2	40	12	4
626	3	4	1	28	14	11	1
627	3	6	1	14	14	11	11
628	3	4	1	1	14	13	30
629	11	14	3	25	1	13	1
630	1	4	3	1	1	1	10
631	7	6	3	28	1	11	3
632	1	4	17	1	13	1	1
633	2	10	3	3	1	4	9
634	1	4	16	1	15	1	1
635	1	4	3	3	9	1	1
636	2	6	17	25	13	11	6
637	6	10	15	3	9	14	6
638	6	10	14	3	21	13	9
639	6	10	2	28	9	4	6
640	17	10	3	28	9	4	11
641	7	10	17	3	17	11	11
642	2	10	3	10	9	14	6
643	6	10	17	28	9	4	11
644	6	10	20	10	9	14	11
645	2	10	14	3	21	4	3
646	2	10	21	28	9	4	13
647	5	4	22	27	6	10	12
648	2	10	3	15	9	4	3
649	3	13	1	3	14	9	3
650	2	4	3	13	9	4	13
651	2	10	1	28	14	9	3
652	1	4	3	1	57	1	1
653	1	4	41	1	1	37	1
654	1	10	3	28	21	4	13
655	2	4	3	28	1	4	13
656	2	6	3	28	9	4	9
657	2	10	3	3	21	4	11
658	2	10	3	10	4	3	11
659	2	19	5	5	18	5	6
660	3	5	1	3	14	11	8
661	3	5	1	7	14	11	11
662	3	6	1	1	1	9	11
663	3	12	1	6	14	9	29
664	3	13	1	3	14	9	9
665	3	13	1	45	14	9	3
666	6	10	3	3	19	4	9
667	6	10	3	28	19	4	9
668	6	10	15	3	4	14	24
669	6	10	15	28	4	14	24
670	7	6	17	3	11	11	11
671	7	6	17	18	21	11	1
672	7	10	17	3	30	11	9
673	7	10	17	8	13	11	7
674	7	12	17	3	13	11	11
675	12	8	11	5	47	26	2
676	23	12	31	6	48	31	9
677	6	10	17	3	17	11	9
678	12	14	16	16	15	13	11
679	27	3	9	15	56	5	6
680	2	10	3	28	4	4	6
681	11	14	16	25	7	13	6
682	7	6	17	10	13	9	11
683	6	6	17	3	9	14	13
684	6	6	17	3	9	14	5
685	2	10	18	10	1	1	9
686	7	6	17	3	12	11	11
687	7	6	17	21	35	11	9
688	7	6	17	21	12	11	11
689	2	10	15	28	19	4	9
690	2	14	16	31	15	13	6
691	3	4	1	28	14	9	3
692	1	4	14	10	2	3	8
693	6	10	19	3	4	4	13
694	6	1	22	30	6	10	11
695	2	10	3	28	9	4	31
696	1	4	14	10	2	3	6
697	7	6	17	6	11	11	11
698	7	10	17	3	17	11	9
699	3	6	1	14	1	9	11
700	3	1	1	12	14	9	9
701	21	14	29	15	15	29	6
702	2	10	18	10	2	5	6
703	2	10	18	10	2	1	10
704	5	1	22	21	6	10	15
705	13	11	4	9	58	16	32
706	4	8	11	15	29	12	6
707	17	23	13	20	32	22	1
708	6	10	15	3	21	14	14
709	1	6	3	1	1	11	3
710	12	29	2	5	50	20	15
711	6	10	3	1	9	4	1
712	25	36	36	35	54	36	9
713	26	8	11	5	47	30	2
714	1	4	3	6	1	1	9
715	1	4	3	19	1	1	2
716	16	4	3	19	1	30	11
717	1	4	3	19	1	30	1
718	7	6	17	1	48	11	1
719	1	4	3	19	1	1	1
720	16	4	3	19	1	30	1
721	8	6	34	9	53	8	1
722	7	6	17	3	1	11	1
723	7	6	31	19	48	11	1
724	16	4	3	19	1	30	2
725	16	21	33	37	41	1	3
726	28	21	33	37	41	1	11
727	6	6	17	28	17	11	9
728	2	10	3	28	9	4	3
729	6	10	15	1	21	4	13
730	6	10	15	28	9	14	10
731	7	10	17	12	29	11	9
732	6	31	14	10	39	3	11
733	3	13	1	15	14	9	6
734	2	6	17	1	1	8	11
735	6	10	15	28	9	3	11
736	3	13	1	10	14	9	6
737	3	10	1	3	14	1	1
738	7	10	17	28	17	11	9
739	12	8	11	2	10	12	2
740	2	3	18	10	25	5	6
741	21	14	29	30	15	29	6
742	3	6	1	3	14	11	11
743	2	2	9	10	6	1	6
744	2	3	5	5	18	1	10
745	5	2	22	10	6	25	9
746	2	10	5	12	38	5	6
747	3	6	1	6	9	11	13
748	6	10	19	28	4	4	11
749	6	10	14	10	2	4	6
750	8	10	3	15	21	1	20
751	8	10	3	15	9	14	6
752	22	4	3	1	1	1	1
753	6	8	19	12	4	4	3
754	2	10	5	47	18	14	33
755	6	10	19	13	22	14	1
756	2	3	6	12	2	10	6
757	3	4	1	1	12	1	11
758	2	3	9	15	2	1	6
759	1	10	3	1	1	1	11
760	2	10	15	10	21	14	6
761	5	7	22	21	6	10	15
762	2	3	9	10	1	1	6
763	6	10	19	28	19	4	11
764	12	7	11	20	11	12	11
765	12	6	7	13	53	18	9
766	1	4	3	10	1	5	10
767	2	10	3	3	1	4	1
768	10	10	7	28	16	18	6
769	10	12	7	21	16	18	9
770	3	5	1	7	14	9	3
771	3	4	1	1	14	9	3
772	1	4	42	1	1	1	1
773	3	4	1	28	14	9	13
774	6	10	15	6	9	14	6
775	8	24	3	15	21	12	20
776	2	10	19	12	21	14	9
777	5	2	22	10	6	25	1
778	6	10	3	3	9	4	3
779	1	4	3	1	1	1	26
780	3	10	1	1	1	9	1
781	2	4	3	1	1	1	6
782	1	8	3	1	1	1	4
783	2	3	9	10	59	1	6
784	1	4	3	3	1	1	11
785	6	37	15	15	21	10	9
786	4	8	11	21	29	12	15
787	2	10	1	3	9	4	3
788	2	6	17	14	12	8	11
789	2	10	1	28	9	4	13
790	2	10	3	16	9	11	9
791	8	8	3	15	18	1	6
792	17	23	13	21	32	22	15
793	12	38	26	21	3	17	15
794	12	31	2	5	3	17	34
795	1	4	3	12	1	1	11
796	1	4	3	10	1	1	10
797	4	8	11	5	29	12	2
798	8	14	29	10	15	29	6
799	21	14	29	35	15	29	6
800	2	19	5	5	18	1	6
801	4	8	11	10	29	12	6
802	6	6	3	12	4	14	11
803	6	10	15	15	2	1	20
804	6	10	15	3	21	14	6
805	3	4	1	1	59	9	11
806	2	3	9	10	51	1	10
807	6	10	17	28	19	4	11
808	21	40	43	20	15	26	2
809	1	10	3	1	1	14	1
810	1	6	17	14	12	8	11
811	6	10	15	15	4	14	3
812	1	10	3	1	1	1	9
813	6	10	15	28	4	14	9
814	12	3	18	10	2	1	6
815	12	8	11	2	29	12	2
816	6	6	15	10	4	14	3
817	2	6	3	28	9	14	11
818	11	14	16	3	15	13	9
819	21	14	29	10	15	29	6
820	2	23	13	10	32	22	6
821	4	1	22	26	6	10	12
822	4	31	11	5	5	12	22
823	11	4	16	5	15	13	2
824	8	10	18	15	2	1	6
825	12	39	11	10	24	12	6
826	8	3	3	15	21	1	2
827	6	10	3	3	9	4	11
828	2	10	3	10	9	4	3
829	6	10	15	1	21	14	11
830	8	10	3	10	18	1	10
831	2	6	21	12	12	8	35
832	7	34	17	3	13	11	11
833	6	10	17	28	2	14	11
834	7	6	17	3	13	15	11
835	3	6	3	6	9	4	9
836	6	10	17	3	9	4	9
837	6	6	15	10	2	14	3
838	3	6	1	28	14	11	9
839	6	10	14	10	21	4	3
840	12	7	11	20	11	12	6
841	2	10	3	3	18	4	3
842	6	10	22	3	4	3	3
843	7	6	17	11	13	11	6
844	2	10	24	28	4	4	6
845	10	22	7	28	9	18	6
846	2	29	3	28	9	14	15
847	6	10	21	12	17	14	11
848	8	10	3	15	21	26	20
849	6	10	15	28	21	7	3
850	2	3	9	50	2	1	6
851	2	10	3	28	9	14	1
852	6	10	15	24	21	14	6
853	2	10	3	28	21	14	24
854	6	10	15	24	9	14	6
855	3	10	1	28	14	4	13
856	5	1	22	30	6	10	1
857	1	4	3	1	6	1	1
858	2	10	19	44	19	4	36
859	4	8	11	5	10	12	2
860	2	3	18	15	1	1	6
861	12	31	2	10	3	17	6
862	4	17	11	15	29	12	20
863	6	10	5	3	18	14	9
864	6	41	45	51	55	10	31
865	1	6	3	1	1	5	11
866	7	10	17	3	21	11	11
867	10	22	7	47	16	18	9
868	5	10	3	10	18	1	6
869	2	10	14	5	39	14	9
870	6	10	19	5	19	4	1
871	4	17	11	15	5	12	6
872	1	10	3	1	1	1	10
