ST	adk	argA	aroA	glnA	thrA	tmk	trpE
153	12	26	25	22	31	26	28
154	24	27	34	33	35	30	29
155	25	28	35	34	36	31	30
156	26	29	36	35	37	32	31
157	24	30	37	36	38	33	32
158	27	25	33	37	39	29	27
159	28	31	38	21	40	14	33
160	16	13	24	38	24	18	34
161	29	32	39	32	21	34	19
162	9	17	28	39	29	35	35
163	30	33	40	40	18	36	36
164	31	11	22	23	22	16	17
165	32	34	41	41	41	37	37
166	33	2	1	2	5	6	1
167	34	35	42	42	43	39	39
168	12	21	21	22	25	40	19
169	24	36	34	36	38	30	40
170	26	29	36	35	37	32	41
171	16	13	24	38	44	41	42
172	12	21	25	22	31	26	19
173	35	37	43	43	45	42	43
174	36	15	26	44	27	20	44
175	37	38	44	45	46	43	45
177	34	40	46	47	48	45	47
179	12	10	25	22	31	26	28
180	40	42	47	49	50	47	49
181	41	43	34	36	51	48	32
182	16	13	48	38	24	49	34
183	42	44	43	50	45	51	51
184	43	37	43	51	52	42	52
185	13	45	22	23	22	16	17
186	24	27	49	36	53	48	32
187	11	9	20	21	54	52	53
188	15	8	23	52	55	53	14
189	44	13	24	38	24	18	42
190	14	46	22	23	22	16	17
191	19	18	50	29	56	23	26
192	45	47	51	53	57	54	54
193	46	48	52	54	58	55	37
194	28	49	38	21	40	14	33
195	42	37	43	50	45	51	55
196	47	13	53	55	59	56	56
197	48	50	54	56	60	57	57
198	49	51	55	39	18	58	22
199	17	15	26	26	61	59	58
200	50	52	21	32	62	60	59
201	51	2	1	2	5	2	10
202	23	25	56	37	63	61	50
203	52	24	57	29	30	23	23
204	11	53	38	57	20	62	61
205	12	10	21	22	25	63	16
206	11	9	58	21	20	14	53
207	37	38	59	58	46	43	62
208	12	54	25	31	21	64	16
209	14	11	22	23	22	16	63
210	12	21	25	22	25	26	28
211	49	55	60	28	18	65	64
212	53	56	61	59	64	66	65
213	54	57	62	24	65	67	14
214	14	11	22	23	66	16	17
215	55	58	63	60	67	68	66
216	43	37	43	51	68	42	55
217	56	59	64	61	69	69	67
218	35	37	43	62	45	42	55
219	34	60	46	63	70	70	68
220	29	10	25	22	25	71	16
221	21	20	30	30	71	72	69
222	57	61	54	64	72	73	57
223	20	10	21	22	25	24	19
224	58	62	65	65	73	74	70
226	59	48	67	66	74	76	71
228	39	19	21	22	31	15	16
229	21	20	68	30	75	78	72
230	12	10	39	22	21	19	16
231	39	19	21	22	25	15	16
232	12	22	21	22	31	15	16
233	12	21	25	22	25	15	16
234	12	10	21	22	25	15	19
235	18	16	33	37	63	38	60
236	22	64	29	29	56	79	73
238	60	65	69	67	76	81	74
240	1	2	1	10	3	6	2
241	18	25	33	27	42	38	38
242	12	10	25	22	25	15	16
243	18	63	33	27	34	50	50
244	35	37	43	43	45	42	55
245	14	14	70	23	22	16	17
246	12	54	21	31	21	27	16
247	61	52	31	31	77	83	75
248	20	23	21	32	33	28	25
249	62	10	31	31	31	84	19
252	12	19	21	22	25	24	19
256	66	21	25	22	31	87	19
258	12	10	21	22	25	63	79
259	13	11	22	23	22	16	80
261	20	69	25	22	83	90	81
262	68	65	69	71	76	81	82
263	68	70	69	72	84	81	74
264	69	2	1	2	8	2	1
265	70	71	74	73	85	91	83
266	71	72	75	74	86	92	84
267	72	73	76	75	87	93	85
269	1	74	1	6	8	7	2
270	5	4	11	76	15	9	9
271	4	2	10	2	2	5	87
272	1	5	1	2	5	3	1
273	73	37	43	43	68	42	43
274	74	75	77	77	89	94	88
275	35	37	43	43	45	95	55
276	64	67	72	78	90	96	89
277	64	76	72	79	91	86	89
278	75	67	72	78	90	86	89
279	64	76	72	79	90	86	89
280	64	67	78	79	90	86	77
281	76	77	79	80	53	97	90
282	11	31	20	21	54	52	91
283	77	8	23	81	92	17	92
284	78	78	80	82	93	98	93
285	22	24	29	29	94	99	26
286	24	27	34	36	35	100	29
287	79	13	53	25	24	101	42
288	1	79	1	2	5	2	10
289	12	10	81	83	49	83	16
290	80	32	39	32	21	34	19
291	9	80	82	84	95	102	94
292	12	32	25	22	25	103	16
293	12	21	25	22	96	19	19
294	81	81	83	85	97	32	95
295	12	10	21	22	25	24	16
296	29	21	39	22	25	104	19
297	39	19	25	22	25	15	16
298	12	10	21	22	25	26	16
299	29	10	25	22	21	28	96
300	29	21	21	22	25	28	96
301	12	21	84	22	25	28	16
302	62	41	85	48	21	28	16
303	27	82	33	37	34	21	27
304	29	10	31	22	25	28	19
305	12	10	85	22	25	105	19
306	78	83	86	84	98	106	97
307	12	21	25	22	99	26	19
308	68	65	87	86	100	81	74
309	12	84	88	87	25	15	16
310	12	41	25	32	101	90	16
311	29	10	89	22	21	15	16
312	20	85	21	22	21	28	81
313	82	41	90	83	21	107	98
314	12	10	31	22	21	83	75
315	83	41	91	22	102	19	16
316	58	86	92	88	73	108	99
317	84	51	93	89	103	109	100
318	41	30	34	36	104	30	101
319	12	87	21	22	21	110	16
320	9	17	94	40	18	111	22
321	80	32	39	32	105	34	19
322	12	88	21	22	25	19	16
323	85	89	93	40	29	112	102
324	12	23	21	22	25	28	81
325	1	2	1	2	5	2	103
326	49	17	95	40	18	58	104
327	28	90	38	21	40	14	33
328	29	21	84	22	25	28	96
329	12	21	25	22	21	26	105
330	12	10	39	31	25	103	19
331	12	21	88	22	83	28	79
332	18	91	33	90	34	38	106
333	12	84	25	22	96	84	16
334	22	24	32	91	30	23	107
335	86	41	31	83	31	104	16
336	62	92	31	22	21	84	19
337	34	35	96	47	70	113	108
338	39	19	21	22	25	15	19
339	29	21	25	22	25	103	96
340	12	19	25	22	25	24	16
341	62	41	97	31	49	40	19
342	12	10	25	92	25	28	16
343	12	10	21	22	31	24	16
344	12	41	85	22	25	114	81
345	12	93	39	22	21	28	16
346	12	85	21	22	21	28	81
347	9	94	55	40	29	111	109
348	12	10	98	22	25	34	16
349	82	95	31	31	106	104	81
350	12	41	31	48	107	115	75
351	12	41	31	48	25	116	16
352	78	96	99	39	108	117	110
353	87	35	46	93	70	118	111
354	12	21	21	22	25	28	96
355	88	97	100	94	109	119	112
356	89	98	101	68	110	120	113
357	68	65	69	72	84	81	74
358	90	41	85	31	111	121	114
359	91	41	102	95	62	122	81
360	12	41	103	96	62	123	19
361	20	23	21	22	25	28	96
362	34	35	42	47	112	124	115
363	13	11	22	23	22	125	17
364	13	99	22	23	22	16	17
365	12	10	21	22	21	71	116
366	12	19	21	22	25	34	16
367	12	10	25	22	25	34	96
368	21	100	104	30	75	25	117
369	29	32	25	31	25	28	19
370	12	41	39	31	25	104	16
371	12	10	25	22	25	126	19
372	12	10	25	22	25	114	16
373	12	10	21	22	31	24	19
374	29	101	39	32	21	34	16
375	12	21	85	22	25	127	118
376	12	10	105	22	31	24	16
377	30	51	60	97	18	22	119
378	19	102	32	29	30	23	23
379	12	10	25	22	113	110	19
380	12	10	25	22	25	34	16
381	80	10	25	22	25	114	16
382	92	92	88	22	25	128	81
383	12	41	21	22	25	19	19
384	72	103	76	75	87	129	120
385	12	10	25	22	25	15	96
386	29	10	21	22	25	28	19
387	93	104	106	98	114	130	121
388	20	32	85	32	25	28	79
389	80	10	107	31	111	83	16
390	12	21	25	22	31	131	19
391	14	14	22	99	22	16	17
392	12	93	39	22	25	24	16
393	94	13	24	38	24	132	122
394	61	52	31	31	115	60	19
395	12	23	25	32	25	28	96
396	64	76	78	78	90	86	77
398	95	9	38	21	54	14	123
399	26	29	36	35	37	32	124
405	47	13	53	55	24	56	56
407	24	36	34	36	38	100	29
408	24	27	49	36	104	30	29
410	37	38	44	101	46	43	45
411	101	35	108	42	70	70	68
412	1	2	109	2	5	2	10
413	1	2	110	2	5	2	10
414	74	108	77	102	89	94	88
415	12	54	25	31	21	27	127
416	102	109	31	95	62	60	75
417	29	32	25	31	25	28	128
418	29	21	25	22	25	134	19
419	12	21	84	103	118	103	16
420	12	10	25	22	31	103	16
421	12	23	21	32	33	135	25
422	12	21	25	32	113	19	16
423	12	10	21	92	25	134	19
424	12	10	25	22	31	24	16
425	60	65	69	67	76	81	129
426	12	10	21	92	25	28	19
427	12	23	21	22	25	90	19
428	80	21	21	22	25	103	81
431	9	33	112	82	120	138	132
432	76	77	79	80	53	139	90
433	85	78	60	28	121	35	22
434	81	29	83	105	97	32	133
435	81	29	83	106	97	140	41
436	34	35	42	42	112	124	115
437	12	10	25	32	25	28	96
438	21	20	113	30	75	25	134
439	12	10	21	22	25	19	81
440	104	104	114	98	122	141	121
441	105	110	115	107	123	142	135
442	19	24	32	29	30	23	23
443	49	55	60	28	18	143	64
444	106	11	22	23	22	16	17
445	107	59	116	108	27	69	67
446	57	50	54	56	72	73	57
447	17	15	26	26	124	20	136
448	17	15	117	26	27	20	136
449	72	73	76	75	87	144	85
450	72	103	76	75	87	144	85
451	72	103	76	75	87	93	85
452	20	10	21	22	31	24	19
453	12	10	25	22	21	145	16
454	12	41	31	22	25	146	96
455	29	10	85	96	62	115	96
456	108	35	42	42	125	124	68
457	101	111	118	93	112	147	137
458	109	35	46	42	48	148	68
459	34	112	111	63	70	70	138
460	110	113	119	109	126	149	139
461	109	111	120	110	48	150	140
462	17	15	26	26	27	20	136
463	111	111	42	42	127	70	141
464	110	114	121	109	126	149	139
465	57	50	54	56	128	73	57
466	17	15	26	26	27	59	20
467	13	14	122	23	22	16	17
468	72	103	76	75	87	151	142
469	50	41	90	31	21	134	19
470	112	52	76	31	21	152	143
471	109	111	46	111	112	153	137
472	110	114	119	109	126	149	144
473	12	19	25	22	25	19	16
474	12	41	31	32	111	27	16
475	72	73	76	75	129	151	145
476	20	21	85	22	25	34	16
477	12	10	31	31	130	19	75
478	12	10	85	32	130	154	75
479	113	41	102	112	106	60	146
480	14	14	123	23	22	16	17
481	12	52	124	113	107	115	16
482	12	41	25	22	25	60	147
483	12	10	85	48	130	28	19
484	62	10	31	31	21	104	81
485	72	73	76	75	87	144	145
486	50	41	125	83	62	60	81
487	114	20	30	30	32	25	148
488	114	20	68	30	75	25	69
489	85	17	93	40	131	111	149
490	9	33	112	82	132	155	150
491	9	17	94	114	18	156	151
492	115	8	23	115	65	157	14
493	9	89	95	39	18	111	152
494	10	8	19	81	133	158	14
495	29	10	31	31	134	123	16
496	12	54	81	31	111	27	75
497	42	37	43	43	45	51	55
498	12	52	39	31	107	159	81
499	102	115	85	116	135	160	146
500	12	10	21	22	25	161	96
501	12	116	126	117	136	162	153
502	68	65	69	72	84	81	82
503	68	65	69	118	84	81	74
504	68	65	69	119	137	81	74
505	68	65	127	118	84	81	82
506	68	65	87	120	100	81	74
507	60	65	69	67	138	81	74
508	68	65	69	121	84	81	74
509	68	65	69	122	84	81	74
510	68	65	128	122	76	81	82
511	116	117	129	123	139	163	154
512	117	118	130	124	140	164	155
514	32	34	41	41	58	37	37
515	119	48	131	41	58	37	71
516	120	119	132	127	142	165	157
517	121	56	106	59	64	141	65
518	26	29	36	35	143	32	158
519	24	27	49	36	38	166	159
520	122	29	133	106	97	167	160
521	81	29	83	106	97	140	161
522	121	56	61	59	64	66	65
523	26	29	36	35	37	168	124
524	123	13	53	128	24	169	162
525	16	13	24	25	24	170	56
526	16	120	134	25	24	49	163
527	16	13	24	38	24	49	42
528	104	104	106	98	53	130	164
529	12	10	135	22	31	28	165
530	72	103	76	75	87	144	145
531	35	37	43	43	45	42	166
532	9	51	93	129	18	22	167
533	1	121	1	2	5	6	1
535	60	65	136	122	76	81	82
536	104	104	106	98	145	172	168
537	58	86	137	130	144	171	99
538	20	88	21	22	25	19	16
539	16	13	53	38	24	169	163
540	1	2	1	131	8	6	1
541	124	48	138	132	146	173	169
543	4	2	1	2	8	6	1
545	18	25	33	27	34	29	50
546	75	67	78	78	90	86	89
547	18	16	33	27	147	29	170
548	18	25	33	27	63	174	106
549	23	122	56	90	63	61	50
550	23	63	33	27	148	21	27
551	113	41	102	22	106	122	146
560	13	11	22	23	22	16	174
561	113	41	90	83	21	107	98
562	29	10	25	22	25	104	175
563	127	10	25	32	25	28	96
564	80	32	39	32	25	19	176
565	23	25	33	27	34	21	177
566	12	10	21	22	134	116	19
567	12	84	39	22	113	71	16
568	12	19	21	22	25	34	19
569	62	41	90	48	130	84	178
570	128	127	141	134	150	177	81
571	72	103	76	75	151	144	145
572	37	38	142	135	46	178	179
576	101	35	96	42	70	70	68
603	12	21	25	22	31	24	16
604	12	21	21	22	134	145	16
605	24	27	153	36	160	190	185
606	116	117	154	94	161	191	186
607	136	133	155	141	162	192	187
608	113	41	102	22	21	193	188
609	12	21	21	22	25	103	19
610	12	10	25	22	25	40	19
611	29	21	25	22	25	28	19
612	137	119	92	142	163	108	189
613	20	21	156	22	25	194	16
614	12	10	85	22	21	195	19
615	12	41	25	22	113	134	81
616	114	20	30	30	71	196	69
617	138	98	101	68	110	120	113
618	10	12	157	143	164	158	92
619	12	41	85	22	25	19	19
620	139	134	158	144	165	197	190
621	9	134	159	145	166	197	191
622	9	134	160	144	165	198	192
623	15	135	161	81	167	158	14
624	9	134	158	144	166	197	193
625	140	134	162	146	168	198	194
626	9	136	163	82	132	199	150
628	75	76	72	78	90	86	77
633	104	138	106	148	169	200	196
634	20	21	25	22	25	194	16
635	12	41	85	31	111	60	16
637	12	10	31	83	31	84	19
638	12	41	107	31	49	104	16
640	12	10	31	31	130	83	19
644	12	21	39	31	130	115	81
645	12	41	31	31	107	107	16
646	142	142	166	149	62	204	197
647	12	10	85	22	113	110	16
648	12	21	21	22	171	28	19
649	29	21	31	22	25	24	96
650	12	93	39	22	25	24	19
651	143	14	22	23	22	16	17
652	92	127	88	150	21	128	81
653	12	10	25	22	31	26	198
654	12	10	21	22	25	28	81
655	12	143	85	31	172	123	81
656	12	52	124	113	107	104	16
657	12	52	107	31	49	205	16
658	12	52	31	31	21	206	199
660	12	41	107	31	49	104	98
661	12	41	102	113	111	60	81
662	91	41	167	95	62	122	81
663	66	21	25	22	31	26	19
665	68	65	128	121	84	81	74
666	68	65	69	122	76	81	82
667	80	32	39	32	21	34	201
668	144	144	168	151	99	207	202
669	72	73	76	75	87	93	142
670	20	87	21	22	173	19	16
671	12	145	21	31	21	27	16
672	21	20	30	30	75	208	72
673	68	65	128	118	100	81	82
674	12	10	25	22	25	28	96
675	12	19	25	22	25	34	16
676	145	57	169	152	19	209	14
677	9	89	28	39	18	156	203
678	12	10	21	22	174	34	16
679	12	10	170	22	31	26	28
680	9	89	60	89	18	111	204
682	12	23	31	22	25	145	16
683	29	21	25	22	175	103	96
684	29	10	25	22	25	28	96
685	12	21	21	22	21	116	19
686	85	17	93	28	18	111	205
687	146	31	38	21	54	210	91
688	12	23	25	22	25	28	19
689	20	85	171	22	21	28	81
690	29	10	172	22	25	28	19
691	12	21	25	22	21	15	19
692	12	21	85	22	134	110	16
694	12	10	25	87	25	71	16
695	147	146	32	29	30	23	206
696	19	24	32	91	30	99	107
697	19	18	32	29	30	99	207
698	19	24	57	29	30	23	73
699	86	41	31	83	31	104	208
700	86	41	172	83	31	212	16
701	148	23	21	22	25	28	81
702	149	8	173	81	65	158	209
703	19	18	57	29	56	23	73
704	150	29	83	106	97	140	95
706	151	38	142	135	46	178	179
707	12	41	31	22	107	104	146
708	12	23	21	32	176	28	25
709	13	11	22	23	22	16	210
710	12	10	25	22	177	19	19
711	152	147	174	153	178	213	211
712	12	54	25	31	111	27	81
713	153	114	119	109	126	214	212
714	152	147	174	154	178	213	211
715	152	147	174	154	178	213	213
716	102	109	175	22	179	215	146
717	154	119	132	127	142	165	157
718	102	115	31	95	49	122	48
719	50	21	31	31	21	123	16
720	20	10	21	22	21	15	16
721	12	41	31	31	130	216	19
722	152	147	174	155	180	213	211
723	102	148	31	22	135	122	75
724	29	21	25	22	31	19	16
725	12	10	31	32	130	154	75
726	12	10	81	31	21	83	16
727	104	138	106	98	181	200	214
728	12	149	31	32	49	107	96
729	62	10	31	31	182	84	19
730	22	18	32	29	30	99	107
731	11	9	20	21	54	52	215
732	68	65	69	118	76	81	82
733	155	150	92	156	183	171	99
734	20	85	21	22	21	28	16
735	12	19	21	22	31	24	16
736	156	18	57	157	30	99	23
737	12	151	88	87	25	217	16
738	12	21	21	22	25	15	19
740	79	13	24	38	24	219	163
741	19	24	32	29	185	99	23
742	19	18	32	29	30	23	23
743	39	41	124	159	130	27	217
744	19	24	57	29	30	23	23
745	158	13	53	38	24	132	218
747	147	18	32	29	30	23	206
748	16	13	53	25	24	219	42
749	79	13	53	25	24	220	56
750	78	78	177	19	186	106	97
751	24	27	34	36	38	30	32
752	22	18	32	29	30	79	26
753	22	24	57	29	30	221	107
754	159	41	31	22	107	104	19
755	30	78	60	39	18	65	219
756	22	24	29	29	56	79	73
757	160	24	29	29	56	79	73
758	161	153	178	160	68	222	220
759	35	37	43	43	45	42	221
760	12	109	85	95	135	122	146
761	127	10	25	32	25	223	96
762	12	52	31	83	21	205	81
763	102	109	85	95	187	215	48
764	162	31	20	21	54	14	222
765	12	52	25	31	130	27	81
766	152	147	174	155	178	213	223
767	102	109	31	95	49	122	146
768	16	154	53	38	24	49	42
769	12	52	31	31	107	122	81
770	102	155	85	161	188	224	224
771	78	78	80	82	189	225	93
773	12	92	31	22	190	28	16
774	12	85	21	22	21	28	16
775	12	21	21	22	25	19	16
776	11	9	38	21	54	52	222
777	12	23	25	32	25	15	96
778	12	22	39	22	25	19	16
779	12	32	25	31	113	28	225
780	12	10	21	22	25	24	19
781	20	19	21	22	31	15	16
782	113	10	102	22	191	60	146
783	12	19	21	22	25	24	226
784	163	156	179	160	68	226	55
785	161	157	180	162	192	227	227
786	39	19	21	22	193	15	16
