ST	aroE	atpD	gmk	guaA	lepA	sodA	tly	CAMP2	clonal_complex
48	1	3	1	2	1	1	1	1	Singleton (type IA1)
49	1	1	1	9	1	1	1	1	CC1 (type IA1)
50	12	1	1	3	1	1	1	1	CC1 (type IA1)
51	1	1	9	4	1	11	8	25	CC5 (type IB)
52	1	1	1	3	8	1	8	6	CC4 (type IA1)
53	1	1	9	4	1	4	8	6	CC5 (type IB) (sub-group founder)
54	1	1	1	3	1	13	18	1	Singleton (type IA1)
55	1	12	1	3	1	1	8	6	CC4 (type IA1)
56	1	1	12	4	1	4	8	6	CC5 (type IB)
57	1	1	1	18	1	4	8	2	CC2 (type IA2)
58	2	4	2	4	2	3	10	26	CC6 (type II)
59	13	4	2	4	2	3	10	10	CC6 (type II)
60	3	4	2	4	2	3	10	10	CC6 (type II)
61	1	4	2	4	2	3	10	10	CC6 (type II)
62	3	4	2	10	4	6	10	18	Singleton (type II)
63	14	4	2	4	4	6	10	18	CC30 (type II)
64	6	4	2	4	4	6	19	12	Current co-founder of CC64-277 (type II)
65	17	4	2	4	2	3	10	19	CC6 (type II)
66	17	4	2	4	2	3	10	11	CC6 (type II)
67	17	4	2	4	4	6	10	17	CC30 (type II)
68	17	4	2	4	4	6	10	18	CC30 (type II)
69	17	4	2	4	4	6	10	12	CC30 (type II) (sub-group founder)
70	9	1	4	8	6	8	14	14	CC107 (type IC)
71	18	4	2	4	2	6	20	12	Current co-founder of CC71-113 (type II)
72	17	4	2	4	2	12	10	12	CC30 (type II) (sub-group founder)
73	7	6	3	11	5	9	13	16	CC77 (type III)
74	7	6	3	7	5	9	13	27	CC77 (type III)
75	7	6	3	7	5	9	12	23	CC77 (type III)
76	7	6	3	7	10	9	12	16	CC77 (type III)
77	7	6	3	7	5	9	12	16	Founder CC77 (type III)
78	1	1	1	4	1	4	8	29	CC5 (type IB)
79	17	4	2	4	2	12	10	28	CC30 (type II)
80	1	11	1	3	1	1	8	6	CC4 (type IA1)
81	7	6	7	7	5	9	12	16	CC77 (type III)
82	1	1	1	3	1	1	21	2	CC3 (type IA1)
83	1	1	1	3	1	1	8	30	CC4 (type IA1)
84	19	1	1	4	1	4	8	21	CC5 (type IB)
85	9	1	5	8	6	8	14	6	CC107 (type IC)
86	1	1	1	3	7	1	22	2	Singleton (type IA1)
87	1	1	11	3	1	1	1	1	CC1 (type IA1)
88	1	1	1	3	1	1	17	33	Singleton (type IA1) (differs from camp2 allele 1 as a sole result of slipped strand mispairing)
89	1	1	1	4	1	4	8	1	CC5 (type IB)
90	7	6	3	7	5	7	23	32	Singleton (type III)
91	1	1	1	5	1	4	9	2	CC2 (type IA2)
92	1	1	1	15	9	13	2	2	Singleton (type IA1)
93	1	1	1	3	8	1	1	1	CC1 (type IA1)
94	1	1	1	10	1	1	8	6	CC4 (type IA1) (distinct clustering on ME tree with ST160 and ST161).
95	1	1	1	9	9	1	8	6	Singleton (type IA1) (distinct clustering on ME tree)
96	15	4	2	4	2	3	24	10	CC6 (type II)
97	1	14	1	3	1	1	25	1	Singleton (type IA1)
98	1	1	1	4	1	4	8	34	CC5 (type IB)
99	1	1	1	4	1	4	26	6	CC5 (type IB)
100	20	4	2	4	2	6	10	12	CC30 (type II)
101	1	1	1	3	1	14	1	1	CC1 (type IA1)
102	1	1	1	3	1	14	8	6	CC4 (type IA1)
103	1	15	1	3	1	1	1	1	CC1 (type IA1)
104	21	1	1	3	1	1	1	6	CC1 (type IA1)
105	1	1	1	3	1	1	1	6	ST linking CC1 (type IA1) & CC4 (type IA1)
106	15	4	2	19	2	3	10	10	CC6 (type II)
107	9	1	4	8	6	8	14	6	Founder for CC107 (type IC)
108	17	4	2	20	2	12	10	12	CC30 (type II)
109	17	4	2	4	2	15	10	12	CC30 (type II)
110	7	6	3	7	5	9	12	32	CC77 (type III)
111	1	1	1	3	1	4	8	2	CC2 (type IA2)
112	1	1	1	3	1	1	27	1	CC1 (type IA1)
113	18	4	2	4	2	6	20	35	Current co-founder of CC71-113 (type II)
114	7	6	3	7	5	16	12	16	CC77 (type III)
115	1	1	1	3	1	1	22	2	CC3 (type IA1)
116	1	1	1	3	1	1	1	36	CC1 (type IA1)
117	1	1	1	3	1	1	28	1	CC1 (type IA1)
118	1	1	1	4	1	4	29	6	CC5 (type IB)
119	1	1	13	4	1	4	8	6	CC5 (type IB)
120	1	1	1	3	1	17	2	2	CC3 (type IA1)
121	17	4	2	4	2	3	11	11	CC6 (type II)
122	1	1	1	3	1	13	1	1	CC1 (type IA1) (sub-group founder)
123	7	6	3	7	5	18	30	37	Singleton (type III)
124	1	1	1	5	1	4	31	2	CC2 (type IA2)
125	1	1	1	5	11	4	31	2	CC2 (type IA2)
126	1	1	1	3	12	1	1	1	CC1 (type IA1)
127	5	1	1	3	1	19	1	1	CC1 (type IA1)
128	17	4	2	4	2	3	32	10	CC6 (type II)
129	1	1	1	21	1	1	1	1	CC1 (type IA1)
130	17	4	14	16	2	12	10	39	Singleton (type II)
131	1	1	1	3	1	1	1	38	CC1 (type IA1)
132	17	4	2	4	2	3	10	40	CC6 (type II)
133	1	1	1	3	1	1	8	41	CC4 (type IA1)
134	17	4	2	4	2	1	10	12	ST linking CC6 (type II) & CC30 (type II) with ST191
135	23	4	2	4	2	3	10	10	CC6 (type II)
136	17	4	15	4	4	6	10	12	CC30 (type II)
137	20	4	2	4	2	6	10	42	CC30 (type II) (sub-group founder)
138	1	1	16	5	1	4	8	2	CC2 (type IA2)
139	17	4	2	16	2	20	10	12	CC30 (type II)
140	1	16	1	3	1	1	8	6	CC4 (type IA1)
141	24	17	4	8	6	8	14	6	Singleton (type IC)
142	1	1	17	3	1	1	1	43	Singleton (type IA1)
143	1	1	1	3	1	21	1	1	CC1 (type IA1)
144	7	6	3	7	5	9	12	37	CC77 (type III)
145	1	1	1	4	1	4	33	6	CC5 (type IB)
146	1	1	1	4	13	4	8	44	Singleton (type IB)
147	1	1	1	4	1	4	34	6	CC5 (type IB)
148	1	1	1	3	1	1	35	6	CC4 (type IA1)
149	17	4	2	4	2	6	10	45	CC30 (type II)
150	17	4	2	4	2	3	36	10	CC6 (type II)
151	1	1	1	3	1	1	14	2	CC3 (type IA1)
152	1	1	1	4	14	4	8	6	CC5 (type IB)
153	17	4	2	4	4	6	10	46	CC30 (type II)
154	1	1	9	4	15	4	8	6	CC5 (type IB)
155	1	1	1	3	1	1	37	1	CC1 (type IA1)
156	1	1	1	3	1	1	38	6	CC4 (type IA1)
157	25	1	1	4	1	4	8	6	CC5 (type IB)
158	17	18	2	4	2	12	10	47	Singleton (type II)
159	1	1	1	3	1	4	1	1	CC1 (type IA1) (atypical clustering on ME tree with ST19 and ST195).
160	1	1	1	22	1	22	8	6	CC4 (type IA1) (distinct clustering on ME tree with ST94 and ST161).
161	1	1	1	22	1	1	8	6	CC4 (type IA1) (distinct clustering on ME tree with ST94 and ST160).
162	1	1	1	1	1	1	1	1	CC1 (type IA1)
163	1	12	1	13	3	4	8	2	CC2 (type IA2)
164	1	12	1	14	11	14	22	2	CC172 (type IA1)
165	1	12	9	4	11	4	8	6	Current co-founder of CC165-198 (type IB)
166	1	1	1	13	11	5	8	7	CC22-173 (type IA2)
167	1	12	1	13	1	4	8	2	CC2 (type IA2) (sub-group founder)
168	1	1	1	4	1	4	8	56	CC5 (type IB)
169	1	12	1	4	11	4	8	6	CC165-198
170	1	12	1	13	11	4	8	2	CC2 (type IA2)
171	1	1	1	13	11	4	8	2	CC2 (type IA2)
172	1	1	1	14	11	14	22	2	Founder CC172 (type IA2)
173	1	1	1	13	3	5	8	7	Current co-founder of CC22-173 (type IA2)
174	28	1	1	4	1	4	8	6	CC5 (type IB)
175	1	1	1	14	1	14	1	1	
176	1	1	1	4	1	24	8	6	CC5 (type IB)
177	10	12	1	13	1	4	8	2	CC2 (type IA2)
178	17	9	8	4	2	3	10	10	
179	1	1	1	4	1	4	8	57	CC5 (type IB)
180	17	4	2	4	2	6	10	58	CC30 (type II)
181	8	12	1	13	11	4	8	2	CC2 (type IA2)
182	1	12	1	14	1	14	22	2	CC172 (type IA1)
183	1	1	1	14	1	14	22	2	CC172 (type IA1)
184	1	1	1	3	1	25	8	6	CC4 (type IA1)
185	8	1	1	13	11	4	8	2	CC2 (type IA2)
186	29	1	1	3	1	1	8	6	CC4 (type IA1)
187	1	1	1	14	11	22	22	2	CC172 (type IA1)
188	20	4	2	4	2	6	44	42	CC30 (type II)
189	1	12	1	5	3	5	8	7	CC22-173 (type IA2)
190	10	12	1	13	3	5	8	7	Singleton (type IA2)
191	17	4	2	4	2	1	10	10	ST linking CC6 (type II) & CC30 (type II) with ST134
192	1	1	9	4	1	4	8	25	CC5 (type IB)
193	1	1	20	4	1	4	8	6	CC5 (type IB)
194	30	20	21	3	16	4	8	6	Singleton (atypical type I to be phylotyped)
195	16	1	1	3	1	4	8	6	Current co-founder of CC19-195 (type IA) (distinct clustering on ME tree with ST19 and ST159).
196	1	1	1	24	1	4	8	6	CC5 (type IB)
197	1	1	1	14	1	14	2	2	
198	1	12	9	13	11	4	8	6	Current co-founder of CC165-198
199	1	1	1	14	11	4	8	2	CC2 (type IA2)
200	1	1	1	13	11	14	22	2	CC172 (type IA1)
201	1	1	1	4	3	4	8	59	Singleton (type IB)
202	1	1	1	14	1	4	8	2	CC2 (type IA2) (sub-group founder)
203	1	1	1	4	1	4	8	2	ST linking CC5 (type IB) & CC2 (type IA2)
204	20	4	2	4	2	6	10	60	CC30 (type II)
205	1	12	1	14	1	4	8	2	CC2 (type IA2)
206	1	1	1	3	1	26	1	1	CC1 (type IA1)
207	17	9	2	4	2	3	45	10	CC6 (type II)
208	1	1	1	3	1	1	2	62	CC3 (type IA1)
209	1	1	1	3	17	1	2	2	CC3 (type IA1)
210	1	1	1	13	1	5	8	7	CC22-173 (type IA2)
211	1	12	9	13	1	4	8	6	CC165-198 (type IA2)
212	1	1	1	14	11	14	1	1	Current co-founder of CC212-215 (type IA1)
213	8	12	1	14	1	14	22	2	CC172 (type IA1)
214	8	12	1	13	1	4	8	2	CC2 (type IA2)
215	1	12	1	14	11	14	1	1	Current co-founder of CC212-215 (type IA1)
216	1	1	1	5	11	4	8	2	CC2 (type IA2)
217	8	1	1	13	1	4	8	2	CC2 (type IA2)
218	1	12	1	4	3	5	8	7	CC22-173 (type IB)
219	31	1	1	3	1	1	1	1	CC1 (type IA1)
220	20	21	2	4	2	6	10	42	CC30 (type II)
221	17	22	2	4	2	3	10	10	CC6 (type II)
222	1	1	1	3	18	1	8	6	CC4 (type IA1)
223	1	1	1	3	11	14	22	2	CC172 (type IA1)
224	1	1	1	3	1	1	46	1	CC1 (type IA1)
225	1	1	1	3	19	27	1	1	Singleton (type IA1)
226	20	4	2	4	2	28	10	42	CC30 (type II)
227	1	1	1	3	1	29	1	1	CC1 (type IA1)
228	32	1	1	4	1	4	8	6	CC5 (type IB)
229	1	1	1	4	1	30	8	6	CC5 (type IB)
230	33	1	1	3	1	1	2	2	CC3 (type IA1)
231	17	4	2	4	2	6	47	12	CC30 (type II)
232	1	1	1	5	1	4	48	2	CC2 (type IA2)
233	1	1	1	5	1	4	49	2	CC2 (type IA2)
234	1	1	1	13	1	4	31	2	
235	1	1	1	3	1	1	50	1	CC1 (type IA1)
236	1	1	1	3	1	13	51	1	CC1 (type IA1)
237	1	1	1	3	1	31	1	1	CC1 (type IA1)
238	34	1	1	3	20	1	1	1	Singleton (type IA1)
239	1	1	1	13	1	4	1	1	
240	1	1	1	13	1	14	1	1	
241	1	1	1	4	1	32	8	6	CC5 (type IB)
242	17	4	2	4	2	3	10	26	CC6 (type II)
243	1	1	1	3	1	1	2	51	CC3 (type IA1)
244	15	4	2	4	2	3	52	10	CC6 (type II)
245	1	1	1	14	1	14	1	6	
246	17	4	2	16	2	12	10	35	CC30 (type II)
247	20	4	2	25	2	6	10	42	CC30 (type II)
248	1	1	1	4	1	33	8	6	CC5 (type IB)
249	1	1	1	3	1	13	53	1	CC1 (type IA1)
250	35	1	1	3	1	1	2	2	CC3 (type IA1)
251	1	1	1	14	16	14	1	1	
252	1	1	1	13	1	4	8	6	
253	1	1	1	3	1	1	54	1	CC1 (type IA1)
254	1	1	1	4	1	4	55	21	CC5 (type IB)
255	15	4	2	4	2	3	10	63	CC6 (type II)
256	1	1	1	26	1	1	2	2	CC3 (type IA1)
257	36	23	2	4	21	3	56	64	Singleton (type II)
258	1	1	1	5	1	34	8	2	CC2 (type IA2)
259	1	1	1	13	1	5	8	2	
260	1	1	22	3	1	1	1	1	CC1 (type IA1)
261	1	1	1	3	23	1	1	1	
262	1	1	1	5	1	4	57	2	CC2 (type IA2)
263	1	1	1	3	1	1	8	67	
264	38	1	1	3	1	1	1	1	
265	1	1	1	27	1	1	8	6	CC4 (type IA1)
266	1	1	1	3	1	35	1	1	CC1 (type IA1)
267	1	1	1	3	1	1	58	1	CC1 (type IA1)
268	37	4	2	4	4	6	19	12	CC64-277 common node (type II)
269	1	1	23	3	1	1	1	1	
270	1	1	1	5	1	1	8	7	
271	1	1	1	30	1	4	8	2	
272	9	1	4	8	6	36	14	6	CC107 (type IC)
273	17	4	2	4	2	6	10	65	CC30 (type II)
274	1	1	1	31	1	14	1	1	
275	1	1	1	3	22	1	59	2	Singleton (type IA1)
276	1	1	1	3	1	37	1	1	CC1 (type IA1)
277	37	4	2	4	4	6	19	66	Current co-founder of CC64-277 (type II)
278	39	4	1	4	4	39	10	12	
279	1	1	1	28	1	1	59	2	Singleton (type IA2)
280	1	1	1	5	1	5	8	7	CC22-173 (type IA2)
281	1	1	1	9	1	1	22	6	
282	1	1	1	5	1	4	60	2	CC2 (type IA2)
283	1	1	1	3	1	1	59	6	
284	1	1	1	3	1	38	1	1	CC1 (type IA1)
285	1	1	1	5	1	4	8	6	
286	1	1	1	3	1	1	22	1	
