ST	aspA	atpA	glnA	gltA	glyA	pgm	tkt	clonal_complex
84	20	25	7	2	102	32	2	
85	20	25	7	2	37	32	2	
86	20	27	36	48	109	81	55	
87	20	39	34	19	104	76	51	
88	20	39	4	11	110	63	56	
89	20	39	7	11	187	87	55	
90	20	39	19	15	133	87	58	
91	20	39	40	19	134	102	2	
92	20	57	42	30	140	107	14	
93	21	19	19	22	30	24	21	
94	21	22	21	24	48	27	25	
95	22	7	1	14	31	25	22	
96	23	5	24	2	124	35	20	
97	23	5	24	44	80	35	55	
98	23	5	24	2	81	63	20	
99	23	7	1	15	89	69	18	
100	23	7	11	44	5	90	62	
101	23	7	41	19	132	101	55	
102	23	7	40	15	175	26	58	
103	23	7	7	15	178	40	58	
104	23	7	40	15	181	102	58	
105	23	41	33	13	129	70	31	
106	23	44	24	2	170	62	20	
107	23	44	24	2	137	62	20	
108	23	44	24	15	124	55	20	
109	24	23	22	25	34	28	26	
110	25	3	1	7	35	29	27	
111	25	31	26	35	52	47	36	
112	26	11	19	12	153	114	75	
113	26	24	17	20	67	22	28	
114	27	25	7	2	102	31	29	
115	27	25	7	2	15	31	29	
116	28	5	7	7	167	7	6	
117	28	5	7	7	120	7	6	
118	29	28	26	29	42	38	34	
119	30	5	5	30	120	35	4	
120	30	5	5	30	120	83	58	
121	30	5	5	30	125	35	4	
122	30	5	5	30	36	35	4	
123	30	5	9	19	180	101	55	
124	30	5	5	30	44	35	4	
125	31	29	2	31	65	41	35	
126	31	43	35	15	107	79	53	
127	31	43	35	50	108	80	54	
128	32	30	11	32	161	42	20	
129	33	31	27	33	22	43	4	
130	34	12	2	34	58	46	38	
131	35	11	2	35	59	47	36	
132	35	33	28	36	120	48	38	
133	35	33	28	36	170	48	38	
134	35	33	28	36	47	48	38	
135	35	33	19	20	62	48	38	
136	35	33	28	37	76	48	38	
137	36	3	29	37	87	22	4	
138	37	5	11	30	144	16	72	
139	37	5	11	17	127	16	40	
140	37	7	1	23	103	75	33	
141	37	23	26	12	187	65	10	
142	37	37	32	40	71	57	32	
143	38	3	24	63	162	59	45	
144	38	35	26	7	51	51	4	
145	39	5	1	34	107	109	38	
146	39	5	2	39	164	109	38	
147	39	7	17	2	53	52	41	
148	39	33	2	39	57	56	38	
149	39	41	30	46	99	72	40	
150	39	42	27	47	100	73	20	
151	40	36	3	38	54	53	38	
152	41	11	30	12	55	54	42	
153	42	25	7	52	65	86	14	
154	42	25	7	26	64	26	2	
155	43	3	2	42	74	59	45	
156	44	38	1	43	144	37	33	
157	44	38	1	12	88	67	33	
158	45	25	7	26	96	26	2	
159	45	25	7	26	98	26	14	
160	45	25	7	26	96	26	14	
161	46	2	19	6	25	24	11	
162	46	19	19	6	25	24	11	
163	47	7	2	44	83	37	47	
164	48	25	1	19	84	8	6	
165	49	3	29	37	87	66	4	
166	50	40	19	45	165	68	48	
167	50	40	19	12	173	68	48	
168	51	16	1	15	94	26	49	
169	52	39	11	19	98	58	9	
170	53	15	15	48	101	74	50	
171	54	14	33	15	105	77	4	
172	55	45	26	48	113	85	59	
173	55	60	26	40	154	79	76	
174	55	65	48	55	158	38	81	
175	56	2	11	23	114	37	20	
176	57	46	37	22	115	16	31	
177	58	41	1	15	116	70	6	
178	59	47	26	53	117	88	60	
179	60	15	15	54	183	89	61	
180	60	15	15	54	122	89	61	
181	61	48	21	24	119	27	25	
182	62	12	39	56	124	94	23	
183	62	12	7	56	124	96	23	
184	63	51	21	24	126	27	25	
185	64	52	30	17	128	20	66	
186	65	53	26	57	137	97	67	
187	66	12	40	15	130	98	58	
188	67	13	2	58	87	99	68	
189	68	54	2	59	131	100	69	
190	69	2	11	23	135	103	70	
191	70	56	29	19	120	105	6	
192	71	25	7	2	138	106	2	
193	71	25	7	2	102	106	2	
194	72	30	43	20	141	108	30	
195	73	2	11	44	146	111	40	
196	73	12	1	65	188	10	9	
197	74	8	1	60	147	112	73	
198	75	25	30	26	65	26	74	
199	76	61	26	61	155	115	77	
200	77	10	24	17	19	117	20	
201	78	64	47	48	157	97	80	
202	79	66	11	22	163	119	83	
203	80	4	9	12	120	126	4	
204	80	67	49	25	171	7	26	
205	81	69	26	66	182	124	86	
206	82	78	59	67	223	133	130	
207	83	70	52	68	249	134	97	
208	84	71	60	69	225	135	92	
209	85	72	53	70	248	128	93	
210	86	79	61	71	265	136	98	
211	88	81	63	72	230	138	100	
212	89	79	61	73	231	138	101	
213	90	82	61	74	271	139	102	
214	91	81	64	75	233	140	103	
215	93	84	66	73	235	142	105	
216	95	87	69	78	238	145	107	
217	96	78	70	72	252	146	108	
218	97	88	71	73	239	147	109	
219	98	89	83	104	240	148	110	
220	99	73	54	79	250	129	94	
221	99	73	58	79	281	129	94	
222	100	74	90	80	241	149	111	
223	100	74	90	80	252	149	111	
224	102	71	73	82	244	151	113	
225	103	91	75	72	254	153	114	
226	104	92	76	84	266	154	115	
227	105	82	77	74	267	155	116	
228	106	93	61	71	268	166	117	
229	107	81	62	85	269	156	118	
230	108	94	78	71	273	157	119	
231	109	75	55	86	275	130	95	
232	112	76	57	89	279	132	96	
233	113	71	82	95	291	165	127	
234	113	77	79	90	280	159	121	
235	114	88	76	91	284	160	122	
236	115	93	80	92	282	161	123	
237	116	95	99	93	289	162	124	
238	117	92	81	94	287	164	126	
239	125	86	68	77	237	144	106	
240	119	96	84	97	247	167	131	
241	119	96	84	98	247	168	90	
242	119	96	84	99	294	168	91	
243	73	104	1	101	295	171	137	
244	122	99	87	101	226	169	132	
245	122	100	87	102	222	169	132	
246	126	102	92	105	259	171	134	
247	127	103	93	106	257	172	135	
248	128	104	94	101	258	169	139	
249	129	106	96	101	262	174	134	
250	130	107	97	108	263	178	132	
251	131	108	100	101	296	175	132	
252	132	109	101	109	297	176	138	
253	133	110	102	101	298	177	137	
254	134	105	95	107	260	173	136	
255	135	111	91	110	255	179	142	
256	135	111	91	111	255	179	142	
257	136	112	95	112	261	180	141	
258	10	20	11	19	378	123	11	
259	37	5	11	30	120	16	72	
260	122	100	87	101	226	169	132	
261	123	101	88	103	227	169	132	
262	137	113	98	113	264	180	141	
263	119	96	84	99	294	167	91	
264	87	80	62	72	229	137	99	
265	92	83	65	76	232	141	104	
266	101	90	72	81	270	150	112	
267	14	49	26	55	144	92	13	
268	138	79	74	83	253	152	128	
269	110	85	67	87	276	158	120	
270	111	76	56	88	278	131	94	
271	108	93	65	71	285	163	125	
272	23	21	11	23	32	26	143	
273	119	96	84	97	247	167	157	
274	139	114	64	114	288	138	144	
275	140	115	103	115	302	181	145	
276	141	116	61	116	315	182	98	
277	142	117	61	117	317	183	146	
278	143	78	104	72	265	154	147	
279	144	78	105	74	318	184	148	
280	102	118	60	69	320	185	149	
281	145	71	106	80	322	186	150	
282	110	85	67	87	324	158	120	
283	101	119	107	118	326	187	97	
284	146	120	108	85	328	188	151	
285	110	85	67	87	330	158	120	
286	147	121	109	81	332	189	152	
287	93	84	110	119	334	190	153	
288	148	78	111	74	336	191	154	
289	140	115	70	115	302	181	155	
290	149	122	112	120	338	192	156	
291	94	85	67	121	236	143	129	
292	3	124	113	7	348	199	62	
293	4	4	4	4	148	214	89	
294	4	4	4	4	216	4	89	
295	4	4	4	4	346	4	89	
296	4	4	4	4	347	214	89	
297	4	4	51	126	341	211	89	
298	4	12	1	19	354	213	160	
299	4	39	51	125	340	125	52	
300	35	33	28	36	207	48	38	
301	37	5	24	17	360	220	40	
302	38	3	2	63	364	59	45	
303	150	4	1	122	370	194	52	
304	150	39	40	19	355	214	52	
305	153	4	40	125	345	211	140	
306	153	4	40	125	350	102	9	
307	160	125	26	60	349	200	73	
308	169	4	4	4	350	209	89	
309	170	66	26	15	154	215	162	
310	171	8	8	8	356	216	164	
311	177	12	1	23	368	214	159	
312	39	33	2	129	164	109	4	
313	178	127	117	93	374	222	116	
314	14	15	26	131	375	223	34	
315	23	7	40	19	346	40	58	
316	4	12	51	125	376	11	87	
317	37	23	1	30	377	55	55	
318	5	5	5	5	5	50	4	
319	18	4	5	17	379	58	165	
320	20	2	26	12	380	17	2	
321	20	39	11	19	134	102	2	
322	15	128	118	132	381	225	166	
323	10	20	20	19	382	123	11	
324	10	20	20	19	378	123	11	
325	179	81	119	133	383	226	167	
326	4	12	1	19	387	213	159	
327	3	134	113	2	412	199	62	
328	4	4	1	19	418	11	169	
329	4	4	40	19	414	11	87	
330	4	4	40	19	418	11	169	
331	4	4	44	128	408	211	163	
332	4	4	44	138	415	11	158	
333	4	4	51	126	341	221	89	
334	4	12	1	19	343	213	159	
335	4	39	51	125	65	126	87	
336	6	7	1	19	365	37	20	
337	15	10	11	19	70	102	20	
338	20	2	1	17	419	20	66	
339	20	2	1	137	416	20	165	
340	20	2	114	19	359	101	165	
341	20	4	40	19	214	228	169	
342	20	12	44	23	366	219	168	
343	20	34	5	19	365	37	20	
344	23	7	114	137	90	20	165	
345	43	41	1	19	358	20	170	
346	43	41	11	17	372	16	161	
347	150	4	1	122	353	194	52	
348	153	4	40	19	411	211	9	
349	153	4	40	138	410	11	158	
350	153	4	44	123	345	211	158	
351	153	136	51	125	413	125	52	
352	175	2	11	17	389	211	158	
353	175	2	11	19	176	101	10	
354	177	4	40	19	340	211	14	
355	177	39	40	127	351	63	158	
356	182	4	40	125	413	125	52	
357	183	135	1	12	417	102	160	
358	203	140	26	140	385	38	86	
359	48	25	41	19	440	102	2	
360	20	39	34	19	441	26	51	
361	5	39	11	141	442	7	37	
362	204	14	1	15	448	17	36	
363	72	141	34	17	445	229	18	
364	55	142	120	20	443	28	173	
365	173	30	121	15	444	230	174	
366	28	5	7	7	167	231	2	
367	153	4	11	11	177	102	11	
368	5	12	122	15	36	86	2	
369	30	34	9	30	144	35	175	
370	206	143	2	37	166	53	162	
371	14	49	26	55	449	102	176	
372	23	44	24	14	450	101	20	
373	205	144	123	55	447	233	177	
374	5	5	5	19	120	11	65	
375	20	25	7	2	354	32	2	
376	175	25	41	19	88	101	14	
377	208	2	26	142	455	39	19	
378	209	146	26	143	453	237	182	
379	73	12	1	9	120	10	179	
380	210	65	125	144	457	240	180	
381	20	34	9	5	120	239	2	
382	23	7	26	15	459	102	158	
383	203	24	126	145	452	235	181	
384	30	5	9	30	456	35	4	
385	5	5	5	15	461	238	2	
386	20	39	34	19	460	87	51	
387	20	12	11	11	458	87	178	
388	20	39	34	19	460	234	51	
389	182	58	4	146	185	236	160	
390	10	145	124	19	454	102	11	
391	5	5	5	15	451	11	10	
392	215	152	59	149	473	133	115	
393	4	4	4	4	468	4	185	
394	5	5	5	19	472	11	65	
395	5	5	127	24	463	107	63	
396	14	151	26	55	466	241	56	
397	15	10	5	15	36	243	2	
398	20	12	45	15	5	102	58	
399	20	39	34	19	470	102	51	
400	44	150	11	23	471	245	187	
401	153	4	7	19	467	102	158	
402	211	147	129	147	34	242	184	
403	212	149	26	144	462	38	183	
404	212	149	26	144	469	38	183	
405	213	140	26	140	120	242	86	
406	214	62	128	148	465	244	186	
407	216	62	26	144	474	246	188	
408	220	148	64	153	464	247	192	
409	218	153	135	151	475	143	193	
410	222	154	134	152	476	251	194	
411	217	71	131	155	477	249	190	
412	102	71	133	155	478	250	195	
413	101	155	130	154	479	248	196	
414	219	71	132	155	480	135	191	
415	221	152	77	150	481	133	189	
416	221	152	77	150	481	135	189	
417	223	93	136	156	482	252	197	
418	224	156	61	157	483	253	198	
419	13	4	40	19	413	11	58	
420	5	5	5	15	66	11	10	
421	20	12	11	19	36	102	10	
422	17	27	15	144	485	36	32	
423	6	20	114	15	346	102	2	
424	66	12	5	19	120	211	58	
425	20	2	1	158	28	26	165	
426	5	12	24	15	362	8	24	
427	3	3	1	2	65	17	13	
428	23	4	1	19	486	26	165	
429	11	2	11	44	56	111	40	
430	3	3	1	32	65	21	13	
431	20	39	11	19	36	102	10	
432	225	2	2	15	11	113	40	
433	227	157	11	19	19	255	11	
434	48	25	41	37	487	101	55	
435	20	39	34	23	488	101	165	
436	23	7	11	15	66	102	2	
437	6	20	114	15	489	102	2	
438	6	20	114	15	490	102	2	
439	226	158	26	48	484	254	188	
440	153	4	40	19	491	102	9	
441	10	20	11	159	492	123	11	
442	20	39	11	11	98	87	178	
443	8	8	137	160	493	200	8	
444	77	23	4	11	494	58	199	
445	77	23	11	11	90	123	11	
446	30	5	5	15	495	11	58	
447	5	5	139	15	61	238	2	
448	14	62	26	161	101	74	86	
449	15	10	139	19	507	102	88	
450	20	25	7	2	196	32	2	
451	23	44	24	2	503	35	20	
452	58	41	1	15	504	70	6	
453	169	4	4	4	500	209	89	
454	220	148	141	153	506	258	202	
455	228	148	61	153	501	256	192	
456	229	25	7	12	502	106	200	
457	230	114	140	162	505	257	201	
458	4	4	4	4	410	4	87	
459	233	159	142	163	508	259	203	
460	234	15	26	164	375	260	176	
461	3	30	16	23	516	83	31	
462	23	7	17	19	496	11	65	
463	20	5	1	23	502	111	40	
464	39	33	26	140	457	38	50	
465	60	15	24	27	102	62	20	
466	213	44	24	15	124	55	20	
467	31	12	1	44	497	7	33	
468	32	17	17	12	67	22	65	
469	23	5	45	37	498	56	20	
470	30	5	7	26	125	102	58	
471	213	140	2	129	499	109	4	
472	5	5	5	44	8	102	2	
473	47	7	138	165	509	261	31	
474	81	62	128	148	119	244	183	
475	231	133	51	23	510	4	160	
476	20	12	11	11	511	87	178	
477	5	34	9	15	512	102	2	
478	73	12	30	9	220	10	179	
479	20	12	11	19	513	127	88	
480	232	8	137	166	514	262	204	
481	72	30	43	20	515	108	30	
482	24	23	22	25	10	86	26	
483	30	5	1	65	517	16	9	
484	73	12	1	9	517	10	9	
485	80	67	49	12	47	44	33	
486	73	12	1	65	517	10	9	
487	65	65	125	144	120	240	180	
488	73	12	1	88	517	10	9	
489	73	12	1	9	32	263	14	
490	237	45	26	48	113	85	205	
491	8	8	137	166	519	19	204	
492	80	67	49	25	523	266	9	
493	6	34	1	12	522	50	55	
494	80	67	49	12	524	2	33	
495	80	67	49	25	171	265	26	
496	38	30	11	20	518	264	208	
497	30	5	5	30	525	35	4	
498	245	5	5	23	535	272	212	
499	246	141	26	37	536	38	79	
500	57	168	43	2	6	17	4	
501	59	169	147	55	537	273	213	
502	60	15	15	55	538	89	61	
503	243	166	137	171	539	270	210	
504	6	23	4	176	540	111	143	
505	220	167	145	153	533	271	211	
506	4	12	1	19	418	213	159	
507	20	2	11	30	380	123	2	
508	3	17	17	20	67	267	44	
509	5	5	5	5	512	102	86	
510	23	44	24	44	112	35	20	
511	63	51	21	24	526	27	25	
512	4	164	40	23	528	268	4	
513	4	165	40	19	351	211	4	
514	45	25	20	15	531	102	2	
515	57	170	19	20	542	277	221	
516	254	171	1	12	544	275	223	
517	65	65	125	144	527	240	180	
518	231	133	51	23	510	211	160	
519	240	133	40	12	541	278	160	
520	242	20	20	31	532	102	209	
521	251	177	104	174	546	284	218	
522	239	81	144	169	548	269	115	
523	241	61	30	171	375	276	220	
524	81	15	154	179	543	274	222	
525	153	4	11	15	545	102	2	
526	19	17	17	12	551	68	65	
527	63	51	21	24	529	27	25	
528	20	39	17	19	530	26	6	
529	15	10	11	19	460	35	88	
530	14	53	128	170	205	97	228	
531	3	5	11	30	550	20	4	
532	258	173	150	178	558	203	225	
533	10	145	124	19	549	102	11	
534	247	176	155	172	554	282	214	
535	238	175	148	168	557	138	231	
536	23	5	24	27	80	295	20	
537	236	161	1	183	521	296	207	
538	13	4	40	15	521	244	58	
539	221	79	61	71	265	154	180	
540	8	163	1	72	220	15	59	
541	268	162	69	156	113	154	180	
542	269	84	104	184	561	297	236	
543	270	187	62	74	562	298	126	
544	271	71	155	155	563	134	237	
545	272	188	160	185	564	251	238	
546	273	71	162	71	566	300	240	
547	274	81	163	74	567	301	144	
548	275	189	117	187	568	222	116	
549	276	93	64	188	569	222	241	
550	277	71	164	189	570	251	242	
551	278	190	165	91	571	222	243	
552	279	84	144	190	572	302	244	
553	280	87	166	191	573	303	144	
554	281	191	167	192	574	304	245	
555	282	81	61	193	575	145	246	
556	86	127	168	194	576	305	247	
557	283	76	56	195	577	131	94	
558	286	71	161	186	565	299	239	
559	287	177	169	196	578	308	249	
560	288	193	170	197	579	154	250	
561	289	92	171	74	580	309	251	
562	290	94	172	73	581	310	252	
563	247	176	155	172	582	282	253	
564	284	192	61	81	583	304	248	
565	274	81	163	74	591	192	156	
566	295	197	175	93	584	55	255	
567	296	198	104	200	585	153	144	
568	298	200	177	184	587	313	257	
569	252	201	64	71	588	314	258	
570	299	202	178	72	589	315	259	
571	51	16	1	52	97	229	14	
572	4	133	51	19	510	4	160	
573	73	2	1	44	593	37	55	
574	153	4	1	10	488	11	88	
575	15	10	9	17	496	26	15	
576	30	5	9	30	120	35	4	
577	23	7	17	19	36	238	65	
578	294	100	174	199	592	311	254	
579	297	199	176	74	586	320	256	
580	300	92	179	72	590	316	123	
581	20	10	11	19	594	26	10	
582	38	35	26	20	165	51	4	
583	25	194	127	32	52	42	20	
584	301	203	70	201	600	319	262	
585	173	41	19	6	599	77	263	
586	256	17	151	15	552	288	12	
587	5	12	122	15	67	26	2	
588	74	8	24	60	191	112	73	
589	257	185	152	37	421	287	19	
590	231	133	51	19	510	213	160	
591	291	195	173	198	602	318	222	
592	39	196	180	37	73	322	264	
593	5	5	9	5	5	50	4	
594	255	5	1	30	603	238	170	
595	60	15	15	140	178	238	2	
596	239	81	144	169	604	269	115	
597	302	81	62	91	553	222	217	
598	220	167	145	153	608	258	215	
599	251	79	64	133	556	324	232	
600	263	178	158	182	607	294	235	
601	220	179	141	72	533	247	265	
602	220	180	156	153	605	247	233	
603	264	84	104	74	547	285	116	
604	267	183	157	73	555	323	102	
605	228	148	61	153	606	256	192	
606	248	204	149	173	610	293	216	
607	249	81	76	114	611	291	115	
608	250	81	62	91	612	283	217	
609	252	78	74	175	613	138	144	
610	265	181	104	93	614	135	234	
611	266	182	64	173	609	286	266	
612	30	5	5	30	615	50	40	
613	285	66	1	20	601	326	261	
614	81	62	26	144	597	328	260	
615	40	17	2	63	54	325	31	
616	3	3	30	15	598	330	4	
617	80	67	49	30	524	263	267	
618	292	32	152	34	46	327	36	
619	293	42	3	20	596	331	4	
620	42	25	7	44	616	332	2	
621	3	31	1	20	545	326	261	
622	261	172	182	181	622	289	226	
623	259	174	183	113	264	280	230	
624	259	174	183	112	264	180	141	
625	253	184	184	113	264	281	224	
626	262	205	159	69	628	292	219	
627	6	23	1	11	494	58	199	
628	15	10	1	17	186	102	13	
629	5	5	9	15	120	7	6	
630	23	17	17	19	461	11	65	
631	20	12	11	19	458	11	10	
632	17	15	15	12	66	102	17	
633	48	25	41	19	487	101	272	
634	77	209	1	17	637	339	199	
635	20	39	34	19	104	340	51	
636	309	210	4	146	467	58	14	
637	310	133	11	19	19	123	271	
638	260	81	61	177	560	319	227	
639	80	67	49	25	171	290	26	
640	30	5	5	65	44	10	9	
641	30	5	9	30	559	35	4	
642	39	33	2	128	595	317	4	
643	80	67	49	12	524	321	33	
644	24	23	22	25	56	86	26	
645	73	12	1	9	385	263	14	
646	209	15	186	48	638	74	86	
647	20	20	11	19	639	255	11	
648	13	12	1	208	640	290	165	
649	14	37	205	144	109	57	283	
650	3	135	30	15	674	366	162	
651	268	186	153	123	635	306	210	
652	81	62	128	148	465	244	183	
653	3	42	2	15	684	21	4	
654	330	201	61	93	642	342	274	
655	331	212	64	78	643	343	274	
656	318	84	195	71	657	356	144	
657	319	92	74	74	658	357	282	
658	321	218	64	71	660	359	249	
659	322	197	196	217	661	146	144	
660	323	219	197	218	662	360	203	
661	324	202	198	74	663	361	284	
662	325	220	199	72	664	362	285	
663	290	212	64	78	643	146	286	
664	327	223	201	74	667	365	115	
665	328	225	61	174	668	154	287	
666	77	23	1	19	637	106	199	
667	2	160	204	15	659	127	2	
668	37	12	114	14	671	238	24	
669	23	3	11	15	672	263	49	
670	73	12	5	65	673	102	86	
671	107	211	64	71	686	314	193	
672	334	226	202	93	669	154	288	
673	335	216	203	212	670	362	289	
674	333	221	200	71	665	363	144	
675	332	8	1	166	685	367	292	
676	73	12	1	9	220	10	179	
677	15	10	34	23	441	368	51	
678	50	40	19	12	165	68	48	
679	80	67	49	23	524	30	23	
680	58	41	1	37	617	70	6	
681	229	25	7	2	102	106	200	
682	6	19	1	17	24	58	6	
683	39	24	181	15	218	333	4	
684	23	206	1	202	120	101	66	
685	42	25	7	44	65	329	2	
686	303	12	26	43	621	334	268	
687	30	5	9	30	620	35	4	
688	23	5	24	2	619	263	20	
689	31	12	1	44	618	7	33	
690	304	207	212	203	620	35	52	
691	30	34	9	204	517	35	4	
692	73	12	1	9	623	263	14	
693	305	208	11	22	624	215	31	
694	5	39	11	11	625	58	10	
695	21	23	4	146	626	335	269	
696	41	10	126	238	442	2	13	
697	5	26	23	23	55	20	20	
698	38	41	126	23	636	336	270	
699	58	41	1	37	630	70	6	
700	5	5	24	27	83	35	20	
701	23	5	24	15	80	35	20	
702	20	17	45	63	631	325	31	
703	206	3	2	63	632	18	45	
704	45	25	1	207	147	111	2	
705	42	25	7	44	65	26	2	
706	23	5	24	2	199	35	20	
707	61	48	21	24	633	27	25	
708	42	25	29	44	65	26	2	
709	3	5	5	137	733	401	9	
710	6	20	126	206	17	337	55	
711	37	2	124	19	136	263	37	
712	63	51	185	24	529	27	25	
713	45	25	7	26	634	8	2	
714	308	41	2	22	54	338	27	
715	45	25	7	22	96	26	14	
716	63	51	21	24	41	27	25	
717	41	249	44	238	442	37	30	
718	3	41	11	15	742	410	4	
719	3	41	11	20	54	70	31	
720	3	42	11	12	759	338	4	
721	3	42	181	15	143	407	320	
722	3	251	2	242	748	90	264	
723	5	33	26	62	761	416	327	
724	5	62	224	55	753	409	204	
725	5	158	128	248	109	418	79	
726	14	37	26	241	745	405	222	
727	14	49	26	55	763	414	32	
728	14	62	26	240	738	406	317	
729	14	151	222	144	739	409	76	
730	14	253	26	144	755	223	322	
731	14	254	26	245	42	404	79	
732	14	255	50	40	174	122	79	
733	14	256	26	131	375	223	34	
734	17	62	223	40	746	43	321	
735	25	30	1	246	35	29	27	
736	38	14	1	2	599	17	323	
737	39	33	2	129	595	109	4	
738	40	66	113	20	751	101	4	
739	57	14	26	12	756	408	19	
740	58	41	1	22	129	70	6	
741	65	53	26	249	638	97	67	
742	209	61	26	171	375	254	321	
743	212	149	26	144	453	38	183	
744	212	149	26	144	469	38	222	
745	241	33	26	53	117	254	317	
746	241	222	26	244	745	254	317	
747	241	252	26	243	750	38	34	
748	292	30	127	239	754	48	20	
749	320	37	26	40	71	57	32	
750	320	37	26	171	681	57	291	
751	320	37	26	171	741	57	291	
752	367	33	26	171	375	5	32	
753	368	15	26	48	638	74	86	
754	369	33	26	171	749	411	79	
755	370	62	26	171	117	417	50	
756	371	61	30	171	745	412	324	
757	372	37	26	144	638	57	79	
758	373	33	26	247	746	403	325	
759	374	257	225	44	757	415	326	
760	375	258	26	247	762	413	183	
761	376	259	26	12	761	406	67	
762	377	41	226	22	765	238	328	
763	73	12	1	9	687	10	9	
764	70	5	29	37	47	369	294	
765	336	228	1	44	688	37	143	
766	20	39	11	19	134	370	2	
767	153	4	11	15	689	86	9	
768	6	2	1	56	83	371	30	
769	11	2	11	44	690	111	40	
770	7	11	1	23	691	372	264	
771	337	2	11	23	214	373	70	
772	23	3	11	15	83	373	49	
773	25	39	11	11	692	87	178	
774	338	229	206	219	693	375	295	
775	23	7	11	127	189	11	158	
776	48	25	41	19	85	8	6	
777	20	230	4	17	624	377	200	
778	23	7	7	220	695	58	33	
779	37	7	7	37	696	378	296	
780	235	160	204	19	697	32	174	
781	23	34	5	222	698	69	18	
782	210	65	26	19	530	118	297	
783	23	7	24	146	699	83	31	
784	179	79	196	74	708	380	298	
785	340	84	104	74	718	381	115	
786	341	201	207	226	709	354	299	
787	342	232	178	78	710	144	301	
788	96	78	104	72	265	383	144	
789	251	79	65	133	711	384	232	
790	251	79	64	133	712	385	232	
791	343	233	178	91	710	144	302	
792	345	235	61	224	713	387	232	
793	349	239	213	227	715	391	306	
794	350	240	64	228	716	153	307	
795	351	92	214	229	717	154	144	
796	179	84	215	230	718	153	115	
797	352	241	76	74	719	380	308	
798	353	81	216	231	720	138	144	
799	351	242	61	91	721	392	115	
800	274	81	217	74	722	343	309	
801	107	83	178	232	730	138	115	
802	351	244	219	91	723	393	311	
803	354	245	62	91	724	394	312	
804	88	81	63	234	230	138	315	
805	360	84	189	93	726	391	284	
806	3	30	1	15	769	421	27	
807	14	10	26	62	777	424	334	
808	14	37	1	144	375	57	283	
809	14	37	228	241	745	405	222	
810	31	42	11	15	768	338	330	
811	39	3	2	34	74	35	200	
812	39	5	1	34	775	109	38	
813	55	49	26	250	123	414	32	
814	59	158	26	40	766	419	56	
815	181	3	2	30	404	227	332	
816	183	262	2	2	774	56	20	
817	203	141	26	55	772	38	331	
818	209	61	46	40	771	38	50	
819	209	144	26	251	453	422	56	
