ST	accA	gki	hom	oppC	patB	rlmN	tsf	clonal_complex
83	151	38	68	136	57	148	13	
84	151	88	159	21	85	79	143	
85	15	10	10	67	117	76	71	
86	152	82	55	54	76	139	88	
87	153	136	4	58	17	113	27	
88	154	154	47	136	171	92	37	
89	155	139	44	136	73	125	105	
90	156	135	71	38	1	72	34	
91	157	164	142	111	195	156	124	
92	157	164	142	111	195	28	124	
93	158	21	147	67	43	25	113	
94	159	147	122	136	160	132	36	
95	160	103	111	44	180	151	49	
96	161	131	62	11	137	7	66	
97	162	70	26	106	153	184	128	
98	163	4	3	26	148	95	128	
99	16	100	145	100	145	167	30	
100	16	100	145	100	145	33	31	
101	164	157	164	24	189	135	58	
102	165	2	54	54	95	51	22	
103	166	75	8	92	40	130	63	
104	167	102	154	28	12	179	109	
105	168	52	72	39	85	183	80	
106	169	152	24	142	103	112	129	
107	169	151	82	112	119	111	129	
108	170	9	32	91	163	45	60	
109	170	37	125	69	130	38	142	
110	171	95	59	136	177	29	140	
111	172	32	126	67	15	83	141	
112	173	94	34	54	11	173	111	
113	174	110	59	138	108	177	63	
114	175	2	72	53	85	183	8	
115	17	134	13	126	45	71	35	
116	176	128	121	82	37	110	93	
117	18	106	48	67	110	94	42	
118	19	139	44	137	73	125	105	
119	19	129	76	135	5	126	141	
120	20	31	159	67	174	158	91	
121	21	159	144	22	185	154	28	
122	22	90	50	115	102	155	134	
123	23	86	132	33	123	66	34	
124	24	42	143	95	18	155	125	
125	25	100	75	85	71	162	15	
126	26	113	101	43	39	169	74	
127	2	155	18	83	158	39	128	
128	27	172	88	54	139	152	103	
129	28	119	87	136	44	91	101	
130	28	54	86	67	133	163	101	
131	28	119	151	67	24	122	101	
132	29	107	2	54	16	118	59	
133	30	171	167	54	181	90	102	
134	3	71	100	120	155	15	130	
135	31	160	78	95	50	2	41	
136	32	101	155	138	74	5	10	
137	33	148	137	79	38	70	18	
138	34	43	172	74	151	131	138	
139	35	116	15	136	61	139	138	
140	36	68	152	96	75	143	131	
141	37	107	141	52	169	48	80	
142	37	80	141	52	52	48	80	
143	37	85	149	136	48	86	23	
144	37	85	138	136	47	118	87	
145	37	85	156	54	48	118	23	
146	38	42	43	127	65	161	133	
147	39	30	40	1	80	114	116	
148	40	78	97	19	125	81	98	
149	4	17	39	64	114	100	116	
150	41	98	134	54	162	139	63	
151	42	79	135	87	178	36	35	
152	42	77	175	67	18	88	4	
153	43	156	93	109	4	26	69	
154	44	65	96	133	35	115	25	
155	45	16	74	2	115	99	116	
156	46	39	162	54	96	51	76	
157	46	43	106	54	186	51	138	
158	46	85	106	67	84	8	138	
159	46	56	31	15	22	160	138	
160	46	60	162	54	140	51	76	
161	46	56	68	54	140	51	138	
162	46	56	159	136	89	19	24	
163	47	112	64	122	147	172	11	
164	48	5	83	114	67	41	97	
165	49	173	117	80	121	145	99	
166	50	52	51	101	85	118	88	
167	5	22	53	81	156	101	117	
168	51	127	107	54	58	56	1	
169	52	44	58	67	5	150	66	
170	52	43	59	67	5	150	66	
171	52	43	59	67	7	150	66	
172	53	165	134	55	99	51	88	
173	53	43	133	54	24	120	78	
174	53	43	60	73	53	159	22	
175	53	43	104	54	63	157	107	
176	53	57	6	140	86	51	138	
177	53	119	15	128	19	51	50	
178	53	174	166	136	28	87	133	
179	53	174	166	48	171	87	133	
180	53	43	106	54	25	8	137	
181	53	43	70	136	86	130	83	
182	53	45	35	101	100	43	89	
183	54	52	103	61	138	175	76	
184	55	43	37	67	122	178	82	
185	56	87	124	89	64	96	133	
186	56	72	124	77	42	153	133	
187	57	107	76	139	86	143	120	
188	58	173	166	29	28	78	70	
189	58	154	123	35	161	21	31	
190	58	147	68	36	75	139	36	
191	58	164	45	96	195	21	124	
192	59	45	76	130	180	84	80	
193	60	26	80	7	135	31	108	
194	61	6	41	98	33	146	12	
195	6	173	166	88	28	181	132	
196	62	104	165	67	107	77	14	
197	63	43	38	136	136	104	76	
198	64	89	163	14	17	61	39	
199	65	112	124	87	112	140	68	
200	65	120	98	84	172	4	133	
201	66	85	56	136	53	118	23	
202	66	126	16	57	86	51	138	
203	66	13	7	54	25	143	138	
204	66	13	106	54	72	57	138	
205	67	55	68	67	84	51	77	
206	68	27	42	12	5	165	85	
207	69	165	128	131	90	46	46	
208	70	7	36	125	12	85	139	
209	7	59	21	67	60	121	138	
210	71	92	37	124	12	29	81	
211	72	51	109	136	101	149	79	
212	72	50	148	101	21	124	88	
213	73	29	171	136	83	176	76	
214	74	69	110	5	121	24	94	
215	75	124	91	110	81	182	72	
216	76	93	79	8	105	150	110	
217	76	28	146	6	117	105	123	
218	77	15	158	101	70	118	121	
219	78	146	20	30	104	27	31	
220	79	150	66	90	9	141	75	
221	80	1	28	18	171	22	61	
222	80	1	28	56	171	22	61	
223	81	19	44	107	184	4	20	
224	81	85	9	102	169	65	80	
225	81	56	106	54	187	68	77	
226	81	56	30	29	87	68	65	
227	81	43	68	67	62	59	138	
228	81	132	106	67	132	175	95	
229	82	58	161	67	134	63	64	
230	8	114	85	49	131	11	50	
231	83	14	57	65	3	118	21	
232	84	42	176	100	109	155	125	
233	85	41	29	57	139	65	76	
234	85	43	106	54	5	65	138	
235	86	133	112	123	61	137	138	
236	86	108	112	123	20	54	67	
237	86	144	173	67	171	121	66	
238	87	167	63	46	193	74	48	
239	88	143	113	54	22	139	140	
240	89	62	131	76	126	106	31	
241	90	105	1	27	10	49	127	
242	9	8	32	91	82	45	43	
243	91	166	11	25	149	98	126	
244	92	123	27	32	150	134	29	
245	93	173	166	99	143	78	70	
246	94	25	146	28	13	18	141	
247	95	43	84	67	78	32	104	
248	96	56	9	71	5	139	138	
249	97	47	15	50	86	51	39	
250	97	43	139	67	93	68	66	
251	97	13	14	67	2	142	138	
252	97	43	67	67	5	52	65	
253	97	117	17	67	56	84	138	
254	97	162	162	67	68	8	65	
255	97	163	119	67	66	67	138	
256	98	56	68	57	23	68	138	
257	99	85	59	40	5	158	114	
258	99	84	59	67	6	84	114	
259	99	80	49	60	165	9	114	
260	171	175	177	143	196	185	139	
261	177	30	178	1	197	100	145	
