ST	adh1	gltX	gpsA	gyrB	pta2	tdk	tkt	clonal_complex
138	14	15	13	21	19	11	22	
139	4	3	2	20	5	3	4	
140	15	3	3	11	5	3	4	
141	4	3	2	22	5	3	4	
142	1	2	1	2	2	1	2	
143	1	2	1	23	5	1	3	
144	4	3	1	3	5	3	24	
145	1	17	1	2	5	1	2	
146	4	3	3	24	2	3	6	
147	15	2	1	11	21	14	3	
148	3	1	3	13	2	15	1	
149	15	2	1	11	21	13	3	
150	3	3	2	3	5	3	4	
151	8	3	3	3	5	3	4	
152	3	1	3	3	5	3	1	
153	3	1	4	25	2	3	10	
154	4	3	3	1	2	3	3	
155	9	3	3	3	2	3	6	
156	4	3	3	3	23	3	25	
157	4	3	3	3	2	3	26	
158	4	3	1	4	5	3	3	
159	4	3	3	3	2	16	6	
160	3	2	3	2	1	3	2	
161	4	3	4	3	2	3	6	
162	16	2	4	7	1	3	2	
163	16	3	3	3	2	3	6	
164	3	2	3	7	1	3	2	
165	1	3	4	3	2	3	6	
166	17	3	3	3	2	3	6	
167	1	2	3	4	5	1	3	
168	3	3	4	2	1	3	2	
169	4	3	3	3	2	1	6	
170	17	3	3	3	2	1	6	
171	3	2	15	2	1	3	2	
172	4	3	2	3	5	7	4	
173	10	3	6	13	21	6	10	
174	4	3	2	3	5	17	4	
175	4	3	16	3	5	3	4	
176	4	3	2	26	5	3	4	
177	3	1	4	13	2	2	10	
178	1	1	4	13	2	3	10	
179	3	1	4	27	2	2	10	
180	18	18	17	28	24	18	29	
181	15	14	14	11	5	13	21	
182	3	2	18	2	1	3	2	
183	3	2	4	2	1	19	2	
184	4	3	3	3	2	3	30	
185	4	3	3	3	2	20	6	
