ST	Cln_aspA	Cln_atpA	Cln_glnA	Cln_gltA	Cln_glyA	Cln_pgm	Cln_tkt	clonal_complex
73	30	7	12	19	29	14	24	
74	4	28	35	4	37	4	41	
75	15	25	28	24	31	36	32	
76	15	25	28	27	35	39	36	
77	15	25	36	24	31	36	32	
78	15	25	36	27	35	45	36	
79	15	25	63	27	68	58	68	
80	15	52	64	53	67	57	56	
81	16	25	36	27	35	61	36	
82	16	28	31	4	34	4	35	
83	16	32	19	32	39	41	43	
84	37	24	27	23	12	35	10	
85	38	26	29	25	32	37	33	
86	38	26	55	25	32	68	33	
87	38	34	48	25	32	37	33	
88	38	42	52	59	59	42	44	
89	38	44	54	46	61	63	74	
90	39	27	30	26	33	38	34	
91	39	27	43	26	48	38	34	
92	39	31	39	41	54	42	62	
93	39	40	49	43	56	55	64	
94	40	29	32	28	36	37	38	
95	42	26	34	30	33	48	40	
96	43	31	30	31	38	48	42	
97	44	33	37	33	40	40	44	
98	46	35	39	35	42	40	47	
99	47	32	40	32	39	43	48	
100	48	36	5	32	43	44	50	
101	49	37	30	25	44	46	51	
102	50	3	5	39	51	51	59	
103	50	12	2	36	45	47	52	
104	51	33	41	31	46	48	53	
105	52	38	42	25	47	49	54	
106	52	46	57	48	63	64	76	
107	52	54	65	57	72	46	56	
108	53	26	44	37	32	1	55	
109	54	38	41	38	49	46	56	
110	55	12	45	24	50	50	57	
111	56	34	46	40	52	52	60	
112	57	35	41	42	55	54	63	
113	57	39	47	38	53	53	61	
114	57	43	53	43	60	63	73	
115	58	37	50	44	57	53	65	
116	59	41	51	45	58	62	44	
117	60	45	56	47	62	53	75	
118	61	47	58	36	13	69	52	
119	62	48	59	49	64	65	77	
120	63	37	30	51	44	63	78	
121	63	49	60	50	65	37	78	
122	64	47	2	36	8	66	52	
123	65	26	61	50	66	63	79	
124	66	50	62	30	41	40	66	
125	67	51	63	52	50	56	67	
126	68	26	55	54	32	42	69	
127	68	53	39	56	71	60	72	
128	69	30	37	55	69	59	70	
129	70	55	66	58	73	67	80	
130	71	56	36	61	75	61	81	
131	59	57	68	30	76	64	82	
132	52	45	67	60	70	64	71	
133	72	33	69	62	56	52	38	
134	57	26	70	49	33	40	62	
135	73	58	71	31	77	63	40	
136	40	59	72	63	36	37	84	
137	74	60	42	43	78	37	85	
138	75	61	73	25	79	70	86	
139	59	54	74	64	80	71	87	
140	76	31	30	65	81	40	88	
141	77	62	75	66	82	72	89	
142	78	61	73	51	83	73	86	
143	79	38	77	31	70	74	42	
144	80	34	78	67	52	75	91	
145	81	30	39	49	84	59	83	
146	31	14	16	14	18	76	17	
147	33	22	24	20	30	77	30	
148	36	63	16	22	18	76	29	
149	29	14	16	14	18	76	17	
150	27	19	21	17	27	78	26	
151	28	20	22	18	28	79	27	
152	34	23	26	21	27	80	31	
153	82	14	76	14	18	76	29	
154	37	24	79	23	12	35	10	
155	38	26	29	25	32	37	93	
156	15	25	36	27	35	39	36	
157	39	27	43	26	48	38	96	
158	39	27	30	26	33	38	96	
159	70	55	66	58	73	81	80	
160	54	38	41	38	49	46	95	
161	4	64	31	4	74	4	58	
162	57	35	41	42	55	54	92	
163	56	34	46	40	52	52	94	
164	38	34	48	25	32	37	93	
165	60	45	56	47	62	53	89	
166	63	49	60	50	65	37	97	
167	63	37	30	51	44	63	97	
168	38	42	52	59	59	42	90	
169	38	26	55	25	32	68	93	
170	1	1	80	1	1	1	1	
171	7	7	12	68	21	12	10	
172	41	30	33	69	53	40	39	
