ST	dnaA	fusA	gyrB	leuS	pyrG	rplB	rpoB	clonal_complex
75	8	33	7	9	9	6	8	
76	8	9	10	9	9	6	8	
77	8	9	6	8	9	6	8	
78	8	9	6	9	9	6	8	
79	9	22	14	6	39	4	9	
80	9	4	14	6	11	4	9	
81	9	4	15	13	43	4	24	
82	9	6	14	10	11	4	6	
83	9	6	8	6	10	4	6	
84	60	1	61	1	36	22	1	
85	59	9	55	9	58	6	6	
86	8	9	57	9	9	6	8	
87	43	3	58	35	23	16	34	
88	4	4	4	62	59	4	6	
89	54	37	4	6	57	4	6	
90	58	37	4	6	42	4	25	
91	58	37	4	6	11	4	25	
92	52	20	19	44	45	12	32	
93	9	4	14	61	37	4	9	
94	55	36	56	59	60	4	6	
95	56	38	35	58	61	12	20	
96	57	39	49	57	49	12	20	
97	59	9	62	9	62	25	6	
98	49	20	19	44	64	24	32	
99	41	3	60	60	63	16	3	
100	59	40	12	9	35	6	6	
101	68	8	75	63	65	23	35	
102	59	9	12	9	67	6	25	
103	68	41	14	6	69	4	6	
104	59	40	76	9	70	6	6	
105	74	20	20	65	45	4	6	
106	58	41	14	6	69	4	6	
107	11	4	4	6	39	4	25	
108	68	8	75	63	65	34	35	
109	67	20	20	44	45	4	32	
110	66	4	15	40	76	4	9	
111	4	4	4	40	11	30	6	
112	4	4	4	13	72	4	6	
113	4	22	68	69	37	4	24	
114	53	35	20	44	45	4	6	
115	59	9	77	75	67	4	6	
116	9	4	14	6	11	4	6	
117	64	21	9	44	45	28	6	
118	59	40	12	9	67	6	6	
119	75	18	64	64	33	8	29	
120	46	20	20	44	45	29	6	
121	10	21	9	44	45	4	32	
122	63	3	51	35	77	27	3	
123	42	24	69	37	23	16	3	
124	4	4	4	6	39	4	25	
125	63	3	66	68	3	16	3	
126	59	9	73	75	62	6	6	
127	46	20	74	44	45	24	6	
128	59	45	59	9	62	23	6	
129	59	46	79	9	35	6	6	
130	69	43	70	71	74	26	12	
131	72	42	67	67	71	12	26	
132	67	20	9	44	45	4	32	
133	11	4	4	13	39	4	9	
134	4	4	13	4	39	4	25	
135	59	47	59	9	62	23	6	
136	74	21	74	44	45	4	6	
137	73	48	65	66	36	22	1	
138	59	45	59	74	62	23	6	
139	9	4	14	6	81	4	9	
140	11	4	4	13	82	4	9	
141	62	4	4	76	78	4	44	
142	4	37	4	85	11	4	45	
143	10	21	9	44	45	4	40	
144	74	20	74	78	45	35	32	
145	59	40	82	9	67	6	6	
146	77	4	14	79	39	4	9	
147	59	40	12	9	75	32	42	
148	7	8	5	78	45	6	7	
149	4	50	14	79	39	4	9	
150	4	4	84	83	39	4	6	
151	4	4	4	77	11	4	39	
152	76	40	82	9	67	6	6	
153	4	49	4	80	37	4	41	
154	4	4	4	81	80	4	6	
155	71	3	83	82	3	16	3	
156	73	53	65	86	1	22	1	
157	59	9	86	9	62	37	6	
158	59	9	12	75	84	6	6	
159	74	21	74	44	45	38	6	
160	4	4	4	40	85	4	6	
161	59	47	59	87	62	23	6	
162	79	15	39	15	86	11	46	
163	71	3	87	89	13	16	3	
164	1	1	72	73	1	33	48	
165	65	25	78	90	49	12	20	
166	36	39	71	91	49	12	37	
167	70	44	88	70	73	1	1	
168	59	40	81	9	79	37	38	
169	78	52	89	84	83	36	1	
170	62	4	4	6	39	4	44	
171	49	21	19	44	45	12	32	
172	65	54	49	88	49	12	47	
173	59	9	86	75	87	6	6	
174	4	37	15	6	39	4	6	
175	51	4	4	6	68	30	36	
176	4	4	4	6	45	30	6	
177	9	4	14	61	89	4	9	
178	4	4	4	6	39	30	6	
179	80	55	91	72	88	12	26	
180	81	42	92	92	49	12	26	
181	59	9	63	9	66	6	6	
182	49	20	19	44	90	24	32	
183	82	56	93	93	91	4	23	
184	4	4	4	6	92	30	6	
185	65	57	49	94	49	12	49	
186	83	58	94	2	93	39	14	
187	60	51	85	1	1	22	43	
188	61	9	80	75	79	40	6	
189	36	26	71	72	49	31	47	
190	9	4	15	6	37	4	9	
191	3	24	3	35	3	16	51	
192	46	20	74	44	45	24	42	
193	49	20	7	44	90	24	32	
194	11	6	4	13	39	4	9	
195	53	35	20	44	45	4	53	
196	8	33	86	9	9	6	8	
197	67	21	74	95	45	35	6	
198	68	8	75	63	65	34	6	
199	46	21	20	96	45	28	54	
200	74	20	20	65	45	4	32	
201	53	35	20	44	45	38	8	
202	53	35	20	44	45	29	32	
203	4	4	20	6	92	30	6	
204	4	4	4	6	95	4	6	
205	4	6	4	61	39	4	15	
206	37	20	20	44	45	4	32	
207	53	35	20	45	45	4	6	
208	59	33	59	9	87	6	6	
209	59	9	12	9	58	34	6	
210	6	47	82	74	67	6	6	
211	6	9	86	9	87	6	6	
212	66	4	15	13	76	36	9	
213	4	50	4	6	37	4	25	
214	53	21	20	44	45	4	6	
215	53	35	20	44	45	4	9	
216	11	43	4	71	30	38	17	
217	9	5	67	64	45	11	5	
218	74	43	28	70	77	35	52	
219	46	18	38	31	30	8	30	
220	51	47	76	6	67	36	6	
221	51	50	14	6	39	4	6	
222	51	50	4	40	39	4	6	
223	62	6	4	13	68	11	9	
224	52	37	4	6	42	4	25	
225	9	20	20	65	45	4	32	
226	66	4	15	40	76	4	32	
227	58	20	20	65	45	4	32	
228	9	4	15	13	39	4	9	
229	87	16	25	97	22	9	15	
230	49	20	74	44	90	24	32	
231	46	20	20	96	45	29	54	
232	88	25	49	72	49	12	20	
233	59	9	80	9	87	6	6	
234	4	4	4	6	39	4	6	
