ST	gdh	gyd	pstS	gki	aroE	xpt	yqiL	clonal_complex
136	14	2	15	9	16	18	12	
137	10	1	11	6	5	5	7	
138	21	7	7	5	39	2	36	
139	12	7	3	35	6	18	5	
140	39	5	4	24	33	22	8	
141	21	2	11	3	34	3	4	
142	13	6	5	10	9	9	5	
143	14	6	7	42	13	28	28	
144	3	7	11	21	9	9	7	
145	1	7	20	1	1	1	1	
146	1	7	11	11	3	4	1	
147	3	2	22	17	14	14	1	
148	3	6	23	12	9	2	28	
149	3	7	23	1	1	16	1	
150	3	6	23	12	1	10	7	
151	4	1	35	27	3	19	5	
152	8	7	7	5	4	1	1	
153	10	1	16	6	1	1	1	
154	10	1	11	6	1	1	4	
155	2	7	39	11	3	4	2	
156	22	1	12	43	40	2	37	
157	1	7	9	44	1	1	1	
158	12	6	16	4	6	1	5	
159	35	1	40	32	32	26	31	
160	9	6	41	42	32	32	38	
161	10	1	11	11	5	1	4	
162	20	3	7	25	23	33	2	
163	1	6	11	45	4	20	28	
164	12	2	3	6	4	14	28	
165	15	2	37	1	17	15	11	
166	5	3	7	5	27	2	3	
167	40	14	42	46	3	15	39	
168	20	1	7	25	23	2	2	
169	9	5	41	37	7	2	2	
170	12	6	28	29	7	1	20	
171	12	6	7	5	7	4	1	
172	8	7	28	29	7	4	20	
173	5	1	30	5	27	20	3	
174	12	7	3	5	41	34	5	
175	12	2	3	47	6	15	5	
176	15	7	3	37	39	15	11	
177	15	2	37	37	39	15	11	
178	21	2	11	48	34	3	4	
179	5	1	1	3	7	1	6	
180	15	15	37	16	3	15	11	
181	12	5	3	7	6	1	5	
182	9	7	4	49	11	15	5	
183	12	7	3	7	6	1	4	
184	1	1	11	5	27	10	3	
185	41	7	7	50	38	35	40	
186	1	1	30	5	27	10	3	
187	27	2	16	5	4	2	18	
188	14	2	18	51	6	24	19	
189	13	6	4	14	10	9	5	
190	1	4	8	3	1	1	1	
191	27	1	11	1	21	1	2	
192	42	1	43	52	39	4	41	
193	43	5	44	53	43	36	42	
194	5	1	30	53	10	36	5	
195	2	7	7	11	39	4	2	
196	20	3	7	25	20	2	2	
197	2	6	45	6	44	20	2	
198	20	6	23	12	9	10	7	
199	2	3	7	25	3	2	2	
200	19	1	24	22	19	2	14	
201	1	7	1	7	25	1	4	
202	1	7	9	1	1	10	1	
203	20	2	14	20	6	1	43	
204	3	6	16	4	9	1	44	
205	5	1	11	29	8	1	20	
206	2	1	13	11	3	2	2	
207	4	4	46	3	2	1	3	
208	10	7	47	1	11	16	8	
209	10	1	11	5	5	5	4	
210	2	1	13	11	27	2	2	
211	4	1	48	21	1	2	4	
212	7	1	11	1	46	2	1	
213	11	6	6	33	1	38	10	
214	3	1	11	12	9	14	44	
215	12	6	16	4	9	1	7	
216	1	7	11	21	1	4	45	
217	7	1	11	1	10	2	46	
218	3	7	23	1	9	14	7	
219	23	7	11	11	23	4	2	
220	27	6	23	12	9	10	7	
221	7	1	11	1	10	39	1	
222	4	1	48	21	1	7	4	
223	15	2	3	54	17	15	11	
224	44	7	10	1	1	10	1	
225	39	2	49	45	47	2	48	
226	15	2	37	55	17	15	11	
227	25	6	52	56	3	5	51	
228	45	5	44	53	48	41	42	
229	5	5	7	16	11	11	8	
230	9	6	41	42	13	32	52	
231	7	1	11	1	51	2	16	
232	14	2	18	51	6	38	19	
233	3	6	23	12	9	42	1	
234	47	2	17	40	29	14	1	
235	14	1	30	32	10	43	20	
236	11	6	50	33	1	38	10	
237	9	6	4	33	45	37	28	
238	10	1	51	53	49	12	50	
239	4	7	11	11	23	4	2	
240	9	5	7	16	11	1	8	
241	12	7	3	17	6	18	5	
242	27	12	35	32	50	2	23	
243	46	6	5	14	10	9	5	
244	11	5	4	16	11	13	49	
245	20	1	3	17	6	1	5	
246	34	2	17	37	29	6	6	
247	45	5	44	53	48	40	42	
248	2	7	11	1	3	4	2	
249	15	1	18	57	3	35	53	
250	48	6	5	14	10	9	47	
251	14	6	1	42	13	35	28	
252	13	6	1	14	10	9	5	
253	15	1	37	19	3	15	11	
254	5	7	3	2	7	1	6	
255	49	2	3	5	6	20	54	
256	4	6	7	29	8	1	20	
257	15	2	33	2	3	15	11	
258	14	1	30	32	10	20	20	
259	10	1	11	6	5	44	4	
260	50	10	30	5	21	2	1	
261	2	1	12	8	52	45	14	
262	14	6	7	42	53	35	28	
263	41	2	18	10	16	2	12	
264	41	2	11	17	4	2	1	
265	5	1	1	3	9	7	6	
266	25	2	35	9	23	18	26	
267	20	1	36	22	30	25	30	
268	3	6	23	12	9	42	7	
269	2	7	11	58	3	4	2	
270	27	6	23	59	9	10	7	
271	15	16	33	1	17	15	11	
272	9	1	7	5	21	1	4	
273	4	8	12	13	40	46	22	
274	51	7	16	1	27	10	23	
275	17	5	22	1	14	14	1	
276	3	7	23	1	54	16	7	
277	12	6	53	60	55	47	3	
278	27	7	16	10	21	10	7	
279	14	3	45	6	44	20	55	
280	52	6	31	33	11	22	8	
281	15	7	3	2	56	1	5	
282	14	6	6	13	11	11	8	
283	1	7	11	11	3	4	2	
284	3	6	23	12	57	10	7	
285	53	7	23	1	9	16	7	
286	4	10	54	29	8	1	20	
287	12	1	32	6	4	14	28	
288	35	2	18	4	1	48	56	
289	54	6	55	30	58	24	57	
290	4	10	56	29	8	1	20	
291	3	1	16	1	59	1	58	
292	11	5	4	16	11	13	59	
293	55	7	9	1	1	1	1	
294	3	6	23	12	9	18	7	
295	3	6	23	12	9	1	7	
296	12	6	30	5	60	14	4	
297	56	8	12	61	40	4	13	
298	14	2	57	10	16	2	12	
299	12	7	1	62	3	2	5	
300	15	2	33	2	3	49	11	
301	57	12	58	11	50	2	23	
302	5	1	1	3	7	7	60	
303	4	8	7	13	40	46	22	
304	9	6	7	63	1	11	9	
305	21	1	7	5	60	1	4	
306	2	7	59	11	3	4	2	
307	7	1	11	64	10	2	1	
308	3	7	11	21	9	4	7	
309	20	1	14	20	6	1	5	
310	13	2	3	14	10	9	5	
311	5	1	23	3	4	7	6	
312	4	10	1	29	7	1	20	
313	12	6	3	17	25	18	5	
314	9	6	4	49	11	15	61	
315	21	9	1	3	7	50	6	
316	1	5	60	1	1	10	1	
317	58	1	3	32	6	1	5	
318	4	6	16	4	1	1	62	
319	12	7	3	7	6	1	63	
320	21	9	6	3	7	1	6	
321	3	6	11	12	3	4	7	
322	3	7	7	25	9	16	7	
323	2	6	45	6	44	20	55	
324	1	1	9	1	1	1	1	
325	12	6	28	29	7	2	20	
326	2	7	39	65	3	4	2	
327	2	1	13	11	3	51	2	
328	5	7	3	2	6	1	5	
329	27	2	2	28	26	2	1	
330	14	1	18	22	16	17	12	
331	20	3	7	1	23	16	2	
332	9	1	7	5	6	1	4	
333	12	4	8	3	8	1	5	
334	8	1	7	5	4	4	1	
335	4	1	16	4	1	1	4	
336	14	6	6	13	13	12	64	
337	15	6	28	29	7	15	20	
338	8	7	7	5	4	14	1	
339	12	2	12	8	1	6	1	
340	27	2	16	8	26	14	1	
341	15	2	37	37	39	2	11	
342	20	2	14	20	10	10	5	
343	12	1	32	6	6	4	28	
344	9	6	4	23	4	37	28	
345	12	1	28	17	6	14	11	
346	20	2	9	16	17	15	11	
347	5	1	1	28	26	2	1	
348	1	2	8	14	6	9	5	
349	12	1	19	28	4	14	28	
350	12	12	9	10	16	2	12	
351	12	6	16	29	6	10	5	
352	12	7	9	5	7	4	28	
353	12	1	3	17	4	1	28	
354	8	7	9	29	7	14	1	
355	16	2	19	16	6	15	11	
356	27	2	16	7	6	2	1	
357	12	2	16	28	26	2	1	
358	12	6	16	12	26	10	7	
359	8	7	7	5	9	4	1	
360	12	6	16	5	10	10	1	
361	12	5	4	16	4	13	10	
362	12	6	7	29	26	1	20	
363	20	1	1	3	7	7	6	
364	2	7	11	66	3	16	2	
365	12	7	3	67	7	1	20	
366	61	1	65	53	62	55	67	
367	62	17	66	11	1	56	17	
368	63	6	67	6	23	1	68	
369	41	6	15	17	63	22	5	
370	12	7	68	5	6	34	5	
371	3	18	7	10	10	2	7	
372	5	1	1	3	7	7	69	
373	14	1	35	27	25	57	19	
374	17	2	22	1	14	58	1	
375	4	7	11	4	23	19	2	
376	64	1	36	68	30	25	30	
377	14	1	35	27	25	59	19	
378	2	19	13	11	3	60	2	
379	7	1	11	1	61	2	1	
380	10	5	61	3	17	22	65	
381	2	1	13	11	3	52	2	
382	18	1	62	24	20	53	15	
383	2	7	11	3	3	54	2	
384	12	7	63	7	6	1	5	
385	9	6	64	33	1	15	66	
386	60	8	11	33	6	2	14	
387	9	6	7	13	13	35	8	
388	35	7	40	32	32	26	31	
389	4	1	30	32	1	10	20	
390	15	2	3	54	17	1	11	
391	15	2	3	6	17	15	11	
392	15	1	11	6	5	1	11	
393	4	1	11	32	5	26	4	
394	14	7	30	3	64	2	22	
395	12	8	3	8	65	4	5	
396	2	12	35	32	50	2	23	
397	31	1	32	34	6	1	12	
398	17	5	27	5	6	2	54	
399	4	4	4	3	2	1	5	
400	9	5	4	16	66	13	10	
401	14	12	9	10	16	2	12	
402	14	12	9	10	16	2	2	
403	11	5	4	16	11	13	10	
404	12	7	3	5	6	34	5	
405	12	7	67	29	7	10	50	
406	14	2	18	10	16	57	5	
407	17	2	3	1	14	14	1	
408	11	7	69	1	1	10	1	
409	1	7	69	1	1	10	1	
410	8	7	7	5	7	4	1	
411	19	1	24	22	7	17	6	
412	14	1	18	52	67	4	70	
413	65	1	1	3	7	7	6	
414	14	6	11	45	21	20	28	
415	9	6	7	16	11	11	8	
416	11	5	1	16	11	13	10	
417	66	7	7	37	21	1	17	
418	27	2	16	28	26	20	1	
419	14	2	4	28	21	20	1	
420	17	2	22	1	69	14	1	
421	4	7	8	3	8	1	3	
422	12	4	3	7	6	1	5	
423	12	1	3	7	6	1	5	
424	67	4	8	3	8	1	3	
425	5	1	30	5	27	6	3	
426	2	6	23	11	3	4	2	
427	3	7	11	12	9	10	7	
428	29	6	30	45	60	14	4	
429	12	7	3	7	6	1	7	
430	16	2	19	16	6	15	4	
431	3	7	23	1	9	16	1	
432	20	5	7	25	23	14	68	
433	14	2	23	10	16	2	12	
434	3	7	11	1	9	16	7	
435	3	1	3	12	9	14	7	
436	12	7	3	17	6	20	5	
437	1	7	9	1	1	61	1	
438	3	20	23	1	68	16	7	
439	12	7	3	7	6	62	5	
440	9	6	50	69	11	35	10	
441	12	7	3	17	6	18	71	
442	20	21	7	25	23	2	2	
443	20	3	7	6	23	2	2	
444	14	1	3	22	19	1	14	
445	8	22	15	9	4	18	1	
446	14	2	32	5	7	24	2	
447	1	7	3	7	6	1	5	
448	12	7	3	7	8	1	5	
449	12	7	3	7	10	1	5	
450	7	1	11	1	6	2	1	
451	4	4	8	3	6	1	3	
452	17	5	1	17	14	14	1	
453	5	2	15	9	4	18	1	
454	5	1	35	10	1	10	10	
455	14	2	27	1	31	12	57	
456	3	1	23	1	9	16	7	
457	12	7	17	37	7	7	6	
458	13	6	7	9	11	34	20	
459	14	5	44	53	44	36	30	
460	6	6	43	50	6	24	21	
461	14	6	11	45	4	19	28	
462	14	6	30	45	4	19	28	
463	12	7	67	29	7	10	20	
464	12	4	8	3	8	1	3	
465	4	4	8	3	70	1	3	
466	42	7	43	70	6	24	72	
467	5	1	1	3	7	7	73	
468	7	23	11	1	10	2	1	
469	14	7	9	3	10	1	1	
470	5	7	7	5	7	4	6	
471	7	7	7	5	7	4	6	
472	38	14	41	42	11	15	11	
473	12	14	3	17	6	20	5	
474	14	1	18	57	16	35	12	
475	4	6	56	29	7	1	20	
476	17	2	1	3	14	14	1	
477	5	2	3	11	6	12	72	
478	31	1	27	34	6	1	25	
479	15	15	33	47	17	15	11	
480	1	1	22	22	7	17	6	
481	11	6	7	33	1	38	10	
482	14	6	11	45	4	20	28	
483	12	7	3	17	6	10	5	
484	51	24	32	71	27	14	3	
485	12	7	3	7	71	1	5	
486	12	7	30	17	72	10	20	
487	35	25	3	32	32	26	31	
488	4	26	8	3	8	1	3	
489	68	1	70	72	1	63	12	
490	1	7	71	1	1	1	74	
491	12	7	3	73	6	1	5	
492	12	7	3	17	6	10	75	
493	9	27	6	13	13	11	8	
494	3	7	7	1	4	1	1	
495	5	1	1	3	8	1	6	
496	3	7	7	12	4	1	1	
497	23	4	8	3	8	1	3	
498	29	6	30	5	60	1	4	
499	5	7	7	12	7	1	6	
500	4	1	1	3	7	1	6	
501	12	7	30	5	39	2	36	
502	16	2	33	54	17	15	11	
503	4	4	8	3	8	1	1	
504	4	4	8	3	6	1	5	
505	23	6	30	25	24	2	17	
506	34	28	17	37	29	23	17	
507	3	7	7	12	73	1	1	
508	70	1	13	11	3	2	2	
509	3	1	11	12	9	47	7	
510	71	7	23	1	9	16	7	
511	3	8	23	1	9	16	7	
512	27	2	16	23	26	2	1	
513	27	12	35	32	16	2	23	
514	27	1	11	6	21	1	2	
515	20	7	11	17	6	1	5	
516	49	2	3	5	9	20	56	
517	5	1	7	5	21	1	4	
518	21	4	8	3	8	1	5	
519	12	1	8	3	8	1	5	
520	22	7	30	17	74	20	20	
521	72	2	72	24	75	45	76	
522	15	2	19	47	76	15	11	
523	14	6	17	37	1	3	1	
524	4	6	16	74	1	1	4	
525	12	7	3	32	6	26	5	
526	15	7	3	75	6	1	5	
527	8	7	7	12	73	1	1	
528	8	2	15	9	4	18	1	
529	15	2	33	16	17	10	35	
530	58	1	3	32	77	1	5	
531	12	7	3	7	7	1	5	
532	5	1	1	3	6	7	6	
533	8	7	7	5	4	4	11	
534	56	1	3	29	6	2	1	
535	1	1	18	57	1	35	53	
536	12	7	9	17	6	1	5	
537	20	1	1	3	7	1	6	
538	12	7	3	17	6	2	5	
539	12	7	3	7	1	4	5	
540	1	7	9	1	75	1	1	
541	5	1	1	3	1	7	6	
542	2	1	11	11	1	4	2	
543	12	7	3	7	1	1	5	
544	27	7	16	3	1	1	7	
545	2	7	11	3	6	4	2	
546	12	7	3	7	6	2	5	
547	6	10	11	17	1	4	1	
548	27	7	16	10	6	1	7	
549	10	1	11	6	21	1	4	
550	12	7	3	7	21	1	5	
551	4	6	7	29	3	1	20	
552	4	6	7	1	6	1	20	
553	5	1	1	3	4	7	6	
554	15	7	37	1	6	15	11	
555	12	1	3	7	8	1	5	
556	1	1	9	1	6	1	1	
557	4	6	7	29	6	1	20	
558	2	7	11	11	17	15	2	
559	12	7	3	7	10	2	5	
560	2	7	11	11	8	1	2	
561	27	7	16	10	6	10	7	
562	1	7	11	21	6	4	1	
563	12	7	3	7	6	4	5	
564	12	7	3	7	5	1	5	
565	12	7	3	7	7	7	5	
566	12	7	3	7	21	10	5	
567	1	7	11	21	4	2	1	
568	1	7	9	1	21	1	1	
569	1	7	9	1	6	1	1	
570	2	7	11	6	3	4	2	
571	1	7	9	1	7	7	1	
572	1	7	11	21	6	1	1	
573	4	8	37	16	40	46	15	
574	1	7	71	1	1	1	1	
575	16	15	33	16	17	15	11	
576	27	29	11	21	7	1	1	
577	9	6	6	33	13	10	8	
578	20	2	18	1	6	15	19	
579	9	6	7	63	1	11	8	
580	5	7	1	3	7	7	60	
581	34	1	17	37	29	23	6	
582	8	2	7	5	4	4	1	
583	5	7	1	3	7	7	6	
584	73	7	32	10	39	4	77	
585	8	7	7	4	4	4	1	
586	8	7	1	4	4	4	1	
587	5	1	1	3	14	7	6	
588	17	2	1	3	7	14	1	
589	3	6	23	12	9	64	7	
590	3	1	1	22	7	14	7	
591	5	1	1	3	7	17	6	
592	27	1	16	1	27	14	23	
593	14	2	17	1	3	3	17	
594	56	8	21	8	40	6	13	
595	2	2	12	8	1	6	2	
596	39	2	49	45	47	2	8	
597	74	2	73	10	78	18	17	
598	45	5	44	53	62	41	42	
599	2	2	12	11	3	6	2	
600	17	2	22	76	14	14	1	
601	15	1	18	57	79	35	53	
602	2	7	74	21	3	4	2	
603	42	6	47	77	6	48	5	
604	2	7	11	1	23	16	2	
605	75	2	30	39	6	1	15	
606	31	1	32	34	6	65	25	
607	2	7	11	3	3	66	2	
608	2	3	11	11	3	2	2	
609	9	1	27	31	80	24	14	
610	16	2	37	1	17	15	11	
611	17	7	29	17	74	1	9	
612	2	1	7	25	23	2	2	
613	7	7	47	1	10	16	1	
614	9	6	75	49	11	15	61	
615	1	7	10	1	1	67	1	
616	35	2	41	78	81	1	9	
617	17	2	22	1	14	68	1	
618	14	9	18	10	16	2	12	
619	76	2	16	28	26	2	1	
620	14	2	18	10	16	1	12	
621	1	2	18	4	1	69	1	
622	3	1	76	12	9	14	7	
623	1	7	77	1	1	1	1	
624	59	5	78	53	82	36	42	
625	77	6	4	49	11	15	61	
626	7	12	11	1	10	2	1	
627	7	7	11	21	10	4	1	
628	3	1	23	12	9	10	7	
629	1	7	9	79	1	1	1	
630	19	1	1	22	19	17	14	
631	20	6	17	15	15	2	5	
632	27	1	1	32	6	2	23	
633	4	4	1	3	7	1	3	
634	18	1	24	80	83	70	15	
635	8	30	7	5	4	4	1	
636	12	7	3	2	6	1	5	
637	78	1	11	6	5	5	4	
638	5	1	1	1	7	23	6	
639	12	2	3	32	6	20	4	
640	4	4	8	3	8	1	78	
641	2	2	11	28	3	2	2	
642	12	7	3	7	6	72	5	
643	35	7	3	2	6	1	5	
644	27	1	11	1	21	2	2	
645	5	1	1	3	84	1	6	
646	3	3	23	12	9	10	7	
647	2	1	31	11	11	71	8	
648	12	10	3	17	31	2	5	
649	15	2	80	1	3	15	11	
650	17	7	16	5	75	1	9	
651	79	5	79	81	85	73	79	
652	34	1	81	82	3	74	79	
653	4	28	17	37	29	23	17	
654	20	1	14	15	3	14	9	
655	35	2	18	4	1	69	56	
656	9	1	49	83	86	15	22	
657	25	2	15	9	23	75	26	
658	82	2	1	3	14	14	1	
659	1	1	22	1	7	14	6	
660	4	17	29	11	2	10	3	
661	18	31	24	80	83	70	15	
662	62	17	29	11	87	10	17	
663	83	1	22	22	7	17	6	
664	84	1	31	84	19	76	15	
665	80	6	7	16	11	11	11	
666	12	5	79	81	85	73	79	
667	14	8	12	13	31	46	22	
668	81	1	17	6	85	14	28	
669	15	2	3	2	3	77	11	
670	5	11	1	3	7	7	6	
671	5	7	3	2	6	4	5	
672	12	5	30	5	74	20	33	
673	14	2	16	38	31	2	21	
674	14	6	7	42	13	35	28	
675	41	1	35	11	39	1	4	
676	19	1	3	22	19	1	14	
677	15	16	33	54	76	15	11	
678	15	2	37	37	17	15	11	
679	12	7	7	12	73	1	1	
680	35	2	31	70	39	24	14	
681	17	2	11	3	5	1	28	
682	9	1	1	3	7	1	61	
683	18	1	3	68	8	45	15	
684	1	2	1	32	6	10	80	
685	62	17	3	11	87	10	17	
686	56	2	7	10	38	15	11	
687	42	1	18	28	39	24	19	
688	14	6	30	3	4	2	22	
689	8	1	22	22	7	17	6	
690	9	1	49	83	25	15	22	
691	14	2	82	10	16	2	12	
692	12	7	3	32	1	78	1	
693	12	6	17	17	3	2	81	
694	9	5	4	16	1	11	8	
695	12	2	17	32	88	79	4	
696	19	2	15	85	89	22	82	
697	85	2	7	12	26	1	1	
698	14	2	2	10	91	2	12	
699	10	5	83	86	90	22	85	
700	1	7	9	1	1	1	84	
701	15	1	2	57	3	35	53	
702	17	7	28	24	10	20	1	
703	14	2	2	10	91	1	12	
704	14	2	7	49	26	1	1	
705	12	7	27	11	60	1	86	
706	64	1	36	68	92	25	30	
707	86	5	78	53	82	36	83	
708	1	2	35	32	6	10	80	
709	20	2	84	54	17	15	11	
710	5	2	1	37	29	14	17	
711	5	8	12	87	7	46	6	
712	20	3	7	28	23	80	2	
713	5	1	1	6	7	1	6	
714	27	12	1	5	6	2	23	
715	12	7	30	17	1	10	20	
716	87	2	85	3	14	14	1	
717	49	2	85	3	14	14	1	
718	17	2	86	3	14	14	1	
719	12	32	32	51	6	20	5	
720	35	7	3	2	56	1	5	
721	12	7	3	11	6	20	5	
722	23	6	7	25	24	52	17	
723	12	7	7	5	4	5	1	
724	8	7	7	5	4	5	1	
725	8	7	9	5	4	5	1	
726	2	7	11	11	3	5	2	
727	27	1	1	32	6	52	23	
728	3	2	7	72	10	2	7	
729	6	10	37	17	4	2	1	
730	14	6	43	42	13	35	28	
731	14	1	7	52	39	4	41	
732	1	7	30	1	1	10	1	
733	9	6	87	49	18	20	8	
734	11	5	4	31	11	13	10	
735	15	2	18	57	3	15	53	
736	14	6	15	5	92	31	12	
737	12	7	3	7	6	1	47	
738	12	7	3	32	6	26	47	
739	34	12	1	32	29	2	17	
740	9	6	6	13	13	81	8	
741	15	2	3	88	17	15	11	
742	41	1	7	89	93	1	87	
743	88	7	88	6	10	20	7	
744	16	1	3	16	17	17	11	
745	89	6	7	25	24	2	17	
746	15	2	89	46	17	15	11	
747	5	1	90	3	7	82	6	
748	15	2	17	90	17	15	1	
749	90	1	18	31	39	20	88	
750	18	1	24	24	20	17	89	
751	91	8	12	13	40	46	22	
752	27	2	16	28	26	83	1	
753	12	10	3	47	6	15	5	
754	12	5	4	16	1	13	1	
755	14	1	22	10	16	2	12	
756	19	2	4	22	19	4	14	
757	93	33	16	1	1	1	1	
758	92	11	9	1	1	1	1	
759	14	1	11	22	19	17	28	
760	12	2	3	17	14	1	5	
761	9	1	7	5	60	1	4	
762	1	7	16	1	1	1	1	
763	19	1	24	22	10	45	14	
764	94	5	91	91	40	73	79	
765	1	34	92	3	14	2	1	
766	19	1	1	3	26	1	1	
767	49	2	31	24	3	17	27	
768	27	29	11	21	4	2	1	
769	15	7	3	32	32	26	31	
770	1	7	3	1	1	1	1	
771	14	1	1	3	94	7	6	
772	4	6	7	92	8	1	20	
773	1	7	10	1	1	84	1	
774	4	7	3	3	8	1	3	
775	1	2	1	3	14	14	1	
776	12	1	11	6	95	1	90	
777	27	2	11	28	26	2	1	
778	12	7	3	32	32	26	31	
779	27	1	3	1	6	17	5	
780	95	8	12	93	40	15	91	
781	8	6	7	12	4	4	1	
782	92	11	11	3	34	3	4	
783	9	1	7	11	14	1	22	
784	4	2	12	8	40	6	4	
785	9	8	12	94	40	6	13	
786	12	35	11	6	95	1	90	
787	6	10	11	17	73	71	1	
788	53	28	23	12	9	84	7	
789	15	24	84	54	17	15	35	
790	8	34	7	4	73	66	1	
791	92	1	70	72	6	63	12	
792	8	1	24	9	73	70	1	
793	12	34	3	7	55	31	81	
794	12	7	3	7	55	82	81	
795	12	34	3	7	77	82	81	
796	12	34	22	22	55	82	81	
797	20	29	1	3	7	82	60	
798	20	29	1	3	7	35	73	
799	20	29	1	3	7	7	60	
800	20	1	1	3	7	31	60	
801	20	31	1	3	7	31	60	
802	20	3	1	3	7	7	60	
803	20	29	1	48	7	82	60	
804	20	29	1	48	7	39	60	
805	20	23	1	3	7	82	73	
806	20	29	1	48	7	39	73	
807	1	29	22	22	7	17	73	
808	1	3	22	22	7	17	60	
809	48	29	22	22	7	17	60	
810	4	4	8	3	8	82	78	
811	4	4	8	48	70	82	78	
812	5	29	1	3	7	82	60	
813	48	34	9	1	1	82	1	
814	48	34	9	1	1	31	1	
815	48	34	11	21	1	66	1	
816	20	1	1	48	7	71	60	
817	81	1	1	3	7	71	73	
818	14	24	17	1	3	16	17	
819	4	6	7	29	8	82	20	
820	48	29	22	22	7	53	60	
821	14	34	30	3	90	2	22	
822	27	12	35	32	50	39	23	
