ST	adhP	pheS	atr	glnA	sdhA	glcK	tkt
102	24	10	6	3	2	1	3
103	16	1	6	2	9	9	2
104	21	1	4	1	5	3	2
105	27	1	1	13	1	16	1
106	1	1	3	4	2	5	2
107	15	1	3	2	2	2	2
108	2	1	1	2	1	6	1
109	2	1	1	10	1	1	1
110	1	1	3	2	2	2	9
111	28	1	1	2	1	1	1
112	1	1	3	2	17	2	2
113	22	1	4	1	3	3	2
114	15	4	6	3	2	1	3
115	23	1	1	2	1	1	1
116	4	14	4	1	3	3	2
117	30	1	3	1	1	2	2
118	31	1	4	1	3	3	2
119	2	1	21	2	1	1	1
120	2	15	1	2	1	1	1
121	32	1	3	2	2	2	2
122	1	1	3	2	2	19	2
123	1	1	23	2	2	2	2
124	1	1	22	2	2	2	2
125	2	1	1	2	19	1	1
126	2	1	1	2	1	1	10
127	1	1	4	4	1	3	6
128	2	1	1	19	1	1	1
129	2	1	1	2	21	20	1
130	9	8	4	1	5	3	4
131	1	1	3	2	2	3	2
132	5	4	24	3	2	1	3
133	2	1	1	9	1	1	1
134	29	1	4	1	3	3	2
135	1	1	3	23	2	2	2
136	1	1	3	1	22	12	2
137	14	1	1	2	1	1	1
138	1	1	4	2	2	2	2
139	1	1	4	1	1	2	2
140	9	1	1	1	3	2	2
141	9	5	2	1	3	2	2
142	2	1	1	21	1	1	1
143	5	10	6	3	23	1	3
144	5	4	1	3	2	1	3
145	33	4	6	3	2	1	3
146	2	1	1	1	1	1	1
147	2	1	1	22	1	1	1
148	2	1	1	24	1	1	1
149	1	1	3	2	2	2	11
150	2	1	1	2	1	1	12
151	34	1	2	1	1	2	2
152	37	1	3	2	2	2	2
153	36	1	2	1	1	2	2
154	35	1	3	2	2	2	2
155	13	3	1	3	24	1	1
156	1	1	1	1	1	2	2
157	9	1	1	1	3	3	2
158	1	1	6	2	2	2	2
159	10	1	1	3	3	3	2
160	9	5	6	1	3	3	2
161	5	4	2	3	2	1	3
162	5	4	3	3	2	3	3
163	5	4	4	3	2	1	3
164	1	1	2	2	2	2	2
165	9	1	6	1	3	3	2
166	5	4	3	3	2	1	3
167	1	1	6	1	1	2	2
168	13	3	4	25	1	1	1
169	13	3	4	3	1	1	1
170	2	1	2	2	1	1	1
171	2	1	3	2	1	1	1
172	1	1	3	1	1	3	4
173	38	1	2	1	1	2	2
174	2	1	1	3	1	1	1
175	1	1	3	3	2	2	2
176	1	1	3	2	2	9	2
177	2	1	1	6	2	1	1
178	1	1	3	2	2	2	3
179	2	1	1	2	1	1	3
180	2	4	1	2	1	1	1
181	30	1	3	2	2	2	2
182	1	1	3	2	18	2	2
183	48	1	2	1	1	2	2
184	1	4	2	1	2	2	3
185	2	4	1	2	2	1	3
186	1	1	2	1	1	2	5
187	5	1	6	2	2	2	3
188	2	1	1	2	1	1	2
189	13	4	1	3	1	1	1
190	1	4	3	2	2	2	2
191	2	4	1	12	1	1	1
192	2	1	16	6	1	1	1
193	1	1	3	2	2	2	1
194	39	1	1	2	1	1	1
195	9	1	1	1	3	2	1
196	1	1	3	1	1	12	2
197	1	1	3	1	2	2	2
198	13	4	6	3	2	1	3
199	5	4	6	3	2	1	2
200	9	1	4	1	3	3	5
201	2	1	25	2	1	1	1
202	40	1	3	1	1	2	2
203	5	4	6	3	2	3	1
204	1	1	4	3	1	3	3
205	5	4	1	3	2	2	1
206	5	4	1	3	2	1	1
207	1	1	2	1	2	2	3
208	1	1	6	1	2	2	3
209	1	1	10	1	2	2	3
210	5	4	6	3	2	1	14
211	5	4	6	3	2	22	3
212	5	4	6	3	2	1	15
213	43	4	6	3	2	1	3
214	44	4	6	3	2	1	3
215	5	4	26	3	2	1	3
216	5	4	27	3	2	1	3
217	1	1	2	1	1	2	13
218	41	1	3	2	2	2	2
219	42	1	3	2	2	2	2
220	1	4	6	3	2	1	3
221	5	4	6	3	2	2	3
222	5	4	6	3	2	1	4
223	5	4	6	3	2	1	1
224	5	10	6	1	2	1	4
225	1	10	4	1	1	3	3
226	16	1	2	2	9	1	2
227	4	1	4	3	3	3	3
228	5	1	2	1	1	2	2
229	2	1	1	6	1	1	10
230	8	1	28	1	3	23	2
231	1	1	2	1	1	24	2
232	45	1	3	2	2	2	2
233	46	1	3	2	2	2	2
234	5	4	6	3	2	1	16
235	47	1	2	1	1	2	2
236	4	1	2	1	1	3	2
237	2	1	1	2	1	1	17
238	4	1	2	1	1	2	2
239	10	1	4	1	3	3	18
240	9	8	4	1	3	3	4
241	1	16	3	2	2	2	2
242	1	1	29	26	1	2	2
243	1	1	4	1	25	3	4
244	2	1	30	2	1	1	1
245	46	1	4	1	3	3	2
246	49	17	31	4	26	25	19
247	13	1	2	2	27	9	1
248	16	18	2	2	9	2	2
249	5	4	6	1	2	1	3
250	1	1	3	1	12	2	2
251	1	1	2	27	1	2	2
252	50	1	2	2	1	1	1
253	5	19	6	3	2	1	3
254	9	1	3	2	2	2	2
255	9	1	2	2	3	2	2
256	51	1	5	4	1	4	6
257	52	17	31	4	26	2	19
258	10	17	2	2	26	26	2
259	52	17	31	28	26	26	2
260	52	17	31	28	26	26	19
261	54	17	31	4	26	25	19
262	5	4	32	3	2	1	3
263	1	1	33	1	1	2	2
264	4	1	4	1	3	3	20
265	53	1	4	1	3	3	2
266	1	1	3	29	28	2	2
267	32	1	3	5	2	2	2
268	10	1	4	2	3	3	2
269	13	3	1	3	1	1	2
270	13	1	1	3	1	1	1
271	13	1	1	2	1	1	5
272	10	1	4	1	3	3	21
273	4	22	4	1	3	3	2
274	1	21	3	2	2	2	9
275	4	1	4	31	3	3	2
276	5	20	6	30	2	1	3
277	55	1	2	1	1	2	2
278	2	1	1	2	1	27	1
279	5	4	6	3	30	1	3
280	5	4	6	3	29	1	3
281	57	1	2	1	1	2	5
282	2	24	1	2	1	1	1
283	9	5	7	1	3	3	2
284	59	10	6	3	2	1	3
285	1	1	36	2	2	2	2
286	1	1	37	2	2	2	2
287	2	1	1	2	1	31	1
288	1	1	4	1	1	30	2
289	1	1	3	36	2	2	9
290	2	26	1	2	1	1	1
291	2	25	1	2	1	1	1
292	1	1	3	5	32	2	2
293	1	1	3	1	1	2	5
294	60	1	3	2	2	2	2
295	58	1	3	2	2	2	2
296	8	1	4	1	3	23	2
297	1	1	2	2	1	2	2
298	13	1	2	3	1	1	5
299	61	1	4	1	1	3	4
300	56	23	34	37	3	9	4
301	13	1	1	13	1	28	5
302	56	23	6	33	3	9	4
303	56	23	35	37	3	9	4
304	9	1	2	4	3	2	2
305	5	4	6	32	2	1	3
306	1	1	3	1	12	2	1
307	5	7	6	3	2	1	1
308	1	1	2	34	1	29	3
309	13	1	1	2	1	9	1
310	13	1	1	13	1	9	1
311	5	4	6	35	2	1	3
312	13	1	1	13	1	9	5
313	13	1	1	2	1	28	5
314	16	1	2	2	9	2	2
315	2	1	1	2	31	1	1
316	63	1	1	2	1	1	1
317	1	1	2	1	33	2	2
318	1	1	2	3	1	1	2
319	2	1	1	2	1	1	22
320	5	4	6	3	2	1	23
321	64	1	2	1	1	2	2
322	5	4	4	3	2	3	2
323	1	1	39	4	1	4	6
324	1	1	40	2	2	2	2
325	5	4	6	4	2	1	3
326	5	4	41	3	2	3	3
327	1	1	4	2	20	3	2
328	1	1	4	2	2	3	2
329	2	1	1	38	1	1	1
330	1	27	4	2	2	3	2
331	1	1	3	5	2	2	3
332	4	1	3	1	3	3	2
333	1	1	3	1	1	12	5
334	5	4	42	3	2	1	3
335	1	1	43	2	2	2	2
336	1	1	44	2	2	32	2
337	13	1	1	13	1	2	1
338	56	23	6	33	3	9	24
339	13	1	1	13	1	34	5
340	56	23	34	37	3	9	24
341	13	1	1	2	1	1	4
342	1	1	2	34	1	29	2
343	13	1	1	2	27	9	1
344	56	23	35	37	3	9	24
345	62	1	2	1	1	22	2
346	1	1	45	1	1	2	2
347	65	1	3	5	2	2	2
348	1	1	3	2	16	2	2
349	35	1	2	1	1	2	2
350	9	1	4	39	3	3	2
351	66	1	3	2	2	2	2
352	1	1	1	40	1	1	2
353	10	15	12	1	3	2	2
354	13	1	1	13	1	1	25
355	2	1	46	2	1	1	1
356	13	1	2	41	1	1	5
357	2	1	1	2	1	3	1
358	1	1	4	1	3	3	2
359	2	1	1	2	1	35	1
360	2	1	1	2	1	36	1
361	10	1	4	1	1	3	2
362	4	1	4	1	2	3	2
363	67	1	47	1	3	2	2
364	1	1	2	1	1	2	26
365	1	1	5	4	3	4	27
366	5	4	6	3	35	1	3
367	68	1	2	1	1	2	2
368	1	1	3	5	2	1	2
369	1	1	48	4	2	2	2
370	1	1	2	1	1	1	2
371	1	1	6	1	1	1	2
372	69	1	4	1	3	3	2
373	70	1	4	1	3	3	2
374	10	1	49	1	3	3	2
375	1	1	2	1	1	2	28
376	2	1	1	2	36	1	1
377	1	1	4	5	2	2	2
378	1	1	3	1	1	2	29
379	1	1	3	2	34	2	2
380	5	28	6	3	2	1	3
381	71	1	4	1	3	3	2
382	72	1	3	2	2	2	2
383	1	1	2	42	1	2	2
384	2	1	1	2	1	37	1
385	5	4	6	3	2	1	30
386	15	1	3	5	2	2	2
387	1	1	2	1	1	3	2
388	1	1	5	1	1	4	6
389	1	1	3	2	2	2	5
390	4	1	4	1	3	9	2
391	1	1	6	3	2	1	3
392	1	1	3	43	2	2	2
393	1	1	3	2	2	2	31
394	73	1	2	1	1	2	2
395	1	1	50	2	2	2	2
396	1	1	3	2	10	2	2
397	5	25	4	1	2	1	3
398	1	1	4	1	1	4	2
399	10	1	4	1	3	1	2
400	12	1	4	1	3	3	2
401	1	8	4	1	5	3	2
402	2	1	3	1	3	2	2
403	5	4	6	3	2	2	2
404	5	1	3	2	2	1	3
405	2	1	4	2	1	1	2
406	5	4	6	6	2	1	3
407	13	3	1	1	1	1	1
408	1	1	51	2	2	2	2
409	1	1	3	2	37	1	2
410	5	10	3	2	2	2	2
411	30	1	2	1	1	2	2
412	5	4	38	3	2	1	3
413	1	1	2	4	1	2	2
414	1	1	4	2	1	3	2
415	13	1	2	13	1	1	5
416	76	1	1	13	1	1	1
417	5	28	6	13	2	1	3
418	13	1	1	2	1	1	33
419	77	1	1	13	1	9	1
420	1	1	1	2	1	1	2
421	1	1	2	46	1	29	2
422	1	1	1	13	1	2	1
423	13	1	3	1	12	2	2
424	1	1	2	1	12	2	2
425	13	1	2	1	1	2	2
426	78	4	6	3	2	1	3
427	5	1	6	3	2	1	2
428	1	1	2	46	40	2	2
429	1	1	2	46	1	2	2
430	1	1	3	1	9	2	2
431	13	1	1	2	1	9	5
432	9	1	1	1	5	2	2
433	1	1	1	2	1	1	33
434	1	2	1	1	1	2	2
435	74	10	6	3	2	1	3
436	75	1	1	2	1	1	1
437	2	29	1	12	1	1	1
438	2	30	1	6	1	1	1
439	5	4	6	3	38	1	3
440	2	1	1	2	1	1	32
441	5	31	6	3	2	1	3
442	5	4	6	44	2	1	3
443	5	4	6	3	2	38	3
444	5	4	52	3	2	1	3
445	5	4	53	3	2	1	3
446	5	4	6	45	2	1	3
447	1	1	3	2	39	2	2
448	1	1	2	1	1	39	2
449	2	1	3	2	18	2	1
450	79	1	1	2	1	1	1
451	2	32	1	2	1	1	1
452	5	25	4	3	2	3	3
453	1	1	54	1	1	2	2
454	4	1	1	1	3	3	2
455	5	1	1	2	1	1	1
456	1	1	1	2	2	2	2
457	2	1	6	3	2	1	3
458	1	1	2	1	1	2	3
459	1	1	3	1	41	12	2
460	1	33	2	1	1	2	2
461	16	1	6	2	9	9	34
462	86	1	2	1	1	2	2
463	1	1	2	3	1	2	2
464	5	4	4	3	2	3	1
465	2	1	1	24	1	1	2
466	2	1	16	2	1	1	1
467	2	1	1	2	1	32	1
468	5	25	4	3	2	3	1
469	2	1	1	48	1	1	1
470	2	1	1	2	42	1	35
471	1	1	55	2	2	2	2
472	1	1	3	5	43	2	2
473	1	1	3	49	1	12	2
474	9	1	4	1	44	3	2
475	1	1	3	2	45	2	2
476	2	1	1	2	1	1	36
477	5	4	6	50	2	1	3
478	1	1	2	5	1	2	2
479	1	1	3	5	46	2	2
480	1	1	4	1	1	1	5
481	5	4	6	51	2	1	3
482	2	1	1	2	47	1	1
483	13	1	56	13	1	9	1
484	2	1	57	2	1	1	1
485	16	1	4	2	9	3	2
486	16	1	6	2	9	1	2
487	1	1	2	1	1	2	1
488	25	1	1	13	1	1	1
489	13	1	2	13	1	41	5
490	13	1	1	13	1	1	37
491	9	5	7	1	3	3	38
492	5	4	6	52	2	1	3
493	2	1	1	2	1	1	39
494	2	1	1	2	48	1	1
495	5	4	6	2	2	1	40
496	2	34	1	2	1	1	1
497	87	1	3	1	1	2	2
498	5	35	4	3	2	3	3
499	1	1	58	2	1	2	2
500	10	1	2	1	49	2	2
501	5	4	59	3	2	1	3
502	88	1	3	1	1	2	2
503	89	1	4	1	3	3	2
504	80	1	3	2	2	2	2
505	81	4	1	3	1	1	3
506	82	4	6	3	2	1	3
507	83	1	2	1	1	2	2
508	84	1	4	47	3	3	2
509	10	1	4	1	3	40	2
510	85	1	3	2	2	2	2
511	2	1	60	2	1	1	2
512	2	1	1	53	1	1	1
513	10	1	4	54	3	3	2
514	1	1	2	55	1	2	2
515	2	1	1	56	1	1	1
516	90	1	4	1	1	3	41
517	91	1	1	2	1	1	1
518	1	1	2	57	1	2	2
519	9	36	4	1	5	3	4
520	1	1	3	58	2	2	2
521	1	1	3	2	2	42	2
522	2	1	1	2	1	1	42
523	8	1	4	1	3	3	43
524	1	1	2	1	1	2	44
525	96	3	1	3	1	1	1
526	97	8	4	1	5	3	4
527	98	1	4	1	3	3	2
528	5	4	6	3	2	3	3
529	1	1	4	4	2	3	2
530	99	1	2	1	1	2	2
531	100	1	2	1	1	2	2
532	1	1	3	5	50	2	2
533	94	1	2	1	1	43	2
534	93	4	4	3	2	3	3
535	1	1	2	1	1	2	45
536	4	1	4	59	3	3	2
537	1	1	61	5	2	2	2
538	101	1	4	1	3	3	2
539	5	4	7	3	2	3	3
540	2	1	2	1	1	1	1
541	46	9	3	5	2	2	2
542	2	37	1	2	1	1	1
543	102	1	1	2	1	1	1
544	103	1	3	2	2	2	2
545	5	4	62	3	2	1	3
546	10	38	2	1	3	2	2
547	1	1	3	2	2	45	2
548	104	1	4	1	3	3	2
549	9	1	2	1	3	2	46
550	2	1	1	40	1	1	1
551	105	1	3	1	1	2	2
552	52	17	31	4	26	26	19
553	52	17	31	4	2	26	19
554	13	39	1	13	1	1	1
555	1	1	3	2	18	2	47
556	5	4	6	3	2	44	3
557	2	1	1	60	1	1	1
558	10	1	2	1	3	2	5
559	1	1	16	2	2	2	5
560	10	1	4	1	3	46	2
561	1	1	3	5	2	45	2
562	9	1	4	1	3	1	2
563	1	10	3	1	1	12	2
564	2	1	1	2	1	47	1
565	95	1	4	1	1	2	2
566	1	1	3	2	2	2	48
567	106	1	3	1	1	2	2
568	16	1	6	2	51	9	2
569	9	1	1	1	3	1	2
570	16	1	1	2	1	1	5
571	9	1	4	1	3	48	2
572	1	1	3	2	2	49	2
573	9	1	4	1	3	9	2
574	108	1	1	2	1	1	1
575	1	1	43	61	2	2	2
576	2	1	6	10	1	1	1
577	2	4	1	10	1	1	1
578	2	1	6	2	1	1	1
579	9	1	4	1	2	3	2
580	9	1	3	5	39	2	2
581	5	4	6	3	9	1	1
582	5	1	6	2	1	1	1
583	4	1	4	1	1	3	1
584	2	1	1	62	1	1	1
585	10	1	12	1	3	2	5
586	13	3	1	63	1	1	1
587	65	1	3	2	2	2	2
588	1	1	3	1	52	2	2
589	1	1	2	64	1	2	2
590	10	1	4	1	53	3	2
591	13	1	6	13	1	1	1
592	13	3	65	3	1	1	1
593	1	1	64	2	1	2	2
594	1	1	63	2	2	2	2
595	1	1	66	2	2	2	2
596	1	1	1	2	2	1	2
597	5	9	6	3	2	1	3
598	4	3	4	1	3	3	2
599	5	4	6	3	2	1	49
600	109	1	2	1	1	2	2
601	92	1	3	2	2	2	2
602	92	1	2	1	1	2	2
603	1	1	3	1	1	5	2
604	110	1	2	2	3	2	2
605	1	1	3	1	1	50	2
606	1	1	2	1	1	51	2
607	28	25	1	2	1	1	1
608	58	42	3	2	18	2	2
609	56	40	4	66	1	53	4
610	13	40	6	65	3	52	50
611	13	40	68	65	54	52	51
612	111	40	6	65	3	52	51
613	111	40	67	65	3	52	51
614	56	41	4	66	1	53	4
615	13	40	6	65	3	52	51
616	13	40	68	65	55	52	4
617	13	40	68	65	3	52	51
618	111	40	69	65	3	52	51
619	62	1	2	1	1	2	2
620	1	43	3	2	2	2	2
621	13	1	6	13	1	2	1
622	13	1	6	13	1	1	52
623	16	5	4	2	9	3	2
624	5	4	6	2	2	1	3
625	10	1	2	67	3	2	2
626	5	10	70	3	2	1	3
627	5	4	6	3	2	1	53
628	1	1	3	1	1	54	2
629	9	1	4	1	56	3	2
630	5	4	6	68	2	1	3
631	2	44	1	2	1	1	1
632	13	45	1	13	1	1	1
633	113	1	6	2	9	9	2
634	112	1	2	1	1	2	2
635	1	1	71	1	1	2	2
636	1	1	2	1	1	55	2
637	9	1	4	3	3	3	2
638	9	1	3	2	2	2	9
639	5	4	6	3	57	1	3
640	5	4	6	3	58	1	3
641	5	4	72	3	2	1	3
642	5	4	6	3	2	1	54
643	2	1	73	2	1	1	1
644	1	46	6	1	1	2	2
645	94	1	3	1	1	2	2
646	1	1	3	2	2	2	55
647	1	1	3	69	2	2	2
648	114	1	2	1	1	2	2
649	115	4	6	3	2	1	3
650	1	1	3	4	2	1	2
651	16	1	6	70	9	9	2
652	116	1	4	1	3	3	2
653	1	47	3	5	2	2	2
654	117	1	4	1	3	3	2
655	2	1	74	2	1	56	1
656	13	48	1	3	1	1	1
657	118	1	2	1	1	2	2
658	10	1	4	1	3	3	5
659	119	1	4	1	3	3	2
660	4	1	75	1	3	3	2
661	5	4	6	3	59	1	3
662	5	4	6	71	2	1	3
663	5	49	6	3	2	1	3
664	5	50	4	3	2	3	3
665	5	4	6	3	61	1	3
666	5	4	6	3	60	1	3
667	1	1	76	1	1	2	2
668	9	1	77	1	3	3	2
669	1	1	1	3	1	1	1
670	2	1	4	2	1	1	1
671	1	1	1	1	41	12	2
672	2	1	3	1	1	1	3
673	1	1	3	2	18	2	1
674	4	1	6	1	3	2	2
675	1	1	1	2	2	2	3
676	1	51	2	1	1	2	2
677	122	1	3	2	2	2	2
678	1	37	2	1	1	2	2
679	1	9	2	1	1	2	2
680	2	9	1	2	1	1	1
681	35	2	2	1	1	2	2
682	1	25	2	1	1	2	2
683	13	1	3	4	2	2	2
684	107	10	6	3	2	1	3
685	118	1	3	2	2	2	2
686	5	4	6	3	2	54	54
687	1	1	3	2	35	2	2
688	1	1	3	48	29	2	43
689	1	1	3	1	14	2	2
690	9	1	7	1	3	3	2
691	1	33	4	2	2	2	2
692	10	1	4	1	3	3	28
693	46	1	2	1	1	2	2
694	122	1	2	1	1	2	2
695	1	33	3	1	1	12	2
696	4	4	4	1	3	3	2
697	46	1	3	1	1	2	2
698	1	37	2	1	22	2	2
699	10	1	2	1	1	3	2
700	1	1	2	37	1	2	2
