ST	adk	atpG	efp	gmk	nagC	ppa	recA	clonal_complex
62	7	6	11	19	35	21	7	
63	7	30	11	21	32	21	11	
64	7	32	21	22	37	21	7	
65	7	29	4	24	7	1	21	
66	7	29	5	21	14	6	11	
67	7	29	11	21	14	1	24	
68	7	29	11	21	42	1	11	
69	7	35	11	24	7	1	21	
70	11	6	22	1	14	10	11	
71	11	29	5	21	14	6	11	
72	11	6	11	1	14	10	25	
73	11	6	11	1	2	10	23	
74	11	30	11	27	30	1	11	
75	17	24	4	10	33	1	8	
76	19	33	17	25	31	20	7	
77	27	6	11	1	14	10	11	
78	24	27	21	22	7	24	29	
79	25	2	20	22	41	23	28	
80	22	6	19	20	34	10	26	
81	21	36	5	23	7	1	6	
82	21	36	5	23	7	1	22	
83	26	29	5	21	32	6	11	
84	26	29	5	21	39	6	11	
85	26	30	5	21	39	6	11	
86	23	29	9	19	14	6	11	
87	20	37	2	4	14	1	20	
88	5	29	9	21	29	6	7	
89	5	18	5	2	43	1	16	
90	28	38	19	1	44	19	17	
91	28	38	19	1	45	19	17	
92	28	38	19	1	47	19	17	
93	28	38	19	1	46	19	17	
94	28	38	19	1	46	19	30	
95	29	38	19	1	48	19	17	
96	28	39	19	1	10	19	31	
97	28	38	19	1	49	19	17	
98	28	38	19	1	50	19	17	
99	28	38	19	1	51	19	17	
100	28	38	19	1	52	19	17	
101	28	38	19	1	53	19	17	
102	28	38	19	1	10	19	32	
103	2	3	23	3	3	2	3	
104	28	39	6	1	10	19	31	
105	26	29	9	7	14	1	11	
106	5	29	9	21	30	6	11	
107	11	6	11	1	30	10	11	
108	5	29	9	21	30	6	7	
109	3	5	2	8	8	6	7	
110	5	2	2	2	2	1	2	
111	11	6	11	1	2	10	11	
112	5	29	9	21	5	6	11	
113	11	6	11	8	14	6	11	
114	7	29	11	21	14	1	11	
115	26	29	11	21	14	1	11	
116	7	6	11	17	14	6	7	
117	11	30	11	21	32	21	11	
118	11	6	11	1	2	6	23	
119	26	29	5	21	7	6	6	
120	30	29	5	21	14	6	11	
121	7	6	11	28	14	6	7	
122	5	29	9	21	54	1	11	
123	5	29	9	21	54	10	11	
124	7	29	9	21	54	1	11	
125	7	29	11	21	14	21	11	
126	5	24	11	27	14	21	11	
127	7	6	11	28	57	6	7	
128	32	6	11	28	14	6	7	
129	30	29	9	21	14	6	34	
130	11	29	9	1	55	1	11	
131	31	40	24	12	56	1	33	
132	33	29	9	12	58	25	35	
133	5	29	9	21	14	21	7	
134	7	41	5	1	59	26	16	
135	26	29	9	1	14	1	11	
136	26	29	9	21	54	1	11	
137	7	29	11	1	14	1	36	
138	5	30	11	21	55	6	27	
139	7	30	11	21	32	21	37	
140	11	29	9	27	55	21	11	
141	5	29	9	21	14	1	11	
142	26	29	5	21	14	6	11	
143	11	6	11	1	32	6	11	
144	5	29	9	21	14	6	7	
145	28	38	19	1	60	19	17	
146	5	29	5	21	14	6	11	
147	28	38	19	1	10	19	31	
148	28	38	19	1	46	19	31	
149	26	29	5	21	14	6	39	
150	15	32	21	8	61	27	38	
151	34	38	19	1	10	19	31	
152	4	38	2	1	46	19	2	
153	28	38	19	1	10	19	4	
154	4	38	19	2	46	19	2	
155	11	29	11	18	14	10	11	
156	16	42	2	9	62	8	17	
157	35	19	12	29	18	28	40	
158	5	29	5	21	29	6	11	
159	16	43	5	9	63	13	17	
160	4	29	2	21	2	6	11	
161	11	29	9	21	54	1	11	
162	5	29	25	21	29	6	11	
163	11	29	5	21	64	6	11	
164	36	44	2	21	7	29	39	
165	5	22	5	11	12	6	13	
166	15	24	4	2	15	30	13	
167	35	19	12	9	15	28	40	
168	5	19	5	10	65	1	41	
169	16	19	2	9	66	17	17	
170	26	30	5	21	7	6	39	
171	5	30	9	21	14	1	11	
172	4	38	19	1	46	19	2	
173	11	29	5	21	39	6	11	
174	16	14	14	2	58	17	17	
175	11	29	5	21	29	6	11	
176	5	34	5	1	59	1	21	
177	5	32	9	21	14	6	7	
178	24	45	26	8	58	6	23	
179	7	35	27	31	7	31	21	
