ST	atpA	ddl	gdh	purK	gyd	pstS	adk	clonal_complex
95	11	13	9	15	10	19	6	
96	13	16	8	16	11	19	6	
97	4	5	1	3	1	20	1	
98	19	13	9	17	10	9	6	
99	9	5	1	18	1	21	3	
100	5	13	18	17	10	26	6	
101	21	2	12	9	1	20	5	
102	2	4	1	9	1	1	10	
103	1	14	1	21	1	1	1	CC17
104	3	3	17	2	1	1	1	
105	4	4	19	25	14	7	5	
106	23	3	1	6	1	1	1	CC17
107	11	13	18	17	10	19	6	
108	25	13	18	17	17	19	6	
109	3	3	6	6	1	1	1	
110	5	4	20	9	2	1	5	
111	2	3	6	2	1	1	1	
112	9	3	21	18	6	1	3	
113	26	3	1	2	1	1	1	CC17
114	5	3	21	18	6	32	3	
115	9	5	1	2	1	1	1	CC17
116	25	17	18	17	10	19	6	
117	9	1	1	1	1	1	1	CC17
118	24	13	8	8	2	22	6	
119	2	18	13	6	1	1	1	
120	9	2	1	6	1	33	1	
121	15	1	1	2	1	1	1	CC17
122	14	2	1	3	1	1	1	CC17
123	5	5	1	3	1	1	1	CC17
124	9	2	7	6	1	1	1	
125	7	3	1	1	5	1	1	CC17
126	9	10	1	11	1	14	13	
127	2	2	6	6	1	11	1	
128	3	3	1	14	1	1	1	CC17
129	18	3	1	2	1	1	13	
130	8	4	12	9	1	1	5	
131	2	18	12	3	1	1	1	
132	7	1	1	1	12	1	1	CC17
133	5	2	1	9	1	14	5	
134	5	2	1	3	1	7	1	
135	27	3	1	2	1	1	1	CC17
136	2	3	1	26	1	1	1	CC17
137	5	3	1	9	1	1	5	
138	3	5	1	3	1	14	5	
139	3	5	1	3	1	1	5	
140	3	2	1	9	1	1	5	
141	5	5	1	9	1	1	5	
142	5	4	12	6	1	1	8	
143	29	2	12	6	1	1	1	
144	28	2	1	12	2	34	5	
145	5	1	1	1	1	1	8	CC17
146	3	2	6	6	1	1	1	
147	5	2	1	9	1	2	5	
148	5	2	1	3	1	1	1	CC17
149	4	2	12	9	1	20	5	
150	5	4	12	9	1	1	5	
151	5	5	1	6	1	1	1	CC17
152	9	8	8	17	1	19	6	
153	21	5	12	3	1	20	1	
154	9	2	1	1	1	1	1	CC17
155	25	13	23	17	10	35	13	
156	5	2	12	9	1	1	5	
157	9	2	6	6	1	7	1	
158	9	2	6	6	1	36	1	
159	30	3	1	2	1	1	1	CC17
160	4	3	1	27	1	1	1	CC17
161	3	2	1	11	1	14	6	
162	7	2	6	6	5	1	1	
163	5	13	9	15	8	37	6	
164	27	18	22	28	16	33	13	
165	15	3	1	14	1	1	1	CC17
166	15	1	6	6	18	1	1	
167	5	1	1	1	1	7	1	CC17
168	14	5	1	1	1	1	1	CC17
169	7	3	1	5	5	1	3	
170	9	3	1	5	1	1	3	
171	9	3	1	28	5	1	3	
172	25	13	18	15	10	29	6	
173	7	1	1	29	12	1	1	CC17
174	1	1	1	29	1	1	1	CC17
175	5	5	12	6	1	1	1	
176	9	2	6	3	1	1	1	
177	15	2	6	6	1	1	1	
178	13	8	8	8	6	27	6	CC94
179	25	8	10	17	1	19	11	
180	1	1	1	1	1	38	1	CC17
181	1	1	1	1	1	33	1	CC17
182	1	1	1	1	1	19	1	CC17
183	4	5	9	3	1	20	1	
184	5	2	1	3	1	1	5	
185	5	2	1	9	1	20	5	
186	7	2	1	1	5	1	1	CC17
187	31	1	1	1	1	1	1	CC17
188	32	3	1	6	1	1	1	CC17
189	3	2	1	9	1	20	5	
190	5	3	6	6	2	20	1	
191	2	2	1	6	1	7	1	
192	15	1	1	1	1	7	1	CC17
193	5	2	1	6	2	36	1	
194	5	2	7	6	1	7	1	
195	9	2	1	6	1	7	1	
196	5	2	6	6	1	36	1	
197	5	2	24	14	1	39	1	
198	16	2	6	6	2	7	1	
199	2	2	1	30	1	11	1	
200	9	2	1	3	1	33	1	
201	15	1	1	1	1	21	1	CC17
202	1	1	1	1	1	7	1	CC17
203	15	1	1	1	1	20	1	CC17
204	15	1	6	1	1	1	1	CC17
205	3	1	1	1	1	1	1	CC17
206	1	3	1	1	1	1	7	CC17
207	3	1	1	1	1	20	1	CC17
208	33	2	1	1	1	1	1	CC17
209	37	1	1	1	1	1	1	CC17
210	9	3	1	18	1	1	3	
211	5	13	18	17	17	19	6	
212	15	7	5	7	1	1	1	
213	13	8	8	8	6	27	11	CC94
214	2	3	2	2	1	1	1	
215	3	7	3	6	1	1	1	
216	15	4	12	6	1	1	5	
217	21	2	12	9	1	1	5	
218	13	8	8	23	6	10	11	CC94
219	25	3	1	2	10	10	1	
220	35	3	25	2	1	1	1	
221	5	13	26	7	10	6	6	
222	36	8	10	8	20	9	6	
223	10	20	9	17	17	19	6	
224	36	13	18	17	10	41	14	
225	13	21	8	17	10	27	6	
226	5	13	26	17	10	26	6	
227	35	1	1	1	5	1	1	CC17
228	34	2	25	6	1	11	1	
229	11	8	10	8	20	9	6	
230	15	1	1	1	12	1	1	CC17
231	15	1	24	6	1	1	1	CC17
232	15	2	24	6	1	1	1	
233	1	1	1	1	1	20	1	CC17
234	1	1	6	1	1	1	1	CC17
235	9	1	1	1	1	1	7	CC17
236	9	2	6	6	1	1	1	
237	5	2	24	14	1	7	1	
238	2	2	6	6	1	7	1	
239	36	13	18	17	10	41	6	
240	25	13	9	33	10	19	6	
241	9	2	13	6	1	7	1	
242	9	2	7	6	1	16	1	
243	9	2	7	6	7	1	1	
244	5	3	1	32	1	7	1	
245	9	2	1	6	1	36	1	
246	9	2	1	6	1	20	1	
247	38	4	12	9	2	1	15	
248	5	2	13	6	1	7	1	
249	15	1	27	1	1	1	1	CC17
250	3	2	7	34	1	1	1	
251	9	2	1	34	1	1	1	CC17
252	1	5	1	1	1	1	1	CC17
253	3	7	3	35	1	1	1	
254	39	2	12	9	1	20	5	
255	4	2	1	9	1	20	5	
256	28	2	12	9	2	20	5	
257	3	3	1	2	1	1	16	
258	2	23	1	6	1	42	1	
259	5	2	24	6	1	16	1	
260	7	1	1	1	12	7	1	CC17
261	5	12	1	1	1	7	1	CC17
262	7	1	1	1	5	7	1	CC17
263	2	3	1	6	1	1	1	CC17
264	5	4	6	6	2	1	8	
265	9	4	1	6	21	20	5	
266	15	1	6	6	1	7	1	
267	1	1	1	1	5	1	1	CC17
268	2	1	1	1	1	11	1	CC17
269	2	2	1	6	1	1	1	CC17
270	2	2	24	6	1	1	1	
271	4	5	1	6	1	1	1	CC17
272	4	5	8	3	1	20	1	
273	7	3	1	1	5	7	1	
274	7	3	1	1	1	7	1	CC17
275	7	5	1	1	5	1	1	CC17
276	7	22	1	1	5	1	1	CC17
277	9	2	6	14	1	1	1	
278	21	5	1	6	1	1	5	
279	1	5	1	1	1	7	1	CC17
280	1	3	1	1	1	1	1	CC17
281	9	24	1	18	1	1	3	
282	7	1	1	1	5	20	1	CC17
283	15	25	1	1	1	20	1	CC17
284	9	2	1	6	1	1	5	
285	25	8	8	23	10	10	11	
286	40	4	12	9	1	1	5	
287	15	26	1	1	1	1	1	CC17
288	15	27	1	1	1	1	1	CC17
289	13	8	8	8	6	40	6	CC94
290	1	12	1	1	1	1	1	CC17
291	3	19	1	2	1	1	1	CC17
292	3	3	1	31	1	1	1	CC17
293	5	3	1	6	2	14	1	
294	2	1	1	1	1	1	1	CC17
295	1	1	1	1	1	1	6	CC17
296	25	8	8	8	10	10	6	CC94
297	9	2	6	36	1	1	1	
298	15	2	24	6	1	7	1	
299	24	8	8	8	6	10	11	CC94
300	41	2	1	1	1	1	1	CC17
301	42	2	28	11	1	14	17	
302	7	22	1	1	12	1	1	CC17
303	1	2	1	1	1	7	15	CC17
304	5	1	1	1	2	2	1	CC17
305	7	2	1	1	12	1	15	
306	1	28	1	1	1	1	1	CC17
307	1	11	1	1	1	1	1	CC17
308	1	29	1	1	1	1	1	CC17
309	5	2	6	6	2	7	1	
310	9	2	1	6	22	7	1	
311	9	3	13	6	1	7	1	
312	5	2	6	6	2	43	1	
313	5	1	1	1	5	1	1	CC17
314	43	5	1	1	12	7	1	
315	1	1	1	3	1	1	1	CC17
316	15	1	1	1	5	1	1	CC17
317	15	3	1	1	1	7	1	CC17
318	44	1	1	1	1	44	1	CC17
319	7	30	1	1	5	1	3	
320	9	1	1	1	12	29	1	CC17
321	7	3	1	1	1	1	3	CC17
322	7	1	6	1	5	7	1	
323	5	1	1	1	1	1	1	CC17
324	5	1	1	2	1	1	1	CC17
325	7	1	29	1	19	1	1	CC17
326	7	1	30	1	14	1	1	CC17
327	25	13	9	15	10	19	6	
328	25	13	18	17	10	19	6	
329	9	8	14	8	10	27	6	
330	3	31	1	6	1	45	1	
331	19	13	32	37	14	19	6	
332	9	2	33	11	16	14	6	
333	15	2	1	1	1	7	1	CC17
334	13	8	15	8	11	19	6	CC94
335	45	13	34	15	19	29	18	
336	7	32	1	1	5	1	1	CC17
337	5	3	1	38	8	6	1	
338	44	1	1	1	1	1	1	CC17
339	15	1	1	1	1	1	19	CC17
340	7	1	35	1	5	1	1	CC17
341	15	5	1	1	1	1	1	CC17
342	7	5	1	1	1	1	1	CC17
343	15	1	1	39	1	20	1	CC17
344	7	1	1	1	5	47	1	CC17
345	25	8	8	8	10	48	6	CC94
346	9	33	36	40	2	49	6	
347	2	5	3	5	4	50	1	
348	7	1	1	1	2	1	1	CC17
349	1	2	1	1	5	1	1	CC17
350	5	2	1	11	1	1	5	
351	7	15	1	1	5	1	1	CC17
352	13	8	10	8	6	10	6	CC94
353	7	1	22	1	23	1	1	CC17
354	4	2	1	41	1	1	5	
355	3	34	1	6	1	11	1	
356	46	18	10	23	1	46	11	
357	1	1	37	1	24	1	1	CC17
358	9	2	1	32	1	1	1	CC17
359	7	1	1	1	1	7	1	CC17
360	1	36	1	1	1	1	1	CC17
361	13	8	8	8	6	51	6	CC94
362	45	1	32	39	14	1	18	
363	15	1	1	39	1	1	1	CC17
364	7	1	1	1	1	20	1	CC17
365	15	1	1	1	1	20	2	CC17
366	47	1	1	1	14	1	1	CC17
367	47	37	1	1	1	1	1	CC17
368	7	38	1	1	12	1	1	CC17
369	48	1	1	1	12	1	1	CC17
370	5	2	6	6	1	16	1	
371	1	8	1	1	1	1	1	CC17
372	2	5	1	3	1	1	1	CC17
373	5	2	1	3	1	36	1	
374	5	2	1	12	1	1	5	
375	9	3	1	1	12	1	1	CC17
376	9	12	1	1	12	1	1	CC17
377	15	1	1	1	2	7	1	CC17
378	1	2	1	1	1	7	1	CC17
379	2	3	6	6	1	1	1	
380	7	28	1	1	5	1	1	CC17
381	9	1	1	18	1	1	3	CC17
382	9	5	1	1	1	1	3	CC17
383	9	5	1	1	1	1	18	CC17
384	9	5	1	18	1	1	3	
385	1	5	1	1	1	6	3	CC17
386	1	1	1	1	1	6	1	CC17
387	9	5	1	1	1	7	3	
388	7	1	1	1	5	1	3	CC17
389	1	5	1	1	1	1	3	CC17
390	1	39	1	1	1	1	1	CC17
391	7	3	1	1	12	1	20	
392	2	3	1	2	1	53	1	
393	5	2	1	1	1	1	1	CC17
394	47	2	6	6	1	7	1	
395	9	2	6	6	1	8	1	
396	5	3	1	14	25	1	1	
397	15	1	1	42	1	1	1	CC17
398	15	1	6	1	1	7	1	CC17
399	15	27	1	1	1	7	1	CC17
400	4	1	1	1	1	7	1	CC17
401	4	1	6	6	1	20	1	
402	15	3	6	6	1	7	1	
403	15	1	1	1	1	7	21	CC17
404	4	2	1	43	1	54	5	
405	49	2	6	6	1	1	1	
406	4	2	1	3	1	41	1	
407	1	3	1	1	1	52	1	CC17
408	9	3	1	1	1	52	1	CC17
409	7	1	1	1	12	1	3	CC17
410	9	1	1	1	1	1	3	CC17
411	50	1	6	18	1	1	1	CC17
412	15	1	1	44	1	20	1	CC17
413	7	1	6	6	5	7	1	
414	15	5	1	1	1	20	1	CC17
415	1	33	1	1	1	1	6	CC17
416	5	3	1	2	2	1	1	
417	5	7	5	7	2	1	1	
418	9	1	1	18	1	1	1	CC17
419	47	1	32	1	14	1	18	
420	5	3	38	2	1	1	1	
421	3	2	1	6	1	7	1	
422	2	2	6	6	1	1	1	
423	5	2	6	6	1	20	1	
424	5	2	1	3	1	20	1	
425	5	2	1	3	1	33	1	
426	7	5	1	18	1	1	3	
427	7	5	1	18	1	1	1	CC17
428	45	13	18	17	10	19	6	
429	5	3	6	6	1	55	1	
430	5	3	1	1	1	7	1	CC17
431	7	2	1	1	1	1	1	CC17
432	51	40	12	3	1	1	1	
433	9	5	8	3	1	1	1	
434	11	8	8	17	10	41	6	
435	2	3	1	2	1	1	22	
436	52	3	1	2	1	1	1	CC17
437	9	5	1	3	1	20	1	
438	15	1	1	1	1	56	1	CC17
439	53	2	6	6	1	33	5	
440	43	1	1	1	12	1	1	CC17
441	2	3	1	1	1	1	1	CC17
442	5	1	1	2	6	1	1	CC17
443	9	4	12	1	1	20	5	
444	47	1	1	1	1	1	23	CC17
445	9	2	6	6	1	20	1	
446	9	2	1	3	1	1	1	CC17
447	1	43	1	44	1	20	1	CC17
448	1	3	1	44	1	20	1	CC17
449	5	2	1	45	1	14	1	
450	9	2	1	3	1	7	1	
451	5	2	6	3	1	1	1	
452	2	2	1	3	1	7	5	
453	54	1	1	1	1	7	1	CC17
454	15	1	1	1	1	11	1	CC17
455	7	1	1	6	1	11	1	CC17
456	5	1	1	2	1	57	1	CC17
457	7	1	1	1	1	58	1	CC17
458	15	3	1	46	1	7	1	
459	15	1	6	47	1	7	1	
460	1	42	1	1	1	1	1	CC17
461	5	2	6	32	1	7	1	
462	5	2	6	6	1	33	1	
463	9	2	6	6	1	16	1	
464	5	2	6	3	1	7	5	
465	53	2	6	3	1	33	5	
466	2	2	6	3	1	11	1	
467	5	18	24	6	2	33	1	
468	2	3	1	2	1	33	1	
469	9	4	6	1	1	33	1	
470	25	13	34	48	19	26	6	
471	7	1	1	1	21	7	1	CC17
472	1	1	1	1	1	34	1	CC17
473	13	8	8	8	6	59	6	CC94
474	5	6	4	4	10	60	2	
475	1	44	1	1	1	1	1	CC17
476	3	3	6	2	1	1	1	
477	4	3	1	1	1	7	1	CC17
478	15	43	1	44	1	20	1	
479	1	5	1	1	1	20	1	CC17
480	31	1	1	1	1	1	19	CC17
481	15	1	1	1	9	7	1	CC17
482	15	1	1	1	1	7	20	CC17
483	15	1	39	1	1	20	1	CC17
484	55	2	1	1	1	1	1	CC17
485	1	1	1	1	1	61	1	CC17
486	5	2	5	3	1	1	5	
487	9	2	7	6	1	8	1	
488	56	2	13	6	1	7	1	
489	5	2	7	6	4	7	1	
490	9	2	7	6	1	36	1	
491	5	2	1	1	1	7	1	CC17
492	3	3	41	2	1	1	1	
493	5	2	12	12	1	1	5	
494	15	3	1	1	1	20	1	CC17
495	46	8	10	17	1	46	11	
496	7	9	1	1	5	1	1	CC17
497	1	8	1	1	1	1	6	CC17
498	4	2	43	9	1	1	5	
499	9	2	1	49	1	1	5	
500	15	2	1	9	1	63	5	
501	5	3	12	2	1	1	24	
502	2	3	42	14	1	1	1	
503	13	13	18	17	6	64	6	
504	9	3	1	2	1	65	1	
505	4	5	1	3	1	62	1	
506	3	3	12	2	1	1	1	
507	9	2	13	6	1	36	1	
508	21	5	9	9	1	1	5	
509	21	2	1	9	1	1	5	
510	3	5	1	9	1	1	5	
511	5	3	6	6	2	1	1	
512	8	25	1	11	1	14	15	
513	3	2	6	3	1	1	1	
514	2	18	1	6	1	36	1	
515	9	4	12	6	1	20	5	
516	5	2	6	6	1	36	5	
517	9	2	13	6	1	1	1	
518	5	4	12	6	1	1	5	
519	5	2	7	3	2	7	1	
520	3	2	6	6	1	7	1	
521	5	5	1	3	2	20	1	
522	57	2	1	3	1	1	5	
523	9	5	12	3	1	20	1	
524	4	5	12	3	1	20	1	
525	4	1	1	1	5	20	1	CC17
526	14	2	6	6	2	1	1	
527	3	3	6	6	1	39	1	
528	9	5	1	12	1	20	1	
529	5	3	12	7	1	63	1	
530	5	4	1	6	1	2	5	
531	7	1	1	2	5	1	1	CC17
532	2	46	1	14	1	25	25	
533	2	3	1	14	1	1	1	CC17
534	13	16	8	16	11	10	6	CC94
535	5	1	1	1	8	1	1	CC17
536	58	3	1	2	1	1	1	CC17
537	11	13	9	17	17	19	6	
538	1	1	1	1	1	66	1	CC17
539	9	4	1	1	1	1	8	CC17
540	25	13	9	17	10	19	6	
541	4	2	12	6	1	1	1	
542	21	2	1	9	29	1	5	
543	1	1	1	1	28	1	1	CC17
544	5	8	8	8	8	19	6	CC94
545	14	4	12	6	1	1	5	
546	9	3	1	1	12	1	3	
547	15	5	1	1	1	1	3	CC17
548	15	47	1	1	1	1	1	CC17
549	15	1	44	1	1	1	1	CC17
550	43	1	1	1	1	1	1	CC17
551	9	3	1	1	1	1	1	CC17
552	1	3	1	1	1	7	1	CC17
553	7	49	1	18	1	1	3	
554	1	1	44	1	1	1	1	CC17
555	4	1	1	1	1	1	1	CC17
556	15	5	1	1	1	8	1	CC17
557	15	1	1	1	1	1	18	CC17
558	45	1	1	1	1	1	1	CC17
559	7	5	1	1	5	1	3	
560	52	1	1	1	1	1	18	CC17
561	9	5	1	1	1	7	1	CC17
562	1	5	1	1	1	67	1	CC17
563	9	5	1	1	1	1	1	CC17
564	15	3	1	1	1	1	1	CC17
565	15	1	1	8	1	1	1	CC17
566	13	8	8	1	6	10	6	CC94
567	15	12	1	1	1	10	1	CC17
568	11	8	9	17	10	1	18	
569	7	3	1	1	1	1	6	CC17
570	15	12	1	1	1	1	1	CC17
571	59	1	1	39	1	1	1	CC17
572	15	1	1	39	1	7	1	CC17
573	9	40	12	3	1	33	1	
574	7	1	1	6	5	1	1	CC17
575	3	3	1	1	1	1	1	CC17
576	13	8	8	52	17	27	6	CC94
577	15	1	1	1	5	20	1	CC17
578	14	1	1	1	1	1	1	CC17
579	13	8	8	51	6	27	6	CC94
580	13	8	45	23	6	68	6	CC94
581	2	50	1	3	1	7	1	
582	1	13	1	1	1	1	6	CC17
583	5	8	14	22	8	26	6	
584	1	1	1	44	1	1	1	CC17
585	5	2	1	3	1	7	5	
586	15	2	1	1	1	20	1	CC17
587	9	2	6	32	1	36	1	
588	5	1	1	3	1	1	1	CC17
589	4	3	1	2	1	20	1	
590	5	4	1	53	2	7	1	
591	13	8	8	15	6	69	6	CC94
592	5	3	6	53	2	1	1	
593	5	1	47	1	1	1	1	CC17
594	1	1	46	1	1	7	1	CC17
595	1	1	46	29	1	7	1	CC17
596	45	1	19	1	14	1	18	
597	5	3	1	1	1	11	1	CC17
598	5	1	1	1	1	11	1	CC17
599	60	3	1	3	2	1	1	
600	3	3	1	2	1	2	1	
601	47	1	6	1	16	20	18	
602	5	3	1	2	1	7	1	
603	4	2	12	9	1	7	5	
604	13	8	8	23	6	27	6	CC94
605	4	2	12	9	1	59	5	
606	2	7	1	6	1	4	1	
607	4	5	1	4	1	62	1	
608	5	40	12	3	1	1	10	
609	5	2	1	43	2	2	5	
610	5	3	6	6	1	1	1	
611	4	3	1	2	1	1	1	CC17
612	9	1	1	1	5	1	1	CC17
613	6	6	14	4	3	46	6	
614	10	13	9	17	17	19	6	
615	5	40	12	3	2	1	1	
616	15	1	1	44	1	7	1	CC17
617	5	1	26	17	10	20	6	
618	36	45	9	50	27	19	26	
619	15	3	50	2	1	70	1	
620	25	8	51	22	10	19	6	
621	15	3	12	9	1	1	1	
622	63	8	8	54	6	27	6	CC94
623	25	8	52	17	10	71	6	
624	5	13	18	17	1	19	6	
625	11	13	9	15	17	18	6	
626	1	2	1	1	1	1	5	CC17
627	62	3	1	2	1	1	1	CC17
628	5	3	49	2	1	1	1	
629	61	3	49	2	1	1	1	
630	5	51	1	6	1	7	1	
631	7	1	48	1	5	1	1	CC17
632	64	25	1	11	1	14	15	
633	2	1	1	14	1	1	1	CC17
634	25	8	14	22	10	71	1	
635	5	2	1	55	1	1	18	
636	5	5	1	3	1	7	1	
637	9	5	53	3	1	1	1	
638	5	5	54	3	1	7	1	
639	2	40	12	3	1	1	1	
640	5	3	1	6	1	7	1	
641	5	3	1	6	2	1	5	
642	5	2	12	9	1	2	5	
643	11	8	36	8	6	19	6	CC94
644	3	3	17	56	1	1	1	
645	5	2	1	55	30	1	5	
646	14	5	1	3	1	1	1	CC17
647	13	8	8	8	10	28	6	CC94
648	25	8	14	22	10	71	6	
649	5	2	1	55	1	1	5	
650	5	5	1	3	1	1	5	
651	13	1	8	8	6	51	11	CC94
652	9	7	5	7	1	1	1	
653	15	3	1	1	30	1	1	CC17
654	8	8	8	23	1	27	15	
655	9	3	1	1	1	7	1	CC17
656	15	3	1	44	1	20	1	
657	15	43	1	44	1	20	6	
658	36	1	1	44	17	20	1	
659	15	52	1	1	1	1	1	CC17
660	15	53	1	1	1	1	1	CC17
661	27	1	32	1	14	1	23	
662	7	1	1	20	5	1	1	CC17
663	5	3	1	1	1	1	1	CC17
664	1	2	1	44	1	1	1	CC17
665	7	1	1	44	5	1	1	CC17
666	5	3	6	6	2	7	1	
667	3	4	12	57	1	1	5	
668	5	2	1	9	31	72	5	
669	9	8	14	58	6	27	6	
670	7	1	1	1	32	1	1	CC17
671	9	5	1	3	1	7	1	
672	9	4	1	9	21	20	5	
673	2	4	1	1	1	1	8	CC17
674	25	8	14	22	10	73	6	
675	65	2	1	11	1	10	15	
676	1	1	1	1	33	1	1	CC17
677	9	1	1	1	1	74	1	CC17
678	25	8	52	17	10	75	6	
679	2	3	55	2	1	1	1	
680	5	4	1	6	1	1	5	
681	2	5	1	2	1	1	1	CC17
682	3	3	2	2	1	1	1	
683	3	3	1	2	1	7	1	
684	66	8	8	8	6	28	6	CC94
685	13	8	8	23	17	27	11	
686	13	8	8	8	6	1	6	CC94
687	13	8	1	8	6	10	6	CC94
688	13	8	8	59	6	27	6	CC94
689	19	13	9	17	10	76	18	
690	25	13	18	15	10	29	18	
691	13	8	8	8	6	27	1	CC94
692	36	8	8	8	17	27	6	CC94
693	24	8	10	23	2	19	11	
694	25	8	8	8	10	7	6	CC94
695	11	8	8	8	10	10	6	CC94
696	25	8	14	22	10	19	6	
697	11	8	8	60	10	77	6	
698	25	13	18	17	10	19	18	
699	12	8	6	3	1	41	1	
700	9	4	1	6	1	20	5	
701	5	1	6	6	2	7	1	
702	4	3	6	61	1	7	1	
703	7	8	1	1	5	27	1	
704	5	2	1	11	26	14	6	
705	2	5	1	9	1	1	5	
706	5	2	56	9	2	20	5	
707	8	4	1	9	1	78	5	
708	2	4	1	9	34	1	10	
709	2	4	1	9	1	1	5	
710	2	4	3	9	1	1	10	
711	2	4	1	9	35	1	5	
712	2	4	1	6	1	25	5	
713	36	13	9	17	17	6	6	
714	5	8	14	22	8	26	1	
715	67	54	14	63	36	79	6	
716	2	4	1	62	1	1	10	
717	5	8	14	62	8	27	6	
718	5	5	9	3	1	1	1	
719	68	1	1	1	1	1	1	CC17
720	11	56	18	17	2	81	6	
721	9	1	1	1	1	20	1	CC17
722	2	55	57	14	1	80	1	
723	1	1	1	1	1	82	1	CC17
724	7	1	1	64	5	1	1	CC17
725	11	8	58	8	10	10	6	CC94
726	13	8	10	23	6	10	6	CC94
727	1	2	1	1	1	19	1	CC17
728	4	5	1	6	1	68	1	
729	13	9	6	6	6	11	1	
730	5	1	1	1	1	20	1	CC17
731	10	13	18	65	17	19	6	
732	61	13	59	17	10	26	6	
733	15	1	1	1	21	1	1	CC17
734	15	1	1	44	1	83	1	CC17
735	7	1	60	1	5	1	1	CC17
736	1	3	1	44	1	1	1	CC17
737	15	8	1	1	1	7	1	CC17
738	3	3	1	2	1	53	1	
739	47	1	32	1	14	1	1	CC17
740	47	1	1	1	1	20	1	CC17
741	40	1	1	1	1	20	1	CC17
742	15	1	1	44	1	8	18	
743	15	1	1	1	20	20	1	CC17
744	47	1	1	1	1	1	18	CC17
745	47	1	1	1	1	20	18	CC17
746	1	1	1	1	14	20	1	CC17
747	52	1	31	1	19	1	18	
748	1	1	1	1	5	7	1	CC17
749	15	1	1	2	1	20	1	CC17
750	1	1	1	44	1	20	1	CC17
751	2	5	1	12	1	1	1	CC17
752	1	3	1	66	1	1	1	CC17
753	1	57	1	1	1	1	1	CC17
754	13	8	8	8	37	10	6	CC94
755	69	1	1	1	38	1	1	CC17
756	7	1	1	1	39	1	1	CC17
757	7	1	1	1	1	84	5	CC17
758	7	1	1	1	5	85	1	CC17
759	9	3	1	1	12	7	1	
