ST	dnaA	fusA	gyrB	leuS	pryG	rplB	rpoB	clonal_complex
55	24	5	1	4	3	1	2	
56	10	2	17	3	1	1	2	
57	2	3	2	2	1	1	2	CC5
58	8	3	6	24	1	1	2	
59	3	3	3	3	3	1	2	
60	3	3	2	18	8	1	10	CC3
61	25	3	3	14	3	2	2	
62	11	2	1	5	3	1	2	
63	6	2	11	21	3	3	11	
64	24	3	1	25	3	1	2	
65	8	3	6	3	1	1	6	
66	1	1	18	26	6	1	16	
67	22	3	1	23	4	3	14	CC2
68	3	10	1	25	2	1	10	
69	3	10	1	25	3	1	10	
70	14	3	6	18	2	1	2	
71	24	6	1	3	2	6	2	
72	22	3	1	27	2	3	14	CC2
73	3	3	2	18	1	1	8	CC3
74	16	6	15	23	7	1	9	
75	24	3	1	3	2	1	16	
76	3	3	1	22	3	1	2	CC1
77	10	2	19	25	1	7	2	
78	17	7	10	4	3	1	2	CC7
79	17	2	10	28	8	1	2	
80	12	1	7	3	3	1	2	
81	20	1	3	3	2	1	2	
82	14	2	1	25	3	1	2	
83	12	5	1	5	2	1	2	CC4
84	23	2	20	29	3	8	12	
85	22	3	1	4	2	3	14	CC2
86	23	2	20	23	3	8	12	
87	22	3	1	3	2	3	14	CC2
88	22	3	1	23	2	3	14	
89	8	1	1	25	3	8	8	
90	26	1	1	24	1	1	2	
91	8	1	6	25	3	1	2	CC6
92	8	1	6	18	3	1	2	CC6
93	3	3	2	18	3	1	10	CC3
94	6	2	13	7	4	3	11	
95	25	3	21	18	3	1	2	
96	8	11	6	18	2	1	17	
97	8	1	6	24	3	1	2	CC6
98	6	2	11	21	4	9	11	
99	7	3	5	30	11	1	5	
100	3	12	22	29	3	1	2	
101	27	3	1	29	1	1	2	
102	28	3	1	31	12	1	8	
103	27	3	1	14	1	1	2	
104	12	5	23	4	2	1	2	CC4
105	2	6	1	32	2	1	6	
106	3	3	1	4	3	1	7	CC1
107	11	2	1	5	6	10	2	
108	8	3	24	5	3	2	2	
109	2	2	2	2	1	1	2	CC5
110	23	1	9	33	3	1	12	
111	3	13	1	4	3	1	6	
112	29	3	17	34	3	6	2	
113	24	3	1	33	3	1	2	
114	16	14	15	35	7	1	9	
115	8	6	25	3	13	1	2	
116	30	5	1	14	2	1	2	
117	28	2	3	3	1	1	2	
118	5	3	10	18	3	1	10	
119	6	2	26	21	4	3	11	
120	14	2	10	13	3	1	12	
121	22	15	1	25	8	1	2	
122	24	3	1	25	1	1	8	
123	6	2	11	25	10	1	11	
124	2	2	2	9	1	2	2	CC5
125	24	3	27	11	2	1	8	
126	6	2	4	36	4	1	18	
127	1	1	18	26	3	1	16	
128	23	3	16	13	3	1	2	
129	11	16	15	22	7	1	9	
130	11	1	9	5	2	1	2	CC8
131	16	6	14	37	7	1	9	
132	6	2	28	21	4	3	11	
133	5	3	29	29	3	1	2	
134	31	3	1	4	3	1	2	CC1
135	22	17	30	26	3	1	10	
136	32	2	3	18	3	1	2	
137	6	2	11	21	4	3	11	
138	2	3	9	8	2	1	2	
139	28	2	3	3	2	1	13	
140	6	2	4	7	10	3	11	
141	6	2	11	41	4	3	11	
142	24	3	1	42	8	1	8	
143	23	1	16	18	3	1	2	
144	36	6	38	22	7	1	9	
145	6	2	37	7	4	3	3	
146	3	3	39	4	3	1	2	
147	6	8	11	21	4	1	11	
148	5	2	9	3	3	1	2	
149	10	3	3	5	8	1	2	
150	23	3	16	14	3	1	2	
151	5	3	9	5	3	1	2	
152	3	3	2	3	14	1	8	
153	3	2	3	3	3	1	2	
154	10	12	1	29	3	1	10	
155	5	3	9	33	6	1	10	
156	24	3	1	23	8	1	10	
157	6	2	4	7	4	1	10	
158	29	14	3	15	7	1	10	
159	29	14	3	15	7	1	2	
160	3	3	2	18	3	1	9	
161	3	3	2	18	3	1	2	
162	3	3	2	18	3	1	11	
163	11	1	9	5	2	1	9	
164	16	6	14	37	7	1	10	
165	6	2	11	21	4	3	4	
166	15	2	1	25	2	1	2	
167	25	3	10	14	3	1	2	
168	14	3	22	3	2	1	2	
169	30	5	1	13	3	1	2	
170	5	3	21	3	8	1	12	
171	23	1	9	33	2	1	2	
172	29	14	3	15	7	1	9	
173	16	6	15	22	7	1	9	
174	16	6	16	22	7	1	9	
175	22	2	7	25	2	2	2	
176	19	3	1	4	3	1	2	
177	6	2	11	7	4	1	4	
178	29	3	1	5	3	1	2	
179	13	3	1	11	3	1	12	
180	8	3	1	28	3	1	2	
181	5	3	9	33	6	1	2	
182	12	1	7	25	3	1	2	
183	11	6	16	15	7	1	9	
184	16	14	15	15	7	1	9	
185	5	3	1	25	8	6	8	
186	17	3	10	14	2	1	2	
187	14	3	10	13	3	8	2	
188	30	1	1	18	3	1	12	
189	8	3	1	18	1	1	2	
190	23	1	16	14	3	1	2	
191	3	3	2	18	3	1	8	
192	14	3	3	3	6	1	10	
193	5	3	9	5	2	1	2	
194	10	2	3	14	8	1	2	
195	12	3	1	4	2	1	2	
196	3	3	1	43	1	1	2	
197	8	3	24	13	3	1	2	
198	24	15	1	5	3	1	2	
199	12	5	1	4	3	1	2	
200	13	3	1	44	3	1	8	
201	12	3	7	45	3	2	2	
202	16	6	40	22	7	1	9	
203	31	17	3	42	15	1	16	
204	3	3	41	4	3	1	20	
205	8	3	3	13	3	1	2	
206	3	3	2	9	2	1	2	
207	8	1	6	24	1	1	2	
208	17	2	10	3	8	1	2	
209	6	2	11	7	4	3	11	
210	14	18	10	29	3	8	12	
211	3	3	3	3	3	1	22	
212	3	1	2	3	3	14	21	
213	6	2	11	41	4	1	23	
214	22	17	30	25	2	1	2	
215	16	6	15	15	7	1	9	
216	19	5	1	4	3	1	2	
217	14	5	3	12	3	1	2	
218	6	2	11	7	4	1	11	
219	3	5	1	4	3	1	2	
220	7	3	17	30	5	1	5	
221	15	2	4	14	3	1	2	
222	28	2	3	3	1	1	19	
223	14	1	10	41	6	1	2	
224	21	2	3	28	1	6	2	
225	27	1	42	46	1	1	2	
226	27	3	1	3	3	1	9	
227	10	2	3	28	1	1	2	
228	2	19	1	13	2	1	2	
229	8	6	25	3	3	1	2	
230	28	20	1	3	2	1	12	
231	17	7	43	3	1	1	2	
232	3	5	1	25	3	1	2	
233	17	3	10	3	3	1	2	
234	23	1	16	14	2	1	2	
235	8	3	1	3	2	1	2	
236	6	2	4	7	4	1	3	
237	24	2	25	4	3	1	2	
238	25	3	3	14	1	2	2	
239	8	3	6	18	1	1	2	
240	11	3	2	3	8	8	21	
241	8	22	6	18	3	1	10	
242	6	8	11	7	4	1	11	
243	24	2	1	14	8	15	8	
245	39	14	46	15	7	1	9	
246	14	3	10	3	2	16	12	
247	28	1	14	34	2	17	2	
248	24	3	1	3	3	1	2	
249	23	2	20	3	3	8	12	
250	12	2	1	3	2	1	2	
251	40	23	3	48	1	2	2	
252	10	2	19	28	1	7	2	
253	12	3	7	13	3	2	2	
254	27	24	3	14	2	1	2	
255	27	25	1	3	3	1	2	
257	8	3	6	3	3	18	6	
259	14	15	6	3	3	2	2	
260	14	3	10	49	6	1	2	
261	8	3	24	5	3	1	2	
263	16	6	50	15	7	1	2	
264	14	3	3	5	3	1	10	
267	3	2	3	3	3	1	25	
270	2	3	6	5	2	17	2	
271	6	2	13	19	4	1	11	
272	36	6	37	22	7	1	9	
274	43	3	6	14	2	1	2	
276	24	17	1	26	3	1	8	
277	14	26	10	3	3	2	2	
278	25	3	1	51	2	14	2	
280	25	3	1	51	2	1	2	
283	1	1	48	42	3	1	16	
285	3	3	22	31	3	1	10	
286	10	3	3	5	2	1	2	
289	23	1	16	3	2	1	2	
290	3	1	1	3	3	1	2	
291	27	6	1	13	2	1	2	
292	10	2	1	29	2	17	2	
293	44	27	49	52	7	1	9	
294	6	2	11	20	4	1	11	
296	7	3	5	56	5	1	5	
298	24	3	1	3	3	1	10	
300	39	14	49	52	7	1	9	
301	25	3	21	24	3	1	2	
303	16	6	15	22	7	1	2	
304	10	2	14	3	3	1	2	
306	8	3	2	3	3	8	16	
307	39	14	49	37	7	1	9	
308	14	7	10	3	1	1	2	
309	24	15	1	11	3	1	2	
310	3	3	2	18	3	1	15	
311	3	15	1	53	3	1	10	
312	25	3	1	24	2	1	2	
313	24	3	1	2	2	1	1	
314	38	15	45	33	3	1	2	
316	44	28	15	15	7	1	9	
317	10	2	3	28	3	1	13	
318	31	2	3	55	3	2	2	
321	47	3	1	5	3	1	2	
323	11	29	1	5	6	1	7	
324	46	6	50	54	7	1	9	
326	3	3	22	11	1	1	8	
327	50	2	47	14	4	1	26	
328	49	2	1	13	3	1	2	
329	2	2	53	3	2	1	2	
330	3	2	53	3	3	1	12	
331	24	3	54	3	2	1	2	
332	41	2	52	50	4	1	3	
333	42	2	11	7	17	1	4	
334	6	2	4	57	16	1	11	
335	23	2	20	3	3	21	12	
336	25	3	55	14	18	2	2	
337	16	31	50	15	7	1	2	
338	5	3	9	3	3	1	27	
339	39	6	15	58	7	1	9	
340	51	7	56	3	3	1	2	
341	52	30	14	34	3	22	2	
342	8	1	6	59	3	2	10	
343	53	2	7	61	19	1	2	
344	3	3	1	60	2	1	2	
345	29	1	57	62	2	1	2	
346	10	2	1	63	3	1	2	
347	3	3	2	64	3	1	10	
348	48	6	51	65	7	1	19	
349	55	32	4	14	3	1	2	
350	3	3	1	4	3	1	30	
351	3	3	22	25	3	1	29	
352	2	19	1	14	2	1	28	
353	17	7	58	3	8	1	2	
354	54	1	45	18	3	1	10	
355	16	6	15	22	20	1	9	
356	6	33	11	7	4	1	11	
357	16	6	15	22	7	1	31	
358	30	5	1	14	2	23	2	
359	25	3	3	14	3	1	2	
360	38	1	45	33	3	1	24	
361	10	2	1	3	3	1	2	
362	57	3	60	34	2	6	2	
363	2	2	2	5	1	2	2	
364	28	34	1	3	2	1	12	
365	3	3	2	67	3	1	10	
372	2	3	2	3	2	8	2	
373	25	2	55	14	2	1	8	
374	3	3	2	3	2	1	12	
375	29	14	3	52	7	1	9	
376	23	3	20	18	21	1	2	
377	27	15	1	69	3	1	2	
