ST	AAT1a	ACC1	ADP1	MPIb	SYA1	VPS13	ZWF1b	clonal_complex
74	13	10	15	6	7	32	29	
75	2	5	2	2	4	6	5	
76	8	5	2	9	2	6	30	
77	4	4	23	2	25	41	31	
78	2	5	6	9	2	6	5	
79	2	5	5	9	2	6	5	
80	8	16	6	4	7	42	32	
81	2	5	6	2	2	5	20	
82	24	7	16	2	13	43	33	
83	8	2	6	2	2	6	28	
84	2	5	5	9	2	6	34	
85	20	5	6	3	26	6	34	
86	8	2	6	2	2	5	5	
87	8	14	8	4	7	10	35	
88	4	17	21	19	27	32	22	
89	14	7	8	4	7	44	36	
90	25	7	6	3	6	27	37	
91	5	18	24	20	28	20	38	
92	2	5	5	2	2	6	12	
93	26	3	3	3	3	39	3	
94	2	5	5	2	2	6	39	
95	8	14	8	4	7	3	8	
96	2	2	6	2	2	20	5	
97	4	4	14	4	4	26	4	
98	27	7	4	3	6	45	15	
99	2	3	5	21	2	20	5	
100	2	3	5	2	29	6	5	
101	6	3	21	4	30	46	12	
102	2	5	5	2	29	6	5	
103	2	3	6	2	2	6	5	
104	2	5	5	2	2	6	16	
105	28	7	6	4	31	47	40	
106	8	5	5	2	2	21	5	
107	4	2	14	4	32	41	4	
108	29	2	6	2	26	35	5	
109	30	3	3	3	3	48	3	
110	2	3	5	2	2	21	5	
111	30	3	3	3	3	39	3	
112	2	5	2	2	2	21	5	
113	13	19	10	6	7	49	15	
114	3	20	25	3	33	45	6	
115	2	5	5	2	2	50	5	
116	2	5	5	21	2	21	5	
117	8	14	8	4	34	20	35	
118	2	21	5	2	2	10	5	
119	4	7	4	4	4	4	4	
120	31	3	5	22	2	6	5	
121	4	7	16	23	13	51	41	
122	32	3	6	1	6	4	4	
123	31	5	5	12	2	20	5	
124	8	14	8	4	7	10	8	
125	3	5	5	9	18	24	5	
126	5	5	5	2	2	6	42	
127	2	3	6	2	2	20	5	
128	8	14	8	4	35	10	8	
129	2	2	6	2	2	24	5	
130	4	2	4	4	36	26	4	
131	2	3	26	4	2	6	16	
132	13	10	14	6	35	37	40	
133	13	3	21	6	6	52	6	
134	4	22	6	18	24	53	43	
135	5	3	2	2	2	6	5	
136	8	14	8	4	35	3	8	
137	2	2	6	2	2	54	12	
138	13	7	27	24	7	49	15	
139	2	5	5	2	2	24	44	
140	4	4	4	4	4	35	45	
141	33	14	6	2	37	47	15	
142	8	14	8	4	7	10	22	
143	6	3	28	12	38	46	12	
144	8	7	8	4	7	10	8	
145	6	3	29	2	38	46	12	
146	13	13	6	1	7	55	15	
147	13	3	6	2	7	56	15	
148	33	7	6	9	7	57	22	
149	2	5	5	2	2	21	20	
150	34	5	6	2	2	24	5	
151	2	2	5	2	2	21	5	
152	35	15	4	25	4	35	4	
153	4	23	14	4	4	4	4	
154	35	4	4	4	34	41	4	
155	35	4	4	4	4	26	4	
156	36	24	4	4	4	26	4	
157	13	10	15	4	39	32	15	
158	13	11	15	6	7	37	12	
159	13	7	10	6	7	15	15	
160	13	25	15	6	34	32	15	
161	13	7	15	6	34	32	15	
162	8	7	30	4	7	3	8	
163	14	3	8	4	7	10	8	
164	8	14	8	4	7	58	22	
165	30	3	21	1	6	59	4	
166	30	12	21	1	6	30	20	
167	11	26	6	4	34	60	8	
168	11	8	6	4	40	60	8	
169	3	3	31	1	6	59	4	
170	2	2	2	2	2	6	5	
171	8	3	6	2	2	6	5	
172	13	3	4	6	34	20	18	
173	37	10	21	1	7	11	15	
174	4	2	4	4	34	4	4	
175	38	4	16	7	41	19	46	
176	8	7	8	4	42	3	8	
177	2	2	5	9	2	21	5	
178	8	2	20	9	43	53	22	
179	25	7	6	3	6	45	47	
180	13	7	10	6	7	55	15	
181	8	5	5	4	2	6	5	
182	33	7	32	26	2	61	48	
183	3	17	33	18	2	45	6	
184	3	5	5	2	2	6	5	
185	2	5	5	9	2	24	5	
186	13	27	15	6	7	32	15	
187	3	5	34	2	2	6	49	
188	3	5	5	2	2	6	49	
189	8	14	8	4	7	44	8	
190	2	5	5	27	2	24	21	
191	13	28	5	6	34	37	15	
192	13	27	15	6	34	37	15	
193	4	7	6	7	13	19	14	
194	36	4	14	4	4	4	4	
195	39	14	35	28	44	30	6	
196	4	2	6	4	4	4	4	
197	5	5	5	2	2	24	5	
198	13	27	15	6	7	37	15	
199	28	27	21	1	7	55	15	
200	35	4	6	4	4	26	4	
201	8	5	5	4	2	20	20	
202	35	4	36	4	4	62	20	
203	2	3	6	2	2	24	5	
204	5	13	37	4	34	55	15	
205	4	7	14	4	4	54	50	
206	35	4	4	4	4	24	4	
207	2	5	5	2	2	6	51	
208	35	7	6	4	4	26	4	
209	2	3	5	2	2	63	20	
210	8	3	8	4	7	13	8	
211	2	5	5	2	2	64	5	
212	2	2	5	4	2	24	52	
213	4	26	5	4	45	20	5	
214	2	3	5	2	46	6	20	
215	33	14	38	2	34	47	12	
216	36	4	4	4	4	4	4	
217	13	13	15	19	2	37	22	
218	2	2	5	9	2	6	53	
219	3	2	5	2	2	6	54	
220	8	3	2	2	2	27	19	
221	21	26	14	18	47	65	55	
222	13	7	10	6	7	66	15	
223	40	4	21	6	48	67	56	
224	2	3	5	9	2	68	25	
225	36	4	4	4	49	4	4	
226	5	3	5	12	2	6	12	
227	3	5	5	12	2	24	5	
228	8	5	20	6	43	69	22	
229	2	5	5	29	2	6	5	
230	8	5	39	6	43	70	22	
231	4	4	14	4	4	4	57	
232	35	4	4	4	4	4	4	
233	23	4	40	30	50	22	58	
234	2	3	5	9	2	68	5	
235	20	5	38	2	51	71	5	
236	13	10	15	6	7	32	12	
237	2	3	5	2	2	20	5	
238	13	3	37	2	38	72	12	
239	2	5	5	2	50	21	59	
240	12	29	8	4	34	10	8	
241	13	7	10	31	2	55	5	
242	2	5	5	31	2	45	5	
243	41	5	2	31	2	6	5	
244	36	4	4	4	4	26	4	
245	3	3	5	12	2	6	21	
246	4	7	16	23	34	19	14	
247	8	3	8	4	7	10	60	
248	35	4	4	4	4	4	18	
249	30	12	21	1	24	8	4	
250	21	8	14	32	47	65	61	
251	3	5	5	12	2	21	62	
252	3	3	37	2	38	73	12	
253	13	17	18	34	53	75	22	
254	2	2	5	9	2	6	5	
255	8	7	8	4	7	42	32	
256	8	7	6	4	7	42	32	
257	42	10	15	6	7	75	15	
258	21	30	41	2	4	76	27	
259	5	2	5	2	2	5	5	
260	13	31	15	6	7	32	12	
261	8	2	5	9	2	77	63	
262	13	2	15	6	34	6	15	
263	8	27	5	9	2	6	19	
264	4	17	21	19	53	32	22	
265	4	17	21	19	2	32	22	
266	14	7	8	4	7	3	36	
267	14	7	30	4	34	44	36	
268	43	14	8	4	7	10	35	
269	3	5	5	9	2	24	25	
270	3	5	5	9	2	24	5	
271	44	14	30	4	7	3	22	
272	8	14	30	4	7	3	8	
273	35	4	42	4	4	41	26	
274	2	5	5	2	2	78	64	
275	35	2	4	4	4	4	4	
276	29	26	6	9	4	79	4	
277	2	2	5	2	2	6	5	
278	2	2	5	12	2	6	5	
279	2	2	5	2	2	64	5	
280	14	7	21	2	49	80	10	
281	36	7	4	4	4	26	4	
282	33	7	38	2	31	81	15	
283	8	5	5	2	2	6	65	
284	45	32	21	2	54	53	66	
285	8	2	5	9	2	6	5	
286	13	7	6	2	7	20	29	
287	11	26	6	4	34	60	67	
288	4	7	43	7	55	51	14	
289	5	32	44	34	56	55	12	
290	21	3	14	18	47	65	61	
291	2	5	5	2	2	82	5	
292	4	17	6	19	27	83	22	
293	2	12	21	4	2	24	68	
294	4	7	14	4	34	4	4	
295	3	3	5	3	57	7	6	
296	46	14	6	35	58	84	14	
297	13	14	21	6	7	85	13	
298	24	7	6	3	6	27	37	
299	4	17	21	19	27	83	22	
300	8	3	5	2	2	20	5	
301	4	26	14	9	47	86	61	
302	21	26	14	18	47	86	61	
303	8	2	5	2	2	20	5	
304	4	7	16	7	13	19	14	
305	47	14	21	2	59	80	69	
306	15	7	16	7	13	19	14	
307	4	2	21	19	27	83	22	
308	4	26	14	9	47	65	61	
309	13	10	45	6	7	32	15	
310	2	3	2	9	2	24	5	
311	8	7	8	4	7	3	8	
312	4	33	4	4	4	26	4	
313	3	5	5	2	2	21	5	
314	2	5	5	4	2	21	5	
315	35	7	4	4	4	26	4	
316	2	5	5	2	2	87	5	
317	8	5	5	2	2	20	5	
318	35	4	6	4	4	4	4	
319	8	3	8	4	2	10	8	
320	4	4	4	4	4	26	4	
321	21	26	14	18	47	65	61	
322	2	5	5	4	2	20	5	
323	2	5	5	9	2	6	20	
324	21	26	14	18	47	88	61	
325	4	4	4	4	34	35	4	
326	4	4	14	4	4	4	4	
327	4	4	4	4	49	4	22	
328	4	4	4	4	49	26	4	
329	4	5	4	4	4	26	4	
330	2	5	2	2	2	6	20	
331	13	10	15	6	7	89	15	
332	3	4	20	2	46	27	21	
333	48	34	15	5	60	20	70	
334	37	3	3	1	7	90	15	
335	2	35	6	2	2	20	5	
336	29	3	4	2	34	45	12	
337	30	5	5	3	3	91	3	
338	30	3	4	3	26	92	3	
339	4	35	6	4	61	15	71	
340	13	5	5	34	62	93	22	
341	35	7	4	4	4	4	72	
342	2	2	2	4	2	94	65	
343	3	5	5	4	2	6	19	
344	13	10	15	6	7	37	15	
345	30	36	3	3	24	30	73	
346	30	14	21	4	63	30	20	
347	49	3	6	35	64	20	3	
348	49	12	6	35	51	20	74	
349	49	12	6	35	64	20	75	
350	50	12	21	6	3	95	76	
351	51	37	4	4	4	96	7	
352	4	8	21	19	27	97	22	
353	52	3	2	9	2	6	12	
354	8	5	2	9	2	5	12	
355	51	37	4	4	4	26	77	
356	53	32	6	7	65	32	78	
357	54	3	10	36	66	98	79	
358	8	3	2	9	2	21	12	
359	30	3	46	3	67	99	80	
360	8	14	8	4	7	3	35	
361	8	5	5	2	2	21	49	
362	8	14	16	9	68	20	81	
363	8	3	8	4	7	3	8	
364	2	5	5	2	2	6	19	
365	55	14	4	3	6	45	15	
366	35	4	4	4	4	4	82	
367	3	3	5	3	57	100	6	
368	8	2	5	9	2	21	5	
369	21	8	10	19	27	83	22	
370	56	12	21	1	6	30	4	
371	5	5	5	2	2	101	83	
372	3	5	5	2	69	24	5	
373	13	10	15	6	34	32	15	
374	21	26	14	18	47	102	12	
375	31	5	5	2	2	21	5	
376	2	5	5	2	2	24	20	
377	4	26	14	9	47	102	84	
378	4	8	14	9	47	102	84	
379	8	3	2	9	2	6	12	
380	8	3	2	9	2	25	12	
381	2	2	6	2	2	20	12	
382	2	2	20	2	2	20	12	
383	57	4	20	2	70	103	12	
384	37	2	21	1	7	11	29	
385	2	3	5	9	2	5	5	
386	4	4	4	4	4	24	20	
387	2	5	5	2	2	24	85	
388	4	26	14	9	47	65	84	
389	13	10	14	4	2	37	15	
390	13	10	14	6	2	37	15	
391	13	14	44	18	71	104	6	
392	8	3	8	4	7	10	8	
393	5	38	37	4	34	105	15	
394	13	38	15	6	7	37	40	
395	35	2	4	4	4	26	4	
396	2	3	5	2	2	30	20	
397	2	5	5	4	2	24	68	
398	13	39	15	6	7	37	40	
399	8	3	4	4	50	3	8	
400	8	7	8	4	7	13	8	
401	8	14	8	4	50	44	22	
402	35	7	4	4	4	4	4	
403	4	3	6	9	64	53	15	
404	2	5	6	2	2	6	49	
405	35	4	4	4	4	26	22	
406	35	4	4	4	49	26	4	
407	8	14	8	4	2	10	8	
408	2	5	5	2	2	20	5	
409	21	26	14	18	72	102	84	
410	35	2	4	37	4	4	4	
411	35	15	4	4	4	4	4	
412	36	4	4	4	73	4	4	
413	2	3	5	2	2	25	5	
414	13	10	15	6	74	37	15	
415	13	10	15	6	2	49	15	
416	13	10	15	6	2	37	15	
417	2	3	5	2	2	24	5	
418	30	12	21	1	75	30	4	
419	26	12	21	1	6	30	4	
420	8	14	35	4	7	3	86	
421	8	14	8	4	34	3	8	
422	8	14	8	4	74	3	8	
423	14	14	8	4	7	3	8	
424	4	7	35	6	74	76	22	
425	35	2	6	4	4	26	87	
426	2	5	5	2	2	106	5	
427	21	26	14	18	76	65	84	
428	35	4	4	6	4	4	4	
429	13	10	15	6	77	37	15	
430	58	3	8	4	7	13	8	
431	8	5	5	2	2	24	5	
432	28	14	38	2	78	47	15	
433	4	7	35	19	74	76	15	
434	4	14	21	4	79	107	88	
435	2	3	5	9	2	6	5	
436	59	3	21	2	80	108	15	
437	13	32	4	28	34	27	89	
438	13	3	21	4	27	109	13	
439	3	3	21	4	27	109	13	
440	59	7	47	2	81	108	90	
441	11	26	6	4	34	60	91	
442	9	9	4	14	53	37	18	
443	59	5	21	2	80	108	15	
444	2	5	5	4	2	6	5	
445	13	14	12	39	12	110	92	
446	1	3	4	3	7	73	93	
447	13	26	48	18	31	111	15	
448	4	14	6	4	30	112	8	
449	60	13	21	1	82	11	15	
450	33	14	4	14	6	45	15	
451	60	10	21	1	2	11	15	
452	53	3	10	36	83	113	10	
453	61	5	21	4	80	108	15	
454	2	5	5	40	2	6	5	
455	60	7	21	1	2	114	58	
456	62	3	3	3	84	39	94	
457	53	5	21	2	80	108	15	
458	6	3	10	4	27	109	13	
459	4	17	21	19	27	13	22	
460	3	3	49	2	76	20	47	
461	60	10	21	1	7	11	15	
462	11	8	6	4	34	60	8	
463	5	32	21	19	7	55	5	
464	3	3	21	4	27	45	13	
465	63	14	4	3	6	45	15	
466	59	7	21	2	81	108	90	
467	62	3	3	3	3	115	95	
468	64	3	6	4	34	13	8	
469	2	5	5	4	46	6	5	
470	65	40	6	41	64	53	15	
471	2	5	5	2	2	27	5	
472	5	23	5	2	2	78	5	
473	2	23	5	9	2	5	5	
474	4	22	6	18	64	32	96	
475	8	2	6	2	6	24	5	
476	13	10	15	4	7	37	15	
477	8	5	5	9	2	24	5	
478	58	14	8	4	7	10	35	
479	8	14	30	4	7	44	35	
480	30	41	21	1	6	30	4	
481	8	14	8	4	2	3	8	
482	6	3	37	2	38	116	12	
483	6	3	10	2	38	46	12	
484	8	5	5	9	2	6	20	
485	2	5	5	2	2	6	20	
486	30	12	21	4	6	8	4	
487	4	26	14	9	52	102	84	
488	13	11	15	6	7	37	15	
489	2	26	5	12	2	6	97	
490	2	2	2	2	85	24	83	
491	2	5	5	4	2	6	83	
492	6	3	37	2	38	32	12	
493	35	4	4	4	4	117	98	
494	13	10	15	6	7	37	71	
495	30	3	3	3	3	39	99	
496	3	14	21	2	38	46	12	
497	4	7	4	4	4	26	4	
498	4	14	50	6	4	118	22	
499	4	14	50	6	4	118	15	
500	2	5	51	9	2	6	5	
501	4	2	4	4	4	26	50	
502	2	2	5	2	2	119	5	
503	4	14	50	33	4	118	12	
504	58	14	8	4	7	10	8	
505	13	7	14	6	7	32	15	
506	47	7	35	28	44	20	12	
507	47	7	35	28	44	59	6	
508	47	7	35	28	44	30	6	
509	47	7	35	28	18	20	6	
510	30	3	3	3	3	39	12	
511	47	14	35	28	86	120	6	
512	2	42	5	12	2	121	12	
513	33	14	38	4	87	122	15	
514	30	12	21	1	6	30	4	
515	2	5	6	2	2	20	5	
516	13	10	15	6	2	32	8	
517	13	43	14	4	34	55	15	
518	66	14	6	35	64	20	12	
519	2	5	6	2	2	6	5	
520	35	7	6	4	34	26	20	
521	47	14	35	28	44	30	6	
522	2	5	5	4	2	21	100	
523	35	10	15	6	7	37	15	
524	6	3	3	38	26	39	95	
525	13	14	21	18	34	32	6	
526	4	2	4	4	4	26	4	
527	30	3	43	3	3	39	95	
528	8	7	8	4	7	10	101	
529	3	3	3	3	26	39	95	
530	13	8	14	18	47	47	84	
531	4	44	4	4	4	24	52	
532	4	4	4	4	4	26	50	
533	67	10	21	1	7	11	15	
534	4	7	52	6	74	76	40	
535	35	4	4	4	88	26	4	
536	2	5	2	2	2	24	5	
537	14	14	8	4	7	10	102	
538	62	12	21	1	6	30	4	
539	8	2	6	2	2	24	5	
540	33	7	38	2	87	122	15	
541	62	3	28	1	6	30	4	
542	11	5	20	9	43	53	15	
543	8	5	20	9	43	53	15	
544	39	22	6	18	64	53	12	
545	62	41	21	1	6	30	4	
546	36	2	4	4	4	4	87	
547	30	12	21	1	24	30	98	
548	68	10	21	1	7	11	22	
549	35	7	14	4	4	4	103	
550	69	7	4	4	4	26	4	
551	13	14	21	44	34	32	6	
552	70	3	8	4	7	44	8	
553	47	7	18	45	44	30	6	
554	3	2	5	2	2	6	5	
555	70	14	8	4	7	44	8	
556	33	14	38	2	78	122	12	
557	37	10	21	1	7	123	40	
558	13	45	15	6	7	37	15	
559	71	24	4	4	48	124	4	
560	43	14	8	4	7	3	8	
561	23	3	5	3	2	100	6	
562	5	2	20	6	30	69	22	
563	5	2	20	6	30	125	104	
564	30	12	53	4	6	30	4	
565	4	4	54	9	89	20	105	
566	72	7	20	2	90	103	12	
567	21	26	14	9	72	102	84	
568	5	5	20	6	43	69	22	
569	37	10	21	1	7	126	15	
570	2	5	5	2	2	127	5	
571	33	3	38	2	31	122	15	
572	8	5	5	2	2	6	5	
573	8	5	5	9	2	6	12	
574	4	8	21	19	30	83	22	
575	8	5	5	2	2	6	106	
576	20	3	6	46	26	24	5	
577	37	19	21	1	56	126	15	
578	30	3	3	3	67	39	95	
579	8	5	5	47	91	20	5	
580	3	5	2	48	92	21	5	
581	2	5	5	9	2	21	5	
582	55	14	4	49	75	45	15	
583	2	42	5	2	2	6	12	
584	8	5	5	2	2	6	12	
585	30	3	3	3	3	39	107	
586	2	5	5	28	2	21	5	
587	8	2	5	9	2	106	5	
588	37	7	21	1	56	11	15	
589	37	7	21	4	7	11	15	
590	13	26	5	14	93	53	12	
591	13	10	15	6	56	32	15	
592	2	5	5	2	2	21	49	
593	21	3	14	18	99	102	84	
594	37	12	42	53	6	59	4	
595	37	7	42	1	89	114	15	
596	21	8	10	19	53	83	22	
597	35	7	4	4	4	4	20	
598	21	3	14	18	72	102	84	
599	4	4	4	4	49	4	4	
600	73	5	5	4	2	6	5	
601	21	17	21	19	27	83	22	
602	55	14	4	54	6	45	15	
603	62	3	3	3	3	39	114	
604	35	2	4	4	34	26	115	
605	70	14	8	4	7	3	8	
606	2	3	5	28	2	6	5	
607	37	10	21	1	2	11	15	
608	37	10	21	1	34	11	15	
609	74	7	43	7	13	19	14	
610	70	7	30	4	7	10	8	
611	30	3	3	3	3	39	116	
612	4	4	14	4	4	35	4	
613	4	7	6	4	34	24	4	
614	37	10	6	1	7	11	15	
615	21	26	56	18	31	111	12	
616	55	7	4	3	34	45	15	
617	13	8	21	19	30	83	22	
618	6	3	21	4	53	109	13	
619	70	3	6	4	7	10	8	
620	70	3	8	4	7	10	8	
621	70	14	8	4	7	10	35	
622	14	14	8	4	7	10	8	
623	70	14	8	4	2	3	8	
624	8	7	30	4	7	10	8	
625	2	5	5	55	2	6	5	
626	2	2	5	2	2	6	117	
627	35	4	4	4	34	26	4	
628	13	39	15	4	7	37	40	
629	30	12	21	1	24	30	4	
630	30	3	3	3	3	32	95	
631	30	3	3	3	27	32	95	
632	13	10	15	6	7	55	71	
633	75	14	8	4	7	3	118	
634	76	7	30	4	58	3	35	
635	2	3	5	2	50	6	5	
636	70	3	8	4	7	13	8	
637	13	10	15	6	7	37	12	
638	2	3	6	2	2	6	12	
639	74	10	15	6	7	37	15	
640	70	14	8	4	50	10	8	
641	13	28	15	6	7	32	15	
642	13	19	15	6	34	32	15	
643	77	14	6	6	4	20	15	
644	37	48	21	1	7	11	15	
645	2	5	5	47	2	6	5	
646	4	4	4	4	34	26	4	
647	8	15	5	2	2	20	5	
648	4	49	16	29	97	19	14	
649	25	7	6	56	6	27	37	
650	55	7	4	54	101	45	15	
651	6	3	37	2	30	134	12	
652	70	3	6	4	7	10	35	
653	70	3	6	4	7	3	8	
654	33	3	6	4	102	4	22	
655	35	4	4	4	76	26	4	
656	70	14	8	4	7	10	8	
657	13	2	2	2	80	6	27	
658	37	27	21	1	7	11	15	
659	11	26	6	4	34	60	119	
660	13	7	14	6	34	55	15	
661	70	7	8	4	7	10	8	
662	13	27	15	6	42	37	15	
663	43	14	8	4	34	10	8	
664	8	32	21	34	7	13	5	
665	21	17	21	19	27	135	22	
666	33	14	38	2	78	122	15	
667	70	14	6	4	34	10	8	
668	46	7	4	3	7	136	120	
669	54	31	10	36	83	113	111	
670	6	3	21	50	27	3	13	
671	21	2	21	19	27	83	22	
672	53	3	10	36	94	137	121	
673	23	3	5	3	57	100	113	
674	1	7	15	6	61	23	112	
675	62	28	6	35	95	138	40	
676	53	31	10	4	83	113	121	
677	6	3	21	50	27	109	13	
678	8	3	6	36	34	60	119	
679	62	3	21	3	53	109	95	
680	6	3	3	50	3	139	13	
681	6	3	5	3	2	3	113	
682	10	7	6	28	96	140	1	
683	34	3	5	9	103	100	113	
684	55	14	6	57	43	128	15	
685	55	7	6	57	43	131	15	
686	2	23	5	58	2	21	19	
687	10	46	21	28	67	141	108	
688	34	3	5	3	104	100	113	
689	3	3	5	3	104	100	113	
690	53	31	10	36	94	113	121	
691	3	23	6	3	57	100	113	
692	2	3	5	9	2	6	19	
693	1	7	15	6	61	105	112	
694	1	3	49	6	61	105	112	
695	13	17	21	19	27	83	22	
696	14	7	6	28	96	142	3	
697	10	7	6	28	96	140	3	
698	58	47	4	35	105	23	109	
699	23	3	5	14	57	100	113	
700	23	3	55	3	57	100	110	
701	23	3	55	3	97	3	110	
702	1	7	15	24	61	105	8	
703	54	31	10	36	98	113	121	
704	6	3	21	28	27	109	1	
705	59	4	21	58	80	108	15	
706	23	3	5	3	80	130	113	
707	23	3	5	3	57	130	113	
708	23	3	2	3	57	130	113	
709	23	3	2	3	97	3	113	
710	3	3	2	3	57	3	113	
711	6	3	21	6	27	109	112	
712	78	14	8	4	7	10	8	
713	13	10	10	6	7	32	122	
714	78	3	8	4	7	10	8	
715	70	14	30	4	74	10	8	
716	3	3	3	3	3	39	95	
717	2	3	5	2	2	24	44	
718	33	50	38	4	106	122	15	
719	21	17	21	19	27	32	22	
720	13	10	15	6	7	143	71	
721	8	2	5	4	2	24	5	
722	5	3	6	19	43	69	22	
723	33	14	38	4	78	122	71	
724	63	14	8	4	7	10	8	
725	70	14	8	4	2	10	8	
726	13	7	15	6	7	37	15	
727	5	32	21	34	7	74	5	
728	21	51	48	18	30	111	15	
729	25	7	6	3	24	27	37	
730	2	2	6	2	2	6	52	
731	13	13	15	6	7	143	15	
732	5	32	21	34	7	55	5	
733	13	10	15	19	7	37	15	
734	78	14	8	4	7	10	22	
735	30	3	3	3	3	39	95	
736	3	5	5	2	2	6	16	
737	79	14	8	4	107	10	8	
738	4	4	4	4	4	26	20	
739	39	52	6	18	51	144	22	
740	78	14	8	4	7	3	8	
741	39	14	57	28	44	30	6	
742	13	2	41	2	4	47	27	
743	30	12	21	1	6	20	123	
744	35	4	4	4	108	117	18	
745	14	14	8	4	7	10	35	
746	8	5	58	4	2	6	5	
747	80	3	6	4	31	45	13	
748	70	14	6	4	7	3	124	
749	24	32	21	2	54	53	66	
750	2	5	59	2	2	6	12	
751	81	3	3	2	7	39	125	
752	70	14	8	2	7	3	8	
753	14	7	8	2	7	10	8	
754	7	3	21	5	6	4	126	
755	70	7	6	4	7	3	126	
756	25	7	6	3	6	27	126	
757	70	14	8	4	2	3	126	
758	2	5	5	2	2	6	126	
759	13	3	4	4	34	20	18	
760	35	4	4	4	4	117	4	
761	6	3	37	2	38	46	126	
762	3	3	5	2	2	21	5	
763	2	5	5	2	2	21	12	
764	4	2	4	4	49	26	127	
765	74	7	16	7	7	19	14	
766	23	3	5	3	57	100	6	
767	13	3	60	4	31	45	13	
768	4	4	6	2	96	111	15	
769	13	10	10	6	7	37	15	
770	23	3	5	14	57	100	128	
771	74	7	16	5	13	19	14	
772	24	26	61	2	109	20	129	
773	11	53	6	4	34	145	130	
774	33	14	4	3	6	45	15	
775	4	4	14	4	49	146	22	
776	14	3	8	4	58	10	8	
777	23	3	5	3	57	20	6	
778	23	3	5	3	57	3	6	
779	74	29	6	42	31	13	5	
780	82	2	5	2	2	6	5	
781	35	4	6	4	34	26	4	
782	33	7	32	43	2	61	48	
783	5	13	37	4	34	105	15	
784	21	10	41	4	6	147	47	
785	25	7	6	3	6	45	37	
786	35	14	8	4	7	10	8	
787	47	3	35	28	44	4	6	
788	83	10	62	6	56	37	15	
789	84	5	5	2	2	24	5	
790	80	3	10	59	34	109	20	
791	35	2	14	4	4	4	131	
792	8	3	6	2	2	78	5	
793	36	7	4	4	4	4	4	
794	4	7	52	60	110	76	40	
795	39	7	6	2	111	4	132	
796	6	3	37	9	38	116	12	
797	33	9	10	26	112	14	11	
798	85	14	21	18	113	32	6	
799	70	14	8	61	7	3	8	
800	35	2	4	4	4	148	4	
801	4	7	4	4	4	24	4	
802	78	3	6	4	2	10	8	
803	2	2	5	2	2	21	12	
804	2	3	2	2	2	20	5	
805	55	14	4	3	114	45	22	
806	39	14	35	28	44	4	6	
807	30	3	3	3	26	32	133	
808	35	4	4	4	34	4	4	
809	11	26	6	4	34	13	8	
810	86	3	5	3	2	100	128	
811	3	3	37	2	38	46	12	
812	12	3	63	9	57	100	134	
813	13	54	4	27	43	104	90	
814	30	3	3	3	3	39	135	
815	47	14	57	28	44	30	128	
816	3	23	2	2	2	6	5	
817	3	3	2	3	57	100	6	
