ST	cpn60	fusA	gltA	pyrG	recA	rplB	rpoB
284	3	5	2	1	7	1	4
285	1	52	2	2	9	4	2
286	3	2	2	2	28	1	29
287	11	3	2	4	13	25	2
288	25	3	7	2	4	4	3
289	1	16	2	2	9	32	5
290	12	3	2	2	53	4	29
291	1	53	7	2	3	33	53
292	1	3	2	1	3	34	4
293	12	3	2	2	8	2	4
294	40	3	2	2	4	35	4
295	3	3	52	2	54	1	6
296	1	3	2	2	9	1	54
297	42	30	41	19	9	28	22
298	1	2	2	2	29	4	5
299	5	1	2	2	2	4	8
300	3	3	2	4	3	2	4
301	20	2	2	2	2	4	8
302	6	1	1	1	9	1	41
303	50	3	2	2	3	4	4
304	3	3	2	4	29	2	4
305	6	2	8	2	3	5	4
306	20	26	26	14	3	16	40
307	3	3	2	4	7	2	30
308	3	1	6	2	5	1	5
309	12	1	2	2	9	1	5
310	1	54	1	1	5	1	1
311	3	1	2	1	11	2	4
312	52	55	53	16	55	36	55
313	53	26	47	14	27	16	47
314	25	1	18	1	56	2	14
315	1	56	1	1	5	1	1
316	3	1	6	2	4	1	5
317	3	1	15	2	40	4	4
318	6	6	8	2	3	5	5
319	3	1	2	2	7	1	5
320	54	57	38	16	57	18	20
321	45	58	44	10	20	18	56
322	55	26	54	14	58	16	47
323	56	3	55	2	5	1	14
324	3	3	2	4	2	2	2
325	1	2	2	1	5	1	5
326	3	3	16	25	5	6	1
327	1	15	2	5	11	1	14
328	1	1	1	25	5	1	2
329	26	4	2	2	9	2	2
330	1	6	8	2	3	5	4
331	3	2	2	2	7	2	5
332	1	4	2	2	3	1	2
333	3	2	2	1	29	1	4
334	3	1	14	3	12	1	13
335	40	1	2	2	3	4	4
336	27	2	2	2	7	2	5
337	40	2	2	1	3	2	52
338	8	5	5	26	13	1	2
339	8	59	5	5	6	2	3
340	57	3	2	2	9	2	4
341	3	3	56	2	54	1	3
342	41	60	13	1	5	4	14
343	3	1	2	2	2	2	4
344	2	2	1	1	2	2	2
345	26	4	2	2	9	2	5
346	1	2	3	2	9	4	5
347	1	2	3	2	59	4	5
348	3	3	2	2	29	27	5
349	3	3	7	2	13	1	15
350	3	3	2	2	5	2	5
351	26	61	2	2	7	1	5
352	3	2	7	26	60	1	4
353	1	2	3	2	59	4	57
354	3	2	2	2	7	1	5
355	22	26	26	14	61	16	23
356	1	53	3	2	62	1	29
357	3	4	2	2	7	2	5
358	3	3	14	26	7	1	4
359	20	24	26	14	26	16	47
360	1	4	2	1	42	1	4
361	3	4	2	1	42	1	4
362	27	2	2	2	29	2	5
363	1	2	2	2	15	4	5
364	1	4	2	1	42	1	5
365	1	3	2	2	7	4	5
366	1	2	1	1	29	29	5
367	1	2	14	3	12	1	2
368	1	62	3	2	40	1	4
369	3	2	7	2	13	1	15
370	1	4	3	2	9	1	14
371	27	2	7	2	5	1	14
372	1	4	2	1	42	1	2
373	3	2	2	5	5	1	4
374	3	2	2	2	3	4	4
375	8	2	2	3	9	2	4
376	27	4	2	1	42	1	2
377	1	2	2	2	3	1	5
378	2	5	5	1	7	1	4
379	3	2	2	2	2	1	2
380	2	2	2	2	4	2	2
381	1	53	3	1	13	4	4
382	1	4	2	2	7	1	5
383	27	7	2	2	7	2	5
384	13	5	40	1	42	1	2
385	1	2	4	2	5	1	14
386	3	2	2	30	3	8	3
387	3	63	7	2	29	1	5
388	1	62	3	2	40	4	4
389	2	64	2	2	2	2	2
390	45	58	57	10	20	18	20
391	2	2	58	2	2	2	2
392	1	65	6	2	63	1	4
393	2	2	2	31	2	2	2
394	58	58	46	29	64	18	58
395	59	26	59	14	23	16	47
396	60	21	46	10	20	18	20
397	62	48	2	2	3	1	5
398	61	66	60	32	35	23	34
399	1	62	3	2	40	4	5
400	3	3	55	2	66	1	5
401	55	3	54	2	58	16	5
402	3	3	2	1	7	2	4
403	3	2	6	1	3	4	59
404	3	49	61	2	5	2	4
405	5	3	16	4	29	1	60
406	1	1	1	2	65	1	5
407	56	3	55	2	5	4	14
408	1	1	1	1	7	1	1
409	1	1	1	1	2	1	1
410	20	26	26	14	26	16	23
411	64	52	7	2	29	4	29
412	1	52	2	2	67	4	5
413	1	3	2	2	5	8	12
414	2	2	2	2	2	37	2
415	2	2	2	2	68	2	2
416	1	2	2	2	4	1	4
417	1	2	2	2	11	1	5
418	56	3	2	2	5	4	14
419	3	71	2	2	5	4	14
420	10	4	3	2	5	1	2
421	3	2	2	7	5	1	5
422	26	72	2	2	29	4	5
423	3	2	2	7	5	4	5
424	3	1	7	1	7	1	4
425	3	3	63	6	4	9	1
426	3	4	2	2	5	1	2
427	13	3	2	3	6	1	16
428	3	1	2	3	6	1	16
429	3	74	2	3	6	1	16
430	1	75	2	2	5	1	2
431	1	4	2	1	70	1	2
432	65	73	62	33	69	38	61
433	22	26	29	14	27	16	47
434	33	26	34	14	27	16	47
435	1	26	34	14	27	16	47
436	1	26	34	14	1	16	47
437	3	2	2	2	30	4	28
438	3	2	2	7	9	4	5
439	1	3	2	1	3	1	5
440	13	40	2	3	7	1	16
441	3	5	7	1	12	1	2
442	3	3	2	2	71	1	5
443	3	67	2	2	13	2	4
444	39	2	2	2	4	4	4
445	13	5	7	1	7	1	4
446	8	1	5	26	6	1	3
447	3	68	5	2	29	4	29
448	27	4	7	1	7	1	4
449	63	2	2	34	5	1	14
450	37	1	5	3	12	2	3
451	3	69	64	2	9	2	2
452	7	2	2	1	8	4	4
453	3	70	2	1	9	2	5
454	3	2	2	2	3	1	6
455	27	3	2	5	7	2	51
456	27	5	7	1	7	1	2
457	66	20	48	35	72	18	62
458	40	3	56	2	73	1	63
459	3	5	65	1	7	1	4
460	1	1	1	1	5	1	64
461	67	2	6	2	74	2	5
462	3	3	2	2	5	4	14
463	68	76	66	36	72	30	65
464	5	2	4	1	3	4	4
465	1	3	67	2	29	6	5
466	69	3	2	2	3	1	10
467	3	1	68	2	13	1	2
468	3	67	2	1	75	1	5
469	1	3	15	2	9	2	5
470	3	3	13	1	9	1	4
471	1	3	13	2	2	1	4
472	1	3	2	4	3	1	5
473	3	77	3	5	18	1	14
474	3	78	2	2	73	4	14
475	22	3	15	2	76	4	4
476	1	78	2	2	73	1	5
477	26	2	6	2	5	1	52
478	3	2	2	5	4	2	3
479	3	3	11	2	44	4	8
480	5	3	2	2	9	4	14
481	1	2	2	2	5	1	5
482	1	1	2	2	7	2	5
483	71	79	34	23	77	23	66
484	15	80	69	8	19	10	19
485	72	20	46	16	20	39	65
486	3	2	2	2	39	13	4
487	2	2	1	2	2	2	2
488	6	6	8	2	10	2	3
489	2	2	2	2	2	8	2
