ST	asd	edd	gap	glnD	gnd	nuoE1	ordL2	recA	sucA	zwf	clonal_complex
78	11	4	1	1	1	1	3	1	1	3	
79	15	9	2	2	13	4	2	6	2	10	
80	1	1	1	3	2	1	1	3	3	1	
81	10	2	2	2	13	10	2	2	2	2	
82	13	9	2	2	13	4	9	2	2	2	
83	1	1	1	5	1	1	1	1	1	1	
84	1	4	1	1	1	1	4	1	1	3	
85	7	10	1	4	1	3	1	1	1	1	
86	1	1	1	5	1	1	4	1	11	1	
87	1	1	1	1	1	1	1	1	12	1	
88	8	1	1	3	1	1	1	1	1	4	
89	14	5	1	4	1	1	1	1	4	1	
90	1	17	1	1	1	1	1	1	1	1	
91	2	2	2	2	13	7	2	2	2	2	
92	1	1	1	1	1	1	1	1	3	1	
93	1	1	1	1	1	12	1	1	1	1	
94	1	1	1	1	9	1	1	12	1	1	
95	1	1	1	4	1	1	1	1	1	1	
96	1	1	1	4	9	1	1	12	1	1	
97	1	1	1	11	1	1	1	12	1	1	
98	1	1	1	11	9	1	1	12	1	1	
99	1	1	1	11	9	1	1	12	1	11	
100	1	1	1	11	10	1	1	12	1	1	
101	1	1	10	11	9	1	1	12	1	1	
102	1	5	5	3	1	1	1	11	3	1	
103	1	5	5	4	1	1	1	11	3	1	
104	1	5	5	4	1	13	1	11	3	1	
105	1	19	1	1	1	1	1	1	1	1	
106	1	20	1	1	1	1	1	13	1	1	
107	1	21	1	11	9	1	1	12	1	1	
108	1	22	1	1	1	1	1	1	1	1	
109	1	23	1	1	1	1	1	1	1	1	
110	1	23	1	1	9	1	1	1	1	1	
111	8	10	1	4	1	1	1	11	13	1	
112	8	10	1	4	1	1	10	11	13	1	
113	8	10	1	11	9	1	1	12	1	1	
114	17	1	1	1	1	1	1	1	1	1	
115	1	1	1	1	1	1	15	1	1	1	
116	1	3	1	1	24	1	1	1	1	1	
117	1	1	1	1	1	1	1	16	1	1	
118	1	10	5	4	1	1	1	1	3	1	
119	1	4	1	4	1	1	3	1	1	3	
120	1	3	4	6	3	3	5	4	5	1	
121	1	24	5	4	1	1	14	11	3	17	
122	1	6	4	4	3	3	5	4	5	1	
123	7	10	1	4	1	1	1	1	1	1	
124	1	10	1	1	1	1	1	1	1	1	
125	1	6	4	6	3	3	5	18	5	1	
126	1	10	5	4	1	1	1	11	3	1	
127	1	32	4	6	3	3	5	4	5	1	
128	1	1	1	4	1	1	16	1	1	1	
129	2	33	2	2	12	2	2	2	2	2	
130	1	3	1	1	1	1	14	1	1	1	
131	1	32	4	6	3	3	5	4	1	1	
132	2	2	2	2	13	7	2	2	18	2	
133	1	24	1	4	1	1	14	11	3	17	
134	1	5	5	4	1	3	1	4	3	17	
135	1	24	5	1	1	1	14	11	3	17	
136	1	4	1	6	1	1	3	1	1	3	
