ST	aarF	dfp	galR	glnS	hemA	rfaE	speA	clonal_complex
87	45	43	48	48	59	42	40	
88	39	42	48	49	59	42	40	
89	45	42	48	49	59	42	40	
90	39	43	51	56	44	42	41	
91	39	37	48	49	59	42	41	
92	45	42	48	49	59	42	41	
93	39	37	62	49	59	42	41	
94	39	42	48	52	59	42	41	
95	39	37	48	58	59	42	41	
96	39	43	51	49	60	42	41	
97	49	37	48	49	59	50	41	
98	54	43	51	49	44	42	42	
99	39	42	52	49	61	42	42	
100	48	46	58	49	49	50	43	
101	48	48	60	53	51	52	43	
102	41	39	49	43	46	40	44	
103	41	47	59	43	46	40	44	
104	49	39	59	43	46	40	44	
105	50	39	11	54	46	53	44	
106	14	13	15	14	50	51	45	
107	51	49	12	55	52	54	46	
108	52	50	35	57	53	55	47	
109	47	54	64	8	28	45	48	
110	47	45	54	9	57	45	48	
111	26	55	28	42	38	59	49	
112	56	57	65	33	36	60	50	
113	6	2	3	3	2	3	51	
114	60	59	67	64	64	61	52	
115	61	60	68	65	65	62	53	
116	47	54	64	8	66	45	48	
117	65	62	72	66	66	59	57	
118	63	4	2	6	8	10	6	
119	63	4	2	6	8	6	6	
120	67	64	1	1	1	1	1	
121	48	65	70	53	68	64	43	
122	39	43	48	49	44	42	58	
123	63	4	5	2	7	6	2	
124	63	4	5	6	5	10	6	
125	2	4	9	6	8	63	2	
126	63	4	2	2	5	72	2	
127	15	25	77	15	30	16	16	
128	21	53	20	16	69	47	17	
129	2	4	2	2	79	6	2	
130	77	23	81	42	66	24	24	
131	27	23	29	68	27	24	25	
132	2	73	82	2	12	65	2	
133	63	4	5	6	8	10	2	
134	66	63	78	42	26	24	63	
135	64	61	71	68	67	67	56	
136	7	64	69	76	1	1	1	
137	2	4	2	2	5	11	2	
138	39	42	52	49	59	42	42	
139	2	4	2	6	5	2	2	
140	14	13	15	45	40	15	28	
141	14	13	15	31	40	15	28	
142	27	23	24	19	27	24	25	
143	3	2	3	3	2	3	14	
144	6	2	3	3	2	3	14	
145	3	2	3	3	2	12	3	
146	2	4	2	2	5	11	6	
147	2	5	7	7	10	43	2	
148	47	54	64	25	28	45	48	
149	39	4	2	6	8	6	2	
150	39	42	51	49	60	42	41	
151	5	37	48	49	59	42	41	
152	2	4	74	2	9	63	2	
153	71	23	24	69	38	68	65	
154	7	64	79	76	1	1	1	
155	2	5	7	2	5	11	6	
156	2	4	83	2	7	73	2	
157	2	73	2	2	12	65	2	
158	5	5	2	6	12	6	2	
159	2	4	2	78	5	74	6	
160	2	4	5	2	5	76	6	
161	2	4	5	2	10	75	2	
162	78	6	84	77	78	74	6	
163	5	5	85	77	12	6	6	
164	2	55	2	2	12	65	2	
165	2	4	9	79	5	11	2	
166	2	4	5	2	9	2	2	
167	48	46	58	80	68	50	43	
168	48	46	58	49	68	50	41	
169	48	46	58	44	68	50	43	
170	2	4	2	2	12	11	2	
