ST	abcZ	bglA	cat	dapE	dat	ldh	lhkA
264	40	30	42	49	30	110	27
265	41	33	43	50	31	111	28
266	42	34	44	51	16	112	29
267	40	30	42	52	32	113	25
268	43	35	45	53	33	114	30
269	41	36	46	54	34	115	28
270	5	6	19	6	1	24	1
271	7	10	17	20	1	26	1
272	1	1	11	11	2	116	5
273	4	4	49	3	2	1	5
274	11	12	4	15	3	9	2
275	7	6	8	8	6	117	1
276	1	1	11	11	2	118	5
277	1	38	11	11	2	1	5
278	3	1	1	1	3	30	3
279	1	9	12	56	2	1	3
280	4	4	4	57	2	9	5
281	4	4	4	57	2	1	5
282	11	1	12	16	3	9	7
283	9	10	15	6	8	119	1
284	1	9	12	17	2	28	5
285	11	1	12	16	3	120	32
286	11	1	12	16	3	1	32
287	4	4	4	3	2	90	5
288	34	39	11	15	3	1	2
289	5	6	2	9	5	121	1
290	1	1	11	11	2	11	5
291	1	1	11	11	2	10	5
292	57	6	2	29	5	3	1
295	4	39	11	60	3	1	2
296	12	12	12	61	3	1	4
297	5	42	5	7	6	2	1
298	45	1	1	1	3	1	3
299	22	33	21	24	17	31	13
300	7	5	8	4	6	37	1
301	6	10	6	7	1	4	1
302	6	10	16	7	5	2	1
303	6	8	5	7	6	41	1
304	7	5	6	4	1	62	1
305	6	1	4	14	3	39	4
306	5	5	6	4	1	62	1
307	7	29	8	4	1	2	1
308	3	1	1	1	18	1	3
309	22	33	21	24	17	31	3
310	12	1	4	14	3	124	4
311	7	10	16	8	5	2	1
312	12	5	6	4	1	62	1
313	17	13	3	6	5	125	1
314	7	6	19	6	1	126	1
315	3	18	27	3	4	127	5
316	7	6	19	6	1	127	1
317	1	2	12	3	2	5	33
318	46	1	11	3	3	1	7
319	4	4	4	3	2	128	5
320	7	10	16	7	35	2	1
321	5	6	8	62	6	7	34
322	7	6	8	8	6	37	35
323	34	12	11	15	3	1	2
324	34	12	11	16	3	1	2
325	7	14	10	19	1	8	1
326	3	1	1	1	3	129	3
327	3	1	1	1	3	130	3
328	3	1	1	1	3	131	3
329	1	2	51	3	2	5	3
330	34	39	11	60	3	1	2
331	49	11	52	24	17	145	37
332	5	43	5	7	6	2	1
333	1	2	12	3	2	144	3
334	7	10	16	7	5	25	1
335	51	33	53	24	22	147	13
336	7	7	3	10	5	140	1
337	7	15	15	8	6	138	9
338	7	15	15	8	6	137	9
339	7	7	6	4	5	4	1
340	7	15	15	8	6	136	9
341	5	8	5	7	6	132	1
342	51	33	53	24	22	146	13
343	6	5	6	4	1	135	1
344	2	9	12	14	3	143	36
345	3	31	14	3	3	60	5
346	4	4	4	3	2	127	5
347	3	1	1	1	3	142	3
348	1	1	11	11	2	141	5
349	7	15	15	8	6	139	9
350	3	1	1	1	3	10	3
351	50	30	54	64	24	148	26
352	3	1	1	1	18	90	3
353	6	5	6	4	1	134	1
354	3	1	1	1	3	28	3
355	11	1	12	58	3	1	7
356	6	5	6	4	1	133	1
357	48	45	29	65	37	150	38
358	47	44	55	63	36	149	39
359	3	1	1	16	7	28	4
360	7	6	17	6	5	2	1
361	5	5	18	21	39	2	6
362	7	6	3	66	5	7	1
363	34	1	57	14	2	1	2
364	7	10	8	7	1	26	1
365	7	6	3	6	5	7	1
366	53	13	3	67	1	3	41
367	3	1	1	1	3	152	3
368	7	48	59	68	38	2	1
369	53	47	8	67	13	3	41
370	53	13	3	67	13	3	41
371	7	6	56	6	1	2	1
372	7	10	58	7	5	2	1
373	52	1	4	14	2	1	3
374	53	46	8	67	13	3	41
375	7	6	13	8	1	96	6
376	5	5	3	6	1	2	1
377	5	7	6	4	5	4	40
378	7	49	19	6	1	24	1
379	2	1	4	3	3	1	5
380	5	5	2	21	6	151	1
381	7	50	16	7	5	2	1
382	1	51	11	13	2	5	5
383	5	7	3	5	1	153	6
384	7	6	15	6	5	53	1
385	3	1	60	1	3	1	3
386	11	3	12	38	3	94	42
387	5	6	2	29	5	154	1
388	3	1	12	70	2	1	5
389	52	1	12	71	2	1	5
390	5	5	3	18	12	3	1
391	7	6	62	28	5	2	1
392	2	4	12	3	3	94	2
393	30	6	3	6	5	7	1
394	5	5	17	21	39	2	6
395	7	14	63	6	1	26	1
397	1	2	12	1	2	5	3
398	7	13	19	6	1	7	1
399	8	6	15	6	6	2	1
400	7	6	10	6	6	2	1
401	8	6	15	6	6	25	1
402	17	13	3	6	5	158	1
403	7	7	10	4	5	24	1
404	3	1	1	1	3	1	4
405	5	7	5	5	1	8	6
406	56	53	61	72	41	155	43
407	59	32	21	75	17	159	44
408	60	2	12	3	2	5	3
409	2	55	11	3	3	1	7
410	1	1	11	11	2	160	5
411	1	1	11	11	2	161	5
412	7	52	8	6	1	2	1
413	3	56	1	1	3	1	3
414	3	1	1	1	42	1	3
415	5	5	65	21	39	2	6
416	3	1	1	1	3	162	3
417	3	9	9	76	3	1	5
418	1	1	11	11	1	1	5
419	3	9	9	3	3	1	1
420	7	6	8	8	6	37	3
421	6	5	6	4	1	4	5
422	3	9	9	3	3	1	3
423	4	4	4	3	2	1	3
424	17	13	3	6	5	7	45
425	7	6	15	8	6	2	14
426	11	1	48	3	2	1	31
427	15	10	66	18	1	3	1
428	30	10	17	20	1	26	1
429	11	1	11	38	2	39	5
430	15	10	18	18	1	165	1
431	7	15	15	78	6	14	9
432	7	15	15	8	6	166	9
433	51	58	52	24	22	123	46
434	59	11	21	24	17	164	47
435	5	6	2	7	5	6	48
436	23	10	17	30	6	2	1
437	63	59	67	79	44	167	49
438	63	63	70	82	46	171	54
439	7	6	15	18	12	172	1
440	22	33	21	83	25	123	55
441	6	64	6	4	1	4	1
442	3	7	3	10	5	6	1
443	3	9	9	7	3	1	5
444	44	40	50	59	24	122	26
445	7	10	17	20	6	26	1
446	44	60	68	80	41	168	51
447	64	61	69	81	16	169	52
448	65	62	40	33	45	170	53
449	3	1	1	1	18	28	3
450	58	41	53	73	16	156	50
451	7	5	10	21	1	4	1
452	61	5	17	30	6	6	1
453	62	57	2	77	43	163	1
454	1	1	11	11	2	90	5
455	3	1	12	3	2	94	5
456	3	1	1	1	3	127	3
457	3	1	1	1	3	120	3
458	1	1	11	11	2	120	5
459	69	10	16	7	5	2	1
460	1	1	12	17	2	12	3
461	5	8	5	7	6	85	1
462	1	1	71	11	2	173	5
463	66	33	72	84	32	159	56
464	3	1	1	1	3	1	57
465	3	18	27	3	4	174	5
466	5	10	15	85	5	7	1
467	67	65	29	63	36	178	39
468	3	1	1	1	3	175	3
469	19	17	22	25	15	176	12
470	68	1	1	1	3	1	3
471	17	13	3	6	5	177	1
473	32	11	38	27	47	34	20
474	36	21	33	86	20	180	58
475	7	66	8	87	6	181	1
476	4	4	4	3	2	182	5
477	6	5	6	4	1	183	1
478	6	5	6	4	1	184	1
479	5	8	5	7	6	185	1
480	7	15	15	6	1	2	1
481	7	6	15	18	12	186	1
482	3	31	14	3	3	5	5
483	30	8	5	7	6	2	1
484	3	1	1	1	3	187	3
485	70	67	73	88	23	188	60
486	15	10	66	18	1	189	1
487	17	13	3	6	5	190	1
488	71	68	74	48	27	191	50
489	11	9	12	3	3	1	4
490	3	18	27	3	4	28	5
491	1	9	12	17	2	1	5
492	36	21	40	45	48	179	61
493	72	21	75	35	49	192	16
494	1	1	11	11	2	193	5
495	3	1	1	1	3	194	3
496	4	4	4	3	2	131	5
497	73	5	6	4	1	4	1
498	7	6	15	18	12	195	1
499	4	4	4	3	50	1	5
500	4	4	4	3	2	30	5
501	5	10	8	21	6	196	1
502	3	1	1	1	3	141	3
503	1	1	11	11	2	197	5
504	7	66	8	87	6	37	1
505	18	11	21	89	17	35	13
506	1	3	48	90	3	1	4
507	7	6	15	6	5	41	1
508	7	13	19	6	1	198	1
509	74	69	76	91	51	199	24
510	6	5	6	4	1	200	1
511	5	8	5	7	6	2	62
512	75	70	77	92	27	201	63
513	7	13	19	6	1	202	1
514	7	5	3	18	1	7	1
515	3	1	1	39	3	1	3
516	7	15	15	8	6	203	9
517	11	3	4	26	3	1	4
518	7	6	17	18	6	6	1
519	5	8	5	7	6	16	1
520	3	18	27	3	4	106	23
521	8	6	15	6	6	16	1
522	17	13	3	6	5	204	1
523	58	32	78	73	16	205	64
524	76	71	79	93	52	206	50
525	77	4	4	3	2	1	5
527	78	23	80	94	45	69	65
529	25	73	82	96	45	211	67
530	28	62	40	97	45	214	53
531	1	2	12	98	2	5	3
532	79	21	83	33	45	213	17
533	80	74	85	99	53	208	69
534	9	6	15	6	8	26	1
536	26	21	30	33	55	69	17
537	28	21	84	97	20	218	68
538	80	74	85	99	53	209	69
539	80	74	85	99	53	212	69
540	79	21	83	33	45	215	17
541	80	74	85	99	53	216	69
542	80	74	85	99	53	207	69
544	1	2	12	3	2	220	3
545	7	6	15	6	5	84	1
546	82	4	87	3	2	1	5
547	3	18	27	3	4	221	5
548	5	8	5	7	6	222	1
549	7	13	19	6	1	223	1
550	11	3	12	38	3	224	2
551	5	6	88	29	5	3	1
552	2	1	89	3	3	1	7
553	1	1	11	11	2	225	5
554	2	1	9	1	3	5	5
555	3	9	9	3	2	1	5
556	7	27	2	6	1	24	1
557	27	54	64	74	22	157	55
558	11	1	12	38	2	1	5
560	4	9	4	3	3	1	5
561	5	8	5	7	6	2	71
562	83	19	91	100	58	178	72
563	84	75	92	101	59	227	73
564	67	76	91	102	60	228	38
565	84	75	93	103	61	229	74
566	83	77	91	102	62	150	39
567	84	78	92	104	61	230	75
568	85	75	94	102	61	231	76
569	86	75	93	101	61	232	77
570	5	5	8	18	1	7	1
571	7	6	15	18	12	6	59
572	52	1	4	14	4	1	3
573	7	6	8	105	6	7	1
574	8	6	15	6	6	2	78
575	6	5	6	55	1	4	1
576	31	4	4	3	2	1	5
577	31	4	4	3	2	1	18
578	2	1	11	3	3	1	19
579	5	6	47	7	5	2	1
580	6	37	6	4	1	4	1
581	11	3	12	3	3	1	2
582	54	5	6	4	1	4	1
583	55	5	6	4	1	4	1
584	7	6	8	69	6	37	1
585	30	6	10	20	40	26	1
586	15	10	18	18	1	233	1
587	15	10	18	18	1	89	1
588	5	6	2	9	5	165	1
589	87	1	11	11	2	1	5
590	6	5	6	4	1	234	1
591	7	6	15	6	63	2	1
592	7	15	15	8	11	237	9
593	7	6	8	8	6	235	1
594	12	12	12	61	3	236	4
595	3	1	1	106	3	1	3
596	1	2	12	3	2	5	79
599	70	80	30	33	45	240	68
600	36	21	40	108	65	241	81
602	26	21	40	110	45	242	16
603	36	21	40	108	65	243	81
605	36	21	30	35	45	69	17
609	5	6	2	29	5	3	5
610	7	6	62	1	5	2	1
611	1	2	12	3	2	5	1
612	12	1	4	14	3	39	3
613	3	1	1	1	3	1	82
614	91	1	1	1	3	1	5
615	3	9	9	3	3	12	5
616	3	9	9	3	72	1	5
617	2	9	12	14	3	247	36
618	98	4	4	3	2	1	5
619	12	86	11	3	73	1	2
620	7	87	8	6	1	2	1
621	99	6	10	6	1	2	1
622	100	5	6	4	1	4	1
623	18	11	21	24	17	248	13
624	5	8	105	7	6	2	1
625	6	5	6	119	1	4	1
626	7	88	106	120	1	249	1
627	4	4	4	3	2	250	5
628	4	4	4	121	2	1	5
629	101	1	11	3	3	1	7
630	1	1	11	11	2	1	3
631	1	2	9	3	2	1	3
632	1	89	1	3	7	5	3
633	1	9	1	3	3	5	3
634	1	2	9	123	2	5	3
635	23	29	3	30	6	6	1
636	27	54	104	74	22	157	55
637	28	23	33	35	23	192	16
638	3	1	1	117	3	1	3
639	3	1	12	3	69	1	5
640	41	33	100	54	70	246	28
641	41	33	43	122	70	111	28
642	5	6	2	7	5	3	1
643	5	7	3	5	1	26	6
644	5	13	63	21	5	2	6
645	5	10	8	116	1	3	1
646	5	13	3	6	5	7	1
647	5	13	3	6	5	96	1
648	5	29	102	62	6	7	34
649	5	6	10	21	1	252	85
650	5	10	3	116	1	3	1
651	52	1	9	1	3	1	4
652	57	6	2	29	5	7	1
653	57	6	10	29	5	3	1
654	59	11	21	24	71	164	47
655	6	10	15	7	12	7	1
656	7	14	8	6	2	27	1
657	7	6	3	66	5	7	7
658	7	6	17	115	5	26	1
659	7	10	17	5	5	2	1
660	7	10	17	115	1	26	1
661	7	85	10	118	13	3	1
662	7	14	8	6	1	27	1
663	88	79	12	3	18	1	5
664	92	83	98	113	68	245	83
665	93	84	101	6	1	251	1
666	94	2	11	3	18	1	5
667	95	6	3	7	5	2	84
668	96	45	29	114	61	150	39
669	97	11	103	24	17	123	13
670	62	57	99	77	43	163	83
671	5	10	8	6	1	253	1
672	5	7	6	4	5	254	1
673	5	6	2	9	5	255	1
674	34	4	4	3	2	1	5
675	11	12	4	15	3	12	2
676	34	39	11	60	3	9	2
677	7	10	16	7	5	50	1
678	7	10	16	7	5	38	1
679	1	1	1	11	2	1	5
680	5	6	8	62	39	7	34
681	7	15	15	8	6	256	9
682	1	2	12	3	2	257	3
683	5	5	17	124	39	2	6
684	7	10	16	7	5	85	1
685	2	1	11	3	3	1	3
686	102	9	11	15	3	1	2
687	11	9	11	15	3	1	7
688	3	9	1	3	7	1	5
689	8	6	8	6	1	37	1
690	11	5	48	3	2	1	31
691	5	8	5	125	6	2	1
692	3	1	1	1	74	1	3
693	2	90	1	17	2	1	3
694	5	7	6	4	5	258	1
695	7	27	107	41	5	2	1
696	1	3	7	2	4	7	2
697	7	7	108	10	5	6	1
698	3	92	1	1	3	1	3
699	8	91	15	6	6	2	1
700	3	9	1	3	3	1	3
701	3	9	9	1	3	1	5
702	3	9	9	3	3	1	22
703	3	1	3	1	3	1	3
704	3	93	9	3	3	1	86
705	7	10	16	7	5	259	1
706	5	29	8	21	1	7	1
707	74	30	35	126	75	148	26
708	7	6	8	8	76	37	1
709	21	6	15	8	6	2	1
710	3	1	1	1	3	1	87
711	7	15	15	8	6	2	9
712	7	10	16	7	5	3	1
713	6	5	109	4	1	4	1
714	7	6	8	127	6	37	1
715	7	13	19	6	1	260	1
716	7	6	8	8	6	261	1
717	7	6	8	107	6	37	1
718	6	5	6	4	1	4	80
719	89	6	2	9	5	3	1
720	5	8	5	128	6	2	1
721	1	2	110	3	2	5	3
722	5	29	8	129	1	7	1
723	103	1	1	1	3	1	3
