ST	atpD	dnaJ	mdh	pyrC	recA	rpoD
197	71	148	119	138	102	93
198	1	54	6	78	19	29
199	43	72	6	126	19	39
200	63	52	50	69	19	29
201	40	45	6	78	24	39
202	43	84	132	162	56	54
203	40	45	110	82	58	39
204	43	67	152	127	24	20
205	47	58	67	79	19	20
206	43	63	6	61	19	29
207	51	54	48	43	24	29
208	2	79	48	79	19	20
209	56	85	6	184	19	38
210	43	72	6	94	19	34
211	54	55	6	47	33	30
212	1	86	48	47	59	83
213	40	45	6	78	24	29
214	55	54	6	64	70	29
215	43	87	68	85	19	29
216	55	123	6	66	24	29
217	2	85	6	43	24	29
218	47	53	97	67	19	29
219	43	69	69	86	33	42
220	47	67	10	69	19	20
221	43	73	97	52	33	30
222	43	52	48	67	19	80
223	29	26	39	30	194	193
224	14	204	205	177	5	16
225	71	165	127	138	102	93
226	43	73	10	87	19	42
227	1	88	50	64	66	29
228	47	58	148	79	19	20
229	92	149	125	173	113	93
230	42	82	10	79	19	39
231	3	156	96	1	74	74
232	22	166	128	172	114	216
233	79	34	12	178	116	219
234	42	53	10	41	19	29
235	50	45	132	184	24	29
236	3	159	27	1	1	1
237	84	169	124	171	115	97
238	19	168	126	174	112	93
239	43	89	10	65	35	42
240	40	90	6	123	19	20
241	71	148	119	176	102	99
242	90	154	109	49	110	9
243	42	72	6	67	19	20
244	49	170	72	180	117	31
245	40	45	6	82	19	39
246	43	69	6	52	33	52
247	43	55	6	154	33	42
248	42	82	72	79	19	39
249	52	53	10	182	66	80
250	84	171	129	186	118	100
251	3	6	10	51	13	15
252	3	45	35	25	31	15
253	3	45	14	37	73	15
254	50	45	132	187	24	29
255	43	57	66	154	35	42
256	43	87	68	77	19	29
257	43	172	148	188	119	47
258	47	53	6	94	19	34
259	43	173	130	112	56	44
260	53	66	72	92	34	31
261	47	52	10	69	24	20
262	43	174	66	47	35	30
263	43	91	6	43	24	29
264	43	92	10	67	19	34
265	1	85	6	184	19	38
266	1	88	6	67	24	29
267	43	55	6	47	19	29
268	43	93	10	40	33	42
269	43	69	72	47	35	42
270	49	72	62	92	133	31
271	43	86	48	47	59	83
272	48	58	154	67	41	29
273	58	94	193	88	40	31
274	43	95	70	89	19	20
275	55	67	6	66	66	39
276	40	68	6	43	24	29
277	43	55	81	175	33	42
278	43	57	10	69	19	20
279	40	67	48	181	19	20
281	49	96	72	179	61	31
283	2	67	132	135	59	20
284	43	53	10	67	19	20
285	1	85	6	127	19	38
288	43	53	6	66	19	29
291	1	72	97	94	19	39
298	43	97	148	79	19	20
300	43	69	10	90	35	29
301	43	86	71	40	19	83
302	43	98	6	52	33	30
305	1	53	6	67	19	20
306	43	88	6	69	24	29
307	43	92	10	94	19	34
308	48	58	154	82	19	39
309	43	73	6	87	35	30
312	2	82	6	42	19	29
313	55	99	6	66	24	29
314	59	63	73	79	19	43
317	43	57	74	154	35	68
320	43	92	10	94	19	39
321	43	100	10	67	19	20
322	1	53	6	94	19	34
323	43	101	10	94	19	20
324	1	72	75	67	19	34
325	43	65	48	66	59	29
326	43	68	48	43	24	29
327	46	64	58	41	32	29
328	47	102	132	94	19	39
329	43	63	61	81	19	45
330	43	103	76	66	19	29
331	42	69	97	79	19	39
332	60	67	152	42	24	34
333	50	45	132	91	24	29
335	43	104	77	93	62	64
336	1	53	6	95	19	34
337	43	105	132	94	64	39
338	47	58	6	116	24	20
339	43	53	64	94	19	42
340	43	52	48	67	19	29
341	61	53	6	96	19	20
342	1	92	10	94	19	34
343	43	73	6	154	33	30
344	49	96	72	92	133	31
348	42	106	152	64	19	20
351	62	52	10	79	19	29
352	49	96	72	92	53	31
354	59	107	78	98	62	46
355	51	108	79	93	62	47
356	41	52	10	67	19	20
402	43	65	6	47	59	29
404	43	88	152	43	24	48
405	43	109	6	42	19	34
408	43	53	132	67	24	49
409	57	110	132	99	65	29
410	1	85	6	81	24	29
411	40	63	81	52	19	42
413	43	110	10	161	51	29
414	47	52	10	67	24	29
416	47	61	6	67	24	29
417	63	52	50	69	24	29
418	1	72	6	94	19	39
421	43	52	10	67	19	29
423	43	53	6	61	19	39
425	43	57	81	47	33	42
426	50	45	152	41	24	29
428	1	106	6	77	24	50
431	43	55	6	100	33	42
432	64	52	10	67	19	20
435	43	55	48	179	19	31
439	43	111	6	43	24	29
440	40	80	10	40	33	42
442	43	63	61	79	19	42
445	65	66	72	92	61	31
446	43	69	60	52	35	42
447	45	45	6	101	24	29
448	43	112	132	154	66	30
449	43	73	6	52	19	30
450	43	45	6	42	19	39
454	43	68	82	43	24	29
455	40	106	152	78	24	39
457	41	67	10	67	19	20
460	1	64	6	78	24	29
461	43	54	6	102	24	29
462	43	86	48	103	19	29
463	43	53	10	67	19	39
464	43	45	6	42	122	39
465	43	72	48	126	19	34
470	43	72	132	67	19	29
471	49	66	62	92	53	31
477	43	113	6	79	19	29
479	40	45	110	66	24	29
481	43	82	148	79	19	39
482	1	45	6	64	19	29
484	43	101	10	67	19	20
485	50	45	6	184	24	29
487	43	57	66	47	35	42
488	51	108	77	93	67	51
490	43	55	81	154	33	52
493	2	114	6	63	68	29
494	43	57	81	52	33	30
495	1	62	6	78	35	29
496	43	115	6	66	24	29
497	43	80	81	52	69	42
498	43	71	170	127	63	60
499	43	69	80	154	33	30
500	43	117	6	43	24	29
501	43	118	152	104	19	29
502	43	83	50	66	19	20
503	43	69	72	105	35	42
504	43	55	80	154	35	29
506	43	72	6	79	19	34
507	42	119	152	106	66	29
508	50	51	6	184	66	29
509	57	69	152	90	35	29
510	43	116	85	83	66	29
511	43	63	10	79	19	42
512	2	79	152	79	19	20
515	42	83	152	66	19	20
516	51	54	6	43	24	20
517	40	99	6	66	24	29
518	1	53	63	39	35	20
519	43	54	6	184	24	29
520	43	53	148	94	19	39
521	1	120	83	82	24	39
522	43	68	154	43	24	29
523	57	53	97	67	19	29
524	46	67	10	107	19	20
525	2	79	6	79	19	20
526	46	64	6	41	32	53
529	43	69	60	154	33	68
530	43	72	10	94	19	55
531	42	67	10	67	122	20
532	46	64	58	108	32	29
533	43	45	6	43	24	56
534	43	67	6	61	19	29
535	43	55	6	47	33	52
536	42	82	84	79	19	39
537	43	121	48	175	33	30
539	2	45	132	116	19	29
540	57	68	6	43	24	29
542	43	108	73	93	62	64
543	43	86	66	77	19	29
544	1	54	154	78	24	29
545	43	122	48	154	33	68
546	40	45	6	66	19	29
547	42	72	10	67	19	20
548	43	72	6	127	19	34
550	1	123	6	66	19	29
551	43	58	148	94	19	39
552	43	58	148	79	19	58
555	43	124	66	109	33	42
556	42	82	81	79	33	39
557	43	125	48	154	33	68
558	43	73	6	100	33	42
559	1	85	6	69	19	20
561	43	55	48	103	59	83
562	43	65	69	47	59	29
563	43	58	6	67	19	29
564	43	65	74	154	19	29
565	2	114	6	63	66	29
567	43	81	48	154	35	29
568	43	75	86	116	56	29
569	43	121	81	110	33	42
572	43	126	171	47	48	30
573	42	106	152	64	66	20
574	1	45	6	77	70	20
575	47	54	6	43	24	29
578	43	57	68	85	19	29
579	43	92	66	111	19	29
581	43	80	10	165	33	30
582	40	53	10	67	19	20
583	47	53	6	81	19	29
584	1	53	132	94	19	20
588	43	53	50	66	19	29
589	43	69	66	47	33	42
590	43	52	10	67	19	39
591	40	88	76	78	24	39
592	41	82	10	61	19	20
593	43	110	86	112	73	67
594	42	53	6	79	19	29
595	42	82	10	79	19	69
596	43	67	152	42	24	20
598	43	45	6	43	24	39
601	42	72	10	61	19	29
602	1	132	6	67	19	29
604	42	67	6	114	66	70
605	43	69	66	47	33	30
606	43	64	10	117	19	39
607	43	56	10	64	72	66
608	40	45	6	66	24	29
609	43	61	61	67	24	42
612	52	67	48	118	19	20
613	47	52	10	61	19	29
615	43	56	10	64	19	66
618	43	55	10	154	33	42
620	43	56	10	119	19	66
623	43	83	48	120	19	29
627	43	72	10	107	24	20
628	52	67	48	181	19	70
629	52	72	48	181	19	20
630	50	45	152	42	19	39
631	50	45	6	184	70	29
633	43	73	93	154	33	30
635	43	80	81	165	48	30
636	42	88	6	42	19	49
637	40	130	6	78	24	39
638	43	58	90	79	19	20
639	43	131	50	116	71	39
640	43	63	61	107	19	39
641	47	53	50	67	19	29
642	1	131	92	116	19	39
647	43	52	10	61	24	29
648	42	53	6	39	19	62
649	43	58	148	78	19	39
650	43	69	132	154	33	42
651	1	54	6	78	24	29
652	43	56	10	64	19	63
653	42	82	87	79	19	69
654	66	95	10	94	19	29
655	43	53	88	67	19	29
657	43	97	148	79	19	65
658	43	82	10	67	19	20
660	43	81	81	154	35	42
662	40	62	72	42	24	29
663	40	62	6	77	24	29
665	47	53	6	67	19	29
666	67	55	48	47	19	29
667	43	80	80	47	33	30
668	42	90	6	64	24	29
669	2	53	6	79	24	39
671	46	64	6	113	32	29
674	40	67	76	78	66	29
675	47	52	89	42	19	29
676	43	65	172	40	19	29
677	43	73	6	100	19	42
679	1	127	6	78	24	29
686	1	128	6	78	24	29
688	1	72	97	94	19	59
689	68	83	6	42	24	39
691	40	72	6	123	19	20
692	43	129	81	154	69	61
693	3	144	96	1	74	1
694	77	157	105	122	106	87
695	74	25	99	137	81	18
696	88	150	108	130	88	31
697	3	12	14	1	1	1
698	49	151	102	92	82	31
699	3	1	96	1	74	74
700	70	13	94	128	84	216
701	84	158	107	145	75	89
702	58	94	193	150	100	31
703	23	142	12	2	220	219
704	79	145	12	125	16	219
705	10	7	9	142	21	21
706	43	45	6	64	19	29
707	83	152	118	136	99	31
708	29	26	26	156	36	40
709	1	64	6	134	24	39
710	23	34	12	125	95	219
711	43	67	6	78	19	34
712	50	45	6	66	24	29
713	50	64	6	78	19	72
714	10	7	9	44	97	21
715	40	45	6	66	24	39
716	49	66	117	179	133	31
717	43	64	10	116	35	39
718	47	53	10	67	19	92
719	85	160	105	163	76	91
720	72	141	25	132	79	7
721	42	67	6	79	66	20
722	42	143	10	67	19	20
723	29	26	26	14	36	40
724	1	101	48	79	19	80
725	40	73	152	66	90	20
726	3	12	14	1	1	75
727	13	30	4	19	94	25
728	43	62	63	155	70	39
729	73	146	98	139	83	216
730	43	110	48	127	56	81
731	43	69	132	76	87	79
732	10	7	9	218	42	2
733	81	136	4	19	28	25
734	43	69	6	52	33	30
735	43	82	6	42	19	96
736	47	102	132	67	19	39
737	43	118	6	66	24	43
738	87	25	31	152	14	18
739	47	57	48	66	19	29
740	43	126	80	47	105	73
741	47	164	132	66	66	72
742	49	151	100	151	53	31
743	9	4	5	201	25	26
744	78	23	109	140	45	9
745	9	37	5	147	22	71
746	68	45	6	42	24	39
747	43	64	132	116	19	29
748	43	73	132	47	35	42
749	21	4	5	31	25	26
750	49	66	72	179	133	31
751	86	163	16	128	217	216
752	43	73	81	52	33	42
753	10	7	9	133	21	21
754	43	61	6	116	19	29
755	19	32	30	141	85	15
756	3	12	14	1	1	76
757	82	56	10	70	19	29
758	43	52	10	69	24	29
759	43	55	66	63	98	68
760	43	69	69	154	35	29
761	14	204	205	202	92	16
762	75	139	95	143	80	77
763	40	62	6	42	93	29
764	43	58	154	67	19	29
765	80	161	112	160	103	31
766	43	64	152	116	66	29
767	43	54	6	134	24	39
768	43	55	81	63	33	42
769	71	133	114	144	77	93
770	23	147	12	153	220	86
771	49	66	117	92	34	31
772	16	162	113	23	10	10
773	40	83	6	78	24	29
774	43	82	6	42	19	39
775	49	66	116	92	133	31
776	43	121	172	47	19	29
777	81	137	2	19	28	25
778	2	53	6	157	19	29
779	43	87	48	47	19	29
780	29	26	104	14	194	193
781	9	4	5	31	25	26
782	43	104	73	93	62	64
783	43	88	6	43	19	39
784	69	123	6	121	19	29
785	55	90	6	184	59	39
786	47	58	6	67	24	29
787	40	167	6	184	24	20
788	43	105	132	124	19	29
789	10	7	9	44	89	21
790	71	148	115	138	102	94
791	43	57	81	154	66	29
792	43	82	133	67	24	39
793	1	138	6	146	19	29
794	49	151	72	131	78	85
795	43	54	6	66	24	29
796	49	151	100	151	53	78
797	2	52	6	42	19	29
798	29	134	26	16	194	24
799	40	90	6	123	122	20
800	76	12	14	1	74	1
801	49	66	62	179	96	31
802	40	58	152	66	90	20
803	43	77	80	58	101	68
804	19	149	106	148	86	95
805	43	87	48	103	91	84
806	40	64	6	66	24	20
807	40	45	101	82	24	39
808	47	82	6	79	19	29
809	83	139	111	149	104	31
810	43	135	48	154	33	42
811	43	69	132	47	35	29
812	1	53	132	175	66	20
813	40	72	103	123	19	20
814	47	78	132	42	24	39
815	27	17	19	8	192	188
816	43	86	132	47	35	42
817	43	53	10	94	19	34
818	50	51	6	183	66	29
819	46	63	61	79	19	42
820	43	80	154	40	33	42
