ST	pheS	glyA	fumC	mdh	sucA	dnaN	atpA	clonal_complex	MLST_cluster
204	23	9	7	3	11	2	2	10	1
205	102	13	69	8	63	30	1		1
206	27	6	13	4	47	2	2	9	1
207	27	6	13	4	47	2	19	9	1
208	27	6	13	4	47	42	2	9	1
209	27	6	29	4	88	42	1	9	1
210	27	6	29	3	88	42	1	9	1
211	27	6	6	4	88	42	1	9	1
212	27	6	6	4	88	42	2	9	1
213	27	6	29	3	5	42	2	9	1
214	27	6	29	4	88	42	2	9	1
215	103	77	28	4	94	28	60		1
216	104	78	71	53	95	77	1	12	8
217	104	78	70	53	95	77	1	12	8
218	104	78	70	54	95	77	59	12	8
219	21	14	72	8	63	2	1		1
220	33	16	18	13	15	52	9	13	2
221	106	80	3	4	5	79	1		1
222	98	81	20	13	114	17	9		2
223	29	16	18	13	97	17	16		2
224	2	84	18	13	99	13	62		2
225	111	33	3	56	2	83	1	20	1
226	110	92	29	3	2	66	1	23	1
227	27	95	6	3	2	11	7	1	1
228	49	1	81	4	88	7	2		1
229	116	15	7	7	54	27	19		1
230	107	39	7	21	11	30	2		1
231	27	86	77	21	101	81	1		1
232	1	83	74	21	5	80	28		1
233	7	33	6	8	98	2	2		1
234	27	94	81	8	43	88	68	22	1
235	3	88	84	4	111	15	19		2
236	7	89	12	4	112	84	1		1
237	1	33	82	21	104	66	1		1
238	122	16	18	13	15	89	16		2
239	27	33	78	4	102	19	19		1
240	1	33	38	4	103	85	1		1
241	114	33	82	58	2	86	19		1
242	27	33	6	55	2	66	61		1
243	105	79	3	4	11	2	1	15	1
244	53	2	68	4	11	2	1	3	1
245	101	2	3	4	11	65	2	4	1
246	81	16	17	13	15	13	9	13	2
247	39	16	20	17	66	73	63		2
248	118	91	83	57	96	78	65		7
249	117	20	18	13	24	17	30		2
275	105	79	68	4	11	2	7	15	1
276	27	15	38	2	2	11	76	1	1
278	113	15	78	62	98	49	1		1
279	138	97	101	64	130	90	66	16	5
280	139	98	86	63	130	90	67	16	5
281	139	97	85	60	130	90	66	16	5
282	139	97	86	63	130	90	66	16	5
283	148	116	86	64	130	90	66	16	5
284	140	97	85	60	130	90	66	16	5
285	141	97	86	64	130	90	67	16	5
286	142	114	102	65	131	101	78	17	6
287	143	97	85	64	130	90	67	16	5
288	144	115	102	65	131	101	77	17	6
289	145	115	102	66	133	101	77		6
290	145	114	102	65	131	101	77	17	6
291	146	114	102	65	131	101	78	17	6
292	147	97	86	67	132	90	79		5
293	149	113	86	63	130	90	66	16	5
294	112	33	6	4	106	49	1		1
297	105	79	3	4	134	2	1	15	1
299	139	97	85	60	130	90	67	16	5
300	141	97	86	64	130	90	66	16	5
301	155	114	102	65	131	101	77	17	6
302	156	97	101	64	130	90	66	16	5
304	139	97	86	68	136	90	66	16	5
305	138	98	101	64	130	90	66	16	5
306	139	98	86	69	130	90	67	16	5
307	145	114	103	65	131	101	77	17	6
308	152	97	86	60	130	90	80	16	5
309	154	97	86	64	137	90	66	16	5
310	154	97	86	64	137	90	81	16	5
311	153	97	86	64	130	90	80	16	5
312	160	15	18	13	140	13	30		2
313	98	123	18	13	15	13	11		2
314	11	124	18	13	66	13	9		2
315	111	33	3	13	2	11	1	20	1
316	161	16	18	4	15	11	11	21	2
318	161	16	18	13	15	11	11	21	2
321	27	94	81	8	63	88	68	22	1
322	162	126	107	5	2	109	1		1
324	166	94	111	70	109	83	2		1
327	111	33	6	73	92	27	84		1
329	98	58	18	75	15	13	82		2
330	31	20	112	13	147	113	11		2
331	1	15	119	3	148	49	19		1
332	30	1	7	3	88	119	76		1
333	177	2	122	8	151	7	99		1
334	101	2	116	8	150	7	1		1
335	81	15	124	3	2	27	7	1	1
336	178	134	123	84	152	120	100		
337	173	97	101	82	143	110	92		5
338	52	2	120	8	11	123	2		1
339	27	15	6	4	2	11	7	1	1
344	110	92	29	3	2	11	7	23	1
