ST	adk	fumC	gyrB	icd	mdh	purA	recA	clonal_complex
211	6	30	15	57	43	8	7	
212	6	29	4	18	11	8	6	
213	58	35	61	52	5	5	4	ST394 Cplx
214	21	11	4	1	8	1	48	ST184 Cplx
215	10	11	4	8	8	18	2	ST10 Cplx
216	10	11	57	8	7	18	6	
217	6	11	4	8	39	8	2	ST10 Cplx
218	10	11	4	12	8	8	2	ST10 Cplx
219	58	53	53	58	24	1	42	
220	52	54	55	53	40	8	43	
221	10	11	5	10	7	8	49	
222	9	6	15	56	11	8	6	
223	6	4	4	18	24	8	14	ST155 Cplx
224	6	4	33	16	11	8	6	
225	10	27	5	8	9	7	2	ST226 Cplx
226	10	27	5	8	8	7	2	ST226 Cplx
227	10	11	4	1	8	9	2	ST10 Cplx
238	6	83	7	11	51	2	60	
240	6	61	4	11	13	3	50	ST245 Cplx
241	11	63	6	1	14	7	7	ST152 Cplx
242	65	71	60	3	6	6	3	
243	1	4	1	1	1	1	1	ST243 Cplx
244	6	72	66	65	46	3	3	
245	6	61	6	11	13	3	50	ST245 Cplx
247	6	73	60	3	6	52	3	
248	6	74	6	66	13	3	50	
249	6	73	60	67	6	6	3	
250	6	59	60	3	47	3	3	
251	1	75	1	68	1	1	1	
252	1	4	1	5	1	1	51	ST148 Cplx
253	1	4	1	5	1	1	52	ST148 Cplx
254	66	76	60	3	6	6	3	
255	6	61	6	11	48	3	50	ST245 Cplx
256	67	77	67	69	5	1	53	
257	6	59	60	70	49	3	3	
258	1	4	1	5	1	1	54	ST148 Cplx
259	6	78	6	11	13	3	50	ST245 Cplx
260	2	79	59	2	2	2	2	
261	1	4	1	5	1	53	5	ST148 Cplx
262	1	6	1	1	1	1	1	ST243 Cplx
263	68	80	6	45	7	54	7	
264	6	61	68	11	13	3	55	ST245 Cplx
266	69	59	1	3	3	3	3	ST147 Cplx
268	6	61	1	11	13	3	50	ST245 Cplx
269	70	7	1	1	10	8	6	
270	6	4	7	1	11	3	56	ST270 Cplx
271	6	25	7	1	1	2	2	ST280 Cplx
272	71	4	69	71	11	7	56	ST272 Cplx
273	3	59	60	3	6	3	3	ST147 Cplx
274	72	7	70	36	10	8	6	
275	71	4	69	72	11	7	56	ST272 Cplx
276	6	25	7	73	1	2	2	ST280 Cplx
277	6	4	7	74	11	3	56	ST270 Cplx
278	9	23	64	18	11	8	6	ST278 Cplx
279	6	25	7	75	1	2	2	ST280 Cplx
280	6	25	7	19	1	2	2	ST280 Cplx
281	71	4	69	11	11	7	56	ST272 Cplx
282	6	4	69	1	11	3	56	ST270 Cplx
283	6	4	7	1	11	3	57	ST270 Cplx
284	6	4	7	1	50	3	56	ST270 Cplx
285	6	7	7	1	11	3	56	ST270 Cplx
286	6	25	7	76	1	2	2	ST280 Cplx
287	8	81	1	1	10	8	58	
288	69	59	60	3	3	3	3	ST147 Cplx
289	68	80	68	45	7	54	7	
290	67	77	67	69	5	1	59	
291	6	82	7	11	11	3	56	
292	74	11	4	8	8	8	2	ST10 Cplx
293	73	85	10	15	18	11	11	
294	6	4	12	16	9	55	12	ST29 Cplx
295	6	4	12	1	9	2	7	
296	9	23	64	77	11	8	6	ST278 Cplx
297	6	65	32	26	9	8	2	
298	75	7	7	18	54	18	7	
299	76	15	13	15	30	8	2	
300	77	7	72	18	53	56	7	
301	78	27	5	10	12	8	2	ST165 Cplx
302	79	84	71	78	52	57	2	
304	78	4	5	10	12	8	7	
306	77	7	7	18	54	18	7	
307	6	11	4	81	7	8	6	ST168 Cplx
309	6	11	15	45	63	18	7	
310	6	4	77	10	24	18	7	ST590 Cplx
311	6	4	7	1	61	3	61	
312	85	88	78	10	59	58	62	ST354 Cplx
313	76	43	9	73	17	14	10	
314	6	4	12	16	9	59	7	ST29 Cplx
315	4	26	2	25	5	8	19	ST38 Cplx
316	6	23	33	18	11	8	6	ST278 Cplx
317	6	6	79	26	7	8	14	
318	80	86	80	12	24	8	6	
319	81	6	5	18	55	25	6	
320	21	89	27	6	5	5	4	ST69 Cplx
321	13	43	19	36	17	37	10	
322	82	87	73	79	56	60	63	
324	83	90	74	82	58	2	64	
325	6	11	5	1	8	8	6	
326	63	7	5	1	8	18	7	
327	6	4	4	85	43	12	7	
328	9	23	81	18	11	8	6	ST278 Cplx
329	64	4	5	83	24	8	6	
330	10	11	4	1	8	63	2	ST10 Cplx
331	6	4	3	18	7	8	6	ST20 Cplx
332	6	23	4	85	7	61	6	
333	77	91	7	18	65	56	65	
334	6	4	12	16	66	7	6	
335	29	12	8	12	15	2	2	ST11 Cplx
336	9	4	33	18	11	8	6	ST278 Cplx
337	6	19	15	18	9	8	6	
338	6	11	32	1	22	8	7	
339	6	11	82	1	7	8	2	
340	6	4	4	85	9	56	7	
341	6	23	15	8	9	8	7	ST205 Cplx
342	1	46	69	1	20	34	7	
343	77	7	7	18	65	56	7	
344	64	92	5	83	24	8	6	
345	6	4	14	1	20	62	7	
346	6	4	3	17	7	8	6	ST20 Cplx
347	6	94	4	86	8	18	2	
348	6	29	32	16	11	8	14	ST156 Cplx
349	34	36	39	87	67	16	4	ST349 Cplx
350	6	31	83	28	1	1	2	ST350 Cplx
351	6	95	4	88	7	7	7	
352	76	96	19	89	17	1	10	
353	36	24	9	13	17	11	14	ST73 Cplx
354	85	88	78	29	59	58	62	ST354 Cplx
355	36	24	10	13	17	10	25	
356	6	97	12	1	20	12	7	ST23 Cplx
357	13	40	13	13	23	25	66	
358	13	98	10	13	18	10	25	
359	43	41	15	90	11	8	6	
360	6	4	12	1	20	7	7	ST23 Cplx
361	10	99	5	91	8	7	2	
362	62	100	17	31	5	5	4	
363	13	38	84	13	17	64	26	
364	27	32	84	29	26	11	22	
365	43	41	15	18	11	11	6	ST101 Cplx
366	6	4	15	1	22	8	7	
367	6	4	12	1	20	65	7	ST23 Cplx
368	37	38	19	37	17	13	26	ST95 Cplx
369	6	101	12	1	20	13	7	ST23 Cplx
370	37	102	19	37	17	11	26	ST95 Cplx
371	6	31	83	28	1	1	67	ST350 Cplx
372	88	103	19	36	23	44	26	
373	6	11	4	10	7	8	2	ST168 Cplx
374	18	22	2	6	5	5	4	ST31 Cplx
375	36	24	9	13	17	11	68	ST73 Cplx
376	6	4	3	17	64	7	6	ST20 Cplx
377	86	24	19	13	23	50	26	
378	10	11	4	1	8	66	2	ST10 Cplx
379	27	32	24	29	26	8	22	ST59 Cplx
380	6	11	5	18	11	8	14	
381	6	4	12	92	24	18	7	ST590 Cplx
382	10	27	13	10	12	8	49	ST165 Cplx
383	89	104	85	94	68	66	69	
384	90	4	12	16	9	7	7	ST29 Cplx
385	6	105	5	16	11	8	7	ST448 Cplx
386	91	4	3	17	7	7	6	ST20 Cplx
387	91	4	3	93	7	7	6	ST20 Cplx
388	6	4	12	18	24	7	6	
389	6	4	12	16	9	7	70	ST29 Cplx
390	37	38	86	37	17	11	26	ST95 Cplx
391	4	26	2	25	59	5	62	
392	6	6	14	18	7	7	71	
393	18	106	17	6	5	5	4	ST31 Cplx
394	21	35	61	52	5	5	4	ST394 Cplx
395	6	4	12	16	9	7	72	ST29 Cplx
396	6	4	12	16	9	67	7	ST29 Cplx
397	9	4	5	10	9	13	6	
398	64	7	1	1	8	8	6	ST398 Cplx
399	6	4	1	95	69	8	20	ST399 Cplx
400	1	107	7	11	7	7	7	
401	1	107	7	11	7	3	7	
402	35	35	29	25	4	5	73	ST405 Cplx
404	14	14	10	14	17	7	74	ST14 Cplx
405	35	37	29	25	4	5	73	ST405 Cplx
407	21	109	27	6	5	5	4	ST69 Cplx
408	93	35	27	6	5	5	4	ST69 Cplx
409	10	11	1	1	71	8	6	
410	6	4	12	1	20	18	7	ST23 Cplx
411	94	104	90	98	73	69	75	
412	95	111	91	99	68	70	76	
413	94	111	90	98	73	69	75	
414	18	22	20	23	5	15	4	
415	27	112	24	29	26	19	22	ST59 Cplx
416	37	110	19	37	17	11	26	ST95 Cplx
417	37	38	89	37	17	11	26	ST95 Cplx
418	37	38	19	37	72	11	26	ST95 Cplx
419	6	4	1	1	69	8	2	
420	13	38	84	13	17	68	34	
421	37	38	19	37	17	8	26	ST95 Cplx
422	56	95	3	18	11	8	14	
423	6	4	33	1	20	12	7	ST23 Cplx
424	6	30	32	16	11	8	7	
426	4	26	2	25	5	40	19	ST38 Cplx
427	13	43	9	36	30	44	77	
428	96	40	13	100	23	28	66	
429	97	40	93	13	23	28	66	
430	13	43	9	37	17	1	25	
433	56	4	12	1	9	2	7	
435	56	4	15	102	9	73	6	
436	10	11	4	8	8	74	2	ST10 Cplx
437	9	117	64	18	11	8	6	ST278 Cplx
439	6	118	3	26	11	8	6	ST446 Cplx
440	6	23	4	18	75	7	6	
441	6	4	15	103	24	8	7	
442	6	95	33	18	9	8	14	
443	6	19	15	16	9	8	7	ST205 Cplx
444	56	19	3	26	11	8	6	ST446 Cplx
445	16	119	12	16	9	7	7	ST29 Cplx
446	6	19	3	26	11	8	6	ST446 Cplx
447	6	4	5	16	9	8	7	
448	6	6	5	16	11	8	7	ST448 Cplx
449	18	22	94	6	5	5	4	ST31 Cplx
450	6	11	95	104	8	7	2	
451	56	121	1	1	8	8	20	
452	76	43	19	37	30	1	25	
453	99	6	33	33	24	8	7	ST86 Cplx
454	20	45	56	105	7	50	80	
455	56	6	22	16	11	1	7	
456	56	11	95	104	8	7	2	
457	101	88	97	108	26	79	2	
458	36	24	9	13	26	11	25	ST73 Cplx
459	46	4	87	29	77	9	22	
460	56	11	4	10	7	8	2	ST168 Cplx
461	56	4	12	1	20	13	7	ST23 Cplx
464	56	4	3	18	9	8	6	
465	56	4	4	18	24	8	14	ST155 Cplx
466	56	4	12	1	20	80	7	ST23 Cplx
467	64	7	4	8	8	18	6	ST467 Cplx
468	57	11	1	109	7	81	2	
469	6	65	5	1	9	13	6	ST469 Cplx
470	56	4	14	16	24	40	14	
471	21	125	61	52	5	5	4	ST394 Cplx
472	103	126	5	1	8	8	6	
473	56	4	5	26	20	8	14	ST40 Cplx
474	18	22	1	6	5	5	4	ST31 Cplx
475	56	11	4	8	8	78	2	ST10 Cplx
476	13	13	9	13	16	82	9	ST12 Cplx
477	10	127	5	8	8	7	2	ST226 Cplx
478	56	7	5	1	8	18	2	ST206 Cplx
479	9	23	99	18	11	8	6	ST278 Cplx
480	10	7	4	8	8	18	6	ST467 Cplx
481	56	11	100	1	20	8	2	
482	64	7	4	8	8	8	2	ST10 Cplx
483	56	11	4	110	8	83	2	
484	6	11	4	10	7	84	6	ST168 Cplx
485	52	116	55	101	35	40	38	
488	56	11	102	8	8	8	2	ST10 Cplx
489	56	4	15	112	9	2	7	
490	56	130	4	10	7	8	6	
491	13	39	19	36	30	14	82	
492	56	4	32	16	12	8	2	
493	40	13	9	13	16	10	9	ST12 Cplx
495	10	11	4	10	12	8	2	
496	56	11	103	113	8	1	2	
498	64	131	4	8	8	18	6	ST467 Cplx
499	64	7	12	8	78	18	6	
500	6	11	15	9	63	18	7	
501	35	132	2	27	37	5	4	
502	64	7	17	1	8	8	6	ST398 Cplx
503	56	6	5	9	9	8	2	ST13 Cplx
504	76	43	9	36	17	14	10	
507	35	132	2	27	37	5	83	
510	6	11	4	8	8	86	2	ST10 Cplx
511	108	4	33	114	20	12	7	
512	21	22	2	6	5	5	4	ST31 Cplx
513	56	133	12	1	9	5	7	
515	57	11	1	109	7	8	2	
517	109	65	5	1	9	13	14	
518	10	23	109	8	8	88	2	ST522 Cplx
520	56	11	4	8	8	8	2	ST10 Cplx
521	76	43	19	37	7	1	25	
522	10	23	109	8	8	8	2	ST522 Cplx
523	24	8	8	4	8	2	11	
524	19	23	51	24	21	89	16	ST32 Cplx
525	7	23	18	24	21	2	16	ST32 Cplx
526	20	24	19	13	23	16	85	
527	7	7	4	16	43	7	7	
533	6	4	5	18	11	8	14	
534	37	38	45	37	17	11	26	ST95 Cplx
535	6	6	45	16	9	13	2	
536	6	107	1	95	69	8	20	ST399 Cplx
537	14	14	10	14	17	11	10	ST14 Cplx
538	13	40	19	13	36	28	30	ST538 Cplx
539	6	19	57	18	9	13	6	
540	6	7	57	1	8	8	2	
541	111	23	109	8	8	8	2	ST522 Cplx
542	112	11	5	12	8	8	86	
543	83	136	110	117	80	1	2	
544	13	137	9	13	16	10	9	ST12 Cplx
545	62	100	111	31	5	5	4	
546	51	48	45	118	34	90	37	
547	13	52	10	119	17	37	25	
548	10	11	4	8	81	8	2	ST10 Cplx
549	21	22	20	6	5	91	4	
550	14	14	10	14	17	92	10	ST14 Cplx
551	13	21	13	22	17	14	25	ST28 Cplx
552	13	21	13	22	17	20	25	ST28 Cplx
553	6	113	4	45	74	3	7	
554	10	11	4	8	8	71	2	ST10 Cplx
555	13	40	13	13	36	28	30	ST538 Cplx
556	111	11	12	8	8	8	2	ST10 Cplx
557	56	4	15	18	9	8	6	
559	111	11	4	8	8	8	2	ST10 Cplx
560	6	4	3	77	7	7	6	ST20 Cplx
561	6	4	3	18	7	7	23	ST20 Cplx
562	15	14	13	13	17	11	13	
563	64	7	109	1	8	8	6	ST398 Cplx
564	34	142	39	87	67	16	4	ST349 Cplx
565	34	140	39	87	67	16	4	ST349 Cplx
566	15	15	10	15	88	11	11	
567	13	43	9	37	17	37	25	
568	13	24	19	14	17	1	10	ST568 Cplx
569	13	38	84	13	17	64	34	
570	10	4	4	8	43	8	2	ST10 Cplx
571	112	11	4	1	8	8	2	ST10 Cplx
572	56	4	4	16	24	8	14	ST155 Cplx
573	96	40	77	100	23	28	66	
574	16	135	12	16	9	7	7	ST29 Cplx
575	6	4	12	116	9	7	7	ST29 Cplx
576	14	14	10	14	17	92	14	ST14 Cplx
577	4	26	39	126	17	31	19	
578	76	11	4	56	90	1	2	
579	37	38	25	37	17	11	24	
580	8	7	4	1	8	18	6	
581	15	24	10	46	33	37	15	ST122 Cplx
582	86	24	19	46	23	14	36	ST582 Cplx
583	15	24	10	46	17	37	36	ST122 Cplx
584	86	24	112	46	23	14	36	ST582 Cplx
585	86	24	19	46	89	14	36	ST582 Cplx
586	35	143	52	125	5	91	87	
587	12	12	8	12	76	2	2	ST11 Cplx
588	6	4	12	16	9	93	88	
589	13	39	13	13	18	10	79	
590	6	4	12	10	24	18	7	ST590 Cplx
591	16	4	12	127	9	7	7	ST29 Cplx
593	13	13	10	13	91	14	79	
594	9	23	32	26	9	8	6	
595	29	12	113	12	15	2	2	ST11 Cplx
597	21	35	115	6	5	5	4	ST69 Cplx
598	18	144	17	6	5	5	4	ST31 Cplx
599	13	13	9	129	16	10	9	ST12 Cplx
600	99	6	33	33	24	8	90	
601	6	19	33	26	11	8	8	ST446 Cplx
602	6	19	33	26	11	8	6	ST446 Cplx
603	6	4	4	16	43	8	6	
604	43	41	15	18	11	7	22	ST101 Cplx
605	8	7	5	8	8	8	2	
606	6	4	116	16	9	13	7	
607	113	4	5	83	8	8	6	
608	115	11	4	8	92	8	2	
609	8	7	1	8	8	7	6	ST46 Cplx
610	43	41	15	90	9	8	6	
611	6	29	32	16	24	8	44	ST156 Cplx
612	6	4	12	1	5	18	7	ST23 Cplx
613	18	22	20	6	11	5	4	ST31 Cplx
614	6	11	4	124	8	8	2	
615	8	7	1	8	8	8	7	ST46 Cplx
616	6	4	12	16	24	8	14	ST155 Cplx
617	10	11	4	8	8	13	73	ST10 Cplx
618	46	4	13	128	7	8	22	
619	43	41	15	18	59	7	6	ST101 Cplx
620	13	40	19	13	20	28	30	ST538 Cplx
621	6	4	12	16	36	8	14	ST155 Cplx
622	13	40	78	13	24	28	30	
623	85	88	12	29	59	58	62	ST354 Cplx
624	92	4	87	96	70	58	91	
625	13	43	13	14	30	94	92	
626	116	61	6	11	13	3	50	ST245 Cplx
627	6	61	6	11	13	97	50	ST245 Cplx
628	6	61	6	11	13	3	55	ST245 Cplx
629	6	145	6	11	13	3	55	ST245 Cplx
630	6	61	6	11	6	95	7	
631	6	74	6	123	13	3	50	
632	1	10	1	1	1	96	1	ST243 Cplx
633	6	61	6	11	13	98	50	ST245 Cplx
634	6	61	6	123	13	3	50	ST245 Cplx
635	6	107	1	95	69	8	7	ST399 Cplx
636	13	108	10	97	18	68	93	
638	76	24	9	13	17	11	25	ST73 Cplx
640	13	147	93	13	17	28	30	
641	9	6	33	131	24	8	7	ST86 Cplx
642	9	23	33	18	11	8	6	ST278 Cplx
643	37	38	19	37	95	11	26	ST95 Cplx
644	13	40	19	13	36	11	30	ST538 Cplx
645	117	148	120	12	80	1	2	
646	13	96	121	13	17	11	10	
647	37	38	19	37	17	100	26	ST95 Cplx
648	92	4	87	96	70	58	2	
649	6	65	53	1	11	13	6	
650	6	4	12	1	11	13	7	ST23 Cplx
651	6	149	6	11	13	3	50	ST245 Cplx
652	6	4	33	132	20	12	7	
653	76	39	60	13	91	8	29	
654	6	95	5	18	9	8	6	
655	100	23	68	45	1	35	7	
656	10	7	4	8	8	8	2	ST10 Cplx
657	20	45	41	43	5	50	46	
658	20	52	41	22	7	50	45	
659	1	46	123	1	20	34	7	
660	121	46	43	45	11	34	35	
661	119	150	12	16	24	8	6	
662	120	151	46	48	35	40	38	
663	35	22	16	6	5	5	95	
664	37	38	19	37	30	11	26	
665	122	11	125	12	96	8	2	
666	6	6	3	135	11	8	7	
667	123	23	69	10	20	35	56	
668	6	4	5	10	9	7	7	
669	6	11	4	8	12	8	6	
670	6	152	4	10	7	18	6	
671	6	4	68	18	24	5	14	
672	6	4	126	136	11	8	6	
673	6	95	15	18	9	101	14	
674	1	23	7	10	20	2	56	
675	6	23	32	16	9	8	7	
676	13	38	19	13	30	10	29	
677	6	95	15	18	9	8	14	
678	6	6	5	136	9	7	7	
679	6	95	5	1	9	8	6	
680	18	52	49	36	17	11	96	
681	38	39	30	13	17	25	28	
682	14	14	10	14	17	92	97	
683	6	4	127	16	24	8	6	
684	10	11	128	8	8	18	2	
685	8	11	4	8	8	8	2	
686	4	26	2	27	45	16	4	
687	6	4	4	16	24	103	14	
688	77	7	72	18	53	102	7	
689	6	65	122	26	9	8	2	
690	6	4	4	1	98	8	7	
691	35	3	52	23	97	5	19	
692	6	19	124	26	99	8	6	
693	6	11	4	8	8	13	2	
694	10	11	4	8	7	13	2	
695	10	11	4	12	8	18	2	
696	6	6	5	26	100	13	98	
697	10	11	4	8	101	8	2	
698	13	13	9	13	16	104	9	
699	13	14	129	36	23	11	10	
700	13	39	13	13	102	10	79	
701	46	156	130	25	5	16	19	
702	125	108	10	97	18	94	93	
703	13	43	9	36	30	105	25	
704	14	157	10	137	17	7	10	
705	53	40	47	13	103	28	29	
706	88	24	49	36	17	11	91	
707	6	41	33	18	9	8	6	
708	9	65	33	1	9	13	6	
709	10	155	4	8	8	8	2	
710	6	153	4	91	7	8	6	
711	9	6	15	131	24	7	7	
712	64	23	1	1	8	8	6	
713	86	24	19	13	23	50	17	
714	126	160	131	6	5	5	99	
715	51	48	132	139	35	42	100	
716	10	7	4	140	8	8	2	
717	127	161	75	141	27	1	42	
718	6	19	3	26	9	8	6	
719	10	11	4	8	106	8	2	
720	35	3	58	6	5	16	4	
721	20	24	19	13	107	16	85	
722	124	24	19	13	23	50	17	
723	16	154	12	16	9	7	7	
