ST	gyrB	pyrH	recA	atpA	species
558	260	40	246	19	
559	261	185	90	65	
561	263	19	252	17	
563	157	120	22	19	
564	266	220	255	65	
565	45	221	256	19	
567	268	91	61	23	
568	269	19	258	112	
570	42	20	260	16	
571	42	17	59	16	
572	112	17	137	91	
574	116	91	61	82	
575	17	17	69	16	
577	278	232	267	225	
578	280	234	269	227	
579	282	234	269	227	
580	183	241	151	17	
581	231	50	277	19	
582	15	241	152	152	
583	290	244	64	237	
584	45	40	280	60	
585	292	40	64	239	
586	293	36	282	60	
588	295	36	44	60	
589	296	40	285	243	
592	253	36	44	60	
593	230	21	44	19	
596	202	40	293	19	
597	231	50	277	60	
598	51	21	48	19	
602	311	13	4	4	
603	313	267	13	13	
604	314	14	303	261	
605	310	269	304	262	
606	316	12	305	4	
607	316	13	306	264	
608	14	14	307	13	
610	320	274	44	267	
611	323	277	312	19	
612	324	278	313	19	
613	325	108	314	272	
614	325	55	317	39	
616	325	55	317	276	
617	330	40	44	277	
620	61	287	22	126	
621	334	288	323	19	
623	336	36	44	283	
625	338	292	327	19	
