ST	arcC	nrdE	proS	spi	tdk	tpi	yqiL	clonal_complex
113	3	6	6	2	5	7	7	
114	9	3	9	1	1	11	1	
115	2	10	9	6	22	4	2	
116	2	3	9	45	9	4	16	
117	28	16	8	45	15	25	37	
118	9	3	9	4	1	11	1	
119	3	3	31	6	20	1	25	
120	8	24	13	6	6	8	1	
121	22	19	32	6	7	26	5	
122	1	3	11	2	1	15	29	
123	21	3	12	29	1	45	15	
124	15	13	7	18	11	14	17	
125	2	3	16	26	7	9	6	
126	3	3	26	1	1	27	32	
127	21	3	12	29	1	45	38	
128	3	11	15	1	14	16	16	
129	21	3	12	21	1	45	15	
130	7	18	27	30	6	8	1	
131	3	19	28	4	1	2	39	
132	8	3	2	14	1	22	4	
133	2	4	4	7	5	5	20	
134	2	3	15	22	10	18	30	
135	22	11	7	23	1	18	6	
136	2	10	1	45	1	10	6	
137	16	4	4	7	4	3	20	
138	3	3	29	6	1	5	16	
139	9	3	9	4	1	11	35	
140	3	3	10	22	10	5	12	
141	21	11	12	21	1	45	15	
142	12	12	4	45	11	5	1	
143	10	14	22	14	21	10	33	
144	21	2	1	2	1	13	10	
145	8	19	1	2	4	10	10	
146	9	3	1	4	1	11	1	
147	3	3	1	6	1	1	16	
148	28	16	7	45	15	25	37	
149	16	4	4	7	4	5	20	
150	8	23	8	45	1	24	36	
151	45	45	45	45	23	45	45	
152	1	4	21	45	1	5	1	
153	6	6	6	2	5	7	41	
154	21	3	5	5	1	15	15	
155	5	3	3	5	3	5	16	
156	4	3	6	2	1	19	26	
157	6	6	6	4	11	7	7	
158	9	23	9	45	4	2	42	
159	6	6	6	4	5	30	7	
160	10	3	6	45	1	10	16	
161	1	16	35	2	1	45	22	
162	29	11	6	31	1	5	40	
163	8	16	24	7	11	4	24	
164	19	22	30	2	1	14	28	
165	27	25	33	18	11	29	6	
166	1	19	34	1	1	1	1	
167	3	3	1	32	2	3	3	
168	10	14	1	14	15	10	33	
169	9	12	24	45	1	1	1	
170	10	22	6	45	1	4	43	
171	21	2	6	2	1	13	10	
172	10	14	1	20	1	10	6	
173	3	3	15	22	10	18	30	
174	22	11	7	6	10	7	6	
175	10	3	36	45	1	10	16	
176	1	11	15	45	1	5	16	
177	31	3	15	2	1	15	16	
178	22	12	24	1	1	3	6	
179	45	45	45	45	45	45	45	
180	2	6	1	4	4	14	16	
181	2	19	32	6	12	26	5	
182	15	13	7	18	11	7	24	
183	21	11	5	6	1	2	5	
184	31	3	4	35	1	5	4	
185	22	2	1	2	1	13	10	
186	2	3	4	33	5	1	1	
187	2	13	7	18	1	7	24	
188	15	26	37	34	25	31	44	
189	4	11	38	2	5	4	43	
190	5	3	3	5	31	5	16	
191	12	27	4	45	16	5	34	
192	4	3	5	2	1	4	26	
193	2	28	9	45	27	23	16	
194	27	3	1	45	1	34	46	
195	2	10	1	45	1	19	26	
196	9	5	9	4	1	4	4	
197	32	11	39	36	24	33	5	
198	4	3	39	4	1	4	4	
199	3	7	7	19	25	32	16	
200	8	13	7	18	11	35	24	
201	8	13	1	18	11	35	24	
202	2	10	40	45	1	4	43	
203	2	4	4	7	4	5	43	
204	34	5	1	38	1	10	48	
205	2	10	9	45	29	23	16	
206	2	10	9	6	5	10	16	
207	8	30	41	4	8	1	10	
208	8	18	1	24	1	5	49	
209	8	31	7	18	11	35	24	
210	2	3	22	45	4	10	6	
211	33	29	42	37	28	1	47	
212	10	14	22	14	15	10	33	
213	18	19	1	4	4	36	3	
214	3	3	4	45	1	5	16	
215	1	22	43	2	30	3	22	
216	18	32	6	2	31	5	50	
217	2	11	23	26	7	9	6	
218	8	3	43	6	30	3	22	
219	1	11	20	4	24	16	3	
220	1	1	10	22	1	1	1	
221	3	3	10	39	10	5	12	
222	9	3	38	40	1	14	16	
223	22	12	24	1	32	37	6	
224	1	11	15	7	1	5	6	
225	1	34	43	2	30	3	22	
226	2	3	9	2	33	4	6	
227	2	36	1	42	1	4	2	
228	3	3	26	41	1	38	51	
229	3	6	6	21	5	7	7	
230	3	34	10	22	10	5	12	
231	8	3	42	6	30	3	3	
232	8	35	7	18	11	35	24	
233	19	35	17	2	1	10	28	
234	22	13	7	43	4	29	24	
235	3	3	29	6	1	5	44	
236	35	37	48	44	28	39	52	
237	3	5	36	47	15	45	53	
238	2	2	1	42	1	4	2	
239	3	11	5	6	1	2	5	
240	6	6	6	2	35	7	41	
241	22	11	5	6	1	2	54	
242	6	38	6	4	5	7	7	
243	36	39	5	5	3	6	55	
244	4	40	6	2	36	19	26	
245	2	41	14	4	4	14	16	
246	5	3	12	21	1	45	15	
247	2	42	49	31	1	5	40	
248	18	11	58	6	37	5	0	
249	3	3	1	2	1	3	3	
250	2	4	6	6	4	14	10	
251	2	11	21	31	1	5	40	
252	2	4	6	6	4	5	10	
253	27	20	4	45	1	5	6	
254	35	11	47	46	34	40	52	
255	35	11	47	46	34	40	11	
256	2	43	15	49	4	1	26	
257	3	39	50	47	15	45	53	
258	35	11	51	48	34	40	11	
259	35	11	48	46	34	40	52	
260	35	11	47	46	34	40	56	
261	16	4	4	7	4	5	19	
262	1	11	1	46	34	40	1	
263	35	11	4	46	34	40	6	
264	35	11	4	46	34	40	5	
265	12	11	10	50	38	41	6	
266	35	37	48	44	28	39	57	
267	2	11	2	52	22	19	26	
268	35	11	47	48	34	40	58	
269	12	11	10	51	38	41	6	
270	35	44	47	48	34	40	43	
271	35	11	47	46	34	40	43	
272	35	37	48	44	28	39	58	
273	6	3	18	45	1	6	29	
274	6	40	18	45	1	15	29	
275	4	15	3	1	45	1	29	
276	6	3	18	45	1	15	29	
277	1	18	27	30	6	8	1	
278	2	11	6	26	7	9	6	
279	2	11	16	26	7	9	6	
280	18	5	15	3	6	1	26	
281	45	46	45	45	23	45	45	
282	45	47	45	45	23	45	45	
283	45	47	45	45	45	45	45	
284	4	48	9	4	1	9	1	
285	1	3	1	2	1	3	60	
286	8	3	10	6	30	3	22	
287	9	3	10	4	18	19	40	
288	2	49	1	54	1	1	61	
289	38	11	10	7	1	34	6	
290	2	10	9	55	13	23	16	
291	21	2	10	2	1	13	10	
292	8	30	8	4	8	1	10	
293	1	50	17	53	1	45	22	
294	8	3	53	56	1	4	1	
295	10	2	4	14	1	34	59	
296	8	14	22	6	39	10	6	
297	7	18	27	30	6	5	1	
298	7	51	27	30	6	8	1	
299	2	10	1	45	1	23	16	
300	27	3	4	45	1	5	6	
301	3	11	15	6	14	16	16	
302	8	3	1	45	1	5	2	
303	18	22	54	45	1	7	2	
304	2	2	1	42	40	4	2	
305	3	2	5	19	14	5	16	
306	10	14	22	14	1	10	15	
307	3	34	1	2	2	3	3	
308	10	14	16	14	15	10	33	
309	2	2	55	42	1	4	2	
310	18	42	20	6	17	16	3	
311	2	36	55	42	1	4	2	
312	15	13	7	18	42	37	24	
313	10	3	9	57	29	4	1	
314	6	3	6	24	1	19	26	
315	31	3	4	35	36	5	4	
316	3	3	6	22	10	18	30	
317	1	19	34	1	36	1	1	
318	12	12	10	45	43	5	34	
319	3	40	9	6	20	1	25	
320	2	10	9	14	29	23	16	
321	8	3	56	14	1	22	4	
322	7	7	57	6	13	8	1	
323	39	6	15	34	25	31	44	
324	35	11	47	46	34	40	0	
325	45	45	45	24	45	45	45	
326	1	3	4	45	1	15	29	
327	31	3	4	35	1	5	62	
328	12	12	10	45	44	5	34	
329	1	3	36	45	1	15	29	
330	14	3	5	19	14	10	16	
331	8	23	4	3	1	2	36	
332	34	19	1	58	1	1	10	
333	3	3	59	6	1	1	16	
334	40	18	16	2	7	19	6	
335	3	3	9	6	20	1	63	
336	4	11	60	2	5	5	26	
337	18	11	20	6	17	16	64	
338	1	19	1	1	1	37	1	
339	1	50	16	2	1	45	22	
340	10	14	22	20	1	10	6	
341	15	13	7	18	11	42	24	
342	3	3	15	59	10	18	30	
343	3	3	15	22	46	18	30	
344	21	3	12	29	1	43	15	
345	1	7	1	60	1	14	9	
346	19	22	17	2	1	7	28	
347	9	3	15	2	1	34	1	
348	10	3	9	57	29	4	43	
349	6	6	6	61	5	7	28	
350	41	6	15	45	47	2	16	
351	1	3	43	62	30	3	22	
352	10	14	6	14	15	10	33	
353	35	54	1	1	1	44	65	
354	41	6	61	63	10	2	16	
355	39	26	15	34	25	31	44	
356	27	55	10	64	48	46	34	
357	8	3	36	6	30	3	3	
358	12	11	10	46	38	14	12	
359	10	3	36	45	1	10	0	
360	39	13	15	34	25	31	44	
361	2	22	30	65	5	7	28	
362	2	3	14	4	4	14	16	
363	2	3	9	22	10	18	30	
364	3	56	4	6	1	5	16	
365	2	3	1	45	1	23	16	
366	8	30	8	4	8	2	24	
367	18	3	62	6	1	2	6	
368	7	3	13	6	6	5	1	
369	18	3	1	6	2	3	3	
370	5	4	5	4	1	19	26	
371	7	7	13	6	6	34	1	
372	1	12	63	6	1	5	9	
373	3	3	15	66	10	18	30	
374	36	5	5	5	3	6	55	
375	12	10	15	45	16	5	34	
376	22	57	24	1	1	3	6	
377	31	58	4	2	1	5	66	
378	1	59	1	1	1	1	1	
379	22	11	64	67	1	2	39	
380	31	3	4	35	1	23	67	
381	22	11	36	6	6	2	68	
382	21	60	1	2	1	13	10	
383	1	3	5	5	3	14	16	
384	3	3	15	7	10	18	30	
385	12	3	4	45	16	5	34	
386	27	3	15	45	1	5	6	
387	4	3	5	2	1	4	43	
388	8	13	7	18	3	35	24	
389	5	3	3	5	3	5	9	
390	4	11	60	2	5	3	26	
391	3	2	5	19	14	5	28	
392	34	3	4	68	1	45	5	
393	2	52	65	4	49	22	69	
394	1	56	36	6	30	3	3	
395	45	45	45	69	45	45	45	
396	45	45	45	70	45	45	45	
397	11	14	4	71	1	10	6	
398	9	18	64	6	1	47	70	
399	10	2	6	14	1	34	59	
400	10	14	22	45	22	10	6	
401	3	10	66	6	7	7	9	
402	45	45	45	72	45	45	45	
403	13	4	11	25	1	13	10	
404	5	3	3	5	3	48	16	
405	3	61	5	6	7	7	9	
406	9	3	38	40	50	14	16	
407	27	19	15	45	1	34	46	
408	31	3	4	35	36	15	37	
409	2	10	9	20	1	23	16	
410	2	10	9	45	5	5	16	
411	31	3	4	35	1	18	37	
412	4	12	24	6	7	1	6	
413	4	12	7	6	11	7	6	
414	3	5	56	47	15	45	53	
415	3	63	68	68	15	14	10	
416	22	52	1	6	52	45	44	
417	1	3	67	74	5	5	26	
418	1	16	69	2	1	45	22	
419	3	3	29	75	1	5	16	
420	12	64	10	45	22	49	12	
421	3	3	17	6	53	49	12	
422	12	11	70	76	24	34	12	
423	12	11	10	77	22	49	12	
424	42	11	71	78	54	46	33	
425	12	11	72	79	4	50	72	
426	13	3	73	4	25	32	16	
427	43	5	36	47	15	45	53	
428	1	11	38	80	15	45	73	
429	22	11	74	6	1	2	74	
430	1	11	15	45	10	5	16	
431	7	7	2	6	6	8	1	
432	5	34	5	2	3	14	16	
433	2	18	4	24	36	5	49	
434	2	18	1	24	1	5	49	
435	31	3	4	35	1	15	37	
436	2	18	1	24	36	5	49	
437	3	23	4	2	5	2	10	
438	8	62	21	81	51	34	71	
439	12	65	76	83	4	52	75	
440	2	10	1	45	1	53	26	
441	12	66	77	84	56	46	76	
442	11	6	6	2	9	7	41	
443	2	10	40	45	1	23	16	
444	44	67	78	82	57	40	77	
445	46	14	22	14	15	10	33	
446	1	11	1	85	1	1	10	
447	16	68	1	6	1	5	26	
448	21	3	79	21	1	45	15	
449	2	52	1	24	52	54	44	
450	21	2	1	2	1	55	10	
451	5	3	3	5	3	56	5	
452	4	3	6	87	1	19	26	
453	1	19	9	6	2	1	1	
454	10	14	80	14	15	10	33	
455	11	7	4	24	9	5	11	
456	3	10	21	7	1	34	71	
457	34	19	1	29	4	10	78	
458	2	3	81	45	22	23	43	
459	3	11	17	6	1	5	16	
460	7	7	13	45	6	8	1	
461	13	11	15	45	1	13	41	
462	27	3	1	46	1	10	79	
463	7	7	7	6	13	8	1	
464	48	69	38	2	5	4	43	
465	9	70	24	45	1	1	1	
466	2	6	9	45	29	23	16	
467	3	3	14	22	10	18	30	
468	6	6	82	4	5	7	7	
469	22	12	24	88	1	3	6	
470	2	10	9	45	5	23	16	
471	2	3	9	2	4	4	16	
472	2	10	9	45	29	57	16	
473	31	3	1	6	1	3	60	
474	18	3	1	6	2	1	1	
475	22	3	74	45	7	5	9	
476	1	22	43	89	30	3	22	
477	8	3	1	6	2	1	1	
478	4	3	6	2	5	19	26	
479	9	5	9	4	1	58	1	
480	31	3	15	35	1	15	16	
481	17	24	13	6	6	8	1	
482	8	3	2	6	1	22	4	
483	4	18	64	6	1	47	70	
484	2	4	4	20	1	5	20	
485	8	23	4	45	1	2	36	
486	49	71	83	90	58	59	80	
487	12	11	39	82	22	14	81	
488	1	11	15	7	1	34	6	
489	9	5	9	4	1	60	1	
490	1	11	16	2	7	45	6	
491	3	11	15	6	14	2	16	
492	50	13	7	18	11	14	82	
493	8	11	84	18	11	35	24	
494	3	11	85	6	14	2	83	
495	7	18	27	30	6	61	1	
496	2	10	9	52	22	4	2	
497	52	11	5	6	1	2	5	
498	3	3	12	21	1	45	15	
499	12	11	72	46	60	62	33	
500	15	13	7	18	42	14	24	
501	18	11	20	91	17	16	3	
502	1	3	5	74	5	5	26	
503	7	7	13	6	6	8	1	
504	53	72	6	45	7	15	6	
505	25	28	9	92	27	19	84	
506	2	16	9	20	13	23	16	
507	2	52	1	24	1	54	44	
508	11	7	1	24	9	5	85	
509	12	56	10	45	61	49	12	
510	34	67	86	82	59	14	86	
511	1	12	15	7	1	34	6	
512	54	55	10	64	62	46	34	
513	1	11	38	6	5	4	43	
514	6	6	6	2	5	63	7	
515	16	73	74	6	1	14	6	
516	12	11	75	82	55	51	12	
517	45	45	45	45	45	10	45	
518	10	14	87	5	1	10	6	
519	7	3	7	6	6	8	1	
520	31	3	4	35	1	23	16	
