ST	aroC	dnaN	hemD	hisD	purE	sucA	thrA
233	88	26	30	55	21	87	80	
234	33	79	30	84	81	87	28	
235	88	26	30	55	21	87	28	
236	89	28	31	27	82	88	81	
237	90	28	76	27	83	89	30	
238	11	10	25	13	12	35	4	
239	50	80	25	85	40	58	4	
240	91	81	8	86	84	90	82	
241	43	47	49	16	41	15	3	
242	25	82	77	22	85	91	25	
243	88	26	30	87	21	87	80	
244	88	26	30	26	21	92	80	
245	43	83	17	49	12	93	83	
246	36	31	35	84	26	6	8	
247	92	84	36	20	86	94	84	
248	5	85	15	88	76	95	85	
249	11	10	13	32	10	13	3	
250	2	2	9	7	64	19	86	
251	93	4	18	89	5	96	87	
252	92	86	78	89	88	97	88	
253	29	14	30	26	21	87	28	
254	20	7	3	62	89	9	12	
255	15	4	18	46	90	9	34	
256	94	4	18	46	90	9	34	
257	41	4	18	90	5	96	89	
258	6	87	79	91	91	9	90	
259	95	82	80	22	85	98	91	
260	10	14	81	92	92	99	92	
261	39	88	15	14	8	10	22	
262	45	8	82	93	93	7	93	
264	25	14	24	14	37	19	8	
265	96	14	24	14	37	19	8	
266	45	14	24	14	37	19	8	
267	97	14	24	14	37	19	8	
268	10	89	8	33	94	100	94	
269	2	89	8	33	94	100	94	
270	2	90	36	94	95	101	95	
271	2	14	40	95	96	102	96	
272	2	91	83	96	39	103	97	
273	2	8	3	14	97	19	14	
274	41	92	84	97	98	104	98	
275	60	11	17	13	33	105	4	
276	24	22	27	22	18	24	99	
277	98	93	85	98	42	9	22	
278	99	94	8	99	99	9	12	
279	62	95	54	96	100	9	100	
280	100	92	84	97	98	104	98	
281	41	86	86	100	5	106	48	
282	84	96	79	101	76	9	22	
283	101	97	25	86	101	19	101	
284	22	11	48	13	102	107	4	
285	13	11	25	102	12	71	4	
286	5	36	87	103	29	108	102	
287	13	63	16	104	40	23	4	
288	102	15	8	105	8	18	103	
289	103	98	88	106	103	109	22	
290	73	35	68	76	63	75	65	
291	4	99	36	107	2	9	104	
292	104	100	54	78	104	9	48	
293	105	2	3	12	5	19	17	
294	106	101	89	7	105	39	12	
295	17	18	22	17	5	110	19	
296	15	4	90	108	106	111	3	
297	107	4	36	109	107	45	105	
298	75	14	40	110	25	2	22	
299	108	102	10	111	108	112	36	
300	109	35	8	96	109	113	106	
301	110	103	40	112	90	114	102	
302	10	7	12	9	110	9	2	
303	6	7	10	10	39	10	14	
305	43	41	16	42	34	13	23	
306	111	47	49	16	41	15	4	
307	2	14	24	14	2	19	107	
308	22	104	25	113	12	83	4	
309	112	105	3	98	111	115	108	
310	5	2	91	7	6	6	11	
311	113	13	15	14	11	14	16	
312	114	3	8	114	76	9	109	
313	10	7	12	9	112	9	2	
314	115	75	8	115	2	116	110	
315	15	70	93	78	113	9	68	
316	43	41	16	42	35	13	111	
317	13	106	92	113	114	107	4	
318	62	53	54	60	5	53	113	
319	118	107	8	51	2	117	16	
320	13	63	25	72	59	118	63	
321	119	10	17	42	12	13	4	
322	43	47	49	49	41	15	114	
323	120	7	12	9	5	9	2	
324	5	36	87	103	38	108	102	
325	2	14	24	14	26	19	107	
326	6	7	10	10	12	10	14	
327	2	5	6	7	36	7	12	
328	116	7	12	9	5	9	2	
329	82	38	26	12	115	78	70	
330	121	13	8	116	38	7	115	
331	122	2	42	7	31	6	11	
333	10	67	10	17	15	9	66	
334	11	10	13	32	10	13	112	
335	117	73	41	79	71	65	72	
336	10	73	41	79	71	9	72	
337	2	73	41	79	71	65	8	
338	11	40	25	16	12	16	63	
339	17	7	35	9	5	9	14	
340	17	58	3	76	66	10	12	
341	50	14	18	78	64	6	63	
342	19	70	67	75	45	7	39	
343	11	10	25	118	10	13	4	
344	5	14	18	9	6	12	116	
345	16	2	45	43	36	20	42	
346	2	2	15	14	36	20	12	
347	16	43	45	43	36	20	42	
348	2	57	15	14	15	39	12	
349	2	2	15	43	36	20	12	
350	16	2	95	117	36	39	117	
351	16	2	45	62	36	39	42	
352	16	43	45	43	15	39	42	
353	10	7	21	43	15	12	12	
354	16	43	45	43	71	39	42	
355	10	7	21	14	15	7	12	
356	48	108	96	119	116	119	118	
357	111	109	8	120	117	45	4	
358	5	110	35	122	2	19	22	
359	6	7	10	10	2	10	14	
360	63	14	6	12	5	14	12	
361	17	111	3	12	61	21	119	
362	81	5	101	12	124	130	17	
363	129	31	35	14	26	6	8	
364	25	77	12	22	18	131	24	
365	130	97	25	125	84	9	101	
366	5	2	3	7	125	6	11	
367	14	112	43	123	118	115	120	
368	111	5	6	7	5	58	12	
369	111	5	49	7	12	7	121	
370	10	113	15	124	90	2	8	
371	13	12	17	16	117	16	4	
372	46	44	46	46	119	18	34	
373	79	68	18	46	66	10	34	
375	16	2	45	43	5	39	42	
376	10	7	12	9	5	121	2	
377	2	59	23	64	38	61	122	
378	101	114	25	125	120	122	22	
379	13	63	25	62	114	123	23	
380	17	115	35	9	5	9	14	
381	124	64	40	126	8	19	123	
382	124	8	98	127	76	9	58	
383	125	63	17	62	12	58	3	
384	10	13	46	126	76	124	15	
385	111	109	8	120	121	45	4	
386	30	28	99	27	22	129	30	
387	101	4	25	128	13	126	124	
388	126	116	3	129	39	9	125	
389	127	117	40	33	122	127	126	
390	10	118	4	130	123	128	8	
391	114	14	79	131	38	42	16	
392	128	119	100	27	22	129	127	
393	131	41	102	132	113	132	128	
394	10	7	12	133	112	9	2	
395	132	30	103	134	126	133	129	
396	132	30	103	134	126	134	129	
397	133	120	104	135	24	135	130	
398	32	29	33	29	24	30	52	
399	134	121	105	136	127	136	52	
400	135	30	106	137	24	137	32	
401	132	30	103	134	126	135	138	
402	13	23	27	113	114	107	4	
403	132	30	107	134	24	135	138	
404	46	122	3	18	6	138	133	
405	2	15	21	138	130	139	12	
406	14	37	108	139	105	19	135	
407	45	14	82	9	128	6	34	
408	2	2	9	7	134	19	86	
409	138	41	109	94	39	132	3	
410	13	11	17	16	13	15	4	
411	11	10	25	42	40	13	4	
412	11	10	25	13	10	58	4	
413	15	70	93	78	113	6	68	
414	50	10	25	72	10	13	4	
415	140	105	78	93	14	10	3	
416	141	4	18	90	5	96	87	
417	141	4	18	140	5	96	87	
418	111	63	25	141	40	71	4	
419	13	11	25	72	10	23	23	
420	13	11	25	72	10	141	23	
421	142	123	110	142	137	7	139	
422	93	4	18	90	5	96	87	
423	20	4	23	14	16	19	140	
424	143	31	18	143	5	142	22	
425	127	90	111	33	122	143	95	
426	46	124	112	12	36	19	18	
427	144	2	108	12	115	19	1	
428	13	80	113	49	10	107	23	
429	10	7	12	9	5	144	2	
430	145	26	30	144	21	145	28	
431	92	125	85	128	138	9	141	
432	88	26	30	55	21	68	80	
433	30	28	31	27	22	29	30	
434	18	2	18	12	25	7	12	
435	2	2	3	124	2	2	6	
437	13	12	63	16	13	16	4	
438	2	14	15	145	5	20	22	
439	88	26	30	84	21	68	80	
440	140	105	85	93	14	10	3	
441	22	11	25	21	10	23	68	
442	17	8	3	146	97	19	14	
443	5	75	8	96	39	146	97	
444	14	112	43	123	118	147	120	
445	33	26	30	147	131	145	134	
446	15	126	101	88	8	19	18	
447	13	127	92	113	114	107	4	
448	48	128	96	119	116	119	118	
449	14	72	114	12	6	19	15	
450	83	46	25	148	33	23	63	
451	111	109	17	149	41	13	23	
452	30	28	31	150	22	29	30	
453	14	42	115	12	6	19	15	
454	30	28	31	151	22	148	30	
455	146	89	8	33	139	149	4	
457	137	2	36	152	2	7	6	
459	14	13	18	12	14	18	7	
460	5	2	3	7	6	6	19	
461	2	25	9	9	5	9	12	
462	117	14	23	127	6	7	22	
463	92	125	78	128	138	9	141	
464	10	129	18	153	8	150	22	
465	83	63	49	154	33	58	137	
466	147	13	15	123	140	7	17	
467	136	130	40	94	2	9	95	
468	33	86	30	155	135	87	134	
469	92	107	79	156	64	151	87	
470	5	2	3	7	31	6	11	
471	13	131	49	157	12	13	4	
472	88	68	30	87	21	87	80	
473	2	5	116	88	5	7	12	
474	161	147	96	178	155	12	142	
475	162	148	117	179	93	162	96	
476	163	26	30	180	141	163	134	
477	55	149	59	54	57	70	50	
478	119	11	17	42	12	13	4	
479	164	4	8	181	27	9	8	
480	136	132	80	182	85	98	91	
481	151	77	27	158	18	152	25	
482	127	133	40	159	76	74	95	
483	152	4	8	160	36	153	143	
484	153	134	118	161	142	154	103	
485	7	6	8	8	143	8	13	
486	102	135	98	162	8	9	144	
487	130	64	25	163	84	6	126	
488	13	80	119	164	12	15	145	
489	154	136	46	165	124	162	12	
490	99	137	120	116	144	19	120	
491	155	138	121	99	145	19	146	
492	13	46	25	49	146	155	4	
493	17	2	10	166	147	21	119	
494	45	77	8	167	27	9	8	
495	45	8	8	127	27	9	8	
496	71	139	25	75	36	156	147	
497	36	31	35	168	26	6	8	
498	17	115	8	169	148	157	22	
499	127	46	49	170	149	9	41	
500	127	90	40	171	150	158	148	
501	117	14	23	127	151	7	22	
502	14	14	122	172	6	7	33	
503	156	140	123	173	152	159	149	
504	157	141	17	16	33	13	4	
505	157	142	49	16	40	35	3	
506	158	143	28	174	20	50	60	
507	159	123	110	175	36	162	150	
508	48	144	26	176	153	160	96	
509	161	1	124	175	36	161	150	
510	160	145	3	177	130	7	151	
511	5	146	85	119	154	9	152	
512	13	109	49	13	12	13	4	
513	18	7	128	9	39	9	153	
514	111	109	17	16	41	13	23	
515	13	109	49	157	12	13	4	
516	84	11	16	42	40	71	4	
517	148	37	126	183	114	45	126	
518	101	41	40	184	76	90	3	
519	176	154	127	185	156	164	154	
520	111	109	17	149	41	58	23	
521	52	63	48	186	36	165	3	
522	2	7	9	9	5	7	12	
523	101	64	25	163	84	6	101	
524	84	150	16	42	40	166	4	
525	149	151	3	128	84	53	153	
526	150	152	36	103	132	167	4	
527	178	153	49	187	157	168	126	
529	169	84	8	189	158	169	156	
530	165	157	44	190	159	170	22	
531	179	160	10	122	61	8	157	
532	180	161	132	21	12	13	4	
533	14	7	3	191	6	19	12	
534	181	7	3	191	6	19	12	
535	17	2	10	166	160	171	119	
536	111	109	17	149	161	13	23	
537	14	117	133	192	27	132	136	
538	84	109	25	193	12	23	23	
539	168	14	15	146	5	90	12	
541	14	162	43	123	118	115	120	
542	161	163	96	178	155	12	33	
543	117	135	18	12	162	162	38	
544	4	164	134	195	132	46	158	
545	45	15	15	12	130	172	18	
546	14	14	122	172	6	7	2	
547	182	36	3	196	163	173	159	
548	13	11	25	197	12	71	4	
549	70	112	8	198	164	6	48	
550	175	11	125	199	9	174	160	
551	177	165	8	196	39	9	153	
553	171	156	15	7	5	132	2	
554	110	159	78	183	136	9	126	
555	172	166	10	122	61	90	86	
556	170	20	3	201	165	9	33	
557	175	11	125	199	9	9	160	
558	110	167	135	202	166	45	102	
559	84	7	25	197	167	71	3	
560	174	7	35	203	168	8	162	
561	70	110	35	204	156	74	163	
562	37	4	46	205	8	175	164	
563	173	168	25	206	40	176	165	
564	11	169	38	149	40	35	23	
565	101	64	3	163	76	19	101	
566	2	20	10	207	169	9	139	
567	111	170	8	208	8	9	157	
568	183	7	12	9	5	9	2	
569	10	7	12	209	5	9	2	
570	2	171	24	14	2	19	8	
571	168	4	15	210	170	177	166	
572	22	11	16	21	184	23	4	
573	184	25	29	211	129	178	131	
574	29	173	30	212	21	145	132	
575	31	28	136	28	23	29	81	
576	33	152	30	213	131	87	134	
577	185	37	98	204	172	179	167	
578	139	174	68	132	133	9	168	
579	111	46	137	16	40	58	63	
580	99	175	46	11	111	180	1	
581	25	176	27	214	18	181	169	
582	2	5	116	88	5	19	12	
583	138	152	135	215	136	9	3	
584	6	18	46	124	2	175	12	
585	5	64	40	216	173	103	170	
586	47	98	36	152	174	61	171	
587	117	70	68	132	175	9	172	
588	186	35	78	75	39	182	97	
589	187	12	17	16	13	16	4	
590	188	112	121	14	176	183	1	
591	51	48	138	88	177	2	22	
592	189	70	68	132	175	9	172	
593	61	177	25	183	136	9	126	
594	43	47	49	16	178	15	3	
595	190	35	90	75	179	182	173	
596	31	28	32	28	23	29	81	
599	14	7	3	12	6	19	12	
600	192	11	49	42	161	13	3	
601	123	73	97	121	6	120	72	
603	14	178	3	12	182	171	143	
604	170	20	3	218	165	9	33	
605	41	179	131	219	66	9	18	
606	103	2	10	220	184	185	102	
607	13	177	16	104	40	23	3	
608	22	104	48	113	114	13	23	
610	84	37	129	222	8	9	175	
612	169	84	8	189	8	169	156	
613	170	180	79	107	8	172	177	
614	10	7	21	14	185	12	12	
615	169	84	8	189	8	169	176	
616	5	2	130	7	6	6	11	
617	13	181	49	13	183	71	4	
618	178	182	10	10	39	10	14	
619	5	172	8	224	186	186	22	
620	193	183	43	220	187	9	156	
621	39	184	108	223	188	187	85	
622	150	75	140	225	132	157	178	
623	179	172	79	226	3	188	179	
625	194	4	79	227	169	189	180	
627	195	172	79	228	2	79	16	
628	169	84	8	189	158	190	156	
630	36	31	35	543	26	6	8	
631	72	32	36	33	27	33	3	
632	72	4	141	33	62	74	3	
633	5	133	141	94	189	101	126	
634	34	31	35	229	26	6	8	
635	37	33	37	34	6	191	34	
636	48	14	35	14	26	44	8	
637	39	190	40	72	40	165	183	
638	47	98	36	152	174	7	171	
639	99	175	58	11	111	9	2	
640	5	2	3	7	6	11	11	
643	25	176	27	22	18	67	91	
644	33	26	30	55	21	145	28	
645	29	26	30	26	21	87	28	
646	145	26	30	26	131	87	134	
647	7	107	79	235	192	193	105	
648	6	182	10	10	39	10	14	
649	108	191	78	96	95	9	184	
651	41	84	36	20	2	94	84	
652	200	192	144	236	2	65	72	
653	46	124	112	12	113	19	18	
654	111	47	49	42	12	58	3	
674	3	3	7	4	3	137	7	
675	155	41	80	53	55	184	49	
676	3	3	7	4	3	193	7	
677	3	3	7	4	3	74	7	
678	19	20	3	20	29	22	22	
679	46	122	3	18	6	19	1	
680	201	14	18	9	6	12	17	
681	20	4	145	14	16	19	18	
682	45	60	12	237	193	2	96	
683	202	194	8	36	29	8	36	
684	147	13	15	123	15	19	17	
691	10	2	3	7	60	6	11	
694	14	7	41	12	36	19	12	
695	2	7	9	9	6	9	12	
696	5	75	54	4	76	109	75	
697	13	80	113	174	10	107	23	
698	10	37	21	14	15	12	12	
699	43	41	16	21	34	13	4	
713	39	11	8	72	161	58	4	
714	13	10	25	113	114	71	4	
715	22	10	25	21	10	35	4	
719	99	175	58	157	111	9	2	
723	62	53	54	60	5	53	187	
725	10	7	12	9	90	9	2	
726	136	133	40	183	2	9	95	
727	207	14	3	77	64	64	67	
728	84	161	8	75	206	197	188	
729	56	25	8	83	207	26	78	
730	79	197	18	46	66	10	34	
731	202	193	54	245	64	9	185	
732	209	46	8	132	113	83	161	
733	20	4	23	14	16	198	18	
734	20	4	23	14	16	19	189	
735	188	199	21	62	36	39	190	
736	127	90	40	94	150	199	95	
737	22	200	25	72	10	23	23	
738	210	11	17	113	209	107	4	
739	5	2	3	7	210	200	11	
741	2	201	146	9	6	19	17	
743	41	202	8	78	213	9	67	
744	213	14	21	98	214	201	191	
745	214	2	3	7	6	6	11	
746	215	203	3	125	215	101	192	
747	5	2	147	7	31	41	11	
748	11	41	55	42	34	58	193	
749	84	204	8	247	216	6	194	
750	13	205	17	16	217	16	195	
751	217	208	13	249	218	23	4	
752	218	210	3	252	2	9	12	
754	13	109	49	13	220	13	4	
755	219	7	10	103	2	10	14	
756	220	211	149	92	221	204	198	
757	221	211	150	253	222	205	199	
758	110	169	54	254	40	35	3	
759	84	212	38	16	12	13	200	
760	208	198	96	244	208	119	201	
761	162	31	96	244	208	119	202	
762	5	2	3	255	31	6	203	
763	216	206	25	248	223	35	196	
764	48	209	148	250	219	202	204	
765	161	147	151	251	155	12	142	
766	13	11	25	72	224	203	4	
767	71	65	67	75	73	206	64	
768	117	4	21	46	66	10	34	
769	222	213	8	123	225	180	205	
770	188	37	18	46	5	2	34	
771	14	14	45	72	227	12	6	
772	2	14	24	14	228	19	8	
773	5	188	154	88	5	12	206	
774	224	20	3	20	5	2	22	
775	225	25	29	56	232	209	78	
776	226	214	155	54	47	48	50	
777	227	149	156	54	233	210	50	
778	25	215	157	257	234	211	169	
780	228	36	31	38	22	212	208	
781	229	176	27	258	18	213	25	
782	30	28	31	27	22	214	30	
783	88	26	30	259	21	68	80	
784	230	38	158	260	236	215	209	
785	231	38	158	261	236	216	209	
786	110	4	25	163	84	19	101	
787	2	14	21	172	2	12	151	
788	232	4	25	86	235	19	101	
807	10	71	43	12	190	20	4	
808	10	71	43	12	190	20	18	
809	10	13	43	12	190	20	18	
810	7	13	8	8	7	8	13	
812	13	127	48	113	114	107	4	
813	39	107	79	20	8	35	2	
814	233	2	3	7	6	6	11	
815	1	14	15	31	25	20	33	
816	234	198	96	267	231	208	142	
817	92	107	93	156	64	151	87	
818	19	20	3	20	5	87	22	
819	33	26	30	266	230	27	28	
820	42	46	48	149	40	35	4	
821	117	162	21	66	8	19	2	
822	300	83	96	13	12	105	4	
824	204	11	8	241	161	195	186	
825	205	81	10	36	88	108	36	
826	19	81	8	20	5	9	185	
827	203	195	17	164	12	35	4	
828	17	5	78	7	5	7	12	
829	114	5	3	238	199	10	12	
830	11	196	78	74	40	13	4	
831	84	11	8	42	40	71	4	
832	115	65	8	115	2	116	110	
833	84	65	3	241	64	9	110	
834	205	46	8	42	88	108	36	
835	76	14	3	77	64	132	67	
836	203	14	17	164	12	35	4	
837	42	46	48	239	12	35	4	
838	13	127	92	157	40	35	137	
839	13	169	8	104	41	23	4	
840	6	157	44	190	159	170	22	
841	6	7	8	10	39	10	14	
842	197	70	153	4	90	182	139	
843	156	54	68	49	39	9	14	
844	13	11	17	113	59	71	4	
845	42	46	152	239	12	197	4	
846	37	31	35	14	8	6	4	
847	106	70	152	132	34	9	168	
848	43	47	25	49	41	15	3	
849	17	7	35	9	2	9	14	
850	121	7	10	103	2	10	14	
851	111	104	17	256	226	197	65	
852	42	11	17	42	40	71	102	
853	13	169	8	104	41	13	4	
854	111	11	17	256	12	197	65	
855	61	112	8	10	134	137	4	
856	70	7	10	10	2	142	14	
857	42	36	48	239	12	13	4	
858	125	63	17	62	12	280	3	
859	84	76	38	42	12	13	4	
860	84	76	38	149	12	13	4	
861	2	15	21	138	5	19	2	
862	125	63	208	62	12	58	3	
863	48	198	209	119	219	119	118	
864	301	272	48	16	40	13	3	
865	39	142	17	346	303	58	4	
866	157	11	17	347	33	23	137	
867	302	13	15	123	140	7	269	
868	11	10	25	13	10	35	211	
869	235	25	28	24	237	26	78	
870	26	24	28	24	20	25	27	
871	145	26	30	268	141	87	28	
872	189	70	152	132	34	9	172	
873	11	10	13	264	10	13	4	
874	56	143	28	263	48	50	78	
875	33	26	30	180	141	87	134	
876	33	26	159	144	21	87	28	
877	13	208	49	141	41	19	270	
878	127	273	40	72	304	282	196	
880	86	274	211	53	18	24	236	
881	126	275	3	280	104	149	273	
882	37	276	3	348	306	283	274	
885	136	133	40	350	2	9	95	
886	117	278	96	12	115	2	22	
887	249	90	40	33	309	284	276	
889	111	4	87	352	39	9	278	
890	1	1	2	353	1	1	5	
892	305	1	2	1	1	1	5	
893	17	281	8	262	64	287	280	
894	306	281	213	262	64	287	280	
895	144	282	46	62	76	2	281	
896	307	2	24	14	2	19	8	
897	111	63	49	16	41	15	3	
898	56	24	29	83	20	50	27	
899	157	142	33	16	40	35	3	
900	15	269	93	78	113	6	68	
901	68	113	6	78	15	93	70	
902	13	109	49	354	12	13	4	
903	13	12	25	355	149	289	4	
904	308	284	45	43	90	290	22	
905	48	280	212	316	310	291	282	
906	84	161	25	356	41	23	283	
907	11	169	214	16	311	35	284	
908	11	169	38	357	311	35	82	
909	81	283	101	12	124	130	17	
910	145	26	30	26	21	288	28	
911	1	1	2	183	1	1	5	
912	10	10	18	403	90	12	12	
913	10	312	3	394	4	128	8	
914	10	4	263	443	4	128	370	
915	101	133	40	33	139	79	324	
916	101	4	25	125	76	90	101	
917	101	4	8	366	84	10	192	
918	101	64	25	125	84	19	384	
919	103	14	250	425	2	9	141	
920	103	4	15	385	8	185	2	
921	106	101	217	7	105	39	12	
922	106	289	122	7	105	39	12	
923	106	37	220	210	5	2	2	
924	11	10	13	13	10	13	355	
925	11	11	16	113	161	71	4	
926	11	169	25	42	12	9	4	
927	11	300	16	440	161	58	4	
928	110	335	135	277	374	342	354	
929	111	104	17	49	33	314	4	
930	111	107	8	49	12	105	304	
931	111	109	8	120	318	45	4	
