ST	asd	dnaE	gmd	gyrB2	lap	pgm	recA
271	2	16	2	2	2	30	9	
272	2	15	2	2	2	2	2	
273	2	16	96	2	2	2	2	
274	2	17	36	2	2	2	36	
275	2	4	58	2	2	2	2	
276	2	14	54	2	2	2	4	
277	2	22	2	2	2	2	35	
278	2	35	2	2	2	2	9	
279	40	24	36	2	2	2	35	
280	55	25	37	4	2	2	2	
281	9	4	38	9	2	2	4	
282	10	14	39	10	2	2	9	
283	11	22	93	11	2	2	35	
284	13	35	40	44	2	2	2	
285	13	24	41	51	2	2	4	
286	14	25	42	12	2	2	35	
287	15	42	43	52	2	2	35	
288	16	51	45	56	2	2	2	
289	17	53	46	2	2	2	4	
290	18	54	46	4	2	2	19	
291	19	54	47	9	2	2	35	
292	20	54	48	10	2	2	2	
293	21	54	49	11	2	2	4	
294	22	54	50	44	2	2	19	
295	23	54	54	51	2	2	35	
296	24	54	54	12	2	2	2	
297	2	42	54	52	2	2	4	
298	2	51	54	56	2	2	19	
299	2	53	54	2	2	2	35	
300	2	54	56	4	2	2	2	
301	2	54	58	9	2	2	4	
302	2	54	58	10	2	2	19	
303	2	54	59	11	2	2	35	
304	2	54	60	44	2	2	2	
305	2	54	61	51	2	2	4	
306	2	54	62	12	2	2	19	
307	2	1	37	84	16	8	4	
308	2	42	37	84	16	8	4	
309	2	51	37	85	2	10	19	
310	2	53	37	86	3	11	38	
311	2	54	37	87	39	19	2	
312	2	54	37	88	15	7	4	
313	2	54	37	89	2	8	19	
314	2	54	37	90	16	10	38	
315	2	54	37	91	2	11	2	
316	2	54	37	92	3	19	4	
317	2	54	2	93	39	7	19	
318	2	42	2	94	15	8	38	
319	2	51	2	95	2	10	2	
320	2	53	2	96	16	11	4	
321	2	54	2	97	2	19	19	
322	2	54	2	98	3	2	38	
323	2	54	2	99	39	2	2	
324	2	54	2	100	15	2	2	
325	2	54	37	2	2	2	2	
326	2	54	8	84	2	2	4	
327	2	54	9	85	16	2	19	
328	2	2	2	86	2	2	2	
329	2	42	14	87	3	2	4	
330	2	51	67	88	15	2	19	
331	2	53	68	89	2	2	2	
332	2	54	37	90	2	2	4	
333	40	54	8	91	16	2	19	
334	2	54	2	93	3	2	4	
335	2	54	9	92	2	2	2	
336	2	54	14	94	15	2	19	
337	2	54	67	95	2	2	2	
338	2	54	68	96	2	2	4	
339	2	42	37	97	16	2	19	
340	2	51	8	98	2	2	2	
341	2	53	9	99	3	2	4	
342	2	54	2	100	15	2	19	
343	2	54	14	2	2	2	2	
344	2	54	2	2	2	20	36	
345	2	54	2	15	2	2	2	
346	2	54	2	53	2	98	35	
347	2	54	2	9	2	104	27	
348	2	54	2	100	2	2	38	
349	2	2	2	11	2	2	19	
350	2	6	2	17	2	2	9	
351	2	42	2	34	2	2	2	
352	2	51	2	43	2	2	2	
353	2	6	2	44	2	2	2	
354	2	42	2	47	2	2	2	
355	2	51	2	56	2	2	2	
356	2	42	2	56	2	2	2	
357	2	2	2	2	5	19	2	
358	2	2	2	2	39	2	4	
359	2	2	59	2	39	2	2	
360	2	6	37	2	29	2	4	
361	2	42	138	2	15	2	19	
362	2	51	138	2	15	2	2	
363	2	6	138	2	20	2	2	
364	31	42	59	2	16	2	2	
365	8	51	60	2	2	2	4	
366	32	6	59	2	3	2	19	
367	33	42	60	2	2	2	2	
368	55	51	59	2	2	2	4	
369	34	6	60	2	2	2	19	
370	30	51	60	2	2	2	4	
371	36	6	59	2	16	2	19	
372	2	42	60	2	2	2	2	
373	38	51	59	2	3	2	4	
374	39	2	60	2	2	2	19	
375	40	2	59	2	2	2	2	
376	41	2	60	2	2	2	4	
377	42	2	59	2	2	2	19	
378	44	2	60	2	2	2	2	
379	45	2	59	2	2	2	4	
380	46	2	60	2	2	2	19	
381	47	2	1	2	2	2	2	
382	2	2	59	2	2	2	2	
383	2	2	60	2	2	2	4	
384	2	2	1	2	2	2	19	
385	2	2	59	2	2	20	2	
386	2	2	60	2	2	112	4	
387	2	2	59	2	2	68	2	
388	2	2	59	2	2	112	2	
389	2	2	59	2	2	98	2	
390	2	2	60	2	2	104	4	
391	2	2	59	2	2	30	2	
392	2	2	60	2	2	2	2	
393	2	2	59	2	2	2	4	
394	2	6	59	2	2	52	4	
395	2	7	60	2	2	2	2	
396	2	6	59	2	2	109	4	
397	2	7	60	2	2	1	13	
398	2	6	59	2	2	110	4	
399	2	7	60	2	2	112	2	
400	2	6	2	2	2	112	2	
401	2	7	58	2	2	8	36	
402	2	6	127	2	2	77	2	
403	2	7	11	2	2	74	4	
404	2	6	43	2	3	75	19	
405	2	7	61	2	9	76	10	
406	2	6	62	2	2	78	35	
407	2	7	62	2	2	79	2	
408	2	6	64	2	3	80	4	
409	2	7	65	2	2	81	19	
410	2	6	84	2	22	82	10	
411	2	7	85	2	2	83	35	
412	2	6	86	2	3	77	1	
413	2	7	58	2	9	78	4	
414	2	6	127	2	1	79	19	
415	2	7	11	2	2	80	10	
416	2	2	43	2	3	81	35	
417	2	2	41	2	9	82	1	
418	2	2	42	2	1	83	4	
419	2	2	43	2	2	84	19	
420	2	2	44	2	3	84	10	
421	2	2	45	2	9	83	35	
422	2	2	84	2	1	84	1	
423	2	2	85	2	2	1	4	
424	2	2	86	2	3	85	19	
425	2	2	84	2	9	86	10	
426	2	2	127	2	1	87	19	
427	2	2	11	2	2	88	1	
428	2	2	43	2	3	89	4	
429	2	2	61	2	9	90	19	
430	2	2	131	2	1	91	10	
431	2	2	132	2	2	92	35	
432	2	2	133	2	3	93	2	
433	2	2	132	2	9	94	4	
434	2	2	84	2	2	95	19	
435	2	2	85	2	2	96	10	
436	2	2	86	2	3	97	2	
437	2	2	1	2	1	98	2	
438	2	2	37	2	2	2	2	
439	2	2	127	2	3	2	4	
440	2	2	96	2	2	2	1	
441	2	2	127	2	2	2	4	
442	2	2	61	2	3	2	1	
443	2	2	37	2	2	2	4	
444	2	2	127	2	2	2	1	
445	2	2	2	2	3	2	1	
446	2	2	11	2	2	2	4	
447	2	2	37	2	3	2	2	
448	2	2	61	2	2	2	2	
449	2	6	37	2	3	2	4	
450	2	6	127	2	2	2	2	
451	2	6	127	2	3	2	4	
452	2	6	2	2	2	2	2	
453	2	6	61	2	3	2	4	
454	2	6	2	2	3	2	4	
455	33	6	37	2	2	2	2	
456	33	6	38	2	3	2	4	
457	33	6	12	2	2	2	2	
458	33	6	13	2	3	2	4	
459	33	6	90	2	2	2	2	
460	33	6	16	2	3	2	4	
461	33	6	18	2	3	2	2	
462	33	6	19	2	2	2	4	
463	33	6	11	2	3	2	1	
464	33	6	111	2	2	2	2	
465	33	6	112	2	3	2	4	
466	33	6	113	2	2	2	2	
467	33	6	112	2	3	2	2	
468	33	6	115	2	2	2	4	
469	33	6	116	2	3	2	2	
470	33	6	117	2	2	2	2	
471	33	6	118	2	3	2	4	
472	33	6	119	2	2	2	2	
473	33	2	120	2	3	2	2	
474	33	2	121	2	2	2	4	
475	33	2	122	2	3	2	2	
476	33	6	124	2	3	2	2	
477	33	6	123	2	2	2	4	
478	2	6	2	2	2	20	2	
479	2	6	2	18	2	112	4	
480	2	6	2	43	2	112	2	
481	2	6	2	47	2	98	4	
482	2	6	2	18	2	104	4	
483	2	4	2	43	2	30	2	
484	2	36	2	47	2	31	4	
485	2	35	2	2	2	2	2	
486	2	4	2	18	2	2	4	
487	2	36	2	43	2	2	2	
488	2	35	2	47	2	52	4	
489	2	4	2	2	2	19	2	
490	2	36	2	18	2	106	4	
491	2	35	2	43	2	2	2	
492	2	4	2	47	2	2	4	
493	2	36	2	2	2	2	2	
494	2	35	2	18	2	110	4	
495	2	4	2	43	2	112	2	
496	2	36	2	47	2	111	4	
497	2	35	2	2	2	112	2	
498	2	4	89	2	2	2	2	
499	2	36	15	2	2	2	4	
500	2	35	2	2	2	98	2	
501	2	4	90	2	2	104	4	
502	2	6	2	2	2	52	2	
503	2	6	90	2	2	19	4	
504	2	6	2	2	2	106	2	
505	2	6	90	2	2	2	4	
506	2	2	90	2	2	98	4	
507	2	2	2	2	2	104	2	
508	2	2	90	2	2	52	4	
509	2	2	85	2	30	2	2	
510	2	2	86	10	29	2	4	
511	2	2	85	2	15	2	2	
512	2	2	86	10	31	2	4	
513	2	2	85	2	31	2	2	
514	2	2	86	10	20	2	4	
515	2	2	85	2	21	2	2	
516	2	2	86	10	30	2	4	
517	2	2	85	2	29	2	2	
518	2	2	86	10	15	2	4	
519	2	2	85	2	20	2	2	
520	2	2	86	10	21	2	4	
521	2	2	85	2	2	2	2	
522	2	6	86	10	2	2	4	
523	2	6	85	2	2	70	2	
524	2	6	85	2	2	71	4	
525	2	2	85	2	2	25	2	
526	2	2	85	2	2	82	4	
527	2	2	85	2	2	19	2	
528	2	2	85	2	2	11	2	
529	2	2	59	2	2	19	4	
530	2	2	58	2	2	11	41	
531	2	2	59	2	2	19	9	
532	2	2	2	2	2	7	35	
533	2	2	2	2	2	68	2	
534	2	2	2	2	2	69	4	
535	2	2	2	2	2	70	19	
536	2	2	2	2	2	10	35	
537	2	2	2	2	2	71	2	
538	2	2	2	2	2	11	4	
539	2	2	2	2	2	19	19	
540	2	2	2	2	2	98	2	
541	2	2	2	2	2	90	2	
542	2	2	2	2	38	2	2	
543	2	2	2	2	39	94	4	
544	2	2	2	2	16	2	36	
545	2	2	2	2	2	2	4	
546	2	2	2	2	15	2	35	
547	2	2	2	2	15	2	19	
548	2	2	2	2	21	2	2	
549	2	2	59	2	16	2	2	
550	2	2	60	4	15	2	4	
551	2	2	67	9	15	2	9	
552	2	2	61	10	9	2	2	
553	2	2	11	11	2	2	4	
554	2	2	62	12	2	2	9	
555	2	2	2	2	15	2	2	
556	2	2	2	2	20	2	4	
557	2	2	2	2	21	2	9	
558	2	2	61	2	78	2	2	
559	2	2	62	2	2	2	4	
560	2	2	62	2	2	2	2	
561	2	2	64	2	2	2	4	
562	2	2	2	2	5	2	2	
563	2	2	2	2	39	2	2	
564	2	2	11	2	2	2	36	
565	2	2	43	4	2	2	2	
566	2	2	2	14	2	2	4	
567	1	1	1	1	1	1	1	
