ST	glpF	ilvD	pta	purH	pycA	rpoD	tpiA
145	59	48	55	56	34	1	1
146	9	73	6	68	5	61	5
147	9	59	6	7	5	61	5
148	35	44	29	94	45	13	28
149	14	84	47	13	80	13	28
150	9	85	6	7	5	61	5
151	77	87	87	96	81	62	44
152	78	88	88	97	82	46	65
153	33	75	16	47	74	16	14
154	78	88	88	97	82	63	65
155	15	74	102	47	73	16	14
156	85	92	92	39	87	31	32
157	81	93	93	101	88	19	69
158	68	94	70	102	89	70	73
159	86	60	70	103	90	71	74
160	68	91	94	104	91	72	75
161	87	95	47	105	30	2	28
162	43	96	95	34	15	73	27
163	88	13	27	33	92	35	26
164	68	60	70	106	93	74	76
165	14	26	29	107	94	75	28
166	43	13	96	34	15	73	27
167	29	51	97	108	51	30	68
168	34	97	98	109	77	31	28
169	34	33	82	51	77	31	28
170	29	41	54	50	59	30	77
171	89	98	99	110	95	76	19
172	34	42	100	57	77	31	32
173	29	79	54	88	42	30	78
174	29	99	54	88	61	30	77
175	35	34	15	13	80	13	31
176	91	3	103	112	96	1	63
177	92	101	104	113	97	78	41
178	24	102	104	114	98	79	66
179	93	98	99	115	95	76	19
180	33	14	17	47	16	15	14
181	33	83	102	116	74	80	14
182	94	75	17	42	72	16	79
183	15	83	17	47	16	16	80
184	95	103	105	117	99	81	81
185	17	16	106	20	17	14	16
186	33	16	18	20	38	14	16
187	33	16	18	118	38	14	16
188	2	104	20	4	1	1	1
189	3	57	1	1	1	1	1
190	3	57	1	56	1	1	1
191	1	1	36	1	26	1	1
192	3	2	4	4	34	1	3
193	2	106	5	1	26	1	1
194	1	89	4	4	1	1	2
195	2	89	4	4	1	1	1
196	61	104	55	66	1	1	1
197	52	57	1	63	1	1	33
198	2	1	5	49	26	1	1
199	1	57	44	38	26	1	1
200	2	1	5	1	1	1	1
201	36	1	36	1	33	1	33
202	2	1	5	1	26	1	1
203	4	1	5	38	3	1	2
204	2	1	4	1	26	1	1
205	2	1	6	1	26	1	1
206	36	48	5	56	34	41	1
207	1	111	2	6	4	3	1
208	1	1	2	6	4	3	1
209	3	113	2	86	34	1	1
210	1	2	2	6	4	3	1
211	1	65	35	86	56	3	49
212	3	2	35	6	4	1	4
213	3	111	4	6	4	1	4
214	3	31	35	38	4	3	1
215	1	1	108	119	26	1	1
216	61	105	5	120	56	1	82
217	102	1	1	1	25	1	64
218	102	1	1	1	26	1	64
219	101	64	5	121	84	1	56
220	61	105	20	122	100	1	56
221	1	65	107	1	102	1	64
222	99	65	109	123	26	1	64
223	59	57	55	124	34	1	1
224	61	105	20	122	4	1	56
225	59	18	110	125	101	1	1
226	3	2	20	122	34	1	3
227	98	65	111	128	34	82	1
228	49	1	36	49	105	1	22
229	1	109	43	1	2	83	83
230	1	57	20	129	104	1	1
231	3	37	2	122	34	1	3
232	100	3	2	66	103	1	1
233	101	108	43	127	101	3	86
234	98	3	61	126	101	82	84
235	99	56	59	128	101	40	85
236	3	107	112	4	4	3	4
237	3	110	20	132	34	84	1
238	32	65	43	133	55	41	87
239	1	65	35	86	4	3	49
240	36	1	112	6	4	1	1
241	54	112	113	130	107	1	88
242	3	48	83	131	34	1	89
243	3	111	36	130	2	60	91
244	97	39	43	48	106	1	3
245	103	1	35	40	56	3	4
246	97	39	43	48	106	1	90
247	29	77	80	34	29	2	28
248	29	61	114	134	42	30	52
249	3	89	35	4	108	3	4
250	3	57	61	1	4	1	1
251	2	89	4	4	1	1	87
252	3	114	36	135	2	60	91
