ST	16S	atpD	gyrB	recA	rpoB	trpB	clonal_complex
140	5	92	92	114	92	101	
141	5	111	5	115	36	101	
142	5	111	5	113	36	101	
143	5	112	110	5	36	128	
144	5	110	5	113	111	5	
145	5	112	5	5	112	101	
146	5	111	5	116	36	5	
147	5	5	5	5	92	39	
148	5	92	5	93	5	39	
149	5	92	93	5	5	39	
150	87	5	92	5	36	102	
151	5	5	111	5	36	129	
152	5	110	5	113	36	101	
153	5	5	110	117	36	101	
154	5	113	5	113	36	5	
155	88	114	112	118	113	130	
156	89	115	113	119	114	131	
157	90	116	114	120	115	132	
158	91	117	115	121	116	133	
159	92	118	116	122	117	134	
160	93	119	117	123	118	135	
161	94	120	118	124	119	136	
162	95	121	119	125	120	137	
163	68	122	84	126	121	138	
164	96	123	120	127	122	139	
165	97	120	121	128	123	199	
166	71	125	122	129	124	140	
167	98	126	123	130	125	141	
168	99	127	124	131	126	142	
169	100	128	125	132	127	200	
170	101	129	126	133	128	143	
171	102	130	127	134	129	144	
172	103	131	128	135	130	145	
173	104	132	129	136	131	146	
174	11	133	130	13	13	147	
175	105	134	131	137	132	148	
176	106	135	132	138	133	149	
177	107	136	133	139	134	150	
178	108	136	133	139	134	150	
179	109	137	134	140	135	151	
180	110	138	135	141	136	152	
181	111	139	136	142	137	153	
182	112	140	137	143	138	154	
183	113	141	138	144	139	155	
184	114	142	139	145	140	156	
185	115	143	140	146	141	157	
186	116	144	141	147	142	158	
187	117	145	142	148	143	159	
188	118	146	143	149	144	160	
189	119	147	144	150	145	161	
190	120	148	145	151	146	162	
191	121	149	146	152	147	163	
192	64	150	79	153	148	164	
193	122	151	147	154	149	165	
194	123	152	148	155	150	166	
195	124	153	149	156	151	167	
196	65	154	150	157	152	168	
197	125	155	151	158	153	169	
198	8	156	152	36	154	170	
199	8	156	152	36	154	171	
200	8	156	152	36	155	171	
201	8	156	152	36	156	170	
202	126	157	153	159	157	172	
203	127	158	154	160	158	173	
204	128	159	155	161	159	174	
205	129	160	156	162	160	175	
206	130	161	157	163	161	176	
207	131	162	158	164	162	177	
208	132	163	158	164	162	177	
209	132	163	158	164	162	178	
210	133	163	158	164	162	178	
211	131	163	158	164	162	178	
212	131	162	159	164	163	178	
213	134	162	159	164	163	178	
214	135	162	159	164	162	177	
215	131	162	158	164	162	178	
216	132	162	158	164	162	178	
217	84	164	160	165	164	179	
218	136	165	161	166	165	180	
219	137	166	162	167	166	181	
220	138	167	163	168	167	182	
221	139	168	164	169	168	182	
222	140	169	165	170	169	184	
223	141	170	166	171	170	185	
224	142	171	167	172	171	186	
225	143	172	168	173	172	187	
226	144	173	169	174	173	188	
227	145	174	170	175	174	189	
228	146	175	171	176	175	190	
229	147	176	172	177	176	191	
230	148	177	173	178	177	192	
231	149	178	174	179	178	193	
232	32	179	175	180	179	194	
233	150	180	176	181	180	195	
234	151	181	177	182	181	196	
235	152	182	178	183	182	197	
236	153	183	179	184	183	198	
