ST	abcZ	adk	aroE	fumC	gdh	pdhC	pgm	clonal_complex
83	2	2	31	11	13	21	16	ST-231 complex
84	2	5	9	37	8	18	21	ST-92 complex
85	2	5	9	36	9	6	18	
86	2	18	6	40	26	6	1	
87	2	18	15	1	24	11	10	
88	2	18	27	38	24	11	21	
89	2	18	27	38	24	11	10	
90	2	18	27	37	24	11	10	
91	3	5	4	37	8	18	21	ST-92 complex
92	3	7	4	37	8	18	21	ST-92 complex
93	3	7	4	17	8	18	29	ST-92 complex
94	3	7	4	35	8	18	2	ST-92 complex
95	3	7	31	35	8	18	2	ST-92 complex
96	4	10	2	16	8	11	20	ST-269 complex
97	4	20	30	9	8	20	12	
98	4	20	31	9	8	20	12	
99	6	5	7	17	21	24	17	ST-174 complex
100	6	6	9	1	26	36	32	
101	6	6	9	1	26	6	32	
102	7	5	10	19	29	1	2	ST-18 complex
103	8	4	6	17	5	18	2	ST-103 complex
104	8	5	6	42	5	17	2	ST-549 complex
105	8	6	6	3	26	17	2	ST-549 complex
106	8	16	4	33	10	24	27	ST-106 complex
107	9	2	9	41	27	24	20	
108	9	6	4	9	6	6	7	ST-41/44 complex
109	9	6	4	9	28	6	9	ST-41/44 complex
110	9	6	9	9	9	6	17	ST-41/44 complex
111	9	6	29	9	9	6	17	ST-41/44 complex
112	9	7	9	9	9	33	8	ST-41/44 complex
113	11	5	18	17	5	24	9	ST-22 complex
114	11	5	18	17	11	24	21	ST-22 complex
115	12	2	4	26	13	21	16	ST-231 complex
116	12	5	15	32	21	13	8	ST-116 complex
117	12	8	15	26	10	1	16	
118	12	10	5	35	6	3	8	ST-32 complex
119	12	16	4	33	10	24	27	ST-106 complex
120	12	17	6	39	9	22	8	
121	12	17	26	34	23	34	28	
122	16	2	6	25	8	25	22	ST-53 complex
123	16	2	6	25	17	11	22	ST-53 complex
124	16	2	6	25	13	25	22	ST-53 complex
125	20	5	7	35	6	30	12	
126	20	6	28	17	21	13	30	
127	21	18	6	37	5	31	17	
128	21	21	2	35	8	13	13	
129	22	7	4	37	8	18	21	ST-92 complex
130	23	5	9	3	13	32	8	
131	24	8	6	19	25	35	2	
132	24	8	10	19	25	35	33	
133	25	5	4	35	21	13	8	ST-116 complex
134	25	19	18	16	8	18	31	
135	26	10	4	13	9	22	34	
136	27	6	9	3	9	6	16	ST-41/44 complex
137	41	6	9	9	9	6	9	ST-41/44 complex
138	12	5	18	44	8	10	12	
139	2	2	31	40	13	21	16	ST-231 complex
140	21	18	6	37	5	31	35	
141	12	3	18	3	11	15	9	ST-292 complex
142	9	6	9	13	9	6	9	ST-41/44 complex
143	25	10	4	26	9	22	8	
144	7	17	32	5	10	11	2	
145	7	8	10	26	10	1	16	ST-18 complex
146	8	6	9	9	9	6	9	ST-41/44 complex
147	12	17	33	39	9	22	2	
148	12	5	15	32	21	6	8	ST-116 complex
149	8	16	4	8	10	24	27	ST-106 complex
150	9	6	9	9	9	18	32	ST-41/44 complex
151	2	20	35	17	9	15	21	
152	12	6	4	32	9	18	16	
153	2	3	7	2	34	5	2	ST-8 complex
154	3	6	9	5	11	6	9	ST-41/44 complex
155	3	6	9	9	11	6	9	ST-41/44 complex
156	12	6	15	5	5	21	20	ST-37 complex
157	38	6	9	3	9	6	6	ST-41/44 complex
158	10	6	12	5	9	6	9	ST-41/44 complex
159	3	10	9	5	9	6	9	ST-41/44 complex
160	4	3	11	18	6	10	12	ST-35 complex
161	8	7	6	17	26	18	2	ST-103 complex
162	1	5	13	53	26	41	3	ST-162 complex
163	12	2	9	9	9	54	10	
164	39	16	9	9	5	11	44	
165	2	3	4	48	8	4	6	ST-11 complex
166	2	3	6	3	3	58	6	ST-11 complex
167	2	7	6	17	16	18	8	ST-167 complex
168	2	16	6	17	9	18	8	ST-167 complex
169	2	16	34	17	5	38	17	
170	3	6	9	60	9	6	9	ST-41/44 complex
171	3	7	4	37	43	18	21	ST-92 complex
172	3	20	4	37	43	11	21	ST-92 complex
173	6	2	34	13	5	24	17	ST-174 complex
174	6	5	34	13	5	24	17	ST-174 complex
175	6	7	4	56	26	18	8	ST-175 complex
176	7	5	9	17	32	17	2	
177	7	8	10	38	10	1	20	ST-18 complex
178	7	16	55	10	3	56	46	ST-178 complex
179	9	6	9	9	9	6	47	ST-41/44 complex
180	9	6	9	9	9	6	2	ST-41/44 complex
181	10	3	15	7	5	41	31	ST-181 complex
182	10	3	15	26	5	41	31	ST-181 complex
183	10	5	18	59	11	9	17	ST-23 complex
184	11	5	18	8	11	4	21	ST-22 complex
185	12	5	34	17	5	38	17	ST-174 complex
186	12	6	9	21	9	6	9	ST-41/44 complex
187	1	6	50	38	35	6	9	
188	13	16	55	10	9	56	46	ST-178 complex
189	14	5	6	9	3	8	16	ST-334 complex
190	25	16	18	44	8	13	46	
191	28	6	9	24	9	6	9	ST-41/44 complex
192	35	24	15	48	6	48	41	ST-192 complex
193	46	28	56	7	6	57	5	
194	47	5	57	58	5	40	48	
195	48	3	58	31	21	59	49	
196	12	2	2	8	3	21	16	ST-231 complex
197	13	5	6	1	8	8	2	
198	5	4	17	15	14	7	12	ST-198 complex
199	5	4	38	15	30	40	13	ST-1136 complex
200	7	3	15	7	31	41	31	ST-181 complex
201	5	4	4	15	14	7	12	ST-198 complex
202	34	5	9	17	32	17	2	
203	1	3	2	1	3	2	3	ST-5 complex
204	4	6	12	17	37	6	12	
205	20	6	9	5	9	9	6	ST-41/44 complex
206	12	6	9	17	9	6	9	ST-41/44 complex
207	28	6	9	9	9	6	9	ST-41/44 complex
208	9	6	36	17	9	6	9	ST-41/44 complex
209	9	6	37	17	9	6	9	ST-41/44 complex
210	2	16	12	11	8	39	36	ST-254 complex
211	2	3	4	8	8	4	6	ST-11 complex
212	8	26	9	24	26	20	18	ST-212 complex
213	7	5	1	13	36	53	15	ST-213 complex
214	2	3	4	3	48	4	6	ST-11 complex
215	9	6	45	35	8	11	2	
216	8	22	4	33	33	24	27	ST-106 complex
217	20	6	18	51	11	51	20	
218	16	2	6	25	17	21	22	ST-53 complex
219	25	23	18	16	8	18	9	ST-376 complex
220	2	20	35	17	5	15	21	
221	2	2	31	8	13	52	16	ST-231 complex
222	2	16	12	3	3	60	7	ST-254 complex
223	12	5	15	32	21	13	35	ST-116 complex
224	44	6	9	9	39	6	7	ST-41/44 complex
225	12	5	15	54	8	21	20	ST-865 complex
226	12	27	6	3	8	18	9	ST-226 complex
227	12	2	6	39	9	22	8	
228	8	5	6	16	5	17	2	ST-549 complex
229	12	2	15	5	13	15	10	ST-37 complex
230	4	10	5	4	6	55	8	ST-32 complex
231	2	2	31	8	13	21	16	ST-231 complex
232	2	5	9	9	9	18	8	
233	1	5	18	3	9	15	9	ST-292 complex
234	2	2	9	36	40	6	51	
235	2	18	27	55	24	11	10	
236	2	3	10	19	10	1	2	ST-18 complex
237	1	5	18	13	41	24	53	ST-292 complex
238	2	3	51	21	15	17	54	
239	7	4	10	26	10	18	16	
240	20	6	52	56	8	18	55	
241	2	2	6	17	16	18	8	ST-167 complex
242	12	5	6	39	9	22	8	
243	6	5	34	17	5	24	17	ST-174 complex
244	6	5	53	1	42	8	54	
245	9	5	6	5	45	8	20	
246	12	5	9	32	21	13	8	ST-116 complex
247	2	3	4	5	8	4	6	ST-11 complex
248	3	5	4	37	21	18	21	ST-92 complex
249	12	7	4	8	46	21	16	
250	2	2	9	36	9	6	21	
251	3	5	18	63	5	6	57	
252	9	6	4	9	9	6	57	ST-41/44 complex
253	25	10	18	16	8	13	58	ST-376 complex
254	2	16	12	11	3	60	7	ST-254 complex
255	3	7	4	3	8	18	21	ST-92 complex
256	9	2	9	9	47	6	59	ST-41/44 complex
257	12	17	2	39	9	6	8	
258	2	2	9	36	9	61	51	
259	4	10	5	40	6	3	8	ST-32 complex
260	9	6	4	9	6	6	9	ST-41/44 complex
261	50	2	6	25	17	25	22	ST-53 complex
262	2	4	9	16	28	8	60	
263	2	17	35	17	5	15	21	
264	4	10	5	4	6	62	8	ST-32 complex
265	51	10	5	4	6	3	8	ST-32 complex
266	4	10	5	64	6	3	8	ST-32 complex
267	4	10	5	4	6	60	8	ST-32 complex
268	4	10	60	4	3	3	8	ST-32 complex
269	4	10	15	9	8	11	9	ST-269 complex
270	12	2	59	5	13	21	10	ST-37 complex
271	8	3	15	61	44	2	3	
272	11	5	18	62	5	24	16	ST-22 complex
273	49	2	4	8	13	21	53	ST-231 complex
274	3	6	49	5	9	6	9	ST-41/44 complex
275	4	10	2	5	38	11	9	ST-269 complex
276	3	10	48	9	9	10	12	
277	42	26	46	24	34	20	17	ST-282 complex
278	4	10	47	17	6	2	12	ST-35 complex
279	8	7	6	17	9	18	8	ST-167 complex
280	10	6	9	24	9	41	9	ST-41/44 complex
281	4	5	11	9	9	10	9	
282	42	26	46	24	2	20	17	ST-282 complex
283	4	10	15	9	8	11	17	ST-269 complex
284	20	6	63	9	9	11	2	
285	8	3	4	3	51	5	6	ST-11 complex
286	43	5	9	60	3	19	15	
287	27	6	9	5	8	6	12	ST-41/44 complex
288	11	5	6	5	5	24	2	
289	11	5	18	17	5	24	16	ST-22 complex
290	8	3	5	4	1	3	8	ST-32 complex
291	1	2	9	9	9	6	10	ST-41/44 complex
292	1	5	18	3	41	15	9	ST-292 complex
293	1	5	2	3	41	15	9	ST-292 complex
294	2	3	15	36	9	63	9	
295	2	5	62	40	3	8	10	
296	2	16	12	11	3	18	54	ST-254 complex
297	2	20	2	17	5	15	21	
298	2	29	4	26	26	65	53	
299	2	29	36	26	26	18	20	
300	2	29	9	26	26	18	20	
301	2	29	34	26	26	18	20	
302	2	34	12	11	3	18	7	ST-254 complex
303	3	6	9	9	9	6	9	ST-41/44 complex
304	3	7	4	38	8	18	8	ST-92 complex
305	4	10	2	9	8	11	9	ST-269 complex
306	8	5	2	17	26	68	2	ST-865 complex
307	8	6	6	17	26	17	2	ST-549 complex
308	8	6	12	68	26	17	2	ST-549 complex
309	8	30	6	2	5	17	2	ST-549 complex
310	9	2	6	3	49	21	61	
311	9	2	6	17	6	13	15	
312	9	5	6	40	6	8	18	ST-334 complex
313	9	5	18	55	41	15	9	ST-292 complex
314	9	6	61	9	9	6	9	ST-41/44 complex
315	9	6	6	9	9	6	9	ST-41/44 complex
316	9	6	34	9	8	11	9	ST-41/44 complex
317	9	6	15	9	9	6	9	ST-41/44 complex
318	9	6	9	5	9	6	9	ST-41/44 complex
319	9	10	9	9	8	6	9	ST-41/44 complex
320	11	5	18	16	5	24	2	ST-22 complex
321	11	5	18	56	5	24	2	ST-22 complex
322	11	5	36	5	50	15	21	
323	11	5	18	69	50	15	21	ST-22 complex
324	11	5	6	69	50	15	21	
325	11	5	9	69	50	15	21	
326	11	5	18	26	9	24	2	ST-22 complex
327	11	6	9	9	9	6	9	ST-41/44 complex
328	12	2	34	5	13	21	10	ST-37 complex
329	12	2	9	5	13	21	10	ST-37 complex
330	12	5	34	5	5	38	17	ST-174 complex
331	12	5	2	5	5	38	17	
332	12	5	35	5	5	38	17	
333	12	5	6	5	5	38	17	
334	14	5	6	9	3	8	18	ST-334 complex
335	2	3	7	2	9	15	2	ST-8 complex
336	4	5	2	9	21	11	20	
337	12	6	9	17	9	73	9	ST-41/44 complex
338	2	29	6	17	13	21	2	
339	2	3	4	3	8	4	52	ST-11 complex
340	3	6	19	5	3	6	9	ST-41/44 complex
341	8	25	7	17	52	26	49	ST-1157 complex
342	4	10	64	70	38	11	9	ST-269 complex
343	4	10	5	4	6	3	2	ST-32 complex
344	7	5	2	72	3	75	21	
345	67	5	6	3	3	11	13	
346	1	3	15	13	9	63	9	
347	2	16	12	11	3	40	7	ST-254 complex
348	2	18	31	8	13	21	16	ST-231 complex
349	2	29	2	17	26	21	9	
350	2	29	34	9	9	65	53	
351	2	29	2	26	26	65	53	
352	4	10	2	5	8	11	9	ST-269 complex
353	4	10	2	40	8	11	9	ST-269 complex
354	4	10	15	5	8	11	9	ST-269 complex
355	4	10	2	5	8	15	9	ST-269 complex
356	6	7	4	56	26	18	9	ST-175 complex
357	8	5	6	17	26	17	2	ST-549 complex
358	9	6	9	3	8	6	9	ST-41/44 complex
359	9	6	70	9	9	6	9	ST-41/44 complex
360	11	5	18	17	26	5	21	ST-22 complex
361	12	5	2	25	57	13	15	
362	12	16	18	43	3	37	7	
363	13	3	2	25	3	11	9	ST-364 complex
364	13	3	52	13	3	11	9	ST-364 complex
365	13	3	2	9	3	11	9	ST-364 complex
366	13	6	6	13	3	5	9	ST-364 complex
367	21	18	6	37	5	15	9	
368	21	21	2	35	8	13	62	
369	25	5	6	16	8	18	9	ST-226 complex
370	25	5	18	16	5	18	9	
371	25	5	18	16	8	18	9	ST-376 complex
372	25	5	12	16	8	18	18	
373	25	5	18	16	8	18	17	
374	25	10	18	9	8	6	16	ST-376 complex
375	25	10	6	9	8	6	9	ST-376 complex
376	25	10	18	9	8	6	9	ST-376 complex
377	25	10	34	9	8	6	9	ST-376 complex
378	25	10	18	9	53	6	9	ST-376 complex
379	25	10	18	37	54	13	9	ST-376 complex
380	25	10	18	13	8	6	9	ST-376 complex
381	25	10	18	2	8	6	9	ST-376 complex
382	25	16	48	13	8	6	9	ST-376 complex
383	25	19	18	16	8	18	9	ST-376 complex
384	46	5	2	7	15	20	5	ST-750 complex
385	52	6	9	65	9	6	20	ST-41/44 complex
386	52	6	9	9	55	6	9	ST-41/44 complex
387	53	7	4	38	8	18	2	ST-92 complex
388	57	2	2	35	6	68	12	
389	57	2	52	35	6	68	12	
390	60	6	9	9	9	1	9	ST-41/44 complex
391	62	5	34	17	5	38	17	ST-174 complex
392	68	30	6	2	5	17	2	
393	4	35	15	9	8	11	9	ST-269 complex
394	2	20	18	17	5	18	21	
395	8	6	6	68	56	17	2	ST-549 complex
396	8	30	18	2	5	17	2	
397	10	2	15	40	3	11	9	
398	12	3	6	13	11	10	30	
399	12	5	34	9	5	38	17	ST-174 complex
400	12	16	2	43	3	37	7	
401	25	10	18	9	8	6	54	ST-376 complex
402	64	10	18	21	8	13	9	ST-376 complex
403	13	29	4	56	3	11	9	ST-364 complex
404	9	6	25	8	67	6	9	ST-41/44 complex
405	10	5	18	79	11	9	17	ST-23 complex
406	13	5	6	40	66	8	18	ST-334 complex
407	25	10	18	35	8	13	16	ST-376 complex
408	4	10	11	17	21	10	12	ST-35 complex
409	9	6	9	9	9	64	9	ST-41/44 complex
410	66	6	9	9	9	6	9	ST-41/44 complex
411	4	10	5	40	61	3	8	ST-32 complex
412	64	6	9	26	9	22	9	ST-41/44 complex
413	13	3	15	40	3	11	62	ST-364 complex
414	3	6	9	5	9	6	70	ST-41/44 complex
415	13	5	6	40	59	8	18	ST-334 complex
416	1	5	91	9	58	93	9	
417	2	16	12	5	3	40	7	ST-254 complex
418	2	16	12	11	3	21	16	ST-254 complex
419	2	20	90	87	5	15	21	
420	2	55	2	26	26	65	53	
421	4	2	1	8	9	21	16	ST-231 complex
422	4	5	9	25	50	18	21	
423	4	5	82	56	5	24	2	
424	4	21	2	35	8	13	62	
425	6	3	86	25	22	87	75	
426	6	7	4	56	16	18	8	ST-175 complex
427	8	5	9	17	26	32	2	ST-865 complex
428	8	5	6	9	26	68	2	ST-549 complex
429	8	5	15	83	13	68	2	ST-865 complex
430	8	5	4	16	8	18	2	ST-865 complex
431	8	5	6	17	11	17	2	ST-549 complex
432	8	5	6	17	26	68	2	ST-549 complex
433	8	10	18	2	8	6	9	ST-376 complex
434	8	16	88	13	3	5	17	
435	8	18	52	37	5	15	9	
436	9	6	37	9	9	6	9	ST-41/44 complex
437	9	6	9	17	9	6	9	ST-41/44 complex
438	9	6	89	9	3	65	9	ST-41/44 complex
439	11	5	18	9	11	81	17	ST-23 complex
440	11	5	6	16	6	15	2	
441	12	3	15	16	9	63	17	
442	12	5	34	5	67	38	17	
443	12	10	18	9	8	6	16	ST-376 complex
444	12	16	12	43	3	37	7	ST-254 complex
445	13	3	2	13	5	18	9	ST-364 complex
446	21	18	6	37	8	15	20	
447	25	5	18	16	5	24	2	
448	63	16	12	11	3	40	7	ST-254 complex
449	64	3	79	9	63	6	5	
450	76	5	34	5	5	38	17	ST-174 complex
451	78	5	52	13	3	11	9	ST-364 complex
452	79	5	7	35	6	88	76	
453	9	5	15	9	3	6	9	ST-41/44 complex
454	2	16	12	11	3	60	16	ST-254 complex
455	4	10	11	17	6	79	12	ST-35 complex
456	43	5	9	76	68	19	15	
457	4	10	11	17	6	10	12	ST-35 complex
458	4	10	11	17	6	10	2	ST-35 complex
459	14	5	6	3	8	8	16	ST-334 complex
460	8	5	15	17	58	8	2	ST-865 complex
461	12	5	12	35	60	22	17	ST-461 complex
462	13	3	15	40	3	11	9	ST-364 complex
463	4	3	5	4	6	3	8	ST-32 complex
464	9	6	9	17	9	6	2	ST-41/44 complex
465	14	5	6	17	3	8	18	ST-334 complex
466	17	5	19	9	3	26	2	ST-60 complex
467	4	10	15	9	8	11	13	ST-269 complex
468	2	16	12	11	8	39	7	ST-254 complex
469	3	6	9	9	9	3	9	ST-41/44 complex
470	2	3	6	2	8	5	2	ST-8 complex
471	14	5	6	9	3	8	20	ST-334 complex
472	4	10	11	9	6	10	12	ST-35 complex
473	2	3	15	3	8	4	6	ST-11 complex
474	25	10	18	21	8	13	9	ST-376 complex
475	8	3	4	3	8	4	6	ST-11 complex
476	3	6	15	5	9	6	9	ST-41/44 complex
477	3	6	6	5	9	6	9	ST-41/44 complex
478	4	10	15	2	8	11	9	ST-269 complex
479	4	10	15	17	8	11	17	ST-269 complex
480	9	6	9	75	5	6	2	ST-41/44 complex
481	2	3	7	2	9	5	2	ST-8 complex
482	3	6	9	17	9	6	9	ST-41/44 complex
483	7	8	10	17	10	1	2	ST-18 complex
484	8	10	5	4	9	3	8	ST-32 complex
485	3	6	9	5	8	6	9	ST-41/44 complex
486	3	6	2	5	3	6	9	ST-41/44 complex
487	2	3	7	9	8	5	2	ST-8 complex
488	3	6	9	5	9	2	9	ST-41/44 complex
489	9	6	9	9	9	6	15	ST-41/44 complex
490	2	3	7	3	8	4	9	ST-11 complex
491	2	3	4	3	9	4	6	ST-11 complex
492	4	10	2	17	8	11	20	ST-269 complex
493	3	6	9	5	9	6	7	ST-41/44 complex
494	12	6	9	9	9	8	9	ST-41/44 complex
495	14	7	6	9	3	8	7	ST-334 complex
496	2	5	18	17	5	24	16	
497	58	3	15	13	9	63	17	
498	9	6	4	74	9	6	9	ST-41/44 complex
499	1	3	4	17	1	1	3	ST-1 complex
500	6	5	69	13	5	24	17	ST-174 complex
501	9	5	6	5	6	8	9	
502	46	20	6	7	58	21	8	
503	70	7	4	56	26	18	8	ST-175 complex
504	10	27	6	3	8	18	9	ST-226 complex
505	4	27	6	3	8	18	9	ST-226 complex
506	11	5	18	17	11	5	21	ST-22 complex
507	3	13	4	38	8	18	8	ST-92 complex
508	25	5	34	16	8	18	9	
509	13	3	52	13	8	11	9	ST-364 complex
510	1	5	6	5	6	8	9	
511	1	5	18	28	41	90	9	ST-292 complex
512	1	5	15	55	41	15	9	ST-292 complex
513	2	6	9	9	9	11	21	ST-41/44 complex
514	2	29	94	26	26	65	9	
515	6	10	18	9	8	6	9	ST-376 complex
516	7	8	10	19	10	1	20	ST-18 complex
517	8	16	6	11	3	21	7	ST-254 complex
518	11	5	18	16	5	24	9	ST-22 complex
519	11	5	69	26	5	24	2	
520	13	6	6	13	5	2	18	
521	71	20	35	17	5	15	21	
522	86	7	4	38	8	18	8	ST-92 complex
523	1	5	6	40	5	8	8	
524	2	7	12	11	3	18	7	ST-254 complex
525	9	6	4	9	9	6	9	ST-41/44 complex
526	9	6	85	3	9	86	9	ST-41/44 complex
527	9	6	9	9	9	6	79	ST-41/44 complex
528	11	18	15	37	5	92	20	
529	12	2	6	5	62	95	2	
530	12	2	4	5	8	21	78	ST-37 complex
531	12	42	4	8	13	21	74	
532	25	3	2	16	8	18	9	
533	25	5	18	9	8	18	9	ST-376 complex
534	25	5	84	16	8	18	9	
535	25	5	15	16	8	18	9	
536	63	17	25	35	11	21	2	
537	79	5	7	35	6	13	77	
538	85	3	15	13	9	63	17	
539	9	5	9	17	79	6	83	
540	2	3	7	2	8	77	2	ST-8 complex
541	9	6	9	16	9	9	2	ST-41/44 complex
542	8	5	6	5	1	78	2	
543	14	5	4	9	8	8	16	ST-334 complex
544	1	3	52	17	76	63	17	
545	1	3	15	36	9	63	17	
546	1	5	18	3	41	15	97	ST-292 complex
547	4	10	2	80	8	21	9	ST-269 complex
548	8	5	81	40	3	8	96	
549	8	6	6	68	26	17	2	ST-549 complex
550	9	6	9	9	21	6	9	ST-41/44 complex
551	12	2	72	13	8	21	95	
552	12	3	73	1	11	65	53	
553	12	7	15	91	8	21	97	
554	13	2	4	90	3	89	9	
555	58	6	52	13	3	11	9	ST-364 complex
556	90	5	1	37	76	2	21	
557	57	5	2	9	6	68	12	
558	1	5	18	3	5	6	9	ST-292 complex
559	6	6	6	1	26	6	32	
560	4	10	2	40	6	3	8	ST-32 complex
561	8	10	2	3	6	3	8	ST-32 complex
562	4	10	12	3	6	3	7	ST-32 complex
563	2	3	12	2	8	5	2	ST-8 complex
564	4	10	11	18	3	74	12	ST-35 complex
565	4	10	15	7	8	11	9	ST-269 complex
566	5	4	17	104	14	7	12	ST-198 complex
567	4	10	2	5	75	11	9	ST-269 complex
568	3	5	9	9	9	6	9	ST-41/44 complex
569	10	5	93	14	11	9	17	ST-23 complex
570	4	10	11	18	6	74	12	ST-35 complex
571	9	6	9	9	58	6	16	ST-41/44 complex
572	2	7	6	17	9	6	98	ST-167 complex
573	2	7	6	40	9	6	8	ST-167 complex
574	2	3	4	3	8	3	6	ST-11 complex
575	7	5	1	13	82	53	15	ST-213 complex
576	4	10	11	18	6	94	12	ST-35 complex
577	27	6	9	5	9	6	9	ST-41/44 complex
578	2	3	4	1	8	4	6	ST-11 complex
579	8	4	6	2	5	18	4	ST-103 complex
580	2	1	2	1	3	2	3	ST-5 complex
581	1	64	2	1	3	2	3	ST-5 complex
582	29	43	87	100	93	46	99	
583	29	43	39	45	65	96	37	ST-1494 complex (lactamica)
584	29	51	42	94	93	44	37	
585	29	52	68	100	103	46	87	
586	32	48	42	47	87	46	39	
587	32	57	100	98	81	46	88	ST-624 complex (lactamica)
588	33	45	48	96	94	46	56	ST-613 complex (lactamica)
589	40	43	39	57	88	42	37	ST-1494 complex (lactamica)
590	40	43	87	95	102	50	63	
591	40	43	48	95	80	50	37	
592	40	43	106	95	101	50	63	
593	40	45	48	45	65	42	37	ST-1494 complex (lactamica)
594	40	45	48	105	84	44	86	
595	40	46	102	89	91	82	82	ST-595 complex (lactamica)
596	40	53	54	45	95	44	43	
597	40	53	104	45	96	50	43	
598	40	53	104	45	94	50	43	
599	40	54	102	89	91	82	82	ST-595 complex (lactamica)
600	74	43	68	108	98	46	91	
601	74	58	68	107	100	100	56	
602	80	43	39	45	86	42	37	ST-1494 complex (lactamica)
603	80	43	48	100	86	44	56	
604	80	43	48	50	91	44	91	
605	80	43	87	100	93	46	99	
606	80	44	48	96	94	46	56	ST-613 complex (lactamica)
607	80	45	99	97	94	44	56	ST-613 complex (lactamica)
608	80	45	98	57	89	44	56	
609	80	45	48	100	86	44	86	
610	80	45	48	101	86	44	92	
611	80	45	48	100	97	44	86	
612	4	10	26	9	6	11	10	ST-269 complex
613	80	45	48	96	94	46	56	ST-613 complex (lactamica)
614	80	45	97	100	94	46	56	ST-613 complex (lactamica)
615	80	45	48	106	86	100	91	
616	80	53	104	45	96	50	43	
617	81	37	100	98	81	46	88	ST-624 complex (lactamica)
618	81	47	100	99	81	46	89	ST-624 complex (lactamica)
619	81	47	100	103	81	46	89	ST-624 complex (lactamica)
620	81	47	100	100	81	46	88	ST-624 complex (lactamica)
621	81	47	103	100	81	46	88	ST-624 complex (lactamica)
622	81	47	100	45	81	46	88	ST-624 complex (lactamica)
623	81	47	103	98	81	46	88	ST-624 complex (lactamica)
624	81	47	100	98	81	46	88	ST-624 complex (lactamica)
