ST	abcZ	adk	efp	fumC	glyBETA	mutY	ppa	trpE
429	8	9	2	18	29	31	3	2
430	2	2	12	7	57	6	3	2
431	31	22	6	7	29	3	76	16
432	3	25	3	3	57	3	51	2
433	81	2	12	7	20	6	3	2
434	2	20	3	2	15	15	8	2
435	8	25	6	4	57	22	23	2
436	27	18	2	2	10	9	9	2
437	2	17	2	4	107	89	3	2
438	71	1	49	52	108	90	77	35
439	8	3	3	3	14	36	3	2
440	2	17	3	2	15	15	8	2
441	23	41	15	5	26	25	4	12
442	3	3	3	3	109	15	17	2
443	2	2	2	53	2	31	3	2
444	9	6	3	7	20	9	2	2
445	31	22	6	7	29	3	3	2
