ST	HIS3	LEU2	NMT1	TRP1	ADE2	LYS2D	clonal_complex
140	4	5	32	4	24	2	
141	4	5	32	4	22	2	
142	4	17	11	20	9	22	
143	3	1	33	11	9	2	
144	9	20	1	11	15	2	
145	21	21	1	4	4	2	
146	4	2	17	5	5	23	
147	22	10	1	11	4	2	
148	1	3	1	1	25	2	
149	2	5	2	25	22	14	
150	1	6	3	5	5	7	
151	4	1	6	8	2	8	
152	23	22	34	30	2	24	
153	4	3	5	5	12	9	
154	5	3	5	6	5	8	
155	1	10	3	5	5	6	
156	4	3	5	6	5	11	
157	4	3	5	6	5	9	
158	1	23	11	5	4	10	
159	1	2	3	5	5	9	
160	5	3	26	4	5	8	
161	5	15	11	31	5	10	
162	5	15	23	5	2	10	
163	9	14	23	10	5	7	
164	4	9	8	8	2	7	
165	4	9	8	32	2	7	
166	5	24	11	5	5	10	
167	5	3	5	5	3	25	
168	5	3	5	5	5	9	
169	1	10	3	5	5	23	
170	5	25	11	5	5	10	
171	23	1	4	5	2	26	
172	23	1	4	5	2	13	
173	5	15	11	33	5	10	
174	5	15	3	5	5	10	
175	5	3	11	5	5	10	
176	1	2	34	34	5	7	
177	1	26	4	16	13	7	
178	1	3	4	3	5	10	
179	5	10	5	6	13	11	
180	5	10	5	19	2	11	
181	5	15	11	5	4	10	
182	5	3	5	6	5	9	
183	1	2	3	5	5	1	
184	5	3	5	6	5	14	
185	5	3	35	6	5	10	
186	5	3	5	6	5	27	
187	3	7	1	16	6	10	
188	4	7	1	4	4	10	
