ST	glmU_1	pntA_1	sucA_1	tpiA_1	pfkB_1	mreA_1	caiB_1	clonal_complex
72	6	13	2	2	22	3	15	
73	7	1	4	7	22	5	9	
74	1	1	1	2	3	2	7	
75	5	1	1	5	3	2	7	
76	5	1	1	2	3	2	7	
77	1	3	1	25	6	6	2	
78	1	1	2	26	6	22	7	
79	1	1	16	2	4	3	3	
80	3	1	17	3	4	5	16	
81	1	1	1	2	6	4	2	
82	1	1	3	2	6	6	3	
83	1	1	1	27	6	5	2	
84	1	2	2	29	4	5	9	
85	1	1	2	25	6	22	2	
86	1	18	1	25	6	6	2	
87	1	1	1	29	34	22	5	
88	1	1	18	5	12	2	9	
89	3	2	3	2	6	6	8	
90	3	2	3	3	4	6	5	
91	4	1	1	2	12	15	6	
92	3	1	2	3	6	6	6	
93	1	2	3	5	6	6	7	
94	46	59	57	53	63	52	45	
95	1	12	3	3	4	6	5	
96	3	3	3	3	35	5	5	
97	1	18	1	2	4	6	13	
98	1	1	19	1	1	1	1	
99	1	1	2	2	1	4	8	
100	55	20	15	22	75	60	23	
101	3	1	1	3	4	5	13	
102	1	1	1	3	4	6	13	
103	1	18	1	25	4	6	6	
104	1	1	1	4	72	13	5	
105	1	1	1	2	6	23	7	
106	3	1	2	30	6	6	6	
107	1	2	3	5	6	1	7	
108	3	3	20	2	2	5	8	
109	1	1	3	2	6	23	7	
110	19	20	13	22	31	18	23	
111	20	1	1	4	6	6	5	
112	1	1	1	2	2	1	2	
113	1	1	2	3	2	15	6	
114	1	9	2	61	4	5	13	
115	13	25	23	22	33	18	23	
116	12	19	22	31	30	24	24	
117	13	25	15	22	33	18	23	
118	3	3	3	32	4	5	8	
119	3	2	3	32	4	5	16	
120	3	3	3	3	36	5	5	
121	22	20	14	55	32	21	22	
122	13	20	22	22	31	18	23	
123	16	22	24	22	33	25	20	
124	23	26	22	31	30	19	24	
125	21	37	34	31	42	24	21	
126	19	36	15	22	31	18	20	
127	27	34	15	22	31	18	23	
128	1	31	1	1	1	1	1	
129	1	12	3	3	4	6	8	
130	3	3	3	2	6	6	8	
131	1	2	1	5	6	6	7	
132	1	1	1	2	2	6	2	
133	6	18	2	56	2	7	9	
134	1	6	2	26	10	1	8	
135	8	64	2	17	68	16	8	
136	52	65	15	22	71	18	23	
137	1	1	1	2	6	2	6	
138	3	2	3	3	4	6	16	
139	3	2	3	3	4	6	13	
140	3	3	3	3	4	5	16	
141	13	20	15	22	31	18	23	
142	24	27	25	33	67	26	27	
143	24	27	30	34	67	27	11	
144	24	27	30	34	67	27	28	
145	24	27	31	33	41	26	28	
146	24	27	31	33	37	26	28	
147	24	28	26	34	37	27	28	
148	24	28	30	34	37	27	28	
149	24	32	30	36	67	26	12	
150	25	29	27	35	38	28	29	
151	25	33	32	35	39	29	31	
152	26	30	28	35	39	29	29	
153	29	35	33	35	39	28	31	
154	24	28	35	34	37	27	28	
155	24	28	36	34	37	27	28	
156	25	35	37	35	38	29	30	
157	28	27	29	28	40	26	14	
158	30	38	38	37	43	30	33	
159	30	38	38	38	43	32	33	
160	30	39	38	38	43	31	33	
161	30	39	38	38	43	33	33	
162	31	38	38	38	43	31	33	
163	32	40	39	39	44	34	34	
164	32	46	46	41	51	41	41	
165	33	41	40	40	45	35	35	
166	34	42	41	41	46	36	36	
167	35	43	42	42	47	37	37	
168	36	44	43	43	48	38	38	
169	37	45	44	44	49	39	39	
170	38	46	45	45	46	40	40	
171	39	47	41	46	50	35	36	
172	40	48	47	47	52	42	42	
173	40	53	51	48	56	44	43	
174	41	49	48	47	53	43	43	
175	41	49	48	47	58	47	43	
176	41	53	52	49	57	43	43	
177	42	50	49	48	54	44	43	
178	43	51	47	48	55	45	43	
179	44	52	50	48	55	46	43	
180	44	54	53	49	55	48	43	
181	45	55	54	50	59	47	44	
182	46	56	55	51	60	49	45	
183	46	59	57	53	63	49	45	
184	46	61	57	53	63	52	47	
185	47	57	56	52	61	50	46	
186	48	58	57	53	62	51	45	
187	49	56	55	51	63	49	45	
188	49	60	57	53	64	52	45	
189	49	63	55	51	66	54	45	
190	49	63	59	51	60	49	45	
191	50	62	58	54	65	53	48	
192	47	57	60	52	61	50	46	
193	46	59	57	53	63	55	45	
194	49	60	55	51	69	52	45	
195	48	63	59	51	69	54	49	
196	51	62	61	57	70	53	50	
197	24	28	30	35	37	26	51	
198	1	66	2	1	5	3	4	
199	1	1	62	2	10	4	8	
200	3	1	1	4	72	2	8	
201	1	1	1	2	2	13	6	
202	1	1	2	2	4	3	5	
203	3	3	1	3	3	6	8	
204	13	20	15	22	31	18	20	
205	1	10	7	58	15	5	52	
206	1	1	62	2	10	56	8	
207	53	67	63	59	73	57	53	
208	54	48	47	60	74	58	43	
209	24	27	30	34	67	59	11	
210	3	18	1	29	3	5	6	
211	56	18	3	6	4	5	7	
212	3	3	3	3	4	6	5	
213	1	12	3	3	4	6	13	
214	1	12	3	3	6	6	13	
215	3	2	3	3	16	6	5	
216	3	68	3	3	10	2	9	
217	1	1	9	2	76	6	13	
218	41	50	49	48	54	44	43	
219	24	69	30	35	37	26	51	
220	57	53	47	49	79	61	43	
221	1	1	1	29	6	5	54	
222	1	1	2	6	6	15	7	
223	1	1	3	3	6	6	6	
224	3	3	20	2	10	3	8	
225	58	48	49	48	54	62	43	
226	41	50	49	48	55	44	43	
227	40	48	64	48	54	44	44	
228	41	50	49	48	55	44	55	
229	1	10	7	8	15	5	56	
230	19	20	13	22	81	18	23	
231	59	70	65	44	82	63	34	
232	60	19	22	22	30	17	24	
233	1	1	66	1	84	2	9	
234	1	1	1	1	85	2	57	
235	1	1	1	2	83	3	6	
236	1	71	1	13	34	3	6	
237	1	1	1	1	76	2	58	
238	1	1	2	4	1	2	6	
239	1	68	2	14	86	6	7	
240	1	13	2	2	6	10	13	
241	1	1	1	4	18	5	6	
242	49	58	57	51	69	52	49	
243	1	1	1	1	8	6	6	
244	61	72	67	62	87	64	59	
245	63	74	69	64	89	66	60	
246	62	73	68	63	88	65	60	
247	6	9	2	65	2	67	19	
248	1	1	2	2	1	3	9	
249	1	1	9	2	6	3	6	
250	1	1	9	2	34	3	6	
251	1	1	9	4	6	3	6	
252	1	10	7	8	15	5	52	
253	1	13	2	29	1	3	6	
254	1	68	2	2	83	5	6	
255	3	1	1	2	72	2	5	
256	1	1	1	2	91	5	9	
257	1	1	9	2	92	6	9	
258	64	75	21	9	90	6	6	
259	24	28	30	35	37	26	61	
260	65	1	2	25	1	6	9	
261	71	81	79	72	100	74	65	
262	70	79	75	69	96	73	64	
263	1	1	1	2	7	5	6	
264	3	1	3	3	105	6	68	
265	9	1	2	2	106	2	3	
266	40	50	64	48	54	44	44	
267	72	83	81	74	104	75	67	
268	42	50	49	48	55	44	43	
269	40	48	49	48	54	44	43	
270	42	82	52	48	54	44	43	
271	40	51	80	48	54	44	43	
273	40	55	47	50	103	47	44	
274	42	54	52	48	102	44	43	
275	73	84	82	48	108	76	42	
277	68	78	72	67	95	69	62	
278	66	76	70	68	93	70	62	
279	69	80	77	73	101	37	66	
280	67	77	71	66	94	68	63	
281	69	70	78	44	99	72	34	
282	35	70	73	39	47	70	62	
283	1	1	1	5	28	2	6	
284	1	1	9	4	28	13	5	
285	1	1	9	4	28	13	6	
286	8	1	2	2	6	5	5	
287	3	1	2	2	111	5	5	
288	75	85	15	22	33	18	23	
289	13	85	15	22	33	18	23	
290	76	29	27	76	39	28	61	
291	41	48	64	48	54	44	44	
292	1	9	3	77	4	5	13	
293	25	35	37	35	38	28	29	
294	77	86	84	78	15	77	56	
295	3	3	3	3	4	5	8	
296	3	2	3	3	1	5	5	
297	1	4	2	1	5	3	69	
298	78	20	13	22	33	18	23	
299	81	82	88	79	114	78	72	
300	40	55	85	50	103	47	43	
301	38	89	45	79	113	40	40	
302	80	90	54	50	74	47	71	
303	38	91	46	46	46	40	40	
304	45	51	47	50	103	47	43	
305	35	92	86	39	114	79	34	
306	40	88	47	50	108	47	43	
307	82	53	47	82	55	81	43	
308	83	1	1	5	3	2	7	
309	40	53	47	50	116	80	43	
310	80	53	2	50	74	81	43	
311	73	90	47	50	108	81	43	
312	40	53	87	80	115	80	43	
313	8	17	5	5	10	2	6	
314	1	1	2	3	4	21	9	
315	45	55	52	50	108	47	43	
316	84	93	5	2	1	5	6	
317	3	1	2	84	4	21	9	
318	15	24	1	83	107	21	26	
319	79	55	89	50	108	58	43	
320	38	46	45	41	117	5	36	
321	24	32	89	36	67	26	12	
322	80	53	47	50	74	81	43	
323	24	28	30	35	37	26	73	
324	1	1	1	1	7	3	9	
325	24	27	30	34	67	27	73	
326	24	28	30	35	37	26	28	
327	1	1	2	1	12	13	6	
328	3	95	3	87	4	5	5	
329	3	3	3	3	4	6	16	
330	1	10	7	8	121	5	52	
331	1	18	1	25	4	6	8	
332	3	1	1	3	122	15	19	
333	3	1	3	3	35	5	75	
334	86	96	91	88	123	83	76	
335	24	27	31	33	37	26	77	
