ST	Cup_adk	Cup_aspA	Cup_atpA	Cup_glnA	Cup_glyA	Cup_pgi	Cup_tkt	clonal_complex
67	24	39	23	29	1	27	30	
68	1	40	1	13	25	22	26	
69	1	3	27	30	20	12	12	
70	13	29	1	31	35	14	4	
71	13	3	9	10	12	12	12	
72	8	38	1	11	1	12	22	
73	6	17	22	30	34	12	12	
74	13	3	9	1	12	12	12	
75	1	41	22	30	20	12	12	
76	1	3	22	30	20	12	12	
77	13	3	1	13	37	28	9	
78	13	3	1	28	20	28	9	
79	9	2	9	15	1	14	1	
80	13	42	1	13	1	14	4	
81	6	54	34	38	2	40	1	
82	7	45	1	33	9	29	1	
83	13	29	1	3	32	12	31	
84	10	13	10	32	12	12	1	
85	1	11	9	3	38	14	33	
86	25	43	24	27	33	30	32	
87	13	3	25	31	25	12	33	
88	1	40	26	13	1	22	26	
89	13	17	1	18	1	1	9	
90	26	29	1	31	35	12	26	
91	9	2	9	15	1	31	1	
92	13	3	1	28	20	12	9	
93	1	44	1	13	1	32	4	
94	18	3	22	30	20	12	26	
95	10	13	1	32	12	12	1	
96	17	45	1	33	9	12	1	
97	9	2	9	3	1	12	1	
98	7	45	1	33	9	12	1	
99	13	11	1	18	1	1	34	
100	27	3	1	3	20	33	35	
101	22	29	22	3	32	12	4	
102	29	52	2	1	39	12	2	
103	23	29	18	31	25	22	26	
104	1	29	1	31	35	12	26	
105	25	43	23	27	33	30	32	
106	18	46	15	13	21	3	23	
107	1	17	22	30	34	34	26	
108	13	3	9	31	12	12	33	
109	8	54	35	11	1	12	1	
110	1	29	18	34	25	22	26	
111	29	52	1	8	40	37	43	
112	7	45	23	33	36	12	1	
113	10	3	1	31	1	12	33	
114	27	47	1	33	9	35	1	
115	28	3	28	13	20	36	12	
116	30	48	29	1	39	12	1	
117	32	50	1	3	20	12	1	
118	10	3	9	35	12	12	12	
119	7	51	30	16	33	38	38	
120	1	33	1	13	1	1	4	
121	10	33	9	3	41	12	38	
122	29	52	1	8	40	37	1	
123	6	53	31	36	1	1	29	
124	33	52	1	8	40	37	39	
125	30	49	2	1	39	12	2	
126	29	52	1	8	40	37	40	
127	1	33	10	1	14	12	13	
128	31	54	30	1	13	12	41	
129	29	55	1	37	40	37	1	
130	34	11	1	36	42	12	1	
131	29	52	1	8	40	37	42	
132	29	12	30	1	13	37	41	
133	10	3	9	35	12	12	36	
134	6	15	9	10	33	12	12	
135	10	3	1	3	32	12	37	
136	1	44	1	13	10	12	4	
137	29	49	1	8	40	37	1	
138	1	44	1	13	1	12	4	
139	35	56	1	32	12	12	12	
140	18	57	32	2	44	16	1	
141	6	58	11	15	1	16	1	
142	36	59	33	37	43	39	44	
143	29	52	2	8	40	37	1	
144	33	52	1	8	40	37	1	
145	29	52	1	8	13	39	1	
146	6	54	34	38	40	40	1	
147	10	13	9	39	12	12	12	
148	4	23	5	5	6	6	6	
149	37	22	12	19	45	7	45	
150	19	9	5	7	5	6	18	
151	19	9	5	7	5	6	6	
152	4	9	7	21	5	6	46	
153	4	10	7	7	46	6	47	
154	4	60	12	19	18	6	48	
155	4	6	5	5	5	6	48	
156	10	61	1	40	13	12	49	
157	17	62	1	1	1	16	50	
158	1	63	36	30	39	41	51	
159	6	15	1	41	20	1	9	
160	9	64	1	13	1	12	4	
161	3	2	4	45	1	4	4	
162	38	79	22	30	20	12	1	
163	22	66	34	9	1	12	60	
164	10	3	1	42	33	13	52	
165	10	13	37	32	12	12	1	
166	10	3	1	1	33	13	52	
167	6	68	22	3	20	12	54	
168	13	13	1	28	33	12	12	
169	1	69	1	31	20	12	33	
170	10	3	1	1	33	13	12	
171	6	11	22	3	20	12	54	
172	6	70	22	3	20	12	54	
173	13	17	1	3	1	12	4	
174	10	15	38	43	39	12	58	
175	1	74	40	31	20	12	53	
176	1	3	39	31	1	12	1	
177	1	36	38	3	39	41	4	
178	1	29	1	31	35	22	26	
179	3	30	4	45	1	4	4	
180	1	71	38	31	39	12	33	
181	17	15	1	30	47	43	9	
182	17	73	1	9	9	12	4	
183	13	75	1	34	9	12	1	
184	38	3	22	43	20	12	1	
185	13	67	1	44	49	12	12	
186	1	78	10	43	39	12	58	
187	27	17	38	3	39	12	57	
188	1	36	38	13	39	12	4	
189	41	76	23	3	48	42	55	
190	13	12	1	44	49	12	12	
191	39	30	23	30	50	45	59	
192	10	29	18	31	39	22	26	
193	1	36	38	13	39	12	33	
194	1	11	1	46	9	12	4	
195	7	12	1	9	24	12	1	
196	1	77	1	31	35	12	26	
197	3	72	4	45	1	4	4	
198	1	36	11	13	1	12	4	
199	9	17	10	48	14	12	13	
200	10	3	1	31	35	4	33	
201	10	3	1	1	33	13	33	
202	8	65	1	47	1	44	10	
203	40	43	23	3	30	42	56	
204	6	64	1	28	1	12	12	
205	29	58	1	31	2	12	38	
206	1	15	1	18	11	1	1	
207	6	15	1	13	1	1	9	
208	6	15	22	28	20	1	4	
209	10	77	1	3	13	54	66	
210	6	66	1	54	3	55	10	
211	45	17	1	31	1	12	1	
