ST	abcZ	adk	efp	fumC	glyBeta	mutY	ppa	trpE
429	8	9	2	18	29	31	3	2
430	2	2	12	7	57	6	3	2
431	31	22	6	7	29	3	76	16
432	3	25	3	3	57	3	51	2
433	81	2	12	7	20	6	3	2
434	2	20	3	2	15	15	8	2
435	8	25	6	4	57	22	23	2
436	27	18	2	2	10	9	9	2
437	2	17	2	4	107	89	3	2
438	71	1	49	52	108	90	77	35
439	8	3	3	3	14	36	3	2
440	2	17	3	2	15	15	8	2
441	23	41	15	5	26	25	4	12
442	3	3	3	3	109	15	17	2
443	2	2	2	53	2	31	3	2
444	9	6	3	7	20	9	2	2
445	31	22	6	7	29	3	3	2
446	2	38	2	9	2	18	17	2
447	53	25	2	3	57	3	3	2
448	2	38	2	9	2	18	34	2
449	3	3	2	2	17	15	8	2
450	3	3	2	9	8	3	17	2
451	82	69	50	54	110	91	78	3
452	83	6	2	3	14	3	3	2
453	2	3	12	2	20	6	3	2
454	84	59	9	44	111	92	5	36
455	3	3	2	2	6	15	8	2
456	8	3	2	3	2	19	17	2
457	85	6	12	2	112	66	2	2
458	83	70	6	3	113	3	3	2
459	8	3	12	3	57	3	79	2
460	3	2	51	55	57	3	3	2
461	8	19	2	56	114	29	3	2
462	2	2	2	3	2	31	3	2
463	2	8	6	4	14	22	3	2
464	4	1	15	57	11	12	4	10
465	3	39	2	9	6	3	3	5
466	8	3	6	3	32	3	3	2
467	86	15	14	58	28	93	80	37
468	87	3	2	3	31	31	21	2
469	3	8	11	2	20	6	3	2
470	2	60	2	7	42	3	64	2
471	88	71	50	59	108	94	81	36
472	2	20	3	56	15	15	8	2
473	53	3	2	3	115	3	3	2
474	8	25	6	4	57	22	3	2
475	84	72	9	60	111	92	82	36
476	22	3	3	61	6	3	83	2
477	45	73	52	62	116	95	84	10
478	8	25	12	3	36	3	2	2
479	2	3	2	3	2	96	17	2
480	8	2	6	2	117	14	14	2
481	83	8	26	7	118	3	2	2
482	3	3	6	3	57	3	3	2
483	40	3	2	3	42	3	3	2
484	8	74	2	3	14	3	3	2
485	89	6	2	2	14	29	3	2
486	8	3	2	2	24	97	14	2
487	2	3	53	7	6	3	3	2
488	90	75	54	2	119	3	3	2
489	8	3	2	63	14	97	3	2
490	88	15	7	54	11	98	62	3
491	83	6	2	2	8	3	3	2
492	3	3	2	3	10	3	3	2
493	28	3	2	3	31	31	85	2
494	84	72	9	64	89	92	82	36
495	91	19	51	3	57	3	3	2
496	3	3	2	4	31	31	8	2
497	8	76	6	4	57	22	14	2
498	3	18	55	2	15	15	8	2
499	3	8	11	2	57	6	3	2
500	51	77	15	65	11	99	86	3
501	84	59	9	44	111	92	87	36
502	92	78	56	66	120	100	88	38
503	93	79	7	54	11	12	81	3
504	8	49	12	2	77	66	17	2
505	4	10	9	67	11	95	89	1
506	8	6	2	2	24	22	14	2
507	84	69	57	68	121	101	33	36
508	2	3	12	3	57	3	3	2
509	3	8	2	2	8	8	8	2
510	94	15	14	69	28	93	80	37
511	2	2	2	3	2	18	17	2
512	8	3	2	70	122	102	14	2
513	95	15	14	58	28	93	81	37
514	8	13	2	7	14	14	3	2
515	3	3	2	2	57	3	3	2
516	8	6	12	2	50	66	90	2
517	88	80	7	54	11	12	81	3
518	84	72	9	71	123	101	91	36
519	9	6	2	2	2	3	3	2
520	8	25	2	72	20	3	3	39
521	17	3	6	73	124	52	3	2
522	8	19	51	56	57	3	92	2
523	96	81	1	74	116	95	84	1
524	89	19	51	2	57	3	3	2
525	83	30	2	2	125	29	3	2
526	9	6	12	2	50	19	3	2
527	97	71	58	59	108	103	93	3
528	8	76	2	3	14	29	3	2
529	8	8	6	4	14	22	3	2
530	8	62	12	75	6	104	3	2
531	53	3	59	3	57	3	2	2
532	97	71	58	76	11	103	81	3
533	84	59	9	44	111	92	82	36
534	2	6	2	3	57	2	2	2
535	84	77	1	65	126	99	86	36
536	8	74	51	75	6	3	3	2
537	3	34	3	3	42	3	3	2
538	3	3	2	2	15	15	17	2
539	98	82	7	77	127	46	94	3
540	8	17	20	3	128	3	17	2
541	2	6	3	2	10	2	3	2
542	99	8	11	2	20	6	3	2
543	8	3	12	2	50	66	2	2
544	22	2	3	18	29	3	3	2
545	100	83	60	78	111	12	22	3
546	3	3	3	2	6	15	17	2
547	8	6	12	2	50	19	3	2
548	84	72	1	76	111	92	82	36
549	28	3	2	2	31	31	21	26
550	2	3	55	2	15	15	9	2
551	3	3	2	3	31	37	95	2
552	2	2	12	4	2	6	3	2
553	3	39	2	9	129	8	17	5
554	8	6	12	2	130	66	2	2
555	8	3	2	79	131	3	3	2
556	8	3	3	4	109	15	17	2
557	97	71	58	76	108	103	81	3
558	45	73	61	80	116	105	84	40
559	101	3	2	4	57	3	8	2
560	67	73	61	80	116	95	84	1
561	89	84	2	72	31	106	3	2
562	102	85	62	81	132	107	96	25
563	67	57	14	12	89	51	60	12
564	4	86	9	82	133	108	97	3
565	103	3	6	3	14	109	14	2
566	8	25	12	2	50	66	2	2
567	99	74	6	4	57	22	3	2
568	38	10	1	83	16	110	19	3
569	104	71	58	59	108	94	81	3
570	2	2	2	3	42	3	3	2
571	8	6	12	2	50	66	3	2
572	3	3	6	2	8	3	8	2
573	8	84	6	2	113	15	14	2
574	3	39	2	9	6	9	3	5
575	27	18	2	2	134	9	9	2
576	3	3	2	3	57	3	3	2
577	9	18	2	4	3	111	3	2
578	3	20	2	3	124	19	17	2
579	8	74	6	2	135	14	14	2
580	53	3	2	3	37	31	3	2
581	82	87	50	54	110	91	78	3
582	82	79	15	84	28	112	77	3
583	88	80	9	76	11	12	81	3
584	51	88	15	84	11	12	98	3
585	3	3	3	4	109	15	3	2
586	8	25	6	3	57	22	3	41
587	8	6	2	2	50	66	2	2
588	38	12	63	42	97	108	99	3
589	53	3	59	3	57	3	3	2
590	8	6	6	2	50	66	2	2
591	3	3	2	3	29	3	3	2
592	3	74	64	2	57	29	3	2
593	8	3	2	79	136	3	36	2
594	17	3	12	3	24	113	3	2
595	4	88	9	85	11	95	89	1
596	17	3	12	9	8	3	8	2
597	89	84	2	2	137	114	3	26
598	8	17	12	3	3	3	3	2
599	8	84	6	2	10	14	14	2
600	28	3	2	9	31	31	3	2
601	105	3	12	3	24	113	3	2
602	23	1	1	57	138	24	85	40
603	3	39	2	9	6	8	8	5
604	9	9	6	7	10	115	3	2
605	8	3	2	3	57	3	3	2
606	106	59	9	44	111	92	82	36
607	2	2	2	3	17	116	3	2
608	3	3	2	3	31	31	95	2
609	83	6	2	2	14	3	3	2
610	26	6	2	2	14	3	3	2
611	3	14	2	7	57	36	3	2
612	83	6	2	2	125	29	3	2
613	2	6	2	24	20	3	3	2
614	8	3	12	3	139	3	79	2
615	83	6	2	2	14	29	3	2
616	107	3	2	70	122	102	14	2
617	23	4	15	86	140	108	100	42
618	108	3	2	3	31	31	21	2
619	34	39	2	45	141	104	3	2
620	14	75	6	2	15	15	8	2
621	102	85	62	81	132	107	101	25
622	109	6	3	2	43	2	3	2
623	23	77	65	58	11	117	86	40
624	2	3	52	3	37	19	9	2
625	3	3	6	2	8	118	8	2
626	3	20	2	3	14	29	3	2
627	8	49	12	2	77	119	3	2
628	91	70	6	3	113	3	3	2
629	110	58	8	76	142	120	5	3
630	2	36	22	3	36	31	34	2
631	8	25	6	45	57	22	23	2
632	88	10	14	87	143	12	102	1
633	8	3	3	88	14	36	3	2
634	4	1	15	57	11	51	4	10
635	2	6	3	2	2	3	3	2
636	3	19	2	9	57	3	3	2
637	3	20	2	56	14	29	3	2
638	8	13	2	9	14	14	3	2
639	84	89	9	44	111	92	87	36
640	93	79	7	54	144	12	81	3
641	3	3	2	3	31	31	21	2
642	2	3	6	4	57	22	3	2
643	8	76	3	9	43	52	3	2
644	3	90	2	3	57	3	3	2
645	3	8	2	9	8	8	8	2
646	82	88	50	54	110	91	78	3
647	4	10	9	85	11	95	89	1
648	3	91	2	9	145	8	8	2
649	111	58	8	76	142	120	5	13
650	2	25	2	3	146	18	17	2
651	95	15	7	12	11	121	103	3
652	8	92	12	2	77	66	17	2
653	8	19	51	2	147	3	3	2
654	14	75	6	2	148	15	104	2
655	2	6	3	2	20	3	9	2
656	89	3	3	89	115	114	8	2
657	8	76	6	2	14	3	3	2
658	2	3	2	3	6	3	3	2
659	8	6	2	4	149	6	3	2
660	8	84	55	3	113	3	14	2
661	104	88	1	84	121	122	81	3
662	2	2	2	3	2	9	2	2
663	112	17	2	10	32	3	3	2
664	38	12	63	42	11	108	99	3
665	8	3	3	56	57	3	3	2
666	53	3	2	3	37	3	3	2
667	2	20	2	3	14	29	3	2
668	2	2	2	2	17	9	17	2
669	110	58	8	76	142	120	5	13
670	23	15	1	90	123	46	85	1
671	3	20	2	3	124	19	8	2
672	88	71	58	59	108	94	81	36
673	2	6	6	3	150	3	3	2
674	8	6	23	9	14	29	3	2
675	26	6	2	7	10	29	9	2
676	83	3	2	2	125	29	3	2
677	9	6	2	2	14	3	3	2
678	2	3	2	3	6	15	8	2
679	83	8	26	7	118	123	2	2
680	27	6	2	4	2	30	105	2
681	27	18	2	2	10	124	9	2
682	89	3	12	24	24	9	3	2
683	3	25	6	91	115	89	3	2
684	17	17	12	9	8	3	8	2
685	3	3	2	4	109	125	17	2
686	3	3	55	2	29	15	8	2
687	3	3	2	2	57	29	3	2
688	8	3	2	3	15	3	3	2
689	88	80	7	77	11	12	81	3
690	2	25	2	3	151	22	3	2
694	23	4	71	12	25	24	20	11
695	3	17	2	2	3	3	3	2
698	116	100	72	99	153	134	113	45
699	118	102	74	101	156	136	113	46
701	117	103	73	100	155	135	113	45
704	119	103	77	100	155	139	115	45
705	120	104	76	104	159	135	113	49
706	116	100	72	99	160	134	113	45
707	116	104	78	105	161	140	116	50
708	116	105	77	99	155	135	113	45
709	121	106	75	99	162	141	115	51
710	121	107	79	101	162	141	113	51
711	121	106	79	101	162	141	113	51
712	122	108	75	100	163	142	113	52
713	123	104	76	106	159	135	113	49
714	119	103	80	100	157	137	115	45
715	124	109	81	107	164	143	113	47
716	122	110	82	108	162	144	114	51
717	121	111	79	99	162	145	116	51
718	122	111	79	99	165	142	116	51
719	125	100	80	109	153	141	113	47
720	121	103	73	100	157	142	113	53
721	126	109	83	110	166	146	113	54
722	127	111	84	99	162	135	115	51
723	122	100	80	109	153	141	113	50
724	122	112	75	111	167	142	114	55
725	116	113	82	112	162	144	117	56
726	121	111	79	99	168	141	114	51
727	125	100	80	113	153	141	113	47
728	121	102	74	101	156	147	113	46
729	114	113	76	114	153	147	118	51
730	121	111	80	99	162	141	116	51
731	122	100	80	109	153	141	113	45
732	119	103	73	100	157	137	113	45
733	128	114	74	115	153	148	113	57
734	117	113	85	114	169	135	114	58
735	129	113	82	112	162	144	117	51
736	118	102	74	101	156	147	113	46
737	121	113	86	114	159	147	113	51
738	121	103	73	116	157	137	115	45
739	130	113	85	114	169	140	114	59
740	131	103	73	100	157	137	115	45
741	127	115	74	99	170	141	116	60
742	132	103	73	100	157	137	115	45
743	122	100	87	100	153	141	113	47
744	133	100	88	97	155	135	115	61
745	122	113	82	112	162	144	117	51
746	121	115	77	117	169	139	113	46
747	114	104	75	117	166	149	115	45
748	121	116	75	118	171	142	113	46
749	134	111	84	99	172	142	119	59
750	121	111	79	99	162	145	114	51
751	131	114	74	115	153	135	114	57
752	117	103	73	100	159	135	113	45
753	133	100	88	97	155	135	114	61
754	117	103	77	100	173	139	114	45
755	122	100	76	119	174	142	113	45
756	121	111	79	114	172	141	113	59
757	119	103	73	100	157	150	115	45
758	135	117	88	100	153	151	115	62
759	131	114	74	115	153	148	113	57
760	133	100	75	100	155	135	113	61
761	117	103	73	100	155	135	113	59
763	120	118	76	106	159	135	113	49
764	121	106	84	121	153	136	113	46
765	137	119	74	100	153	151	120	64
766	117	103	73	100	159	152	121	45
767	121	120	76	100	155	142	115	45
768	121	111	79	99	176	135	113	65
769	133	114	74	115	153	148	113	57
771	121	112	75	122	178	139	114	67
772	121	121	74	123	179	147	113	46
774	140	103	73	99	155	135	115	45
775	121	111	90	99	165	141	116	51
776	121	113	75	119	169	139	113	46
777	121	106	84	99	162	135	113	51
778	121	123	91	124	180	142	114	69
779	121	104	76	120	162	141	113	45
780	141	117	88	100	153	135	113	62
781	121	124	82	125	181	135	113	62
782	121	111	84	99	172	147	113	59
783	116	106	73	105	161	148	116	47
784	128	119	74	100	153	151	122	62
785	117	103	73	100	182	135	115	45
786	127	102	74	119	183	147	115	70
787	142	103	92	99	184	151	115	62
788	143	106	78	126	161	140	116	71
789	114	108	75	127	185	144	123	69
790	137	119	74	100	153	151	120	60
791	116	100	72	99	166	154	113	45
792	122	117	88	100	153	151	114	62
793	116	100	72	99	166	134	113	45
794	121	113	75	125	159	142	113	51
795	137	119	74	100	153	151	120	62
796	144	125	74	128	166	146	124	72
797	114	114	93	99	186	135	114	51
798	114	112	75	97	153	132	111	45
799	117	103	73	100	157	135	113	47
801	114	126	76	97	162	155	113	46
802	121	127	95	129	187	139	113	73
803	146	128	96	117	188	135	113	74
804	117	103	75	100	189	141	115	45
805	145	103	73	100	157	156	115	45
806	121	106	84	99	162	135	115	51
807	121	129	78	130	156	140	116	47
808	127	111	84	99	162	135	113	51
809	147	103	73	100	166	135	115	45
811	121	111	79	99	176	135	113	51
812	149	123	74	131	180	142	114	51
813	133	103	77	132	166	140	125	59
814	119	103	73	100	157	137	115	51
815	117	103	75	100	175	135	113	66
816	146	128	75	117	191	142	113	69
817	150	100	75	103	177	138	113	45
818	121	115	77	117	192	139	113	46
819	119	103	73	100	157	137	115	45
823	152	104	75	134	170	139	113	50
824	121	131	84	99	153	136	113	46
825	151	130	97	133	193	157	126	75
826	127	111	84	99	162	135	115	45
828	120	104	76	106	159	142	113	49
829	114	106	75	135	170	135	114	60
830	114	106	75	136	170	135	114	60
831	125	100	80	113	153	141	113	46
832	151	130	97	137	193	157	126	75
833	153	132	98	138	195	158	127	77
834	122	98	75	126	167	142	114	60
835	133	122	95	129	159	139	113	73
836	133	133	95	129	159	139	113	73
837	154	98	77	99	196	142	114	60
838	135	106	76	117	197	151	113	64
839	122	108	74	115	153	148	114	57
840	125	111	84	99	162	135	115	51
842	116	100	72	99	198	134	113	45
843	117	100	72	99	166	134	116	45
844	121	114	74	115	153	148	113	57
845	122	112	77	119	167	160	114	60
846	121	111	84	99	172	140	119	59
847	116	133	72	97	160	134	113	45
848	131	100	77	99	153	134	113	45
849	121	111	84	99	153	142	119	59
850	117	103	75	100	155	161	115	45
851	122	113	76	119	174	142	113	45
852	127	111	84	99	162	135	115	66
853	117	124	75	99	199	143	113	45
854	122	98	77	140	188	141	114	46
855	38	59	8	40	92	76	61	10
857	3	20	2	3	124	19	3	2
858	34	91	3	2	20	3	3	2
859	8	19	12	2	50	66	2	2
860	155	134	19	141	200	162	128	78
862	156	136	100	142	201	163	129	79
908	159	3	2	3	57	3	3	2
909	53	3	2	3	204	3	3	2
910	160	132	102	144	206	167	133	80
