ST	RIRDC_adk	RIRDC_est	RIRDC_pmi	RIRDC_zwf	RIRDC_mdh	RIRDC_gdh	RIRDC_pgi	clonal_complex
67	1	42	10	1	1	1	16	
68	21	33	26	4	17	20	42	
69	21	40	34	31	14	11	41	
70	7	11	9	10	4	7	40	ST13
71	21	24	35	21	7	22	39	
72	14	10	36	19	8	3	20	ST50
73	24	41	11	32	3	2	6	ST225
74	22	13	8	29	8	3	31	ST74
75	22	13	8	29	18	3	31	ST74
76	4	43	28	3	12	1	27	
77	1	18	18	8	12	1	11	ST30
78	1	3	23	1	1	12	3	
79	26	11	9	10	4	7	8	ST13
80	7	11	40	10	4	7	8	ST13
81	26	11	9	10	1	7	8	ST13
82	26	11	9	10	22	7	8	ST13
83	7	11	9	10	22	7	8	ST13
84	26	11	9	10	17	7	8	ST13
85	7	11	9	10	17	7	8	ST13
86	7	11	9	10	11	7	8	ST13
87	7	11	9	10	8	7	8	ST13
88	26	48	40	10	4	7	8	
89	22	13	38	29	4	7	31	
90	28	26	29	35	4	8	36	
91	4	43	28	3	4	1	27	
92	21	47	17	28	8	24	45	
93	21	47	17	28	4	24	45	
94	21	47	17	28	7	24	45	
95	21	47	17	28	20	24	45	
96	23	44	39	36	20	23	43	ST203
97	30	44	39	36	20	23	43	ST203
98	23	44	39	36	4	23	43	ST203
99	21	15	17	28	4	21	44	
100	27	15	17	28	21	21	29	
101	27	15	17	28	8	21	29	
102	21	15	17	28	8	19	29	ST131
103	21	15	17	28	4	19	29	ST131
104	27	46	17	28	4	21	44	
105	4	29	15	26	20	11	4	ST58
106	22	13	8	29	4	3	31	ST74
107	1	5	37	1	1	1	46	
108	1	5	37	1	20	1	46	
109	11	8	16	7	15	6	8	
110	11	8	16	7	19	6	8	
111	11	8	16	7	20	6	8	
112	21	34	28	22	20	8	30	ST156
113	21	34	28	22	21	8	30	ST156
114	21	45	2	2	15	20	20	
115	21	33	26	2	1	20	20	ST129
116	4	24	25	25	19	2	21	ST158
117	1	20	10	1	15	1	16	ST171
118	22	13	8	30	15	3	31	ST74
119	7	11	40	10	1	7	8	ST13
120	29	24	35	21	7	22	39	
121	7	11	9	10	12	7	8	ST13
122	23	37	21	17	4	2	17	ST122
123	22	50	42	37	4	25	49	
124	2	17	7	9	7	3	8	
125	24	36	28	33	14	8	34	
126	24	36	44	33	14	8	34	
127	23	39	41	17	4	2	48	ST122
128	3	4	3	38	4	2	30	ST128
129	21	33	26	2	17	20	20	ST129
130	21	33	26	4	24	20	42	
131	21	15	17	28	21	19	29	ST131
132	21	15	17	28	20	19	29	ST132
133	4	49	43	39	23	3	47	
134	4	51	45	18	11	26	2	
135	26	11	9	10	25	7	8	ST13
136	22	13	29	29	8	7	31	
137	27	15	17	34	20	21	33	
138	4	29	15	40	11	11	4	ST58
139	14	10	20	41	8	3	20	ST50
140	2	2	2	2	11	2	2	
141	6	10	8	9	8	3	31	
142	1	42	16	1	26	27	50	ST142
143	4	38	30	42	14	2	37	
144	1	3	23	23	1	1	3	
145	15	26	29	3	7	8	52	
146	14	10	20	19	8	29	20	ST50
147	23	39	17	17	4	2	41	
148	22	13	46	29	8	3	31	ST74
149	7	11	9	10	4	30	8	ST13
150	14	10	20	19	8	3	53	ST50
151	14	10	20	43	8	3	20	ST50
152	7	11	9	10	4	31	8	ST13
153	16	5	33	1	1	6	11	ST154
154	16	20	33	1	1	6	11	ST154
155	1	3	23	1	1	12	11	
156	21	34	28	22	22	8	30	ST156
157	1	3	16	23	1	14	3	
158	4	24	47	20	11	2	21	ST158
159	25	4	3	44	4	2	4	
160	31	52	12	2	4	32	54	
161	4	5	15	26	27	11	4	
162	23	39	41	17	4	2	17	ST122
163	4	26	48	45	28	13	55	
164	2	43	48	46	7	13	56	
165	1	42	16	23	26	27	50	ST142
166	1	42	16	26	26	27	50	ST142
167	14	10	20	19	8	28	20	ST50
168	5	8	6	8	1	6	8	
169	1	5	16	1	26	27	50	ST142
170	1	3	23	23	1	12	11	
171	1	20	16	1	1	1	16	ST171
172	14	10	20	19	8	3	35	
173	27	15	17	28	20	21	33	
174	1	15	17	28	20	3	29	ST132
175	27	15	17	28	20	3	29	ST132
176	2	7	5	2	4	5	7	ST9
177	16	20	33	26	1	6	11	ST154
178	20	31	10	27	16	17	28	
179	2	33	16	6	4	5	57	
180	32	43	49	49	29	2	30	
181	33	13	50	47	11	3	58	
182	34	53	51	48	5	3	59	
183	12	5	23	1	26	33	32	
184	16	54	10	26	1	33	16	
185	38	13	8	51	8	3	31	
186	37	57	32	53	9	35	38	
187	36	56	52	52	30	3	27	
188	35	55	53	50	4	34	47	
189	39	11	9	10	4	7	8	ST13
190	22	13	9	30	4	7	8	
191	7	13	8	30	8	3	31	ST74
192	22	13	8	30	4	3	31	ST74
193	7	13	9	30	4	3	31	
194	31	8	8	29	4	30	53	
195	1	10	20	19	8	3	20	ST50
196	7	11	9	10	4	29	8	ST13
197	22	11	18	10	23	29	8	
198	40	58	29	29	23	36	60	
199	1	42	16	1	4	33	62	
200	19	59	26	54	31	3	61	ST200
201	21	33	26	2	17	20	35	ST129
202	2	60	54	44	28	3	61	
203	23	44	39	36	15	23	43	ST203
204	2	11	5	6	4	5	7	ST9
205	3	4	3	38	7	2	30	ST128
206	22	13	8	29	8	7	31	ST74
207	4	29	15	26	11	11	18	ST58
208	21	15	17	28	20	3	29	ST132
209	21	61	55	55	14	3	63	
210	24	41	56	1	3	2	6	ST225
211	1	62	33	1	1	6	64	
212	6	63	57	56	4	8	47	
213	1	62	58	1	1	6	64	
214	4	19	12	57	5	13	17	
215	1	64	19	58	1	6	11	
216	2	65	59	59	32	2	2	
217	14	10	20	19	8	37	20	ST50
218	7	11	60	10	4	7	8	ST13
219	7	66	9	10	4	7	40	ST13
220	41	40	61	53	33	8	66	
221	42	67	27	54	31	3	65	
222	43	68	62	19	3	38	67	
223	6	67	2	60	15	3	41	
224	44	69	29	61	7	2	8	ST224
225	24	41	56	32	3	2	6	ST225
226	2	27	5	6	4	5	7	ST9
227	4	69	29	61	7	2	8	ST224
228	2	76	5	6	4	5	7	ST9
229	45	6	12	17	4	25	8	ST229
230	45	6	12	17	7	25	8	ST229
231	46	33	26	2	17	20	20	ST129
232	10	14	14	13	10	46	14	ST23
233	1	70	18	8	12	12	11	ST30
234	36	71	25	62	12	2	17	
235	4	72	28	63	11	3	68	
236	4	29	15	26	11	39	4	ST58
237	1	18	18	8	34	12	11	ST30
238	1	21	33	8	1	6	11	
239	12	22	19	8	1	12	18	ST37
240	2	24	6	38	35	3	69	
241	19	59	3	54	31	3	61	ST200
242	1	21	33	1	1	6	11	
243	2	73	29	38	5	40	17	
244	2	73	29	38	5	40	70	
245	42	74	63	64	14	8	71	
246	1	22	19	1	1	12	18	ST37
247	1	18	18	8	1	12	11	ST30
248	1	5	23	1	1	1	32	
249	1	18	18	1	36	12	11	
250	1	18	18	5	36	12	11	
251	1	5	23	1	1	41	16	
252	4	5	2	5	5	33	5	ST8
253	1	20	16	5	7	1	5	
254	36	4	29	38	22	42	69	
255	19	30	26	65	7	11	4	
256	1	21	33	5	1	6	11	
257	19	59	26	54	31	3	7	ST200
258	1	20	18	8	12	12	11	ST30
259	12	22	19	63	1	12	18	ST37
260	19	75	26	66	4	43	72	
261	4	71	25	62	11	42	73	
262	33	13	18	47	11	3	58	
263	1	20	16	1	7	44	16	ST171
264	1	27	23	1	1	6	11	
265	4	77	64	68	14	47	41	
266	35	11	63	67	14	48	75	
267	47	78	65	50	5	3	76	
268	35	79	66	69	37	8	77	
269	4	80	67	33	5	8	67	
270	1	42	10	2	1	1	16	ST171
271	4	5	2	5	5	10	5	ST8
272	1	19	23	23	1	33	46	
273	11	8	16	7	11	6	8	
274	1	5	10	58	1	45	74	
275	1	59	16	21	1	1	16	ST171
276	1	5	23	23	1	1	78	
277	48	81	63	8	7	3	61	
278	4	24	47	70	11	2	21	ST158
279	4	24	47	71	11	2	21	ST158
280	21	82	26	2	17	20	20	ST129
281	12	7	5	58	1	12	79	
282	21	33	26	72	17	3	42	
283	2	83	68	59	4	49	26	
284	2	60	54	44	38	2	61	
285	1	42	69	20	1	1	21	
286	22	64	70	9	5	50	80	
287	4	61	43	72	4	3	47	
288	22	6	12	17	4	25	8	ST229
289	49	6	12	17	4	25	8	ST229
290	50	6	12	17	4	25	8	ST229
291	1	20	71	17	1	1	11	
292	23	39	21	17	4	2	17	ST122
293	51	10	20	73	8	3	20	
294	2	7	5	6	39	5	7	ST9
295	22	13	72	29	8	5	31	
296	14	10	73	73	8	3	20	
297	35	23	63	67	40	43	75	
298	35	11	63	67	40	43	75	
299	35	11	63	67	14	43	75	
300	2	7	5	6	4	3	7	ST9
301	2	7	56	6	4	5	7	ST9
302	22	13	72	29	8	3	31	ST74
303	24	41	56	32	1	2	6	ST225
304	51	10	20	6	8	5	20	ST50
305	14	10	20	73	8	3	20	ST50
306	4	84	74	8	15	51	81	
307	23	82	18	8	17	46	11	
308	45	10	20	19	1	2	8	
309	7	37	21	10	4	7	8	ST13
310	14	7	5	6	4	5	7	ST9
311	2	10	20	19	8	3	20	ST50
312	2	4	3	38	4	2	30	ST128
313	14	10	5	19	8	3	20	ST50
314	1	54	23	1	1	6	83	ST30
315	1	18	18	8	41	12	11	ST30
316	33	85	16	16	1	50	80	
317	4	5	2	5	5	52	5	ST8
318	4	5	16	5	5	3	5	ST8
319	3	4	3	38	4	2	18	ST128
320	21	15	17	74	21	19	29	ST131
321	23	44	39	36	15	53	43	ST203
322	23	37	21	17	4	54	17	ST122
323	30	44	39	36	15	23	43	ST203
324	27	15	17	28	19	21	29	ST131
326	2	6	7	4	6	56	8	ST124
327	22	13	75	29	8	3	31	ST74
328	7	11	9	10	4	55	8	ST13
329	2	6	7	75	6	3	8	ST124
330	1	5	16	3	12	1	27	
331	4	20	75	6	4	5	7	
332	1	7	16	23	7	1	16	ST30
333	1	20	16	23	7	1	16	ST30
334	12	22	19	23	1	12	18	ST37
335	1	42	10	23	1	1	16	ST30
336	4	4	28	3	12	1	27	
337	11	20	23	23	1	33	16	ST30
338	21	15	17	28	20	21	82	ST131
339	16	7	5	6	4	5	7	ST9
340	1	21	18	23	1	6	9	
341	4	77	64	68	14	47	25	
342	21	33	77	2	17	57	20	ST129
343	16	5	16	23	1	6	16	
344	21	5	76	76	5	2	84	
345	2	23	5	19	4	5	7	ST9
346	2	11	5	19	4	5	7	ST9
347	41	53	35	64	4	3	13	
348	22	13	78	29	8	3	31	ST74
349	22	13	38	29	8	7	31	ST74
350	14	11	20	19	4	3	20	ST50
351	4	5	23	1	5	6	14	
352	53	86	23	58	42	58	85	
353	53	86	23	1	42	58	85	
354	9	19	12	57	5	13	17	
355	31	52	12	2	5	13	54	
356	31	9	7	8	7	3	9	ST124
357	1	3	16	1	1	14	3	ST30
358	14	42	16	8	5	47	11	
359	16	64	16	1	1	12	11	
360	1	20	10	1	1	1	31	ST30
361	21	24	35	21	7	22	84	
362	4	51	28	3	12	1	27	
363	4	5	10	1	1	12	11	ST30
364	1	42	23	1	1	1	32	ST30
365	1	5	23	1	1	1	11	
366	54	87	79	1	42	59	86	
367	21	63	63	38	16	6	41	
368	21	63	63	38	15	6	41	
369	22	13	8	78	8	3	31	ST74
370	56	88	80	77	4	61	87	
371	22	13	8	29	43	3	88	ST74
372	1	89	10	23	1	1	89	ST30
373	55	8	16	7	11	6	8	ST273
374	57	86	23	79	44	58	90	
379	22	13	8	51	8	3	31	ST74
380	2	17	9	9	7	3	8	ST124
381	59	10	20	43	8	3	20	ST50
382	4	42	16	8	46	47	31	
383	7	11	9	10	47	7	8	ST13
384	22	90	8	51	8	3	91	ST74
385	6	91	8	9	8	3	31	ST141
386	2	6	7	80	6	3	8	ST124
387	2	17	7	9	7	62	8	ST124
388	2	7	81	6	4	5	7	ST9
389	14	10	20	19	45	3	20	ST50
390	58	17	7	8	7	3	8	ST124
391	2	6	82	4	6	4	6	
392	2	17	7	9	7	63	8	ST124
393	27	46	17	28	20	21	44	ST131
394	2	6	7	4	4	3	8	ST124
395	23	92	29	81	48	64	64	
396	2	2	2	2	2	2	92	ST2
397	2	93	7	4	4	3	8	ST124
398	2	17	7	9	4	3	8	ST124
399	54	31	65	79	15	58	90	
400	6	13	13	4	9	2	68	
401	10	5	33	79	42	10	14	
402	36	4	28	57	5	2	8	
403	2	7	6	2	4	5	7	ST9
404	22	63	8	52	8	3	31	ST74
405	21	24	65	7	14	2	68	
406	15	26	29	3	7	8	90	
407	12	5	23	1	26	33	17	
408	25	4	3	44	4	2	11	ST128
409	4	5	12	5	5	3	5	ST8
410	4	51	76	76	5	2	84	
411	4	3	15	26	11	39	4	ST58
412	21	80	53	48	37	8	4	
413	35	13	28	18	29	42	73	
414	4	5	2	5	1	1	60	ST8
415	35	13	28	8	5	8	61	
416	1	9	23	1	1	6	83	ST30
417	4	72	65	26	5	2	5	
418	36	72	45	38	22	42	69	
419	57	19	23	1	1	33	46	
420	2	19	29	21	14	2	4	
421	12	22	33	1	1	12	18	ST37
422	4	5	23	5	5	3	5	ST8
423	2	7	20	6	4	5	7	ST9
424	22	7	8	29	8	65	31	ST74
425	2	7	5	6	49	5	7	ST9
426	22	13	8	29	8	65	31	ST74
427	2	7	5	6	4	66	7	ST9
428	2	11	5	6	4	5	93	ST9
429	2	13	13	4	6	8	94	
