ST	glp	gyrB	mdh	metG	purM	dtdS	lysA	pntA	pyrC	tnaA	clonal_complex
77	16	3	32	34	32	8	45	1	42	7	
78	5	1	4	4	4	29	20	10	31	7	
79	5	30	8	30	23	8	9	30	43	7	
80	41	1	33	1	30	51	46	37	29	7	
81	40	35	8	35	1	52	34	36	44	13	
82	15	16	34	36	1	5	19	20	4	2	
83	5	3	35	14	14	7	2	38	22	13	
84	36	3	3	10	30	41	9	10	8	7	
85	40	35	5	35	1	52	43	36	44	17	
86	5	36	36	4	4	53	37	17	29	7	
87	22	1	37	1	26	29	20	10	43	7	
88	5	24	18	5	34	49	2	10	45	7	
89	42	1	38	25	35	54	48	1	46	35	
90	28	3	22	1	26	39	49	39	3	36	
91	3	37	39	25	36	49	50	1	43	35	
92	43	1	40	1	37	55	48	10	47	7	
93	5	3	3	14	14	56	41	40	43	37	
94	43	1	12	37	23	39	51	10	48	38	
95	5	3	8	38	38	8	9	1	10	7	
96	5	27	3	1	1	20	32	1	43	7	
97	5	1	36	39	39	57	52	41	45	17	
98	5	36	36	4	4	53	37	1	29	7	
99	43	37	41	37	8	22	4	39	14	38	
100	13	14	15	7	9	34	6	15	19	39	
101	33	2	2	2	3	2	51	5	46	40	
102	9	7	11	24	8	57	52	11	12	41	
103	49	40	44	2	8	22	58	5	11	50	
104	46	39	39	38	25	59	54	29	13	11	
105	33	28	11	2	3	2	17	13	51	25	
106	47	14	11	23	8	55	53	23	17	41	
107	8	8	10	7	8	58	6	22	5	45	
108	8	38	10	3	9	22	33	15	50	44	
109	45	2	20	2	9	60	26	20	17	43	
110	38	1	12	31	27	23	36	1	48	47	
111	51	42	41	41	8	22	4	42	14	48	
112	2	2	2	3	3	65	4	5	5	25	
113	50	8	10	7	9	22	33	9	5	30	
114	47	41	11	23	8	64	59	5	14	49	
115	12	40	14	13	12	4	41	1	13	11	
116	49	2	44	7	8	22	57	15	5	50	
117	33	2	2	2	3	2	62	5	53	40	
118	4	13	14	29	25	63	41	32	35	46	
119	1	3	32	5	2	62	3	4	52	7	
120	7	7	12	9	8	21	11	43	7	18	
121	9	7	11	24	8	61	56	11	12	41	
122	48	11	43	24	8	22	63	13	12	42	
123	46	39	42	40	25	59	54	29	13	11	
124	47	14	11	23	8	64	53	23	17	41	
125	34	13	14	13	25	27	61	29	13	30	
126	8	8	10	3	9	22	55	15	49	44	
127	8	8	10	3	8	22	55	15	49	44	
128	12	13	14	13	12	4	41	1	13	11	
129	33	13	2	2	3	2	62	5	53	40	
130	32	13	12	9	12	24	41	1	13	19	
131	7	7	9	13	8	21	11	8	7	18	
132	49	40	44	7	8	22	57	15	5	50	
133	13	14	15	7	9	34	6	15	14	14	
134	8	8	10	7	8	58	1	22	5	45	
135	34	13	14	13	25	27	41	29	13	11	
136	6	6	2	12	7	15	12	7	9	15	
137	28	1	45	25	42	66	35	44	54	7	
138	32	13	14	42	43	67	61	1	13	11	
139	6	31	2	24	7	19	22	27	9	29	
140	19	43	46	12	40	22	12	27	56	51	
141	47	26	10	23	9	68	53	5	55	45	
142	52	44	11	23	8	34	60	25	5	52	
143	53	26	2	7	8	69	64	45	56	18	
144	47	14	2	7	41	19	17	46	57	30	
145	1	3	45	1	51	29	3	31	69	7	
146	1	46	32	25	53	72	9	50	70	61	
147	5	14	11	23	9	64	75	22	55	18	
148	5	30	33	8	1	8	9	1	10	20	
149	5	3	58	51	30	41	80	4	29	65	
150	5	36	57	4	25	25	77	17	29	7	
151	9	50	48	22	47	35	68	54	12	50	
152	9	42	2	49	40	82	12	13	64	64	
153	16	18	54	1	53	29	2	55	16	13	
154	19	2	2	22	9	83	12	13	12	62	
155	19	2	13	22	9	82	12	13	12	62	
156	19	26	45	1	13	29	3	4	3	7	
157	19	26	49	48	13	73	69	53	58	41	
158	19	11	2	22	9	81	4	13	63	56	
159	20	1	22	46	25	70	71	52	73	33	
160	26	23	18	24	8	71	14	13	12	8	
161	28	1	18	4	21	25	20	26	29	59	
162	32	34	18	5	4	49	2	10	71	7	
163	38	1	12	31	27	29	2	1	16	13	
164	39	48	56	33	52	26	70	34	71	7	
165	42	1	50	25	35	48	70	1	72	35	
166	44	47	60	45	45	78	74	51	59	60	
167	44	1	55	4	46	70	36	47	62	57	
168	44	1	52	52	53	76	36	1	61	55	
169	44	51	52	52	53	76	36	1	61	55	
170	54	1	12	4	46	74	81	48	66	7	
171	55	1	4	5	30	66	42	10	37	53	
172	56	1	33	1	50	80	73	4	69	7	
173	57	48	33	39	4	29	44	24	12	53	
174	57	48	2	39	4	29	44	24	67	53	
175	58	1	50	50	49	39	68	1	44	63	
176	58	1	50	50	49	39	79	1	44	63	
177	59	1	51	4	23	8	9	1	43	58	
178	59	1	51	4	23	8	9	1	43	7	
179	60	45	59	25	49	48	73	28	3	33	
180	61	1	33	47	44	75	76	4	60	53	
181	61	1	33	47	44	75	78	4	60	53	
182	61	1	32	47	44	75	67	4	60	53	
183	62	18	32	10	23	79	67	24	43	33	
184	63	1	47	43	22	41	76	56	29	54	
185	63	1	58	43	22	26	66	34	71	31	
186	64	49	33	9	48	34	65	49	68	15	
187	65	1	53	44	14	77	72	51	65	17	
188	19	2	2	22	9	83	12	13	44	62	
189	62	18	33	10	23	79	67	24	43	33	
190	32	53	65	56	36	88	88	59	75	13	
191	40	35	51	35	1	52	34	36	44	70	
192	5	30	32	8	1	8	89	1	10	7	
193	5	30	8	8	39	84	9	1	76	7	
194	3	48	66	57	4	89	85	60	67	53	
195	58	1	50	50	49	39	79	4	44	63	
196	66	54	57	25	4	90	86	61	43	37	
197	5	55	4	58	55	29	29	62	16	71	
198	3	48	67	57	4	89	85	60	67	53	
199	1	1	32	53	54	91	9	24	40	72	
200	1	1	68	53	54	91	9	24	40	72	
201	16	56	54	5	36	26	2	1	43	7	
202	60	54	69	52	44	92	87	63	43	66	
203	60	54	69	52	44	92	79	63	43	66	
204	5	1	69	1	1	93	83	57	74	7	
205	3	52	61	5	4	66	79	10	71	67	
206	5	1	62	1	1	93	83	57	74	7	
207	5	53	32	54	21	85	79	10	73	7	
208	36	34	18	5	34	86	2	58	71	7	
209	16	4	4	55	4	87	79	10	43	68	
210	22	21	63	19	20	66	29	1	43	13	
211	67	4	4	5	4	29	84	1	43	13	
212	22	21	63	19	20	66	29	1	3	13	
213	68	45	64	25	21	29	9	10	71	69	
214	3	3	3	4	4	30	20	1	1	35	
215	13	14	2	24	8	5	26	5	17	25	
216	45	14	17	7	8	13	1	21	17	16	
217	12	39	42	29	57	27	41	77	13	11	
218	8	8	10	3	9	115	55	15	49	44	
219	70	57	2	9	8	97	4	6	78	73	
220	4	58	12	13	12	24	92	1	13	19	
221	80	43	2	24	58	69	93	64	79	51	
222	28	54	22	25	24	39	70	36	43	7	
223	49	40	44	24	8	107	6	65	5	50	
224	47	14	2	7	8	19	33	15	5	74	
225	44	1	37	59	25	98	106	1	23	7	
226	4	13	42	42	23	67	103	13	13	11	
227	7	23	2	22	8	22	4	66	56	18	
228	71	12	2	41	8	22	69	67	56	73	
229	19	61	73	60	65	100	96	80	12	76	
230	72	60	2	24	9	22	12	13	84	18	
231	19	42	13	12	8	22	104	21	7	49	
232	24	23	70	12	9	35	12	68	80	30	
233	19	61	2	60	65	100	96	80	11	76	
234	19	42	13	62	40	82	12	13	64	15	
235	7	11	11	22	59	94	65	69	12	51	
236	8	62	2	2	13	19	75	9	5	18	
237	73	15	16	7	9	35	91	13	33	9	
238	9	23	11	24	8	96	56	11	12	9	
239	74	11	2	22	60	103	12	20	81	50	
240	19	61	73	60	65	100	96	80	11	76	
241	35	63	3	25	25	105	114	36	43	77	
242	75	42	2	12	9	22	12	70	82	78	
243	76	64	2	60	8	106	98	13	83	79	
244	10	28	13	7	8	107	26	71	15	80	
245	47	14	17	17	8	44	18	21	4	9	
246	18	19	17	17	8	5	95	21	4	26	
247	71	23	2	12	61	22	113	7	26	62	
248	77	65	71	63	23	108	41	72	59	81	
249	71	66	44	64	59	109	100	69	11	82	
250	26	2	2	3	62	110	12	20	84	83	
251	47	14	11	61	8	99	53	23	17	41	
252	78	67	2	22	9	22	12	73	26	10	
253	52	28	11	23	8	34	60	21	5	52	
254	79	16	75	2	9	111	17	18	85	45	
255	80	23	9	12	63	111	64	74	9	84	
256	81	43	9	12	63	22	93	74	86	85	
257	13	14	15	40	9	40	6	25	5	4	
258	74	26	2	22	60	103	12	75	81	18	
259	17	68	73	22	65	112	112	25	11	18	
260	82	2	20	2	8	107	110	71	87	86	
261	47	12	74	22	8	2	6	76	50	87	
262	12	39	14	42	25	24	92	41	13	11	
263	4	13	14	7	25	27	61	77	13	11	
264	69	14	11	7	9	113	105	78	88	39	
265	8	41	10	3	9	114	33	15	49	44	
266	84	38	11	23	9	34	110	5	17	49	
267	4	13	42	42	23	67	61	13	13	11	
268	13	14	15	7	9	5	6	15	14	45	
269	8	8	10	3	9	115	17	15	49	44	
270	8	40	10	3	9	22	33	15	49	44	
271	47	41	11	23	8	64	59	5	5	49	
272	4	13	14	40	25	27	61	77	13	11	
273	8	8	10	3	9	115	41	15	15	44	
274	85	40	2	65	13	81	1	46	5	44	
275	18	14	11	2	3	116	62	5	53	25	
276	86	8	10	7	9	22	33	9	5	30	
277	49	40	44	2	8	22	58	5	5	50	
278	87	42	11	7	8	82	57	65	5	45	
279	47	69	46	7	3	107	108	79	5	88	
280	8	8	10	66	9	115	41	15	15	44	
281	4	13	14	29	43	24	109	32	13	11	
282	52	42	2	7	8	35	4	5	4	4	
283	45	2	20	2	8	60	26	20	17	43	
284	13	14	15	7	9	34	6	15	14	39	
285	58	1	59	50	49	39	35	1	44	63	
286	88	1	50	67	21	117	107	1	89	89	
287	47	14	11	61	8	64	53	23	17	41	
288	5	27	22	4	45	8	20	10	43	13	
289	5	3	32	68	21	39	115	4	42	75	
290	11	59	76	7	9	104	4	74	12	10	
291	58	1	8	14	30	101	2	82	71	53	
292	83	27	8	14	21	104	116	36	42	7	
293	5	63	3	25	1	8	2	36	10	7	
294	5	27	23	1	1	104	32	83	75	90	
295	36	3	78	69	64	102	106	1	69	33	
296	16	27	51	1	21	118	116	81	75	91	
297	59	1	12	4	25	120	41	1	48	7	
298	38	1	12	4	21	102	106	1	69	92	
299	59	1	8	10	1	39	9	1	43	58	
300	58	1	8	14	30	121	2	82	71	53	
301	89	3	22	4	45	29	32	1	59	90	
302	5	36	18	4	4	53	37	17	29	7	
303	90	1	8	70	66	122	9	84	90	93	
304	91	3	82	10	4	123	124	4	91	13	
305	22	1	22	4	23	75	117	28	3	57	
306	16	4	54	1	53	29	2	55	16	13	
307	36	18	87	25	1	124	32	26	73	37	
308	16	4	84	5	15	29	2	1	16	7	
309	92	27	83	1	53	125	123	87	3	94	
310	5	27	18	5	4	29	125	4	43	95	
311	59	3	79	5	53	104	32	1	75	90	
312	3	3	4	4	45	104	35	10	43	13	
313	92	27	57	1	53	125	123	87	3	94	
314	16	4	58	5	15	29	2	1	16	7	
315	28	3	22	1	26	39	49	28	3	36	
316	5	1	58	8	1	8	9	1	10	7	
317	40	35	51	35	1	26	126	34	71	7	
318	44	70	81	59	67	126	121	85	92	60	
319	44	71	60	31	25	70	127	1	48	47	
320	5	36	57	4	25	25	118	17	29	7	
321	40	3	38	71	1	52	34	36	94	7	
322	59	3	79	4	53	104	116	10	97	91	
323	93	1	12	4	68	108	122	51	93	96	
324	5	3	3	1	1	93	83	57	74	7	
325	59	3	79	4	4	104	32	1	75	7	
326	59	3	79	4	53	104	116	81	73	7	
327	5	1	3	25	1	93	119	57	98	61	
328	93	1	8	8	21	8	9	51	10	7	
329	94	56	85	10	25	104	42	83	69	7	
330	39	3	4	72	45	127	128	10	96	31	
331	92	27	86	73	69	8	107	86	95	97	
332	28	1	8	25	70	29	49	26	43	7	
333	95	72	32	74	53	127	2	26	43	98	
334	96	73	80	75	71	128	120	26	48	35	
335	22	3	22	19	20	29	2	36	3	7	
336	28	1	88	46	25	104	129	88	99	54	
337	44	1	12	4	25	120	41	1	48	7	
338	3	1	32	34	72	118	79	36	42	7	
339	97	1	89	25	1	127	73	26	43	13	
340	5	27	3	1	23	104	32	1	75	90	
341	35	21	22	1	26	29	20	10	43	7	
342	5	63	3	8	1	8	130	36	10	7	
343	5	35	90	76	21	129	116	88	97	99	
344	28	1	3	77	25	29	131	89	73	7	
345	90	1	8	70	66	122	9	84	96	13	
346	3	4	4	5	5	30	2	1	73	13	
347	44	1	12	37	23	39	51	10	48	38	
348	5	65	87	4	23	126	79	1	59	7	
349	44	1	12	54	23	118	79	58	23	36	
350	87	15	2	7	9	35	19	13	15	45	
351	22	48	22	5	20	139	137	1	3	7	
352	3	79	3	14	55	54	116	81	75	7	
353	59	3	79	5	53	118	116	81	105	7	
354	99	78	30	69	21	41	129	93	103	7	
355	8	15	16	7	9	35	19	13	17	9	
356	5	53	32	43	22	54	116	83	75	99	
357	11	77	93	24	10	136	68	20	9	18	
358	5	1	77	58	21	119	73	10	8	70	
359	36	3	4	79	45	133	89	36	43	20	
360	94	3	22	1	42	26	73	90	67	103	
361	28	3	3	43	53	132	79	4	100	7	
362	9	9	11	12	8	104	32	1	75	90	
363	28	3	4	56	45	7	128	10	18	7	
364	9	42	76	12	8	22	12	13	56	82	
