ST	fusA	gyrB	ileS	lepA	leuS
220	22	78	155	74	32
221	6	76	6	24	47
222	17	25	110	123	29
223	25	72	91	72	10
224	7	73	19	18	18
225	7	18	27	7	22
226	18	74	65	73	64
228	6	46	6	50	24
229	18	58	65	73	64
230	40	75	92	9	69
231	6	76	93	50	24
232	6	20	85	50	24
233	7	7	12	20	12
234	41	77	94	15	15
235	22	78	95	74	32
236	21	1	33	1	59
237	9	75	9	75	69
238	35	79	68	76	70
239	37	1	33	29	17
240	18	58	65	77	24
241	6	76	85	50	24
242	6	20	85	24	47
244	17	80	29	49	25
245	6	81	66	50	47
246	15	82	24	53	46
248	6	83	96	50	24
249	6	20	66	50	24
252	5	84	97	58	71
254	16	85	98	78	72
255	18	20	65	13	24
257	42	86	99	55	70
258	15	54	100	36	20
263	15	87	101	36	21
266	17	28	36	79	20
268	43	88	102	80	73
269	18	58	103	73	74
271	44	1	57	81	59
272	9	9	9	9	69
274	15	48	71	36	46
275	45	61	92	9	9
277	17	43	59	36	25
278	9	61	104	82	9
279	21	1	79	83	59
280	30	89	85	50	75
281	17	28	36	84	20
282	43	90	105	80	76
283	15	25	106	36	77
285	44	91	1	85	17
287	43	92	107	86	78
288	35	93	108	87	79
290	6	94	6	88	24
292	6	6	6	89	24
293	30	81	6	50	24
294	21	1	109	1	59
304	46	95	55	90	80
306	17	25	110	91	21
311	30	55	6	50	24
313	43	88	105	80	73
315	20	96	111	92	81
316	15	97	25	36	25
318	34	1	67	93	17
320	5	5	112	58	48
322	47	65	78	94	82
323	38	98	78	95	82
324	38	99	78	96	83
325	43	100	102	80	73
327	38	98	78	95	65
328	7	15	23	97	19
333	6	81	113	50	24
335	7	7	114	20	22
337	20	68	115	92	68
338	48	90	102	80	73
339	7	101	116	69	18
341	6	81	6	65	24
342	49	102	117	98	84
343	6	20	66	24	24
346	5	5	5	5	85
347	7	103	118	18	15
351	50	104	119	99	32
352	15	16	120	36	20
354	22	78	121	74	32
355	20	68	122	68	68
356	17	105	29	49	49
357	45	9	39	100	69
358	51	106	123	23	23
359	31	49	124	11	30
360	25	107	89	70	86
364	24	35	125	101	87
366	52	13	126	102	88
368	53	36	46	101	37
370	54	108	127	103	89
371	55	13	128	104	52
373	7	15	12	105	22
374	7	15	27	20	22
