ST	Cup_adk	Cup_aspA	Cup_atpA	Cup_glnA	Cup_glyA	Cup_pgi	Cup_tkt	clonal_complex
67	24	39	23	29	1	27	30	
68	1	40	1	13	25	22	26	
69	1	3	27	30	20	12	12	
70	13	29	1	31	35	14	4	
71	13	3	9	10	12	12	12	
72	8	38	1	11	1	12	22	
73	6	17	22	30	34	12	12	
74	13	3	9	1	12	12	12	
75	1	41	22	30	20	12	12	
76	1	3	22	30	20	12	12	
77	13	3	1	13	37	28	9	
78	13	3	1	28	20	28	9	
79	9	2	9	15	1	14	1	
80	13	42	1	13	1	14	4	
81	6	54	34	38	2	40	1	
82	7	45	1	33	9	29	1	
83	13	29	1	3	32	12	31	
84	10	13	10	32	12	12	1	
85	1	11	9	3	38	14	33	
86	25	43	24	27	33	30	32	
87	13	3	25	31	25	12	33	
88	1	40	26	13	1	22	26	
89	13	17	1	18	1	1	9	
90	26	29	1	31	35	12	26	
91	9	2	9	15	1	31	1	
92	13	3	1	28	20	12	9	
93	1	44	1	13	1	32	4	
94	18	3	22	30	20	12	26	
95	10	13	1	32	12	12	1	
96	17	45	1	33	9	12	1	
97	9	2	9	3	1	12	1	
98	7	45	1	33	9	12	1	
99	13	11	1	18	1	1	34	
100	27	3	1	3	20	33	35	
101	22	29	22	3	32	12	4	
102	29	52	2	1	39	12	2	
103	23	29	18	31	25	22	26	
104	1	29	1	31	35	12	26	
105	25	43	23	27	33	30	32	
106	18	46	15	13	21	3	23	
107	1	17	22	30	34	34	26	
108	13	3	9	31	12	12	33	
109	8	54	35	11	1	12	1	
110	1	29	18	34	25	22	26	
111	29	52	1	8	40	37	43	
112	7	45	23	33	36	12	1	
113	10	3	1	31	1	12	33	
114	27	47	1	33	9	35	1	
115	28	3	28	13	20	36	12	
116	30	48	29	1	39	12	1	
117	32	50	1	3	20	12	1	
118	10	3	9	35	12	12	12	
119	7	51	30	16	33	38	38	
120	1	33	1	13	1	1	4	
121	10	33	9	3	41	12	38	
122	29	52	1	8	40	37	1	
123	6	53	31	36	1	1	29	
124	33	52	1	8	40	37	39	
125	30	49	2	1	39	12	2	
126	29	52	1	8	40	37	40	
127	1	33	10	1	14	12	13	
128	31	54	30	1	13	12	41	
129	29	55	1	37	40	37	1	
130	34	11	1	36	42	12	1	
131	29	52	1	8	40	37	42	
132	29	12	30	1	13	37	41	
133	10	3	9	35	12	12	36	
134	6	15	9	10	33	12	12	
135	10	3	1	3	32	12	37	
136	1	44	1	13	10	12	4	
137	29	49	1	8	40	37	1	
138	1	44	1	13	1	12	4	
139	35	56	1	32	12	12	12	
140	18	57	32	2	44	16	1	
141	6	58	11	15	1	16	1	
142	36	59	33	37	43	39	44	
143	29	52	2	8	40	37	1	
144	33	52	1	8	40	37	1	
145	29	52	1	8	13	39	1	
146	6	54	34	38	40	40	1	
147	10	13	9	39	12	12	12	
148	4	23	5	5	6	6	6	
149	37	22	12	19	45	7	45	
150	19	9	5	7	5	6	18	
151	19	9	5	7	5	6	6	
152	4	9	7	21	5	6	46	
153	4	10	7	7	46	6	47	
154	4	60	12	19	18	6	48	
155	4	6	5	5	5	6	48	
156	10	61	1	40	13	12	49	
157	17	62	1	1	1	16	50	
158	1	63	36	30	39	41	51	
159	6	15	1	41	20	1	9	
160	9	64	1	13	1	12	4	
161	3	2	4	45	1	4	4	
162	38	79	22	30	20	12	1	
163	22	66	34	9	1	12	60	
164	10	3	1	42	33	13	52	
165	10	13	37	32	12	12	1	
166	10	3	1	1	33	13	52	
167	6	68	22	3	20	12	54	
168	13	13	1	28	33	12	12	
169	1	69	1	31	20	12	33	
170	10	3	1	1	33	13	12	
171	6	11	22	3	20	12	54	
172	6	70	22	3	20	12	54	
173	13	17	1	3	1	12	4	
174	10	15	38	43	39	12	58	
175	1	74	40	31	20	12	53	
176	1	3	39	31	1	12	1	
177	1	36	38	3	39	41	4	
178	1	29	1	31	35	22	26	
179	3	30	4	45	1	4	4	
180	1	71	38	31	39	12	33	
181	17	15	1	30	47	43	9	
182	17	73	1	9	9	12	4	
183	13	75	1	34	9	12	1	
184	38	3	22	43	20	12	1	
185	13	67	1	44	49	12	12	
186	1	78	10	43	39	12	58	
187	27	17	38	3	39	12	57	
188	1	36	38	13	39	12	4	
189	41	76	23	3	48	42	55	
190	13	12	1	44	49	12	12	
191	39	30	23	30	50	45	59	
192	10	29	18	31	39	22	26	
193	1	36	38	13	39	12	33	
194	1	11	1	46	9	12	4	
195	7	12	1	9	24	12	1	
196	1	77	1	31	35	12	26	
197	3	72	4	45	1	4	4	
198	1	36	11	13	1	12	4	
199	9	17	10	48	14	12	13	
200	10	3	1	31	35	4	33	
201	10	3	1	1	33	13	33	
202	8	65	1	47	1	44	10	
203	40	43	23	3	30	42	56	
204	6	64	1	28	1	12	12	
205	29	58	1	31	2	12	38	
206	1	15	1	18	11	1	1	
207	6	15	1	13	1	1	9	
208	6	15	22	28	20	1	4	
209	10	77	1	3	13	54	66	
210	6	66	1	54	3	55	10	
211	45	17	1	31	1	12	1	
212	1	15	1	53	11	1	1	
213	1	3	38	30	39	12	4	
214	54	102	56	68	64	67	80	
215	1	17	38	30	39	14	4	
216	1	36	38	63	39	28	4	
217	1	45	9	33	9	12	1	
218	7	3	40	28	20	12	33	
219	13	3	1	40	11	1	60	
220	55	11	1	9	9	68	4	
221	10	3	1	31	35	12	12	
222	1	36	1	3	1	12	1	
224	1	3	18	29	60	22	26	
225	1	3	38	30	39	12	33	
226	6	3	50	37	20	12	12	
227	6	13	1	28	33	12	12	
234	6	3	1	54	39	53	4	
235	6	3	22	13	20	12	12	
236	7	45	1	33	9	62	1	
237	8	12	1	10	1	12	9	
240	8	13	1	58	1	14	10	
241	9	87	1	48	14	12	52	
242	10	88	1	60	35	12	33	
243	10	90	1	10	12	12	12	
244	10	3	10	34	25	22	74	
247	10	29	49	31	20	12	76	
249	10	15	1	41	20	12	12	
251	10	3	48	56	35	12	1	
252	10	3	9	37	12	12	70	
253	10	36	1	61	1	12	1	
255	10	85	48	48	1	12	1	
257	10	15	1	41	20	57	12	
258	10	36	1	3	1	12	1	
259	10	3	1	34	25	22	74	
262	10	88	48	31	1	12	1	
263	10	96	1	3	1	12	1	
278	10	36	1	3	57	12	1	
280	10	89	22	29	12	12	1	
281	10	88	1	31	35	12	33	
283	10	17	22	37	12	12	1	
285	10	90	9	10	12	12	12	
287	10	88	48	31	35	12	33	
288	10	36	9	3	20	12	54	
289	10	18	48	31	1	12	1	
290	13	3	9	37	12	12	12	
294	13	15	10	67	14	12	12	
295	13	15	10	34	14	12	12	
297	17	101	4	64	1	53	54	
298	18	17	3	13	21	3	23	
299	18	36	1	3	1	12	1	
300	18	92	47	62	1	63	1	
301	18	92	1	62	1	63	1	
303	22	35	24	3	50	42	59	
304	36	30	10	66	50	45	13	
305	36	29	1	48	33	12	72	
307	36	97	23	55	58	58	69	
309	36	94	44	61	43	13	44	
310	36	98	45	61	43	13	44	
311	36	30	10	66	50	45	68	
312	46	3	42	30	20	56	1	
314	47	95	33	57	63	58	71	
317	47	93	33	57	63	58	71	
319	48	99	18	67	63	66	44	
321	49	14	1	60	62	61	79	
322	50	100	42	30	1	63	1	
323	51	99	23	29	58	64	8	
324	51	30	1	65	61	25	78	
325	51	30	23	65	61	60	73	
326	51	91	46	61	59	59	77	
327	51	39	33	61	43	13	44	
328	51	30	43	48	62	25	44	
329	52	86	23	66	50	65	67	
330	53	2	41	59	1	12	75	
