ST	atpD	fusA	glnS	gltB	gyrB	infB	pps	clonal_complex
196	55	17	9	98	58	56	125	
197	15	8	13	1	1	1	126	
198	3	8	3	3	18	46	127	52
199	15	8	13	94	99	98	126	
200	13	13	64	75	17	16	128	200
201	10	7	6	99	9	14	9	7
202	11	10	7	3	91	46	26	
203	5	1	3	3	18	5	4	4
204	61	13	25	7	101	14	130	
205	69	14	13	95	89	46	103	155
206	15	8	15	3	22	5	16	13
207	4	24	30	31	4	4	6	81
208	55	1	89	5	5	36	131	
209	3	37	15	100	102	101	133	
210	15	4	15	13	22	5	16	13
211	57	7	64	8	17	16	128	200
212	80	77	90	101	2	20	132	
213	23	63	78	102	83	102	114	
214	16	8	13	3	15	15	10	64
215	81	74	88	103	104	100	135	
216	79	76	91	104	105	104	136	
217	78	71	82	105	103	103	134	
218	5	1	3	106	5	5	4	4
219	69	8	13	95	86	105	47	
220	10	7	67	107	106	16	137	
221	11	78	7	5	8	106	138	
222	11	15	7	109	59	56	140	
223	20	10	30	108	107	20	139	
224	83	36	13	110	108	56	4	
225	15	8	39	36	38	107	47	
226	11	8	7	45	8	15	10	
227	82	70	81	113	97	94	143	
228	74	73	86	114	111	108	144	
229	73	71	92	115	112	109	145	
230	75	74	93	103	113	110	146	
231	77	73	94	111	109	111	141	
232	84	73	95	112	110	112	142	
233	10	37	9	3	115	56	126	
234	10	7	6	7	9	115	9	
235	5	18	45	3	5	5	4	
236	47	39	101	121	118	49	153	
237	47	39	101	122	118	49	4	
238	10	7	6	7	9	14	4	
239	85	23	69	123	119	16	57	
240	1	1	1	3	1	1	1	
241	5	1	3	1	5	1	4	
242	5	1	3	1	5	5	4	
243	19	16	19	41	120	15	23	
244	44	37	9	118	114	65	148	
245	16	8	9	32	21	113	149	
246	36	22	57	120	117	116	152	
247	64	7	67	75	17	41	97	
248	3	15	28	22	5	117	19	
249	15	8	13	94	99	118	126	
250	3	13	102	8	77	119	154	
251	36	22	57	124	46	18	156	
252	86	22	104	120	117	116	152	
253	88	89	106	125	123	122	158	
