ST	gatB	coxA	hcpA	ftsZ	fbpA	clonal_complex
241	168	147	174	134	126	
242	168	147	175	132	226	
243	168	147	177	132	226	
244	171	148	179	135	227	
245	169	146	173	134	126	
246	169	146	173	134	226	
247	169	146	174	132	126	
248	169	146	174	134	126	
249	169	146	175	132	125	
250	169	146	175	134	126	
251	169	147	173	132	226	
252	169	147	173	134	125	
253	169	147	173	134	126	
254	169	147	174	134	125	
255	169	147	178	134	126	
256	170	147	178	133	125	
257	82	147	174	132	125	
258	1	149	1	1	1	
259	1	1	1	136	1	
260	172	150	7	137	8	
261	7	6	7	138	8	
262	9	6	7	139	8	
263	176	8	180	7	9	
264	175	154	182	140	228	
265	177	8	182	7	229	
266	7	151	7	141	8	
267	9	150	181	142	230	
268	7	6	7	143	8	
269	174	150	181	142	230	
270	173	6	181	143	8	
271	9	150	7	142	4	
272	7	152	7	141	8	
273	9	153	181	144	230	
274	178	157	183	7	89	
275	179	155	184	145	17	
276	180	156	185	146	120	
277	53	159	186	75	36	
278	105	161	143	23	4	
279	186	162	190	149	233	
280	9	164	143	23	4	
281	184	163	40	106	235	
282	185	38	40	73	4	
283	184	163	40	106	237	
284	184	166	40	106	237	
285	205	84	68	169	62	
286	126	122	194	106	237	
287	126	122	13	106	237	
288	126	164	193	106	239	
289	204	15	218	6	17	
290	183	167	192	7	238	
291	9	165	191	106	4	
292	9	165	191	106	236	
293	9	38	191	23	4	
294	9	121	191	106	236	
295	9	38	143	150	4	
296	9	14	143	7	4	
297	16	14	40	73	4	
298	9	14	239	73	4	
299	39	14	40	7	197	
300	9	14	40	7	9	
301	39	14	40	7	9	
302	9	14	143	73	4	
303	9	126	148	7	201	
304	182	160	187	148	232	
305	9	38	189	36	4	
306	195	182	206	22	4	
307	167	26	209	15	27	
308	9	180	145	7	248	
309	193	48	188	158	249	
310	194	181	195	159	250	
311	9	66	88	102	189	
312	197	112	130	101	255	
313	198	186	211	161	256	
314	75	184	45	37	46	
315	196	20	45	37	251	
316	75	20	45	17	252	
317	19	20	22	37	20	
318	19	20	55	37	46	
319	19	20	207	43	253	
320	19	20	207	37	253	
321	19	20	208	43	253	
322	19	20	55	160	46	
323	75	20	45	17	46	
324	196	183	45	17	251	
325	196	183	45	17	254	
326	3	20	210	160	46	
327	19	20	210	160	46	
328	3	20	210	37	46	
329	199	1	214	1	1	
330	200	190	1	3	257	
331	1	1	1	162	1	
332	1	1	1	162	258	
333	1	191	1	1	1	
334	1	1	1	163	1	
335	1	1	1	164	1	
336	201	1	215	164	1	
337	1	1	1	165	1	
338	1	1	216	164	259	
339	202	192	1	1	1	
340	23	1	86	166	1	
341	1	1	217	1	260	
342	1	1	1	1	261	
343	1	1	1	167	262	
344	1	1	1	168	263	
345	203	1	1	1	264	
346	201	1	1	164	1	
347	3	185	210	37	46	
348	32	33	42	32	122	
349	187	169	204	6	241	
350	39	168	40	80	9	
351	84	57	196	153	240	
352	8	7	198	6	1	
353	9	170	159	22	9	
354	39	14	197	7	9	
355	32	172	42	154	122	
356	9	171	13	7	242	
357	39	173	6	106	27	
358	189	174	13	106	237	
359	9	170	200	124	244	
360	190	175	130	7	27	
361	16	14	201	73	4	
362	9	36	202	7	9	
363	20	176	47	156	51	
364	191	176	47	45	51	
365	9	177	203	106	245	
366	188	11	199	155	243	
367	3	194	222	171	3	
368	212	196	223	173	384	
369	213	197	224	174	385	
370	87	111	103	70	186	
371	53	199	226	176	388	
372	9	14	40	177	4	
373	8	7	198	178	389	
374	9	14	227	36	4	
375	214	33	42	32	36	
376	215	66	229	179	27	
377	207	88	13	170	9	
378	105	88	106	7	387	
379	105	88	13	170	9	
380	207	88	221	170	9	
381	208	88	13	170	9	
382	105	11	220	11	162	
383	209	88	13	170	9	
384	207	88	13	170	386	
385	210	88	106	7	387	
386	16	200	40	73	4	
387	9	11	233	108	197	
388	105	88	106	105	387	
389	208	88	106	170	393	
390	207	88	232	170	9	
391	207	88	234	170	390	
392	207	88	230	170	392	
393	216	88	106	7	387	
394	207	88	235	170	9	
395	207	88	106	182	387	
396	207	88	228	180	386	
397	9	134	154	124	208	
398	9	134	155	124	208	
399	9	134	155	73	9	
400	148	134	155	73	9	
401	217	201	237	124	9	
402	218	202	219	183	344	
403	14	203	238	185	394	
404	22	1	24	3	23	
405	218	202	219	186	344	
406	164	202	219	183	344	
407	9	9	205	22	246	
408	101	204	240	187	395	
409	175	206	241	140	396	
410	9	205	3	188	4	
411	13	13	248	9	13	
412	219	207	242	189	397	
413	220	207	244	190	398	
414	222	210	249	32	282	
415	221	208	6	191	183	
416	223	209	245	192	399	
417	228	214	246	196	400	
418	225	13	250	193	401	
419	226	13	14	194	13	
420	229	215	252	197	230	
421	126	107	124	94	132	
422	4	14	40	177	4	
423	4	14	3	73	4	
424	9	88	13	105	9	
425	9	88	13	105	404	
426	9	88	13	105	405	
427	105	88	106	198	89	
428	231	217	255	32	36	
429	232	218	256	199	183	
430	9	14	106	7	89	
431	233	38	3	73	4	
432	88	1	257	3	408	
433	234	84	257	200	120	
434	54	59	68	3	17	
435	235	227	259	7	9	
436	126	87	124	94	4	
437	237	220	268	203	61	
438	236	220	268	203	61	
439	236	220	268	203	17	
440	240	224	30	20	4	
441	107	87	29	20	27	
442	107	87	40	20	27	
443	229	215	252	20	230	
444	22	221	269	202	412	
445	16	14	252	23	4	
446	242	226	261	205	410	
447	39	14	40	20	4	
448	82	147	263	206	125	
449	1	222	1	3	1	
450	188	224	270	20	25	
451	238	47	266	3	413	
452	241	88	271	95	7	
453	9	14	143	94	4	
454	46	15	23	3	17	
455	4	225	272	81	27	
456	113	147	273	87	414	
457	245	147	273	87	414	
458	112	147	273	87	414	
459	113	226	273	87	414	
460	101	228	40	73	415	
461	246	11	29	209	4	
462	106	11	106	208	162	
463	109	86	101	81	27	
464	242	229	166	210	27	
465	247	229	166	210	27	
466	101	14	40	7	89	
467	9	4	74	125	6	
468	12	14	13	73	237	
469	253	235	281	213	9	
470	255	32	23	214	120	
471	168	147	262	132	226	
472	188	11	290	228	243	
473	9	68	6	7	438	
474	16	14	40	7	4	
475	274	14	40	7	4	
476	16	14	40	7	440	
477	8	7	8	3	1	
478	7	261	7	3	8	
479	32	33	42	154	122	
480	32	33	42	230	36	
481	32	33	42	230	277	
482	273	259	148	91	440	
483	158	266	6	234	302	
484	49	265	297	42	49	
485	277	268	299	236	442	
486	275	267	298	235	441	
487	9	135	300	73	248	
488	9	271	13	73	443	
489	9	272	13	73	443	
490	231	273	301	32	36	
491	9	38	143	23	444	
492	280	275	303	241	446	
493	21	276	307	19	452	
494	19	20	306	242	447	
495	282	277	305	17	20	
496	19	20	306	242	449	
497	282	277	45	17	20	
498	282	278	45	17	20	
499	75	20	45	17	450	
500	9	280	40	243	9	
501	9	280	308	243	9	
502	84	270	196	54	64	
503	105	88	106	7	89	
504	9	286	143	248	4	
505	32	33	312	32	122	
506	288	285	297	247	455	
507	286	32	313	3	120	
508	287	284	311	32	456	
509	150	134	156	124	9	
510	119	134	156	7	211	
511	289	135	314	249	9	
512	290	134	156	7	211	
513	9	135	314	249	9	
514	219	135	156	7	9	
515	9	135	159	249	9	
516	150	134	156	7	331	
517	9	145	160	7	443	
518	9	134	156	124	9	
519	9	280	308	7	9	
520	9	280	40	7	9	
522	9	14	143	11	9	
523	234	241	315	250	457	
524	291	241	60	3	458	
525	294	291	331	251	459	
526	170	147	178	252	125	
527	292	289	334	134	468	
528	49	44	297	42	49	
529	295	94	332	85	460	
530	293	290	335	68	469	
531	49	44	333	253	49	
532	158	4	282	7	6	
533	273	259	148	263	461	
534	119	134	156	7	9	
535	150	134	156	7	9	
536	9	145	160	7	211	
537	135	120	159	108	197	
538	150	301	159	124	470	
539	150	134	159	124	470	
540	134	317	354	7	331	
541	9	224	30	20	25	
542	309	287	316	265	7	
543	9	224	318	20	25	
544	310	7	320	32	471	
545	150	134	141	124	470	
546	150	134	227	124	470	
547	46	288	321	266	472	
548	311	304	322	267	473	
549	150	302	159	124	470	
550	3	305	356	258	474	
551	9	280	40	118	9	
552	312	306	319	268	475	
553	313	241	323	3	17	
554	87	111	103	70	120	
555	314	307	324	3	120	
556	22	308	24	3	23	
557	73	309	325	269	476	
558	39	310	326	270	27	
559	250	66	88	15	417	
560	9	2	327	36	9	
561	9	14	355	7	211	
562	315	311	328	271	477	
563	9	312	329	7	478	
564	316	313	330	272	351	
565	317	7	344	273	479	
566	318	314	345	274	480	
567	319	315	1	3	217	
568	16	14	347	23	4	
569	320	15	348	6	17	
570	321	316	349	154	122	
571	3	305	350	258	474	
572	109	87	351	35	27	
573	126	66	352	15	136	
574	16	14	353	73	4	
575	322	313	330	272	351	
576	323	2	47	45	481	
577	49	44	297	42	482	
578	46	15	23	6	17	
579	9	10	8	9	6	
580	176	267	298	235	359	
