ST	Cla_adk	Cla_atpA	Cla_glnA	Cla_glyA	Cla_pgi	Cla_pgm	Cla_tkt	clonal_complex
160	6	2	1	1	1	1	6	
161	103	2	1	1	1	3	44	
162	1	6	3	1	3	5	2	
163	2	6	1	1	4	1	2	
164	2	6	1	1	4	1	44	
165	4	57	1	2	1	1	2	
166	4	65	1	2	4	1	2	
167	5	2	1	1	2	1	2	
168	8	6	1	1	1	1	2	
169	34	31	29	25	33	30	49	
170	65	58	60	2	58	63	33	
171	84	5	1	53	3	5	6	
172	1	112	1	90	134	5	33	
173	1	6	1	1	3	5	102	
174	6	5	1	1	3	5	102	
175	11	45	91	27	132	126	49	
176	16	13	5	4	137	128	112	
177	16	13	99	4	60	7	112	
178	20	108	14	87	41	124	98	
179	27	25	19	18	26	113	99	
180	27	25	19	99	113	18	118	
181	30	29	26	21	29	27	122	
182	34	111	92	27	133	131	103	
183	34	107	92	86	128	132	96	
184	34	111	91	27	151	131	50	
185	34	110	93	27	129	123	103	
186	35	74	93	91	34	132	103	
187	35	32	31	27	145	141	114	
188	41	12	98	96	10	140	113	
189	55	13	5	4	6	138	112	
190	79	13	5	4	60	138	112	
191	79	26	5	4	60	138	112	
192	79	26	5	4	135	33	105	
193	79	26	5	4	136	33	105	
194	89	25	20	81	64	17	108	
195	102	57	1	1	58	127	1	
196	107	33	89	27	129	5	97	
197	107	33	90	26	129	5	65	
198	108	2	1	1	1	1	5	
199	108	2	1	1	1	129	5	
200	109	109	31	27	130	132	100	
201	109	45	31	27	130	46	100	
202	110	113	31	88	131	125	101	
203	112	113	94	92	129	38	104	
204	113	6	1	1	4	130	2	
205	114	38	5	10	138	7	48	
206	115	113	31	25	139	132	106	
207	116	84	95	65	141	134	64	
208	117	114	93	27	73	136	103	
209	117	113	91	86	152	5	110	
210	118	114	93	89	153	137	111	
211	119	115	96	31	143	85	50	
212	120	116	97	95	144	139	121	
213	121	3	1	1	148	1	5	
214	122	117	11	10	146	142	115	
215	123	118	11	97	147	143	116	
216	124	119	100	98	149	144	117	
217	125	120	101	14	150	145	119	
218	126	20	80	100	64	111	14	
219	127	95	102	93	17	146	120	
220	127	101	19	93	140	133	107	
221	28	25	103	94	142	135	109	
222	8	6	1	1	1	1	6	
223	128	6	1	1	1	1	36	
224	8	6	1	1	1	3	124	
225	6	5	1	1	69	1	123	
226	37	57	1	1	2	147	5	
227	128	121	1	1	1	1	2	
228	37	4	104	1	1	3	6	
229	6	2	1	1	58	3	127	
230	29	91	105	102	156	150	126	
231	40	47	38	101	155	152	125	
232	31	122	25	36	154	149	128	
233	21	123	106	49	14	151	129	
234	44	124	105	71	157	150	130	
235	30	84	25	72	154	148	11	
236	31	83	95	104	161	155	131	
237	20	39	35	49	41	35	132	
238	5	6	1	1	1	1	2	
239	10	38	5	4	39	33	133	
240	74	125	72	69	158	153	134	
241	29	126	105	102	159	156	135	
242	20	127	107	103	160	154	136	
243	8	6	1	1	4	1	33	
244	8	5	1	1	1	3	6	
245	7	6	1	1	1	1	36	
246	7	1	1	1	58	3	2	
247	8	131	1	1	1	3	6	
248	8	6	110	1	1	1	2	
249	17	51	11	113	54	12	29	
250	20	129	108	30	14	34	138	
251	22	146	118	16	181	111	162	
252	23	137	115	74	178	85	150	
253	24	25	109	15	22	21	90	
254	27	25	19	18	180	168	161	
255	28	143	81	110	172	111	14	
256	28	25	103	94	142	171	163	
257	29	145	117	72	185	11	160	
258	29	147	27	114	129	169	156	
259	31	84	26	65	163	103	64	
260	34	128	113	88	167	30	141	
261	34	32	119	25	33	30	49	
262	103	2	1	1	184	3	44	
263	34	134	29	25	33	30	103	
264	34	110	31	27	182	123	103	
265	34	141	91	26	176	126	155	
266	34	142	31	109	129	165	146	
267	35	45	93	27	171	162	146	
268	41	30	27	105	109	43	137	
269	107	140	29	25	175	126	153	
270	109	114	29	86	73	123	49	
271	109	136	29	88	129	163	140	
272	109	151	112	27	187	137	49	
273	111	128	93	27	131	123	101	
274	129	130	19	106	162	158	14	
275	130	114	89	27	129	132	152	
276	130	114	89	27	164	131	140	
277	131	45	31	107	129	157	139	
278	132	25	19	81	165	110	142	
279	133	25	19	81	166	159	143	
280	134	113	94	27	168	160	144	
281	135	132	111	108	169	161	145	
282	136	133	112	26	170	162	97	
283	137	107	92	88	73	132	65	
284	138	135	19	11	117	111	147	
285	139	107	93	26	73	123	49	
286	140	21	19	11	173	133	148	
287	141	138	31	88	177	166	149	
288	142	107	92	88	129	132	103	
289	142	139	114	26	128	46	151	
290	143	133	112	27	131	141	154	
291	144	144	116	112	107	167	158	
292	145	85	27	66	183	85	103	
293	146	33	91	89	174	164	103	
294	146	150	89	111	177	38	157	
295	8	6	1	1	58	1	2	
296	6	4	1	1	69	1	6	
297	8	152	1	1	1	1	2	
298	8	6	120	1	1	1	3	
299	1	57	121	1	4	172	159	
300	7	1	1	53	1	84	2	
301	147	150	31	88	129	173	149	
302	109	113	94	27	188	141	146	
303	103	4	1	1	1	3	36	
304	20	39	14	49	41	35	20	
305	17	114	93	27	73	136	101	
306	8	6	1	1	1	3	44	
307	8	2	1	2	186	1	2	
308	20	18	122	49	187	14	164	
309	20	129	14	30	15	14	98	
310	20	154	108	30	14	34	138	
311	30	153	95	104	189	174	125	
