ST	gki	gtr	murI	mutS	recP	xpt	yqiL	clonal_complex
177	51	31	2	25	2	43	32	
178	4	4	3	6	14	3	4	
179	25	51	8	6	30	25	39	
180	2	2	8	5	2	3	10	
181	2	7	2	31	34	9	48	
182	2	2	37	2	2	13	1	
183	3	37	53	5	2	3	35	
184	29	32	2	5	48	5	4	
185	13	45	8	4	34	3	6	
186	13	2	14	1	9	13	1	
187	59	43	14	5	47	2	1	
188	2	31	8	25	52	2	27	
189	40	3	43	7	2	5	6	
190	4	6	28	7	21	7	1	
191	14	17	14	6	9	40	38	
192	4	24	2	5	51	3	25	
193	48	31	41	9	2	2	36	
194	13	46	14	32	1	13	1	
195	3	4	6	7	1	5	36	
196	19	50	1	1	5	3	3	
197	11	6	42	5	54	3	6	
198	58	48	2	5	53	23	25	
199	51	49	8	6	33	3	35	
200	62	2	2	7	1	3	1	
201	3	2	8	5	58	54	4	
202	4	28	3	7	2	3	3	
203	11	6	42	7	40	3	6	
204	61	14	7	18	19	3	1	
205	16	2	8	3	2	3	2	
206	11	6	1	7	2	3	6	
207	2	2	8	13	2	14	2	
208	60	47	35	7	2	39	3	
209	13	32	7	20	19	3	25	
210	23	24	2	3	23	2	18	
211	51	69	53	71	32	2	35	
212	51	3	8	25	33	3	31	
213	122	2	2	76	35	3	101	
214	2	6	8	3	64	8	22	
215	135	2	8	79	2	34	102	
216	2	31	2	3	49	3	37	
217	136	2	2	5	2	49	42	
218	4	31	2	11	113	3	21	
219	65	31	2	6	34	3	1	
220	4	2	2	5	35	2	1	
221	1	2	2	5	35	3	1	
222	104	80	2	75	9	2	107	
223	69	2	90	13	35	24	104	
224	4	3	54	6	34	8	44	
225	4	25	4	4	4	2	1	
226	4	2	88	9	107	98	1	
227	4	31	8	5	2	8	4	
228	4	31	8	11	34	3	40	
229	4	31	9	6	35	2	12	
230	4	35	2	5	61	3	25	
231	68	2	92	5	35	3	1	
232	124	31	2	21	1	29	16	
233	4	2	2	4	1	5	72	
234	65	31	91	6	34	3	1	
235	3	55	2	67	112	2	4	
236	51	2	64	5	35	34	41	
237	4	59	2	5	44	33	1	
238	4	2	88	9	19	98	1	
239	4	31	91	5	34	8	44	
240	10	12	2	17	16	47	4	
241	10	25	7	5	67	2	12	
242	5	2	2	82	6	2	2	
243	2	2	8	3	18	11	12	
244	11	6	14	5	9	44	19	
245	4	2	2	80	106	24	108	
246	125	3	2	4	44	34	100	
247	11	9	1	7	2	8	3	
248	34	31	2	21	1	29	16	
249	13	31	8	5	19	3	1	
250	3	7	2	44	2	3	12	
251	3	7	93	44	2	3	12	
252	14	12	2	17	16	5	1	
253	16	2	11	3	1	13	1	
254	4	17	2	67	66	49	1	
255	134	80	2	7	120	8	33	
256	4	2	2	52	35	97	44	
257	4	82	14	72	70	24	4	
258	31	2	2	5	35	46	1	
259	4	97	2	9	2	34	1	
260	105	2	2	6	70	49	4	
261	40	2	9	6	41	50	4	
262	40	2	9	5	2	8	41	
263	40	3	43	7	2	5	4	
264	40	24	8	44	58	3	4	
265	4	2	3	4	115	5	72	
266	10	2	2	5	4	5	1	
267	64	2	2	7	34	38	2	
268	65	17	2	5	5	25	1	
269	65	31	8	43	2	3	2	
270	65	31	8	41	58	8	25	
271	65	57	7	5	9	3	4	
272	65	57	7	37	2	3	4	
273	66	2	7	4	34	48	4	
274	28	2	2	36	2	2	1	
275	68	31	8	6	68	8	42	
276	69	13	14	6	62	14	4	
277	70	31	2	35	1	3	34	
278	79	2	44	36	51	8	34	
279	79	2	94	36	105	3	1	
280	68	2	92	5	35	3	105	
281	74	31	8	40	60	8	42	
282	75	2	44	36	68	2	1	
283	4	3	54	5	34	3	110	
284	2	66	1	52	75	2	12	
285	86	6	8	3	9	3	1	
286	13	2	14	6	19	3	56	
287	13	59	8	6	34	3	6	
288	4	31	59	25	33	3	57	
289	4	26	51	35	34	2	27	
290	79	2	44	36	51	8	51	
291	4	61	50	11	14	55	4	
292	4	3	54	5	34	8	44	
293	3	2	6	7	56	5	0	
294	43	2	2	7	5	51	1	
295	31	31	55	11	44	3	26	
296	25	42	22	7	40	3	17	
297	78	62	52	5	69	8	49	
298	13	2	7	20	19	3	1	
299	2	7	1	3	2	14	2	
300	4	6	4	4	52	2	1	
301	77	6	8	7	1	3	50	
302	82	6	1	2	2	2	2	
303	51	31	2	25	2	23	31	
304	2	6	3	2	2	2	2	
305	58	17	2	5	2	3	25	
306	2	2	1	50	2	3	1	
307	1	31	61	40	60	8	42	
308	3	6	31	2	1	61	46	
309	3	17	8	7	1	3	4	
310	13	6	3	11	6	3	8	
311	4	2	2	51	1	59	1	
312	4	20	7	9	2	2	15	
313	4	3	62	4	4	2	1	
314	4	65	21	16	17	3	1	
315	2	6	8	5	2	3	53	
316	13	7	57	1	13	9	8	
317	16	2	56	7	22	3	52	
318	2	10	35	7	2	57	1	
319	81	24	8	5	19	11	1	
320	4	63	8	5	73	3	4	
321	4	53	45	4	2	2	45	
322	2	64	8	3	5	2	12	
323	4	80	3	32	111	3	4	
324	13	37	8	7	2	56	12	
325	80	2	2	17	4	5	1	
326	4	6	3	20	2	3	3	
327	83	2	8	6	74	3	4	
328	9	8	58	1	1	3	4	
329	11	7	15	3	17	60	4	
330	38	2	60	23	39	2	1	
331	43	2	2	47	1	3	4	
332	43	2	2	7	5	3	1	
333	51	3	8	25	33	3	27	
334	84	2	21	16	17	3	1	
335	58	6	8	7	2	51	63	
336	87	9	8	7	5	57	54	
337	8	7	8	49	9	3	1	
338	85	2	14	5	19	58	58	
339	59	43	1	48	47	2	1	
340	2	2	8	3	2	3	2	
341	91	2	65	7	1	3	60	
342	1	31	64	5	34	48	12	
343	1	31	8	6	76	53	4	
344	2	2	1	2	2	8	2	
345	2	6	8	3	2	8	1	
346	2	6	8	3	79	8	22	
347	4	31	2	11	34	3	2	
348	11	6	7	46	40	3	6	
349	13	45	8	4	76	3	6	
350	14	2	8	6	55	40	6	
351	24	4	3	6	14	3	4	
352	24	24	8	31	1	66	1	
353	25	37	8	7	2	3	1	
354	29	32	2	5	77	5	25	
355	40	2	9	6	41	64	12	
356	51	68	53	6	32	65	35	
357	75	2	44	4	66	3	1	
358	76	2	49	6	4	52	8	
359	85	5	14	5	19	58	58	
360	88	26	8	6	78	62	3	
361	89	3	63	25	4	3	32	
362	89	67	8	53	4	63	1	
363	90	6	8	7	4	3	59	
364	2	2	9	13	2	14	55	
365	73	58	8	5	72	3	43	
366	93	2	2	6	6	2	2	
367	4	2	3	11	17	3	61	
368	94	8	1	1	1	3	4	
369	13	6	2	3	23	3	62	
370	51	2	64	6	80	34	41	
371	4	6	2	54	21	7	1	
372	95	25	4	4	4	20	1	
373	5	11	8	5	15	67	1	
374	5	2	66	5	5	4	3	
375	92	2	2	2	31	3	2	
376	4	2	2	5	70	2	1	
377	4	2	2	11	34	3	2	
378	11	6	3	6	6	27	46	
379	12	21	17	5	5	3	7	
380	51	69	53	6	32	2	35	
381	4	31	2	4	4	2	16	
382	5	52	5	5	5	4	3	
383	11	2	1	3	50	61	7	
384	16	2	8	3	2	13	1	
385	78	53	52	5	81	68	4	
386	96	39	8	1	13	13	64	
387	9	70	1	1	1	3	4	
388	11	71	1	3	12	3	7	
389	9	8	67	1	1	3	4	
390	16	72	8	3	1	13	1	
391	5	7	8	5	15	2	65	
392	97	3	1	7	39	69	3	
393	1	2	87	52	35	3	109	
394	25	2	8	6	30	25	6	
395	2	2	1	2	65	2	2	
396	11	9	1	9	2	10	4	
397	25	2	8	6	30	5	1	
398	4	61	8	9	2	3	2	
399	4	31	2	13	34	3	4	
400	2	6	8	3	9	3	66	
401	4	2	2	5	35	70	1	
402	69	2	2	7	1	3	12	
403	3	4	6	5	1	5	0	
404	3	4	6	7	1	5	0	
405	25	37	8	7	2	56	12	
406	2	29	8	5	2	3	2	
407	16	2	8	3	1	13	1	
408	16	2	8	3	82	13	3	
409	98	2	11	3	1	13	1	
410	3	73	3	3	1	3	3	
411	5	52	68	5	5	4	3	
412	74	31	8	74	60	3	12	
413	2	74	8	5	2	3	2	
414	11	9	1	4	2	3	4	
415	4	3	4	4	4	2	2	
416	2	3	8	3	2	3	2	
417	51	2	8	7	33	42	1	
418	13	2	14	20	19	3	1	
419	4	28	3	20	2	3	68	
420	11	2	69	3	84	13	1	
421	5	11	15	5	15	2	1	
422	99	11	8	5	15	2	1	
423	5	11	8	5	15	72	1	
424	4	6	2	7	85	7	1	
425	5	2	2	6	86	2	2	
426	38	24	2	37	2	3	1	
427	3	2	2	3	1	3	1	
428	43	2	3	7	1	3	3	
429	3	10	3	6	14	3	4	
430	15	14	18	18	19	3	1	
431	13	6	2	3	23	74	11	
432	4	2	2	23	39	2	1	
433	4	6	2	54	21	7	69	
434	91	2	65	7	1	3	2	
435	63	2	7	5	2	2	2	
436	1	2	2	6	6	2	2	
437	4	6	2	7	21	7	2	
438	51	2	14	26	43	35	2	
439	2	6	2	5	87	3	2	
440	4	3	4	55	4	2	4	
441	4	6	2	7	7	3	70	
442	101	2	8	3	2	3	71	
443	2	3	4	4	4	2	2	
444	2	6	8	4	4	2	4	
445	4	3	3	4	4	2	4	
446	4	3	14	4	4	2	19	
447	4	7	47	4	34	2	4	
448	5	2	2	6	50	2	7	
449	5	2	3	3	1	4	3	
450	4	2	3	4	1	5	72	
451	3	4	7	5	1	5	3	
452	11	2	4	3	9	8	19	
453	16	6	8	5	1	17	3	
454	5	2	2	5	6	17	73	
455	4	3	14	5	9	17	19	
456	11	6	14	5	9	17	73	
457	11	76	14	5	9	17	19	
458	11	77	14	5	9	17	19	
459	11	6	14	5	88	17	19	
460	69	2	2	13	70	24	104	
461	13	3	10	12	20	2	13	
462	9	9	1	1	1	3	14	
463	11	78	1	3	50	8	7	
464	11	8	1	56	2	8	13	
465	5	2	2	57	6	2	2	
466	16	2	8	3	1	75	3	
467	5	2	2	6	6	3	2	
468	102	2	44	6	51	3	74	
469	131	31	8	5	2	8	4	
470	51	2	8	25	33	3	75	
471	3	4	70	7	1	5	4	
472	4	2	2	58	6	2	2	
473	4	36	8	7	51	3	76	
474	4	79	8	7	51	3	76	
475	1	31	8	6	36	53	4	
476	4	3	3	6	14	3	77	
477	57	3	8	25	1	3	78	
478	4	2	8	11	34	3	40	
479	103	37	2	24	4	2	79	
480	43	2	2	7	1	3	80	
481	16	35	2	5	61	3	25	
482	4	31	2	11	34	3	21	
483	104	80	2	7	35	2	2	
484	42	2	8	22	33	3	4	
485	4	3	2	59	2	2	4	
486	2	12	8	3	2	32	1	
487	2	3	8	3	2	32	1	
488	55	6	8	3	90	32	1	
489	13	45	71	4	76	3	6	
490	2	31	2	17	4	5	1	
491	2	28	2	17	4	76	1	
492	55	28	2	17	4	76	1	
493	25	4	8	6	30	25	4	
494	25	3	8	6	30	25	4	
495	25	81	8	6	30	25	39	
496	2	6	8	3	2	8	22	
497	4	2	2	60	21	3	81	
498	4	19	3	60	21	3	81	
499	57	3	8	25	1	3	76	
500	57	3	8	25	19	3	78	
501	29	32	8	5	48	5	25	
502	2	6	9	13	2	14	2	
503	4	2	36	5	4	23	1	
504	51	2	2	25	2	5	31	
505	10	25	7	5	67	2	1	
506	105	6	2	6	1	49	4	
507	105	3	2	6	1	49	4	
508	4	36	12	18	2	3	4	
509	106	13	3	61	1	28	82	
510	29	31	6	5	19	77	4	
511	29	31	2	5	48	5	25	
512	40	2	9	6	41	34	12	
513	47	3	2	5	10	64	12	
514	42	37	8	22	33	3	63	
515	25	2	8	6	30	25	39	
516	29	32	2	5	33	5	4	
517	4	31	8	5	34	3	40	
518	4	12	36	11	4	23	1	
519	4	2	54	6	34	8	44	
520	43	32	2	7	1	3	1	
521	79	37	44	36	51	8	25	
522	25	37	8	6	30	25	4	
523	4	28	2	3	2	34	31	
524	42	3	2	5	2	2	4	
525	4	37	8	22	33	3	4	
526	5	2	2	3	2	34	31	
527	2	6	3	22	2	2	2	
528	4	37	8	2	33	3	4	
529	4	6	8	3	34	3	40	
530	4	25	4	4	4	2	4	
531	4	35	8	3	34	3	40	
532	2	31	8	3	2	8	22	
533	2	6	8	2	2	2	2	
534	4	31	8	3	34	3	40	
535	4	2	2	3	2	34	31	
536	14	12	2	17	16	5	9	
537	2	31	8	3	91	3	41	
538	11	2	69	3	84	13	83	
539	58	10	3	6	14	78	4	
540	9	8	1	1	1	79	4	
541	13	83	10	12	92	2	3	
542	107	3	4	4	4	2	4	
543	5	2	2	6	93	2	2	
544	51	49	8	25	33	3	27	
545	100	75	72	62	94	73	84	
546	16	42	34	7	1	2	17	
547	3	4	6	6	14	5	0	
548	11	2	1	3	25	3	7	
549	13	60	2	9	69	8	6	
550	13	6	2	3	1	3	11	
551	5	3	2	6	6	2	2	
552	3	6	31	7	1	36	1	
553	16	3	8	3	82	13	3	
554	4	2	10	11	17	3	1	
555	4	84	3	11	17	3	1	
556	4	2	3	16	17	23	1	
557	4	2	21	16	17	3	85	
558	4	63	8	64	73	3	86	
559	4	2	2	5	44	14	12	
560	5	29	8	5	2	3	2	
561	11	11	8	5	15	2	19	
562	3	4	6	63	1	5	0	
563	109	2	1	3	50	8	7	
564	11	2	1	3	6	8	7	
565	39	2	8	13	2	33	1	
566	13	11	8	5	15	2	1	
567	13	3	4	4	4	2	4	
568	16	2	8	3	95	13	3	
569	108	2	2	5	35	14	12	
570	29	32	2	5	76	5	25	
571	39	2	8	6	2	33	1	
572	4	31	73	11	34	3	4	
573	55	6	8	25	1	81	27	
574	110	21	7	20	1	80	87	
575	8	7	8	8	9	3	50	
576	2	6	74	65	9	3	1	
577	38	2	2	3	39	2	1	
578	79	2	44	36	51	8	27	
579	2	2	32	2	2	2	2	
580	16	2	8	3	98	13	3	
581	3	3	3	3	1	3	3	
582	1	31	64	5	97	39	12	
583	126	12	2	17	16	5	4	
584	3	4	6	6	99	5	0	
585	4	2	2	67	19	85	31	
586	4	31	2	11	19	3	4	
587	4	31	3	6	96	3	0	
588	4	31	73	11	34	3	1	
589	4	35	75	5	1	84	90	
590	4	35	76	5	61	3	25	
591	4	37	8	5	73	3	4	
592	11	2	7	7	22	35	59	
593	11	2	8	7	75	3	2	
594	15	12	23	6	4	23	6	
595	16	31	2	3	13	84	25	
596	25	2	8	3	30	25	25	
597	25	86	2	7	2	3	12	
598	38	24	2	37	2	2	25	
599	42	3	2	5	2	2	1	
600	43	2	8	7	48	2	46	
601	43	6	8	3	2	3	1	
602	51	3	8	3	33	48	88	
603	61	14	77	18	19	3	1	
604	67	24	8	3	9	45	4	
605	68	31	8	66	35	82	12	
606	69	13	14	6	34	2	92	
607	75	2	2	6	51	3	74	
608	75	2	3	5	1	3	89	
609	75	2	44	6	51	3	1	
610	80	2	2	17	4	5	3	
611	83	24	8	6	74	3	4	
612	111	85	8	3	40	3	1	
613	14	12	2	17	16	5	4	
614	112	6	14	7	5	83	54	
615	113	3	43	7	40	3	12	
616	114	2	14	3	2	3	64	
617	115	12	2	32	9	2	91	
618	4	3	4	4	100	2	4	
619	2	2	2	3	49	14	37	
620	6	5	7	1	5	6	4	
621	5	52	5	5	72	4	3	
622	4	28	3	20	5	3	3	
623	4	6	2	7	7	7	70	
624	38	2	2	23	39	2	1	
625	2	2	14	6	9	40	46	
626	11	6	78	5	9	3	19	
627	4	57	8	5	2	8	4	
628	25	2	8	6	30	25	25	
629	4	87	2	5	10	34	12	
630	4	3	4	4	4	86	4	
631	13	2	2	5	1	3	1	
632	3	88	1	3	12	3	7	
633	58	17	2	5	53	23	25	
634	2	9	1	9	2	3	4	
635	5	11	5	5	15	2	1	
636	5	9	1	9	2	3	4	
637	5	11	14	5	15	2	1	
638	5	11	8	5	9	2	1	
639	11	2	1	3	101	8	7	
640	3	4	6	7	11	5	12	
641	4	10	3	6	31	3	4	
642	6	5	79	1	5	6	3	
643	4	3	4	4	4	2	95	
644	11	6	14	5	9	17	94	
645	9	8	1	1	1	3	93	
646	16	2	14	3	1	13	3	
647	11	3	4	4	4	2	4	
648	4	89	4	4	4	2	4	
649	51	2	14	24	19	35	31	
650	25	3	2	7	33	3	12	
651	4	32	2	5	48	5	4	
652	4	3	80	4	4	2	2	
653	4	3	80	4	102	2	2	
654	16	2	8	3	1	87	3	
655	4	54	81	68	4	85	12	
656	117	3	8	13	35	3	97	
657	116	2	1	3	50	8	7	
658	5	91	8	5	15	2	1	
659	4	92	4	4	100	2	4	
660	2	7	14	6	9	40	46	
661	4	3	4	69	4	2	4	
662	4	31	2	35	1	3	34	
663	13	2	2	6	6	2	2	
664	13	83	10	12	20	2	3	
665	4	2	21	16	17	36	1	
666	4	2	21	16	74	36	1	
667	43	2	2	2	2	3	24	
668	13	32	2	20	19	3	25	
669	5	2	2	6	15	2	2	
670	24	8	1	1	1	3	4	
671	5	2	2	6	6	2	4	
672	13	8	1	1	1	3	4	
673	13	6	2	6	1	28	4	
674	4	3	2	5	2	2	4	
675	2	7	2	3	13	3	2	
676	24	2	82	5	30	3	1	
677	11	6	83	6	6	2	2	
678	3	4	6	5	1	5	4	
679	79	3	2	5	48	5	4	
680	20	2	2	3	27	18	12	
681	3	52	5	5	5	4	3	
682	13	2	3	3	1	3	3	
683	43	6	8	67	2	89	1	
684	75	2	44	7	51	3	1	
685	3	4	70	7	1	5	2	
686	3	4	70	7	1	5	25	
687	3	2	6	7	56	5	31	
688	3	4	70	7	1	5	0	
689	3	4	70	7	1	5	1	
690	3	4	70	7	1	5	3	
691	3	3	2	7	98	5	1	
692	4	6	2	54	21	5	1	
693	10	35	2	5	61	3	25	
694	51	2	14	26	43	48	31	
695	4	6	2	54	21	88	1	
696	5	11	8	5	15	2	98	
697	5	2	84	6	6	2	2	
698	13	83	85	12	20	2	3	
699	16	2	8	70	103	13	1	
700	69	53	89	73	1	24	113	
701	2	2	9	13	71	11	2	
702	36	2	2	13	60	24	112	
703	137	2	2	67	105	83	103	
704	75	2	44	36	68	2	39	
705	4	31	2	5	34	3	21	
706	4	6	97	54	21	7	1	
707	119	31	8	40	60	96	101	
708	4	2	2	5	1	34	41	
709	118	3	47	7	108	2	41	
710	29	32	2	5	48	5	49	
711	38	2	2	23	121	32	1	
712	10	12	2	67	16	3	4	
713	69	2	2	5	4	24	12	
714	65	31	2	11	34	3	1	
715	2	2	9	13	71	14	2	
716	4	93	86	5	19	3	4	
717	4	96	24	11	19	3	25	
718	123	17	2	5	2	3	25	
719	1	31	8	6	60	3	4	
720	133	2	2	7	1	3	1	
721	2	2	2	5	44	14	12	
722	3	3	2	7	35	2	114	
723	69	2	2	5	4	93	111	
724	40	2	9	6	41	50	12	
725	39	2	8	13	2	91	1	
726	39	2	8	7	2	33	1	
727	4	31	7	81	1	3	1	
728	10	3	2	6	110	94	4	
729	2	2	9	13	118	11	2	
730	129	25	7	5	67	2	12	
731	31	2	2	5	35	46	99	
732	132	2	2	7	1	3	1	
733	47	2	2	4	1	5	72	
734	4	2	2	5	1	90	41	
735	104	80	2	7	9	2	107	
736	68	2	92	5	35	3	106	
737	4	2	2	52	35	2	44	
738	16	15	96	7	1	2	17	
739	4	6	19	25	35	3	1	
740	134	94	14	78	119	2	4	
741	128	2	2	5	1	3	109	
742	65	7	2	44	2	3	12	
743	51	3	14	4	2	92	4	
744	24	2	2	5	1	2	4	
745	120	61	95	7	66	3	1	
746	4	24	2	5	19	49	25	
747	28	31	2	9	114	3	4	
748	16	2	98	7	22	3	52	
749	4	2	24	77	19	3	25	
750	4	31	7	81	116	3	1	
751	4	24	2	46	2	3	25	
752	39	2	8	13	2	49	1	
753	1	2	2	5	1	3	109	
754	30	2	9	13	44	14	2	
755	69	85	2	13	1	24	41	
756	2	31	2	3	2	3	41	
757	4	24	2	5	104	33	4	
758	121	3	14	4	2	92	4	
759	139	9	1	9	2	3	4	
760	4	3	99	4	4	2	4	
761	65	31	2	80	34	3	1	
762	28	95	2	36	35	3	1	
763	10	25	7	5	2	2	4	
764	28	13	8	5	9	3	1	
765	4	3	4	83	4	2	4	
766	78	2	3	6	4	95	12	
767	130	2	2	11	1	8	4	
768	16	35	27	5	35	33	1	
769	51	2	64	6	35	34	41	
770	2	7	8	3	2	14	2	
771	4	2	2	5	70	24	1	
772	4	2	2	80	109	24	108	
773	138	2	54	5	35	46	1	
774	118	3	47	7	2	2	41	
775	4	31	2	11	34	3	115	
776	4	2	3	4	1	5	4	
777	4	3	2	4	44	34	100	
778	4	53	2	5	34	3	47	
779	127	31	9	6	117	2	12	
780	4	98	19	5	2	34	12	
781	4	31	9	6	117	2	12	
782	4	99	4	4	4	2	4	
783	3	4	6	5	1	5	3	
784	2	2	44	36	51	8	25	
785	4	3	4	4	4	100	4	
786	5	11	103	5	15	2	1	
787	11	6	102	5	9	17	19	
788	11	2	1	86	50	8	7	
789	140	4	7	20	30	3	25	
790	39	31	2	85	60	2	12	
791	16	2	8	3	1	99	3	
792	16	2	8	3	114	13	3	
793	16	3	8	3	1	13	3	
794	16	54	8	3	1	13	3	
795	16	104	8	3	1	13	1	
796	16	2	8	3	1	101	3	
797	143	2	8	3	1	13	3	
798	142	2	8	3	1	13	3	
799	16	103	8	3	1	13	1	
800	141	2	8	3	1	13	3	
801	16	2	8	3	123	13	3	
802	16	2	8	3	1	13	117	
803	16	102	8	3	1	13	1	
804	16	2	8	3	124	13	3	
805	19	3	4	4	4	2	4	
806	5	2	2	84	6	2	2	
807	5	2	2	6	122	2	2	
808	11	6	14	87	9	17	19	
809	69	13	14	6	2	34	1	
810	13	2	44	36	51	8	25	
811	16	101	8	3	1	13	3	
812	51	68	53	6	32	2	35	
813	4	100	100	30	1	24	116	
814	43	6	8	67	2	3	1	
815	61	2	14	20	19	3	1	
816	144	105	17	5	5	3	7	
817	10	25	14	11	1	2	4	
818	4	31	105	13	34	3	4	
819	4	3	2	7	30	3	4	
